protein,fp_path,adj_path,mpnn_path,pdb_path
E9PKS4,protein_fingerprints/fingerprint/E9PKS4.npy,protein_fingerprints/adj/E9PKS4.npy,protein_mpnn/E9PKS4.npz,protein_pdbs/E9PKS4.pdb
Q86YN6,protein_fingerprints/fingerprint/Q86YN6.npy,protein_fingerprints/adj/Q86YN6.npy,protein_mpnn/Q86YN6.npz,protein_pdbs/Q86YN6.pdb
M4Q009,protein_fingerprints/fingerprint/M4Q009.npy,protein_fingerprints/adj/M4Q009.npy,protein_mpnn/M4Q009.npz,protein_pdbs/M4Q009.pdb
AF-Q00975-F1-model_v4,protein_fingerprints/fingerprint/AF-Q00975-F1-model_v4.npy,protein_fingerprints/adj/AF-Q00975-F1-model_v4.npy,protein_mpnn/AF-Q00975-F1-model_v4.npz,protein_pdbs/AF-Q00975-F1-model_v4.pdb
P15692,protein_fingerprints/fingerprint/P15692.npy,protein_fingerprints/adj/P15692.npy,protein_mpnn/P15692.npz,protein_pdbs/P15692.pdb
P0DPK5,protein_fingerprints/fingerprint/P0DPK5.npy,protein_fingerprints/adj/P0DPK5.npy,protein_mpnn/P0DPK5.npz,protein_pdbs/P0DPK5.pdb
Q71V48,protein_fingerprints/fingerprint/Q71V48.npy,protein_fingerprints/adj/Q71V48.npy,protein_mpnn/Q71V48.npz,protein_pdbs/Q71V48.pdb
A0A4Y5UGE4,protein_fingerprints/fingerprint/A0A4Y5UGE4.npy,protein_fingerprints/adj/A0A4Y5UGE4.npy,protein_mpnn/A0A4Y5UGE4.npz,protein_pdbs/A0A4Y5UGE4.pdb
B5A248,protein_fingerprints/fingerprint/B5A248.npy,protein_fingerprints/adj/B5A248.npy,protein_mpnn/B5A248.npz,protein_pdbs/B5A248.pdb
Q07889,protein_fingerprints/fingerprint/Q07889.npy,protein_fingerprints/adj/Q07889.npy,protein_mpnn/Q07889.npz,protein_pdbs/Q07889.pdb
B4E3L5,protein_fingerprints/fingerprint/B4E3L5.npy,protein_fingerprints/adj/B4E3L5.npy,protein_mpnn/B4E3L5.npz,protein_pdbs/B4E3L5.pdb
Q9UL45,protein_fingerprints/fingerprint/Q9UL45.npy,protein_fingerprints/adj/Q9UL45.npy,protein_mpnn/Q9UL45.npz,protein_pdbs/Q9UL45.pdb
M0QYW0,protein_fingerprints/fingerprint/M0QYW0.npy,protein_fingerprints/adj/M0QYW0.npy,protein_mpnn/M0QYW0.npz,protein_pdbs/M0QYW0.pdb
Q8NIA3,protein_fingerprints/fingerprint/Q8NIA3.npy,protein_fingerprints/adj/Q8NIA3.npy,protein_mpnn/Q8NIA3.npz,protein_pdbs/Q8NIA3.pdb
Q6V3B1,protein_fingerprints/fingerprint/Q6V3B1.npy,protein_fingerprints/adj/Q6V3B1.npy,protein_mpnn/Q6V3B1.npz,protein_pdbs/Q6V3B1.pdb
B4DL21,protein_fingerprints/fingerprint/B4DL21.npy,protein_fingerprints/adj/B4DL21.npy,protein_mpnn/B4DL21.npz,protein_pdbs/B4DL21.pdb
Q9Y6Q6,protein_fingerprints/fingerprint/Q9Y6Q6.npy,protein_fingerprints/adj/Q9Y6Q6.npy,protein_mpnn/Q9Y6Q6.npz,protein_pdbs/Q9Y6Q6.pdb
I6TZT4,protein_fingerprints/fingerprint/I6TZT4.npy,protein_fingerprints/adj/I6TZT4.npy,protein_mpnn/I6TZT4.npz,protein_pdbs/I6TZT4.pdb
A0A024R4T4,protein_fingerprints/fingerprint/A0A024R4T4.npy,protein_fingerprints/adj/A0A024R4T4.npy,protein_mpnn/A0A024R4T4.npz,protein_pdbs/A0A024R4T4.pdb
P98170,protein_fingerprints/fingerprint/P98170.npy,protein_fingerprints/adj/P98170.npy,protein_mpnn/P98170.npz,protein_pdbs/P98170.pdb
A0A0S2Z5D6,protein_fingerprints/fingerprint/A0A0S2Z5D6.npy,protein_fingerprints/adj/A0A0S2Z5D6.npy,protein_mpnn/A0A0S2Z5D6.npz,protein_pdbs/A0A0S2Z5D6.pdb
Q05655,protein_fingerprints/fingerprint/Q05655.npy,protein_fingerprints/adj/Q05655.npy,protein_mpnn/Q05655.npz,protein_pdbs/Q05655.pdb
A0A2R8YCJ1,protein_fingerprints/fingerprint/A0A2R8YCJ1.npy,protein_fingerprints/adj/A0A2R8YCJ1.npy,protein_mpnn/A0A2R8YCJ1.npz,protein_pdbs/A0A2R8YCJ1.pdb
P35557,protein_fingerprints/fingerprint/P35557.npy,protein_fingerprints/adj/P35557.npy,protein_mpnn/P35557.npz,protein_pdbs/P35557.pdb
L0R899,protein_fingerprints/fingerprint/L0R899.npy,protein_fingerprints/adj/L0R899.npy,protein_mpnn/L0R899.npz,protein_pdbs/L0R899.pdb
A0A248X3Y4,protein_fingerprints/fingerprint/A0A248X3Y4.npy,protein_fingerprints/adj/A0A248X3Y4.npy,protein_mpnn/A0A248X3Y4.npz,protein_pdbs/A0A248X3Y4.pdb
Q16413,protein_fingerprints/fingerprint/Q16413.npy,protein_fingerprints/adj/Q16413.npy,protein_mpnn/Q16413.npz,protein_pdbs/Q16413.pdb
Q9H9B1,protein_fingerprints/fingerprint/Q9H9B1.npy,protein_fingerprints/adj/Q9H9B1.npy,protein_mpnn/Q9H9B1.npz,protein_pdbs/Q9H9B1.pdb
B2R6I9,protein_fingerprints/fingerprint/B2R6I9.npy,protein_fingerprints/adj/B2R6I9.npy,protein_mpnn/B2R6I9.npz,protein_pdbs/B2R6I9.pdb
H0Y9I9,protein_fingerprints/fingerprint/H0Y9I9.npy,protein_fingerprints/adj/H0Y9I9.npy,protein_mpnn/H0Y9I9.npz,protein_pdbs/H0Y9I9.pdb
Q16611,protein_fingerprints/fingerprint/Q16611.npy,protein_fingerprints/adj/Q16611.npy,protein_mpnn/Q16611.npz,protein_pdbs/Q16611.pdb
A1ECB6,protein_fingerprints/fingerprint/A1ECB6.npy,protein_fingerprints/adj/A1ECB6.npy,protein_mpnn/A1ECB6.npz,protein_pdbs/A1ECB6.pdb
B7Z8B8,protein_fingerprints/fingerprint/B7Z8B8.npy,protein_fingerprints/adj/B7Z8B8.npy,protein_mpnn/B7Z8B8.npz,protein_pdbs/B7Z8B8.pdb
O14980,protein_fingerprints/fingerprint/O14980.npy,protein_fingerprints/adj/O14980.npy,protein_mpnn/O14980.npz,protein_pdbs/O14980.pdb
Q9Y618,protein_fingerprints/fingerprint/Q9Y618.npy,protein_fingerprints/adj/Q9Y618.npy,protein_mpnn/Q9Y618.npz,protein_pdbs/Q9Y618.pdb
A1A564,protein_fingerprints/fingerprint/A1A564.npy,protein_fingerprints/adj/A1A564.npy,protein_mpnn/A1A564.npz,protein_pdbs/A1A564.pdb
A0A2S1WCJ3,protein_fingerprints/fingerprint/A0A2S1WCJ3.npy,protein_fingerprints/adj/A0A2S1WCJ3.npy,protein_mpnn/A0A2S1WCJ3.npz,protein_pdbs/A0A2S1WCJ3.pdb
E9PFV2,protein_fingerprints/fingerprint/E9PFV2.npy,protein_fingerprints/adj/E9PFV2.npy,protein_mpnn/E9PFV2.npz,protein_pdbs/E9PFV2.pdb
C9JL16,protein_fingerprints/fingerprint/C9JL16.npy,protein_fingerprints/adj/C9JL16.npy,protein_mpnn/C9JL16.npz,protein_pdbs/C9JL16.pdb
P37231,protein_fingerprints/fingerprint/P37231.npy,protein_fingerprints/adj/P37231.npy,protein_mpnn/P37231.npz,protein_pdbs/P37231.pdb
Q9UPD0,protein_fingerprints/fingerprint/Q9UPD0.npy,protein_fingerprints/adj/Q9UPD0.npy,protein_mpnn/Q9UPD0.npz,protein_pdbs/Q9UPD0.pdb
B7WNT5,protein_fingerprints/fingerprint/B7WNT5.npy,protein_fingerprints/adj/B7WNT5.npy,protein_mpnn/B7WNT5.npz,protein_pdbs/B7WNT5.pdb
A0A1C9J7T1,protein_fingerprints/fingerprint/A0A1C9J7T1.npy,protein_fingerprints/adj/A0A1C9J7T1.npy,protein_mpnn/A0A1C9J7T1.npz,protein_pdbs/A0A1C9J7T1.pdb
B5MCN7,protein_fingerprints/fingerprint/B5MCN7.npy,protein_fingerprints/adj/B5MCN7.npy,protein_mpnn/B5MCN7.npz,protein_pdbs/B5MCN7.pdb
Q9UH51,protein_fingerprints/fingerprint/Q9UH51.npy,protein_fingerprints/adj/Q9UH51.npy,protein_mpnn/Q9UH51.npz,protein_pdbs/Q9UH51.pdb
E1B4T0,protein_fingerprints/fingerprint/E1B4T0.npy,protein_fingerprints/adj/E1B4T0.npy,protein_mpnn/E1B4T0.npz,protein_pdbs/E1B4T0.pdb
A0A0G2JMD7,protein_fingerprints/fingerprint/A0A0G2JMD7.npy,protein_fingerprints/adj/A0A0G2JMD7.npy,protein_mpnn/A0A0G2JMD7.npz,protein_pdbs/A0A0G2JMD7.pdb
A0A2R8Y804,protein_fingerprints/fingerprint/A0A2R8Y804.npy,protein_fingerprints/adj/A0A2R8Y804.npy,protein_mpnn/A0A2R8Y804.npz,protein_pdbs/A0A2R8Y804.pdb
Q9HBZ2,protein_fingerprints/fingerprint/Q9HBZ2.npy,protein_fingerprints/adj/Q9HBZ2.npy,protein_mpnn/Q9HBZ2.npz,protein_pdbs/Q9HBZ2.pdb
B5A927,protein_fingerprints/fingerprint/B5A927.npy,protein_fingerprints/adj/B5A927.npy,protein_mpnn/B5A927.npz,protein_pdbs/B5A927.pdb
Q8N100,protein_fingerprints/fingerprint/Q8N100.npy,protein_fingerprints/adj/Q8N100.npy,protein_mpnn/Q8N100.npz,protein_pdbs/Q8N100.pdb
A0A2U3TZT9,protein_fingerprints/fingerprint/A0A2U3TZT9.npy,protein_fingerprints/adj/A0A2U3TZT9.npy,protein_mpnn/A0A2U3TZT9.npz,protein_pdbs/A0A2U3TZT9.pdb
H3BSK1,protein_fingerprints/fingerprint/H3BSK1.npy,protein_fingerprints/adj/H3BSK1.npy,protein_mpnn/H3BSK1.npz,protein_pdbs/H3BSK1.pdb
P35222,protein_fingerprints/fingerprint/P35222.npy,protein_fingerprints/adj/P35222.npy,protein_mpnn/P35222.npz,protein_pdbs/P35222.pdb
E9PI04,protein_fingerprints/fingerprint/E9PI04.npy,protein_fingerprints/adj/E9PI04.npy,protein_mpnn/E9PI04.npz,protein_pdbs/E9PI04.pdb
AF-E7EQJ3-F1-model_v4,protein_fingerprints/fingerprint/AF-E7EQJ3-F1-model_v4.npy,protein_fingerprints/adj/AF-E7EQJ3-F1-model_v4.npy,protein_mpnn/AF-E7EQJ3-F1-model_v4.npz,protein_pdbs/AF-E7EQJ3-F1-model_v4.pdb
Q9GZT4,protein_fingerprints/fingerprint/Q9GZT4.npy,protein_fingerprints/adj/Q9GZT4.npy,protein_mpnn/Q9GZT4.npz,protein_pdbs/Q9GZT4.pdb
A0A2R8Y543,protein_fingerprints/fingerprint/A0A2R8Y543.npy,protein_fingerprints/adj/A0A2R8Y543.npy,protein_mpnn/A0A2R8Y543.npz,protein_pdbs/A0A2R8Y543.pdb
Q9UIF8,protein_fingerprints/fingerprint/Q9UIF8.npy,protein_fingerprints/adj/Q9UIF8.npy,protein_mpnn/Q9UIF8.npz,protein_pdbs/Q9UIF8.pdb
AF-P04233-F1-model_v4,protein_fingerprints/fingerprint/AF-P04233-F1-model_v4.npy,protein_fingerprints/adj/AF-P04233-F1-model_v4.npy,protein_mpnn/AF-P04233-F1-model_v4.npz,protein_pdbs/AF-P04233-F1-model_v4.pdb
A0A0S2Z4C5,protein_fingerprints/fingerprint/A0A0S2Z4C5.npy,protein_fingerprints/adj/A0A0S2Z4C5.npy,protein_mpnn/A0A0S2Z4C5.npz,protein_pdbs/A0A0S2Z4C5.pdb
Q8NBP7,protein_fingerprints/fingerprint/Q8NBP7.npy,protein_fingerprints/adj/Q8NBP7.npy,protein_mpnn/Q8NBP7.npz,protein_pdbs/Q8NBP7.pdb
A8MYV6,protein_fingerprints/fingerprint/A8MYV6.npy,protein_fingerprints/adj/A8MYV6.npy,protein_mpnn/A8MYV6.npz,protein_pdbs/A8MYV6.pdb
AF-A0A0S2Z448-F1-model_v4,protein_fingerprints/fingerprint/AF-A0A0S2Z448-F1-model_v4.npy,protein_fingerprints/adj/AF-A0A0S2Z448-F1-model_v4.npy,protein_mpnn/AF-A0A0S2Z448-F1-model_v4.npz,protein_pdbs/AF-A0A0S2Z448-F1-model_v4.pdb
W0UV93,protein_fingerprints/fingerprint/W0UV93.npy,protein_fingerprints/adj/W0UV93.npy,protein_mpnn/W0UV93.npz,protein_pdbs/W0UV93.pdb
Q59F19,protein_fingerprints/fingerprint/Q59F19.npy,protein_fingerprints/adj/Q59F19.npy,protein_mpnn/Q59F19.npz,protein_pdbs/Q59F19.pdb
A0A087WTR9,protein_fingerprints/fingerprint/A0A087WTR9.npy,protein_fingerprints/adj/A0A087WTR9.npy,protein_mpnn/A0A087WTR9.npz,protein_pdbs/A0A087WTR9.pdb
P0DPK2,protein_fingerprints/fingerprint/P0DPK2.npy,protein_fingerprints/adj/P0DPK2.npy,protein_mpnn/P0DPK2.npz,protein_pdbs/P0DPK2.pdb
A8MTI9,protein_fingerprints/fingerprint/A8MTI9.npy,protein_fingerprints/adj/A8MTI9.npy,protein_mpnn/A8MTI9.npz,protein_pdbs/A8MTI9.pdb
H7C1Y3,protein_fingerprints/fingerprint/H7C1Y3.npy,protein_fingerprints/adj/H7C1Y3.npy,protein_mpnn/H7C1Y3.npz,protein_pdbs/H7C1Y3.pdb
H3BQR0,protein_fingerprints/fingerprint/H3BQR0.npy,protein_fingerprints/adj/H3BQR0.npy,protein_mpnn/H3BQR0.npz,protein_pdbs/H3BQR0.pdb
A0A0E3MS57,protein_fingerprints/fingerprint/A0A0E3MS57.npy,protein_fingerprints/adj/A0A0E3MS57.npy,protein_mpnn/A0A0E3MS57.npz,protein_pdbs/A0A0E3MS57.pdb
AF-R6XDM2-F1-model_v4,protein_fingerprints/fingerprint/AF-R6XDM2-F1-model_v4.npy,protein_fingerprints/adj/AF-R6XDM2-F1-model_v4.npy,protein_mpnn/AF-R6XDM2-F1-model_v4.npz,protein_pdbs/AF-R6XDM2-F1-model_v4.pdb
V9GZ59,protein_fingerprints/fingerprint/V9GZ59.npy,protein_fingerprints/adj/V9GZ59.npy,protein_mpnn/V9GZ59.npz,protein_pdbs/V9GZ59.pdb
Q6NXT2,protein_fingerprints/fingerprint/Q6NXT2.npy,protein_fingerprints/adj/Q6NXT2.npy,protein_mpnn/Q6NXT2.npz,protein_pdbs/Q6NXT2.pdb
M0QYI6,protein_fingerprints/fingerprint/M0QYI6.npy,protein_fingerprints/adj/M0QYI6.npy,protein_mpnn/M0QYI6.npz,protein_pdbs/M0QYI6.pdb
I6RYK4,protein_fingerprints/fingerprint/I6RYK4.npy,protein_fingerprints/adj/I6RYK4.npy,protein_mpnn/I6RYK4.npz,protein_pdbs/I6RYK4.pdb
G8HXG1,protein_fingerprints/fingerprint/G8HXG1.npy,protein_fingerprints/adj/G8HXG1.npy,protein_mpnn/G8HXG1.npz,protein_pdbs/G8HXG1.pdb
O43665,protein_fingerprints/fingerprint/O43665.npy,protein_fingerprints/adj/O43665.npy,protein_mpnn/O43665.npz,protein_pdbs/O43665.pdb
B9TX54,protein_fingerprints/fingerprint/B9TX54.npy,protein_fingerprints/adj/B9TX54.npy,protein_mpnn/B9TX54.npz,protein_pdbs/B9TX54.pdb
Q9UBK2,protein_fingerprints/fingerprint/Q9UBK2.npy,protein_fingerprints/adj/Q9UBK2.npy,protein_mpnn/Q9UBK2.npz,protein_pdbs/Q9UBK2.pdb
P01730,protein_fingerprints/fingerprint/P01730.npy,protein_fingerprints/adj/P01730.npy,protein_mpnn/P01730.npz,protein_pdbs/P01730.pdb
P07355,protein_fingerprints/fingerprint/P07355.npy,protein_fingerprints/adj/P07355.npy,protein_mpnn/P07355.npz,protein_pdbs/P07355.pdb
P20701,protein_fingerprints/fingerprint/P20701.npy,protein_fingerprints/adj/P20701.npy,protein_mpnn/P20701.npz,protein_pdbs/P20701.pdb
Q9NWY4,protein_fingerprints/fingerprint/Q9NWY4.npy,protein_fingerprints/adj/Q9NWY4.npy,protein_mpnn/Q9NWY4.npz,protein_pdbs/Q9NWY4.pdb
I6SST5,protein_fingerprints/fingerprint/I6SST5.npy,protein_fingerprints/adj/I6SST5.npy,protein_mpnn/I6SST5.npz,protein_pdbs/I6SST5.pdb
E9PMB8,protein_fingerprints/fingerprint/E9PMB8.npy,protein_fingerprints/adj/E9PMB8.npy,protein_mpnn/E9PMB8.npz,protein_pdbs/E9PMB8.pdb
Q9UNS8,protein_fingerprints/fingerprint/Q9UNS8.npy,protein_fingerprints/adj/Q9UNS8.npy,protein_mpnn/Q9UNS8.npz,protein_pdbs/Q9UNS8.pdb
O60240,protein_fingerprints/fingerprint/O60240.npy,protein_fingerprints/adj/O60240.npy,protein_mpnn/O60240.npz,protein_pdbs/O60240.pdb
H0YMD1,protein_fingerprints/fingerprint/H0YMD1.npy,protein_fingerprints/adj/H0YMD1.npy,protein_mpnn/H0YMD1.npz,protein_pdbs/H0YMD1.pdb
Q5JWQ4,protein_fingerprints/fingerprint/Q5JWQ4.npy,protein_fingerprints/adj/Q5JWQ4.npy,protein_mpnn/Q5JWQ4.npz,protein_pdbs/Q5JWQ4.pdb
B4DYT5,protein_fingerprints/fingerprint/B4DYT5.npy,protein_fingerprints/adj/B4DYT5.npy,protein_mpnn/B4DYT5.npz,protein_pdbs/B4DYT5.pdb
Q13309,protein_fingerprints/fingerprint/Q13309.npy,protein_fingerprints/adj/Q13309.npy,protein_mpnn/Q13309.npz,protein_pdbs/Q13309.pdb
Q9NPQ8,protein_fingerprints/fingerprint/Q9NPQ8.npy,protein_fingerprints/adj/Q9NPQ8.npy,protein_mpnn/Q9NPQ8.npz,protein_pdbs/Q9NPQ8.pdb
A6NMY6,protein_fingerprints/fingerprint/A6NMY6.npy,protein_fingerprints/adj/A6NMY6.npy,protein_mpnn/A6NMY6.npz,protein_pdbs/A6NMY6.pdb
P04271,protein_fingerprints/fingerprint/P04271.npy,protein_fingerprints/adj/P04271.npy,protein_mpnn/P04271.npz,protein_pdbs/P04271.pdb
Q3B7K5,protein_fingerprints/fingerprint/Q3B7K5.npy,protein_fingerprints/adj/Q3B7K5.npy,protein_mpnn/Q3B7K5.npz,protein_pdbs/Q3B7K5.pdb
Q9UM91,protein_fingerprints/fingerprint/Q9UM91.npy,protein_fingerprints/adj/Q9UM91.npy,protein_mpnn/Q9UM91.npz,protein_pdbs/Q9UM91.pdb
A6MUU8,protein_fingerprints/fingerprint/A6MUU8.npy,protein_fingerprints/adj/A6MUU8.npy,protein_mpnn/A6MUU8.npz,protein_pdbs/A6MUU8.pdb
B4DH91,protein_fingerprints/fingerprint/B4DH91.npy,protein_fingerprints/adj/B4DH91.npy,protein_mpnn/B4DH91.npz,protein_pdbs/B4DH91.pdb
Q9UKX9,protein_fingerprints/fingerprint/Q9UKX9.npy,protein_fingerprints/adj/Q9UKX9.npy,protein_mpnn/Q9UKX9.npz,protein_pdbs/Q9UKX9.pdb
B7Z752,protein_fingerprints/fingerprint/B7Z752.npy,protein_fingerprints/adj/B7Z752.npy,protein_mpnn/B7Z752.npz,protein_pdbs/B7Z752.pdb
Q9HD36,protein_fingerprints/fingerprint/Q9HD36.npy,protein_fingerprints/adj/Q9HD36.npy,protein_mpnn/Q9HD36.npz,protein_pdbs/Q9HD36.pdb
A0A1B0GW57,protein_fingerprints/fingerprint/A0A1B0GW57.npy,protein_fingerprints/adj/A0A1B0GW57.npy,protein_mpnn/A0A1B0GW57.npz,protein_pdbs/A0A1B0GW57.pdb
A0A669KAY4,protein_fingerprints/fingerprint/A0A669KAY4.npy,protein_fingerprints/adj/A0A669KAY4.npy,protein_mpnn/A0A669KAY4.npz,protein_pdbs/A0A669KAY4.pdb
O15151,protein_fingerprints/fingerprint/O15151.npy,protein_fingerprints/adj/O15151.npy,protein_mpnn/O15151.npz,protein_pdbs/O15151.pdb
K7ESE0,protein_fingerprints/fingerprint/K7ESE0.npy,protein_fingerprints/adj/K7ESE0.npy,protein_mpnn/K7ESE0.npz,protein_pdbs/K7ESE0.pdb
O14924,protein_fingerprints/fingerprint/O14924.npy,protein_fingerprints/adj/O14924.npy,protein_mpnn/O14924.npz,protein_pdbs/O14924.pdb
B9TX56,protein_fingerprints/fingerprint/B9TX56.npy,protein_fingerprints/adj/B9TX56.npy,protein_mpnn/B9TX56.npz,protein_pdbs/B9TX56.pdb
C9J9N2,protein_fingerprints/fingerprint/C9J9N2.npy,protein_fingerprints/adj/C9J9N2.npy,protein_mpnn/C9J9N2.npz,protein_pdbs/C9J9N2.pdb
E9PAM9,protein_fingerprints/fingerprint/E9PAM9.npy,protein_fingerprints/adj/E9PAM9.npy,protein_mpnn/E9PAM9.npz,protein_pdbs/E9PAM9.pdb
P10415,protein_fingerprints/fingerprint/P10415.npy,protein_fingerprints/adj/P10415.npy,protein_mpnn/P10415.npz,protein_pdbs/P10415.pdb
A1ECD1,protein_fingerprints/fingerprint/A1ECD1.npy,protein_fingerprints/adj/A1ECD1.npy,protein_mpnn/A1ECD1.npz,protein_pdbs/A1ECD1.pdb
V9H0F2,protein_fingerprints/fingerprint/V9H0F2.npy,protein_fingerprints/adj/V9H0F2.npy,protein_mpnn/V9H0F2.npz,protein_pdbs/V9H0F2.pdb
E7ESS4,protein_fingerprints/fingerprint/E7ESS4.npy,protein_fingerprints/adj/E7ESS4.npy,protein_mpnn/E7ESS4.npz,protein_pdbs/E7ESS4.pdb
P63000,protein_fingerprints/fingerprint/P63000.npy,protein_fingerprints/adj/P63000.npy,protein_mpnn/P63000.npz,protein_pdbs/P63000.pdb
H9KVB1,protein_fingerprints/fingerprint/H9KVB1.npy,protein_fingerprints/adj/H9KVB1.npy,protein_mpnn/H9KVB1.npz,protein_pdbs/H9KVB1.pdb
AF-A0A0S2Z449-F1-model_v4,protein_fingerprints/fingerprint/AF-A0A0S2Z449-F1-model_v4.npy,protein_fingerprints/adj/AF-A0A0S2Z449-F1-model_v4.npy,protein_mpnn/AF-A0A0S2Z449-F1-model_v4.npz,protein_pdbs/AF-A0A0S2Z449-F1-model_v4.pdb
A0A669KBG0,protein_fingerprints/fingerprint/A0A669KBG0.npy,protein_fingerprints/adj/A0A669KBG0.npy,protein_mpnn/A0A669KBG0.npz,protein_pdbs/A0A669KBG0.pdb
C9J417,protein_fingerprints/fingerprint/C9J417.npy,protein_fingerprints/adj/C9J417.npy,protein_mpnn/C9J417.npz,protein_pdbs/C9J417.pdb
Q9NZG9,protein_fingerprints/fingerprint/Q9NZG9.npy,protein_fingerprints/adj/Q9NZG9.npy,protein_mpnn/Q9NZG9.npz,protein_pdbs/Q9NZG9.pdb
P01130,protein_fingerprints/fingerprint/P01130.npy,protein_fingerprints/adj/P01130.npy,protein_mpnn/P01130.npz,protein_pdbs/P01130.pdb
AF-E7EWM1-F1-model_v4,protein_fingerprints/fingerprint/AF-E7EWM1-F1-model_v4.npy,protein_fingerprints/adj/AF-E7EWM1-F1-model_v4.npy,protein_mpnn/AF-E7EWM1-F1-model_v4.npz,protein_pdbs/AF-E7EWM1-F1-model_v4.pdb
Q5W0X3,protein_fingerprints/fingerprint/Q5W0X3.npy,protein_fingerprints/adj/Q5W0X3.npy,protein_mpnn/Q5W0X3.npz,protein_pdbs/Q5W0X3.pdb
AF-A0A0M3KKW8-F1-model_v4,protein_fingerprints/fingerprint/AF-A0A0M3KKW8-F1-model_v4.npy,protein_fingerprints/adj/AF-A0A0M3KKW8-F1-model_v4.npy,protein_mpnn/AF-A0A0M3KKW8-F1-model_v4.npz,protein_pdbs/AF-A0A0M3KKW8-F1-model_v4.pdb
P17544,protein_fingerprints/fingerprint/P17544.npy,protein_fingerprints/adj/P17544.npy,protein_mpnn/P17544.npz,protein_pdbs/P17544.pdb
A0A804HKM6,protein_fingerprints/fingerprint/A0A804HKM6.npy,protein_fingerprints/adj/A0A804HKM6.npy,protein_mpnn/A0A804HKM6.npz,protein_pdbs/A0A804HKM6.pdb
