DLiP-ID,C002HE
AATS3s,5.458994708994711
AATS3v,181.81832688963303
AATS4Z,23.09375
AATS4d,2.96875
AATS4i,165.98275350005156
AATS4m,85.0572016875
AATS4p,1.2192143809640312
AATS4s,5.534722222222222
AATS4v,196.08167867352185
AATS5Z,22.77777777777778
AATS5d,3.259259259259259
AATS5i,166.40836839521288
AATS5m,84.77397288888888
AATS5p,1.204732929946185
AATS5s,4.583333333333333
AATS5v,193.63518576066048
AATS6Z,26.53846153846154
AATS6d,3.230769230769231
AATS6i,165.34405494756916
AATS6m,100.28624188461541
AATS6p,1.2563986120653077
AATS6s,6.24786324786325
AATS6v,204.86124971136093
AATS7Z,21.92
AATS7d,3.04
AATS7i,163.15224878236796
AATS7m,80.69440904
AATS7p,1.17695026174792
AATS7s,4.59111111111111
AATS7v,183.26959994591445
AATS8Z,20.5
AATS8d,2.5
AATS8i,172.19090008831984
AATS8m,75.50909054999998
AATS8p,0.9420706870697998
AATS8s,4.708333333333333
AATS8v,151.34109629736236
AMID_C,1.0349521254840237
AMID_N,0.3895047004822768
AMID_O,0.5744732683998854
AMID_X,0.0
AMID_h,0.9639779688821624
ATS0dv,342.0
ATS0pe,172.79280000000003
ATS0se,204.71686400000007
ATS1dv,295.0
ATS1pe,176.80730000000005
ATS1se,206.32170800000003
ATS2dv,432.0
ATS2pe,288.5690000000001
ATS2se,341.06130000000013
ATS3dv,343.0
ATS3pe,301.946
ATS3se,363.4295839999999
ATS4dv,249.0
ATS4pe,229.8751
ATS4se,276.06291200000004
ATS5dv,204.0
ATS5pe,189.79110000000003
ATS5se,229.03270400000002
ATS6dv,253.0
ATS6pe,192.95250000000001
ATS6se,230.357292
ATS7dv,187.0
ATS7pe,174.95420000000001
ATS7se,211.480056
ATS8dv,134.0
ATS8pe,139.6772
ATS8se,170.21006000000006
ATSC0Z,176.95652173913047
ATSC0c,1.0790747599482848
ATSC0d,13.913043478260867
ATSC0i,35.509483100477716
ATSC0m,825.4350636521741
ATSC0p,4.356836826221218
ATSC0s,94.49758454106279
ATSC0v,853.1650841093226
ATSC1Z,14.523629489603017
ATSC1c,-0.5767780006577562
ATSC1d,1.2211720226843121
ATSC1i,-5.932547482101571
ATSC1m,64.72696744990533
ATSC1p,-0.9690712150555704
ATSC1s,-4.234194496954418
ATSC1v,-112.46710504253703
ATSC2Z,18.76937618147447
ATSC2c,-0.06286609981781395
ATSC2d,-2.8090737240075603
ATSC2i,-7.229172543340246
ATSC2m,82.76067541587886
ATSC2p,-0.4915532295987135
ATSC2s,31.046366309598838
ATSC2v,-62.02511173209061
ATSC3Z,2.7315689981096427
ATSC3c,0.34919668275828053
ATSC3d,-5.145557655954631
ATSC3i,-0.3191328465595713
ATSC3m,12.097297417769493
ATSC3p,0.4113061937218625
ATSC3s,15.697647553035077
ATSC3v,53.9170219889339
ATSC4Z,-81.11342155009453
ATSC4c,-0.053712426642980295
ATSC4d,0.5992438563327029
ATSC4i,-8.48844945546964
ATSC4m,-373.52153125519857
ATSC4p,-0.8122691362736063
ATSC4s,-47.89519008611637
ATSC4v,-206.7502619313771
ATSC5Z,-14.557655954631374
ATSC5c,-0.5075347361700329
ATSC5d,0.88468809073724
ATSC5i,-0.5165926231187391
ATSC5m,-61.32025820037805
ATSC5p,-0.19972566677847275
ATSC5s,-19.505618567527826
ATSC5v,53.87286569222212
ATSC6Z,-0.29867674858223214
ATSC6c,0.5107704678936422
ATSC6d,0.8374291115311906
ATSC6i,13.250591847391542
ATSC6m,-4.632060867674884
ATSC6p,0.7020011348119714
ATSC6s,4.084856122663304
ATSC6v,7.083355067794713
ATSC7Z,-21.47448015122873
ATSC7c,-0.11846635981903748
ATSC7d,-3.2098298676748582
ATSC7i,-9.602699429173725
ATSC7m,-103.29327275236288
ATSC7p,-1.3609985390840185
ATSC7s,-6.946649863474058
ATSC7v,-251.6773380570676
ATSC8Z,31.081285444234407
ATSC8c,-0.25853519523507007
ATSC8d,-4.098298676748584
ATSC8i,-5.636640225415958
ATSC8m,144.71665478071847
ATSC8p,-0.8985522241951036
ATSC8s,-13.560701533291322
ATSC8v,5.052749496998139
AXp-0d,0.721475349715032
AXp-1d,0.45086492929096755
AXp-2d,0.30125182578968696
AXp-3d,0.19676507503130639
AXp-4d,0.12756842386831618
AXp-5d,0.08525301267877683
AXp-6d,0.058573078315714656
AXp-7d,0.03645732772246707
GATS1Z,0.5206081081081081
GATS1c,1.5260162392100292
GATS1d,0.8894531250000002
GATS1i,1.4277165325811036
GATS1m,0.5279743366850436
GATS1p,1.292817504661017
GATS1s,0.5712472095836955
GATS1v,0.9932867393969304
GATS2Z,0.7395703395703395
GATS2c,1.1261342229985474
GATS2d,1.0744391025641027
GATS2i,1.2073916386012837
GATS2m,0.7439527699283273
GATS2p,1.0612919299230548
GATS2s,0.45500793703850806
GATS2v,0.9429728923777052
GATS3Z,1.0138352638352637
GATS3c,0.7900345871178222
GATS3d,1.110639880952381
GATS3i,0.9391547535788486
GATS3m,1.0158018823945953
GATS3p,0.8520138561860033
GATS3s,0.6147451440061736
GATS3v,0.9471144136024944
GATS4Z,1.2471283783783782
GATS4c,0.759428880815151
GATS4d,0.8894531250000002
GATS4i,1.150399549651988
GATS4m,1.2439554773098782
GATS4p,1.0899324080734416
GATS4s,1.487095256505291
GATS4v,1.122172959546532
GATS5Z,1.0475475475475473
GATS5c,1.1862469001001907
GATS5d,0.9663194444444446
GATS5i,0.9723755877350571
GATS5m,1.0436793777791928
GATS5p,1.0135159259352955
GATS5s,1.0272869106517692
GATS5v,0.963232032438571
GATS6Z,0.9467775467775466
GATS6c,0.702368849615016
GATS6d,0.821033653846154
GATS6i,0.619954544676945
GATS6m,0.9481866092886402
GATS6p,0.848440129247894
GATS6s,0.8387136098909526
GATS6v,0.9372059442640457
GATS7Z,1.0965405405405404
GATS7c,1.215053246056598
GATS7d,1.170125
GATS7i,1.171617981612595
GATS7m,1.102370740120913
GATS7p,1.3100560331901838
GATS7s,0.8425141863912889
GATS7v,1.3145508326115003
GATS8Z,0.9759459459459457
GATS8c,1.1208319837960992
GATS8d,1.4231250000000002
GATS8i,0.9869203992079812
GATS8m,0.978334028332833
GATS8p,1.1311241025009469
GATS8s,1.2756057972496293
GATS8v,1.0686152814881442
MATS1Z,0.07865479115479111
MATS1c,-0.512240304823897
MATS1d,0.08411458333333348
MATS1i,-0.1601081600538473
MATS1m,0.07514826205512933
MATS1p,-0.21315768407307203
MATS1s,-0.04294045975836269
MATS1v,-0.12633073911866025
MATS2Z,0.06255276255276251
MATS2c,-0.034358026668618646
MATS2d,-0.11907051282051279
MATS2i,-0.1200625239889205
MATS2m,0.05912951843045432
MATS2p,-0.0665368885125378
MATS2s,0.19375516956162128
MATS2v,-0.04287436596789188
MATS3Z,0.008453258453258457
MATS3c,0.17721362962190398
MATS3d,-0.20252976190476193
MATS3i,-0.004921593057336196
MATS3m,0.008025719747561931
MATS3p,0.05169785215048707
MATS3s,0.09096878872197108
MATS3v,0.03460759093635369
MATS4Z,-0.3294609950859951
MATS4c,-0.03577676735900327
MATS4d,0.030957031249999992
MATS4i,-0.17181531561175342
MATS4m,-0.32524496766810795
MATS4p,-0.1340005295087017
MATS4s,-0.3642915111701857
MATS4v,-0.17417701864617777
MATS5Z,-0.07007917007917003
MATS5c,-0.4006621421728962
MATS5d,0.054166666666666675
MATS5i,-0.012392756645077255
MATS5m,-0.06328271938546715
MATS5p,-0.03905050519304191
MATS5s,-0.17583409543176423
MATS5v,0.05378994201619842
MATS6Z,-0.0014931014931015003
MATS6c,0.41872484713438085
MATS6d,0.0532451923076923
MATS6i,0.33009991641652636
MATS6m,-0.004964160703193429
MATS6p,0.1425348317234861
MATS6s,0.03823935381626705
MATS6v,0.007344469416732059
MATS7Z,-0.1116461916461916
MATS7c,-0.10100231705793752
MATS7d,-0.21225000000000005
MATS7i,-0.24879222966557277
MATS7m,-0.11512693743794968
MATS7p,-0.2873916802257861
MATS7s,-0.06763048923879146
MATS7v,-0.2713931398801041
MATS8Z,0.20199017199017197
MATS8c,-0.27552815203886294
MATS8d,-0.3387500000000002
MATS8i,-0.1825466239789096
MATS8m,0.20161992181610894
MATS8p,-0.23717552413377938
MATS8s,-0.1650286283932314
MATS8v,0.006810712287427945
MAXaaO,4.812952569916856
MAXdsN,3.764558767951625
MAXssO,4.63172335600907
MINaaO,4.812952569916856
MINdsN,3.764558767951625
MINssO,4.63172335600907
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,20.111184257001426
SpAD_D,126.49696370846263
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6454474521289997
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,285
TMWC10,102.57197653770451
TSRW10,63.419661398393785
VE1_Dt,3.9512120629401406
VE2_Dt,0.2469507539337588
VE3_Dt,1.8440260124667616
VR1_Dt,72.45730892689235
VR2_Dt,4.528581807930772
VR3_Dt,4.753001175282907
Xc-3dv,0.2735212620770303
Xc-4dv,0.0
Xc-5dv,0.020877525112942143
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.23570226039551584
Xch-6d,0.35255917860840175
Xch-7d,0.38537974945151443
Xp-0dv,8.051649195806569
Xp-1dv,4.4456702878908345
Xp-2dv,2.95780073637687
Xp-3dv,1.884241642199914
Xp-4dv,1.1445450127258303
Xp-5dv,0.496840860485735
Xp-6dv,0.2478270361303068
Xp-7dv,0.11730888893735908
Xpc-4d,2.4455603512395716
Xpc-5d,2.8995033880774788
Xpc-6d,2.9994485363316943
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,0
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,24
nFRing,0
nHBAcc,6
nHBDon,0
nHRing,2
nSpiro,0
naRing,1
piPC10,5.37989735354046
AATS0dv,14.869565217391305
AATS0pe,7.51273043478261
AATS0se,8.900733217391307
AATS1dv,12.291666666666666
AATS1pe,7.366970833333336
AATS1se,8.596737833333334
AATS2dv,11.076923076923077
AATS2pe,7.39920512820513
AATS2se,8.745161538461542
AATS3dv,8.166666666666666
AATS3pe,7.189190476190477
AATS3se,8.653085333333332
AATS4dv,7.78125
AATS4pe,7.183596875
AATS4se,8.626966000000001
AATS5dv,7.555555555555555
AATS5pe,7.029300000000001
AATS5se,8.482692740740742
AATS6dv,9.73076923076923
AATS6pe,7.421250000000001
AATS6se,8.859895846153846
AATS7dv,7.48
AATS7pe,6.998168000000001
AATS7se,8.45920224
AATS8dv,6.7
AATS8pe,6.98386
AATS8se,8.510503000000003
AATSC0Z,7.693761814744803
AATSC0c,0.04691629391079499
AATSC0d,0.604914933837429
AATSC0i,1.5438905695859877
AATSC0m,35.88848102835539
AATSC0p,0.1894276880965747
AATSC0s,4.108590632220121
AATSC0v,37.09413409170968
AATSC1Z,0.6051512287334591
AATSC1c,-0.024032416694073175
AATSC1d,0.050882167611846336
AATSC1i,-0.24718947842089878
AATSC1m,2.6969569770793886
AATSC1p,-0.040377967293982096
AATSC1s,-0.17642477070643406
AATSC1v,-4.686129376772376
AATSC2Z,0.48126605593524285
AATSC2c,-0.001611951277379845
AATSC2d,-0.07202753138480923
AATSC2i,-0.18536339854718578
AATSC2m,2.1220686004071503
AATSC2p,-0.012603928964069576
AATSC2s,0.7960606746050984
AATSC2v,-1.5903874803100155
AATSC3Z,0.06503735709784864
AATSC3c,0.008314206732340013
AATSC3d,-0.12251327752272931
AATSC3i,-0.007598401108561222
AATSC3m,0.28803089089927364
AATSC3p,0.009793004612425297
AATSC3s,0.3737535131675018
AATSC3v,1.2837386187841404
AATSC4Z,-2.534794423440454
AATSC4c,-0.0016785133325931342
AATSC4d,0.018726370510396967
AATSC4i,-0.26526404548342625
AATSC4m,-11.672547851724955
AATSC4p,-0.025383410508550197
AATSC4s,-1.4967246901911366
AATSC4v,-6.460945685355535
AATSC5Z,-0.5391724427641249
AATSC5c,-0.018797582821112328
AATSC5d,0.03276622558286074
AATSC5i,-0.019133060115508856
AATSC5m,-2.271120674088076
AATSC5p,-0.007397246917721213
