DLiP-ID,C001DN
AATS6p,1.1152607152057248
AATS6s,2.394045242847638
AATS6v,142.40346705321235
AATS7Z,11.86013986013986
AATS7d,2.3846153846153846
AATS7i,165.12818275854553
AATS7m,40.32653523076924
AATS7p,1.1062714263832798
AATS7s,2.306138306138306
AATS7v,141.48935291173805
AATS8Z,11.78225806451613
AATS8d,2.3870967741935485
AATS8i,163.35833041846715
AATS8m,39.595128362903246
AATS8p,1.112388731848129
AATS8s,2.422267025089606
AATS8v,141.90628591453557
AMID_C,1.7501441634808705
AMID_N,0.21159987629127538
AMID_O,0.1258299492505703
AMID_X,0.0
AMID_h,0.3374298255418457
ATS0dv,364.0
ATS0pe,354.31449999999995
ATS0se,440.6566959999999
ATS1dv,383.0
ATS1pe,401.6575000000001
ATS1se,481.27185599999973
ATS2dv,550.0
ATS2pe,721.5217999999998
ATS2se,878.676556
ATS3dv,505.0
ATS3pe,951.494
ATS3se,1175.0120359999994
ATS4dv,470.0
ATS4pe,1138.0556000000001
ATS4se,1427.3683359999995
ATS5dv,415.0
ATS5pe,1061.8316000000002
ATS5se,1335.9971319999997
ATS6dv,381.0
ATS6pe,994.9506999999999
ATS6se,1252.7582040000002
ATS7dv,305.0
ATS7pe,844.8204999999999
ATS7se,1065.809216
ATS8dv,294.0
ATS8pe,737.5071
ATS8se,929.8461639999999
ATSC0Z,413.22033898305096
ATSC0c,0.8838954599715604
ATSC0d,35.52542372881355
ATSC0i,86.89008674486485
ATSC0m,1976.7077304067795
ATSC0p,13.72231469733271
ATSC0s,45.983050847457626
ATSC0v,3057.3857952849758
ATSC1Z,35.59523125538638
ATSC1c,-0.5326081509567242
ATSC1d,14.269462798046545
ATSC1i,-15.259043718044563
ATSC1m,167.57786010801476
ATSC1p,-0.5763939525567232
ATSC1s,-0.14574356027961136
ATSC1v,39.93263679354851
ATSC2Z,13.502729100833095
ATSC2c,0.19424656002771964
ATSC2d,-0.5665038781959246
ATSC2i,37.761213202740315
ATSC2m,67.56646315627667
ATSC2p,3.8408362598870713
ATSC2s,15.100362284145678
ATSC2v,504.47445961752624
ATSC3Z,-113.99683998850904
ATSC3c,-0.04090254497390018
ATSC3d,-9.915541511060045
ATSC3i,-38.72362776239168
ATSC3m,-553.766291377478
ATSC3p,-5.7415144483892755
ATSC3s,-3.7187350378243798
ATSC3v,-1161.1281209084655
ATSC4Z,-101.02212008043664
ATSC4c,-0.12327449723572882
ATSC4d,-12.81154840563057
ATSC4i,0.9789892219548064
ATSC4m,-476.58880888307965
ATSC4p,-1.1695301840446557
ATSC4s,-11.429777522423313
ATSC4v,-438.3718811295995
ATSC5Z,-15.472565354783105
ATSC5c,0.038709305121563245
ATSC5d,-11.764435507038211
ATSC5i,-35.012614593163
ATSC5m,-86.61162797673066
ATSC5p,-4.674235497459995
ATSC5s,5.08306999904242
ATSC5v,-706.1252184377554
ATSC6Z,-67.03045101982192
ATSC6c,0.09683695410367131
ATSC6d,-5.097385808675663
ATSC6i,-15.416128864769869
ATSC6m,-318.5826929310544
ATSC6p,-1.3241493520025076
ATSC6s,-12.050424526796261
ATSC6v,-432.6985322708435
ATSC7Z,-8.110313128411375
ATSC7c,-0.10118493231585288
ATSC7d,-7.3751795461074385
ATSC7i,4.870387800153729
ATSC7m,-36.080518375753954
ATSC7p,-0.25298459307928695
ATSC7s,-1.7913115643652855
ATSC7v,54.40179835671837
ATSC8Z,-76.75122091353057
ATSC8c,0.03388168526769364
ATSC8d,4.777075553002012
ATSC8i,-4.368164739294613
ATSC8m,-363.5533751430622
ATSC8p,-1.6033712056727345
ATSC8s,-12.481798014619041
ATSC8v,-436.0132585530681
AXp-0d,0.6888187153356883
AXp-1d,0.4293340231860007
AXp-2d,0.27451147630305334
AXp-3d,0.17044046549333536
AXp-4d,0.10563346738597136
AXp-5d,0.06746103384038261
AXp-6d,0.04148048397823695
AXp-7d,0.026533210430631986
GATS1Z,0.8421657095980309
GATS1c,1.6789175863225
GATS1d,0.7774445656125047
GATS1i,1.3581608130544378
GATS1m,0.8472786128160935
GATS1p,1.1146062400438301
GATS1s,0.5931274463342285
GATS1v,1.0096289508836958
GATS2Z,0.9568955309055888
GATS2c,1.0942114752063876
GATS2d,1.320303684035845
GATS2i,0.9197454075676167
GATS2m,0.9558489231564486
GATS2p,0.8592554452434558
GATS2s,0.49204225138935637
GATS2v,0.8918096991192843
GATS3Z,1.0411584511064265
GATS3c,0.9049335729182584
GATS3d,1.2503080007730218
GATS3i,1.2200626948688007
GATS3m,1.046268615942322
GATS3p,1.1863179213676653
GATS3s,0.6704719242611109
GATS3v,1.1526489051916002
GATS4Z,1.0647694062756354
GATS4c,1.0198269448165325
GATS4d,1.1819586911577613
GATS4i,0.9869082239572959
GATS4m,1.0630444867362825
GATS4p,0.9958331368503435
GATS4s,1.009414173953257
GATS4v,1.0166818633402868
GATS5Z,0.9926078345170162
GATS5c,1.046540876264485
GATS5d,1.12750938383029
GATS5i,1.0976229154175787
GATS5m,0.995138312357931
GATS5p,1.0872416638704265
GATS5s,0.8213384751182098
GATS5v,1.0578940779378219
GATS6Z,1.088847980822604
GATS6c,1.1415643829297368
GATS6d,0.9874011518946842
GATS6i,1.0207012559328639
GATS6m,1.083770458113232
GATS6p,0.9714717899996251
GATS6s,1.6063549887569744
GATS6v,0.994997535461777
GATS7Z,1.0281685090954982
GATS7c,1.3324267738743423
GATS7d,1.0218231196284635
GATS7i,0.947815658493764
GATS7m,1.0244221517546819
GATS7p,0.9377345648637956
GATS7s,1.28840841142721
GATS7v,0.9394042064692386
GATS8Z,1.1228876127973746
GATS8c,1.216243556847475
GATS8d,0.8360663937453832
GATS8i,0.9556235798191125
GATS8m,1.1167864851997007
GATS8p,1.0075862328253273
GATS8s,1.75270088793239
GATS8v,1.020546783702236
MATS1Z,0.0806717710327226
MATS1c,-0.5643108071126852
MATS1d,0.3761662425784566
MATS1i,-0.16446312900377957
MATS1m,0.07939362686757787
MATS1p,-0.0393372053498725
MATS1s,-0.002968267619944694
MATS1v,0.012231767198146892
MATS2Z,0.01676463244997681
MATS2c,0.11274741789038782
MATS2d,-0.008181214736143437
MATS2i,0.22296150102565182
MATS2m,0.017536499067744116
MATS2p,0.1435993881255291
MATS2s,0.1684782163531823
MATS2v,0.08465314774965263
MATS3Z,-0.10301632381802885
MATS3c,-0.017280024437474936
MATS3d,-0.10422504589815448
MATS3i,-0.16641816563540587
MATS3m,-0.1046113917597943
MATS3p,-0.15624064093229167
MATS3s,-0.030198987217351675
MATS3v,-0.14181586699654578
MATS4Z,-0.0751251879956248
MATS4c,-0.04285713348304939
MATS4d,-0.11081872216921125
MATS4i,0.003462250308789971
MATS4m,-0.07408873205864644
MATS4p,-0.02618996046941788
MATS4s,-0.07638195638967386
MATS4v,-0.04405987173089503
MATS5Z,-0.012205457783981974
MATS5c,0.014275387599174183
MATS5d,-0.10794567922061496
MATS5i,-0.13134929594126402
MATS5m,-0.01428259685659978
MATS5p,-0.11103417016336566
MATS5s,0.036033109800096254
MATS5v,-0.07528438645193923
MATS6Z,-0.057309417260638706
MATS6c,0.03870577413954267
MATS6d,-0.05069250811354388
MATS6i,-0.06268168198003664
MATS6m,-0.05693971103178921
MATS6p,-0.03409142367297393
MATS6s,-0.09258488797071052
MATS6v,-0.050000082284986015
MATS7Z,-0.00809789062455182
MATS7c,-0.047231410622217085
MATS7d,-0.0856543265894411
MATS7i,0.023126466735648478
MATS7m,-0.007530889616342779
MATS7p,-0.007606461517993834
MATS7s,-0.016072717878836577
MATS7v,0.00734140168333204
MATS8Z,-0.08837591627193093
MATS8c,0.018238722984735313
MATS8d,0.06398131617828125
MATS8i,-0.023919885944724356
MATS8m,-0.08750967011350634
MATS8p,-0.055595166035489245
MATS8s,-0.12915454528640147
MATS8v,-0.06785467562786845
MAXssO,5.382088173053631
MINssO,5.382088173053631
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.17189480412456
SpAD_D,372.04651620251843
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.160724554941796
SssNH2,0
SsssAs,0
SsssCH,1.4604768298192927
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1520
TMWC10,142.57317444597834
TSRW10,80.49400221659158
VE1_Dt,5.430931148044992
VE2_Dt,0.1810310382681664
VE3_Dt,2.7907228900571375
VR1_Dt,192.3429271422247
VR2_Dt,6.411430904740824
VR3_Dt,6.35789214641949
Xc-3dv,1.2110210867277855
Xc-4dv,0.0
Xc-5dv,0.24557817146849692
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.5060593834837511
Xch-7d,0.8943498817111288
Xp-0dv,17.674660908135895
Xp-1dv,10.814868724321078
Xp-2dv,8.868508187653743
Xp-3dv,6.8657004485035324
Xp-4dv,5.48083203939747
Xp-5dv,4.254857426432529
Xp-6dv,2.777526189722054
Xp-7dv,1.9881112085386867
Xpc-4d,4.754075214354975
Xpc-5d,8.12971888577569
Xpc-6d,13.606924568645288
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,63
nFRing,1
nHBAcc,4
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,7.561511731937163
AATS0dv,6.169491525423729
AATS0pe,6.005330508474575
AATS0se,7.468757559322032
AATS1dv,6.079365079365079
AATS1pe,6.375515873015875
AATS1se,7.6392358095238055
AATS2dv,4.782608695652174
AATS2pe,6.27410260869565
AATS2se,7.6406657043478265
AATS3dv,3.1962025316455698
AATS3pe,6.022113924050633
AATS3se,7.43678503797468
AATS4dv,2.4479166666666665
AATS4pe,5.927372916666667
AATS4se,7.434210083333331
AATS5dv,2.292817679558011
AATS5pe,5.866472928176797
AATS5se,7.3811996243093905
AATS6dv,2.281437125748503
AATS6pe,5.9577886227544905
AATS6se,7.501546131736528
AATS7dv,2.132867132867133
AATS7pe,5.907835664335664
AATS7se,7.4532113006993015
AATS8dv,2.370967741935484
AATS8pe,5.947637903225806
AATS8se,7.498759387096774
AATSC0Z,7.003734559034762
AATSC0c,0.01498127898256882
AATSC0d,0.6021258259120941
AATSC0i,1.4727133346587262
AATSC0m,33.503520854352196
AATSC0p,0.23258160503953745
AATSC0s,0.779373743177248
AATSC0v,51.82009822516908
AATSC1Z,0.5650036707204188
AATSC1c,-0.008454097634233718
AATSC1d,0.2264994094928023
AATSC1i,-0.24220704314356448
AATSC1m,2.659966033460552
AATSC1p,-0.009149110358043226
AATSC1s,-0.0023133898457081167
AATSC1v,0.6338513776753731
AATSC2Z,0.11741503565941822
AATSC2c,0.001689100521980171
AATSC2d,-0.004926120679964562
AATSC2i,0.32835837567600273
AATSC2m,0.5875344622284928
AATSC2p,0.03339857617293106
AATSC2s,0.1313074981230059
AATSC2v,4.38673443145675
AATSC3Z,-0.7214989872690445
AATSC3c,-0.00025887686692341885
AATSC3d,-0.06275659184215218
AATSC3i,-0.24508625166070683
AATSC3m,-3.504849945427076
AATSC3p,-0.03633869904043845
AATSC3s,-0.02353629770774924
AATSC3v,-7.348912157648516
AATSC4Z,-0.5261568754189409
AATSC4c,-0.0006420546731027543
AATSC4d,-0.06672681461265921
AATSC4i,0.0050989021976812834
AATSC4m,-2.482233379599373
AATSC4p,-0.006091303041899248
