DLiP-ID,P000EI
SLogP,2.0581999999999994
SRW02,4.3694478524670215
SRW03,0.0
SRW04,5.700443573390687
SRW05,2.3978952727983707
SRW06,7.2305631534092925
SRW07,4.727387818712341
SRW08,8.844912950899548
SRW09,6.823286122355687
SRW10,10.50092197226688
SaaCH,12.412466931160768
SaaNH,0
SaaSe,0
SaaaC,0.675303439385057
SaasC,3.526486707242
SaasN,1.6412628219075376
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.1818931085041775
SdssS,0
SsCH3,5.408081329344393
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,6.293732471940393
SsssP,0
VE1_A,4.265541777750207
VE1_D,5.830841573468276
VE2_A,0.1218726222214345
VE2_D,0.16659547352766502
VE3_A,2.7033321701523603
VE3_D,3.0159243106643934
VR1_A,2026.1191907072246
VR1_D,244.00859559419533
VR2_A,57.889119734492134
VR2_D,6.971674159834152
VR3_A,8.866640482129927
VR3_D,6.749966421013147
WPath,4765
Xc-3d,2.127476015241819
Xc-4d,0.0
Xc-5d,0.6461683496186241
Xc-6d,0.0
Xp-0d,24.363232072819912
Xp-1d,17.02920844090216
Xp-2d,15.162261093961723
Xp-3d,13.81859789725727
Xp-4d,10.877440977158388
Xp-5d,8.55999728731129
Xp-6d,6.122687136014872
Xp-7d,4.549732929946075
ZMIC0,117.62770326433865
ZMIC1,53.71451263593317
ZMIC2,31.276294918837966
ZMIC3,27.150642290818254
ZMIC4,27.03042279548736
ZMIC5,27.03042279548736
nAcid,0
nAtom,68
nBase,1
nRing,5
piPC1,3.8918202981106265
piPC2,4.45143608604605
piPC3,5.023057814094813
piPC4,5.53758029974213
piPC5,6.016004709053954
piPC6,6.28387176657375
piPC7,6.631538478389613
piPC8,6.940823540859957
piPC9,7.006196206287212
AATS0Z,21.58823529411765
AATS0d,3.25
AATS0i,166.28199582540762
AATS0m,85.02072769117649
AATS0p,1.3940343802943675
AATS0s,3.2900326797385624
AATS0v,205.38320078527644
AATS1Z,24.61111111111111
AATS1d,3.9305555555555554
AATS1i,150.21883082028754
AATS1m,93.12268337500001
AATS1p,1.6914147531944446
AATS1s,2.907793209876543
AATS1v,248.66713561647623
AATS2Z,20.03053435114504
AATS2d,3.519083969465649
AATS2i,161.3336223063526
AATS2m,74.11327580916031
AATS2p,1.419807663453687
AATS2s,2.6827820186598816
AATS2v,203.7432592893301
AATS3Z,17.157894736842106
AATS3d,3.064327485380117
AATS3i,161.59265321812998
AATS3m,61.880375473684204
AATS3p,1.3295242847723623
AATS3s,2.672514619883041
AATS3v,183.28314322540885
AATS4Z,13.592783505154639
AATS4d,2.5927835051546393
AATS4i,161.48183040592204
AATS4m,46.395668819587634
AATS4p,1.2230248452859278
AATS4s,2.449885452462772
AATS4v,159.9175926708499
AATS5Z,11.230392156862745
AATS5d,2.3186274509803924
AATS5i,166.62154834210685
AATS5m,37.6603183872549
AATS5p,1.0690607090381814
AATS5s,2.1597222222222223
AATS5v,134.45804890609838
AATS6Z,12.152941176470588
AATS6d,2.523529411764706
AATS6i,166.24959400419908
AATS6m,42.07732570588234
AATS6p,1.0889743752964294
AATS6s,2.193790849673203
AATS6v,140.34572811691464
AATS7Z,14.761194029850746
AATS7d,2.873134328358209
AATS7i,162.99513070346177
AATS7m,51.84656649253731
AATS7p,1.2429739886124926
AATS7s,2.4050580431177444
AATS7v,167.7424045815111
AATS8Z,14.476923076923077
AATS8d,2.7
AATS8i,160.28596624522717
AATS8m,50.02628359230768
AATS8p,1.2797515730252458
AATS8s,2.5414529914529917
AATS8v,170.00524084796214
AMID_C,1.4763134299964489
AMID_N,0.4287545944114332
AMID_O,0.16292899349439818
AMID_X,0.0
AMID_h,0.5916835879058313
ATS0dv,486.0
ATS0pe,422.4745
ATS0se,521.688812
ATS1dv,504.0
ATS1pe,473.0462
ATS1se,563.9739719999999
ATS2dv,703.0
ATS2pe,846.1915999999999
ATS2se,1028.168708
ATS3dv,666.0
ATS3pe,1074.3873000000003
ATS3se,1319.5919599999997
ATS4dv,473.0
ATS4pe,1181.8784999999998
ATS4se,1470.2262759999999
ATS5dv,433.0
ATS5pe,1202.5478000000003
ATS5se,1520.447236
ATS6dv,424.0
ATS6pe,1005.3136999999999
ATS6se,1270.716976
ATS7dv,396.0
ATS7pe,824.6589999999999
ATS7se,1024.123944
ATS8dv,389.0
ATS8pe,801.0046000000002
ATS8se,993.0914680000001
ATSC0Z,504.2352941176472
ATSC0c,1.2996829820553466
ATSC0d,39.80882352941177
ATSC0i,103.27391194590871
ATSC0m,2399.030479691177
ATSC0p,14.568976614302866
ATSC0s,56.40196078431374
ATSC0v,3296.190692669587
ATSC1Z,55.51557093425606
ATSC1c,-0.6444500949245204
ATSC1d,17.790657439446367
ATSC1i,-32.80755250341275
ATSC1m,254.7173902534605
ATSC1p,-2.660883232987403
ATSC1s,2.7328911956939694
ATSC1v,-226.73890754873307
ATSC2Z,72.1937716262976
ATSC2c,-0.17410880530358322
ATSC2d,-4.48464532871972
ATSC2i,14.672833605473413
ATSC2m,347.1099915655278
ATSC2p,2.716979481506093
ATSC2s,6.85390234525183
ATSC2v,562.6778255404845
ATSC3Z,-18.4152249134948
ATSC3c,0.5160771919237104
ATSC3d,-22.62218858131488
ATSC3i,26.465806973437918
ATSC3m,-96.1744707528112
ATSC3p,-0.27929200417962363
ATSC3s,16.06189926951173
ATSC3v,-204.21602502601576
ATSC4Z,-301.9065743944636
ATSC4c,-0.5018945805941996
ATSC4d,-10.086937716262973
ATSC4i,-44.40987246465511
ATSC4m,-1438.4600813983566
ATSC4p,-7.707422207419226
ATSC4s,-31.158208381391766
ATSC4v,-1918.5459856346467
ATSC5Z,-16.764705882352953
ATSC5c,0.04700884291970324
ATSC5d,12.676470588235297
ATSC5i,7.737445839969757
ATSC5m,-80.52786745588244
ATSC5p,-0.47766184791922095
ATSC5s,-14.841503267973865
ATSC5v,-99.70318713997533
ATSC6Z,145.99999999999994
ATSC6c,0.26499536167767546
ATSC6d,2.1397058823529402
ATSC6i,6.38439428427886
ATSC6m,700.4244067279411
ATSC6p,4.227475924631081
ATSC6s,6.408496732026135
ATSC6v,1019.6700996447851
ATSC7Z,-83.2871972318339
ATSC7c,-0.2339209410926679
ATSC7d,-10.461505190311415
ATSC7i,5.80809765775386
ATSC7m,-382.06780921496534
ATSC7p,0.7546372993037016
ATSC7s,-9.963667820069203
ATSC7v,-2.156901340804712
ATSC8Z,-209.62629757785467
ATSC8c,0.07175067466627444
ATSC8d,0.3801903114186856
ATSC8i,-9.13480204639813
ATSC8m,-989.4451367478371
ATSC8p,-2.2228504092633496
ATSC8s,-12.479238754325257
ATSC8v,-936.6833891787754
AXp-0d,0.6960923449377118
AXp-1d,0.43664637027954256
AXp-2d,0.2756774744356677
AXp-3d,0.18424797196343026
AXp-4d,0.11696173093718697
AXp-5d,0.07443475902009818
AXp-6d,0.048981497088118976
AXp-7d,0.03226760943224167
GATS1Z,0.7926331531601595
GATS1c,1.5712022870844138
GATS1d,0.724643927266757
GATS1i,1.6140241638952029
GATS1m,0.8010812524341098
GATS1p,1.3262376926465498
GATS1s,0.5815770033026245
GATS1v,1.1220213895439133
GATS2Z,0.9052707554865297
GATS2c,1.4309588337240526
GATS2d,1.304037877484723
GATS2i,1.0842966290449398
GATS2m,0.9034132630081196
GATS2p,0.9088648360108957
GATS2s,0.6603233670761
GATS2v,0.8837205492253302
GATS3Z,0.9837373414871754
GATS3c,0.9828155002900548
GATS3d,1.377930727570064
GATS3i,0.986890239361513
GATS3m,0.9855240885070362
GATS3p,1.0263992500763708
GATS3s,0.8340013465302787
GATS3v,1.0173073088899323
GATS4Z,1.1701857762747085
GATS4c,0.8957424537591535
GATS4d,0.975991987173384
GATS4i,1.166104892275527
GATS4m,1.1720168689387964
GATS4p,1.2144340751584621
GATS4s,1.501120960048933
GATS4v,1.2137130865654295
GATS5Z,0.9916734717685485
GATS5c,0.765033134033377
GATS5d,0.7053934244551163
GATS5i,0.879217439145696
GATS5m,0.9931946830899461
GATS5p,0.987351720420073
GATS5s,0.9659791026903836
GATS5v,1.005988896570169
GATS6Z,0.8754083061129255
GATS6c,0.9339961477963016
GATS6d,0.9652752124122643
GATS6i,0.8611035069846641
GATS6m,0.874910679246885
GATS6p,0.8691569415390785
GATS6s,0.730210325047801
GATS6v,0.8758119200479
GATS7Z,1.0669622025198318
GATS7c,1.2546266747346186
GATS7d,1.1869227927595123
GATS7i,0.9828714014394287
GATS7m,1.063526098187982
GATS7p,0.9817779751815416
GATS7s,0.7808534677559532
GATS7v,0.9924853095213465
GATS8Z,1.1861602175239596
GATS8c,0.9711368531575585
GATS8d,0.8091557500497286
GATS8i,1.070159533798251
GATS8m,1.1846825323660344
GATS8p,1.1268986236246001
GATS8s,0.9570479393137135
GATS8v,1.1615136053659836
MATS1Z,0.10398195675843831
MATS1c,-0.4683044406033771
MATS1d,0.4220744571686573
MATS1i,-0.30002650343967235
MATS1m,0.10027651843724635
MATS1p,-0.17249367977179475
MATS1s,0.04576195350573944
MATS1v,-0.06496659979352391
MATS2Z,0.07431972728535656
MATS2c,-0.069537795773075
MATS2d,-0.05847717396515109
MATS2i,0.07374982285194474
MATS2m,0.07510502004385382
MATS2p,0.09680436255435562
MATS2s,0.06307849560954813
MATS2v,0.08861047992805936
MATS3Z,-0.014523008407626615
MATS3c,0.15790287438801112
MATS3d,-0.22597899748756206
MATS3i,0.10190777390597722
MATS3m,-0.0159417811080995
MATS3p,-0.007623286795117419
MATS3s,0.11324407741837551
MATS3v,-0.02463714004376394
MATS4Z,-0.20986813937490065
MATS4c,-0.13535747884954324
MATS4d,-0.08881517562333618
MATS4i,-0.15072874413452889
MATS4m,-0.21016927755877948
MATS4p,-0.18543311188992959
MATS4s,-0.19363571254919734
MATS4v,-0.204017333614031
MATS5Z,-0.011082594493700424
MATS5c,0.012056489561621773
MATS5d,0.10614456347740428
MATS5i,0.02497386382220246
MATS5m,-0.011188945998197386
MATS5p,-0.010928744014645565
MATS5s,-0.087712690963169
MATS5v,-0.010082667785949165
MATS6Z,0.11581894540363968
MATS6c,0.0815569228300908
MATS6d,0.02149981529368303
MATS6i,0.024728004058267045
MATS6m,0.11678457821312976
MATS6p,0.11606788964108358
MATS6s,0.045448751376093555
MATS6v,0.12373921228676896
MATS7Z,-0.08382028262792428
MATS7c,-0.09133469534507573
MATS7d,-0.13335796084226073
MATS7i,0.028539568083679932
MATS7m,-0.08081812988887727
MATS7p,0.026285324043453413
MATS7s,-0.08964563589146218
MATS7v,-0.0003320642071768619
MATS8Z,-0.21745934886392185
MATS8c,0.028877135925697545
MATS8d,0.004995595464749515
MATS8i,-0.04626729110299775
MATS8m,-0.21573544899275648
MATS8p,-0.07980805950338804
MATS8s,-0.11573359718675201
MATS8v,-0.1486435436513174
MAXaaN,4.665399768906043
MAXssO,5.97790511950633
MINaaN,3.9920595808358867
MINssO,5.242922280842304
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,11
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,46.735226688438075
SpAD_D,563.2300607640236
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,6.9970081166614095
SssNH2,0
SsssAs,0
SsssCH,0.43706651535952157
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1216
TMWC10,152.644610767532
TSRW10,85.59485871629981
VE1_Dt,5.842444682836571
VE2_Dt,0.16692699093818775
VE3_Dt,3.0179122878175058
VR1_Dt,244.54806791037663
VR2_Dt,6.987087654582189
VR3_Dt,6.752174854858139
Xc-3dv,1.0957196760906753
Xc-4dv,0.0
Xc-5dv,0.2244064377723993
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.4943877491981309
Xch-7d,0.8356686332329506
Xp-0dv,20.63089644290068
Xp-1dv,12.264342687211487
Xp-2dv,9.298787149192579
Xp-3dv,7.224350187343342
Xp-4dv,4.977220844273777
Xp-5dv,3.3678832148035935
Xp-6dv,2.003117504297239
Xp-7dv,1.2523492237530394
Xpc-4d,5.9537111510534135
Xpc-5d,8.726932773492853
Xpc-6d,12.144664412513407
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,72
nFRing,1
nHBAcc,9
nHBDon,0
nHRing,4
nSpiro,0
naRing,3
piPC10,7.305469068927142
AATS0dv,7.147058823529412
AATS0pe,6.212860294117647
AATS0se,7.671894294117647
AATS1dv,7.0
AATS1pe,6.570086111111111
AATS1se,7.832971833333332
AATS2dv,5.366412213740458
AATS2pe,6.459477862595419
AATS2se,7.848616091603053
AATS3dv,3.8947368421052633
AATS3pe,6.282966666666669
AATS3se,7.716912046783624
AATS4dv,2.4381443298969074
AATS4pe,6.0921572164948445
AATS4se,7.578485958762886
AATS5dv,2.122549019607843
AATS5pe,5.8948421568627465
AATS5se,7.453172725490196
AATS6dv,2.4941176470588236
AATS6pe,5.913609999999999
AATS6se,7.47480574117647
AATS7dv,2.955223880597015
AATS7pe,6.154171641791044
AATS7se,7.642715999999999
AATS8dv,2.9923076923076923
AATS8pe,6.161573846153848
AATS8se,7.639165138461539
AATSC0Z,7.415224913494812
AATSC0c,0.019112985030225686
AATSC0d,0.585423875432526
AATSC0i,1.5187339992045399
AATSC0m,35.27985999545848
AATSC0p,0.2142496560926892
AATSC0s,0.8294405997693196
AATSC0v,48.47339253925863
AATSC1Z,0.771049596309112
AATSC1c,-0.008950695762840561
AATSC1d,0.2470924644367551
AATSC1i,-0.4556604514362882
AATSC1m,3.5377415312980625
AATSC1p,-0.03695671156926948
AATSC1s,0.03795682216241624
AATSC1v,-3.1491514937324037
AATSC2Z,0.551097493330516
AATSC2c,-0.0013290748496456734
AATSC2d,-0.034233933807020764
AATSC2i,0.1120063634005604
AATSC2m,2.6496945921032657
AATSC2p,0.020740301385542694
AATSC2s,0.052319865230930004
AATSC2v,4.29525057664492
AATSC3Z,-0.10769137376312748
AATSC3c,0.003017995274407663
AATSC3d,-0.13229350047552563
AATSC3i,0.15477080101425683
AATSC3m,-0.5624238055719953
AATSC3p,-0.0016332865741498458
AATSC3s,0.09392923549422065
AATSC3v,-1.194245760386057
AATSC4Z,-1.5562194556415647
AATSC4c,-0.00258708546698041
AATSC4d,-0.05199452431063388
AATSC4i,-0.22891686837451086
AATSC4m,-7.414742687620395
AATSC4p,-0.03972898045061457
