DLiP-ID,T006QB
MIC0,14.776432385260664
MIC1,31.95915981641595
MIC2,39.86646735538514
MIC3,41.902286957541875
MIC4,42.05186198469748
MIC5,42.05186198469748
MPC2,43
MPC3,52
MPC4,61
MPC5,74
MPC6,68
MPC7,69
MPC8,68
MPC9,69
Mare,0.9856271186440679
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1542688071140019
RPCG,0.10535131185782384
SIC0,0.26630505453292563
SIC1,0.6122915499274805
SIC2,0.7977940807850072
SIC3,0.9286758756357034
SIC4,0.9539005786340572
SIC5,0.9539005786340572
SaaN,4.644293175472777
SaaO,0
SaaS,0
Sare,58.15200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.328259245569253
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,92.42807710542442
TIC1,212.51166519146906
TIC2,276.8951304449646
TIC3,322.3210524101852
TIC4,331.07593991234864
TIC5,331.07593991234864
Vabc,402.9145619203999
WPol,43
apol,64.68820399999998
bpol,33.543796
nRot,10
ABCGG,17.535413307710744
ATS0Z,1308.0
ATS0d,180.0
ATS0i,9680.729841198974
ATS0m,5155.180775000002
ATS0p,84.00667733577198
ATS0s,305.97222222222223
ATS0v,12450.053385044792
ATS1Z,1457.0
ATS1d,227.0
ATS1i,9038.370214414655
ATS1m,5493.161385
ATS1p,108.08050832600001
ATS1s,193.02777777777777
ATS1v,15769.446942315435
ATS2Z,2086.0
ATS2d,346.0
ATS2i,16489.155829415886
ATS2m,7654.1850669999985
ATS2p,161.082488548792
ATS2s,345.1666666666666
ATS2v,22462.633444273542
ATS3Z,2252.0
ATS3d,399.0
ATS3i,24232.782893275704
ATS3m,7992.679002999998
ATS3p,182.3102455171679
ATS3s,433.08333333333337
ATS3v,24620.476261397645
ATS4Z,2073.0
ATS4d,363.0
ATS4i,23978.938630301018
ATS4m,7179.883809
ATS4p,166.759709753772
ATS4s,459.8055555555555
ATS4v,22544.927378200064
ATS5Z,1973.0
ATS5d,331.0
ATS5i,21675.801953247574
ATS5m,6956.690176
ATS5p,154.16867997462103
ATS5s,482.5555555555555
ATS5v,20944.717070349994
ATS6Z,1865.0
ATS6d,309.0
ATS6i,20025.59595402348
ATS6m,6569.010902000001
ATS6p,149.04509614237605
ATS6s,443.6111111111111
ATS6v,20155.55134823924
ATS7Z,1792.0
ATS7d,298.0
ATS7i,21152.70700478797
ATS7m,6267.524832
ATS7p,144.25760672401702
ATS7s,435.52777777777777
ATS7v,19279.311327119427
ATS8Z,1571.0
ATS8d,277.0
ATS8i,20225.54235855777
ATS8m,5424.533055999999
ATS8p,131.185210315715
ATS8s,365.16666666666663
ATS8v,17431.622574204444
C1SP1,0
C1SP2,4
C1SP3,2
C2SP1,0
C2SP2,8
C2SP3,7
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.391304347826087
GGI10,0.12386491174369962
JGI10,0.005161037989320817
JGT10,0.3781069933482616
Kier1,25.619834710743802
Kier2,13.645213628988643
Kier3,8.698224852071005
MAXdO,12.141945568944454
MID_C,47.66649706595492
MID_N,8.133161145095638
MID_O,6.9563017326184475
MID_X,0.0
MID_h,15.089462877714087
MINdO,11.420111815068811
MPC10,59
MWC01,33.0
MWC02,5.030437921392435
MWC03,5.8377304471659395
MWC04,6.670766320845874
MWC05,7.4949862339505335
MWC06,8.330622620332868
MWC07,9.161255164285691
MWC08,9.998388557730848
MWC09,10.832240309801332
MWC10,11.67046753039996
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.1518999999999995
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.476463551931511
SRW05,0.0
SRW06,6.934397209928558
SRW07,0.0
SRW08,8.476162841858246
SRW09,0.0
SRW10,10.062497833920736
SaaCH,12.515136136336661
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.5922785090487483
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.9247780158514807
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.353504152794788
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.538352960690609
VE1_D,5.497535447281929
VE2_A,0.11414041808679384
VE2_D,0.17733985313812675
VE3_A,2.3950634650256446
VE3_D,2.8357020028083024
VR1_A,2504.85629826237
VR1_D,192.42322930732433
VR2_A,80.80181607297968
VR2_D,6.207200945397559
VR3_A,8.95738875740145
VR3_D,6.391099376880443
WPath,3464
Xc-3d,1.72850154022226
Xc-4d,0.0
Xc-5d,0.36785113019775795
Xc-6d,0.0
Xp-0d,22.05383099606141
Xp-1d,15.024877143252588
Xp-2d,13.065846161791443
Xp-3d,10.309748996596868
Xp-4d,7.898056593513056
Xp-5d,6.4011920192036795
Xp-6d,3.909848028589512
Xp-7d,2.6943013264043985
ZMIC0,103.1963324373371
ZMIC1,53.39523719340462
ZMIC2,31.156458180854013
ZMIC3,24.33376200220578
ZMIC4,23.586434202467213
ZMIC5,23.586434202467213
nAcid,1
nAtom,59
nBase,0
nRing,3
piPC1,3.7612001156935624
piPC2,4.23410650459726
piPC3,4.653960350157523
piPC4,5.0689042022202315
piPC5,5.524954807116502
piPC6,5.469377837992021
piPC7,5.6043073836377335
piPC8,5.591919381510808
piPC9,5.721642857539109
AATS0Z,22.16949152542373
AATS0d,3.0508474576271185
AATS0i,164.0801667999826
AATS0m,87.37594533898307
AATS0p,1.423841988741898
AATS0s,5.185969868173258
AATS0v,211.01785398381003
AATS1Z,23.885245901639344
AATS1d,3.721311475409836
AATS1i,148.17000351499436
AATS1m,90.05182598360656
AATS1p,1.7718116119016396
AATS1s,3.164389799635701
AATS1v,258.5155236445153
AATS2Z,19.49532710280374
AATS2d,3.2336448598130842
AATS2i,154.10426008799894
AATS2m,71.53443987850466
AATS2p,1.5054438182130094
AATS2s,3.2258566978193137
AATS2v,209.93115368479945
AATS3Z,15.114093959731544
AATS3d,2.6778523489932886
AATS3i,162.63612680050807
AATS3m,53.642140959731535
AATS3p,1.2235586947460935
AATS3s,2.906599552572707
AATS3v,165.23809571407816
AATS4Z,14.296551724137931
AATS4d,2.503448275862069
AATS4i,165.37199055380012
AATS4m,49.516440062068966
AATS4p,1.1500669638191172
AATS4s,3.1710727969348653
AATS4v,155.4822577806901
AATS5Z,14.946969696969697
AATS5d,2.507575757575758
AATS5i,164.21062085793616
AATS5m,52.7021983030303
AATS5p,1.1679445452622805
AATS5s,3.6557239057239053
AATS5v,158.672099017803
AATS6Z,15.040322580645162
AATS6d,2.4919354838709675
AATS6i,161.49674156470547
AATS6m,52.97589437096775
AATS6p,1.2019765817933552
AATS6s,3.5775089605734767
AATS6v,162.54476893741324
AATS7Z,13.891472868217054
AATS7d,2.310077519379845
AATS7i,163.9744729053331
AATS7m,48.58546381395349
AATS7p,1.1182760211164111
AATS7s,3.3761843238587423
AATS7v,149.45202579162347
AATS8Z,12.87704918032787
AATS8d,2.2704918032786887
AATS8i,165.7831340865391
AATS8m,44.463385704918025
AATS8p,1.075288609145205
AATS8s,2.9931693989071033
AATS8v,142.8821522475774
AMID_C,1.5376289376114491
AMID_N,0.26236003693856896
AMID_O,0.22439683008446604
AMID_X,0.0
AMID_h,0.48675686702303506
ATS0dv,422.0
ATS0pe,369.37829999999997
ATS0se,455.7622679999999
ATS1dv,395.0
ATS1pe,395.9285
ATS1se,473.7830439999999
ATS2dv,524.0
ATS2pe,675.4308999999998
ATS2se,821.3919639999996
ATS3dv,491.0
ATS3pe,915.4718000000003
ATS3se,1137.0936359999998
ATS4dv,446.0
ATS4pe,906.0041999999999
ATS4se,1126.14282
ATS5dv,472.0
ATS5pe,822.8338999999999
ATS5se,1023.0097360000001
ATS6dv,435.0
ATS6pe,767.5397000000002
ATS6se,953.4005119999999
ATS7dv,408.0
ATS7pe,789.6283
ATS7se,987.877424
ATS8dv,325.0
ATS8pe,740.5444999999999
ATS8se,931.2211600000003
ATSC0Z,442.30508474576266
ATSC0c,1.3827082182552353
ATSC0d,30.237288135593225
ATSC0i,86.94361319176487
ATSC0m,2100.924859728813
ATSC0p,13.081868238388678
ATSC0s,120.88323917137477
ATSC0v,2899.0634435248344
ATSC1Z,3.9388106865843
ATSC1c,-0.9377749432086643
ATSC1d,5.839413961505314
ATSC1i,-4.769548286258323
ATSC1m,23.11966767020956
ATSC1p,0.45777901052147135
ATSC1s,-4.974855565131346
ATSC1v,115.67948457928209
ATSC2Z,-17.46854352197646
ATSC2c,0.28817904884825885
ATSC2d,-6.938810686584314
ATSC2i,-20.248884028345856
ATSC2m,-102.73073015225519
ATSC2p,-3.443955199471871
ATSC2s,30.811093555491713
ATSC2v,-702.9944180347698
ATSC3Z,10.178684286124678
ATSC3c,0.30337071765546536
ATSC3d,-3.4636598678540644
ATSC3i,-9.125042663341066
ATSC3m,45.710169227233656
ATSC3p,-0.9484855846357455
ATSC3s,-10.468782916786363
ATSC3v,-99.95763553076111
ATSC4Z,-143.24130996839992
ATSC4c,-0.4754185423371627
ATSC4d,-5.006894570525711
ATSC4i,0.9905194871649257
ATSC4m,-670.7141516725078
ATSC4p,-0.9475987891502096
ATSC4s,-41.755418302531204
ATSC4v,-460.6436339668328
ATSC5Z,-8.80120654984201
ATSC5c,0.048327354201744444
ATSC5d,-6.276644642344152
ATSC5i,9.27105464713933
ATSC5m,-47.24499127463371
ATSC5p,0.3894981830463977
ATSC5s,29.657178652366806
ATSC5v,-39.11095255169495
ATSC6Z,-34.997127262280955
ATSC6c,0.007892864844453278
ATSC6d,-7.1597242171789715
ATSC6i,-17.476781392505927
ATSC6m,-179.3060065486929
ATSC6p,-3.1339394845812203
ATSC6s,38.234567014587114
ATSC6v,-574.7428760638209
ATSC7Z,30.485492674518795
ATSC7c,0.1840815462878147
ATSC7d,-0.6883079574834824
ATSC7i,-8.645687442610098
ATSC7m,137.48759352513645
ATSC7p,-1.3436656881170927
ATSC7s,23.99210795109962
ATSC7v,-119.53824391664725
ATSC8Z,17.047112898592363
ATSC8c,-0.2000613104677362
ATSC8d,1.9669635162309675
ATSC8i,-3.939579977276113
ATSC8m,91.5106519675381
ATSC8p,0.7515908814807155
ATSC8s,-20.211481375083785
ATSC8v,299.76476713822683
AXp-0d,0.7114139030987552
AXp-1d,0.45529930737129054
AXp-2d,0.3038568874835219
AXp-3d,0.198264403780709
AXp-4d,0.1294763375985747
AXp-5d,0.08650259485410378
AXp-6d,0.05749776512631635
AXp-7d,0.039047845310208676
GATS1Z,0.8394546994200481
GATS1c,1.6860359365525082
GATS1d,0.9433580827758582
GATS1i,1.3222270372864262
GATS1m,0.844663327206557
GATS1p,1.102893777574648
GATS1s,0.616029724208402
GATS1v,1.0042881199728435
GATS2Z,0.9087270151331962
GATS2c,0.8021568118656287
GATS2d,1.2907254515736974
GATS2i,1.2914342592904011
GATS2m,0.9198808149303477
GATS2p,1.216267329604988
GATS2s,0.4515269087797527
GATS2v,1.156569955844314
GATS3Z,0.9592819902970551
GATS3c,0.8671529096212712
GATS3d,1.1071267342823607
GATS3i,1.0616868013973766
GATS3m,0.9611098004325385
GATS3p,1.0054128373314128
GATS3s,0.8689028760599075
GATS3v,0.9944164191197665
GATS4Z,1.1494328632740651
GATS4c,1.267741853123848
GATS4d,1.07152466367713
GATS4i,0.9910870006127797
GATS4m,1.144103263698001
GATS4p,0.9613050124966686
GATS4s,1.281861378117746
GATS4v,1.0037420960394416
GATS5Z,1.022724079389852
GATS5c,1.0740596520851824
GATS5d,1.1479905557820356
GATS5i,0.9270773287594808
GATS5m,1.0208760359355895
GATS5p,0.9423627327534518
GATS5s,1.0896004849787817
GATS5v,0.9627392459550238
GATS6Z,1.0231406741361921
GATS6c,1.0188351993960776
GATS6d,1.082833068132504
GATS6i,1.0787405668131391
GATS6m,1.0253014277801247
GATS6p,1.1058399369684453
GATS6s,0.9474044077997484
GATS6v,1.0765792708738533
GATS7Z,0.977893193408714
GATS7c,0.988339457291417
GATS7d,0.9144723120241943
GATS7i,0.9763272287233015
GATS7m,0.9775486731535723
GATS7p,1.0155982477034464
GATS7s,1.0265011054443027
GATS7v,0.9941149046292375
GATS8Z,1.0044435551959474
GATS8c,1.1492225978127066
GATS8d,0.9040514959935309
GATS8i,0.929623912584367
GATS8m,0.9994491184607309
GATS8p,0.9210590353631939
GATS8s,1.2210257541190472
GATS8v,0.9171520053023474
MATS1Z,0.008613216270818434
MATS1c,-0.6559794841631373
MATS1d,0.18678784091744463
MATS1i,-0.05305932758680123
MATS1m,0.010643715159936494
MATS1p,0.033846072637868
MATS1s,-0.03980490247933292
MATS1v,0.03859408970265182
MATS2Z,-0.021777248061793434
MATS2c,0.11492118444762563
MATS2d,-0.1265349314781442
MATS2i,-0.12841969745362294
MATS2m,-0.026962371530660893
MATS2p,-0.14516300727717252
MATS2s,0.14054301236287756
MATS2v,-0.13370953884380193
MATS3Z,0.009112456227702364
MATS3c,0.086877808654964
MATS3d,-0.04535844343455622
MATS3i,-0.04155879649405952
MATS3m,0.008615253330708792
MATS3p,-0.02870957129145928
MATS3s,-0.0342922395388367
MATS3v,-0.013652871354757274
MATS4Z,-0.13177419184337938
MATS4c,-0.13990382276515784
MATS4d,-0.06737668161434977
MATS4i,0.004635636235338156
MATS4m,-0.12990054082341201
MATS4p,-0.02947397670553826
MATS4s,-0.14054997069537645
MATS4v,-0.06465339923947568
MATS5Z,-0.008894025323746365
MATS5c,0.015622141083501975
MATS5d,-0.0927817977986139
MATS5i,0.047661700889765506
MATS5m,-0.010051325412982547
MATS5p,0.013308029225949418
MATS5s,0.10965837982246553
MATS5v,-0.006030020022249828
MATS6Z,-0.037647903028025564
MATS6c,0.00271602928594608
MATS6d,-0.11266364096629536
MATS6i,-0.09564319947966336
MATS6m,-0.040608284648421936
MATS6p,-0.11398590771250798
MATS6s,0.1504944257356928
MATS6v,-0.09432921140809061
MATS7Z,0.03152343879961405
MATS7c,0.060889444361675954
MATS7d,-0.010411235095769467
MATS7i,-0.045480386600646926
MATS7m,0.02993059096275363
MATS7p,-0.04697683548601898
MATS7s,0.09077465759123886
MATS7v,-0.0188586870306481
MATS8Z,0.018638934677508528
MATS8c,-0.06997207389258721
MATS8d,0.03145905315004042
MATS8i,-0.02191313013550387
MATS8m,0.021064604550903757
MATS8p,0.027784584902197467
MATS8s,-0.0808582314164957
MATS8v,0.05000518611706913
MAXaaN,4.644293175472777
MAXsOH,9.328259245569253
MINaaN,4.644293175472777
MINsOH,9.328259245569253
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.188855871524964
SpAD_D,460.0368368326279
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,5.533749014903323
SssNH2,0
SsssAs,0
SsssCH,-1.1908782000737619
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,627
TMWC10,139.02689510590545
TSRW10,66.15421405703002
VE1_Dt,5.451008572261625
VE2_Dt,0.1758389862019879
VE3_Dt,2.827202762175498
VR1_Dt,196.6770299190118
VR2_Dt,6.344420319968123
VR3_Dt,6.412965052837899
Xc-3dv,0.6105507185464464
Xc-4dv,0.0
Xc-5dv,0.05846601847787446
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.25343678769327627
Xch-7d,0.32111426259404335
Xp-0dv,17.394828465400895
Xp-1dv,10.60792554661151
Xp-2dv,7.582144095777157
Xp-3dv,5.181324746930215
Xp-4dv,3.4352029334275946
Xp-5dv,2.3736031660992283
Xp-6dv,1.2742247499189228
Xp-7dv,0.7983651805537002
Xpc-4d,3.7444076947739635
Xpc-5d,4.83043506542644
Xpc-6d,6.901288705149929
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,61
nFRing,1
nHBAcc,5
nHBDon,4
nHRing,2
nSpiro,0
naRing,2
piPC10,5.571440850167267
AATS0dv,7.1525423728813555
AATS0pe,6.260649152542372
AATS0se,7.724784203389829
AATS1dv,6.475409836065574
AATS1pe,6.4906311475409835
AATS1se,7.766935147540982
AATS2dv,4.897196261682243
AATS2pe,6.312438317757008
AATS2se,7.6765604112149495
AATS3dv,3.295302013422819
AATS3pe,6.144106040268458
AATS3se,7.631500912751677
AATS4dv,3.075862068965517
AATS4pe,6.248304827586206
AATS4se,7.766502206896552
AATS5dv,3.5757575757575757
AATS5pe,6.23359015151515
AATS5se,7.750073757575758
AATS6dv,3.5080645161290325
AATS6pe,6.189836290322582
AATS6se,7.688713806451612
AATS7dv,3.1627906976744184
AATS7pe,6.121149612403101
AATS7se,7.657964527131783
AATS8dv,2.6639344262295084
AATS8pe,6.070036885245901
AATS8se,7.6329603278688545
AATSC0Z,7.496696351623096
AATSC0c,0.023435732512800598
AATSC0d,0.5124964090778513
AATSC0i,1.4736205625722858
AATSC0m,35.608895927606994
AATSC0p,0.2217265803116725
AATSC0s,2.0488684605317755
AATSC0v,49.13666853431923
AATSC1Z,0.06457066699318524
AATSC1c,-0.015373359724732201
AATSC1d,0.09572809772959531
AATSC1i,-0.07818931616816924
AATSC1m,0.37901094541327146
AATSC1p,0.00750457394297494
AATSC1s,-0.0815550092644483
AATSC1v,1.896384993102985
AATSC2Z,-0.16325741609323796
AATSC2c,0.0026932621387687743
AATSC2d,-0.06484869800546088
AATSC2i,-0.18924190680697062
AATSC2m,-0.9601002817967775
AATSC2p,-0.032186497191325894
AATSC2s,0.28795414537842723
AATSC2v,-6.5700412900445775
AATSC3Z,0.06831331735654146
AATSC3c,0.002036045084936009
AATSC3d,-0.023246039381570903
AATSC3i,-0.061241897069403126
AATSC3m,0.3067796592431789
AATSC3p,-0.006365675064669433
AATSC3s,-0.07026028803212324
AATSC3v,-0.6708566143004101
AATSC4Z,-0.9878711032303442
AATSC4c,-0.0032787485678425015
AATSC4d,-0.034530307382935936
AATSC4i,0.006831168876999487
AATSC4m,-4.625614839120743
AATSC4p,-0.006535164063104893
AATSC4s,-0.2879684020864221
