DLiP-ID,P000EM
piPC7,6.359790108266689
piPC8,6.503316987267536
piPC9,6.800183118050014
AATS0Z,31.1
AATS0d,3.9
AATS0i,155.96273081277474
AATS0m,123.63047989999998
AATS0p,1.6564746714546998
AATS0s,9.306944444444445
AATS0v,264.3617295968153
AATS1Z,30.38095238095238
AATS1d,4.523809523809524
AATS1i,142.1646294397929
AATS1m,118.10112319047617
AATS1p,1.9375328350476182
AATS1s,4.507936507936508
AATS1v,304.97682096906976
AATS2Z,29.5625
AATS2d,4.25
AATS2i,144.31494409513752
AATS2m,114.30085415625001
AATS2p,1.7835534815625
AATS2s,5.468750000000001
AATS2v,280.70413733245596
AATS3Z,25.375
AATS3d,3.55
AATS3i,153.13369378317867
AATS3m,96.22486152500001
AATS3p,1.4878617594636747
AATS3s,5.258333333333335
AATS3v,232.78621605046982
AATS4Z,23.314285714285713
AATS4d,3.0
AATS4i,156.14421128056568
AATS4m,86.71716594285712
AATS4p,1.3493441467342282
AATS4s,5.4603174603174605
AATS4v,211.9770616716172
AATS5Z,22.185185185185187
AATS5d,2.5555555555555554
AATS5i,158.75288523445175
AATS5m,82.30786959259258
AATS5p,1.2300849545387778
AATS5s,7.598765432098765
AATS5v,189.89462815479692
AATS6Z,16.88888888888889
AATS6d,2.111111111111111
AATS6i,162.3665508096332
AATS6m,59.122766055555545
AATS6p,1.0538537735387776
AATS6s,5.388888888888889
AATS6v,157.10073533388743
AATS7Z,13.454545454545455
AATS7d,1.5454545454545454
AATS7i,170.60242825470888
AATS7m,44.28993981818181
AATS7p,0.8225100621543635
AATS7s,5.424242424242425
AATS7v,121.80826042062967
AATS8Z,4.8
AATS8d,1.2
AATS8i,178.6652810307396
AATS8m,9.27864
AATS8p,0.6144612183395999
AATS8s,3.4
AATS8v,68.18627329666255
AMID_C,1.4968489955499515
AMID_N,0.0
AMID_O,0.5184310094205953
AMID_X,0.0
AMID_h,0.5184310094205953
ATS0dv,258.0
ATS0pe,141.3994
ATS0se,169.12280800000005
ATS1dv,239.0
ATS1pe,144.50300000000001
ATS1se,170.63390800000002
ATS2dv,350.0
ATS2pe,221.74960000000004
ATS2se,262.4029320000001
ATS3dv,363.0
ATS3pe,277.4827
ATS3se,333.371828
ATS4dv,284.0
ATS4pe,244.32510000000002
ATS4se,294.964288
ATS5dv,206.0
ATS5pe,186.8612
ATS5se,226.78013199999998
ATS6dv,78.0
ATS6pe,120.8125
ATS6se,148.821076
ATS7dv,33.0
ATS7pe,74.32600000000001
ATS7se,92.74226399999999
ATS8dv,0.0
ATS8pe,30.426000000000005
ATS8se,39.496896
ATSC0Z,141.8
ATSC0c,0.9351405894891109
ATSC0d,13.200000000000003
ATSC0i,27.519169511685774
ATSC0m,664.6824121999998
ATSC0p,4.5480579739658
ATSC0s,71.73750000000001
ATSC0v,844.4163016149804
ATSC1Z,-4.390000000000012
ATSC1c,-0.5131376059114314
ATSC1d,2.839999999999999
ATSC1i,1.3574209817504315
ATSC1m,-17.647132310000117
ATSC1p,0.272153057156414
ATSC1s,-10.02854166666667
ATSC1v,53.65343960999155
ATSC2Z,4.219999999999985
ATSC2c,-0.05031841497761152
ATSC2d,-1.520000000000001
ATSC2i,-8.236936566868545
ATSC2m,13.28218757999991
ATSC2p,-1.396005278996575
ATSC2s,15.236666666666665
ATSC2v,-204.675487709802
ATSC3Z,5.599999999999996
ATSC3c,0.2566896798291285
ATSC3d,-2.0
ATSC3i,0.01849136170000591
ATSC3m,23.91364319999998
ATSC3p,-0.046943870399999074
ATSC3s,-0.5319444444444452
ATSC3v,-21.44629574656495
ATSC4Z,-43.95000000000001
ATSC4c,-0.36844915060139694
ATSC4d,-6.599999999999999
ATSC4i,-4.118829651816351
ATSC4m,-204.60518235
ATSC4p,-0.7151867163763508
ATSC4s,-22.04618055555555
ATSC4v,-180.7781683905935
ATSC5Z,7.57
ATSC5c,0.2623122710748136
ATSC5d,-3.7199999999999993
ATSC5i,-4.090754306951235
ATSC5m,29.02775373000007
ATSC5p,-0.7695153010692317
ATSC5s,27.565486111111113
ATSC5v,-139.51402308340974
ATSC6Z,-33.12
ATSC6c,-0.017138558810739203
ATSC6d,-0.8799999999999992
ATSC6i,-5.513094960565128
ATSC6m,-153.8825072799999
ATSC6p,-0.8868708969071221
ATSC6s,-20.869305555555556
ATSC6v,-161.49800285548775
ATSC7Z,-23.989999999999995
ATSC7c,-0.030377937124543085
ATSC7d,2.2400000000000007
ATSC7i,1.3572672079707926
ATSC7m,-107.53916470999995
ATSC7p,0.26484068401680727
ATSC7s,-20.115347222222226
ATSC7v,20.274535552250065
ATSC8Z,1.9500000000000064
ATSC8c,-0.025639099499707007
ATSC8d,2.4000000000000004
ATSC8i,4.1092764234071355
ATSC8m,12.864295950000049
ATSC8p,0.7240339052971481
ATSC8s,-7.016319444444444
ATSC8v,124.74350814839302
AXp-0d,0.7235280023619584
AXp-1d,0.44543603669013704
AXp-2d,0.293389348214705
AXp-3d,0.18228205304497946
AXp-4d,0.1164670775215543
AXp-5d,0.077245013322148
AXp-6d,0.05036220855422048
AXp-7d,0.035445509282558414
GATS1Z,0.6189132916918529
GATS1c,1.4034052480198036
GATS1d,0.7882395382395382
GATS1i,0.9062666127107604
GATS1m,0.6190581273529183
GATS1p,0.8770510807856555
GATS1s,0.7115337277386412
GATS1v,0.7400216449507643
GATS2Z,0.6427406558533145
GATS2c,0.8679141521789054
GATS2d,1.0795454545454544
GATS2i,1.1285033968218519
GATS2m,0.6516322979075587
GATS2p,1.1160777488471358
GATS2s,0.5044190819151613
GATS2v,0.9675290612400256
GATS3Z,0.8843441466854723
GATS3c,0.7825676390482151
GATS3d,1.0435606060606057
GATS3i,0.9499973457576445
GATS3m,0.885760726316387
GATS3p,0.9492362944225442
GATS3s,0.8010929120442971
GATS3v,0.9312237407104723
GATS4Z,1.1504130566189803
GATS4c,1.198534788953686
GATS4d,1.213203463203463
GATS4i,1.0317972848858843
GATS4m,1.1464004468035955
GATS4p,1.0269599896098598
GATS4s,1.177656635053394
GATS4v,1.0455373641868353
GATS5Z,1.0347124275191975
GATS5c,0.7383823574811219
GATS5d,1.1461840628507292
GATS5i,1.0543753966236473
GATS5m,1.0398463687862003
GATS5p,1.0742798794724318
GATS5s,0.9783540098538839
GATS5v,1.1141451676696725
GATS6Z,1.4404090267983074
GATS6c,1.0477409642902487
GATS6d,0.9595959595959593
GATS6i,1.1604148123846578
GATS6m,1.437193482087779
GATS6p,1.1757399524721515
GATS6s,1.6177378516926635
GATS6v,1.2797149196663726
GATS7Z,1.699256314912168
GATS7c,1.25939223292076
GATS7d,0.5234159779614324
GATS7i,0.8636701449027082
GATS7m,1.681227119609623
GATS7p,0.8733562528039829
GATS7s,1.991759378063612
GATS7v,1.1026069364121756
GATS8Z,1.648095909732017
GATS8c,1.2592551943262693
GATS8d,0.14393939393939392
GATS8i,0.37750394155419054
GATS8m,1.6308536302504564
GATS8p,0.43571865120956826
GATS8s,1.6420979264680255
GATS8v,0.8820787479570531
MATS1Z,-0.029484854590637464
MATS1c,-0.5225978717140279
MATS1d,0.2049062049062048
MATS1i,0.046977503693648705
MATS1m,-0.025285448159464013
MATS1p,0.056989904097902874
MATS1s,-0.13313806675019432
MATS1v,0.060513414789067535
MATS2Z,0.018600141043723484
MATS2c,-0.03363024738150712
MATS2d,-0.071969696969697
MATS2i,-0.18707270043548194
MATS2m,0.012489223552679323
MATS2p,-0.19184084819658906
MATS2s,0.13274670383922862
MATS2v,-0.15149184066433807
MATS3Z,0.01974612129760224
MATS3c,0.1372465716461757
MATS3d,-0.07575757575757575
MATS3i,0.00033597237903843196
MATS3m,0.01798877385731434
MATS3p,-0.0051608698337529246
MATS3s,-0.003707575845578987
MATS3v,-0.012698887803058775
MATS4Z,-0.17711061857747334
MATS4c,-0.22514515372202057
MATS4d,-0.2857142857142856
MATS4i,-0.0855264524932562
MATS4m,-0.17589941438372678
MATS4p,-0.08985772080809061
MATS4s,-0.1756099314907469
MATS4v,-0.12233516846055868
MATS5Z,0.03954448101133574
MATS5c,0.2077820042946665
MATS5d,-0.20875420875420866
MATS5i,-0.11011191214301326
MATS5m,0.032349343694579646
MATS5p,-0.1253307098080635
MATS5s,0.28463326155529595
MATS5v,-0.12238480072551497
MATS6Z,-0.25952045133991536
MATS6c,-0.020363615200840665
MATS6d,-0.07407407407407399
MATS6i,-0.2225961457410035
MATS6m,-0.2572364794165745
MATS6p,-0.21666656698646344
MATS6s,-0.3232356477985797
MATS6v,-0.21250445432163717
MATS7Z,-0.3076035389152454
MATS7c,-0.05906343235928788
MATS7d,0.30853994490358133
MATS7i,0.08967416545397505
MATS7m,-0.2941641758972087
MATS7p,0.10587563288563658
MATS7s,-0.5098220398795412
MATS7v,0.043654761096724864
MATS8Z,0.05500705218617789
MATS8c,-0.10966949692009088
MATS8d,0.7272727272727272
MATS8i,0.5972965749074902
MATS8m,0.07741619584860772
MATS8p,0.6367851152660726
MATS8s,-0.391221854368744
MATS8v,0.5909099950335681
MAXaaO,5.00449074074074
MAXsOH,8.636089380196523
MINaaO,5.00449074074074
MINsOH,8.636089380196523
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,17.68399683598874
SpAD_D,83.35096253263274
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,299
TMWC10,98.76149901266072
TSRW10,45.92401667199567
VE1_Dt,3.733124617627888
VE2_Dt,0.266651758401992
VE3_Dt,1.653717818698824
VR1_Dt,57.357033812569526
VR2_Dt,4.096930986612109
VR3_Dt,4.3857677198001905
Xc-3dv,0.2945890254041039
Xc-4dv,0.0
Xc-5dv,0.04477897794478697
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.1388888888888889
Xch-7d,0.27323607817372114
Xp-0dv,7.058709812839677
Xp-1dv,3.944803917056957
Xp-2dv,2.7762131620431423
Xp-3dv,1.8454074203327475
Xp-4dv,1.209337144492117
Xp-5dv,0.7988370672699617
Xp-6dv,0.37445502687593823
Xp-7dv,0.19041754166369979
Xpc-4d,2.385155430569911
Xpc-5d,3.3215039322421256
Xpc-6d,5.305216509533403
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,21
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.380910097455232
AATS0dv,12.9
AATS0pe,7.0699700000000005
AATS0se,8.456140400000002
AATS1dv,11.380952380952381
AATS1pe,6.881095238095239
AATS1se,8.125424190476192
AATS2dv,10.9375
AATS2pe,6.929675000000001
AATS2se,8.200091625000002
AATS3dv,9.075
AATS3pe,6.9370675
AATS3se,8.3342957
AATS4dv,8.114285714285714
AATS4pe,6.980717142857143
AATS4se,8.427551085714287
AATS5dv,7.62962962962963
AATS5pe,6.920785185185185
AATS5se,8.399264148148147
AATS6dv,4.333333333333333
AATS6pe,6.711805555555555
AATS6se,8.267837555555555
AATS7dv,3.0
AATS7pe,6.756909090909091
AATS7se,8.431114909090908
AATS8dv,0.0
AATS8pe,6.085200000000001
AATS8se,7.8993792
AATSC0Z,7.090000000000001
AATSC0c,0.04675702947445555
AATSC0d,0.6600000000000001
AATSC0i,1.3759584755842886
AATSC0m,33.23412060999999
AATSC0p,0.22740289869828997
AATSC0s,3.5868750000000005
AATSC0v,42.22081508074902
AATSC1Z,-0.20904761904761962
AATSC1c,-0.024435124091020544
AATSC1d,0.13523809523809519
AATSC1i,0.06463909436906816
AATSC1m,-0.8403396338095294
AATSC1p,0.012959669388400668
AATSC1s,-0.47754960317460327
AATSC1v,2.5549256957138833
AATSC2Z,0.13187499999999952
AATSC2c,-0.00157245046805036
AATSC2d,-0.04750000000000003
AATSC2i,-0.25740426771464203
AATSC2m,0.4150683618749972
AATSC2p,-0.043625164968642965
AATSC2s,0.47614583333333327
AATSC2v,-6.396108990931313
AATSC3Z,0.1399999999999999
AATSC3c,0.006417241995728212
AATSC3d,-0.05
AATSC3i,0.0004622840425001477
AATSC3m,0.5978410799999996
AATSC3p,-0.0011735967599999769
AATSC3s,-0.01329861111111113
AATSC3v,-0.5361573936641237
AATSC4Z,-1.255714285714286
AATSC4c,-0.01052711858861134
AATSC4d,-0.18857142857142853
AATSC4i,-0.11768084719475289
AATSC4m,-5.845862352857143
AATSC4p,-0.020433906182181452
AATSC4s,-0.6298908730158729
AATSC4v,-5.165090525445528
AATSC5Z,0.2803703703703704
AATSC5c,0.00971526929906717
AATSC5d,-0.13777777777777775
AATSC5i,-0.15150941877597165
AATSC5m,1.0751019900000027
AATSC5p,-0.02850056670626784
AATSC5s,1.0209439300411522
AATSC5v,-5.167186040126286
AATSC6Z,-1.8399999999999999
AATSC6c,-0.000952142156152178
AATSC6d,-0.04888888888888884
AATSC6i,-0.30628305336472933
AATSC6m,-8.549028182222218
AATSC6p,-0.049270605383729
AATSC6s,-1.1594058641975309
AATSC6v,-8.97211126974932
AATSC7Z,-2.1809090909090902
