DLiP-ID,T006HQ
ATS4i,23321.679193354146
ATS4m,7885.420424096001
ATS4p,195.89978109392305
ATS4s,363.70679012345676
ATS4v,25121.32944372724
ATS5Z,2288.0
ATS5d,380.0
ATS5i,22263.45682957982
ATS5m,8126.336957521599
ATS5p,187.59000910722503
ATS5s,391.2438271604939
ATS5v,24353.711202227318
ATS6Z,2371.0
ATS6d,346.0
ATS6i,21131.43580221454
ATS6m,8575.2862313728
ATS6p,175.66013499407407
ATS6s,414.3765432098765
ATS6v,22808.663149234166
ATS7Z,2306.0
ATS7d,300.0
ATS7i,19120.780559105864
ATS7m,8501.486362051199
ATS7p,156.94937008947002
ATS7s,417.34567901234567
ATS7v,20209.212950436606
ATS8Z,1713.0
ATS8d,266.0
ATS8i,16738.777204821017
ATS8m,6147.557226278399
ATS8p,136.75565020492309
ATS8s,239.79320987654322
ATS8v,17086.602387436997
C1SP1,0
C1SP2,4
C1SP3,1
C2SP1,0
C2SP2,9
C2SP3,7
C3SP2,2
C3SP3,1
C4SP3,0
FCSP3,0.375
GGI10,0.12244056728905214
JGI10,0.005323502925610962
JGT10,0.3848883312711252
Kier1,24.134948096885815
Kier2,11.9234404536862
Kier3,7.239150507848569
MAXdO,11.30717374354763
MAXsF,13.610391058598388
MID_C,50.28638863414412
MID_N,6.1849537437974424
MID_O,3.4067916314265956
MID_X,1.764534948642445
MID_h,13.400106010849637
MINdO,11.30717374354763
MINsF,13.610391058598388
MPC10,98
MWC01,34.0
MWC02,5.081404364984463
MWC03,5.905361848054571
MWC04,6.7650389767805414
MWC05,7.605392364814935
MWC06,8.467372496432281
MWC07,9.31461029315198
MWC08,10.176449310831199
MWC09,11.027166367619959
MWC10,11.888323041455997
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,7
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,5.011600000000005
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.53338948872752
SRW05,2.3978952727983707
SRW06,7.009408932708637
SRW07,4.59511985013459
SRW08,8.569595870209286
SRW09,6.555356891810665
SRW10,10.175764066400548
SaaCH,12.483352377263754
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,5.681801063094778
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.8918948258566879
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.3763198384547692
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,5.186300944145655
VE1_D,5.4932989801257675
VE2_A,0.16730003045631145
VE2_D,0.1772031929072828
VE3_A,2.7774228270329653
VE3_D,2.8349310936668806
VR1_A,221.63479094318416
VR1_D,199.9906115886295
VR2_A,7.149509385264005
VR2_D,6.451310051246113
VR3_A,6.5324330528822845
VR3_D,6.4296725348804715
WPath,3247
Xc-3d,1.9759625274211374
Xc-4d,0.0
Xc-5d,0.16666666666666666
Xc-6d,0.0
Xp-0d,21.631181265251037
Xp-1d,15.063683283512807
Xp-2d,13.616889608835395
Xp-3d,10.576720019603743
Xp-4d,9.006704475915889
Xp-5d,7.140387768047488
Xp-6d,4.760263598174588
Xp-7d,3.4634410460067477
ZMIC0,99.06084299521676
ZMIC1,50.89107343860638
ZMIC2,30.16808711999253
ZMIC3,24.95127199195062
ZMIC4,24.81678462303256
ZMIC5,24.81678462303256
nAcid,1
nAtom,57
nBase,0
nRing,4
piPC1,3.7954891891721947
piPC2,4.347046915777855
piPC3,4.823301195478757
piPC4,5.345022024226448
piPC5,5.740997973582345
piPC6,5.818412396321176
piPC7,6.045079363426989
piPC8,6.279810461667825
piPC9,6.603393198779153
AATS0Z,26.350877192982455
AATS0d,3.263157894736842
AATS0i,162.56894782220309
AATS0m,104.87830949385561
AATS0p,1.6163191671241053
AATS0s,4.731054316174524
AATS0v,226.47593531983608
AATS1Z,26.35
AATS1d,3.9166666666666665
AATS1i,144.86954920896758
AATS1m,100.51637539725337
AATS1p,1.9409145621000008
AATS1s,2.982664609053498
AATS1v,274.57284923844963
AATS2Z,22.00943396226415
AATS2d,3.490566037735849
AATS2i,150.79668145776054
AATS2m,82.10920708179626
AATS2p,1.6638073842338876
AATS2s,3.014995341253202
AATS2v,226.70111653933364
AATS3Z,16.041666666666668
AATS3d,2.875
AATS3i,159.7841862577384
AATS3m,56.99074906612221
AATS3p,1.3727312917585066
AATS3s,2.5743955761316872
AATS3v,179.8330507818982
AATS4Z,15.39041095890411
AATS4d,2.767123287671233
AATS4i,159.73752872160375
AATS4m,54.009728932164386
AATS4p,1.3417793225611168
AATS4s,2.4911423981058682
AATS4v,172.06390029950165
AATS5Z,16.46043165467626
AATS5d,2.7338129496402876
AATS5i,160.168754169639
AATS5m,58.46285580950791
AATS5p,1.3495684108433454
AATS5s,2.814703792521539
AATS5v,175.2065554117073
AATS6Z,18.099236641221374
AATS6d,2.6412213740458017
AATS6i,161.3086702459125
AATS6m,65.46020023948702
AATS6p,1.3409170610234662
AATS6s,3.1631797191593627
AATS6v,174.11193243690204
AATS7Z,19.54237288135593
AATS7d,2.542372881355932
AATS7i,162.04051321276157
AATS7m,72.04649459365423
AATS7p,1.3300794075378815
AATS7s,3.5368277882402177
AATS7v,171.26451652912377
AATS8Z,16.471153846153847
AATS8d,2.5576923076923075
AATS8i,160.9497808155867
AATS8m,59.111127175753836
AATS8p,1.3149581750473374
AATS8s,2.305703941120608
AATS8v,164.29425372535573
AMID_C,1.6221415688433587
AMID_N,0.1995146368966917
AMID_O,0.1098965042395676
AMID_X,0.05692048221427242
AMID_h,0.432261484220956
ATS0dv,408.44444444444446
ATS0pe,355.78880000000004
ATS0se,437.7046369999999
ATS1dv,387.66666666666663
ATS1pe,385.8165000000001
ATS1se,461.9210079999998
ATS2dv,500.33333333333337
ATS2pe,663.1688999999999
ATS2se,806.8482979999997
ATS3dv,439.66666666666663
ATS3pe,878.27
ATS3se,1089.3838239999998
ATS4dv,412.3333333333333
ATS4pe,880.5805
ATS4se,1097.1836999999998
ATS5dv,444.6666666666667
ATS5pe,851.0564999999999
ATS5se,1057.582642
ATS6dv,499.0
ATS6pe,812.7614999999998
ATS6se,1008.5898179999999
ATS7dv,459.66666666666674
ATS7pe,729.6769999999998
ATS7se,909.021324
ATS8dv,257.0
ATS8pe,619.0706999999996
ATS8se,778.1084460000001
ATSC0Z,557.719298245614
ATSC0c,0.9305448768914378
ATSC0d,30.98245614035088
ATSC0i,110.25263719236014
ATSC0m,2588.5254331940473
ATSC0p,16.22326217951393
ATSC0s,105.2295983442832
ATSC0v,2966.4426797538385
ATSC1Z,27.049861495844844
ATSC1c,-0.5908418832354034
ATSC1d,5.6851338873499495
ATSC1i,-1.4111403943716598
ATSC1m,127.29562257875048
ATSC1p,1.251699560801407
ATSC1s,-3.152693706325591
ATSC1v,164.07486966682825
ATSC2Z,22.92551554324406
ATSC2c,0.3186633197010958
ATSC2d,-4.669128962757773
ATSC2i,-28.4722549833206
ATSC2m,91.56049488152686
ATSC2p,-2.8638484988863255
ATSC2s,30.75693132972011
ATSC2v,-472.0995957084284
ATSC3Z,-123.5364727608495
ATSC3c,-0.17220618158795364
ATSC3d,-4.096029547553094
ATSC3i,-1.2992864150096104
ATSC3m,-571.450001034847
ATSC3p,-0.08985253054120906
ATSC3s,-24.20281485787966
ATSC3v,-256.0190606419285
ATSC4Z,-169.68451831332715
ATSC4c,-0.009856447286030544
ATSC4d,-10.305940289319794
ATSC4i,-14.763770335743006
ATSC4m,-774.88903141898
ATSC4p,-3.9296767715694862
ATSC4s,-11.505109623262785
ATSC4v,-657.0905497898755
ATSC5Z,-118.47337642351488
ATSC5c,-0.1267989428911224
ATSC5d,-5.518621114188982
ATSC5i,-5.869238864182603
ATSC5m,-547.8850422152439
ATSC5p,-1.6825058323772153
ATSC5s,-14.070468554004798
ATSC5v,-415.24863855726574
ATSC6Z,35.50477069867651
ATSC6c,0.07185374211117213
ATSC6d,-1.9070483225607866
ATSC6i,-0.31653631269811244
ATSC6m,135.8842411582913
ATSC6p,0.1441567667167577
ATSC6s,-1.813043878437218
ATSC6v,-162.76779152880778
ATSC7Z,215.07232994767622
ATSC7c,0.07249236965478353
ATSC7d,2.4924592182209917
ATSC7i,9.694289796127613
ATSC7m,1002.0468661535746
ATSC7p,1.2161202466945666
ATSC7s,66.47461052699128
ATSC7v,488.361398737879
ATSC8Z,73.93321021852877
ATSC8c,0.04837449951136287
ATSC8d,2.979378270236997
ATSC8i,-5.892134349154467
ATSC8m,347.0185668208427
ATSC8p,-0.7278443727866257
ATSC8s,-10.553701972665639
ATSC8v,167.16720418142734
AXp-0d,0.6977800408145496
AXp-1d,0.44304950833861195
AXp-2d,0.29601933932250857
AXp-3d,0.1855564915719955
AXp-4d,0.12171222264751201
AXp-5d,0.0802290760454774
AXp-6d,0.05348610784465829
AXp-7d,0.035705577793883995
GATS1Z,0.7597609311104121
GATS1c,1.5405375897708853
GATS1d,0.9037372593431483
GATS1i,1.0459168319735979
GATS1m,0.758584910534985
GATS1p,0.9228174581808892
GATS1s,0.6139828415803804
GATS1v,0.9261580513677378
GATS2Z,0.8700528824182281
GATS2c,0.6235012458242969
GATS2d,1.2447701873971664
GATS2i,1.1307883182069225
GATS2m,0.870008099671091
GATS2p,1.0994859233021947
GATS2s,0.42848648658666516
GATS2v,1.074651390776947
GATS3Z,0.9950246408723917
GATS3c,0.8872815386323994
GATS3d,1.0857399018497544
GATS3i,0.9720350578681791
GATS3m,0.9995976590720365
GATS3p,0.9402451447929321
GATS3s,0.8785398707551673
GATS3v,1.0086256372632956
GATS4Z,1.1161897210719318
GATS4c,0.8549285157264297
GATS4d,1.1389565460215019
GATS4i,0.9833888388941845
GATS4m,1.1085656260381438
GATS4p,1.0947457480422287
GATS4s,0.7071220536181272
GATS4v,1.0786222054955485
GATS5Z,1.1171396824031812
GATS5c,1.0474635974752826
GATS5d,1.0597782249851309
GATS5i,0.9895452923643816
GATS5m,1.1095604969901247
GATS5p,1.0548743350416474
GATS5s,0.9892668845025887
GATS5v,1.0381127459631687
GATS6Z,1.1018155884634133
GATS6c,1.06401291850887
GATS6d,0.9865223518020626
GATS6i,1.0503211465467477
GATS6m,1.0935894562748663
GATS6p,1.0664768309132049
GATS6s,1.2400790549669314
GATS6v,1.0046194071648047
GATS7Z,1.1130075015594927
GATS7c,1.061976848310523
GATS7d,0.8807608883428987
GATS7i,0.948710534276143
GATS7m,1.0800581781512697
GATS7p,1.1364964246193054
GATS7s,0.8815765197621993
GATS7v,0.9202585651961668
GATS8Z,1.1382897379437174
GATS8c,0.7658087177900154
GATS8d,0.8602883526439584
GATS8i,1.0292168452925705
GATS8m,1.1158174831046965
GATS8p,1.1781564748063305
GATS8s,0.8867897527000779
GATS8v,1.0039798815915415
MATS1Z,0.04607581000314559
MATS1c,-0.6031947550436274
MATS1d,0.1743204983012456
MATS1i,-0.012159195542090592
MATS1m,0.046718042596395636
MATS1p,0.07329688502864125
MATS1s,-0.028462134875876618
MATS1v,0.05254479624612916
MATS2Z,0.02210407924647004
MATS2c,0.18414661671675192
MATS2d,-0.08103805636872584
MATS2i,-0.13886790010563985
MATS2m,0.019020620706982166
MATS2p,-0.09492505188400145
MATS2s,0.15717160231716515
MATS2v,-0.08557889173797127
MATS3Z,-0.0876782531194296
MATS3c,-0.07325272383023121
MATS3d,-0.05233106832767082
MATS3i,-0.004664748941203637
MATS3m,-0.0873852564252566
MATS3p,-0.0021923227448961526
MATS3s,-0.0910416938958553
MATS3v,-0.034162425878787865
MATS4Z,-0.11878142950096307
MATS4c,-0.004135281523639969
MATS4d,-0.1298654958966165
MATS4i,-0.05227936383744734
MATS4m,-0.11687162348150745
MATS4p,-0.09456722449501923
MATS4s,-0.04268495699868785
MATS4v,-0.08647911971505941
MATS5Z,-0.08710942538828323
MATS5c,-0.055877679951521195
MATS5d,-0.07304235886488998
MATS5i,-0.0218299556636995
MATS5m,-0.08679547074069446
MATS5p,-0.04252834153977737
MATS5s,-0.0548315726929711
MATS5v,-0.057402698853221454
MATS6Z,0.02769967030776877
MATS6c,0.03359817040799206
MATS6d,-0.026782395200262786
MATS6i,-0.0012492176527200618
MATS6m,0.022841268395480046
MATS6p,0.003866343237736829
MATS6s,-0.007496766118818349
MATS6v,-0.02387459812784569
MATS7Z,0.18627806420311258
MATS7c,0.03763117874866349
MATS7d,0.038860203082711105
MATS7i,0.04247367700918599
MATS7m,0.18699433340721514
MATS7p,0.03621022142624274
MATS7s,0.3051481470490979
MATS7v,0.07952399995320332
MATS8Z,0.07265498342487962
MATS8c,0.02849185193103483
MATS8d,0.05270493945465634
MATS8i,-0.029290391111517135
MATS8m,0.07347537169802781
MATS8p,-0.024589056128272394
MATS8s,-0.0549678093926097
MATS8v,0.030885642096658106
MAXaaN,4.742930778128705
MAXaaS,1.6013915472320952
MAXsOH,9.274119839892405
MINaaN,4.705779210801757
MINaaS,1.6013915472320952
MINsOH,9.274119839892405
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.14929829492467
SpAD_D,431.9433701339585
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,6.404611830443002
SssNH2,0
SsssAs,0
SsssCH,-0.2959764616005951
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,828
TMWC10,141.23111906412595
TSRW10,80.07063687738687
VE1_Dt,5.474829570985142
VE2_Dt,0.17660740551564974
VE3_Dt,2.831563258121972
VR1_Dt,201.85578167615662
VR2_Dt,6.511476828263117
VR3_Dt,6.4389556018089
Xc-3dv,0.9022935386328923
Xc-4dv,0.0
Xc-5dv,0.07093429566185074
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.4013747150773105
Xch-7d,0.5595982058911934
Xp-0dv,18.128254824373947
Xp-1dv,11.577837588614655
Xp-2dv,8.923354210219244
Xp-3dv,6.5287335367354045
Xp-4dv,4.871076557454687
Xp-5dv,3.385118717358519
Xp-6dv,2.08554114818327
Xp-7dv,1.4137141703442988
Xpc-4d,3.598699171405023
Xpc-5d,5.67977839677152
Xpc-6d,7.980211893638741
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,60
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,3
nSpiro,0
naRing,3
piPC10,6.679363605333655
AATS0dv,7.165692007797271
AATS0pe,6.241908771929825
AATS0se,7.679028719298244
AATS1dv,6.46111111111111
AATS1pe,6.430275000000001
AATS1se,7.6986834666666635
AATS2dv,4.720125786163522
AATS2pe,6.256310377358489
AATS2se,7.611776396226412
AATS3dv,3.0532407407407405
AATS3pe,6.099097222222222
AATS3se,7.5651654444444425
AATS4dv,2.824200913242009
AATS4pe,6.031373287671233
AATS4se,7.514956849315067
AATS5dv,3.199040767386091
AATS5pe,6.1227086330935245
AATS5se,7.608508215827339
AATS6dv,3.8091603053435112
AATS6pe,6.204286259541983
AATS6se,7.699158916030534
AATS7dv,3.895480225988701
AATS7pe,6.183703389830507
AATS7se,7.703570542372882
AATS8dv,2.4711538461538463
AATS8pe,5.952602884615382
AATS8se,7.481811980769232
AATSC0Z,9.784549092028316
AATSC0c,0.016325348717393648
AATSC0d,0.5435518621114189
AATSC0i,1.9342567928484236
AATSC0m,45.41272689814118
AATSC0p,0.28461863472831456
AATSC0s,1.8461333042856702
AATSC0v,52.0428540307691
AATSC1Z,0.4508310249307474
AATSC1c,-0.009847364720590057
AATSC1d,0.09475223145583249
AATSC1i,-0.023519006572860997
AATSC1m,2.1215937096458415
AATSC1p,0.020861659346690115
AATSC1s,-0.052544895105426516
AATSC1v,2.734581161113804
AATSC2Z,0.21627844852117037
AATSC2c,0.0030062577330292055
AATSC2d,-0.044048386441111066
AATSC2i,-0.26860617908793016
AATSC2m,0.86377825359931
AATSC2p,-0.02701743866873892
AATSC2s,0.29015972952566144
AATSC2v,-4.4537697708342305
AATSC3Z,-0.8578921719503438
AATSC3c,-0.001195876261027456
AATSC3d,-0.028444649635785375
AATSC3i,-0.009022822326455628
AATSC3m,-3.968402784964215
AATSC3p,-0.0006239759065361741
AATSC3s,-0.16807510317971985
