DLiP-ID,T007RU
Mi,1.121468824098825
Mm,0.7068104237782034
Mp,0.7055552095808383
Mv,0.6699276694484024
SZ,37.0
Si,56.073441204941254
Sm,35.34052118891017
Sp,35.277760479041916
Sv,33.49638347242012
nB,0
nC,21
nF,0
nH,20
nI,0
nN,4
nO,4
nP,0
nS,1
nX,0
ABC,23.89665816891052
AMW,8.482410522400011
IC0,1.7503116342527003
IC1,3.7288840705376356
IC2,4.563074189428569
IC3,5.1736606896881865
IC4,5.2136606896881865
IC5,5.2136606896881865
MID,61.20212144349669
Mpe,0.9886274509803923
Mse,1.0186088856518571
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,112.18130000000002
SdO,24.940503018680815
SdS,0
Spe,49.43137254901961
SsF,0
SsI,0
Sse,50.93044428259286
StN,0
fMF,0.5
nBr,0
nCl,0
AMID,2.040070714783223
BIC0,0.29063512701203237
BIC1,0.6191724229248795
BIC2,0.7576877286633124
BIC3,0.8590741798426489
BIC4,0.8657160856912864
BIC5,0.8657160856912864
CIC0,3.8935445555220243
CIC1,1.9149721192370888
CIC2,1.0807820003461552
CIC3,0.4701955000865379
CIC4,0.43019550008653784
CIC5,0.43019550008653784
GGI1,8.5
GGI2,4.222222222222223
GGI3,2.506944444444444
GGI4,2.1827777777777784
GGI5,1.1566666666666663
GGI6,0.40489795918367355
GGI7,0.4444798752834467
GGI8,0.3943216175359032
GGI9,0.21000000000000005
JGI1,0.25757575757575757
JGI2,0.08616780045351476
JGI3,0.05333924349881797
JGI4,0.05197089947089947
JGI5,0.02965811965811966
JGI6,0.012269635126777985
JGI7,0.014815995842781555
JGI8,0.014604504353181601
JGI9,0.00875
MIC0,19.21317353780232
MIC1,37.26589210441155
MIC2,44.82503900661016
MIC3,46.40059019887186
MIC4,46.44091019887186
MIC5,46.44091019887186
MPC2,49
MPC3,61
MPC4,80
MPC5,101
MPC6,101
MPC7,102
MPC8,116
MPC9,119
Mare,1.0017600000000002
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,2
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1976669796914199
RPCG,0.11497289547768423
SIC0,0.3101269017846049
SIC1,0.6606979244604875
SIC2,0.8085029164449183
SIC3,0.9166889650841181
SIC4,0.9237763178895405
SIC5,0.9237763178895405
SaaN,3.962999254071307
SaaO,0
SaaS,0
Sare,50.08800000000001
SdNH,0
SdSe,0
SddC,0
SdsN,8.471987869617289
SsBr,0
SsCl,0
SsLi,0
SsOH,10.021229859555056
SsSH,0
SssO,5.789356966666298
SssS,0
StCH,0
StsC,0
TIC0,87.51558171263501
TIC1,186.44420352688178
TIC2,228.15370947142844
TIC3,258.68303448440935
TIC4,260.68303448440935
TIC5,260.68303448440935
Vabc,360.9386980515159
WPol,47
apol,58.913859999999985
bpol,31.30614
nRot,5
ABCGG,17.792151237793956
ATS0Z,1484.0
ATS0d,184.0
ATS0i,8055.129720025081
ATS0m,5886.367621000001
ATS0p,83.28197409697998
ATS0s,270.8619684499314
ATS0v,11951.126862865334
ATS1Z,1710.0
ATS1d,225.0
ATS1i,7713.876577244651
ATS1m,6607.327413
ATS1p,104.187657866
ATS1s,168.80401234567904
ATS1v,15063.639158389677
ATS2Z,2409.0
ATS2d,353.0
ATS2i,13455.201098676873
ATS2m,9214.377182000002
ATS2p,153.01469994394301
ATS2s,360.466049382716
ATS2v,22099.978278688235
ATS3Z,2607.0
ATS3d,372.0
ATS3i,18035.871313460404
ATS3m,9589.434890999999
ATS3p,171.994495795094
ATS3s,421.5092592592593
ATS3v,24039.15632372803
ATS4Z,2358.0
ATS4d,354.0
ATS4i,20397.165727509764
ATS4m,8595.953123
ATS4p,158.375181252923
ATS4s,440.66975308641975
ATS4v,21629.32771975672
ATS5Z,2068.0
ATS5d,296.0
ATS5i,15427.466394185201
ATS5m,7590.5624210000005
ATS5p,139.48422371248998
ATS5s,381.712962962963
ATS5v,19723.899399871076
ATS6Z,1791.0
ATS6d,278.0
ATS6i,15617.509877063574
ATS6m,6384.384959999999
ATS6p,136.289124373943
ATS6s,369.712962962963
ATS6v,18715.437997353758
ATS7Z,1535.0
ATS7d,261.0
ATS7i,15335.54438110668
ATS7m,5543.097037
ATS7p,126.781936488678
ATS7s,281.8179012345679
ATS7v,16923.39849062533
ATS8Z,1454.0
ATS8d,246.0
ATS8i,12579.895072061387
ATS8m,5296.561541
ATS8p,115.505268409886
ATS8s,228.7993827160494
ATS8v,15312.372021344529
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,14
C2SP3,1
C3SP2,1
C3SP3,1
C4SP3,0
FCSP3,0.19047619047619047
GGI10,0.18579736761554944
JGI10,0.008445334891615884
JGT10,0.5375972908714665
Kier1,23.168044077134986
Kier2,9.46938775510204
Kier3,5.688793335124966
MAXdO,12.470251509340407
MID_C,43.508379332536904
MID_N,8.15570700694677
MID_O,7.2949172378819975
MID_X,0.0
MID_h,17.69374211095977
MINdO,12.470251509340407
MPC10,119
MWC01,33.0
MWC02,5.10594547390058
MWC03,5.953243334287785
MWC04,6.859614903654202
MWC05,7.7279755421055585
MWC06,8.63497622707262
MWC07,9.51259080860336
MWC08,10.419629022124354
MWC09,11.302809189024783
MWC10,12.209880386873001
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,7
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.716900000000003
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.572154032177765
SRW05,2.3978952727983707
SRW06,7.1204443723924875
SRW07,4.844187086458591
SRW08,8.747510946478448
SRW09,7.050122520269059
SRW10,10.4168200315133
SaaCH,15.712767083892604
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.7217920191054708
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,3.872075061598039
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.422526220248047
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8053495088917497
VE1_D,5.402681014017034
VE2_A,0.126844983629725
VE2_D,0.18008936713390114
VE3_A,2.435020130925421
VE3_D,2.785507603108126
VR1_A,1524.5325844032518
VR1_D,191.71257945047861
VR2_A,50.81775281344173
VR2_D,6.390419315015953
VR3_A,8.42805542869762
VR3_D,6.354609557070057
WPath,2827
Xc-3d,3.4847039086378575
Xc-4d,0.4541241452319315
Xc-5d,0.5682836946938083
Xc-6d,0.10206207261596575
Xp-0d,21.35516038331214
Xp-1d,14.233913351594481
Xp-2d,14.206625704652874
Xp-3d,10.892869712002682
Xp-4d,9.049505498326276
Xp-5d,7.527207351164757
Xp-6d,4.907453798867215
Xp-7d,3.144445633308047
ZMIC0,96.10340000017193
ZMIC1,53.816062003104236
ZMIC2,33.65685553943213
ZMIC3,28.9159301574012
ZMIC4,28.77017590981021
ZMIC5,28.77017590981021
nAcid,0
nAtom,50
nBase,0
nRing,4
piPC1,3.828641396489095
piPC2,4.483002552013883
piPC3,4.988730458708206
piPC4,5.544689043981454
piPC5,6.075489698928886
piPC6,6.295150681137379
piPC7,6.627751982457357
piPC8,6.943846099126491
piPC9,7.3248195229336535
AATS0Z,29.68
AATS0d,3.68
AATS0i,161.10259440050163
AATS0m,117.72735242000003
AATS0p,1.6656394819395997
AATS0s,5.417239368998628
AATS0v,239.02253725730668
AATS1Z,32.264150943396224
AATS1d,4.245283018867925
AATS1i,145.54484108008776
AATS1m,124.66655496226414
AATS1p,1.9658048653962263
AATS1s,3.184981365012812
AATS1v,284.21960676206936
AATS2Z,27.06741573033708
AATS2d,3.966292134831461
AATS2i,151.18203481659407
AATS2m,103.53232788764048
AATS2p,1.7192662915049777
AATS2s,4.050180330142877
AATS2v,248.3143626818903
AATS3Z,22.669565217391305
AATS3d,3.234782608695652
AATS3i,156.83366359530785
AATS3m,83.38639035652173
AATS3p,1.495604311261687
AATS3s,3.665297906602255
AATS3v,209.03614194546114
AATS4Z,19.016129032258064
AATS4d,2.8548387096774195
AATS4i,164.49327199604647
AATS4m,69.32220260483871
AATS4p,1.2772192036526049
AATS4s,3.5537883313420946
AATS4v,174.43006225610256
AATS5Z,21.31958762886598
AATS5d,3.051546391752577
AATS5i,159.04604530087838
AATS5m,78.25322083505155
AATS5p,1.4379816877576286
AATS5s,3.9351851851851856
AATS5v,203.33916907083582
AATS6Z,18.275510204081634
AATS6d,2.836734693877551
AATS6i,159.36234568432218
AATS6m,65.14678530612244
AATS6p,1.3907053507545204
AATS6s,3.772581254724112
AATS6v,190.97385711585468
AATS7Z,16.157894736842106
AATS7d,2.7473684210526317
AATS7i,161.4267829590177
AATS7m,58.34838986315789
AATS7p,1.334546699880821
AATS7s,2.9665042235217673
AATS7v,178.14103674342454
AATS8Z,17.950617283950617
AATS8d,3.037037037037037
AATS8i,155.30734656865909
AATS8m,65.389648654321
AATS8p,1.4259909680232838
AATS8s,2.8246837372351776
AATS8v,189.04162989314233
AMID_C,1.4502793110845635
AMID_N,0.271856900231559
AMID_O,0.24316390792939993
AMID_X,0.0
AMID_h,0.589791403698659
ATS0dv,448.44444444444446
ATS0pe,324.30969999999996
ATS0se,395.6773729999999
ATS1dv,407.3333333333333
ATS1pe,351.77619999999996
ATS1se,420.008956
ATS2dv,669.6666666666667
ATS2pe,587.9069
ATS2se,706.3181659999999
ATS3dv,628.3333333333333
ATS3pe,758.7828
ATS3se,922.7296039999999
ATS4dv,597.6666666666666
ATS4pe,790.0367999999999
ATS4se,976.60673
ATS5dv,486.3333333333333
ATS5pe,635.1349
ATS5se,775.009352
ATS6dv,434.3333333333333
ATS6pe,630.9421
ATS6se,772.5794259999999
ATS7dv,382.6666666666667
ATS7pe,577.5142999999999
ATS7se,717.8408619999999
ATS8dv,332.66666666666663
ATS8pe,492.97909999999996
ATS8se,610.6967599999999
ATSC0Z,498.32
ATSC0c,1.1022281194894479
ATSC0d,36.08
ATSC0i,81.71530462082194
ATSC0m,2282.7871085000006
ATSC0p,13.865116094988
ATSC0s,95.11543895747596
ATSC0v,2447.3423174604477
ATSC1Z,104.14079999999993
ATSC1c,-0.6448134734474419
ATSC1d,8.555200000000001
ATSC1i,-2.8397994875165287
ATSC1m,450.3132932500002
ATSC1p,-0.7840780266804782
ATSC1s,-23.235352263374484
ATSC1v,91.20823505813078
ATSC2Z,105.35039999999995
ATSC2c,0.1943789504322937
ATSC2d,-6.3424
ATSC2i,-12.43927126795716
ATSC2m,493.6953627500001
ATSC2p,-0.5485181796324385
ATSC2s,40.92677860082304
ATSC2v,105.71829155406996
ATSC3Z,-178.65600000000003
ATSC3c,0.03275115428824436
ATSC3d,-3.303999999999998
ATSC3i,-41.383051809379374
ATSC3m,-835.2084312499999
ATSC3p,-3.847827758974798
ATSC3s,-15.33648010973937
ATSC3v,-997.8918770375153
ATSC4Z,47.24640000000003
ATSC4c,-0.23261091370748538
ATSC4d,-6.718400000000001
ATSC4i,3.4516046901390345
ATSC4m,253.78839549999998
ATSC4p,1.942311426726759
ATSC4s,2.024191495198906
ATSC4v,605.2895565839322
ATSC5Z,-109.02080000000004
ATSC5c,0.07811190526969702
ATSC5d,-13.875200000000003
ATSC5i,-3.6237578446750804
ATSC5m,-494.33225374999995
ATSC5p,-0.8097496065783195
ATSC5s,-21.258344581618655
ATSC5v,-185.09577449544395
ATSC6Z,-215.34720000000004
ATSC6c,0.03500897562075597
ATSC6d,3.7632000000000008
ATSC6i,9.974868407932286
ATSC6m,-1016.7526505
ATSC6p,-1.9934058099638807
ATSC6s,-25.55979945130315
ATSC6v,-880.1030257778717
ATSC7Z,99.99200000000005
ATSC7c,-0.035216027079177877
ATSC7d,7.128
ATSC7i,40.50737328761278
ATSC7m,464.44467575
ATSC7p,4.101296850957599
ATSC7s,8.313666666666668
ATSC7v,681.6783799838372
ATSC8Z,58.24160000000002
ATSC8c,0.06041508349820089
ATSC8d,-6.2896
ATSC8i,-10.200590553133633
ATSC8m,254.59230925
ATSC8p,-1.1176287474197595
ATSC8s,9.21829410150892
ATSC8v,-235.3100596558699
AXp-0d,0.711838679443738
AXp-1d,0.43133070762407516
AXp-2d,0.2899311368296505
AXp-3d,0.17857163462299477
AXp-4d,0.11311881872907845
AXp-5d,0.0745268054570768
AXp-6d,0.04858865147393283
AXp-7d,0.030827898365765168
GATS1Z,0.7987025083525929
GATS1c,1.503745154210192
GATS1d,1.0121637451365937
GATS1i,1.182367064454166
GATS1m,0.7865722492494818
GATS1p,1.1923236730650364
GATS1s,0.8536424238170001
GATS1v,0.896313831942844
GATS2Z,0.7645464040073524
GATS2c,0.8616341059370868
GATS2d,1.4191310197065201
GATS2i,1.1526469613459804
GATS2m,0.7576716337866377
GATS2p,1.014950262566875
GATS2s,0.5504618116852229
GATS2v,0.904245430560658
GATS3Z,1.1654288845302825
GATS3c,1.227422895611422
GATS3d,1.0156174684276489
GATS3i,1.257192503471557
GATS3m,1.1586138742320158
GATS3p,1.131211529696546
GATS3s,0.9790295158316555
GATS3v,1.0969919148217528
GATS4Z,1.0471393559780215
GATS4c,1.0297465235050876
GATS4d,1.0788078463629212
GATS4i,0.9839443209376626
GATS4m,1.0352707841087585
GATS4p,0.9401286350653328
GATS4s,1.0828624845119341
GATS4v,0.8759247853719655
GATS5Z,1.0780862874516106
GATS5c,0.9937163740542847
GATS5d,1.2670868859578943
GATS5i,1.0405606269916665
GATS5m,1.074205968598184
GATS5p,0.9906942446839654
GATS5s,1.4193395551528016
GATS5v,0.9662872255745762
GATS6Z,1.0480213517418526
GATS6c,0.925799880362911
GATS6d,0.7206208425720622
GATS6i,0.9349581253384668
GATS6m,1.0660505009155563
GATS6p,0.9406600717194924
GATS6s,1.2321634417811989
GATS6v,1.1167113990034223
GATS7Z,0.6981457697864826
GATS7c,0.6447436863491872
GATS7d,0.6218636947135022
GATS7i,0.6906336534841641
GATS7m,0.7182665933512392
GATS7p,0.7014711167451082
GATS7s,0.5480309021800545
GATS7v,0.8767261468578703
GATS8Z,0.7805733437188459
GATS8c,0.7021415109026089
GATS8d,1.089827817470094
GATS8i,1.000442118889617
GATS8m,0.7962157019784695
GATS8p,1.003123949480508
GATS8s,0.4645486782849024
GATS8v,1.100926922772698
MATS1Z,0.19715451464089137
MATS1c,-0.5518953715984833
MATS1d,0.22369577040538846
MATS1i,-0.032785243018184376
MATS1m,0.1860987649591871
MATS1p,-0.05334944522049435
MATS1s,-0.2304583134447072
MATS1v,0.03515875329655926
MATS2Z,0.11877030417709115
MATS2c,0.09907355438982507
MATS2d,-0.09875682005032513
MATS2i,-0.08552075620775505
MATS2m,0.12149926041391455
MATS2p,-0.02222529393776763
MATS2s,0.24173333477368353
MATS2v,0.02426807978685714
MATS3Z,-0.1558767894909505
MATS3c,0.012918952118398573
MATS3d,-0.03981490407789451
MATS3i,-0.2201867973809716
MATS3m,-0.1590748866555894
MATS3p,-0.1206602656189339
MATS3s,-0.07010465286610934
MATS3v,-0.17728048520191692
MATS4Z,0.03823038959290315
MATS4c,-0.0850955638045172
MATS4d,-0.07508404262928262
MATS4i,0.01703201243869367
MATS4m,0.04482854755158977
MATS4p,0.05648637097998696
MATS4s,0.008581217276713437
MATS4v,0.09972792438924502
MATS5Z,-0.11277148952438962
MATS5c,0.03652952413731773
MATS5d,-0.198230735821885
MATS5i,-0.022858831934220118
MATS5m,-0.1116225157959444
MATS5p,-0.030104090118127168
MATS5s,-0.11520642388091157
MATS5v,-0.03898522587469237
MATS6Z,-0.22048286323680222
MATS6c,0.01620510485956509
MATS6d,0.05321507760532153
MATS6i,0.062279870326505136
MATS6m,-0.22724473533442427
MATS6p,-0.07335270571311413
MATS6s,-0.13710407215380807
MATS6v,-0.18347746157352798
MATS7Z,0.10560958504786615
MATS7c,-0.01681571243427308
MATS7d,0.10397946084724005
MATS7i,0.26090180108002275
MATS7m,0.10708163072851454
MATS7p,0.1556840400895
MATS7s,0.04600319446608412
MATS7v,0.14659906469505718
MATS8Z,0.07214561915691046
MATS8c,0.033834431148351364
MATS8d,-0.10760723768853853
MATS8i,-0.07705607737113197
MATS8m,0.06884380320242957
MATS8p,-0.049757555854876734
MATS8s,0.059825250908797714
MATS8v,-0.05935137157072903
MAXaaN,3.962999254071307
MAXdsN,4.273180448883461
MAXsOH,10.021229859555056
MAXssO,5.789356966666298
MINaaN,3.962999254071307
MINdsN,4.198807420733828
MINsOH,10.021229859555056
MINssO,5.789356966666298
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,-3.752056791220976
SdssSe,0
SdsssP,0
SpAD_A,38.004921435414715
SpAD_D,388.8502723666776
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.5986696798743779
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,-0.42851690875499093
SssssN,0
TMPC10,911
TMWC10,140.72666488764625
TSRW10,80.353826881479
VE1_Dt,5.404140985942347
VE2_Dt,0.18013803286474492
VE3_Dt,2.785777797608267
VR1_Dt,191.6669579231802
VR2_Dt,6.38889859743934
VR3_Dt,6.354371560395397
Xc-3dv,1.9122051114005467
Xc-4dv,0.19536860360538932
Xc-5dv,0.1713941502642479
Xc-6dv,0.017010345435994292
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.08333333333333333
Xch-6d,0.5038426730364589
Xch-7d,0.7999034970569832
Xp-0dv,17.21895359786582
Xp-1dv,10.713451965952768
Xp-2dv,9.146803250518303
Xp-3dv,5.890530154295885
Xp-4dv,4.15317061775477
Xp-5dv,2.8949936133679763
Xp-6dv,1.616609249908875
Xp-7dv,0.8666597656138328
Xpc-4d,5.659254910323908
Xpc-5d,8.843339117164339
Xpc-6d,13.221621439323991
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,53
nFRing,1
nHBAcc,7
nHBDon,2
nHRing,2
nSpiro,0
naRing,3
piPC10,7.69202775857158
AATS0dv,8.96888888888889
AATS0pe,6.486193999999999
AATS0se,7.9135474599999975
AATS1dv,7.685534591194968
AATS1pe,6.637286792452829
AATS1se,7.924697283018868
AATS2dv,7.524344569288391
AATS2pe,6.605695505617977
AATS2se,7.936159168539325
AATS3dv,5.463768115942028
AATS3pe,6.5981113043478254
AATS3se,8.02373568695652
AATS4dv,4.819892473118279
AATS4pe,6.371264516129031
AATS4se,7.875860725806452
AATS5dv,5.013745704467354
AATS5pe,6.547782474226804
AATS5se,7.989787134020619
AATS6dv,4.431972789115646
AATS6pe,6.438184693877551
AATS6se,7.883463530612244
AATS7dv,4.028070175438597
AATS7pe,6.079097894736841
AATS7se,7.556219599999999
AATS8dv,4.106995884773662
AATS8pe,6.086161728395061
AATS8se,7.539466172839505
AATSC0Z,9.9664
AATSC0c,0.022044562389788958
AATSC0d,0.7216
AATSC0i,1.6343060924164388
AATSC0m,45.65574217000001
AATSC0p,0.27730232189976
AATSC0s,1.9023087791495192
AATSC0v,48.946846349208954
AATSC1Z,1.9649207547169798
AATSC1c,-0.012166291951838526
AATSC1d,0.1614188679245283
AATSC1i,-0.05358112240597224
AATSC1m,8.49647723113208
AATSC1p,-0.014793925031707136
AATSC1s,-0.4384028728938582
AATSC1v,1.7209100954364298
AATSC2Z,1.1837123595505612
AATSC2c,0.0021840331509246484
AATSC2d,-0.0712629213483146
AATSC2i,-0.13976709289839506
AATSC2m,5.5471389073033714
AATSC2p,-0.006163125613847624
AATSC2s,0.4598514449530679
AATSC2v,1.18784597251764
AATSC3Z,-1.553530434782609
AATSC3c,0.00028479264598473355
AATSC3d,-0.02873043478260868
AATSC3i,-0.35985262442938587
AATSC3m,-7.262682010869564
AATSC3p,-0.03345937181717216
AATSC3s,-0.1333606966064293
AATSC3v,-8.677320669891438
AATSC4Z,0.3810193548387099
AATSC4c,-0.0018758944653829465
AATSC4d,-0.05418064516129033
