DLiP-ID,C002DC
ATSC4p,-7.499923363204011
ATSC4s,-15.475785774000832
ATSC4v,-2059.6704383185415
ATSC5Z,-107.29639889196672
ATSC5c,0.2228017699310755
ATSC5d,-4.775623268698056
ATSC5i,-36.79078317750795
ATSC5m,-530.8810066204983
ATSC5p,-7.339431222560049
ATSC5s,22.896796645459336
ATSC5v,-1249.1241709354551
ATSC6Z,-114.91135734072036
ATSC6c,-0.13991832164911377
ATSC6d,12.518621114188987
ATSC6i,13.892896271133653
ATSC6m,-515.5583475207749
ATSC6p,2.7405297524742904
ATSC6s,-50.382801663053776
ATSC6v,200.36114755556187
ATSC7Z,7.656509695290836
ATSC7c,0.08579734626496968
ATSC7d,7.090489381348112
ATSC7i,5.308126228663696
ATSC7m,36.58858362326882
ATSC7p,-1.2538227865690417
ATSC7s,-5.854895083612654
ATSC7v,349.03707513087414
ATSC8Z,255.15235457063713
ATSC8c,-0.00325416298727685
ATSC8d,-6.140966451215757
ATSC8i,10.49046833662685
ATSC8m,1206.8433268088645
ATSC8p,3.8132127562330442
ATSC8s,-9.490458969143848
ATSC8v,1026.5864658961505
AXp-0d,0.7315272565784262
AXp-1d,0.42093554966454855
AXp-2d,0.26441795458244194
AXp-3d,0.15263560907272775
AXp-4d,0.09496898069274295
AXp-5d,0.06019713241308914
AXp-6d,0.03536967694095508
AXp-7d,0.02119232954880395
GATS1Z,0.6926333513741054
GATS1c,1.4204333449749946
GATS1d,0.9388235294117648
GATS1i,1.1877885491583957
GATS1m,0.7021414016183899
GATS1p,1.0738751225259957
GATS1s,0.5152369400180047
GATS1v,1.0393480358466256
GATS2Z,0.6112427645801545
GATS2c,0.8749208265912107
GATS2d,1.6260343968095714
GATS2i,1.0331595296292555
GATS2m,0.6187031812034495
GATS2p,0.9307772464872215
GATS2s,0.420809936756184
GATS2v,0.8945361323869394
GATS3Z,0.9152853989341755
GATS3c,1.0749190110335296
GATS3d,1.631733311302049
GATS3i,1.0853557543505283
GATS3m,0.9185680467596317
GATS3p,1.017786700147565
GATS3s,0.8697000572422958
GATS3v,1.059131610826409
GATS4Z,1.0108206248248701
GATS4c,1.1072485473274987
GATS4d,1.1910075093867334
GATS4i,1.2003150216950595
GATS4m,1.015530747606541
GATS4p,1.1390313876182816
GATS4s,0.6667619473176092
GATS4v,1.176239393236315
GATS5Z,1.0879160235465486
GATS5c,0.7386270735464446
GATS5d,0.8366830065359477
GATS5i,1.0593951203693328
GATS5m,1.0892145259124806
GATS5p,1.097796433280646
GATS5s,0.7983750838817069
GATS5v,1.0779444874577229
GATS6Z,1.1220952395892978
GATS6c,0.8198852568733165
GATS6d,0.7576918158567776
GATS6i,0.8656078801287964
GATS6m,1.1170806152115635
GATS6p,0.9092265616694745
GATS6s,1.228940701112545
GATS6v,0.9447697316279428
GATS7Z,1.1345841602020565
GATS7c,0.7246701272594278
GATS7d,0.7858455882352942
GATS7i,0.8856416249018811
GATS7m,1.131431492807209
GATS7p,1.0105387462973978
GATS7s,0.8349431323521566
GATS7v,0.9407758247630964
GATS8Z,0.7333111675361523
GATS8c,1.1988112872820178
GATS8d,0.9213660670879923
GATS8i,0.8557451688212291
GATS8m,0.7325488967806324
GATS8p,0.7958545077369997
GATS8s,1.0768740094311655
GATS8v,0.7853559792526266
MATS1Z,0.031066209633772376
MATS1c,-0.5167177265172687
MATS1d,0.4892647058823527
MATS1i,0.03180299056803834
MATS1m,0.031696994087882034
MATS1p,0.030319107414561754
MATS1s,-0.012131523898483557
MATS1v,0.045944715395044904
MATS2Z,0.15596400407293368
MATS2c,0.05145906332685012
MATS2d,0.02488472083748745
MATS2i,0.09358758193746237
MATS2m,0.15666233391876172
MATS2p,0.11502966835214473
MATS2s,0.11836974983045565
MATS2v,0.15346466447713328
MATS3Z,-0.06921271286590835
MATS3c,0.04927442257172018
MATS3d,-0.20073322868473237
MATS3i,0.002189879845673142
MATS3m,-0.06867897622161283
MATS3p,0.0031344982401983797
MATS3s,-0.0482180822511952
MATS3v,-0.04767177196596788
MATS4Z,-0.10688236265022781
MATS4c,-0.09953515039898975
MATS4d,-0.18816020025031285
MATS4i,-0.15897012937812627
MATS4m,-0.10834307070738002
MATS4p,-0.12603636202530616
MATS4s,-0.03637010974540739
MATS4v,-0.16595746855959054
MATS5Z,-0.038821737125904525
MATS5c,0.06923364672778906
MATS5d,-0.021127450980392135
MATS5i,-0.1044589708184126
MATS5m,-0.04073281674655395
MATS5p,-0.10735086212062198
MATS5s,0.04683502187057372
MATS5v,-0.08760094197787535
MATS6Z,-0.04880774027563168
MATS6c,-0.051039814387765434
MATS6d,0.06501438618925834
MATS6i,0.0463058041957279
MATS6m,-0.04643666337125242
MATS6p,0.0470558454688442
MATS6s,-0.12098018446185979
MATS6v,0.016495010737046723
MATS7Z,0.0044522048400814284
MATS7c,0.04284764023158548
MATS7d,0.05041360294117651
MATS7i,0.02422157804202985
MATS7m,0.004511773985941055
MATS7p,-0.02947363983636418
MATS7s,-0.01924729044472529
MATS7v,0.03933953363698497
MATS8Z,0.2060002713570686
MATS8c,-0.002256400909628535
MATS8d,-0.060622265435099645
MATS8i,0.06646300617231667
MATS8m,0.20662199131784828
MATS8p,0.12445506113824473
MATS8s,-0.04331732305857518
MATS8v,0.16064865440853585
MAXsCl,6.70707123435794
MAXssO,5.78695786781961
MINsCl,6.70707123435794
MINssO,5.78695786781961
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,3
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.75329503372669
SpAD_D,260.85676369675684
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.60497840801074
SssNH2,0
SsssAs,0
SsssCH,0.8658791572184423
SsssNH,0
SssssB,0
SssssC,-1.5234252435542115
SssssN,0
TMPC10,1775
TMWC10,139.66374107972058
TSRW10,79.46258785851425
VE1_Dt,5.282387676250344
VE2_Dt,0.18865670272322657
VE3_Dt,2.6939976240936128
VR1_Dt,166.9534393677064
VR2_Dt,5.9626228345609436
VR3_Dt,6.147334384542845
Xc-3dv,2.389732224252546
Xc-4dv,0.24020853705628312
Xc-5dv,1.0603615240505113
Xc-6dv,0.27498825762666146
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07216878364870322
Xch-6d,0.4038859871952694
Xch-7d,1.100526893257589
Xp-0dv,17.896278613950553
Xp-1dv,10.761653251948387
Xp-2dv,10.125595535073572
Xp-3dv,8.894301865562518
Xp-4dv,7.550809473348609
Xp-5dv,5.778435184784451
Xp-6dv,4.281521165554342
Xp-7dv,3.0181020187801613
Xpc-4d,8.808500724861167
Xpc-5d,15.985453555970595
Xpc-6d,28.0453990682709
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,4
nBonds,60
nFRing,1
nHBAcc,4
nHBDon,0
nHRing,0
nSpiro,0
naRing,0
piPC10,6.699500340161678
AATS0dv,6.063244531080789
AATS0pe,6.091885964912281
AATS0se,7.609645842105262
AATS1dv,5.768518518518518
AATS1pe,6.286175
AATS1se,7.57726663333333
AATS2dv,4.274952919020715
AATS2pe,6.122924576271184
AATS2se,7.512862847457627
AATS3dv,3.0942571785268416
AATS3pe,6.183885393258425
AATS3se,7.6245087977528065
AATS4dv,2.1749408983451537
AATS4pe,6.012374468085108
AATS4se,7.504171600000001
AATS5dv,1.5979423868312759
AATS5pe,5.852990740740739
AATS5se,7.4347455629629655
AATS6dv,1.3782608695652174
AATS6pe,5.826650000000001
AATS6se,7.461298173913047
AATS7dv,1.7665343915343914
AATS7pe,5.775993452380952
AATS7se,7.405416000000001
AATS8dv,2.1120293847566574
AATS8pe,5.894106611570249
AATS8se,7.508928247933883
AATSC0Z,10.236380424746077
AATSC0c,0.011918940854436441
AATSC0d,0.8371806709756848
AATSC0i,1.3044562745460027
AATSC0m,48.27129836565096
AATSC0p,0.25321714297488085
AATSC0s,1.8106738750562998
AATSC0v,52.81205559921845
AATSC1Z,0.3180055401662055
AATSC1c,-0.00615872802079819
AATSC1d,0.40960295475530917
AATSC1i,0.04148561059580495
AATSC1m,1.5300550589104283
AATSC1p,0.007677317757063853
AATSC1s,-0.02196623338760533
AATSC1v,2.4264348639333795
AATSC2Z,1.5965068782571956
AATSC2c,0.0006133375322174259
AATSC2d,0.02083300728777035
AATSC2i,0.12208090847791093
AATSC2m,7.562294263251788
AATSC2p,0.029127483977478157
AATSC2s,0.2143290136149559
AATSC2v,8.104784392881768
AATSC3Z,-0.7084876591241552
AATSC3c,0.0005872989282688408
AATSC3d,-0.16804997907739982
AATSC3i,0.002856602505190162
AATSC3m,-3.315223352640921
AATSC3p,0.0007937086890428254
AATSC3s,-0.087307221837555
AATSC3v,-2.517644271579959
AATSC4Z,-1.0940885247834031
AATSC4c,-0.0011863535705429946
AATSC4d,-0.15752408269647614
