DLiP-ID,C000RD
MPC5,38
MPC6,30
MPC7,24
MPC8,20
MPC9,14
Mare,1.0405714285714285
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.2092698045943198
RPCG,0.21407284450093295
SIC0,0.42017266372054796
SIC1,0.7213364015549479
SIC2,0.8104855148448805
SIC3,0.9144928136831352
SIC4,0.9144928136831352
SIC5,0.9144928136831352
SaaN,0
SaaO,0
SaaS,0
Sare,29.135999999999996
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,5.62747073675149
SsLi,0
SsOH,0
SsSH,0
SssO,4.385134873393802
SssS,0
StCH,0
StsC,0
TIC0,56.557735445428854
TIC1,97.09616281328599
TIC2,109.09616281328596
TIC3,123.09616281328596
TIC4,123.09616281328596
TIC5,123.09616281328596
Vabc,233.74554535925688
WPol,27
apol,33.55792999999999
bpol,21.24007
nRot,2
ABCGG,12.628280377129668
ATS0Z,1284.0
ATS0d,98.0
ATS0i,4531.10580798199
ATS0m,5213.384004000001
ATS0p,49.92354904849001
ATS0s,259.2769871208657
ATS0v,6972.0227150258015
ATS1Z,1156.0
ATS1d,114.0
ATS1i,4062.6106522230007
ATS1m,4529.7947950000025
ATS1p,56.50906309999998
ATS1s,95.4681069958848
ATS1v,8058.661743958597
ATS2Z,1636.0
ATS2d,165.0
ATS2i,7172.795943133593
ATS2m,6402.834307999998
ATS2p,76.60674576909398
ATS2s,250.6867283950618
ATS2v,11026.041578020115
ATS3Z,1863.0
ATS3d,174.0
ATS3i,8494.559302107988
ATS3m,7082.636312000003
ATS3p,85.54655794369803
ATS3s,296.64197530864203
ATS3v,12177.182386612078
ATS4Z,1705.0
ATS4d,157.0
ATS4i,8296.765075402478
ATS4m,6387.986253
ATS4p,80.08748443169797
ATS4s,350.2890946502057
ATS4v,11839.570858086247
ATS5Z,1548.0
ATS5d,140.0
ATS5i,8649.805347848887
ATS5m,5794.507479000001
ATS5p,73.95602475169802
ATS5s,414.7416552354825
ATS5v,11127.719010562108
ATS6Z,1137.0
ATS6d,107.0
ATS6i,8374.459562440301
ATS6m,4113.826762
ATS6p,64.05443828600002
ATS6s,253.47530864197537
ATS6v,9210.597444598163
ATS7Z,681.0
ATS7d,81.0
ATS7i,7560.528393396035
ATS7m,2444.1794630000004
ATS7p,49.414643096735006
ATS7s,139.06378600823044
ATS7v,6254.0560659013445
ATS8Z,518.0
ATS8d,48.0
ATS8i,5022.498728929689
ATS8m,1932.79728
ATS8p,31.811678240187998
ATS8s,76.35390946502059
ATS8v,3779.607455223672
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,6
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.2
GGI10,0.0
JGI10,0.0
JGT10,0.6660772376139439
Kier1,16.055555555555557
Kier2,6.437869822485207
Kier3,4.266666666666667
MAXdO,12.005392101284958
MID_C,19.686518495949652
MID_N,2.139378525069023
MID_O,8.830768834064894
MID_X,1.7575473093193925
MID_h,14.960250721805519
MINdO,10.789045624422608
MPC10,4
MWC01,18.0
MWC02,4.48863636973214
MWC03,5.303304908059076
MWC04,6.192362489474872
MWC05,7.0431599159883405
MWC06,7.934155233536322
MWC07,8.798605650854423
MWC08,9.690603690159534
MWC09,10.561240688896971
MWC10,11.453865243840683
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.3553000000000002
SRW02,3.6109179126442243
SRW03,0.0
SRW04,4.948759890378168
SRW05,0.0
SRW06,6.47543271670409
SRW07,0.0
SRW08,8.094683648698815
SRW09,0.0
SRW10,9.766349664317493
SaaCH,5.106398966994204
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.13811229738809216
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.8445476575403807
SdssS,0
SsCH3,1.9620336076817557
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0.040249433106575916
SsssP,0
VE1_A,3.6531167181162605
VE1_D,4.172677850762444
VE2_A,0.2029509287842367
VE2_D,0.2318154361534691
VE3_A,1.883367363509585
VE3_D,2.016344665056248
VR1_A,96.73720427383243
VR1_D,84.86879495845017
VR2_A,5.374289126324024
VR2_D,4.714933053247232
VR3_A,5.159784732497848
VR3_D,5.028893140107872
WPath,590
Xc-3d,2.2031290584101324
Xc-4d,0.16666666666666666
Xc-5d,0.6827892578475433
Xc-6d,0.15137471507731048
Xp-0d,13.922285251880869
Xp-1d,8.246924691254266
Xp-2d,8.25822200266966
Xp-3d,5.553788226829742
Xp-4d,4.249739734280127
Xp-5d,3.1840635205925576
Xp-6d,1.559840518841024
Xp-7d,0.712249943562041
ZMIC0,61.7563693334115
ZMIC1,38.414523784563585
ZMIC2,30.102541920072145
ZMIC3,28.399280396902597
ZMIC4,28.399280396902597
ZMIC5,28.399280396902597
nAcid,0
nAtom,28
nBase,0
nRing,1
piPC1,3.258096538021482
piPC2,3.8607297110405954
piPC3,4.193435464866331
piPC4,4.628642542173234
piPC5,5.025934331385425
piPC6,5.051457288616511
piPC7,5.018520788370246
piPC8,4.7801733619743665
piPC9,4.721841492791785
AATS0Z,45.857142857142854
AATS0d,3.5
AATS0i,161.82520742792823
AATS0m,186.1922858571429
AATS0p,1.782983894588929
AATS0s,9.259892397173775
AATS0v,249.0008112509215
AATS1Z,41.285714285714285
AATS1d,4.071428571428571
AATS1i,145.09323757939288
AATS1m,161.77838553571436
AATS1p,2.018180824999999
AATS1s,3.4095752498530283
AATS1v,287.80934799852133
AATS2Z,35.56521739130435
AATS2d,3.5869565217391304
AATS2i,155.9303465898607
AATS2m,139.192050173913
AATS2p,1.6653640384585646
AATS2s,5.44971148684917
AATS2v,239.69655604391554
AATS3Z,35.15094339622642
AATS3d,3.2830188679245285
AATS3i,160.27470381335826
AATS3m,133.63464739622648
AATS3p,1.6140859989376988
AATS3s,5.59701840204985
AATS3v,229.75815823796373
AATS4Z,32.78846153846154
AATS4d,3.019230769230769
AATS4i,159.55317452697074
AATS4m,122.84588948076923
AATS4p,1.5401439313788072
AATS4s,6.736328743273186
AATS4v,227.68405496319704
AATS5Z,28.666666666666668
AATS5d,2.5925925925925926
AATS5i,160.18158051572013
AATS5m,107.30569405555558
AATS5p,1.3695560139203338
AATS5s,7.680401022879305
AATS5v,206.06887056596497
AATS6Z,21.865384615384617
AATS6d,2.0576923076923075
AATS6i,161.0472992776981
AATS6m,79.11205311538461
AATS6p,1.231816120884616
AATS6s,4.874525166191834
AATS6v,177.12687393458006
AATS7Z,14.804347826086957
AATS7d,1.7608695652173914
AATS7i,164.35931289991382
AATS7m,53.13433615217392
AATS7p,1.0742313716681522
AATS7s,3.023125782787618
AATS7v,135.95774056307272
AATS8Z,17.266666666666666
AATS8d,1.6
AATS8i,167.41662429765628
AATS8m,64.426576
AATS8p,1.0603892746729333
AATS8s,2.5451303155006864
AATS8v,125.9869151741224
AMID_C,1.093695471997203
AMID_N,0.11885436250383462
AMID_O,0.4905982685591608
AMID_X,0.09764151718441069
AMID_h,0.8311250401003066
ATS0dv,308.0493827160494
ATS0pe,198.47660000000002
ATS0se,240.36949000000004
ATS1dv,213.11111111111111
ATS1pe,192.87620000000007
ATS1se,230.76038600000007
ATS2dv,378.33333333333337
ATS2pe,322.2512
ATS2se,387.68160800000015
ATS3dv,405.0
ATS3pe,391.2021
ATS3se,472.17964199999983
ATS4dv,404.44444444444446
ATS4pe,383.1334
ATS4se,462.45253200000013
ATS5dv,355.51851851851853
ATS5pe,392.5276000000001
ATS5se,474.7345230000001
ATS6dv,161.22222222222223
ATS6pe,359.6227
ATS6se,440.456442
ATS7dv,93.77777777777777
ATS7pe,275.1064
ATS7se,349.2827239999999
ATS8dv,36.55555555555556
ATS8pe,177.18689999999998
ATS8se,227.21460599999997
ATSC0Z,480.42857142857144
ATSC0c,0.6404002762225094
ATSC0d,22.428571428571423
ATSC0i,41.88436748426141
ATSC0m,2174.4534038571433
ATSC0p,9.704453838315
ATSC0s,113.73811258899993
ATSC0v,1326.7829243433607
ATSC1Z,73.85714285714293
ATSC1c,-0.364747250225182
ATSC1d,5.571428571428574
ATSC1i,-8.17146239591434
ATSC1m,316.4198532142859
ATSC1p,-1.5485527949999964
ATSC1s,-18.082191235547732
ATSC1v,-62.452961776172
ATSC2Z,181.15306122448987
ATSC2c,0.017888570766200186
ATSC2d,0.010204081632654294
ATSC2i,-3.4174566676933695
ATSC2m,833.5004785204081
ATSC2p,1.3486137529265023
ATSC2s,35.359942500948705
ATSC2v,275.4896568699791
ATSC3Z,-189.1683673469387
ATSC3c,0.19590193524028082
ATSC3d,-3.311224489795916
ATSC3i,6.442787470028509
ATSC3m,-842.310973658163
ATSC3p,1.2084848230392502
ATSC3s,-25.1650423765471
ATSC3v,-56.54987301480411
ATSC4Z,-333.01020408163265
ATSC4c,-0.2223276861816742
ATSC4d,-13.153061224489797
ATSC4i,-3.8983332700625164
ATSC4m,-1474.5464784489798
ATSC4p,-3.749262577949499
ATSC4s,8.514347642920917
ATSC4v,-252.51166542374102
ATSC5Z,-116.5408163265306
ATSC5c,0.07909630977181255
ATSC5d,-9.969387755102044
ATSC5i,-4.51076145436118
ATSC5m,-537.4976005102037
ATSC5p,-0.45450346552450077
ATSC5s,9.238551197513765
ATSC5v,-342.552180065029
ATSC6Z,-151.01020408163265
ATSC6c,-0.03812101024118159
ATSC6d,2.5612244897959178
ATSC6i,-5.031254526490494
ATSC6m,-723.6103784489793
ATSC6p,-2.145135618822502
ATSC6s,-90.74818991668455
ATSC6v,-904.7670527726726
ATSC7Z,233.29591836734684
ATSC7c,0.015015123196585958
ATSC7d,3.081632653061223
ATSC7i,-3.191249049708033
ATSC7m,1064.7073105204079
ATSC7p,0.9733504691124972
ATSC7s,2.3081490297879528
ATSC7v,336.98717521057586
ATSC8Z,221.82653061224482
ATSC8c,-0.02132787839027422
ATSC8d,0.826530612244897
ATSC8i,-2.0670644662106437
ATSC8m,1023.5189860102037
ATSC8p,1.628218625227998
ATSC8s,6.496636913510256
ATSC8v,431.843408937389
AXp-0d,0.7734602917711594
AXp-1d,0.45816248284745925
AXp-2d,0.3176239231796023
AXp-3d,0.18512627422765807
AXp-4d,0.12142113526514649
AXp-5d,0.08379114527875152
AXp-6d,0.051994683961367465
AXp-7d,0.029677080981751706
GATS1Z,0.6964763603925066
GATS1c,1.6168493728483968
GATS1d,1.0748407643312106
GATS1i,1.4421471574680238
GATS1m,0.6783838771559545
GATS1p,1.3192939493383145
GATS1s,0.7084661603331213
GATS1v,0.9685941132053628
GATS2Z,0.6023154791917155
GATS2c,1.0182354495625878
GATS2d,1.177651620049848
GATS2i,1.1451870020363577
GATS2m,0.5907240816712501
GATS2p,0.8864449530292416
GATS2s,0.5863054443992656
GATS2v,0.7921398392878476
GATS3Z,1.3005487014626427
GATS3c,1.0770046825302415
GATS3d,1.2378920802788131
GATS3i,1.0051822191695838
GATS3m,1.2776194597921868
GATS3p,1.0865713376019064
GATS3s,1.1748069849189031
GATS3v,0.8918213116482093
GATS4Z,1.4584934467851505
GATS4c,1.4861938722034933
GATS4d,1.5626531112199906
GATS4i,1.1673657110492417
GATS4m,1.4233925918729036
GATS4p,1.4108965327116338
GATS4s,1.1888396312639047
GATS4v,0.9703012036580919
GATS5Z,0.8617305976806423
GATS5c,1.1958581656870984
GATS5d,1.2707006369426754
GATS5i,1.0267565218254202
GATS5m,0.8564838492038593
GATS5p,0.921174443393012
GATS5s,1.3678422714810192
GATS5v,0.970911637363481
GATS6Z,0.8597491937144033
GATS6c,0.9497101861075171
GATS6d,0.5903356197942187
GATS6i,0.9043823981860603
GATS6m,0.8875792804719862
GATS6p,0.8068110569749254
GATS6s,1.601372959276946
GATS6v,1.2526573473861935
GATS7Z,0.5253461583213745
GATS7c,0.5057934101790819
GATS7d,0.4841456660204931
GATS7i,0.8297599929277739
GATS7m,0.5470931317720946
GATS7p,0.6837027183537686
GATS7s,0.6300793736200555
GATS7v,1.0070622818623318
GATS8Z,0.6556645851917929
GATS8c,0.3843634554858699
GATS8d,0.6019108280254779
GATS8i,0.7730081163218635
GATS8m,0.6775920601409212
GATS8p,0.6621579901999292
GATS8s,0.5633655265476936
GATS8v,0.9308859025854811
MATS1Z,0.15373178709485594
MATS1c,-0.5695613568074872
MATS1d,0.24840764331210208
MATS1i,-0.19509575736066379
MATS1m,0.1455169619422546
MATS1p,-0.15957134948553417
MATS1s,-0.15898093281087675
MATS1v,-0.04707097192035438
MATS2Z,0.229518157959379
MATS2c,0.017002952143025156
MATS2d,0.00027693159789535335
MATS2i,-0.04966509320928295
MATS2m,0.23332213808780247
MATS2p,0.08458954430050018
MATS2s,0.18923685976066265
MATS2v,0.12638793677468432
MATS3Z,-0.20801844714119797
MATS3c,0.161610426878975
MATS3d,-0.07799543324119694
MATS3i,0.08126508721655717
MATS3m,-0.20464659112043712
MATS3p,0.06578884528781823
MATS3s,-0.11688904507131458
MATS3v,-0.022517175992734676
MATS4Z,-0.3732358928612273
MATS4c,-0.1869376269637695
MATS4d,-0.31577658010779036
MATS4i,-0.05011661047101708
MATS4m,-0.3651430579796616
MATS4p,-0.2080316656098901
MATS4s,0.0403088166881272
MATS4v,-0.10247932600643381
MATS5Z,-0.12578055307760927
MATS5c,0.06404260411173211
MATS5d,-0.23047888652984208
MATS5i,-0.055842155133049916
MATS5m,-0.12817127238938963
MATS5p,-0.0242845674297335
MATS5s,0.04211745536434739
MATS5v,-0.13387242604928273
MATS6Z,-0.16925135524600288
MATS6c,-0.032052918439158556
MATS6d,0.061489465948064675
MATS6i,-0.06468134092614969
MATS6m,-0.17918818445831902
MATS6p,-0.11902504198220452
MATS6s,-0.42962212791162235
MATS6v,-0.3671906309966998
MATS7Z,0.295582360470077
MATS7c,0.014271761812048218
MATS7d,0.08363334256438656
MATS7i,-0.04637767115120768
MATS7m,0.29804396341717615
MATS7p,0.06105178183763589
MATS7s,0.012352590059923696
MATS7v,0.15460149857638814
MATS8Z,0.43094459312122096
MATS8c,-0.031083715248127388
MATS8d,0.03439490445859869
MATS8i,-0.046061580593003144
MATS8m,0.43932161767565603
MATS8p,0.15659518219145113
MATS8s,0.053311310060629
MATS8v,0.30378281250569966
MAXsCl,5.62747073675149
MAXssO,4.385134873393802
MINsCl,5.62747073675149
MINssO,4.385134873393802
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,-4.230054012345677
SdssSe,0
SdsssP,0
SpAD_A,20.768585369568605
SpAD_D,136.07216772368832
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,257
TMWC10,107.46593419054237
TSRW10,50.8961438327428
VE1_Dt,4.17187862512272
VE2_Dt,0.23177103472904
VE3_Dt,2.016153108885593
VR1_Dt,84.38070443363256
VR2_Dt,4.687816912979587
VR3_Dt,5.0231254199118
Xc-3dv,1.0964861701458681
Xc-4dv,0.04564354645876384
Xc-5dv,0.2184772828520075
Xc-6dv,0.02453146539250374
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.08333333333333333
Xch-7d,0.125
Xp-0dv,11.15649441499705
Xp-1dv,6.56696232704155
Xp-2dv,5.477601393413251
Xp-3dv,3.6864940746886607
Xp-4dv,2.440705289340513
Xp-5dv,1.633868515595561
Xp-6dv,0.9120932780420334
Xp-7dv,0.36325976539051197
Xpc-4d,3.9085353486395094
Xpc-5d,5.823469784952391
Xpc-6d,8.876525213546815
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,28
nFRing,0
nHBAcc,5
nHBDon,0
nHRing,0
nSpiro,0
naRing,1
piPC10,3.840795496139778
AATS0dv,11.001763668430337
AATS0pe,7.088450000000001
AATS0se,8.584624642857145
AATS1dv,7.611111111111112
AATS1pe,6.888435714285717
AATS1se,8.24144235714286
AATS2dv,8.224637681159422
AATS2pe,7.005460869565217
AATS2se,8.427861043478265
AATS3dv,7.6415094339622645
AATS3pe,7.381171698113207
AATS3se,8.9090498490566
AATS4dv,7.777777777777778
AATS4pe,7.3679499999999996
AATS4se,8.893317923076925
AATS5dv,6.5836762688614545
AATS5pe,7.269029629629632
AATS5se,8.791380055555557
AATS6dv,3.1004273504273505
AATS6pe,6.915821153846154
AATS6se,8.470316192307692
AATS7dv,2.038647342995169
AATS7pe,5.980573913043479
AATS7se,7.593102695652172
AATS8dv,1.2185185185185186
AATS8pe,5.906229999999999
AATS8se,7.573820199999999
AATSC0Z,17.158163265306122
AATSC0c,0.022871438436518194
AATSC0d,0.8010204081632651
AATSC0i,1.4958702672950503
AATSC0m,77.65905013775512
AATSC0p,0.3465876370826786
AATSC0s,4.06207544960714
AATSC0v,47.38510444083431
AATSC1Z,2.637755102040819
AATSC1c,-0.013026687508042215
AATSC1d,0.19897959183673478
AATSC1i,-0.29183794271122643
AATSC1m,11.300709043367354
AATSC1p,-0.055305456964285585
AATSC1s,-0.6457925441267047
AATSC1v,-2.2304629205775717
AATSC2Z,3.938110026619345
AATSC2c,0.0003888819731782649
AATSC2d,0.00022182786157944116
AATSC2i,-0.07429253625420369
AATSC2m,18.119575620008874
AATSC2p,0.02931769028101092
AATSC2s,0.7686944021945371
AATSC2v,5.988905584129981
AATSC3Z,-3.5692144782441266
AATSC3c,0.003696262929061902
AATSC3d,-0.06247593376973427
AATSC3i,0.12156202773638695
AATSC3m,-15.892659880342698
AATSC3p,0.022801600434702834
AATSC3s,-0.47481212031220943
AATSC3v,-1.0669787361283796
AATSC4Z,-6.404042386185243
AATSC4c,-0.0042755324265706576
AATSC4d,-0.25294348508634223
AATSC4i,-0.07496794750120224
AATSC4m,-28.356663047095765
AATSC4p,-0.07210120342210574
AATSC4s,0.1637374546715561
AATSC4v,-4.855993565841174
AATSC5Z,-2.1581632653061225
AATSC5c,0.001464746477255788
AATSC5d,-0.18461829176114897
