DLiP-ID,T006RL
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.067100000000001
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.220355825078324
SRW05,0.0
SRW06,6.650279048587422
SRW07,0.0
SRW08,8.166500319155052
SRW09,0.0
SRW10,9.730502276719161
SaaCH,14.372734152902941
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.4224957914626932
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.9494996977534562
SdssS,0
SsCH3,0
SsNH2,5.407741635848806
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.834424996850592
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.3004605665666364
VE1_D,4.914323745747879
VE2_A,0.17201842266266545
VE2_D,0.19657294982991516
VE3_A,2.3750128573418343
VE3_D,2.508444886128573
VR1_A,257.35009370732257
VR1_D,141.11674013688008
VR2_A,10.294003748292903
VR2_D,5.644669605475204
VR3_A,6.466728122096896
VR3_D,5.865878223928754
WPath,1670
Xc-3d,1.4385050488558722
Xc-4d,0.0
Xc-5d,0.08333333333333333
Xc-6d,0.0
Xp-0d,18.07070333293597
Xp-1d,12.07971869811898
Xp-2d,10.405180351502956
Xp-3d,7.404323909467057
Xp-4d,6.190280860116739
Xp-5d,4.881186304347288
Xp-6d,3.0359547571658645
Xp-7d,2.1111541964416287
ZMIC0,81.5312390589987
ZMIC1,40.45987984441833
ZMIC2,25.598893380774072
ZMIC3,23.58070415676962
ZMIC4,23.58070415676962
ZMIC5,23.58070415676962
nAcid,1
nAtom,46
nBase,1
nRing,2
piPC1,3.5553480614894135
piPC2,4.02535169073515
piPC3,4.406719247264253
piPC4,4.907124917726591
piPC5,5.377590547442544
piPC6,5.372380694848093
piPC7,5.637464593618552
piPC8,5.953730228722462
piPC9,6.15419439186157
AATS0Z,27.47826086956522
AATS0d,3.0217391304347827
AATS0i,162.23854250362675
AATS0m,108.7484189565218
AATS0p,1.5979713696049778
AATS0s,5.289929623665533
AATS0v,222.86858591004867
AATS1Z,26.659574468085108
AATS1d,3.617021276595745
AATS1i,147.2667220016031
AATS1m,101.28421838297879
AATS1p,1.8973799607659583
AATS1s,3.3439716312056738
AATS1v,267.83874416257896
AATS2Z,23.166666666666668
AATS2d,3.282051282051282
AATS2i,151.14878177085734
AATS2m,86.16220955128206
AATS2p,1.6949016445416027
AATS2s,3.328545425767649
AATS2v,225.2515176818738
AATS3Z,18.66346153846154
AATS3d,2.769230769230769
AATS3i,158.17692771388468
AATS3m,66.87586783653846
AATS3p,1.462788383896942
AATS3s,2.725457027540361
AATS3v,184.9558865893872
AATS4Z,20.362745098039216
AATS4d,2.7450980392156863
AATS4i,158.70953494063895
AATS4m,74.57680963725488
AATS4p,1.4173080713791963
AATS4s,2.7244008714596952
AATS4v,183.55745054879554
AATS5Z,18.97979797979798
AATS5d,2.797979797979798
AATS5i,156.95270726924903
AATS5m,68.79829467676768
AATS5p,1.4418391733983131
AATS5s,3.408217982292056
AATS5v,192.6323373262944
AATS6Z,18.53921568627451
AATS6d,2.6372549019607843
AATS6i,157.91283525513543
AATS6m,67.08433615686275
AATS6p,1.3591103439679904
AATS6s,3.623275236020334
AATS6v,185.26557804175528
AATS7Z,15.554455445544555
AATS7d,2.4455445544554455
AATS7i,160.59785181593557
AATS7m,54.69243159405939
AATS7p,1.256749534544356
AATS7s,3.167125045837917
AATS7v,165.86498181938256
AATS8Z,14.920454545454545
AATS8d,2.3295454545454546
AATS8i,162.8217144176857
AATS8m,51.96171210227271
AATS8p,1.205023373546943
AATS8s,3.17192760942761
AATS8v,155.21324291849064
AMID_C,1.4811630188301277
AMID_N,0.2295195370753803
AMID_O,0.20670949568682487
AMID_X,0.0
AMID_h,0.5191951357872425
ATS0dv,324.44444444444446
ATS0pe,288.5669999999999
ATS0se,356.2209369999999
ATS1dv,290.66666666666663
ATS1pe,305.276
ATS1se,366.15082799999976
ATS2dv,353.0
ATS2pe,491.4582
ATS2se,599.4469399999997
ATS3dv,325.33333333333337
ATS3pe,638.5715000000002
ATS3se,795.97719
ATS4dv,335.33333333333337
ATS4pe,624.2338
ATS4se,779.2388239999999
ATS5dv,425.66666666666663
ATS5pe,615.7752
ATS5se,761.6563840000002
ATS6dv,417.33333333333337
ATS6pe,641.5923999999999
ATS6se,791.764632
ATS7dv,341.3333333333333
ATS7pe,620.1375
ATS7se,772.757318
ATS8dv,276.3333333333333
ATS8pe,538.7988
ATS8se,673.134006
ATSC0Z,479.21739130434776
ATSC0c,1.0336008201881317
ATSC0d,23.152173913043477
ATSC0i,72.32841513377306
ATSC0m,2193.7318560000003
ATSC0p,13.20261759238533
ATSC0s,94.24342458400426
ATSC0v,2350.8810514539246
ATSC1Z,10.277882797731618
ATSC1c,-0.6425219675039806
ATSC1d,4.30103969754253
ATSC1i,5.252630040412374
ATSC1m,50.61823000000012
ATSC1p,1.5556505384661703
ATSC1s,-7.58889355644239
ATSC1v,166.9010437734558
ATSC2Z,2.7183364839319957
ATSC2c,0.3141320668481424
ATSC2d,-1.4319470699432881
ATSC2i,-4.721932470126109
ATSC2m,-0.9738969999997558
ATSC2p,-0.2981875068602884
ATSC2s,23.216135602801568
ATSC2v,-348.4034210557768
ATSC3Z,-105.3610586011342
ATSC3c,-0.32733431366425003
ATSC3d,4.003780718336488
ATSC3i,9.34914433776341
ATSC3m,-465.1388429999999
ATSC3p,1.8658493054022651
ATSC3s,-30.588357436061006
ATSC3v,14.220772402652088
ATSC4Z,124.56143667296789
ATSC4c,0.11087659351650546
ATSC4d,0.4886578449905492
ATSC4i,-2.8466447974090623
ATSC4m,557.0437829999998
ATSC4p,-0.5174227786086126
ATSC4s,-19.52518534077031
ATSC4v,356.71066694004827
ATSC5Z,-66.7939508506616
ATSC5c,0.041078087099729696
ATSC5d,-3.718809073724006
ATSC5i,6.831558299550087
ATSC5m,-279.728429
ATSC5p,-1.3801170257240696
ATSC5s,10.672520556683548
ATSC5v,15.640961623899386
ATSC6Z,-20.134215500945167
ATSC6c,0.10436648728882873
ATSC6d,-4.16351606805293
ATSC6i,-11.803048096802234
ATSC6m,-110.8106359999999
ATSC6p,-2.5351073097117878
ATSC6s,-8.454421340054605
ATSC6v,-408.5270329348506
ATSC7Z,-80.45557655954633
ATSC7c,-0.237261510716667
ATSC7d,-4.877599243856333
ATSC7i,-21.947163673257517
ATSC7m,-365.1636490000001
ATSC7p,-2.5618592074175206
ATSC7s,-14.881705394395306
ATSC7v,-384.6488311433742
ATSC8Z,-60.459357277882816
ATSC8c,0.3791569942964388
ATSC8d,-3.4432892249527405
ATSC8i,-6.470809496917433
ATSC8m,-279.95710299999996
ATSC8p,-2.297341590052081
ATSC8s,-3.8499783477379217
ATSC8v,-437.2882529962739
AXp-0d,0.7228281333174388
AXp-1d,0.46460456531226846
AXp-2d,0.3153084955000896
AXp-3d,0.1948506291965015
AXp-4d,0.1289641845857654
AXp-5d,0.08563484744468927
AXp-6d,0.05519917740301572
AXp-7d,0.036399210283476355
GATS1Z,0.7981763745236801
GATS1c,1.5780187888495931
GATS1d,0.971830985915493
GATS1i,1.1083162475244683
GATS1m,0.7989878523248867
GATS1p,0.8920282835241089
GATS1s,0.7265655764141477
GATS1v,0.9100572587727722
GATS2Z,1.0010311544742685
GATS2c,0.6322922264124182
GATS2d,1.2459371614301193
GATS2i,1.1581627533475622
GATS2m,0.9942050958192191
GATS2p,1.1211241095875906
GATS2s,0.49819041979821826
GATS2v,1.0980813925928654
GATS3Z,1.327735699928814
GATS3c,0.9655730079472358
GATS3d,0.9905200433369448
GATS3i,0.9871383909489733
GATS3m,1.299045109289696
GATS3p,1.1333180746985987
GATS3s,1.0429013197916392
GATS3v,1.015332402553979
GATS4Z,1.1332815652118224
GATS4c,0.8387081784198388
GATS4d,1.1052195526097763
GATS4i,1.0563425848674675
GATS4m,1.1097840793210578
GATS4p,1.2186114843860014
GATS4s,0.950819904525739
GATS4v,0.9550828727315244
GATS5Z,1.1201976212863531
GATS5c,0.899516180383398
GATS5d,1.17797695262484
GATS5i,0.9781425568933373
GATS5m,1.104802664322609
GATS5p,1.1240099049745609
GATS5s,0.9257647556093243
GATS5v,0.9950573425053207
GATS6Z,0.8911588587530822
GATS6c,0.9593184897513671
GATS6d,1.067108533554267
GATS6i,1.0483454427426224
GATS6m,0.9025758895318375
GATS6p,1.0044770953725723
GATS6s,1.1688830404282258
GATS6v,1.0366318308232931
GATS7Z,0.9683176401472484
GATS7c,1.1152016237146496
GATS7d,1.029563519732255
GATS7i,1.0882053901008264
GATS7m,0.9758078017804056
GATS7p,1.0014741691609235
GATS7s,1.0363302143212154
GATS7v,1.0430351180470392
GATS8Z,0.998787548869204
GATS8c,0.8802561800766047
GATS8d,0.982874519846351
GATS8i,1.0049751341849356
GATS8m,1.0051056675424832
GATS8p,1.0115406377269198
GATS8s,0.9652256647036852
GATS8v,1.0618655953084764
MATS1Z,0.02099090021118315
MATS1c,-0.6084082704480251
MATS1d,0.18181999800219747
MATS1i,0.07107679526694996
MATS1m,0.022583091113656525
MATS1p,0.11532194886242628
MATS1s,-0.07881109763230308
MATS1v,0.06948456947011308
MATS2Z,0.003345290770440531
MATS2c,0.1792349320338939
MATS2d,-0.03647526182737448
MATS2i,-0.03850118104079243
MATS2m,-0.0002618139091382045
MATS2p,-0.01331964434188433
MATS2s,0.14527875245201982
MATS2v,-0.08740071475981616
MATS3Z,-0.09724606730594754
MATS3c,-0.14007582236980426
MATS3d,0.07648970747562306
MATS3i,0.05717252962669675
MATS3m,-0.09378287856252926
MATS3p,0.06250877863359233
MATS3s,-0.14355872410989734
MATS3v,0.0026755743428021925
MATS4Z,0.11722188421730516
MATS4c,0.04837764120193841
MATS4d,0.009518549203719065
MATS4i,-0.017749331085057645
MATS4m,0.11451528272190174
MATS4p,-0.017674338135976155
MATS4s,-0.09343331676224506
MATS4v,0.06842945812322905
MATS5Z,-0.06476303591164775
MATS5c,0.018466304953061913
MATS5d,-0.07463366054915348
MATS5i,0.0438867546875083
MATS5m,-0.05924827377624569
MATS5p,-0.04857116343132866
MATS5s,0.05261851389016058
MATS5v,0.003091401633324328
MATS6Z,-0.018947844062320984
MATS6c,0.0455371536537512
MATS6d,-0.08110098499493694
MATS6i,-0.07359408124037113
MATS6m,-0.022780096820744403
MATS6p,-0.08659522861231286
MATS6s,-0.04045670314111559
MATS6v,-0.0783696314220981
MATS7Z,-0.076464532680813
MATS7c,-0.10454683843081375
MATS7d,-0.09595128526937202
MATS7i,-0.1381993216926596
MATS7m,-0.07581243647231654
MATS7p,-0.08837545688417638
MATS7s,-0.071918082849461
MATS7v,-0.07451954927876213
MATS8Z,-0.06594868115009653
MATS8c,0.19175265508010414
MATS8d,-0.07774221084080238
MATS8i,-0.04676541846527996
MATS8m,-0.06670879694415038
MATS8p,-0.09095795553326298
MATS8s,-0.02135415484587209
MATS8v,-0.09723269313989616
MAXaaN,4.066465243995839
MAXsOH,9.178245110122608
MAXssS,1.437119289073654
MINaaN,4.066465243995839
MINsOH,9.178245110122608
MINssS,1.437119289073654
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,31.370354040438844
SpAD_D,277.9662001983161
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.4879951545750676
SssNH2,0
SsssAs,0
SsssCH,-0.2551928832317547
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,517
TMWC10,123.53723490553595
TSRW10,58.73792938309208
VE1_Dt,4.93102656802425
VE2_Dt,0.19724106272097
VE3_Dt,2.511837927060309
VR1_Dt,139.387803910503
VR2_Dt,5.57551215642012
VR3_Dt,5.853550736491502
Xc-3dv,0.770401029515696
Xc-4dv,0.0
Xc-5dv,0.08333333333333333
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.1853954059492991
Xch-7d,0.17677669529663687
Xp-0dv,14.537598459961684
Xp-1dv,8.845394722201807
Xp-2dv,6.7350933130172645
Xp-3dv,4.6697622290315355
Xp-4dv,3.432214767803367
Xp-5dv,2.3029036653285857
Xp-6dv,1.393038520144601
Xp-7dv,0.8548370873235354
Xpc-4d,2.2661295985963807
Xpc-5d,3.702409841277505
Xpc-6d,5.227749843020976
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,47
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,1
nSpiro,0
naRing,2
piPC10,6.306845379888602
AATS0dv,7.053140096618358
AATS0pe,6.273195652173911
AATS0se,7.743933413043476
AATS1dv,6.1843971631205665
AATS1pe,6.495234042553192
AATS1se,7.790443148936165
AATS2dv,4.5256410256410255
AATS2pe,6.300746153846154
AATS2se,7.685217179487176
AATS3dv,3.1282051282051286
AATS3pe,6.140110576923079
AATS3se,7.653626826923077
AATS4dv,3.2875816993464055
AATS4pe,6.119939215686275
AATS4se,7.639596313725489
AATS5dv,4.299663299663299
AATS5pe,6.219951515151515
AATS5se,7.693498828282831
AATS6dv,4.091503267973857
AATS6pe,6.29012156862745
AATS6se,7.762398352941177
AATS7dv,3.379537953795379
AATS7pe,6.139975247524753
AATS7se,7.6510625544554465
AATS8dv,3.140151515151515
AATS8pe,6.1227136363636365
AATS8se,7.649250068181818
AATSC0Z,10.417769376181473
AATSC0c,0.02246958304756808
AATSC0d,0.5033081285444234
AATSC0i,1.572356850734197
AATSC0m,47.689822956521745
AATSC0p,0.2870134259214202
AATSC0s,2.0487700996522666
AATSC0v,51.10610981421575
AATSC1Z,0.21867835739854505
AATSC1c,-0.013670680159659162
AATSC1d,0.09151148292643681
AATSC1i,0.11175808596622072
AATSC1m,1.0769836170212792
AATSC1p,0.033098947626939795
AATSC1s,-0.16146582034983809
AATSC1v,3.551086037733102
AATSC2Z,0.03485046774271789
AATSC2c,0.0040273341903608
AATSC2d,-0.018358295768503695
AATSC2i,-0.06053759577084756
AATSC2m,-0.012485858974355843
AATSC2p,-0.003822916754619082
AATSC2s,0.2976427641384816
AATSC2v,-4.466710526356112
AATSC3Z,-1.0130871019339827
AATSC3c,-0.0031474453236947117
AATSC3d,0.03849789152246623
AATSC3i,0.08989561863234047
AATSC3m,-4.472488874999999
AATSC3p,0.01794085870579101
AATSC3s,-0.2941188215005866
AATSC3v,0.136738196179347
AATSC4Z,1.2211905556173321
AATSC4c,0.0010870254266324064
AATSC4d,0.004790763186181855
AATSC4i,-0.027908282327539825
AATSC4m,5.461213558823528
AATSC4p,-0.005072772339300124
AATSC4s,-0.19142338569382658
AATSC4v,3.4971634013730224
