DLiP-ID,I001CU
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,103.15392011313278
TIC1,227.6222335847931
TIC2,309.8638895143241
TIC3,369.6124954761785
TIC4,393.1222704805055
TIC5,393.1222704805055
Vabc,468.2478021404541
WPol,59
apol,77.57054799999997
bpol,42.13945200000003
nRot,7
ABCGG,21.506093595414715
ATS0Z,1432.0
ATS0d,216.0
ATS0i,11608.591552040465
ATS0m,5628.6618910000025
ATS0p,100.86487657456397
ATS0s,290.02777777777777
ATS0v,14599.917072274528
ATS1Z,1677.0
ATS1d,283.0
ATS1i,10875.575645399605
ATS1m,6283.3928780000015
ATS1p,132.00979913
ATS1s,207.27777777777777
ATS1v,18855.928246827505
ATS2Z,2492.0
ATS2d,461.0
ATS2i,20812.441652174097
ATS2m,9084.488700000005
ATS2p,203.93574478818806
ATS2s,353.27777777777777
ATS2v,28042.89618121601
ATS3Z,3002.0
ATS3d,576.0
ATS3i,31530.175016306457
ATS3m,10710.151363
ATS3p,252.28877309880892
ATS3s,512.2777777777777
ATS3v,33833.38921186877
ATS4Z,3214.0
ATS4d,596.0
ATS4i,35022.94081498435
ATS4m,11320.489625
ATS4p,264.64041722650694
ATS4s,613.5555555555557
ATS4v,35839.97444343529
ATS5Z,3287.0
ATS5d,600.0
ATS5i,36733.84753787469
ATS5m,11578.558254
ATS5p,270.67677150329894
ATS5s,721.2777777777779
ATS5v,36448.342637283706
ATS6Z,3184.0
ATS6d,591.0
ATS6i,36030.96964300229
ATS6m,11159.581552
ATS6p,273.35635473075195
ATS6s,634.1111111111111
ATS6v,36386.322768972546
ATS7Z,3075.0
ATS7d,571.0
ATS7i,36597.62946168368
ATS7m,10696.540265999998
ATS7p,269.3495493049969
ATS7s,626.5
ATS7v,35801.81909241168
ATS8Z,2846.0
ATS8d,547.0
ATS8i,35261.7186845587
ATS8m,9740.659883999997
ATS8p,267.50145878105394
ATS8s,595.8055555555555
ATS8v,34593.99594284088
C1SP1,0
C1SP2,3
C1SP3,1
C2SP1,0
C2SP2,10
C2SP3,11
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.4642857142857143
GGI10,0.15671870217324763
JGI10,0.004609373593330812
JGT10,0.3708049707645922
Kier1,28.019390581717452
Kier2,13.693047337278106
Kier3,7.1053061224489795
MAXdO,13.68207882807495
MID_C,57.85009792664372
MID_N,8.183966836758533
MID_O,5.350026078089935
MID_X,0.0
MID_h,13.533992914848469
MINdO,12.529191862442051
MPC10,186
MWC01,38.0
MWC02,5.198497031265826
MWC03,6.052089168924417
MWC04,6.926577033222725
MWC05,7.801800401908973
MWC06,8.685584842676693
MWC07,9.570180302058072
MWC08,10.459353461311817
MWC09,11.349241150793087
MWC10,12.241985007504407
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.9185000000000008
SRW02,4.343805421853684
SRW03,0.0
SRW04,5.652489180268651
SRW05,2.3978952727983707
SRW06,7.152268856032539
SRW07,4.727387818712341
SRW08,8.739536422559677
SRW09,6.842683282238422
SRW10,10.376829353880446
SaaCH,19.781826127775318
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.9847832681634299
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.48225417512987545
SdssS,0
SsCH3,3.488002242148235
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,9.083350134326173
SssPH,0
SssSe,0
SsssB,0
SsssN,1.7743329554043838
SsssP,0
VE1_A,4.590158750030186
VE1_D,5.8258808600925125
VE2_A,0.1311473928580053
VE2_D,0.16645373885978607
VE3_A,2.776677578032959
VE3_D,3.0150731771311876
VR1_A,498.2450089463982
VR1_D,242.27584062506384
VR2_A,14.235571684182805
VR2_D,6.922166875001824
VR3_A,7.463854910370811
VR3_D,6.742839882824393
WPath,3702
Xc-3d,1.9495001756701094
Xc-4d,0.0
Xc-5d,0.6602660265126616
Xc-6d,0.0
Xp-0d,24.785881803630282
Xp-1d,16.99040230064194
Xp-2d,14.753827533509089
Xp-3d,12.835431384727013
Xp-4d,10.294350924297063
Xp-5d,8.274580964520545
Xp-6d,5.592153080766345
Xp-7d,4.205061476730468
ZMIC0,117.99857086953273
ZMIC1,70.05549690223506
ZMIC2,45.712740415197814
ZMIC3,31.24231405450778
ZMIC4,28.305339890812874
ZMIC5,28.305339890812874
nAcid,0
nAtom,71
nBase,1
nRing,4
piPC1,3.871201010907891
piPC2,4.330733340286331
piPC3,4.774912960575186
piPC4,5.1943447761650585
piPC5,5.628969125577532
piPC6,5.6280706529205045
piPC7,5.948034989180646
piPC8,6.2517834520222495
piPC9,6.463809184055691
AATS0Z,20.169014084507044
AATS0d,3.0422535211267605
AATS0i,163.50128946535867
AATS0m,79.27692804225356
AATS0p,1.4206320644304784
AATS0s,4.08489827856025
AATS0v,205.632634820768
AATS1Z,22.66216216216216
AATS1d,3.824324324324324
AATS1i,146.96723845134602
AATS1m,84.91071456756758
AATS1p,1.7839162044594594
AATS1s,2.801051051051051
AATS1v,254.80984117334467
AATS2Z,18.45925925925926
AATS2d,3.414814814814815
AATS2i,154.16623446054888
AATS2m,67.29250888888893
AATS2p,1.5106351465791708
AATS2s,2.616872427983539
AATS2v,207.72515689789637
AATS3Z,15.316326530612244
AATS3d,2.938775510204082
AATS3i,160.86823987911458
AATS3m,54.643629403061226
AATS3p,1.287187617851066
AATS3s,2.613662131519274
AATS3v,172.6193327136162
AATS4Z,14.87962962962963
AATS4d,2.759259259259259
AATS4i,162.14324451381643
AATS4m,52.409674189814815
AATS4p,1.225187116789384
AATS4s,2.8405349794238686
AATS4v,165.9258076084967
AATS5Z,14.608888888888888
AATS5d,2.6666666666666665
AATS5i,163.2615446127764
AATS5m,51.46025890666667
AATS5p,1.2030078733479952
AATS5s,3.2056790123456795
AATS5v,161.99263394348313
AATS6Z,14.278026905829597
AATS6d,2.6502242152466366
AATS6i,161.57385490135556
AATS6m,50.04296660089686
AATS6p,1.2258132499136858
AATS6s,2.843547583457897
AATS6v,163.16736667700692
AATS7Z,13.666666666666666
AATS7d,2.537777777777778
AATS7i,162.65613094081635
AATS7m,47.54017895999999
AATS7p,1.1971091080222085
AATS7s,2.7844444444444445
AATS7v,159.11919596627413
AATS8Z,12.995433789954339
AATS8d,2.497716894977169
AATS8i,161.01241408474291
AATS8m,44.47789901369862
AATS8p,1.2214678483153147
AATS8s,2.7205733130390666
AATS8v,157.96345179379395
AMID_C,1.6528599407612492
AMID_N,0.23382762390738665
AMID_O,0.1528578879454267
AMID_X,0.0
AMID_h,0.3866855118528134
ATS0dv,422.0
ATS0pe,428.7771999999998
ATS0se,533.8608439999999
ATS1dv,417.0
ATS1pe,470.343
ATS1se,564.8099839999999
ATS2dv,585.0
ATS2pe,838.0613000000001
ATS2se,1023.2338879999998
ATS3dv,663.0
ATS3pe,1192.7441000000003
ATS3se,1480.5647319999998
ATS4dv,698.0
ATS4pe,1329.5439999999996
ATS4se,1652.059556
ATS5dv,737.0
ATS5pe,1384.2884000000006
ATS5se,1724.2030399999999
ATS6dv,664.0
ATS6pe,1356.5149
ATS6se,1691.1495759999996
ATS7dv,597.0
ATS7pe,1364.4059999999997
ATS7se,1706.741008
ATS8dv,521.0
ATS8pe,1312.0051999999996
ATS8se,1642.722912
ATSC0Z,508.95774647887333
ATSC0c,1.063312072023614
ATSC0d,39.32394366197183
ATSC0i,103.01646825006384
ATSC0m,2429.118543943663
ATSC0p,16.115722813714648
ATSC0s,105.37636932707355
ATSC0v,3606.8970607174624
ATSC1Z,21.353898036103928
ATSC1c,-0.6540226806277976
ATSC1d,14.4088474509026
ATSC1i,-9.046401210425282
ATSC1m,102.92025724181812
ATSC1p,0.08264973341617278
ATSC1s,-2.09375895435209
ATSC1v,98.59234527541486
ATSC2Z,-11.173179924618163
ATSC2c,-0.04527464358246143
ATSC2d,-1.2638365403689646
ATSC2i,-21.131734605882663
ATSC2m,-67.07623245625737
ATSC2p,-2.788716252022102
ATSC2s,7.6994699023562365
ATSC2v,-532.5778486625219
ATSC3Z,55.130728030152746
ATSC3c,0.7095141830033815
ATSC3d,-2.6407458837532167
ATSC3i,19.923509280073375
ATSC3m,253.17039332453956
ATSC3p,0.271087266838311
ATSC3s,2.270867773149063
ATSC3v,110.84679325097272
ATSC4Z,-71.3925808371355
ATSC4c,-0.8099471216953159
ATSC4d,-5.43622297163261
ATSC4i,-18.80721545322694
ATSC4m,-331.18929744832286
ATSC4p,-1.9397748525945757
ATSC4s,-37.42044127047102
ATSC4v,-294.5440085615139
ATSC5Z,-7.584407855584225
ATSC5c,0.10319963690763906
ATSC5d,-2.70263836540369
ATSC5i,15.778055058018925
ATSC5m,-30.75680510315364
ATSC5p,2.704896455501933
ATSC5s,27.85735854878881
ATSC5v,315.3268803552293
ATSC6Z,-50.05038682801033
ATSC6c,0.5536579722773226
ATSC6d,-2.482245586193212
ATSC6i,9.907744672545087
ATSC6m,-238.0798400484026
ATSC6p,-0.8481574613268514
ATSC6s,-18.549488637615998
ATSC6v,-267.2179862803705
ATSC7Z,-75.35905574290813
ATSC7c,-0.4959363875153496
ATSC7d,-4.885736956952986
ATSC7i,11.052742291846732
ATSC7m,-335.6606047932947
ATSC7p,2.3208032008142414
ATSC7s,-46.2244098393176
ATSC7v,271.0617238105146
ATSC8Z,-180.44713350525691
ATSC8c,-0.013011595930268394
ATSC8d,-15.42174171791311
ATSC8i,-3.563144335505407
ATSC8m,-857.0427504459429
ATSC8p,-1.9218208480463363
ATSC8s,4.774923405849812
ATSC8v,-869.9607549481025
AXp-0d,0.7081680515322938
AXp-1d,0.44711585001689313
AXp-2d,0.2837274525674825
AXp-3d,0.1833633054961002
AXp-4d,0.11438167693663404
AXp-5d,0.07454577445514005
AXp-6d,0.046216141163358225
AXp-7d,0.029613108991059636
GATS1Z,0.886549461792986
GATS1c,1.6973903612814059
GATS1d,0.9020705877797568
GATS1i,1.3597926496451616
GATS1m,0.8928742678116303
GATS1p,1.143400963122595
GATS1s,0.5382358749360553
GATS1v,1.0565471595533875
GATS2Z,0.9632612189342319
GATS2c,1.1706662762002908
GATS2d,1.3185821925076937
GATS2i,1.2833659882915671
GATS2m,0.9702119528646266
GATS2p,1.152762495056002
GATS2s,0.5368958149586496
GATS2v,1.1080108850146302
GATS3Z,0.9522261140453523
GATS3c,1.0098295450277899
GATS3d,1.2533258288988947
GATS3i,0.9899609835484269
GATS3m,0.9534953744801691
GATS3p,0.9826019849700328
GATS3s,0.8916451945853227
GATS3v,0.9716189737277553
GATS4Z,1.0799121016079172
GATS4c,1.631163177518265
GATS4d,1.2196885280696168
GATS4i,1.0893816228970337
GATS4m,1.073948017612811
GATS4p,1.0028323435659936
GATS4s,1.483451474471256
GATS4v,0.9819666007424578
GATS5Z,1.0492466730622585
GATS5c,1.3177100110373334
GATS5d,1.1273877745940781
GATS5i,0.9561719247390472
GATS5m,1.0427430679895906
GATS5p,0.9010885497367288
GATS5s,1.4133290265412253
GATS5v,0.9202331104540935
GATS6Z,1.0469386453368488
GATS6c,1.0718712654385407
GATS6d,1.0856129620825676
GATS6i,0.9779951693305556
GATS6m,1.0438545173663245
GATS6p,0.998194789601125
GATS6s,1.3424724522972162
GATS6v,0.995668343189179
GATS7Z,1.0736975130986641
GATS7c,1.2817098378633345
GATS7d,1.0917860553963703
GATS7i,0.9519255265904136
GATS7m,1.0664081510246561
GATS7p,0.9238056288833478
GATS7s,1.5401583612408514
GATS7v,0.9389467478416694
GATS8Z,1.1056259559270254
GATS8c,0.9330613196518139
GATS8d,1.1460827412960708
GATS8i,1.01032652055066
GATS8m,1.10443446309026
GATS8p,1.033821797641621
GATS8s,1.0732711062566176
GATS8v,1.0656109178188904
MATS1Z,0.04025520705562764
MATS1c,-0.5901449481666731
MATS1d,0.3515594749477271
MATS1i,-0.08425502604436899
MATS1m,0.04065170661467459
MATS1p,0.004920602660183832
MATS1s,-0.019063826618905287
MATS1v,0.02622624286537681
MATS2Z,-0.011545683385400041
MATS2c,-0.02239334008665662
MATS2d,-0.016902791043192058
MATS2i,-0.10788301402492396
MATS2m,-0.014522605226547544
MATS2p,-0.09100790538177167
MATS2s,0.038427503845448324
MATS2v,-0.0776558059380157
MATS3Z,0.03923866978715329
MATS3c,0.24171445014586995
MATS3d,-0.02432606280334477
MATS3i,0.07005860042328287
MATS3m,0.037754305373357354
MATS3p,0.006093426925307301
MATS3s,0.007806401663070336
MATS3v,0.011132473323847565
MATS4Z,-0.046107964561860955
MATS4c,-0.250380509833516
MATS4d,-0.04544067706675154
MATS4i,-0.0600098361052617
MATS4m,-0.044815906152341364
MATS4p,-0.03956454114838269
MATS4s,-0.1167267169895798
MATS4v,-0.026842381384359952
MATS5Z,-0.004702358989496479
MATS5c,0.030626209947514308
MATS5d,-0.02168736071314868
MATS5i,0.04833065056485491
MATS5m,-0.0039954743030707705
MATS5p,0.05296350114745023
MATS5s,0.0834204509920885
MATS5v,0.02758691119737751
MATS6Z,-0.03130972082546156
MATS6c,0.1657808259148789
MATS6d,-0.02009745975047217
MATS6i,0.030621159736970674
MATS6m,-0.03120523074844462
MATS6p,-0.016756379340755443
MATS6s,-0.05604568689288393
MATS6v,-0.02358769071622962
MATS7Z,-0.04672287408063363
MATS7c,-0.1471773775546357
MATS7d,-0.039205666985036615
MATS7i,0.03385627845297365
MATS7m,-0.04360411676397724
MATS7p,0.04544272396797608
MATS7s,-0.13842163494739035
MATS7v,0.02371429830322337
MATS8Z,-0.11494299060980183
MATS8c,-0.003967199653156332
MATS8d,-0.1271424552864675
MATS8i,-0.011213494960629547
MATS8m,-0.11438471912981374
MATS8p,-0.038661379401110536
MATS8s,0.014690528234392574
MATS8v,-0.07819520948091055
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,5
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,45.95914533130872
SpAD_D,437.83449957116443
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.785028133069154
SssNH2,0
SsssAs,0
SsssCH,-1.8039167645140852
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1180
TMWC10,151.28530839966604
TSRW10,85.23289560834414
VE1_Dt,5.859973750681228
VE2_Dt,0.16742782144803509
VE3_Dt,3.020908092668323
VR1_Dt,236.4123592892995
VR2_Dt,6.754638836837128
VR3_Dt,6.7183405339183055
Xc-3dv,0.9764964082002828
Xc-4dv,0.0
Xc-5dv,0.19603142728979545
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.38327663808701984
Xch-7d,0.45907592384905416
Xp-0dv,20.574853191855226
Xp-1dv,12.693488725789601
Xp-2dv,9.611441768605632
Xp-3dv,7.33306819229641
Xp-4dv,5.239398973891258
Xp-5dv,3.7081439143472594
Xp-6dv,2.415616442798284
Xp-7dv,1.677742742898432
Xpc-4d,5.338668652884296
Xpc-5d,8.338086600757284
Xpc-6d,13.10081745087842
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,1
n9Ring,0
nARing,2
nBonds,74
nFRing,1
nHBAcc,4
nHBDon,3
nHRing,2
nSpiro,0
naRing,2
piPC10,6.561096964971725
AATS0dv,5.943661971830986
AATS0pe,6.039115492957744
AATS0se,7.519166816901407
AATS1dv,5.635135135135135
AATS1pe,6.355986486486486
AATS1se,7.63256735135135
AATS2dv,4.333333333333333
AATS2pe,6.207861481481482
AATS2se,7.57951028148148
AATS3dv,3.38265306122449
AATS3pe,6.085429081632655
AATS3se,7.55390169387755
AATS4dv,3.2314814814814814
AATS4pe,6.155296296296295
AATS4se,7.64842387037037
AATS5dv,3.2755555555555556
AATS5pe,6.152392888888891
AATS5se,7.663124622222222
AATS6dv,2.977578475336323
AATS6pe,6.083026457399103
AATS6se,7.583630385650222
AATS7dv,2.6533333333333333
AATS7pe,6.064026666666665
AATS7se,7.585515591111111
AATS8dv,2.3789954337899544
AATS8pe,5.990891324200912
AATS8se,7.501017863013699
AATSC0Z,7.168418964491174
AATSC0c,0.014976226366529774
AATSC0d,0.553858361436223
AATSC0i,1.4509361725361103
AATSC0m,34.21293723864314
AATSC0p,0.22698201146076968
AATSC0s,1.4841742158742752
AATSC0v,50.80136705235863
AATSC1Z,0.2885661896770801
AATSC1c,-0.008838144332808075
AATSC1d,0.19471415474192702
AATSC1i,-0.12224866500574705
AATSC1m,1.3908142870515963
AATSC1p,0.0011168882894077403
AATSC1s,-0.028294039923676892
AATSC1v,1.3323289902083089
AATSC2Z,-0.08276429573791232
AATSC2c,-0.000335367730240455
AATSC2d,-0.00936175215088122
AATSC2i,-0.1565313674509827
AATSC2m,-0.496860981157462
AATSC2p,-0.02065715742238594
AATSC2s,0.05703311038782397
AATSC2v,-3.945021101203866
AATSC3Z,0.28127922464363647
AATSC3c,0.003619970321445824
AATSC3d,-0.013473193284455188
AATSC3i,0.10165055755139477
AATSC3m,1.2916856802272427
AATSC3p,0.0013830983001954643
AATSC3s,0.011586060067087055
AATSC3v,0.565544863525371
AATSC4Z,-0.330521207579331
AATSC4c,-0.00374975519303387
AATSC4d,-0.025167698942743563
AATSC4i,-0.08707044191308769
AATSC4m,-1.5332837844829763
AATSC4p,-0.008980439132382294
AATSC4s,-0.17324278365958803
AATSC4v,-1.3636296692662682
