DLiP-ID,P000AC
ATS2dv,482.33333333333337
ATS2pe,638.2882
ATS2se,776.2193479999997
ATS3dv,530.1111111111112
ATS3pe,911.5800999999999
ATS3se,1126.6509639999997
ATS4dv,602.7777777777778
ATS4pe,1044.2039999999997
ATS4se,1291.5593259999998
ATS5dv,737.2222222222222
ATS5pe,1194.7939999999999
ATS5se,1477.7272699999999
ATS6dv,644.5555555555555
ATS6pe,1314.7257999999997
ATS6se,1636.8040859999996
ATS7dv,568.7777777777778
ATS7pe,1361.5145
ATS7se,1711.0990820000002
ATS8dv,425.3333333333333
ATS8pe,1196.6305
ATS8se,1514.1135560000002
ATSC0Z,723.3454545454545
ATSC0c,1.0299828780912537
ATSC0d,34.98181818181819
ATSC0i,74.34488355700269
ATSC0m,3389.3034953454535
ATSC0p,14.660635126122726
ATSC0s,107.22326419198843
ATSC0v,2891.2391456814994
ATSC1Z,-3.9034710743801706
ATSC1c,-0.6258893207091238
ATSC1d,11.309752066115697
ATSC1i,-0.5690388090356989
ATSC1m,-12.783536012561706
ATSC1p,0.7942160918219028
ATSC1s,-7.193853965518755
ATSC1v,124.06796719232923
ATSC2Z,27.29289256198345
ATSC2c,0.21697270653541456
ATSC2d,2.287933884297523
ATSC2i,-9.707514262321054
ATSC2m,122.35365012925656
ATSC2p,-0.025821240126914613
ATSC2s,18.324213402260522
ATSC2v,-188.3261218018459
ATSC3Z,-106.63239669421486
ATSC3c,0.07641931605715208
ATSC3d,2.666776859504134
ATSC3i,2.752830250155645
ATSC3m,-490.54525110512395
ATSC3p,0.1476079740408024
ATSC3s,-19.298497860510587
ATSC3v,-53.585724228909335
ATSC4Z,-123.45520661157025
ATSC4c,-0.558851376167339
ATSC4d,-8.762644628099173
ATSC4i,8.642602557579258
ATSC4m,-567.4059070733884
ATSC4p,0.11236441857585158
ATSC4s,-27.717847914233996
ATSC4v,-61.10159671479373
ATSC5Z,-38.51504132231406
ATSC5c,0.5595385114718985
ATSC5d,-15.809256198347105
ATSC5i,15.630607027465668
ATSC5m,-186.40562831504135
ATSC5p,1.5274416963250252
ATSC5s,49.72815096972971
ATSC5v,-89.7335531087935
ATSC6Z,-119.08396694214875
ATSC6c,-0.14424709375880498
ATSC6d,-19.54677685950413
ATSC6i,-26.023620817451423
ATSC6m,-579.4763333566945
ATSC6p,-6.310784820053526
ATSC6s,-19.58764366447868
ATSC6v,-1160.2830783730099
ATSC7Z,175.3077685950413
ATSC7c,-0.1970556097276086
ATSC7d,-12.19801652892562
ATSC7i,-36.52766620582752
ATSC7m,826.400964635041
ATSC7p,-0.8547121253506613
ATSC7s,-17.009262773639872
ATSC7v,-216.90416562670492
ATSC8Z,152.42975206611573
ATSC8c,0.3117111929229422
ATSC8d,-0.20826446280991917
ATSC8i,-16.279233518950836
ATSC8m,720.0721720479336
ATSC8p,0.7462466822827827
ATSC8s,18.053018273519584
ATSC8v,251.49095140515163
AXp-0d,0.727871144510815
AXp-1d,0.44843044712964514
AXp-2d,0.28736418596175417
AXp-3d,0.1736496594258539
AXp-4d,0.10693714248456823
AXp-5d,0.06722634481968101
AXp-6d,0.04137285206342629
AXp-7d,0.026319210510580032
GATS1Z,0.6116317588662992
GATS1c,1.5150959880576804
GATS1d,0.9207790786738153
GATS1i,1.184826917826476
GATS1m,0.616100561034935
GATS1p,0.8947564097609247
GATS1s,0.7165837839867801
GATS1v,0.91158118258963
GATS2Z,0.6655954530703424
GATS2c,0.7285762696109201
GATS2d,1.276193367777526
GATS2i,1.2084883395454256
GATS2m,0.6720374148396098
GATS2p,0.9384911882808984
GATS2s,0.5209809131565859
GATS2v,0.9962833212065512
GATS3Z,0.8892355454146269
GATS3c,0.8585294484617585
GATS3d,1.191872799015656
GATS3i,1.0591604715500642
GATS3m,0.8913735639695141
GATS3p,0.9411979270257507
GATS3s,0.8113984544952934
GATS3v,0.9743713314431782
GATS4Z,0.7963000201085865
GATS4c,1.1530793289116075
GATS4d,1.286382536382536
GATS4i,1.0331868978971244
GATS4m,0.7995076968795009
GATS4p,0.9073832803684743
GATS4s,1.0160305422433082
GATS4v,0.9560430071265292
GATS5Z,0.7041500666096924
GATS5c,0.7745896112570817
GATS5d,1.266282809251559
GATS5i,0.9795481061368053
GATS5m,0.7096241493107961
GATS5p,0.8803166652354121
GATS5s,0.9306104792687264
GATS5v,0.9624300600710408
GATS6Z,0.8180738487834307
GATS6c,0.8061912609036256
GATS6d,1.064838877338877
GATS6i,1.0967908752059636
GATS6m,0.8243150144157385
GATS6p,1.0581991477754913
GATS6s,0.9003718554490691
GATS6v,1.089121658648355
GATS7Z,0.800208849023666
GATS7c,0.9050041000937317
GATS7d,0.8708695932147258
GATS7i,1.0665865616692254
GATS7m,0.8030716329253667
GATS7p,0.9742521848625689
GATS7s,0.983854474112475
GATS7v,1.0145233866328938
GATS8Z,1.1645887794088077
GATS8c,1.033503468138097
GATS8d,0.7520390212697903
GATS8i,0.929650937226708
GATS8m,1.159366191788876
GATS8p,1.0108573574447708
GATS8s,1.179535452504583
GATS8v,0.9730075625318064
MATS1Z,-0.005207065522241163
MATS1c,-0.5863478944732575
MATS1d,0.31195973301236435
MATS1i,-0.007385478445378883
MATS1m,-0.0036393881239179756
MATS1p,0.052272555311359235
MATS1s,-0.06473817122816819
MATS1v,0.04140601975605952
MATS2Z,0.020546844046962498
MATS2c,0.11471399822965848
MATS2d,0.03561577571478564
MATS2i,-0.07110469328793743
MATS2m,0.019658382735394705
MATS2p,-0.0009591038338568446
MATS2s,0.0930631251149833
MATS2v,-0.03547054516647475
MATS3Z,-0.05515549272192287
MATS3c,0.02775993826499862
MATS3d,0.02852263566549282
MATS3i,0.013853952719815646
MATS3m,-0.05415193390055172
MATS3p,0.0037670587123586814
MATS3s,-0.06734104268143168
MATS3v,-0.006934424820498136
MATS4Z,-0.055874938956077105
MATS4c,-0.1776313952986506
MATS4d,-0.08200611325611322
MATS4i,0.03805807906311319
MATS4m,-0.054807097239703166
MATS4p,0.0025091662162403873
MATS4s,-0.0846299123282085
MATS4v,-0.006918659410918767
MATS5Z,-0.015252676955560032
MATS5c,0.15561857662050718
MATS5d,-0.12945848492723488
MATS5i,0.06022630507778039
MATS5m,-0.01575469582007351
MATS5p,0.029845119179964474
MATS5s,0.13285403455942843
MATS5v,-0.00889062535903241
MATS6Z,-0.04191953679498924
MATS6c,-0.03566038313862226
MATS6d,-0.14227929852929846
MATS6i,-0.08913034244365863
MATS6m,-0.043534562291156445
MATS6p,-0.10960731152358308
MATS6s,-0.046515972901858674
MATS6v,-0.10218540757963027
MATS7Z,0.058980663725711764
MATS7c,-0.04656000816806503
MATS7d,-0.08485962136404612
MATS7i,-0.11957078770878653
MATS7m,0.0593382325543568
MATS7p,-0.014188004916541807
MATS7s,-0.038605636450359755
MATS7v,-0.018257366246456755
MATS8Z,0.05943634085600707
MATS8c,0.0853592263170233
MATS8d,-0.0016791939868863088
MATS8i,-0.061760520228830156
MATS8m,0.05992301355558317
MATS8p,0.014356801847509034
MATS8s,0.0474885463272613
MATS8v,0.024533890727811054
MAXsCl,6.2493550799949595
MAXsOH,10.021513552952046
MINsCl,6.0841341390525185
MINsOH,9.381277734744547
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,4
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,37.852608172847596
SpAD_D,300.7257959017787
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.4876044641107484
SssNH2,0
SsssAs,0
SsssCH,-1.6296363658632196
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1138
TMWC10,139.5652237739703
TSRW10,65.73581525050676
VE1_Dt,5.405206200243963
VE2_Dt,0.1801735400081321
VE3_Dt,2.7859748889379685
VR1_Dt,188.7298371558678
VR2_Dt,6.29099457186226
VR3_Dt,6.338928848075989
Xc-3dv,1.2280282537140967
Xc-4dv,0.0
Xc-5dv,0.19318612047914085
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21202758782931808
Xch-7d,0.41889506778107355
Xp-0dv,18.18255456050467
Xp-1dv,10.765975621811412
Xp-2dv,8.551400826820252
Xp-3dv,6.294826644330456
Xp-4dv,4.713451899264492
Xp-5dv,3.6369713907830397
Xp-6dv,2.42071907414259
Xp-7dv,1.6107744282061354
Xpc-4d,4.663559777887024
Xpc-5d,7.890424002130782
Xpc-6d,13.776272485313251
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,57
nFRing,0
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,6.914668825251205
AATS0dv,6.7129068462401795
AATS0pe,6.310994545454543
AATS0se,7.802785781818179
AATS1dv,6.161793372319688
AATS1pe,6.459359649122808
AATS1se,7.747581543859647
AATS2dv,4.775577557755776
AATS2pe,6.319685148514851
AATS2se,7.6853400792079185
AATS3dv,3.6061980347694638
AATS3pe,6.201225170068026
AATS3se,7.664292272108842
AATS4dv,3.5879629629629632
AATS4pe,6.215499999999999
AATS4se,7.68785313095238
AATS5dv,3.839699074074074
AATS5pe,6.222885416666666
AATS5se,7.696496197916666
AATS6dv,2.9840534979423867
AATS6pe,6.086693518518517
AATS6se,7.577796694444443
AATS7dv,2.516715830875123
AATS7pe,6.0244004424778765
AATS7se,7.571234876106195
AATS8dv,2.181196581196581
AATS8pe,6.136566666666667
AATS8se,7.764684902564103
AATSC0Z,13.151735537190081
AATSC0c,0.018726961419840975
AATSC0d,0.6360330578512399
AATSC0i,1.351725155581867
AATSC0m,61.62369991537188
AATSC0p,0.26655700229314044
AATSC0s,1.9495138943997896
AATSC0v,52.56798446693635
AATSC1Z,-0.06848194867333633
AATSC1c,-0.010980514398405682
AATSC1d,0.1984167029143105
AATSC1i,-0.009983137000626297
AATSC1m,-0.2242725616238896
AATSC1p,0.013933615645998295
AATSC1s,-0.12620796430734657
AATSC1v,2.176631003374197
AATSC2Z,0.27022665902953913
AATSC2c,0.0021482446191625204
AATSC2d,0.02265281073561904
AATSC2i,-0.09611400259723815
AATSC2m,1.2114222785074908
AATSC2p,-0.00025565584284073875
AATSC2s,0.18142785546792597
AATSC2v,-1.8646150673450088
AATSC3Z,-0.725390453702142
AATSC3c,0.0005198592929057964
AATSC3d,0.018141339180300232
AATSC3i,0.018726736395616634
AATSC3m,-3.337042524524653
AATSC3p,0.0010041358778285878
AATSC3s,-0.1312822983708203
AATSC3v,-0.3645287362510839
AATSC4Z,-0.7348524203069657
AATSC4c,-0.0033264962867103516
AATSC4d,-0.05215859897678079
