DLiP-ID,J1007Q
VR2_D,6.144295914890884
VR3_A,7.0877602535151
VR3_D,6.17734808527286
WPath,2205
Xc-3d,1.3536869468931796
Xc-4d,0.0
Xc-5d,0.3360304104720335
Xc-6d,0.0
Xp-0d,19.932510652501765
Xp-1d,13.672565055446157
Xp-2d,11.335768013687444
Xp-3d,9.80598966195723
Xp-4d,8.317273259633572
Xp-5d,6.245862073299285
Xp-6d,4.099899177918114
Xp-7d,3.0598089166222766
ZMIC0,94.39818436983761
ZMIC1,52.25002318141169
ZMIC2,32.664405142503306
ZMIC3,26.424422919721582
ZMIC4,25.763771183134004
ZMIC5,25.763771183134004
nAcid,0
nAtom,53
nBase,0
nRing,3
piPC1,3.7256934272366524
piPC2,4.26619481914876
piPC3,4.847135491542889
piPC4,5.430715304555501
piPC5,5.8888779583328805
piPC6,6.092581697411993
piPC7,6.433844024905384
piPC8,6.735371676727141
piPC9,6.950695029473393
AATS0Z,21.245283018867923
AATS0d,3.1132075471698113
AATS0i,163.2843157441269
AATS0m,83.70114166037739
AATS0p,1.493666540023113
AATS0s,3.522012578616352
AATS0v,217.49862438360918
AATS1Z,23.945454545454545
AATS1d,3.7454545454545456
AATS1i,148.48663827456178
AATS1m,90.47578490909092
AATS1p,1.798235922545455
AATS1s,3.1363636363636362
AATS1v,258.998309065563
AATS2Z,20.032608695652176
AATS2d,3.489130434782609
AATS2i,156.02494825548573
AATS2m,74.35402165217388
AATS2p,1.535618456614022
AATS2s,2.8541666666666665
AATS2v,215.99110702996748
AATS3Z,17.517241379310345
AATS3d,3.1206896551724137
AATS3i,160.90663682330884
AATS3m,64.10817678448275
AATS3p,1.39020613157481
AATS3s,2.7887931034482754
AATS3v,192.25836273638163
AATS4Z,17.59349593495935
AATS4d,2.951219512195122
AATS4i,158.95729316671938
AATS4m,63.786074666666664
AATS4p,1.4038630397364555
AATS4s,3.019873532068653
AATS4v,192.5713925241542
AATS5Z,15.24087591240876
AATS5d,2.605839416058394
AATS5i,160.40332802906843
AATS5m,54.17523311678831
AATS5p,1.2942568793290072
AATS5s,2.8842254663422535
AATS5v,173.11159233784159
AATS6Z,13.842105263157896
AATS6d,2.4586466165413534
AATS6i,164.89453070793851
AATS6m,48.49065337593985
AATS6p,1.1785383453083988
AATS6s,2.879281537176274
AATS6v,156.41631736200176
AATS7Z,14.714285714285714
AATS7d,2.6285714285714286
AATS7i,164.2318797507898
AATS7m,51.90062001904762
AATS7p,1.244800982996933
AATS7s,2.9486772486772477
AATS7v,166.6187194665417
AATS8Z,14.467391304347826
AATS8d,2.608695652173913
AATS8i,160.89924234582156
AATS8m,50.450417630434785
AATS8p,1.3256561769645112
AATS8s,2.727657004830918
AATS8v,175.44327457361626
AMID_C,1.5872618297566465
AMID_N,0.37564130048576655
AMID_O,0.06400402478936758
AMID_X,0.0
AMID_h,0.43964532527513406
ATS0dv,356.0
ATS0pe,322.0965999999999
ATS0se,398.2128479999999
ATS1dv,386.0
ATS1pe,354.1467
ATS1se,422.97476799999987
ATS2dv,528.0
ATS2pe,578.2942000000002
ATS2se,702.4510879999998
ATS3dv,545.0
ATS3pe,716.8957000000003
ATS3se,881.4981
ATS4dv,560.0
ATS4pe,765.1068999999999
ATS4se,937.4490959999998
ATS5dv,493.0
ATS5pe,831.2465999999998
ATS5se,1030.6765719999999
ATS6dv,430.0
ATS6pe,805.3685000000002
ATS6se,1005.8480760000001
ATS7dv,349.0
ATS7pe,641.9181000000001
ATS7se,797.154208
ATS8dv,277.0
ATS8pe,558.6896000000003
ATS8se,693.3245039999999
ATSC0Z,371.28301886792445
ATSC0c,0.6524870310035139
ATSC0d,28.679245283018872
ATSC0i,83.42813320758107
ATSC0m,1776.1184971320754
ATSC0p,11.89070313385472
ATSC0s,47.11949685534589
ATSC0v,2678.403878042256
ATSC1Z,24.725169099323605
ATSC1c,-0.25276958847545616
ATSC1d,15.483802064791734
ATSC1i,-4.807941007122912
ATSC1m,113.21488324029914
ATSC1p,-0.6656177085897983
ATSC1s,-1.5359558561765756
ATSC1v,-63.5101738831116
ATSC2Z,51.18796724813101
ATSC2c,-0.043523218065126275
ATSC2d,7.537913848344605
ATSC2i,-18.25757146461406
ATSC2m,238.22593977073706
ATSC2p,-0.6957970849040349
ATSC2s,5.042571496380682
ATSC2v,19.797299804873063
ATSC3Z,80.05980776076896
ATSC3c,-0.16297113250380169
ATSC3d,-1.9960840156639401
ATSC3i,9.502755723848049
ATSC3m,385.3750944845141
ATSC3p,2.550665764537959
ATSC3s,7.181855939242909
ATSC3v,629.4577078267932
ATSC4Z,-12.788892844428627
ATSC4c,0.0879536055401223
ATSC4d,-10.255606977572096
ATSC4i,-6.618660896528825
ATSC4m,-73.69180428764679
ATSC4p,-2.5157753839222283
ATSC4s,16.223725327320913
ATSC4v,-464.4820376932825
ATSC5Z,-13.957992168031335
ATSC5c,0.1873171466851878
ATSC5d,-1.0954076183695265
ATSC5i,-24.7743847598126
ATSC5m,-72.56460019045916
ATSC5p,-2.885053383845268
ATSC5s,2.4086171433092027
ATSC5v,-413.7724225953379
ATSC6Z,2.836952652189371
ATSC6c,-0.17023840535945395
ATSC6d,-1.2894268422926292
ATSC6i,-11.17039553216959
ATSC6m,23.17095880064067
ATSC6p,0.9123813996730866
ATSC6s,-11.12272062022863
ATSC6v,233.91511942026776
ATSC7Z,-27.73050907796368
ATSC7c,0.04995828516914623
ATSC7d,-4.024919900320398
ATSC7i,7.18601416378897
ATSC7m,-125.72537209184763
ATSC7p,1.0687067917167676
ATSC7s,0.8397808630987672
ATSC7v,118.00927687071069
ATSC8Z,-102.32146671413314
ATSC8c,-0.14791235303649486
ATSC8d,-1.2922748309006762
ATSC8i,25.090216895251228
ATSC8m,-479.766161474546
ATSC8p,0.54311179927917
ATSC8s,-17.684367706973614
ATSC8v,-185.61031971471112
AXp-0d,0.7118753804464916
AXp-1d,0.4557521685148719
AXp-2d,0.2833942003421861
AXp-3d,0.18159240114735611
AXp-4d,0.11881818942333673
AXp-5d,0.07616904967438153
AXp-6d,0.04823410797550722
AXp-7d,0.03255115868747103
GATS1Z,0.8250505871808851
GATS1c,1.5371405390924626
GATS1d,0.6098803827751195
GATS1i,1.2657479459485652
GATS1m,0.8310327660629694
GATS1p,1.1010226692019356
GATS1s,0.6395731204193568
GATS1v,1.0124606643163583
GATS2Z,0.8646866728237671
GATS2c,1.3316795598527664
GATS2d,1.113515446224256
GATS2i,1.2507356169611263
GATS2m,0.8674764690340864
GATS2p,1.0237248063249513
GATS2s,0.5937724877550549
GATS2v,0.9617347318097512
GATS3Z,0.8843982953131627
GATS3c,1.434475495074789
GATS3d,1.2582690562613428
GATS3i,1.0092555454464909
GATS3m,0.8824068655191103
GATS3p,0.8640754533482768
GATS3s,0.8294005943504492
GATS3v,0.8482353783631384
GATS4Z,0.986646802132215
GATS4c,1.0780203906075363
GATS4d,1.267736414206247
GATS4i,1.1054202822986594
GATS4m,0.9884681238992664
GATS4p,1.0651382071772078
GATS4s,0.8622008009989339
GATS4v,1.0330538350414127
GATS5Z,0.997763258535413
GATS5c,0.8535308069234901
GATS5d,0.9859873223203992
GATS5i,1.1109380286401092
GATS5m,0.9980201880605343
GATS5p,1.0766589970057907
GATS5s,1.1879341208075318
GATS5v,1.034430895810122
GATS6Z,1.0282976982042464
GATS6c,1.18266822458711
GATS6d,0.954293628808864
GATS6i,1.0088746676673623
GATS6m,1.0215563083445887
GATS6p,0.9138998038252835
GATS6s,1.7019243249608276
GATS6v,0.9140218870153956
GATS7Z,1.054413195301497
GATS7c,1.2300084872736243
GATS7d,1.0792606516290724
GATS7i,0.9604904259561204
GATS7m,1.0486478803331751
GATS7p,0.8941948698817899
GATS7s,1.3298396596581332
GATS7v,0.9203026604858299
GATS8Z,1.14251293653915
GATS8c,1.4439995643684547
GATS8d,0.9459954233409609
GATS8i,0.8332968684698487
GATS8m,1.1379846600414487
GATS8p,0.9554634326385181
GATS8s,1.4569417523619403
GATS8v,1.0107363307128696
MATS1Z,0.06417226436537343
MATS1c,-0.37330698619669106
MATS1d,0.5202631578947365
MATS1i,-0.05553410594905977
MATS1m,0.06142494353353081
MATS1p,-0.05394243057428926
MATS1s,-0.03141168761830804
MATS1v,-0.022849695490796802
MATS2Z,0.07942383239724787
MATS2c,-0.03842705991352576
MATS2d,0.15141590389016013
MATS2i,-0.12607196606398363
MATS2m,0.07726897548145388
MATS2p,-0.03371033827745725
MATS2s,0.061650905893823015
MATS2v,0.004258120399778562
MATS3Z,0.0985206654727317
MATS3c,-0.11411866433122034
MATS3d,-0.03180013611615249
MATS3i,0.05204211283620635
MATS3m,0.0991355881235693
MATS3p,0.0980085348443486
MATS3s,0.06963922436806158
MATS3v,0.1073762842564494
MATS4Z,-0.014842211639923093
MATS4c,0.0580834656896958
MATS4d,-0.1540864356011982
MATS4i,-0.03418443159985848
MATS4m,-0.017877962047333894
MATS4p,-0.09116645864488779
MATS4s,0.1483613234423856
MATS4v,-0.07472460307017499
MATS5Z,-0.014543641682177966
MATS5c,0.11106083957760876
MATS5d,-0.014776219746446408
MATS5i,-0.11488032477750243
MATS5m,-0.01580549755850222
MATS5p,-0.09386455368461018
MATS5s,0.019775270426329847
MATS5v,-0.059764154450386464
MATS6Z,0.00304488734795621
MATS6c,-0.10397044127819906
MATS6d,-0.017916501780767684
MATS6i,-0.053355630222790634
MATS6m,0.00519871843466366
MATS6p,0.03057687620922026
MATS6s,-0.09406641938535612
MATS6v,0.03480218068417757
MATS7Z,-0.037699824314317655
MATS7c,0.03864757149553347
MATS7d,-0.07083959899749372
MATS7i,0.043477254704178646
MATS7m,-0.03573037406932716
MATS7p,0.04536674322337268
MATS7s,0.008996050813989924
MATS7v,0.022239583754028288
MATS8Z,-0.15876315196401194
MATS8c,-0.1305932121926029
MATS8d,-0.025958237986270012
MATS8i,0.17325266830185
MATS8m,-0.15561294376038232
MATS8p,0.026312962318179884
MATS8s,-0.21621057630554721
MATS8v,-0.039922165981044
MAXaaN,4.1323398946865755
MINaaN,4.124450946279951
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.480468543491384
SpAD_D,327.36725562742697
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.3543394472033885
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,778
TMWC10,133.82520461458242
TSRW10,76.96250944575245
VE1_Dt,5.214597100447793
VE2_Dt,0.1862356107302783
VE3_Dt,2.6810812448253456
VR1_Dt,170.50216928094906
VR2_Dt,6.089363188605324
VR3_Dt,6.168367436879212
Xc-3dv,0.5865507780932763
Xc-4dv,0.0
Xc-5dv,0.0974902555818494
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.3645478988043873
Xch-7d,0.4981252959028269
Xp-0dv,16.299032489106146
Xp-1dv,9.436388787402082
Xp-2dv,6.296754543434384
Xp-3dv,4.553207160879885
Xp-4dv,3.1324633362836476
Xp-5dv,1.839118217546836
Xp-6dv,0.9626135907584843
Xp-7dv,0.5940762789933931
Xpc-4d,3.6847580972564664
Xpc-5d,6.329755968929065
Xpc-6d,9.391357859603687
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,55
nFRing,0
nHBAcc,5
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,7.1990304977201784
AATS0dv,6.716981132075472
AATS0pe,6.0772943396226395
AATS0se,7.513449962264149
AATS1dv,7.0181818181818185
AATS1pe,6.439030909090909
AATS1se,7.690450327272725
AATS2dv,5.739130434782608
AATS2pe,6.285806521739132
AATS2se,7.635337913043476
AATS3dv,4.698275862068965
AATS3pe,6.180135344827589
AATS3se,7.599121551724138
AATS4dv,4.5528455284552845
AATS4pe,6.220381300813007
AATS4se,7.621537365853657
AATS5dv,3.5985401459854014
AATS5pe,6.067493430656933
AATS5se,7.523186656934305
AATS6dv,3.2330827067669174
AATS6pe,6.055402255639099
AATS6se,7.562767488721805
AATS7dv,3.323809523809524
AATS7pe,6.113505714285715
AATS7se,7.591944838095238
AATS8dv,3.010869565217391
AATS8pe,6.072713043478264
AATS8se,7.536135913043478
AATSC0Z,7.005339978640084
AATSC0c,0.012311076056670074
AATSC0d,0.541117835528658
AATSC0i,1.574115720897756
AATSC0m,33.51166975720897
AATSC0p,0.2243528893180136
AATSC0s,0.8890471104782244
AATSC0v,50.53592222721238
AATSC1Z,0.449548529078611
AATSC1c,-0.004595810699553749
AATSC1d,0.28152367390530425
AATSC1i,-0.08741710922041658
AATSC1m,2.0584524225508933
AATSC1p,-0.012102140156178151
AATSC1s,-0.027926470112301375
AATSC1v,-1.1547304342383926
AATSC2Z,0.5563909483492501
AATSC2c,-0.0004730784572296334
AATSC2d,0.08193384617765875
AATSC2i,-0.198451863745805
AATSC2m,2.5894123888123595
AATSC2p,-0.007563011792435162
AATSC2s,0.05481055974326828
AATSC2v,0.2151880413573159
AATSC3Z,0.6901707565583531
AATSC3c,-0.0014049235560672558
AATSC3d,-0.01720762082468914
AATSC3i,0.08192030796420732
AATSC3m,3.322199090383742
AATSC3p,0.02198849797015482
AATSC3s,0.061912551200369904
AATSC3v,5.426359550230976
AATSC4Z,-0.10397473857259046
AATSC4c,0.0007150699637408316
AATSC4d,-0.08337891851684631
AATSC4i,-0.05381025119129126
AATSC4m,-0.5991203600621691
AATSC4p,-0.020453458405871774
AATSC4s,0.13190020591317816
AATSC4v,-3.776276729213679
AATSC5Z,-0.10188315451117763
