DLiP-ID,T003BV
NddC,0
NdsN,0
NsBr,0
NsCl,2
NsLi,0
NsOH,2
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.2544478265867059
RPCG,0.1692155507363239
SIC0,0.36045753858548324
SIC1,0.6590296904761834
SIC2,0.8324548513227472
SIC3,0.9844214875661371
SIC4,1.0000000000000002
SIC5,1.0000000000000002
SaaN,0
SaaO,0
SaaS,0
Sare,27.903999999999996
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,11.68046574812117
SsLi,0
SsOH,18.466390623521455
SsSH,0
SssO,5.396131267321744
SssS,0
StCH,0
StsC,0
TIC0,46.276246222579445
TIC1,84.60752504759631
TIC2,106.87218755408672
TIC3,126.38196255841368
TIC4,128.38196255841368
TIC5,128.38196255841368
Vabc,234.01918019398508
WPol,28
apol,34.61234399999999
bpol,11.649655999999998
nRot,3
ABCGG,12.21029152976241
ATS0Z,1310.0
ATS0d,104.0
ATS0i,4205.791844207793
ATS0m,5420.839089000001
ATS0p,51.89021923879201
ATS0s,188.31614845297975
ATS0v,7627.894702872337
ATS1Z,964.0
ATS1d,124.0
ATS1i,3996.1859190927007
ATS1m,3792.7299299999995
ATS1p,57.98440183199999
ATS1s,114.81893004115227
ATS1v,8795.80600831307
ATS2Z,1480.0
ATS2d,174.0
ATS2i,6041.9065388091
ATS2m,5829.900759999999
ATS2p,83.34344433999998
ATS2s,195.98353909465027
ATS2v,12445.276580435397
ATS3Z,1707.0
ATS3d,183.0
ATS3i,8243.762747262666
ATS3m,6558.663085
ATS3p,90.13354124369798
ATS3s,232.1707818930041
ATS3v,13220.33434316663
ATS4Z,1546.0
ATS4d,149.0
ATS4i,7877.324798731029
ATS4m,5955.102795999999
ATS4p,76.89317208454699
ATS4s,209.0680536503582
ATS4v,11081.462096895071
ATS5Z,1192.0
ATS5d,128.0
ATS5i,6521.269204356985
ATS5m,4580.728647
ATS5p,64.65872125224499
ATS5s,220.37860082304533
ATS5v,9454.020899606367
ATS6Z,1132.0
ATS6d,115.0
ATS6i,6202.058335184437
ATS6m,4324.071548999999
ATS6p,63.365032048547
ATS6s,173.54526748971196
ATS6v,8833.630773993535
ATS7Z,819.0
ATS7d,95.0
ATS7i,5690.4023810410135
ATS7m,3026.409759
ATS7p,53.66855932709401
ATS7s,107.15843621399176
ATS7v,7020.143737379802
ATS8Z,807.0
ATS8d,67.0
ATS8i,3966.1117514543853
ATS8m,3172.562318999999
ATS8p,38.310316339093994
ATS8s,91.82304526748968
ATS8v,5312.510593547258
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.05774920926436078
JGI10,0.01924973642145359
JGT10,0.5672262900479548
Kier1,15.39
Kier2,6.635204081632653
Kier3,3.986159169550173
MAXdO,10.726657969789283
MID_C,27.076694161511583
MID_N,0.0
MID_O,7.25400959438465
MID_X,3.5301551849708144
MID_h,10.784164779355464
MINdO,10.726657969789283
MPC10,38
MWC01,20.0
MWC02,4.574710978503383
MWC03,5.3981627015177525
MWC04,6.259581464064923
MWC05,7.104144092987527
MWC06,7.964503363551548
MWC07,8.815963560853438
MWC08,9.67614770909051
MWC09,10.530414799175965
MWC10,11.390723932116376
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.189500000000002
SRW02,3.713572066704308
SRW03,0.0
SRW04,5.030437921392435
SRW05,0.0
SRW06,6.535241271013659
SRW07,0.0
SRW08,8.124743020385568
SRW09,0.0
SRW10,9.75504554717585
SaaCH,8.410893871952073
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.8413352075347049
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.1329857993515404
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.038494501327667
VE1_D,4.291695347765345
VE2_A,0.21255234217514038
VE2_D,0.22587870251396555
VE3_A,2.037725860508643
VE3_D,2.0985357270062033
VR1_A,94.9545541065755
VR1_D,94.36402605839845
VR2_A,4.997608110872394
VR2_D,4.966527687284129
VR3_A,5.195252285488238
VR3_D,5.189013806804609
WPath,746
Xc-3d,1.593412988719178
Xc-4d,0.0
Xc-5d,0.4023689270621825
Xc-6d,0.0
Xp-0d,13.991199352633217
Xp-1d,8.96923425058676
Xp-2d,8.445802705487589
Xp-3d,6.544977063979652
Xp-4d,4.923288363673112
Xp-5d,3.9571052407267184
Xp-6d,2.507916154683779
Xp-7d,1.4604560104481445
ZMIC0,66.27706679856264
ZMIC1,49.32442595477218
ZMIC2,33.502425017468006
ZMIC3,26.97232130863608
ZMIC4,26.768255567735082
ZMIC5,26.768255567735082
nAcid,1
nAtom,27
nBase,0
nRing,2
piPC1,3.332204510175204
piPC2,3.9512437185814275
piPC3,4.460144413937834
piPC4,4.9505313700265505
piPC5,5.492546907697604
piPC6,5.5726292044366454
piPC7,5.7359672757807925
piPC8,6.030985695895189
piPC9,6.359790108266689
AATS0Z,48.51851851851852
AATS0d,3.8518518518518516
AATS0i,155.7700683039923
AATS0m,200.77181811111114
AATS0p,1.9218599718071114
AATS0s,6.974672164925176
AATS0v,282.51461862490135
AATS1Z,34.42857142857143
AATS1d,4.428571428571429
AATS1i,142.72092568188216
AATS1m,135.45464035714284
AATS1p,2.0708714939999995
AATS1s,4.100676072898295
AATS1v,314.1359288683239
AATS2Z,35.23809523809524
AATS2d,4.142857142857143
AATS2i,143.85491759069288
AATS2m,138.8071609523809
AATS2p,1.9843677223809517
AATS2s,4.666274740348816
AATS2v,296.3161090579856
AATS3Z,31.61111111111111
AATS3d,3.388888888888889
AATS3i,152.6622730974568
AATS3m,121.4567237962963
AATS3p,1.6691396526610736
AATS3s,4.2994589239445204
AATS3v,244.8210063549376
AATS4Z,30.92
AATS4d,2.98
AATS4i,157.54649597462057
AATS4m,119.10205591999998
AATS4p,1.5378634416909398
AATS4s,4.181361073007164
AATS4v,221.6292419379014
AATS5Z,28.38095238095238
AATS5d,3.0476190476190474
AATS5i,155.26831438945203
AATS5m,109.06496778571429
AATS5p,1.5394933631486902
AATS5s,5.247109543405841
AATS5v,225.0957357049135
AATS6Z,28.3
AATS6d,2.875
AATS6i,155.05145837961092
AATS6m,108.10178872499998
AATS6p,1.584125801213675
AATS6s,4.338631687242799
AATS6v,220.84076934983835
AATS7Z,22.75
AATS7d,2.638888888888889
AATS7i,158.06673280669483
AATS7m,84.06693775000001
AATS7p,1.4907933146415002
AATS7s,2.9766232281664378
AATS7v,195.0039927049945
AATS8Z,32.28
AATS8d,2.68
AATS8i,158.64447005817541
AATS8m,126.90249275999997
AATS8p,1.5324126535637597
AATS8s,3.672921810699587
AATS8v,212.50042374189033
AMID_C,1.4250891663953464
AMID_N,0.0
AMID_O,0.3817899786518237
AMID_X,0.1857976413142534
AMID_h,0.5675876199660771
ATS0dv,289.2098765432099
ATS0pe,190.5581
ATS0se,229.33253400000004
ATS1dv,280.22222222222223
ATS1pe,193.30450000000002
ATS1se,228.92895600000003
ATS2dv,389.1111111111111
ATS2pe,290.31910000000005
ATS2se,344.5467760000001
ATS3dv,376.55555555555554
ATS3pe,376.86400000000003
ATS3se,454.3867420000001
ATS4dv,302.1604938271605
ATS4pe,348.6641000000001
ATS4se,424.28296300000005
ATS5dv,284.1111111111111
ATS5pe,286.32460000000003
ATS5se,347.602602
ATS6dv,215.66666666666666
ATS6pe,270.67210000000006
ATS6se,329.77228800000006
ATS7dv,148.55555555555554
ATS7pe,229.42499999999998
ATS7se,285.12927
ATS8dv,128.66666666666666
ATS8pe,164.90189999999998
ATS8se,203.223192
ATSC0Z,454.2962962962963
ATSC0c,1.1653186722003432
ATSC0d,18.666666666666657
ATSC0i,34.9325549544136
ATSC0m,2107.4092886666667
ATSC0p,7.519317121224001
ATSC0s,68.58151986768048
ATSC0v,1222.246550179935
ATSC1Z,-17.640603566529496
ATSC1c,-0.7243855393528496
ATSC1d,2.7160493827160517
ATSC1i,4.125584200499089
ATSC1m,-75.72549032098765
ATSC1p,0.8816472384284466
ATSC1s,-13.064202904095758
ATSC1v,111.77604998522483
ATSC2Z,7.539094650205755
ATSC2c,0.07814174903229627
ATSC2d,-6.148148148148146
ATSC2i,-10.872899839714808
ATSC2m,33.432325185185235
ATSC2p,-0.9487379637493298
ATSC2s,18.522835397845984
ATSC2v,-192.5550910754336
ATSC3Z,-128.25925925925927
ATSC3c,0.3942440761400661
ATSC3d,-3.666666666666666
ATSC3i,-11.018249746492906
ATSC3m,-599.9351823333332
ATSC3p,-2.6397396046539994
ATSC3s,0.4229848656765274
ATSC3v,-424.9879162876188
ATSC4Z,-21.956104252400536
ATSC4c,-0.6439420725146391
ATSC4d,-2.308641975308643
ATSC4i,-0.3101569068527108
ATSC4m,-92.95434249382708
ATSC4p,1.4105086197265542
ATSC4s,-30.213920318112027
ATSC4v,-74.05737600075383
ATSC5Z,51.68724279835392
ATSC5c,0.2958965939007917
ATSC5d,-2.3703703703703702
ATSC5i,2.791894149780103
ATSC5m,236.29449829629618
ATSC5p,0.42335520811433214
ATSC5s,25.36912407335276
ATSC5v,91.79632778334502
ATSC6Z,-4.142661179698212
ATSC6c,0.18239685351983068
ATSC6d,1.4197530864197518
ATSC6i,0.8872401371948935
ATSC6m,-26.76315772839509
ATSC6p,0.24099871825544356
ATSC6s,-0.17554953837250792
ATSC6v,-175.87138682238185
ATSC7Z,-66.7283950617284
ATSC7c,-0.2612222801372828
ATSC7d,0.7777777777777767
ATSC7i,0.005431093722976954
ATSC7m,-302.05273655555567
ATSC7p,0.02455644563799858
ATSC7s,-2.549560064052267
ATSC7v,41.126860653024174
ATSC8Z,107.46639231824417
ATSC8c,0.09315927029114608
ATSC8d,-3.3209876543209877
ATSC8i,-3.439328778674512
ATSC8m,506.36063875308633
ATSC8p,0.3682733925517774
ATSC8s,4.608291157647059
ATSC8v,324.71820440725133
AXp-0d,0.7363789132964851
AXp-1d,0.44846171252933803
AXp-2d,0.30163581091027103
AXp-3d,0.19249932541116624
AXp-4d,0.12308220909182781
AXp-5d,0.07914210481453438
AXp-6d,0.053359918184761254
AXp-7d,0.033192182055639646
GATS1Z,0.52121427406769
GATS1c,1.478186581958011
GATS1d,0.8954081632653066
GATS1i,0.8828774110317902
GATS1m,0.5186455216192208
GATS1p,0.6398356407547188
GATS1s,0.8788411366035592
GATS1v,0.6445866895921066
GATS2Z,0.5900281847615942
GATS2c,0.7407114843465297
GATS2d,1.2602040816326536
GATS2i,1.1755246209453847
GATS2m,0.5903903679612895
GATS2p,0.8709330515253245
GATS2s,0.47463426283623217
GATS2v,0.8714952319500768
GATS3Z,1.056660688080874
GATS3c,0.805875827559585
GATS3d,1.0446428571428577
GATS3i,1.1150975604075637
GATS3m,1.0567604083288547
GATS3p,1.1053707892003348
GATS3s,0.7809634373103886
GATS3v,1.0702168216839987
GATS4Z,0.9878134681232676
GATS4c,1.4099623860003283
GATS4d,1.0028571428571433
GATS4i,0.9723821116705686
GATS4m,0.9851381887727743
GATS4p,0.8785143893549735
GATS4s,1.2812299326764107
GATS4v,0.9894004066717056
GATS5Z,0.7296999836947661
GATS5c,0.8986693667215272
GATS5d,1.0612244897959189
GATS5i,0.9349439928028103
GATS5m,0.7330390500918942
GATS5p,0.8897295190433012
GATS5s,0.8398990101175027
GATS5v,0.9372119481932814
GATS6Z,0.9149865481819665
GATS6c,0.8424948730642587
GATS6d,0.7834821428571432
GATS6i,0.9553826348079156
GATS6m,0.919056542452847
GATS6p,0.9355540404809236
GATS6s,0.9294395549744567
GATS6v,1.0994354689083057
GATS7Z,1.2638594488830914
GATS7c,0.886282957334049
GATS7d,0.8705357142857146
GATS7i,0.9533107769850544
GATS7m,1.2648615794924594
GATS7p,1.0585498869374501
GATS7s,0.7091854877810834
GATS7v,1.1581299068225699
GATS8Z,1.019863036034567
GATS8c,0.7155494921502944
GATS8d,1.281428571428572
GATS8i,1.043053344755895
GATS8m,1.0175490951720785
GATS8p,1.0392400655260314
GATS8s,0.8666251560157926
GATS8v,0.8801630201439704
MATS1Z,-0.037443805175747136
MATS1c,-0.5994194068084195
MATS1d,0.14030612244897978
MATS1i,0.11388350817212373
MATS1m,-0.034649656768861
MATS1p,0.11306343692518882
MATS1s,-0.18368832089541076
MATS1v,0.0881851932281344
MATS2Z,0.010668281661270403
MATS2c,0.04310750588584544
MATS2d,-0.21173469387755106
MATS2i,-0.20009190094032397
MATS2m,0.010198402922109615
MATS2p,-0.08111148484142097
MATS2s,0.17362603022573037
MATS2v,-0.10127696058796559
MATS3Z,-0.14116256318278167
MATS3c,0.16915719517119654
MATS3d,-0.09821428571428574
MATS3i,-0.15770747030773355
MATS3m,-0.1423395031899345
MATS3p,-0.17553054101170162
MATS3s,0.003083810817350097
MATS3v,-0.17385523249178061
MATS4Z,-0.026098157508560232
MATS4c,-0.29839796396751045
MATS4d,-0.06678571428571435
MATS4i,-0.004794517032007209
MATS4m,-0.02381850797403699
MATS4p,0.10129572172218124
MATS4s,-0.23789961207128762
MATS4v,-0.03271924394838319
MATS5Z,0.07314062099648275
MATS5c,0.16323366601262224
MATS5d,-0.08163265306122452
MATS5i,0.05137869527806881
MATS5m,0.07208073290012242
MATS5p,0.036194366471641606
MATS5s,0.2378005423334095
MATS5v,0.04828152306495888
MATS6Z,-0.006155225827490617
MATS6c,0.10565168057713838
MATS6d,0.05133928571428569
MATS6i,0.017144096485014932
MATS6m,-0.00857219884329934
MATS6p,0.02163416334220842
MATS6s,-0.0017278114954300521
MATS6v,-0.09712703716580848
MATS7Z,-0.11016223707810209
MATS7c,-0.16812286182030714
MATS7d,0.031249999999999976
MATS7i,0.0001166052783012388
MATS7m,-0.10749670395540283
MATS7p,0.002449336014372133
MATS7s,-0.027881709996052797
MATS7v,0.025236434895420417
MATS8Z,0.2554801891407142
MATS8c,0.0863386250599273
MATS8d,-0.19214285714285725
MATS8i,-0.1063327628287081
MATS8m,0.25949847179393004
MATS8p,0.05289513097316687
MATS8s,0.0725699060018098
MATS8v,0.28692710215316475
MAXsCl,5.928291201254163
MAXsOH,9.689554971165421
MAXssO,5.396131267321744
MINsCl,5.752174546867007
MINsOH,8.776835652356034
MINssO,5.396131267321744
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,23.32979670786573
SpAD_D,162.68036209995194
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,410
TMWC10,110.7143526018614
TSRW10,52.159039826671815
VE1_Dt,4.315653277872511
VE2_Dt,0.22713964620381635
VE3_Dt,2.1041025962061317
VR1_Dt,92.74075629417098
VR2_Dt,4.881092436535314
VR3_Dt,5.171661920096754
Xc-3dv,0.6640233866082533
Xc-4dv,0.0
Xc-5dv,0.0690048684630322
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.13608276348795434
Xch-7d,0.33963290016278846
Xp-0dv,10.942812225120761
Xp-1dv,5.919547193648604
Xp-2dv,4.508098285598603
Xp-3dv,2.850197105586269
Xp-4dv,1.8602259209297167
Xp-5dv,1.1251339609845183
Xp-6dv,0.579173782436887
Xp-7dv,0.23723848481726445
Xpc-4d,3.325624978582473
Xpc-5d,4.123855864393329
Xpc-6d,6.09171146238951
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,28
nFRing,0
nHBAcc,3
nHBDon,2
nHRing,0
nSpiro,0
naRing,2
piPC10,6.577317920795264
AATS0dv,10.711476909007773
AATS0pe,7.057707407407407
AATS0se,8.493797555555558
AATS1dv,10.007936507936508
AATS1pe,6.903732142857144
AATS1se,8.176034142857144
AATS2dv,9.264550264550264
AATS2pe,6.912359523809525
AATS2se,8.203494666666668
AATS3dv,6.973251028806584
AATS3pe,6.978962962962964
AATS3se,8.414569296296298
AATS4dv,6.0432098765432105
AATS4pe,6.973282000000001
AATS4se,8.48565926
AATS5dv,6.764550264550264
AATS5pe,6.8172523809523815
AATS5se,8.276252428571429
AATS6dv,5.391666666666667
AATS6pe,6.766802500000002
AATS6se,8.244307200000002
AATS7dv,4.126543209876543
AATS7pe,6.372916666666666
AATS7se,7.920257500000001
AATS8dv,5.1466666666666665
AATS8pe,6.596075999999999
AATS8se,8.12892768
AATSC0Z,16.82578875171468
AATSC0c,0.043159950822234935
AATSC0d,0.6913580246913577
AATSC0i,1.293798331644948
AATSC0m,78.05219587654321
AATSC0p,0.278493226712
AATSC0s,2.5400562913955733
AATSC0v,45.268390747405
AATSC1Z,-0.630021555947482
AATSC1c,-0.025870912119744627
AATSC1d,0.09700176366843041
AATSC1i,0.14734229287496747
AATSC1m,-2.70448179717813
AATSC1p,0.031487401372444525
AATSC1s,-0.4665786751462771
AATSC1v,3.992001785186601
AATSC2Z,0.17950225357632751
AATSC2c,0.0018605178341022921
AATSC2d,-0.14638447971781302
AATSC2i,-0.25887856761225736
AATSC2m,0.7960077425044103
AATSC2p,-0.022588999136888804
AATSC2s,0.4410198904249044
AATSC2v,-4.584645025605562
AATSC3Z,-2.3751714677640603
AATSC3c,0.007300816224816039
AATSC3d,-0.06790123456790122
AATSC3i,-0.20404166197209084
AATSC3m,-11.109910783950614
AATSC3p,-0.04888406675285184
AATSC3s,0.00783305306808384
AATSC3v,-7.870146597918867
AATSC4Z,-0.4391220850480107
AATSC4c,-0.012878841450292782
AATSC4d,-0.04617283950617286
AATSC4i,-0.006203138137054216
AATSC4m,-1.8590868498765416
AATSC4p,0.028210172394531084
AATSC4s,-0.6042784063622405
AATSC4v,-1.4811475200150768
AATSC5Z,1.2306486380560457
AATSC5c,0.007045156997637898
AATSC5d,-0.0564373897707231
AATSC5i,0.06647367023285959
