DLiP-ID,C002XO
nRing,4
piPC1,3.4339872044851463
piPC2,4.193435464866331
piPC3,4.937168142214383
piPC4,5.668371163176867
piPC5,6.359790108266689
piPC6,6.8764742132458805
piPC7,7.473552813347785
piPC8,8.072346700998194
piPC9,8.532184938985472
AATS0Z,26.88
AATS0d,4.24
AATS0i,158.9051238641597
AATS0m,106.73385123999998
AATS0p,1.7861041295516802
AATS0s,3.436666666666667
AATS0v,269.10585484301845
AATS1Z,29.178571428571427
AATS1d,4.821428571428571
AATS1i,146.43920883273572
AATS1m,113.42652642857139
AATS1p,2.0246815167857135
AATS1s,3.464285714285715
AATS1v,305.01458426938035
AATS2Z,27.266666666666666
AATS2d,4.6
AATS2i,149.84105786229338
AATS2m,104.9114722888888
AATS2p,1.8873992208888881
AATS2s,3.450617283950618
AATS2v,281.1545367507585
AATS3Z,22.333333333333332
AATS3d,3.8703703703703702
AATS3i,157.84037494773145
AATS3m,83.9141059814815
AATS3p,1.6116308644332589
AATS3s,3.242798353909465
AATS3v,233.2140636158026
AATS4Z,19.93617021276596
AATS4d,3.6595744680851063
AATS4i,159.82564082573506
AATS4m,73.2490225531915
AATS4p,1.5303643845648298
AATS4s,3.0650118203309695
AATS4v,215.31191380114328
AATS5Z,19.72972972972973
AATS5d,3.5675675675675675
AATS5i,158.19356116345529
AATS5m,73.319331027027
AATS5p,1.5285556068714863
AATS5s,2.9609609609609606
AATS5v,213.88465265238239
AATS6Z,18.566666666666666
AATS6d,3.433333333333333
AATS6i,154.0779989725033
AATS6m,67.62822386666666
AATS6p,1.5741639579899334
AATS6s,2.7833333333333328
AATS6v,216.22729216344436
AATS7Z,15.461538461538462
AATS7d,2.8846153846153846
AATS7i,159.00900656709217
AATS7m,54.90754676923076
AATS7p,1.3504433822844617
AATS7s,2.6089743589743586
AATS7v,178.96984059602812
AATS8Z,12.368421052631579
AATS8d,2.3684210526315788
AATS8i,165.85280126532356
AATS8m,41.12555347368419
AATS8p,1.1804148628708948
AATS8s,2.543859649122807
AATS8v,149.89807524327392
AMID_C,1.6457402896503004
AMID_N,0.4875414044318609
AMID_O,0.0
AMID_X,0.0
AMID_h,0.4875414044318609
ATS0dv,250.0
ATS0pe,160.2189
ATS0se,192.58096400000002
ATS1dv,290.0
ATS1pe,186.00400000000005
ATS1se,218.75425600000005
ATS2dv,425.0
ATS2pe,298.2216000000001
ATS2se,352.3031240000001
ATS3dv,390.0
ATS3pe,349.23660000000007
ATS3se,419.72545199999996
ATS4dv,297.0
ATS4pe,300.8092
ATS4se,363.78209599999997
ATS5dv,227.0
ATS5pe,231.71019999999996
ATS5se,281.849408
ATS6dv,153.0
ATS6pe,185.70200000000003
ATS6se,226.20971200000005
ATS7dv,96.0
ATS7pe,157.07400000000004
ATS7se,194.08809599999995
ATS8dv,45.0
ATS8pe,114.66100000000002
ATS8se,142.83432000000002
ATSC0Z,152.16
ATSC0c,0.42215424172002874
ATSC0d,13.839999999999996
ATSC0i,46.15589212685853
ATSC0m,728.2080719999999
ATSC0p,5.102732455178559
ATSC0s,10.226666666666667
ATSC0v,1116.731417187274
ATSC1Z,8.420800000000012
ATSC1c,-0.22662845102379345
ATSC1d,3.9791999999999983
ATSC1i,-8.312923667152019
ATSC1m,40.74070767999997
ATSC1p,-0.09322537516638588
ATSC1s,-1.7971999999999997
ATSC1v,29.33359928454361
ATSC2Z,-7.8479999999999706
ATSC2c,-0.017839783735238108
ATSC2d,-1.5119999999999982
ATSC2i,-15.377652661250718
ATSC2m,-40.068024000000044
ATSC2p,-1.2608480391226864
ATSC2s,-0.22022222222222182
ATSC2v,-205.50492011129023
ATSC3Z,-14.985599999999991
ATSC3c,-0.015824975027859345
ATSC3d,-2.8143999999999996
ATSC3i,-6.1086123599458455
ATSC3m,-69.81784896000003
ATSC3p,-0.2247052205010494
ATSC3s,-0.40848888888888907
ATSC3v,-48.64853106532727
ATSC4Z,-55.6208
ATSC4c,0.03301304773496038
ATSC4d,-2.2592000000000003
ATSC4i,10.937826916911476
ATSC4m,-264.55750387999996
ATSC4p,-0.4054597060101333
ATSC4s,-3.937244444444444
ATSC4v,-225.96358112848966
ATSC5Z,17.363199999999996
ATSC5c,0.07030004787554396
ATSC5d,-2.323200000000001
ATSC5i,8.465230278322814
ATSC5m,81.05809252000002
ATSC5p,0.34791988004921093
ATSC5s,2.916755555555555
ATSC5v,68.3897409297983
ATSC6Z,-36.712
ATSC6c,-0.09047731443401152
ATSC6d,-3.368000000000001
ATSC6i,-6.194998703391477
ATSC6m,-176.05800999999994
ATSC6p,-1.089500960599472
ATSC6s,-2.572
ATSC6v,-260.4692330989735
ATSC7Z,-5.846400000000009
ATSC7c,0.05733187903466922
ATSC7d,-3.8736000000000015
ATSC7i,-11.171843392618172
ATSC7m,-29.80977743999997
ATSC7p,-0.9203298149829826
ATSC7s,1.260933333333333
ATSC7v,-150.42704252056555
ATSC8Z,-26.56160000000001
ATSC8c,-0.03194477617568467
ATSC8d,-0.15840000000000115
ATSC8i,-0.7590637382818092
ATSC8m,-125.64264115999998
ATSC8p,-0.31841843223702626
ATSC8s,-1.7322666666666666
ATSC8v,-109.47627733165373
AXp-0d,0.6613103651876342
AXp-1d,0.4199489742783179
AXp-2d,0.2661602649674553
AXp-3d,0.17004037243314854
AXp-4d,0.10801789447286124
AXp-5d,0.06868939401545261
AXp-6d,0.044225062783099345
AXp-7d,0.028633116887094478
GATS1Z,0.6168319062640829
GATS1c,1.4376625252253283
GATS1d,0.6193228736581339
GATS1i,1.1596040716369156
GATS1m,0.6169595706274614
GATS1p,0.8257624757340178
GATS1s,0.869575339914323
GATS1v,0.7195130621099322
GATS2Z,0.7606028741675429
GATS2c,1.0345319353681313
GATS2d,1.021194605009634
GATS2i,1.195374333532808
GATS2m,0.7619361919587914
GATS2p,0.9596989722083522
GATS2s,0.8489062726350863
GATS2v,0.8716960038082326
GATS3Z,0.969739455543872
GATS3c,1.0348004966828892
GATS3d,1.059730250481696
GATS3i,1.0698620994933226
GATS3m,0.9666597180421745
GATS3p,0.9282724448238178
GATS3s,1.0882949442271477
GATS3v,0.9159710346793754
GATS4Z,1.1645076850795355
GATS4c,0.983224142287377
GATS4d,1.051531176977002
GATS4i,0.8783231239256217
GATS4m,1.1614936954389388
GATS4p,0.9783761852733943
GATS4s,1.2864434519681547
GATS4v,1.041327368001902
GATS5Z,0.9314519566885497
GATS5c,0.7866468291234852
GATS5d,1.1482580846742698
GATS5i,0.8190852072274878
GATS5m,0.9338210956767254
GATS5p,0.9499597545327622
GATS5s,0.798125374396561
GATS5v,0.9663223121534373
GATS6Z,1.1487907465825447
GATS6c,0.9441337955335594
GATS6d,1.1271676300578037
GATS6i,1.0102050889139016
GATS6m,1.1517126846679615
GATS6p,1.1716170305904066
GATS6s,1.0408518035636682
GATS6v,1.1917975183225726
GATS7Z,1.1404998786702256
GATS7c,0.7324725212930211
GATS7d,1.2338817252112053
GATS7i,1.1022004007475856
GATS7m,1.1450718193167104
GATS7p,1.2438609930612565
GATS7s,0.7709858589910743
GATS7v,1.240585337476611
GATS8Z,1.4361613813714096
GATS8c,1.2212113130656714
GATS8d,0.8214177061149986
GATS8i,0.9396893506094414
GATS8m,1.4331289480824738
GATS8p,1.1698831121574989
GATS8s,1.274617443216908
GATS8v,1.2739258063867507
MATS1Z,0.04941227279555362
MATS1c,-0.47931966867560194
MATS1d,0.2567093311312964
MATS1i,-0.16080835906806787
MATS1m,0.049952250264458535
MATS1p,-0.01631222934848773
MATS1s,-0.15690771093313463
MATS1v,0.023453010494574274
MATS2Z,-0.02865404837013659
MATS2c,-0.023477179629037358
MATS2d,-0.06069364161849706
MATS2i,-0.18509316955418956
MATS2m,-0.030568204595970698
MATS2p,-0.13727373304376495
MATS2s,-0.011963397556617872
MATS2v,-0.10223532561606251
MATS3Z,-0.04559527982240913
MATS3c,-0.017354740527684872
MATS3d,-0.09414472275743953
MATS3i,-0.061271944868486944
MATS3m,-0.04438714629109775
MATS3p,-0.020387154449149236
MATS3s,-0.0184923624189161
MATS3v,-0.020168204940922408
MATS4Z,-0.19443698682238186
MATS4c,0.04159648308250546
MATS4d,-0.08682818841470917
MATS4i,0.12605092812245344
MATS4m,-0.19324432389965993
MATS4p,-0.04226560147583161
MATS4s,-0.2047860782083645
MATS4v,-0.10762963445589667
MATS5Z,0.0771023389319919
MATS5c,0.11251819276955738
MATS5d,-0.11341977815966263
MATS5i,0.1239224273324701
MATS5m,0.07521062116492502
MATS5p,0.046069630751397965
MATS5s,0.1927099850828664
MATS5v,0.04137904934063179
MATS6Z,-0.2010602874167543
MATS6c,-0.17860240304856745
MATS6d,-0.2027938342967246
MATS6i,-0.1118491850467081
MATS6m,-0.20147402092150019
MATS6p,-0.17792770346891645
MATS6s,-0.20958279009126468
MATS6v,-0.1943687541233958
MATS7Z,-0.03694491628245577
MATS7c,0.13058451465392343
MATS7d,-0.2691196087149846
MATS7i,-0.23273642027678945
MATS7m,-0.03936134278179426
MATS7p,-0.17342326335542663
MATS7s,0.11855631330859491
MATS7v,-0.12952208992500228
MATS8Z,-0.22968897005921754
MATS8c,-0.09956692620191632
MATS8d,-0.01505932461210842
MATS8i,-0.021639015749960962
MATS8m,-0.22702201615283732
MATS8p,-0.08210730722111653
MATS8s,-0.22287792492966446
MATS8v,-0.12899049056391576
MAXaaN,4.597129629629629
MINaaN,4.225566578483245
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,23.420180517447516
SpAD_D,115.69628940774004
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,804
TMWC10,110.62331618381026
TSRW10,64.18930439596002
VE1_Dt,4.121797129503033
VE2_Dt,0.242458654676649
VE3_Dt,1.9469175157988947
VR1_Dt,82.86970932654187
VR2_Dt,4.874688783914228
VR3_Dt,4.947897858333307
Xc-3dv,0.39491739583265467
Xc-4dv,0.0
Xc-5dv,0.051967233145831584
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.3611111111111111
Xch-7d,0.5872714206889289
Xp-0dv,8.883092670827256
Xp-1dv,5.396958820660746
Xp-2dv,3.9729290920071403
Xp-3dv,2.880103817871217
Xp-4dv,2.0514592206724154
Xp-5dv,1.4118463563493913
Xp-6dv,0.7903400385837516
Xp-7dv,0.4962452796277119
Xpc-4d,2.6554184420836267
Xpc-5d,4.338378631672068
Xpc-6d,6.786287572096286
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,28
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,2
nSpiro,0
naRing,4
piPC10,8.833920290718154
AATS0dv,10.0
AATS0pe,6.4087559999999995
AATS0se,7.703238560000001
AATS1dv,10.357142857142858
AATS1pe,6.643000000000002
AATS1se,7.812652000000002
AATS2dv,9.444444444444445
AATS2pe,6.627146666666668
AATS2se,7.828958311111113
AATS3dv,7.222222222222222
AATS3pe,6.4673444444444455
AATS3se,7.772693555555555
AATS4dv,6.319148936170213
AATS4pe,6.40019574468085
AATS4se,7.74004459574468
AATS5dv,6.135135135135135
AATS5pe,6.262437837837837
AATS5se,7.617551567567567
AATS6dv,5.1
AATS6pe,6.1900666666666675
AATS6se,7.540323733333335
AATS7dv,3.6923076923076925
AATS7pe,6.041307692307694
AATS7se,7.464926769230767
AATS8dv,2.3684210526315788
AATS8pe,6.034789473684211
AATS8se,7.517595789473686
AATSC0Z,6.0864
AATSC0c,0.01688616966880115
AATSC0d,0.5535999999999999
AATSC0i,1.8462356850743413
AATSC0m,29.128322879999995
AATSC0p,0.20410929820714238
AATSC0s,0.4090666666666667
AATSC0v,44.66925668749096
AATSC1Z,0.3007428571428576
AATSC1c,-0.008093873250849766
AATSC1d,0.14211428571428567
AATSC1i,-0.29689013096971495
AATSC1m,1.4550252742857133
AATSC1p,-0.003329477684513781
AATSC1s,-0.06418571428571428
AATSC1v,1.0476285458765575
AATSC2Z,-0.17439999999999933
AATSC2c,-0.00039643963856084684
AATSC2d,-0.03359999999999996
AATSC2i,-0.3417256146944604
AATSC2m,-0.8904005333333344
AATSC2p,-0.028018845313837474
AATSC2s,-0.004893827160493818
AATSC2v,-4.566776002473116
AATSC3Z,-0.27751111111111093
AATSC3c,-0.0002930550931085064
AATSC3d,-0.05211851851851851
AATSC3i,-0.11312245111010825
AATSC3m,-1.2929231288888896
AATSC3p,-0.0041612077870564704
AATSC3s,-0.007564609053497946
AATSC3v,-0.9008987234319865
AATSC4Z,-1.1834212765957448
AATSC4c,0.0007024052709566039
AATSC4d,-0.04806808510638298
AATSC4i,0.23271972163641438
AATSC4m,-5.6288830612765945
AATSC4p,-0.00862680225553475
AATSC4s,-0.08377115839243499
AATSC4v,-4.80773576869127
AATSC5Z,0.4692756756756756
AATSC5c,0.0019000012939336206
AATSC5d,-0.06278918918918922
AATSC5i,0.22879000752223821
AATSC5m,2.1907592572972976
AATSC5p,0.009403240001330025
AATSC5s,0.07883123123123122
AATSC5v,1.848371376481035
AATSC6Z,-1.2237333333333333
AATSC6c,-0.0030159104811337176
AATSC6d,-0.11226666666666671
AATSC6i,-0.2064999567797159
AATSC6m,-5.868600333333331
AATSC6p,-0.03631669868664907
AATSC6s,-0.08573333333333334
