DLiP-ID,T000TW
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.7163999999999993
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.43372200355424
SRW05,3.044522437723423
SRW06,6.951772164398911
SRW07,5.1298987149230735
SRW08,8.569595870209286
SRW09,6.951772164398911
SRW10,10.247112717290387
SaaCH,19.575749625454712
SaaNH,5.568000804877609
SaaSe,0
SaaaC,4.145431416393719
SaasC,2.652222064751827
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.4242820924666155
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.33373749036332
VE1_D,5.0093936659928735
VE2_A,0.16668221116782
VE2_D,0.19266898715357206
VE3_A,2.4219417764786866
VE3_D,2.566826328048202
VR1_A,262.9348269291669
VR1_D,164.6898524713903
VR2_A,10.112877958814112
VR2_D,6.3342250950534735
VR3_A,6.527417640143156
VR3_D,6.059575468117356
WPath,1611
Xc-3d,1.3470804841064383
Xc-4d,0.0
Xc-5d,0.27497165237684323
Xc-6d,0.0
Xp-0d,17.346724214874865
Xp-1d,12.865305980755146
Xp-2d,11.473609112054284
Xp-3d,10.107171080783905
Xp-4d,8.82791137350431
Xp-5d,6.918390905999038
Xp-6d,5.252439097191229
Xp-7d,4.3004534655399755
ZMIC0,89.41435355103371
ZMIC1,59.25909132695
ZMIC2,40.45147375836237
ZMIC3,38.46516004449754
ZMIC4,38.46516004449754
ZMIC5,38.46516004449754
nAcid,0
nAtom,40
nBase,0
nRing,5
piPC1,3.784189633918261
piPC2,4.465908118654584
piPC3,5.1387352967235715
piPC4,5.814503596556124
piPC5,6.391393525758252
piPC6,6.889018333645173
piPC7,7.45822220052022
piPC8,8.008651416015358
piPC9,8.523544851845102
AATS0Z,26.35
AATS0d,3.95
AATS0i,164.02665101098717
AATS0m,104.51368665
AATS0p,1.65261951669715
AATS0s,3.430555555555556
AATS0v,250.12475098236064
AATS1Z,28.795454545454547
AATS1d,4.545454545454546
AATS1i,153.35448870486815
AATS1m,111.38650177272729
AATS1p,1.8972870977272729
AATS1s,3.601010101010101
AATS1v,287.16055736436107
AATS2Z,26.17142857142857
AATS2d,4.371428571428571
AATS2i,153.12107102335432
AATS2m,99.96357751428569
AATS2p,1.7892393234285713
AATS2s,3.404761904761905
AATS2v,264.6905445997116
AATS3Z,20.91860465116279
AATS3d,3.7906976744186047
AATS3i,159.9117065274017
AATS3m,77.73492324418604
AATS3p,1.5374197513249184
AATS3s,3.018733850129199
AATS3v,219.01235504267373
AATS4Z,20.833333333333332
AATS4d,3.738095238095238
AATS4i,160.51011224982133
AATS4m,77.49729921428572
AATS4p,1.5118681297475236
AATS4s,3.0330687830687837
AATS4v,216.23256569281793
AATS5Z,22.253012048192772
AATS5d,3.783132530120482
AATS5i,161.013835513836
AATS5m,84.25900030120482
AATS5p,1.515390989134795
AATS5s,3.1810575635876845
AATS5v,220.07882811374336
AATS6Z,22.9
AATS6d,3.725
AATS6i,161.5876935448625
AATS6m,85.87428380000001
AATS6p,1.5500179829924499
AATS6s,3.3402777777777772
AATS6v,227.38992682277149
AATS7Z,19.451219512195124
AATS7d,3.3658536585365852
AATS7i,162.40495572235662
AATS7m,70.95301006097561
AATS7p,1.448577585417622
AATS7s,3.037940379403795
AATS7v,204.08598475287008
AATS8Z,17.05263157894737
AATS8d,3.0
AATS8i,163.37123334920125
AATS8m,61.32902960526315
AATS8p,1.3468136490590787
AATS8s,2.8048245614035086
AATS8v,184.05279661199071
AMID_C,1.4822938072760177
AMID_N,0.6281923373872481
AMID_O,0.0
AMID_X,0.0
AMID_h,0.6281923373872481
ATS0dv,382.0
ATS0pe,258.7378
ATS0se,311.40087199999994
ATS1dv,438.0
ATS1pe,298.6393
ATS1se,350.7926319999999
ATS2dv,608.0
ATS2pe,465.44540000000006
ATS2se,550.96804
ATS3dv,564.0
ATS3pe,553.2629000000001
ATS3se,667.6166359999999
ATS4dv,576.0
ATS4pe,539.9001999999999
ATS4se,652.1579119999999
ATS5dv,620.0
ATS5pe,535.6370000000001
ATS5se,645.7283239999999
ATS6dv,564.0
ATS6pe,529.4792000000001
ATS6se,633.3730880000003
ATS7dv,448.0
ATS7pe,528.3407
ATS7se,639.1901800000002
ATS8dv,338.0
ATS8pe,475.2732
ATS8se,581.962664
ATSC0Z,261.90000000000003
ATSC0c,0.7472635647173711
ATSC0d,21.1
ATSC0i,75.47678038184586
ATSC0m,1250.1855170999997
ATSC0p,8.035584248125899
ATSC0s,17.044444444444448
ATSC0v,1788.9234203957799
ATSC1Z,11.209999999999997
ATSC1c,-0.4095879533956662
ATSC1d,6.489999999999999
ATSC1i,13.579950230963988
ATSC1m,54.44388088999975
ATSC1p,0.94592997597601
ATSC1s,-0.5600000000000035
ATSC1v,156.0732587355227
ATSC2Z,-21.425000000000015
ATSC2c,0.0966707040048322
ATSC2d,-2.025000000000004
ATSC2i,-6.08302840079004
ATSC2m,-108.38586102500025
ATSC2p,-1.7579145329400248
ATSC2s,0.8666666666666627
ATSC2v,-365.58643285057155
ATSC3Z,-40.185
ATSC3c,0.11119146222349899
ATSC3d,-1.2650000000000021
ATSC3i,9.654215523423108
ATSC3m,-192.13439596500007
ATSC3p,-0.3995836422188852
ATSC3s,-3.1622222222222223
ATSC3v,-191.2739731546314
ATSC4Z,-21.99000000000001
ATSC4c,-0.46916102102939683
ATSC4d,2.0899999999999994
ATSC4i,-10.654511106949892
ATSC4m,-102.86695581000006
ATSC4p,-0.4756371443578898
ATSC4s,-2.4488888888888893
ATSC4v,-93.83432859964395
ATSC5Z,108.60750000000002
ATSC5c,0.47865862297301426
ATSC5d,-1.3325000000000018
ATSC5i,-4.731289572964894
ATSC5m,513.2057877674998
ATSC5p,0.8774531615441079
ATSC5s,9.574444444444444
ATSC5v,393.65621665846254
ATSC6Z,-54.80000000000001
ATSC6c,-0.18425613154254566
ATSC6d,-9.100000000000001
ATSC6i,-20.385736205358395
ATSC6m,-257.56963040000016
ATSC6p,-1.1476116797583997
ATSC6s,-4.333333333333338
ATSC6v,-250.3061471283738
ATSC7Z,-118.695
ATSC7c,-0.0043020636511478215
ATSC7d,-9.455000000000002
ATSC7i,-10.42224076089889
ATSC7m,-563.963686455
ATSC7p,-2.170515418892895
ATSC7s,-7.768888888888889
ATSC7v,-610.5787762841474
ATSC8Z,-47.010000000000005
ATSC8c,0.11670750682673495
ATSC8d,-7.689999999999999
ATSC8i,-8.811157105022799
ATSC8m,-225.28067408999996
ATSC8p,-1.40246552979481
ATSC8s,-2.228888888888886
ATSC8v,-331.5807973443531
AXp-0d,0.6671817005721101
AXp-1d,0.42884353269183817
AXp-2d,0.27318116933462583
AXp-3d,0.1742615703583432
AXp-4d,0.11034889216880388
AXp-5d,0.06782736182351998
AXp-6d,0.04305277948517401
AXp-7d,0.027925022503506335
GATS1Z,0.6836405290013536
GATS1c,1.556719348221706
GATS1d,0.6301163291684617
GATS1i,0.9708879482911155
GATS1m,0.6828936847442895
GATS1p,0.7756588321721432
GATS1s,0.8002696456086285
GATS1v,0.7187432376911808
GATS2Z,0.8083783341515299
GATS2c,0.8770381789372853
GATS2d,1.1090047393364928
GATS2i,1.1301003814789243
GATS2m,0.812243763708257
GATS2p,1.0435964312195118
GATS2s,0.7690677966101694
GATS2v,0.9657585112579744
GATS3Z,0.9921681451290657
GATS3c,0.8913972035269097
GATS3d,1.1176016753003415
GATS3i,0.9421873169314176
GATS3m,0.9926860998586493
GATS3p,0.9870626294351169
GATS3s,1.0184272763106028
GATS3v,0.9958030612762153
GATS4Z,0.975017727595047
GATS4c,1.2695388384767177
GATS4d,1.012186865267434
GATS4i,1.0628492631172004
GATS4m,0.9743198967700519
GATS4p,0.9899588284877575
GATS4s,1.023002421307506
GATS4v,0.9739627515259905
GATS5Z,0.7481472280876081
GATS5c,0.5967174038639547
GATS5d,1.1579969165762576
GATS5i,1.0252701202848455
GATS5m,0.7500307569342863
GATS5p,0.910113919061163
GATS5s,0.7542883397998773
GATS5v,0.8474001552625828
GATS6Z,1.0014318442153491
GATS6c,1.1094533102678727
GATS6d,1.1783175355450235
GATS6i,1.1894761305528454
GATS6m,0.9976155701820042
GATS6p,0.9681492132466141
GATS6s,1.1885593220338981
GATS6v,0.9408618544325466
GATS7Z,1.1731344117564886
GATS7c,1.0366664070651075
GATS7d,1.1495780834585596
GATS7i,1.0667178407308537
GATS7m,1.1711914690957943
GATS7p,1.0766575952092199
GATS7s,1.21615336916081
GATS7v,1.1043952715955592
GATS8Z,1.120757219509254
GATS8c,0.928318605171835
GATS8d,1.1187328510850585
GATS8i,0.9932904786801987
GATS8m,1.1216673912357835
GATS8p,1.0961909554438765
GATS8s,1.0286574487065117
GATS8v,1.119712869386362
MATS1Z,0.03891145128258529
MATS1c,-0.49828829142229325
MATS1d,0.27962085308056867
MATS1i,0.16356565871542855
MATS1m,0.039589674088960095
MATS1p,0.10701603209460864
MATS1s,-0.029868436648097844
MATS1v,0.07931294266205456
MATS2Z,-0.046746304478263265
MATS2c,0.07392358586273169
MATS2d,-0.05484089370345304
MATS2i,-0.04605411374779512
MATS2m,-0.049540469699440245
MATS2p,-0.12500927863281663
MATS2s,0.029055690072639088
MATS2v,-0.11677779533528113
MATS3Z,-0.0713657795892272
MATS3c,0.06920845818741446
MATS3d,-0.02788493331863776
MATS3i,0.059492903365445965
MATS3m,-0.07148125946927768
MATS3p,-0.023128729798251906
MATS3s,-0.08629210757708981
MATS3v,-0.04973082562521893
MATS4Z,-0.03998254513718432
MATS4c,-0.29897083246457534
MATS4d,0.047167682238772275
MATS4i,-0.06722036488476811
MATS4m,-0.03918159665219546
MATS4p,-0.02818636097536852
MATS4s,-0.06841745824796672
MATS4v,-0.024977599996422677
MATS5Z,0.1998509501925227
MATS5c,0.30869811581416146
MATS5d,-0.0304345343459145
MATS5i,-0.03020981474965679
MATS5m,0.19783311125222233
MATS5p,0.05262454856519692
MATS5s,0.27071519454611137
MATS5v,0.10604916744368174
MATS6Z,-0.10462008400152731
MATS6c,-0.12328724444917553
MATS6d,-0.2156398104265403
MATS6i,-0.13504640832733306
MATS6m,-0.10301256368633717
MATS6p,-0.07140810452121461
MATS6s,-0.12711864406779674
MATS6v,-0.06995999501001454
MATS7Z,-0.2210767468499427
MATS7c,-0.0028083366214970906
MATS7d,-0.21858744653797252
MATS7i,-0.0673587275138746
MATS7m,-0.2200507312972791
MATS7p,-0.13176241783078593
MATS7s,-0.22234235380163447
MATS7v,-0.16649304386577238
MATS8Z,-0.09447157412431423
MATS8c,0.0821999177977458
MATS8d,-0.19181840858069338
MATS8i,-0.06144208966579297
MATS8m,-0.09484094497581516
MATS8p,-0.09185887792735634
MATS8s,-0.06882591093117398
MATS8v,-0.09755376174235399
MAXaaN,4.353581349206349
MINaaN,4.1302423154880765
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,35.48634213286316
SpAD_D,257.87511043841585
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1249
TMWC10,132.71087376689897
TSRW10,76.43926993667155
VE1_Dt,5.074693041611361
VE2_Dt,0.19518050160043698
VE3_Dt,2.5797774837144773
VR1_Dt,156.7555107430736
VR2_Dt,6.0290581055028305
VR3_Dt,6.010198780178152
Xc-3dv,0.5519070777126431
Xc-4dv,0.0
Xc-5dv,0.08088597232950626
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.28867513459481287
Xch-6d,0.398568589676376
Xch-7d,0.53555455070099
Xp-0dv,13.562357073896093
Xp-1dv,8.095058799114671
Xp-2dv,5.811109290856202
Xp-3dv,4.1405243548093065
Xp-4dv,2.9269542317847987
Xp-5dv,1.9184465078397845
Xp-6dv,1.1697879023960103
Xp-7dv,0.7593268304314914
Xpc-4d,3.460534050469326
Xpc-5d,5.860029225042553
Xpc-6d,9.17657437922923
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,44
nFRing,1
nHBAcc,6
nHBDon,4
nHRing,3
nSpiro,0
naRing,5
piPC10,8.82107939769141
AATS0dv,9.55
AATS0pe,6.468445
AATS0se,7.785021799999998
AATS1dv,9.954545454545455
AATS1pe,6.787256818181818
AATS1se,7.972559818181816
AATS2dv,8.685714285714285
AATS2pe,6.649220000000001
AATS2se,7.870971999999999
AATS3dv,6.558139534883721
AATS3pe,6.433289534883722
AATS3se,7.762984139534882
AATS4dv,6.857142857142857
AATS4pe,6.427383333333332
AATS4se,7.763784666666665
AATS5dv,7.469879518072289
AATS5pe,6.453457831325302
AATS5se,7.779859325301204
AATS6dv,7.05
AATS6pe,6.618490000000001
AATS6se,7.917163600000004
AATS7dv,5.463414634146342
AATS7pe,6.443179268292683
AATS7se,7.7950021951219535
AATS8dv,4.447368421052632
AATS8pe,6.253594736842105
AATS8se,7.6574034736842105
AATSC0Z,6.547500000000001
AATSC0c,0.01868158911793428
AATSC0d,0.5275000000000001
AATSC0i,1.8869195095461464
AATSC0m,31.254637927499992
AATSC0p,0.20088960620314747
AATSC0s,0.4261111111111112
AATSC0v,44.723085509894496
AATSC1Z,0.2547727272727272
AATSC1c,-0.009308817122628777
AATSC1d,0.1475
AATSC1i,0.30863523252190883
AATSC1m,1.237360929318176
AATSC1p,0.02149840854490932
AATSC1s,-0.012727272727272807
AATSC1v,3.547119516716425
AATSC2Z,-0.30607142857142877
AATSC2c,0.0013810100572118887
AATSC2d,-0.028928571428571484
AATSC2i,-0.086900405725572
AATSC2m,-1.5483694432142894
AATSC2p,-0.02511306475628607
AATSC2s,0.012380952380952324
AATSC2v,-5.222663326436736
AATSC3Z,-0.46726744186046515
AATSC3c,0.0012929239793430115
AATSC3d,-0.01470930232558142
AATSC3i,0.11225832003980359
AATSC3m,-2.2341208833139543
AATSC3p,-0.004646321421149828
AATSC3s,-0.03677002583979328
AATSC3v,-2.2241159669143187
AATSC4Z,-0.2617857142857144
AATSC4c,-0.005585250250349962
AATSC4d,0.024880952380952375
AATSC4i,-0.12683941793987966
AATSC4m,-1.224606616785715
AATSC4p,-0.005662346956641545
AATSC4s,-0.02915343915343916
AATSC4v,-1.1170753404719518
AATSC5Z,1.3085240963855425
AATSC5c,0.005766971361120653
AATSC5d,-0.0160542168674699
AATSC5i,-0.05700348883090233
AATSC5m,6.183202262259034
AATSC5p,0.010571724837880818
AATSC5s,0.11535475234270413
AATSC5v,4.742845983836898
AATSC6Z,-0.6850000000000002
AATSC6c,-0.002303201644281821
AATSC6d,-0.11375000000000002
AATSC6i,-0.25482170256697995
