DLiP-ID,T004LG
Sse,47.17953386744357
StN,0
fMF,0.34782608695652173
nBr,0
nCl,1
AMID,1.9813964636157095
BIC0,0.29592520494653474
BIC1,0.6393677753238769
BIC2,0.7807718112695997
BIC3,0.8706129071621725
BIC4,0.8780996651532202
BIC5,0.8780996651532202
CIC0,3.8050192605498494
CIC1,1.8105263590248764
CIC2,0.9893429348766727
CIC3,0.4676038044418904
CIC4,0.4241255435723259
CIC5,0.4241255435723259
GGI1,6.5
GGI2,3.333333333333335
GGI3,1.75
GGI4,1.5644444444444447
GGI5,0.9444444444444445
GGI6,0.7118367346938776
GGI7,0.46701388888888884
GGI8,0.23406399596875782
GGI9,0.19250000000000006
JGI1,0.2321428571428571
JGI2,0.08771929824561406
JGI3,0.04487179487179487
JGI4,0.044698412698412696
JGI5,0.026234567901234566
JGI6,0.021570810142238713
JGI7,0.016103927203065135
JGI8,0.009752666498698243
JGI9,0.009166666666666667
MIC0,19.439278668448623
MIC1,37.33534890417113
MIC2,44.97498263364582
MIC3,45.979286981471915
MIC4,46.02311306842843
MIC5,46.02311306842843
MPC2,38
MPC3,45
MPC4,51
MPC5,61
MPC6,56
MPC7,60
MPC8,64
MPC9,61
Mare,1.0066956521739134
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.172881880210676
RPCG,0.149273856232993
SIC0,0.31112943227198686
SIC1,0.672217606423425
SIC2,0.8208867859639409
SIC3,0.9153437929796141
SIC4,0.92321521023092
SIC5,0.92321521023092
SaaN,0
SaaO,0
SaaS,0
Sare,46.308000000000014
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,5.9703274416967425
SsLi,0
SsOH,9.411706968676665
SsSH,0
SssO,5.105061646374257
SssS,0
StCH,0
StsC,0
TIC0,79.05296399332953
TIC1,170.7996374634783
TIC2,208.57407497429566
TIC3,232.57407497429563
TIC4,234.5740749742956
TIC5,234.5740749742956
Vabc,348.0948537586694
WPol,39
apol,52.78906699999999
bpol,26.190932999999998
nRot,6
ABCGG,16.66355938484753
ATS0Z,1410.0
ATS0d,151.0
ATS0i,7440.424136620131
ATS0m,5689.258118000002
ATS0p,71.82516519213097
ATS0s,289.7830742264899
ATS0v,10709.965467103186
ATS1Z,1293.0
ATS1d,181.0
ATS1i,6898.9894213907455
ATS1m,4964.256749000003
ATS1p,85.68253355600004
ATS1s,170.85390946502056
ATS1v,12779.197537788703
ATS2Z,1900.0
ATS2d,270.0
ATS2i,11936.656661969337
ATS2m,7228.041879999999
ATS2p,123.65181218394297
ATS2s,305.517489711934
ATS2v,17957.479407066163
ATS3Z,2155.0
ATS3d,298.0
ATS3i,15357.300335035283
ATS3m,7990.70715
ATS3p,143.8749498247919
ATS3s,360.52674897119334
ATS3v,20358.52307737789
ATS4Z,2095.0
ATS4d,284.0
ATS4i,18042.650407375662
ATS4m,7602.622773999997
ATS4p,132.69930085898
ATS4s,417.1111111111111
ATS4v,18928.837785767555
ATS5Z,1885.0
ATS5d,264.0
ATS5i,14518.486682630317
ATS5m,6950.361056999998
ATS5p,123.73191563903698
ATS5s,422.1244855967079
ATS5v,17910.556217267578
ATS6Z,1837.0
ATS6d,252.0
ATS6i,14591.325281088133
ATS6m,6669.187483
ATS6p,129.22065990394302
ATS6s,361.82921810699577
ATS6v,18241.52324417143
ATS7Z,1811.0
ATS7d,236.0
ATS7i,15890.61091834196
ATS7m,6591.809519999999
ATS7p,121.666204135829
ATS7s,346.3446502057611
ATS7v,16630.659348418
ATS8Z,1391.0
ATS8d,203.0
ATS8i,13016.875817560616
ATS8m,5056.251606000001
ATS8p,98.54479475098
ATS8s,281.4506172839506
ATS8v,13430.731186030089
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,10
C2SP3,2
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.21052631578947367
GGI10,0.17743087440057137
JGI10,0.009338467073714283
JGT10,0.5015994684442964
Kier1,23.28061224489796
Kier2,11.253462603878116
Kier3,7.395555555555555
MAXdO,12.288775838523453
MID_C,38.78066469600667
MID_N,4.002243006853821
MID_O,8.947022578441144
MID_X,1.7677742363225335
MID_h,14.717039821617497
MINdO,11.515466585838334
MPC10,58
MWC01,28.0
MWC02,4.890349128221754
MWC03,5.700443573390687
MWC04,6.546785410760524
MWC05,7.377133712833954
MWC06,8.22282213081366
MWC07,9.06009870864564
MWC08,9.90593455617918
MWC09,10.746239381075412
MWC10,11.592540388849631
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.826100000000001
SRW02,4.04305126783455
SRW03,0.0
SRW04,5.342334251964811
SRW05,0.0
SRW06,6.818924065275521
SRW07,0.0
SRW08,8.371242135931933
SRW09,0.0
SRW10,9.96114306502429
SaaCH,12.787720218303651
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.4430562978793238
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.248875477031312
SdssS,0
SsCH3,3.1306203324339354
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.4688695165598125
SssPH,0
SssSe,0
SsssB,0
SsssN,1.2902921113121675
SsssP,0
VE1_A,4.59510020075821
VE1_D,5.115416127463958
VE2_A,0.17018889632437814
VE2_D,0.1894598565727392
VE3_A,2.5182423350563914
VE3_D,2.625510523447693
VR1_A,203.71962939069925
VR1_D,156.83996293337867
VR2_A,7.545171458914787
VR2_D,5.808887516051062
VR3_A,6.309996455815821
VR3_D,6.048477714100407
WPath,2118
Xc-3d,2.0847711684716983
Xc-4d,0.0
Xc-5d,0.5948190167920578
Xc-6d,0.0
Xp-0d,19.974327015758657
Xp-1d,12.773764703227073
Xp-2d,11.722134967708325
Xp-3d,8.971669284590096
Xp-4d,6.412185556879632
Xp-5d,5.1393561452431245
Xp-6d,3.0068152302418407
Xp-7d,2.0673223780863745
ZMIC0,88.79163688566581
ZMIC1,49.61460606175553
ZMIC2,30.617107132349005
ZMIC3,27.300692151919378
ZMIC4,27.147493806003858
ZMIC5,27.147493806003858
nAcid,1
nAtom,46
nBase,0
nRing,2
piPC1,3.6375861597263857
piPC2,4.1588830833596715
piPC3,4.584967478670572
piPC4,5.002267044425739
piPC5,5.4706938008085935
piPC6,5.422192916203578
piPC7,5.656974719215482
piPC8,5.854803261474531
piPC9,5.912742581453936
AATS0Z,30.652173913043477
AATS0d,3.282608695652174
AATS0i,161.74835079608982
AATS0m,123.67952430434786
AATS0p,1.5614166346115428
AATS0s,6.2996320484019535
AATS0v,232.8253362413736
AATS1Z,27.51063829787234
AATS1d,3.851063829787234
AATS1i,146.78700896576055
AATS1m,105.62248402127666
AATS1p,1.8230326288510645
AATS1s,3.635189563085544
AATS1v,271.8978199529511
AATS2Z,24.675324675324674
AATS2d,3.5064935064935066
AATS2i,155.02151509051086
AATS2m,93.87067376623375
AATS2p,1.605867690700558
AATS2s,3.9677596066484933
AATS2v,233.21401827358653
AATS3Z,21.767676767676768
AATS3d,3.01010101010101
AATS3i,155.1242458084372
AATS3m,80.71421363636364
AATS3p,1.4532823214625445
AATS3s,3.641684333042357
AATS3v,205.64164724624132
AATS4Z,19.045454545454547
AATS4d,2.581818181818182
AATS4i,164.02409461250602
AATS4m,69.11475249090905
AATS4p,1.2063572805361817
AATS4s,3.7919191919191917
AATS4v,172.08034350697778
AATS5Z,20.714285714285715
AATS5d,2.901098901098901
AATS5i,159.54380969923426
AATS5m,76.37759403296701
AATS5p,1.359691380648758
AATS5s,4.638730610952835
AATS5v,196.8192990908525
AATS6Z,19.752688172043012
AATS6d,2.7096774193548385
AATS6i,156.89597076438852
AATS6m,71.7116933655914
AATS6p,1.3894694613327205
AATS6s,3.890636753838664
AATS6v,196.14541122764976
AATS7Z,18.292929292929294
AATS7d,2.3838383838383836
AATS7i,160.51122139739354
AATS7m,66.58393454545454
AATS7p,1.2289515569275657
AATS7s,3.498430810159203
AATS7v,167.9864580648283
AATS8Z,17.3875
AATS8d,2.5375
AATS8i,162.71094771950771
AATS8m,63.20314507500001
AATS8p,1.23180993438725
AATS8s,3.518132716049382
AATS8v,167.8841398253761
AMID_C,1.4363209146669136
AMID_N,0.14823122247606743
AMID_O,0.33137120660893127
AMID_X,0.06547311986379754
AMID_h,0.5450755489487962
ATS0dv,409.60493827160496
ATS0pe,303.1442999999999
ATS0se,370.1580969999999
ATS1dv,376.1111111111111
ATS1pe,313.11600000000004
ATS1se,372.9972899999998
ATS2dv,517.4444444444445
ATS2pe,508.7755000000001
ATS2se,613.6362039999996
ATS3dv,478.7777777777778
ATS3pe,644.0922000000002
ATS3se,785.3853859999999
ATS4dv,463.1111111111111
ATS4pe,722.3423
ATS4se,893.1623579999999
ATS5dv,498.33333333333337
ATS5pe,596.9596999999999
ATS5se,729.8091219999999
ATS6dv,418.66666666666663
ATS6pe,604.9485000000001
ATS6se,740.7162799999999
ATS7dv,371.6666666666667
ATS7pe,623.5993999999998
ATS7se,776.097986
ATS8dv,326.66666666666663
ATS8pe,503.55970000000013
ATS8se,627.5235640000002
ATSC0Z,505.3043478260871
ATSC0c,1.373447899245187
ATSC0d,28.71739130434782
ATSC0i,65.6651617030264
ATSC0m,2368.817413652174
ATSC0p,11.245043567555147
ATSC0s,114.29946472237137
ATSC0v,2241.5034409189393
ATSC1Z,-0.028355387523635756
ATSC1c,-1.036330773307316
ATSC1d,7.571361058601134
ATSC1i,-9.829927856806565
ATSC1m,2.610673877126729
ATSC1p,-0.38247940103095335
ATSC1s,-9.579976998613278
ATSC1v,-10.03686758870581
ATSC2Z,74.9905482041588
ATSC2c,0.43322693889673974
ATSC2d,-7.918241965973532
ATSC2i,22.54515445579862
ATSC2m,345.8775120604916
ATSC2p,2.165612287775923
ATSC2s,34.748322003711564
ATSC2v,280.068818440921
ATSC3Z,-66.63327032136107
ATSC3c,0.23145475144436395
ATSC3d,-4.58742911153119
ATSC3i,-29.18840178428152
ATSC3m,-321.40036803402637
ATSC3p,-4.1073461937275395
ATSC3s,-11.589032412557568
ATSC3v,-827.5609876897197
ATSC4Z,-74.37996219281663
ATSC4c,-0.5223018710203716
ATSC4d,2.5018903591682404
ATSC4i,2.676128538405834
ATSC4m,-326.91481386389427
ATSC4p,2.139762753869089
ATSC4s,-64.43574907318813
ATSC4v,278.61718025914075
ATSC5Z,-41.62381852551986
ATSC5c,0.37590698526971505
ATSC5d,-6.049621928166351
ATSC5i,-1.9524827253285542
ATSC5m,-192.0875839640832
ATSC5p,-0.5787382894957346
ATSC5s,31.88398603090556
ATSC5v,27.097187324235765
ATSC6Z,-170.02835538752362
ATSC6c,-0.29021344731819393
ATSC6d,-4.5808128544423425
ATSC6i,-13.213893391085845
ATSC6m,-796.6122538620037
ATSC6p,-2.89362986051837
ATSC6s,-34.12820002930187
ATSC6v,-784.93153882608
ATSC7Z,59.45368620037807
ATSC7c,0.12472740437753602
ATSC7d,1.8908317580340244
ATSC7i,-9.405948538253186
ATSC7m,264.64279761814737
ATSC7p,-2.3547200919734386
ATSC7s,-21.888910479925347
ATSC7v,-144.65574696554447
ATSC8Z,68.47069943289223
ATSC8c,0.04338646333887185
ATSC8d,-0.09546313799621936
ATSC8i,12.453291126520845
ATSC8m,333.02161486578433
ATSC8p,3.552940131460689
ATSC8s,-5.893473103511069
ATSC8v,581.8756674053725
AXp-0d,0.7397898894725429
AXp-1d,0.45620588225810976
AXp-2d,0.30847723599232435
AXp-3d,0.19937042854644657
AXp-4d,0.1257291285662673
AXp-5d,0.08425174008595286
AXp-6d,0.05369312911146144
AXp-7d,0.03445537296810624
GATS1Z,0.6252814727754038
GATS1c,1.775838622836065
GATS1d,0.9168586016396348
GATS1i,1.3390302984506675
GATS1m,0.6298371494772718
GATS1p,1.009819624836484
GATS1s,0.6525306045246221
GATS1v,0.9280403645938644
GATS2Z,0.6621314926684053
GATS2c,0.8083861951773458
GATS2d,1.3838394761937534
GATS2i,0.9393729337725449
GATS2m,0.667555517026388
GATS2p,0.8316057912629332
GATS2s,0.45045163322079346
GATS2v,0.8587595079449584
GATS3Z,0.9508221085402291
GATS3c,0.9947013729519824
GATS3d,1.1317183951551857
GATS3i,1.2364052196822641
GATS3m,0.9538035408709382
GATS3p,1.1590896092377607
GATS3s,0.873339188657745
GATS3v,1.1347413883419137
GATS4Z,1.1087377387712956
GATS4c,1.2704268408460322
GATS4d,0.8974606014727137
GATS4i,0.9106415601651213
GATS4m,1.1011081344042766
GATS4p,0.875037521244704
GATS4s,1.499845634470668
GATS4v,0.8918268828156567
GATS5Z,0.9257830450396272
GATS5c,0.9327659305225504
GATS5d,1.205380539218541
GATS5i,1.0421643922047394
GATS5m,0.9257117243046964
GATS5p,0.9711406099239182
GATS5s,1.0444421883313773
GATS5v,0.9357305314253864
GATS6Z,1.0260504271653867
GATS6c,1.0894040715305657
GATS6d,1.0025396205220876
GATS6i,1.1091023084938356
GATS6m,1.0269983366758946
GATS6p,1.0942397861517188
GATS6s,1.2126151761023538
GATS6v,1.1248114407982248
GATS7Z,1.0020963376668073
GATS7c,0.8526383151582538
GATS7d,0.8468102677035306
GATS7i,0.9671996869306608
GATS7m,1.004398840695227
GATS7p,1.1114806783180344
GATS7s,1.1138414429904533
GATS7v,1.0513135174922263
GATS8Z,0.908920043882292
GATS8c,0.9003368405483756
GATS8d,0.9695779712339139
GATS8i,0.8070144333990783
GATS8m,0.906933932370486
GATS8p,0.7983758235160877
GATS8s,1.0224735911077671
GATS8v,0.8618298538492
MATS1Z,-5.492151715200193e-05
MATS1c,-0.7384926526468951
MATS1d,0.2580411358255352
MATS1i,-0.1465127048511404
MATS1m,0.001078651148752948
MATS1p,-0.03328947008392409
MATS1s,-0.08203142266278074
MATS1v,-0.004382468050305917
MATS2Z,0.08865854503438395
MATS2c,0.18843881788593853
MATS2d,-0.16472172793141754
MATS2i,0.20510927684376806
MATS2m,0.08722838784333009
MATS2p,0.1150500127377984
MATS2s,0.18161710442670248
MATS2v,0.07464357918607065
MATS3Z,-0.06127181294966529
MATS3c,0.07830266589897861
MATS3d,-0.0742244549965973
MATS3i,-0.20653703342851748
MATS3m,-0.0630430795900131
MATS3p,-0.16971600657031025
MATS3s,-0.04711135745252723
MATS3v,-0.17154704302025223
MATS4Z,-0.061555670280502475
MATS4c,-0.15902834478330133
MATS4d,0.0364324547519097
MATS4i,0.01704264893064636
MATS4m,-0.05771227046216227
MATS4p,0.07957371383357441
MATS4s,-0.23574789933429335
MATS4v,0.051979683319019435
MATS5Z,-0.041639482527453614
MATS5c,0.13835174653168472
MATS5d,-0.10648775902371664
MATS5i,-0.015030333652266543
MATS5m,-0.040990587838449645
MATS5p,-0.02601581965439972
MATS5s,0.14100835722226948
MATS5v,0.0061108446485993555
MATS6Z,-0.1664344411692322
MATS6c,-0.10451538524818703
MATS6d,-0.07889917218138749
MATS6i,-0.099533818061933
MATS6m,-0.16633754171183884
MATS6p,-0.12727898934967224
MATS6s,-0.147687612617077
MATS6v,-0.17320772312407126
MATS7Z,0.0546699137303164
MATS7c,0.042196101883735265
MATS7d,0.03059359683129552
MATS7i,-0.06655646040607402
MATS7m,0.051910011974218656
MATS7p,-0.09729729897394554
MATS7s,-0.08898208661050372
MATS7v,-0.029986026428216614
MATS8Z,0.07791473068318701
MATS8c,0.018163933581726462
MATS8d,-0.0019114307342922047
MATS8i,0.1090478148844559
MATS8m,0.08083671938758515
MATS8p,0.1816747586006965
MATS8s,-0.029647969417442067
MATS8v,0.14926522201586429
MAXsCl,5.9703274416967425
MAXsOH,9.411706968676665
MAXssO,5.105061646374257
MINsCl,5.9703274416967425
MINsOH,9.411706968676665
MINssO,5.105061646374257
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,33.18425968360487
SpAD_D,325.2472790154967
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.06292950050390522
SssNH2,0
SsssAs,0
SsssCH,-1.1352331086755696
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,549
TMWC10,129.04234699077043
TSRW10,61.536694786031106
VE1_Dt,5.113463351070504
VE2_Dt,0.18938753152112978
VE3_Dt,2.6251287071556395
VR1_Dt,157.0317976379756
VR2_Dt,5.815992505110207
VR3_Dt,6.049700090577567
Xc-3dv,0.8883970472358297
Xc-4dv,0.0
Xc-5dv,0.1178786498383679
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.16666666666666666
Xch-7d,0.24929698596356004
Xp-0dv,15.564572975776235
Xp-1dv,8.41707764665568
Xp-2dv,6.361803121951269
Xp-3dv,3.9849799438680726
Xp-4dv,2.424366270618232
Xp-5dv,1.5832801881905585
Xp-6dv,0.8045622428369633
Xp-7dv,0.4458007924325806
Xpc-4d,4.455852303481802
Xpc-5d,5.107816564589497
Xpc-6d,7.531127645328234
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,47
nFRing,0
nHBAcc,4
nHBDon,2
nHRing,0
nSpiro,0
naRing,2
piPC10,5.998005607651363
AATS0dv,8.9044551798175
AATS0pe,6.590093478260867
AATS0se,8.046915152173911
AATS1dv,8.002364066193852
AATS1pe,6.66204255319149
AATS1se,7.936112553191485
AATS2dv,6.72005772005772
AATS2pe,6.607474025974027
AATS2se,7.969301350649345
AATS3dv,4.836139169472503
AATS3pe,6.505981818181819
AATS3se,7.933185717171717
AATS4dv,4.21010101010101
AATS4pe,6.566748181818182
AATS4se,8.119657799999999
AATS5dv,5.476190476190476
AATS5pe,6.559996703296702
AATS5se,8.01988046153846
AATS6dv,4.50179211469534
AATS6pe,6.504822580645162
AATS6se,7.964691182795698
AATS7dv,3.7542087542087543
AATS7pe,6.298983838383837
AATS7se,7.839373595959596
AATS8dv,4.083333333333333
AATS8pe,6.294496250000002
AATS8se,7.844044550000002
AATSC0Z,10.984877126654068
AATSC0c,0.029857563027069284
AATSC0d,0.6242911153119092
AATSC0i,1.4275035152831825
AATSC0m,51.496030731569
AATSC0p,0.2444574688598945
AATSC0s,2.4847709722254647
AATSC0v,48.728335672150855
AATSC1Z,-0.0006033061175241651
AATSC1c,-0.022049590921432254
AATSC1d,0.1610927884808752
AATSC1i,-0.20914740120865033
AATSC1m,0.055546252704824016
AATSC1p,-0.008137859596403263
AATSC1s,-0.20382929784283568
AATSC1v,-0.2135503742277832
AATSC2Z,0.9739032234306337
AATSC2c,0.005626323881775841
AATSC2d,-0.10283431124640952
AATSC2i,0.2927942137116704
AATSC2m,4.491915741045346
AATSC2p,0.02812483490618082
AATSC2s,0.4512769091391112
AATSC2v,3.6372573823496235
AATSC3Z,-0.6730633365794048
AATSC3c,0.0023379267822663027
AATSC3d,-0.046337667793244344
AATSC3i,-0.2948323412553689
AATSC3m,-3.2464683639800644
AATSC3p,-0.041488345391187266
AATSC3s,-0.11706093346017746
AATSC3v,-8.359201895855755
AATSC4Z,-0.6761814744801512
AATSC4c,-0.004748198827457924
