DLiP-ID,C001RN
MID,42.97523333556849
Mpe,1.0010457516339872
Mse,1.0269604272881767
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,88.91080000000001
SdO,10.772528019969847
SdS,0
Spe,30.031372549019615
SsF,0
SsI,0
Sse,30.8088128186453
StN,0
fMF,0.5
nBr,1
nCl,0
AMID,2.0464396826461186
BIC0,0.37188542001978414
BIC1,0.7199273979430312
BIC2,0.8593797549930978
BIC3,0.9094869082488597
BIC4,0.9094869082488597
BIC5,0.9094869082488597
CIC0,2.9277431307262423
CIC1,1.0754887502163468
CIC2,0.33333333333333304
CIC3,0.06666666666666732
CIC4,0.06666666666666732
CIC5,0.06666666666666732
GGI1,4.0
GGI2,2.4444444444444455
GGI3,1.1875
GGI4,1.1255555555555556
GGI5,0.6011111111111112
GGI6,0.395827664399093
GGI7,0.4262684240362812
GGI8,0.14386495338876287
GGI9,0.07125000000000001
JGI1,0.17391304347826086
JGI2,0.07638888888888892
JGI3,0.03830645161290322
JGI4,0.03881226053639846
JGI5,0.02226337448559671
JGI6,0.01583310657596372
JGI7,0.021313421201814058
JGI8,0.01307863212625117
JGI9,0.01017857142857143
MIC0,35.92513665181582
MIC1,55.7338937246129
MIC2,62.02665395770779
MIC3,62.29545395770779
MIC4,62.29545395770779
MIC5,62.29545395770779
MPC2,32
MPC3,42
MPC4,57
MPC5,73
MPC6,79
MPC7,88
MPC8,97
MPC9,93
Mare,1.0074666666666665
NaaN,2
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,1
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,1
NtCH,0
NtsC,0
RNCG,0.2873752335889693
RPCG,0.1873825719123709
SIC0,0.40334045080473946
SIC1,0.78082071950435
SIC2,0.932068317636498
SIC3,0.9864136635272994
SIC4,0.9864136635272994
SIC5,0.9864136635272994
SaaN,8.510780265810027
SaaO,0
SaaS,1.5378038784958425
Sare,30.223999999999993
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,3.422281842878208
SsCl,0
SsLi,0
SsOH,8.84751437600599
SsSH,0
SssO,0
SssS,1.2213827212983954
StCH,0
StsC,0
TIC0,59.37442394646829
TIC1,114.94205536176516
TIC2,137.20671786825557
TIC3,145.20671786825554
TIC4,145.20671786825554
TIC5,145.20671786825554
Vabc,255.71484701014336
WPol,31
apol,42.03513699999999
bpol,18.476863
nRot,4
ABCGG,13.640261707232995
ATS0Z,2476.0
ATS0d,119.0
ATS0i,4586.988035543442
ATS0m,11373.506785999996
ATS0p,72.87502414364096
ATS0s,159.66846707818928
ATS0v,9025.363161003737
ATS1Z,1346.0
ATS1d,146.0
ATS1i,4492.671107781348
ATS1m,5401.451018000002
ATS1p,77.40210246600004
ATS1s,109.14814814814817
ATS1v,10528.36799940452
ATS2Z,2104.0
ATS2d,216.0
ATS2i,7187.131558681441
ATS2m,8399.084400000002
ATS2p,115.42027232484901
ATS2s,181.52469135802477
ATS2v,15185.619345266903
ATS3Z,2264.0
ATS3d,224.0
ATS3i,8505.287473177248
ATS3m,8890.817141
ATS3p,124.42640061969799
ATS3s,168.00617283950618
ATS3v,15938.797665822722
ATS4Z,2117.0
ATS4d,207.0
ATS4i,8397.859518476487
ATS4m,8145.402861
ATS4p,122.779793879396
ATS4s,149.0157750342936
ATS4v,15083.251932214538
ATS5Z,1725.0
ATS5d,198.0
ATS5i,8334.199054092487
ATS5m,6659.3556450000015
ATS5p,108.100833529396
ATS5s,180.7098765432099
ATS5v,13840.49146961759
ATS6Z,1818.0
ATS6d,179.0
ATS6i,8629.336923071627
ATS6m,7063.236551
ATS6p,102.526884854245
ATS6s,184.712962962963
ATS6v,12985.079138021621
ATS7Z,2133.0
ATS7d,120.0
ATS7i,7001.469686940859
ATS7m,8716.45525
ATS7p,82.439149371698
ATS7s,186.4401577503429
ATS7v,10414.559944366896
ATS8Z,1516.0
ATS8d,82.0
ATS8i,5733.376646731373
ATS8m,6401.166536000001
ATS8p,54.50657864594298
ATS8s,121.22719478737997
ATS8v,6591.383197712466
C1SP1,0
C1SP2,4
C1SP3,1
C2SP1,0
C2SP2,5
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.07142857142857142
GGI10,0.05774920926436078
JGI10,0.01924973642145359
JGT10,0.42933748675610217
Kier1,15.879017013232515
Kier2,7.05078125
Kier3,3.673469387755102
MAXdO,10.772528019969847
MID_C,29.609883142843177
MID_N,4.1134087751984625
MID_O,3.394845889324594
MID_X,1.7631005997337028
MID_h,13.365350192725314
MINdO,10.772528019969847
MPC10,84
MWC01,23.0
MWC02,4.709530201312334
MWC03,5.556828061699537
MWC04,6.440946540632921
MWC05,7.317876198626496
MWC06,8.212568398234145
MWC07,9.103089181229207
MWC08,10.003378135350923
MWC09,10.901081735474317
MWC10,11.804631928685561
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.297500000000002
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.1647859739235145
SRW05,2.3978952727983707
SRW06,6.673297967767654
SRW07,4.727387818712341
SRW08,8.277666160851503
SRW09,6.86171134048073
SRW10,9.937744041214218
SaaCH,11.50954333585286
SaaNH,0
SaaSe,0
SaaaC,1.798037013416478
SaasC,3.8300864279302687
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.8544596978164798
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8458696092553883
VE1_D,4.502296306037603
VE2_A,0.1831366480597804
VE2_D,0.21439506219226678
VE3_A,2.0889370883715306
VE3_D,2.2465249015824456
VR1_A,190.17290970425765
VR1_D,115.03838129471363
VR2_A,9.055852843059888
VR2_D,5.4780181568911255
VR3_A,5.989871054119486
VR3_D,5.487203167799169
WPath,924
Xc-3d,1.4441172996577414
Xc-4d,0.0
Xc-5d,0.22451341401773972
Xc-6d,0.0
Xp-0d,14.819626477379408
Xp-1d,10.147867045540844
Xp-2d,9.260767148049363
Xp-3d,7.384490708109577
Xp-4d,6.195147290565048
Xp-5d,5.24336531209185
Xp-6d,3.7016066058675614
Xp-7d,2.680432394732618
ZMIC0,69.6647923308364
ZMIC1,42.84412466081421
ZMIC2,32.16685605013792
ZMIC3,31.270766478561185
ZMIC4,31.270766478561185
ZMIC5,31.270766478561185
nAcid,1
nAtom,30
nBase,0
nRing,3
piPC1,3.4965075614664802
piPC2,4.139158578011894
piPC3,4.763241740558586
piPC4,5.4246746491745546
piPC5,5.992401607929322
piPC6,6.357110846572744
piPC7,6.806388513786687
piPC8,7.257132172441679
piPC9,7.4927733579402
AATS0Z,82.53333333333333
AATS0d,3.966666666666667
AATS0i,152.89960118478137
AATS0m,379.11689286666655
AATS0p,2.4291674714546985
AATS0s,5.3222822359396424
AATS0v,300.8454387001246
AATS1Z,42.0625
AATS1d,4.5625
AATS1i,140.39597211816712
AATS1m,168.79534431250005
AATS1p,2.4188157020625014
AATS1s,3.41087962962963
AATS1v,329.01149998139124
AATS2Z,42.08
AATS2d,4.32
AATS2i,143.7426311736288
AATS2m,167.98168800000002
AATS2p,2.3084054464969803
AATS2s,3.630493827160495
AATS2v,303.71238690533806
AATS3Z,39.03448275862069
AATS3d,3.8620689655172415
AATS3i,146.64288746857324
AATS3m,153.28995070689655
AATS3p,2.1452827693051377
AATS3s,2.896658152405279
AATS3v,274.8068563072883
AATS4Z,37.14035087719298
AATS4d,3.6315789473684212
AATS4i,147.33086874520154
AATS4m,142.90180457894735
AATS4p,2.154031471568351
AATS4s,2.6143118427069054
AATS4v,264.61845495113226
AATS5Z,30.803571428571427
AATS5d,3.5357142857142856
AATS5i,148.8249831087944
AATS5m,118.91706508928574
AATS5p,1.9303720273106428
AATS5s,3.226962081128748
AATS5v,247.15163338602838
AATS6Z,32.464285714285715
AATS6d,3.1964285714285716
AATS6i,154.09530219770764
AATS6m,126.129224125
AATS6p,1.8308372295400892
AATS6s,3.298445767195768
AATS6v,231.87641317895753
AATS7Z,47.4
AATS7d,2.6666666666666665
AATS7i,155.58821526535243
AATS7m,193.69900555555557
AATS7p,1.8319810971488444
AATS7s,4.1431146166742865
AATS7v,231.43466543037547
AATS8Z,42.111111111111114
AATS8d,2.2777777777777777
AATS8i,159.2604624092048
AATS8m,177.81018155555557
AATS8p,1.5140716290539717
AATS8s,3.3674220774272214
AATS8v,183.09397771423517
AMID_C,1.4099944353734846
AMID_N,0.19587660834278392
AMID_O,0.1616593280630759
AMID_X,0.08395717141589061
AMID_h,0.636445247272634
ATS0dv,281.95610425240056
ATS0pe,198.81980000000001
ATS0se,240.98976300000007
ATS1dv,273.7037037037037
ATS1pe,212.89400000000003
ATS1se,253.36814200000006
ATS2dv,357.8888888888889
ATS2pe,330.8306
ATS2se,397.620984
ATS3dv,308.5555555555556
ATS3pe,377.8939
ATS3se,459.33756000000005
ATS4dv,300.81481481481484
ATS4pe,361.53229999999996
ATS4se,442.48407100000003
ATS5dv,325.3703703703704
ATS5pe,356.57820000000004
ATS5se,434.8049239999999
ATS6dv,302.14814814814815
ATS6pe,362.826
ATS6se,444.60022400000014
ATS7dv,238.24691358024694
ATS7pe,305.5564
ATS7se,372.003081
ATS8dv,112.76543209876544
ATS8pe,226.6516
ATS8se,281.94097899999997
ATSC0Z,1272.6666666666663
ATSC0c,0.7132648147765737
ATSC0d,18.16666666666666
ATSC0i,51.527105241899335
ATSC0m,6528.149697866666
ATSC0p,13.97659939001537
ATSC0s,56.890663580246894
ATSC0v,1527.0501228215057
ATSC1Z,-17.777777777777764
ATSC1c,-0.45770298158474226
ATSC1d,4.222222222222222
ATSC1i,0.30085013025960605
ATSC1m,-76.4519235911111
ATSC1p,1.1368320901083768
ATSC1s,-4.550118312757201
ATSC1v,94.77825878055455
ATSC2Z,-127.44444444444446
ATSC2c,0.19590835788368693
ATSC2d,0.8888888888888924
ATSC2i,2.8065567242865743
ATSC2m,-557.4377791111112
ATSC2p,-1.827642196547574
ATSC2s,19.414429012345675
ATSC2v,-80.08337723949668
ATSC3Z,-267.2222222222223
ATSC3c,-0.09555891199460473
ATSC3d,0.944444444444446
ATSC3i,-3.4504322283329354
ATSC3m,-1389.7661149422215
ATSC3p,-0.5903920620120728
ATSC3s,-27.434466735253768
ATSC3v,-167.06432317199858
ATSC4Z,-245.33333333333331
ATSC4c,-0.11112437936601413
ATSC4d,-2.916666666666666
ATSC4i,-7.198349244128399
ATSC4m,-1296.1464312799997
ATSC4p,-2.225159232332361
ATSC4s,0.9639806241426655
ATSC4v,-226.55668810511196
ATSC5Z,-31.444444444444507
ATSC5c,0.3042736660023121
ATSC5d,-7.944444444444442
ATSC5i,-11.209405371169428
ATSC5m,-84.52014235111184
ATSC5p,-2.110503585574585
ATSC5s,15.178828875171472
ATSC5v,-354.0371912023497
ATSC6Z,-204.44444444444454
ATSC6c,-0.34473397851132254
ATSC6d,-8.61111111111111
ATSC6i,-5.978036958465063
ATSC6m,-836.3968631511118
ATSC6p,-3.220851755223018
ATSC6s,3.089142661179699
ATSC6v,-212.90656848905275
ATSC7Z,81.00000000000006
ATSC7c,0.15610511382298034
ATSC7d,-5.583333333333334
ATSC7i,-4.993966449944341
ATSC7m,332.1226080000004
ATSC7p,-1.3799023326071176
ATSC7s,-7.641422325102885
ATSC7v,-398.1948998311969
ATSC8Z,464.66666666666674
ATSC8c,0.022184764717778856
ATSC8d,1.3333333333333315
ATSC8i,-5.575177815335954
ATSC8m,2221.586944493333
ATSC8p,2.1347049698100236
ATSC8s,-0.9784756515775037
ATSC8v,144.04675969122968
AXp-0d,0.7056964989228289
AXp-1d,0.44121161067568887
AXp-2d,0.2893989733765426
AXp-3d,0.1758212073359423
AXp-4d,0.10868679457131664
AXp-5d,0.07182692208345
AXp-6d,0.04685577982110837
AXp-7d,0.030459459031052474
GATS1Z,0.5347776977475119
GATS1c,1.4758712010709605
GATS1d,0.7482798165137616
GATS1i,0.8905877020338684
GATS1m,0.5176884080680859
GATS1p,0.6105423495482647
GATS1s,0.7156507917293766
GATS1v,0.6371407634187268
GATS2Z,0.7521922472498692
GATS2c,0.6142456698656363
GATS2d,1.0056880733944957
GATS2i,0.9571751938751129
GATS2m,0.7197319837067199
GATS2p,0.9526082436631195
GATS2s,0.45466406318403413
GATS2v,0.8305124759998015
GATS3Z,1.0652828706128867
GATS3c,0.7869106208772081
GATS3d,1.0458715596330277
GATS3i,0.9499289541294631
GATS3m,1.0693116094643478
GATS3p,0.9516835876263618
GATS3s,1.1321442247398066
GATS3v,0.9568044462160027
GATS4Z,0.98143144661024
GATS4c,0.698836940733927
GATS4d,0.9942056977305652
GATS4i,1.0876697192824285
GATS4m,0.96260321146454
GATS4p,1.096223135187824
GATS4s,0.4315826244334964
GATS4v,1.043835039124828
GATS5Z,0.5273516425952258
GATS5c,0.4992896855319903
GATS5d,1.1829947575360422
GATS5i,1.0949029367566068
GATS5m,0.4871845225701175
GATS5p,0.9089172970556846
GATS5s,0.4818973678392738
GATS5v,1.0510194441864418
GATS6Z,0.8215454987652476
GATS6c,1.230235857545694
GATS6d,1.1829947575360422
GATS6i,1.1603962628794044
GATS6m,0.7728075036804642
GATS6p,1.1175897338280416
GATS6s,0.8385252770990387
GATS6v,1.0552371552758486
GATS7Z,1.136554915313428
GATS7c,1.1380248881530117
GATS7d,1.0110091743119267
GATS7i,1.0900726646765582
GATS7m,1.158881301327159
GATS7p,1.1185950186165148
GATS7s,1.5661149277405648
GATS7v,1.1263589005825134
GATS8Z,0.8399467434957224
GATS8c,1.1815360832568798
GATS8d,0.7981651376146791
GATS8i,0.9931258462677093
GATS8m,0.883220518022006
GATS8p,0.8628855532860444
GATS8s,1.1751270182352793
GATS8v,1.0960418221327262
MATS1Z,-0.01309586170770036
MATS1c,-0.6015949985842327
MATS1d,0.21788990825688082
MATS1i,0.005473759796795916
MATS1m,-0.01097917199878074
MATS1p,0.07625460634136637
MATS1s,-0.07498130008965108
MATS1v,0.0581870996104533
MATS2Z,-0.0600838135149293
MATS2c,0.16479856049962666
MATS2d,0.02935779816513774
MATS2i,0.03268054796920071
MATS2m,-0.05123391511318525
MATS2p,-0.07845866418063932
MATS2s,0.20475516849924658
MATS2v,-0.031465913021189354
MATS3Z,-0.10860533588627379
MATS3c,-0.0692968760290916
MATS3d,0.026890224612464462
MATS3i,-0.03463626215020823
MATS3m,-0.11011459226285897
MATS3p,-0.02184903465911442
MATS3s,-0.24943005621248282
MATS3v,-0.056587913952274624
MATS4Z,-0.10145846544071024
MATS4c,-0.08199831849846329
MATS4d,-0.08450024142926124
MATS4i,-0.07352644491757762
MATS4m,-0.10449857368858463
MATS4p,-0.08379265981582777
MATS4s,0.008918128060104797
MATS4v,-0.07808542783144981
MATS5Z,-0.013236174511711473
MATS5c,0.22853188082066803
MATS5d,-0.23427260812581913
MATS5i,-0.11654135359451365
MATS5m,-0.006935908302300764
MATS5p,-0.08089427830715581
MATS5s,0.14293233646979672
MATS5v,-0.12420206656401159
MATS6Z,-0.08605851979345962
MATS6c,-0.25892054848869384
MATS6d,-0.25393184796854523
MATS6i,-0.06215213884310308
MATS6m,-0.06863656148435011
MATS6p,-0.12345322701840747
MATS6s,0.029089093887419693
MATS6v,-0.07469112412056987
MATS7Z,0.04243059193294923
MATS7c,0.1459066446654687
MATS7d,-0.20489296636085635
MATS7i,-0.06461280817153933
MATS7m,0.03391697222757568
MATS7p,-0.06581965059840879
MATS7s,-0.08954512444529447
MATS7v,-0.17384057182330015
MATS8Z,0.30426052034223866
MATS8c,0.025919270863337663
MATS8d,0.0611620795107033
MATS8i,-0.09016577762264968
MATS8m,0.2835906864006868
MATS8p,0.12727851450373892
MATS8s,-0.014332692308368533
MATS8v,0.07860839969520059
MAXaaN,4.270071963970773
MAXaaS,1.5378038784958425
MAXsBr,3.422281842878208
MAXsOH,8.84751437600599
MAXssS,1.2213827212983954
MINaaN,4.240708301839254
MINaaS,1.5378038784958425
MINsBr,3.422281842878208
MINsOH,8.84751437600599
MINssS,1.2213827212983954
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.190208858550456
SpAD_D,183.30585790406548
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.01216485050810423
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,689
TMWC10,118.04993038124545
TSRW10,68.89063617745839
VE1_Dt,4.553977191105245
VE2_Dt,0.2168560567192974
VE3_Dt,2.257938303817593
VR1_Dt,109.70481467970762
VR2_Dt,5.224038794271792
VR3_Dt,5.439730600561645
Xc-3dv,0.8837399535253985
Xc-4dv,0.0
Xc-5dv,0.11056377681655599
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.33052720793239876
Xch-7d,0.5828444084796229
Xp-0dv,13.834548228195152
Xp-1dv,8.634795610634738
Xp-2dv,6.935485150947676
Xp-3dv,5.212313878941225
Xp-4dv,3.9067795754292214
Xp-5dv,2.901163578613188
Xp-6dv,1.9357703669684432
Xp-7dv,1.2451236013657703
Xpc-4d,2.9058036661953106
Xpc-5d,4.674087405413172
Xpc-6d,7.493809950638643
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,32
nFRing,1
nHBAcc,5
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,7.7456080045438815
AATS0dv,9.398536808413352
AATS0pe,6.627326666666667
AATS0se,8.032992100000003
AATS1dv,8.55324074074074
AATS1pe,6.652937500000001
AATS1se,7.917754437500002
AATS2dv,7.1577777777777785
AATS2pe,6.616612
AATS2se,7.95241968
AATS3dv,5.31992337164751
AATS3pe,6.515412068965516
AATS3se,7.919613103448277
AATS4dv,5.27745289148798
AATS4pe,6.342671929824561
AATS4se,7.762878438596491
AATS5dv,5.810185185185185
AATS5pe,6.367467857142858
AATS5se,7.764373642857142
AATS6dv,5.395502645502646
AATS6pe,6.479035714285715
AATS6se,7.939289714285716
AATS7dv,5.294375857338821
AATS7pe,6.790142222222222
AATS7se,8.266735133333334
AATS8dv,3.132373113854596
AATS8pe,6.295877777777778
AATS8se,7.83169386111111
AATSC0Z,42.42222222222221
AATSC0c,0.02377549382588579
AATSC0d,0.6055555555555554
AATSC0i,1.7175701747299779
AATSC0m,217.60498992888887
AATSC0p,0.46588664633384563
AATSC0s,1.8963554526748965
AATSC0v,50.90167076071686
AATSC1Z,-0.5555555555555551
AATSC1c,-0.014303218174523196
AATSC1d,0.13194444444444445
AATSC1i,0.00940156657061269
AATSC1m,-2.3891226122222218
AATSC1p,0.035526002815886776
AATSC1s,-0.14219119727366253
AATSC1v,2.9618205868923297
AATSC2Z,-2.548888888888889
AATSC2c,0.003918167157673739
AATSC2d,0.017777777777777847
AATSC2i,0.05613113448573149
AATSC2m,-11.148755582222226
AATSC2p,-0.03655284393095148
AATSC2s,0.3882885802469135
AATSC2v,-1.6016675447899338
AATSC3Z,-4.607279693486591
AATSC3c,-0.0016475674481828402
AATSC3d,0.016283524904214586
AATSC3i,-0.05949021083332647
AATSC3m,-23.96148474038313
AATSC3p,-0.010179173482966774
AATSC3s,-0.4730080471595477
AATSC3v,-2.8804193650344585
AATSC4Z,-4.304093567251462
AATSC4c,-0.0019495505151932303
