DLiP-ID,C000TH
MWC08,9.538564399740899
MWC09,10.372959790618586
MWC10,11.221623515328044
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.9465000000000012
SRW02,3.713572066704308
SRW03,0.0
SRW04,4.976733742420574
SRW05,2.3978952727983707
SRW06,6.424869023905388
SRW07,4.442651256490317
SRW08,7.9603236291488395
SRW09,6.259581464064923
SRW10,9.544739031650487
SaaCH,11.110822835306962
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.926224332325524
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.0749971655328796
SdssS,0
SsCH3,3.1486064657344417
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.837175925925926
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8407259962657845
VE1_D,4.293831781707238
VE2_A,0.20214347348767286
VE2_D,0.22599114640564408
VE3_A,1.9875152964297
VE3_D,2.099033409665351
VR1_A,117.87671361278737
VR1_D,93.94736501195413
VR2_A,6.204037558567756
VR2_D,4.944598158523902
VR3_A,5.411493164562552
VR3_D,5.18458856493237
WPath,757
Xc-3d,1.0302567583920093
Xc-4d,0.0
Xc-5d,0.08333333333333333
Xc-6d,0.0
Xp-0d,13.664925939000156
Xp-1d,9.223876650462412
Xp-2d,7.7427925155431785
Xp-3d,6.265748352367612
Xp-4d,5.0490091662538905
Xp-5d,3.3704465891787794
Xp-6d,2.38639788624944
Xp-7d,1.4567464494100975
ZMIC0,62.9478628854978
ZMIC1,37.674634397384324
ZMIC2,28.697332465277498
ZMIC3,25.051006338061867
ZMIC4,23.779698109311724
ZMIC5,22.984256752560984
nAcid,0
nAtom,34
nBase,0
nRing,2
piPC1,3.3141860046725258
piPC2,3.844814255734696
piPC3,4.325786916351006
piPC4,4.835785752141002
piPC5,5.1017701024901
piPC6,5.188083886148336
piPC7,5.232611497658459
piPC8,5.2108513407667605
piPC9,5.4029588737812455
AATS0Z,29.88235294117647
AATS0d,3.1470588235294117
AATS0i,159.52380861886277
AATS0m,118.43771488235294
AATS0p,1.6842178109627943
AATS0s,4.214970144436376
AATS0v,231.90460387752842
AATS1Z,28.65714285714286
AATS1d,3.657142857142857
AATS1i,144.66976146051138
AATS1m,109.65614394285713
AATS1p,1.9159340754285714
AATS1s,3.25679012345679
AATS1v,271.8030999460505
AATS2Z,24.333333333333332
AATS2d,3.4210526315789473
AATS2i,153.16143349595393
AATS2m,91.34314419298245
AATS2p,1.6464623021042628
AATS2s,3.092917478882391
AATS2v,227.01711549568014
AATS3Z,21.0
AATS3d,3.161290322580645
AATS3i,154.27326739464627
AATS3m,75.48534772580645
AATS3p,1.5242512443636613
AATS3s,3.225457984866588
AATS3v,208.58960076751498
AATS4Z,20.272727272727273
AATS4d,2.8181818181818183
AATS4i,155.68115610086429
AATS4m,74.11747043939394
AATS4p,1.3807219422415606
AATS4s,3.1004489337822676
AATS4v,190.86980934468244
AATS5Z,17.014084507042252
AATS5d,2.4507042253521125
AATS5i,161.68074724903545
AATS5m,61.04791408450704
AATS5p,1.2338487153624647
AATS5s,3.3850634672230924
AATS5v,166.0994109977569
AATS6Z,16.859375
AATS6d,2.515625
AATS6i,162.73803944479272
AATS6m,60.735990124999994
AATS6p,1.237363095431
AATS6s,3.1365258487654324
AATS6v,163.85729176932813
AATS7Z,19.71698113207547
AATS7d,2.547169811320755
AATS7i,157.79185891771272
AATS7m,70.58452386792453
AATS7p,1.4021184742630752
AATS7s,3.0275448404379226
AATS7v,184.84264948436592
AATS8Z,17.980392156862745
AATS8d,2.235294117647059
AATS8i,155.74126233016415
AATS8m,64.03829823529414
AATS8p,1.379440612306686
AATS8s,2.552469135802469
AATS8v,171.2808720759836
AMID_C,1.4972521627594653
AMID_N,0.10691100394735979
AMID_O,0.2931212264894986
AMID_X,0.0
AMID_h,0.5052738159461114
ATS0dv,264.44444444444446
ATS0pe,215.0338
ATS0se,265.344817
ATS1dv,239.66666666666666
ATS1pe,229.2775
ATS1se,274.8220839999999
ATS2dv,307.33333333333337
ATS2pe,368.67959999999994
ATS2se,450.600002
ATS3dv,306.66666666666663
ATS3pe,403.5731
ATS3se,493.39800599999995
ATS4dv,285.66666666666663
ATS4pe,419.3415
ATS4se,515.2209240000001
ATS5dv,294.66666666666663
ATS5pe,444.9367
ATS5se,552.511154
ATS6dv,197.66666666666666
ATS6pe,397.0661
ATS6se,496.25765200000006
ATS7dv,138.66666666666666
ATS7pe,339.11620000000005
ATS7se,421.89908600000007
ATS8dv,118.66666666666667
ATS8pe,308.01469999999995
ATS8se,386.76854599999996
ATSC0Z,389.05882352941177
ATSC0c,0.8951995540551616
ATSC0d,18.02941176470588
ATSC0i,51.91678985012834
ATSC0m,1764.6362400000003
ATSC0p,10.702329439469558
ATSC0s,44.43097918179617
ATSC0v,1771.6524103447105
ATSC1Z,25.204152249134957
ATSC1c,-0.3721528204481234
ATSC1d,7.67560553633218
ATSC1i,-4.199764203507194
ATSC1m,116.28484600000026
ATSC1p,-0.0010219510804242438
ATSC1s,-2.16200410810657
ATSC1v,-1.8497258242566375
ATSC2Z,24.754325259515586
ATSC2c,-0.06313668968513189
ATSC2d,-0.40224913494809766
ATSC2i,8.868578756784943
ATSC2m,131.05358000000015
ATSC2p,2.828979532537124
ATSC2s,-0.015743885305274118
ATSC2v,380.6759827412285
ATSC3Z,-225.69550173010379
ATSC3c,-0.04645461778220848
ATSC3d,-7.347750865051904
ATSC3i,-11.73073915614785
ATSC3m,-1018.1276169999996
ATSC3p,-4.112026861443517
ATSC3s,-10.079082831389636
ATSC3v,-656.2153085183804
ATSC4Z,12.885813148788941
ATSC4c,-0.07037468003507844
ATSC4d,-5.262975778546712
ATSC4i,-29.7062059758162
ATSC4m,23.084459000000212
ATSC4p,-4.443255239152025
ATSC4s,-6.964138318120762
ATSC4v,-659.6873036670668
ATSC5Z,22.318339100346012
ATSC5c,0.1549951193172379
ATSC5d,-2.561418685121107
ATSC5i,-3.5118802057836556
ATSC5m,99.85848999999993
ATSC5p,-0.7037020182629041
ATSC5s,10.8852052985319
ATSC5v,-94.4037999930498
ATSC6Z,73.41868512110726
ATSC6c,0.025418660740939285
ATSC6d,-3.1435986159169556
ATSC6i,19.569734043129408
ATSC6m,338.0252959999999
ATSC6p,3.135149868566886
ATSC6s,3.791585382640103
ATSC6v,400.15537569593806
ATSC7Z,-73.2387543252595
ATSC7c,-0.1243532574118631
ATSC7d,-1.310553633217993
ATSC7i,11.6744873731286
ATSC7m,-343.3688039999998
ATSC7p,1.8882636891997164
ATSC7s,-21.231965329099445
ATSC7v,-19.463709679614603
ATSC8Z,-1.9411764705882288
ATSC8c,0.11433971885032151
ATSC8d,-0.04411764705882346
ATSC8i,-9.40972288499275
ATSC8m,-30.078407999999943
ATSC8p,-1.5984169311239258
ATSC8s,-10.15125978374889
ATSC8v,-362.6384889483613
AXp-0d,0.7192066283684293
AXp-1d,0.4611938325231206
AXp-2d,0.2977997121362761
AXp-3d,0.19580463601148787
AXp-4d,0.1294617734936895
AXp-5d,0.08220601437021413
AXp-6d,0.058204826493888785
AXp-7d,0.03937152565973236
GATS1Z,0.7367229685947557
GATS1c,1.3741973949135675
GATS1d,0.7059892798881381
GATS1i,1.1646942938882938
GATS1m,0.7360908838720697
GATS1p,0.9567621138852878
GATS1s,0.6289984370264685
GATS1v,0.9323319535336717
GATS2Z,0.943437365715468
GATS2c,1.2845822323218081
GATS2d,1.2041727483472142
GATS2i,0.9291732452094729
GATS2m,0.930453148952193
GATS2p,0.8540437691689127
GATS2s,0.759584824813207
GATS2v,0.8129127910751177
GATS3Z,1.354385126369285
GATS3c,1.2170930926129413
GATS3d,1.3875177603536286
GATS3i,1.1892859793709447
GATS3m,1.3405667594169162
GATS3p,1.2398373203963216
GATS3s,1.3112778387840422
GATS3v,1.122628239242987
GATS4Z,0.7582400967644392
GATS4c,1.1317999831375964
GATS4d,1.1786296900489397
GATS4i,1.2748067394613252
GATS4m,0.7814857228025647
GATS4p,1.0438287552092667
GATS4s,1.0463972722309431
GATS4v,1.110199309836933
GATS5Z,0.7938442569538793
GATS5c,0.9183151314411221
GATS5d,1.0311789168945158
GATS5i,0.9996589671485565
GATS5m,0.8086544812707305
GATS5p,0.8502386958093477
GATS5s,1.2355216897168775
GATS5v,0.9519790679259339
GATS6Z,0.7613927369972785
GATS6c,1.0573771253425306
GATS6d,1.1868627650897228
GATS6i,0.7383884796895419
GATS6m,0.7727481346948875
GATS6p,0.6914754878672023
GATS6s,1.283833694848998
GATS6v,0.8234216823298408
GATS7Z,1.2114867833241096
GATS7c,1.4097056630207285
GATS7d,0.9669734371633477
GATS7i,0.7935956045170169
GATS7m,1.2047337894708714
GATS7p,0.93095111609545
GATS7s,1.7282336805729785
GATS7v,0.9509156924744947
GATS8Z,1.0785455095252494
GATS8c,0.6068980639245158
GATS8d,0.8433931484502447
GATS8i,1.0631746240726636
GATS8m,1.0777353015626074
GATS8p,1.176006091282696
GATS8s,1.1002984064934342
GATS8v,1.1540777729784524
MATS1Z,0.0629314441228563
MATS1c,-0.40384278687739106
MATS1d,0.41356327196457704
MATS1i,-0.07858288142096599
MATS1m,0.06401456530699588
MATS1p,-9.276041106202504e-05
MATS1s,-0.0472695538301608
MATS1v,-0.0010142376148392133
MATS2Z,0.03795245598119886
MATS2c,-0.04206937033868237
MATS2d,-0.013308148020949628
MATS2i,0.10189438617339018
MATS2m,0.04429939106157826
MATS2p,0.15767235395737322
MATS2s,-0.00021136354978614952
MATS2v,0.12816841673698018
MATS3Z,-0.31812284791790624
MATS3c,-0.02845746835098443
MATS3d,-0.22349102773246335
MATS3i,-0.1239095484799003
MATS3m,-0.31639838023062355
MATS3p,-0.21070015506047376
MATS3s,-0.12440056631290601
MATS3v,-0.2031211121300924
MATS4Z,0.017062063025171603
MATS4c,-0.04049781178302487
MATS4d,-0.1503781699540264
MATS4i,-0.2947639301663579
MATS4m,0.006739062567536943
MATS4p,-0.21387396842901907
MATS4s,-0.08074515737376561
MATS4v,-0.19182030968714944
MATS5Z,0.027470538379962255
MATS5c,0.08291225632104987
MATS5d,-0.06803299404912347
MATS5i,-0.032393093939586184
MATS5m,0.02709881929634929
MATS5p,-0.03148698299651167
MATS5s,0.11731979846566824
MATS5v,-0.02551711230365017
MATS6Z,0.1002513607499244
MATS6c,0.01508452887119279
MATS6d,-0.09262846655791193
MATS6i,0.2002516188004794
MATS6m,0.10176371448656178
MATS6p,0.1556248457026294
MATS6s,0.045335029108537546
MATS6v,0.11999111230690275
MATS7Z,-0.1207615635216322
MATS7c,-0.08911285468394282
MATS7d,-0.04663116747206747
MATS7i,0.1442557178160509
MATS7m,-0.12482704486129076
MATS7p,0.11318460876028169
MATS7s,-0.3065542626113778
MATS7v,-0.007047744414462188
MATS8Z,-0.0033262775929845676
MATS8c,0.08515026497527796
MATS8d,-0.001631321370309949
MATS8i,-0.12083082579073712
MATS8m,-0.011363402578652674
MATS8p,-0.09956816349588707
MATS8s,-0.15231504340268912
MATS8v,-0.13645960755089753
MAXaaS,1.5626466049382715
MAXssO,5.213247118291761
MINaaS,1.5626466049382715
MINssO,5.136999742798354
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,24.24218686073264
SpAD_D,164.80906656379653
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.3591574546485259
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,349
TMWC10,109.75200432040435
TSRW10,64.7203654871832
VE1_Dt,4.297880040129477
VE2_Dt,0.22620421263839352
VE3_Dt,2.0999757733772104
VR1_Dt,93.13230405330637
VR2_Dt,4.901700213331914
VR3_Dt,5.175874992583611
Xc-3dv,0.5213045141402626
Xc-4dv,0.0
Xc-5dv,0.017010345435994292
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.17010345435994292
Xch-7d,0.2032631323962854
Xp-0dv,11.620698139107482
Xp-1dv,6.648830687666475
Xp-2dv,4.902775728540478
Xp-3dv,3.472009715965423
Xp-4dv,2.3810469377042325
Xp-5dv,1.200273991826466
Xp-6dv,0.6689911790563965
Xp-7dv,0.3793336145141939
Xpc-4d,2.1545448482383316
Xpc-5d,3.353869846259242
Xpc-6d,4.286851199153535
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,35
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,5.6507332535663855
AATS0dv,7.777777777777779
AATS0pe,6.324523529411765
AATS0se,7.804259323529411
AATS1dv,6.847619047619047
AATS1pe,6.550785714285714
AATS1se,7.85205954285714
AATS2dv,5.3918128654970765
AATS2pe,6.468063157894735
AATS2se,7.905263192982456
AATS3dv,4.946236559139784
AATS3pe,6.509243548387097
AATS3se,7.958032354838709
AATS4dv,4.328282828282828
AATS4pe,6.35365909090909
AATS4se,7.806377636363638
AATS5dv,4.150234741784037
AATS5pe,6.266714084507042
AATS5se,7.78184723943662
AATS6dv,3.0885416666666665
AATS6pe,6.2041578125
AATS6se,7.754025812500001
AATS7dv,2.6163522012578615
AATS7pe,6.398418867924529
AATS7se,7.960360113207549
AATS8dv,2.326797385620915
AATS8pe,6.039503921568627
AATS8se,7.583696980392156
AATSC0Z,11.442906574394463
AATSC0c,0.026329398648681224
AATSC0d,0.5302768166089965
AATSC0i,1.526964407356716
AATSC0m,51.90106588235295
AATSC0p,0.3147743952785164
AATSC0s,1.3067935053469462
AATSC0v,52.10742383366795
AATSC1Z,0.7201186356895702
AATSC1c,-0.01063293772708924
AATSC1d,0.21930301532377655
AATSC1i,-0.11999326295734841
AATSC1m,3.3224241714285787
AATSC1p,-2.9198602297835535e-05
AATSC1s,-0.061771545945902
AATSC1v,-0.052849309264475355
AATSC2Z,0.43428640806167695
AATSC2c,-0.0011076612225461736
AATSC2d,-0.007057002367510485
AATSC2i,0.15558910099622708
AATSC2m,2.2991856140350904
AATSC2p,0.04963121986907235
AATSC2s,-0.0002762085141276161
AATSC2v,6.678526013004008
AATSC3Z,-3.6402500279048997
AATSC3c,-0.0007492680287452981
AATSC3d,-0.11851211072664362
AATSC3i,-0.1892054702604492
AATSC3m,-16.42141317741935
AATSC3p,-0.06632301389425027
AATSC3s,-0.16256585211918767
AATSC3v,-10.584117879328717
AATSC4Z,0.1952395931634688
AATSC4c,-0.0010662830308345217
AATSC4d,-0.07974205725070777
AATSC4i,-0.4500940299366091
AATSC4m,0.3497645303030335
AATSC4p,-0.06732204907806098
AATSC4s,-0.10551724724425397
AATSC4v,-9.995262176773739
