DLiP-ID,C001XG
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.193869992441421
SssS,0
StCH,0
StsC,0
TIC0,57.41918925723962
TIC1,128.71627028590007
TIC2,155.2602430865834
TIC3,157.26024308658342
TIC4,157.26024308658342
TIC5,157.26024308658342
Vabc,241.76348322509597
WPol,27
apol,37.786687999999984
bpol,22.399312
nRot,3
ABCGG,13.401144372147547
ATS0Z,838.0
ATS0d,112.0
ATS0i,5771.294330387984
ATS0m,3307.954699
ATS0p,48.36232247758401
ATS0s,192.44444444444446
ATS0v,7355.251087936965
ATS1Z,914.0
ATS1d,136.0
ATS1i,5381.6347651032
ATS1m,3466.3147959999988
ATS1p,60.32960494
ATS1s,124.16666666666667
ATS1v,9115.83253346495
ATS2Z,1361.0
ATS2d,219.0
ATS2i,9769.87138431814
ATS2m,5115.767391999999
ATS2p,86.89918323564099
ATS2s,226.13888888888889
ATS2v,12882.441274051049
ATS3Z,1388.0
ATS3d,234.0
ATS3i,12102.601149449092
ATS3m,5013.6336550000005
ATS3p,96.200464619641
ATS3s,243.58333333333334
ATS3v,14017.742265733392
ATS4Z,1595.0
ATS4d,235.0
ATS4i,12910.472777815385
ATS4m,5913.222886999998
ATS4p,98.50245447273498
ATS4s,318.7777777777778
ATS4v,14641.458511844065
ATS5Z,1498.0
ATS5d,212.0
ATS5i,12983.688840076495
ATS5m,5355.667147
ATS5p,94.278566077943
ATS5s,364.05555555555554
ATS5v,14086.632655687368
ATS6Z,1279.0
ATS6d,176.0
ATS6i,11339.251443660245
ATS6m,4569.394667
ATS6p,88.23987615109401
ATS6s,303.0555555555556
ATS6v,12559.153698768745
ATS7Z,739.0
ATS7d,142.0
ATS7i,13417.115834661485
ATS7m,2191.6214609999997
ATS7p,80.406652524735
ATS7s,198.83333333333331
ATS7v,9722.949519142549
ATS8Z,443.0
ATS8d,104.0
ATS8i,12078.148305840961
ATS8m,1331.8274859999997
ATS8p,54.96135677111101
ATS8s,143.66666666666666
ATS8v,6151.147153002844
C1SP1,0
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,4
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.38461538461538464
GGI10,0.0
JGI10,0.0
JGT10,0.4871288882893382
Kier1,15.39
Kier2,6.635204081632653
Kier3,3.7616326530612243
MAXdO,12.118155706727133
MID_C,26.202613371031166
MID_N,4.0291222105162685
MID_O,7.4943774457697305
MID_X,0.0
MID_h,11.523499656285999
MINdO,11.519267920131014
MPC10,24
MWC01,20.0
MWC02,4.574710978503383
MWC03,5.407171771460119
MWC04,6.297109319933935
MWC05,7.1569563646156364
MWC06,8.054840221101024
MWC07,8.925986089617076
MWC08,9.826012379256717
MWC09,10.702412661625024
MWC10,11.602921549950784
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,1
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.8591
SRW02,3.713572066704308
SRW03,0.0
SRW04,5.030437921392435
SRW05,2.3978952727983707
SRW06,6.52649485957079
SRW07,4.442651256490317
SRW08,8.124743020385568
SRW09,6.293419278846481
SRW10,9.785885750455948
SaaCH,4.889596560846561
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.49065381708238864
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.02736394557823063
SdssS,0
SsCH3,5.195096214411691
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.2134004157218445
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.813376983452269
VE1_D,4.288912327266608
VE2_A,0.20070405176064574
VE2_D,0.22573222775087412
VE3_A,1.980369030099935
VE3_D,2.0978870501987505
VR1_A,116.77612262670317
VR1_D,96.01083819988706
VR2_A,6.146111717194904
VR2_D,5.053202010520372
VR3_A,5.4021125061020525
VR3_D,5.206314969183231
WPath,665
Xc-3d,1.5821884871154397
Xc-4d,0.0
Xc-5d,0.27053714317030586
Xc-6d,0.0
Xp-0d,13.991199352633217
Xp-1d,8.986071002992366
Xp-2d,8.446434700684414
Xp-3d,6.1057258862979955
Xp-4d,5.7075675235713454
Xp-5d,3.544723989493398
Xp-6d,2.8081280072129418
Xp-7d,1.517597116345301
ZMIC0,64.40319165624156
ZMIC1,28.90487001965704
ZMIC2,23.97829887677404
ZMIC3,23.799482704377183
ZMIC4,23.799482704377183
ZMIC5,23.799482704377183
nAcid,0
nAtom,35
nBase,0
nRing,2
piPC1,3.2771447329921766
piPC2,3.7898553714539385
piPC3,4.210274029229161
piPC4,4.719056751365351
piPC5,4.84909627648483
piPC6,5.160491049640633
piPC7,5.231108616854587
piPC8,5.369474560864365
piPC9,5.022234429939608
AATS0Z,23.942857142857143
AATS0d,3.2
AATS0i,164.89412372537097
AATS0m,94.51299139999999
AATS0p,1.381780642216686
AATS0s,5.498412698412698
AATS0v,210.1500310839133
AATS1Z,25.38888888888889
AATS1d,3.7777777777777777
AATS1i,149.4898545862
AATS1m,96.28652211111108
AATS1p,1.6758223594444446
AATS1s,3.4490740740740744
AATS1v,253.21757037402642
AATS2Z,21.951612903225808
AATS2d,3.532258064516129
AATS2i,157.5785707148087
AATS2m,82.51237729032256
AATS2p,1.4015997296071128
AATS2s,3.647401433691756
AATS2v,207.7813108717911
AATS3Z,18.506666666666668
AATS3d,3.12
AATS3i,161.3680153259879
AATS3m,66.84844873333334
AATS3p,1.2826728615952132
AATS3s,3.247777777777778
AATS3v,186.90323020977857
AATS4Z,19.9375
AATS4d,2.9375
AATS4i,161.3809097226923
AATS4m,73.91528608749998
AATS4p,1.2312806809091872
AATS4s,3.984722222222223
AATS4v,183.0182313980508
AATS5Z,18.962025316455698
AATS5d,2.6835443037974684
AATS5i,164.3504916465379
AATS5m,67.79325502531645
AATS5p,1.1933995706068734
AATS5s,4.60829817158931
AATS5v,178.31180576819455
AATS6Z,18.014084507042252
AATS6d,2.4788732394366195
AATS6i,159.70776681211612
AATS6m,64.35767136619718
AATS6p,1.242815157057662
AATS6s,4.268388106416276
AATS6v,176.88948871505275
AATS7Z,9.2375
AATS7d,1.775
AATS7i,167.71394793326857
AATS7m,27.395268262499997
AATS7p,1.0050831565591873
AATS7s,2.4854166666666666
AATS7v,121.53686898928186
AATS8Z,6.328571428571428
AATS8d,1.4857142857142858
AATS8i,172.54497579772803
AATS8m,19.026106942857137
AATS8p,0.7851622395873001
AATS8s,2.052380952380952
AATS8v,87.87353075718349
AMID_C,1.3790849142647983
AMID_N,0.21205906371138256
AMID_O,0.3944409181984069
AMID_X,0.0
AMID_h,0.6064999819097894
ATS0dv,304.0
ATS0pe,227.7901
ATS0se,279.33226799999994
ATS1dv,288.0
ATS1pe,240.58099999999996
ATS1se,286.89590400000003
ATS2dv,409.0
ATS2pe,407.7389
ATS2se,494.51716
ATS3dv,389.0
ATS3pe,493.2041
ATS3se,603.571076
ATS4dv,447.0
ATS4pe,524.9159
ATS4se,641.985244
ATS5dv,404.0
ATS5pe,544.0729
ATS5se,664.148044
ATS6dv,275.0
ATS6pe,465.2031999999999
ATS6se,569.0988199999999
ATS7dv,62.0
ATS7pe,480.88899999999995
ATS7se,607.4408759999999
ATS8dv,24.0
ATS8pe,386.27000000000004
ATS8se,506.66548
ATSC0Z,278.0
ATSC0c,1.1235653012461597
ATSC0d,22.4
ATSC0i,49.70283723442556
ATSC0m,1312.3990715428572
ATSC0p,7.567071334459884
ATSC0s,71.73015873015873
ATSC0v,1652.1353342247853
ATSC1Z,10.0
ATSC1c,-0.7605783989474932
ATSC1d,8.959999999999999
ATSC1i,-9.532324281509823
ATSC1m,47.152067441633136
ATSC1p,-0.8787625276821682
ATSC1s,-5.479591836734691
ATSC1v,-36.8884884050382
ATSC2Z,97.0
ATSC2c,0.4337607864263007
ATSC2d,4.919999999999997
ATSC2i,-1.2022838079273679
ATSC2m,450.16507255265356
ATSC2p,-0.10917897214234029
ATSC2s,21.499433106575964
ATSC2v,192.50719922149574
ATSC3Z,-76.0
ATSC3c,-0.4166751995240475
ATSC3d,-1.2000000000000026
ATSC3i,0.188722918202176
ATSC3m,-346.5783088775507
ATSC3p,0.4212221611844446
ATSC3s,-27.647959183673468
ATSC3v,-51.015786509605675
ATSC4Z,107.0
ATSC4c,0.22677722020614507
ATSC4d,-6.600000000000002
ATSC4i,-11.828426935909413
ATSC4m,497.6888195877554
ATSC4p,-1.5752426000491955
ATSC4s,6.910430839002269
ATSC4v,112.49472735391365
ATSC5Z,-150.0
ATSC5c,0.0293234440267525
ATSC5d,-9.760000000000002
ATSC5i,15.441188004400358
ATSC5m,-697.1910152824483
ATSC5p,1.855745213238686
ATSC5s,-43.80839002267574
ATSC5v,-202.04999135174063
ATSC6Z,-93.0
ATSC6c,0.07858755427317499
ATSC6d,-18.24
ATSC6i,-31.599956053238564
ATSC6m,-452.2094769583669
ATSC6p,-4.132194230383825
ATSC6s,31.02834467120181
ATSC6v,-911.3998228292724
ATSC7Z,-237.0
ATSC7c,-0.2651534772359075
ATSC7d,-1.9999999999999967
ATSC7i,1.2982917000978562
ATSC7m,-1125.1439221265312
ATSC7p,-3.6899162737305677
ATSC7s,-22.653061224489793
ATSC7v,-1162.1692656631224
ATSC8Z,191.0
ATSC8c,0.10029710234107127
ATSC8d,4.800000000000004
ATSC8i,14.949457967310664
ATSC8m,912.2927248285699
ATSC8p,4.128217709440601
ATSC8s,18.000000000000004
ATSC8v,1181.4627960626437
AXp-0d,0.7363789132964851
AXp-1d,0.4493035501496183
AXp-2d,0.3016583821673005
AXp-3d,0.17444931103708558
AXp-4d,0.11890765674106969
AXp-5d,0.0681677690287192
AXp-6d,0.049265403635314765
AXp-7d,0.03035194232690602
GATS1Z,0.7643884892086331
GATS1c,1.7055118525641852
GATS1d,0.8643353174603174
GATS1i,1.4680110147507002
GATS1m,0.7715294231931351
GATS1p,1.2659093551398763
GATS1s,0.6060307098423937
GATS1v,1.0457345460487462
GATS2Z,0.7081689487119982
GATS2c,0.8589637070001295
GATS2d,1.1383928571428572
GATS2i,1.1287664483060098
GATS2m,0.7139165089461156
GATS2p,1.0550478547218078
GATS2s,0.48674057206490146
GATS2v,0.9231073868477297
GATS3Z,1.0860431654676261
GATS3c,1.4553758188910888
GATS3d,1.2041666666666666
GATS3i,1.044432922824922
GATS3m,1.0798868432403634
GATS3p,0.959374362357587
GATS3s,1.0310348897248653
GATS3v,0.960182360029175
GATS4Z,0.8010791366906476
GATS4c,1.1659293085145221
GATS4d,1.2996651785714286
GATS4i,1.1214184122606492
GATS4m,0.8019822218310898
GATS4p,1.0765620006693768
GATS4s,1.1352103618057092
GATS4v,0.9276677828322119
GATS5Z,1.2911392405063291
GATS5c,1.2491156053319588
GATS5d,1.2200497287522603
GATS5i,0.827351697577039
GATS5m,1.2763793467665594
GATS5p,0.8178122396818415
GATS5s,2.1071607642555623
GATS5v,0.928921798417479
GATS6Z,1.1067484040936266
GATS6c,0.9448760941968762
GATS6d,1.3788983903420524
GATS6i,1.352666227965799
GATS6m,1.1109578687025445
GATS6p,1.2694709458703437
GATS6s,0.8302394584368348
GATS6v,1.2289117477440392
GATS7Z,1.32544964028777
GATS7c,0.8108805524175914
GATS7d,0.7209821428571428
GATS7i,0.9417785032583724
GATS7m,1.331569809894469
GATS7p,1.1300401615301345
GATS7s,0.7767488658995353
GATS7v,1.2827998938140908
GATS8Z,0.699743062692703
GATS8c,0.5452681072948105
GATS8d,0.5420918367346939
GATS8i,0.5351595965402961
GATS8m,0.700242356415196
GATS8p,0.6338698351856027
GATS8s,0.4617725160433724
GATS8v,0.6916630491777033
MATS1Z,0.03497202238209433
MATS1c,-0.658129278626545
MATS1d,0.3888888888888889
MATS1i,-0.1864589229021593
MATS1m,0.03493014341787398
MATS1p,-0.11290397826410287
MATS1s,-0.07426974994467798
MATS1v,-0.021707548666642935
MATS2Z,0.19697145509398933
MATS2c,0.21793567299362188
MATS2d,0.1239919354838709
MATS2i,-0.013655329132382574
MATS2m,0.19363427610795209
MATS2p,-0.008144933224673226
MATS2s,0.1692004725567318
MATS2v,0.06577755263999134
MATS3Z,-0.1275779376498801
MATS3c,-0.17306375181655256
MATS3d,-0.025000000000000057
MATS3i,0.0017719450249012196
MATS3m,-0.12323731984412287
MATS3p,0.02597707001794833
MATS3s,-0.17987386589953527
MATS3v,-0.014410058634201944
MATS4Z,0.16839028776978418
MATS4c,0.08830375388964744
MATS4d,-0.12890625000000006
MATS4i,-0.10411753276885498
MATS4m,0.165909031247385
MATS4p,-0.09107468491582733
MATS4s,0.04214842885594159
MATS4v,0.029789595439183893
MATS5Z,-0.23904926691558145
MATS5c,0.011562656160660876
MATS5d,-0.19303797468354436
MATS5i,0.13763867498974655
MATS5m,-0.23535683777585875
MATS5p,0.10865043614137324
MATS5s,-0.270580474564497
MATS5v,-0.05418189242669119
MATS6Z,-0.16491032526091803
MATS6c,0.034479832736756026
MATS6d,-0.4014084507042253
MATS6i,-0.31341154734012944
MATS6m,-0.16985699664944248
MATS6p,-0.26919227608529045
MATS6s,0.21323893794277055
MATS6v,-0.27193995158633555
MATS7Z,-0.37297661870503596
MATS7c,-0.10324691067092175
MATS7d,-0.03906249999999994
MATS7i,0.011427971729537356
MATS7m,-0.37507681665125486
MATS7p,-0.21333727388105167
MATS7s,-0.13816662978535071
MATS7v,-0.3077526660164256
MATS8Z,0.3435251798561151
MATS8c,0.044633410372245635
MATS8d,0.10714285714285725
MATS8i,0.15038837618867618
MATS8m,0.3475668127972988
MATS8p,0.27277512838031553
MATS8s,0.12547023677804825
MATS8v,0.357556300500349
MAXaaO,5.270583427815571
MAXssO,5.193869992441421
MINaaO,5.270583427815571
MINssO,5.193869992441421
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,22.897166151139526
SpAD_D,145.116093879883
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,-0.8632601095993961
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,409
TMWC10,111.5481213360637
TSRW10,65.31509942664421
VE1_Dt,4.30990999073861
VE2_Dt,0.22683736793361103
VE3_Dt,2.1027709062506332
VR1_Dt,92.94730579843626
VR2_Dt,4.891963463075593
VR3_Dt,5.173886614426874
Xc-3dv,0.665778912411549
Xc-4dv,0.0
Xc-5dv,0.08316506378063891
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.1388888888888889
Xch-7d,0.28229922855241735
Xp-0dv,11.019744507803583
Xp-1dv,6.013968845143928
Xp-2dv,4.539632524904486
Xp-3dv,2.659498822336529
Xp-4dv,1.9109012992672083
Xp-5dv,1.0600599253072347
Xp-6dv,0.6505237992567953
Xp-7dv,0.29146614658008085
Xpc-4d,2.7855374727678734
Xpc-5d,5.288578188047468
Xpc-6d,7.655495576641901
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,36
nFRing,0
nHBAcc,4
nHBDon,2
nHRing,2
nSpiro,0
naRing,1
piPC10,5.105187611037478
AATS0dv,8.685714285714285
AATS0pe,6.508288571428571
AATS0se,7.980921942857141
AATS1dv,8.0
AATS1pe,6.6828055555555546
AATS1se,7.969330666666668
AATS2dv,6.596774193548387
AATS2pe,6.576433870967742
AATS2se,7.976083225806452
AATS3dv,5.1866666666666665
AATS3pe,6.576054666666667
AATS3se,8.047614346666666
AATS4dv,5.5875
AATS4pe,6.561448749999999
AATS4se,8.02481555
AATS5dv,5.113924050632911
AATS5pe,6.886998734177215
AATS5se,8.406937265822785
AATS6dv,3.8732394366197185
AATS6pe,6.552157746478872
AATS6se,8.015476338028169
AATS7dv,0.775
AATS7pe,6.011112499999999
AATS7se,7.593010949999998
AATS8dv,0.34285714285714286
AATS8pe,5.518142857142858
AATS8se,7.238078285714286
AATSC0Z,7.942857142857143
AATSC0c,0.032101865749890275
AATSC0d,0.64
AATSC0i,1.4200810638407302
AATSC0m,37.49711632979592
AATSC0p,0.21620203812742525
AATSC0s,2.0494331065759637
AATSC0v,47.20386669213672
AATSC1Z,0.2777777777777778
AATSC1c,-0.02112717774854148
AATSC1d,0.24888888888888885
AATSC1i,-0.2647867855974951
AATSC1m,1.309779651156476
AATSC1p,-0.024410070213393562
AATSC1s,-0.15221088435374142
AATSC1v,-1.0246802334732834
AATSC2Z,1.564516129032258
AATSC2c,0.006996141716553238
AATSC2d,0.07935483870967737
AATSC2i,-0.01939167432140916
AATSC2m,7.260726976655702
AATSC2p,-0.0017609511635861338
AATSC2s,0.34676505010606395
AATSC2v,3.104954826153157
AATSC3Z,-1.0133333333333334
AATSC3c,-0.0055556693269873
AATSC3d,-0.016000000000000035
AATSC3i,0.002516305576029013
AATSC3m,-4.621044118367342
AATSC3p,0.005616295482459261
AATSC3s,-0.3686394557823129
AATSC3v,-0.6802104867947424
AATSC4Z,1.3375
AATSC4c,0.0028347152525768134
AATSC4d,-0.08250000000000003
AATSC4i,-0.14785533669886766
AATSC4m,6.221110244846942
AATSC4p,-0.019690532500614942
AATSC4s,0.08638038548752837
AATSC4v,1.4061840919239206
AATSC5Z,-1.8987341772151898
AATSC5c,0.0003711828357816772
AATSC5d,-0.12354430379746838
AATSC5i,0.19545807600506782
AATSC5m,-8.825202725094282
AATSC5p,0.023490445737198558
AATSC5s,-0.5545365825655156
AATSC5v,-2.557594827237223
AATSC6Z,-1.3098591549295775
AATSC6c,0.0011068669615940138
AATSC6d,-0.2569014084507042
AATSC6i,-0.44506980356674036
