DLiP-ID,I0004T
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.383495200702175
VE1_D,5.580840915606112
VE2_A,0.13698422502194296
VE2_D,0.174401278612691
VE3_A,2.640997206996372
VE3_D,2.8824902765660623
VR1_A,592.5403657360904
VR1_D,214.2854935339357
VR2_A,18.516886429252825
VR2_D,6.69642167293549
VR3_A,7.547569808318998
VR3_D,6.530460017665171
WPath,3308
Xc-3d,2.093412988719178
Xc-4d,0.0
Xc-5d,0.48570226039551584
Xc-6d,0.0
Xp-0d,22.078775022443736
Xp-1d,15.563683283512809
Xp-2d,14.27820492849942
Xp-3d,12.211450856460877
Xp-4d,10.238978222442105
Xp-5d,8.485755328123759
Xp-6d,5.77377682333762
Xp-7d,4.208398849932094
ZMIC0,100.16277992848241
ZMIC1,59.358065307258656
ZMIC2,34.93188749877175
ZMIC3,28.793448807871112
ZMIC4,27.37020276243223
ZMIC5,26.5162551351689
nAcid,0
nAtom,52
nBase,0
nRing,5
piPC1,3.912023005428146
piPC2,4.54595082632812
piPC3,5.149672336113466
piPC4,5.752771031842849
piPC5,6.3028478872716
piPC6,6.610675014886944
piPC7,7.012277161835755
piPC8,7.419256455760799
piPC9,7.690582473072435
AATS0Z,29.384615384615383
AATS0d,3.730769230769231
AATS0i,158.6550288940881
AATS0m,116.5998458269231
AATS0p,1.750105194172692
AATS0s,3.88434499314129
AATS0v,250.10166906055707
AATS1Z,28.339285714285715
AATS1d,4.339285714285714
AATS1i,146.03790372921782
AATS1m,109.17474191071427
AATS1p,1.941467324464286
AATS1s,3.2732032627865957
AATS1v,287.7368062855448
AATS2Z,25.881720430107528
AATS2d,4.021505376344086
AATS2i,150.43098309584454
AATS2m,98.61242332258068
AATS2p,1.7243728892284407
AATS2s,3.260553564317006
AATS2v,252.27622213595222
AATS3Z,21.92241379310345
AATS3d,3.4913793103448274
AATS3i,154.74031407233062
AATS3m,81.15061180172415
AATS3p,1.5641329823762156
AATS3s,3.2016017454235843
AATS3v,219.99838519388072
AATS4Z,20.735042735042736
AATS4d,3.1538461538461537
AATS4i,158.33676825836363
AATS4m,75.99042441025642
AATS4p,1.480907101012735
AATS4s,3.074918223066371
AATS4v,202.26075426110577
AATS5Z,20.123893805309734
AATS5d,3.0707964601769913
AATS5i,159.05135615895938
AATS5m,74.4489750442478
AATS5p,1.4748178261020093
AATS5s,2.8347536326887357
AATS5v,193.6478992005063
AATS6Z,22.343434343434343
AATS6d,3.1515151515151514
AATS6i,155.7167931195805
AATS6m,81.98333971717172
AATS6p,1.6031640480741318
AATS6s,3.0522509041027552
AATS6v,211.52572767807203
AATS7Z,21.626262626262626
AATS7d,3.0505050505050506
AATS7i,158.51392150979797
AATS7m,79.70878365656566
AATS7p,1.484909899263
AATS7s,3.10496944756204
AATS7v,202.03160767426093
AATS8Z,20.589473684210525
AATS8d,3.042105263157895
AATS8i,157.42119942588545
AATS8m,75.54062424210527
AATS8p,1.5012293408951265
AATS8s,3.00454840805718
AATS8v,201.23520605705474
AMID_C,1.583155707235764
AMID_N,0.256107021662048
AMID_O,0.183317044273002
AMID_X,0.0
AMID_h,0.4947362079436467
ATS0dv,456.44444444444446
ATS0pe,331.9835999999999
ATS0se,404.9472049999999
ATS1dv,487.6666666666667
ATS1pe,370.944
ATS1se,440.18277399999994
ATS2dv,687.3333333333334
ATS2pe,610.4762000000001
ATS2se,732.7114960000001
ATS3dv,672.3333333333334
ATS3pe,749.7665999999999
ATS3se,911.0324640000001
ATS4dv,563.3333333333334
ATS4pe,746.9703000000001
ATS4se,912.9953479999998
ATS5dv,527.3333333333334
ATS5pe,698.2498999999999
ATS5se,863.668426
ATS6dv,506.33333333333337
ATS6pe,627.0906999999999
ATS6se,769.020976
ATS7dv,448.6666666666667
ATS7pe,628.9483999999999
ATS7se,772.138428
ATS8dv,403.6666666666667
ATS8pe,597.6078000000001
ATS8se,736.161472
ATSC0Z,492.92307692307696
ATSC0c,1.3003294045143199
ATSC0d,31.230769230769234
ATSC0i,85.84880444980305
ATSC0m,2263.4179237499993
ATSC0p,14.382985291987689
ATSC0s,49.21496122190567
ATSC0v,2577.6346092473195
ATSC1Z,11.390532544378686
ATSC1c,-0.7716263873739708
ATSC1d,9.597633136094675
ATSC1i,-5.674311923240178
ATSC1m,58.07702325000005
ATSC1p,-0.06407333807751628
ATSC1s,-4.919326446213911
ATSC1v,89.85947369528324
ATSC2Z,59.88757396449704
ATSC2c,0.11064980471914965
ATSC2d,-3.6627218934911214
ATSC2i,-17.096051146208133
ATSC2m,265.3222700625001
ATSC2p,-1.6892918813660656
ATSC2s,2.3829672902411483
ATSC2v,-90.7297616586128
ATSC3Z,-122.59763313609471
ATSC3c,0.005227629859151789
ATSC3d,-8.591715976331361
ATSC3i,-28.22560789579351
ATSC3m,-559.3705382500002
ATSC3p,-2.4083067899246213
ATSC3s,-1.4575216516099723
ATSC3v,-513.0207608219649
ATSC4Z,-68.0
ATSC4c,-0.2717383539791798
ATSC4d,-6.076923076923077
ATSC4i,-10.53339865916539
ATSC4m,-350.80224693749994
ATSC4p,-1.5736938091876922
ATSC4s,-15.282082607892793
ATSC4v,-677.0880206529243
ATSC5Z,155.45562130177518
ATSC5c,0.3945352699537199
ATSC5d,-1.6745562130177514
ATSC5i,25.388052272385664
ATSC5m,724.8249383124999
ATSC5p,5.068913402623746
ATSC5s,9.929391933709955
ATSC5v,696.9251278095137
ATSC6Z,-167.37278106508873
ATSC6c,-0.19542926489442786
ATSC6d,-2.6508875739644973
ATSC6i,-12.83064259570953
ATSC6m,-739.6470533125
ATSC6p,-3.518678923629493
ATSC6s,10.318106564678859
ATSC6v,-434.26109854095
ATSC7Z,2.550295857988157
ATSC7c,0.26215733546756304
ATSC7d,-2.0355029585798814
ATSC7i,13.144433986956127
ATSC7m,-5.338330312499934
ATSC7p,-1.221492697083799
ATSC7s,-10.998502066744587
ATSC7v,-56.889076218059486
ATSC8Z,-7.763313609467467
ATSC8c,-0.2850376661257518
ATSC8d,-6.32544378698225
ATSC8i,10.608086930205983
ATSC8m,-45.44378506249997
ATSC8p,1.8901131158202542
ATSC8s,-19.920020560912654
ATSC8v,90.54032389085882
AXp-0d,0.6899617194513668
AXp-1d,0.43232453565313356
AXp-2d,0.2799648025195965
AXp-3d,0.17958015965383642
AXp-4d,0.11504469912856298
AXp-5d,0.07443645024669963
AXp-6d,0.04811480686114684
AXp-7d,0.03117332481431181
GATS1Z,0.6106248327982878
GATS1c,1.5754383404069205
GATS1d,0.7144396551724137
GATS1i,1.1134072487291777
GATS1m,0.6193160984214058
GATS1p,0.8089440027024185
GATS1s,0.675410277943382
GATS1v,0.7974485480941114
GATS2Z,0.6791938504288992
GATS2c,1.0797644773352604
GATS2d,1.15890672175433
GATS2i,1.122556840409382
GATS2m,0.6901512838867689
GATS2p,0.9160509680760369
GATS2s,0.6980154483204384
GATS2v,0.8918586575190481
GATS3Z,1.015467599767532
GATS3c,1.151531199941955
GATS3d,1.1614043655512143
GATS3i,1.1565733825003757
GATS3m,1.015325445625833
GATS3p,1.0036159318898077
GATS3s,0.960981531966689
GATS3v,1.0038631232518307
GATS4Z,0.9935237203495629
GATS4c,1.132832801708884
GATS4d,1.0398193760262724
GATS4i,1.1013452797350671
GATS4m,1.002910010049286
GATS4p,0.9701305047369034
GATS4s,1.2822816146856428
GATS4v,1.0454090774846911
GATS5Z,0.9591060123960092
GATS5c,0.7375541205454724
GATS5d,1.105529883604342
GATS5i,0.8718345541722219
GATS5m,0.9486602530238373
GATS5p,0.8960760813707084
GATS5s,0.9258936340264383
GATS5v,0.8965334630831754
GATS6Z,1.5420378882457533
GATS6c,1.057672993170538
GATS6d,1.0639274518584863
GATS6i,1.1700072130390784
GATS6m,1.4935300645614498
GATS6p,1.3711388507442208
GATS6s,0.8424048185995923
GATS6v,1.0787407392244306
GATS7Z,1.127135115196913
GATS7c,0.9133558213191434
GATS7d,1.0474324526048664
GATS7i,0.9674563790206485
GATS7m,1.1155068460806827
GATS7p,1.1045850990261707
GATS7s,1.521657127962361
GATS7v,0.978382215262408
GATS8Z,1.0912773506800708
GATS8c,1.0135603638930732
GATS8d,1.1774824993518278
GATS8i,0.9290792717393729
GATS8m,1.083646734594671
GATS8p,0.974142207994531
GATS8s,1.7932259720251182
GATS8v,0.9646667501490168
MATS1Z,0.02145755305867663
MATS1c,-0.5510220828351405
MATS1d,0.2853624208304011
MATS1i,-0.06137539086876718
MATS1m,0.023826207206612715
MATS1p,-0.004136600981238793
MATS1s,-0.0928162061364555
MATS1v,0.03237112799485222
MATS2Z,0.06793255742150267
MATS2c,0.047579257840529035
MATS2d,-0.06557550717728687
MATS2i,-0.11134787982877502
MATS2m,0.06554345773599145
MATS2p,-0.06567136655452362
MATS2s,0.027073308301344204
MATS2v,-0.01968107474970381
MATS3Z,-0.11149317663265748
MATS3c,0.0018021743364051769
MATS3d,-0.12332257516561916
MATS3i,-0.14738538053032213
MATS3m,-0.11078480364534586
MATS3p,-0.0750599253537029
MATS3s,-0.01327587706335174
MATS3v,-0.08921932650644249
MATS4Z,-0.06131224857816618
MATS4c,-0.09287846706322354
MATS4d,-0.08648056923918991
MATS4i,-0.05453204089664358
MATS4m,-0.06888348285750383
MATS4p,-0.04862825460439774
MATS4s,-0.13800756001806766
MATS4v,-0.11674579791080233
MATS5Z,0.1451283241081392
MATS5c,0.13962312380211273
MATS5d,-0.02467413575134051
MATS5i,0.13608806297014647
MATS5m,0.14736463634203
MATS5p,0.16217755011687068
MATS5s,0.09284326535188504
MATS5v,0.1244198488109872
MATS6Z,-0.17835029445516332
MATS6c,-0.07894131636005197
MATS6d,-0.04458376872169976
MATS6i,-0.07850228628343474
MATS6m,-0.17164372450683607
MATS6p,-0.12849870542652925
MATS6s,0.11012121912452
MATS6v,-0.0884907185096242
MATS7Z,0.002717562642656266
MATS7c,0.10589532313102014
MATS7d,-0.03423396526844801
MATS7i,0.08042216998724509
MATS7m,-0.0012388218047805824
MATS7p,-0.044607716040577075
MATS7s,-0.11738282101868981
MATS7v,-0.011592461877886
MATS8Z,-0.008620802943688822
MATS8c,-0.11998545653595712
MATS8d,-0.11086336530982631
MATS8i,0.06763672284767884
MATS8m,-0.01098979230274189
MATS8p,0.0719313974682112
MATS8s,-0.22155031581960302
MATS8v,0.019226508657177233
MAXaaN,4.648130311800356
MAXssO,5.545279383358093
MINaaN,4.648130311800356
MINssO,5.495817629949283
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,42.545337687559524
SpAD_D,426.47049337861995
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.9562328016823967
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1119
TMWC10,145.9854265766829
TSRW10,82.20023871993429
VE1_Dt,5.559758286907748
VE2_Dt,0.17374244646586712
VE3_Dt,2.8787054435454253
VR1_Dt,216.50829279386147
VR2_Dt,6.765884149808171
VR3_Dt,6.540779660412394
Xc-3dv,0.8977684985654539
Xc-4dv,0.0
Xc-5dv,0.10983370061654635
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.49438774919813083
Xch-7d,0.8281210371298215
Xp-0dv,18.08441959255249
Xp-1dv,10.552726748695969
Xp-2dv,7.807194041538978
Xp-3dv,5.384134205409628
Xp-4dv,3.7095841772729274
Xp-5dv,2.595669471746399
Xp-6dv,1.3875704804195597
Xp-7dv,0.8182314661194197
Xpc-4d,4.97698190142531
Xpc-5d,7.531658486156536
Xpc-6d,11.28359740737589
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,56
nFRing,2
nHBAcc,5
nHBDon,3
nHRing,2
nSpiro,0
naRing,4
piPC10,7.968305974124844
AATS0dv,8.777777777777779
AATS0pe,6.384299999999998
AATS0se,7.787446249999998
AATS1dv,8.708333333333334
AATS1pe,6.6240000000000006
AATS1se,7.860406678571428
AATS2dv,7.39068100358423
AATS2pe,6.564260215053764
AATS2se,7.8786182365591415
AATS3dv,5.795977011494253
AATS3pe,6.463505172413792
AATS3se,7.853728137931036
AATS4dv,4.814814814814815
AATS4pe,6.384361538461539
AATS4se,7.803379042735041
AATS5dv,4.666666666666667
AATS5pe,6.179202654867256
AATS5se,7.643083415929203
AATS6dv,5.114478114478115
AATS6pe,6.334249494949494
AATS6se,7.767888646464646
AATS7dv,4.531986531986532
AATS7pe,6.35301414141414
AATS7se,7.7993780606060605
AATS8dv,4.249122807017544
AATS8pe,6.2906084210526325
AATS8se,7.749068126315789
AATSC0Z,9.479289940828403
AATSC0c,0.02500633470219846
AATSC0d,0.6005917159763314
AATSC0i,1.6509385471115972
AATSC0m,43.527267764423065
AATSC0p,0.27659587099976324
AATSC0s,0.9464415619597244
AATSC0v,49.569896331679224
AATSC1Z,0.20340236686390512
AATSC1c,-0.01377904263167805
AATSC1d,0.17138630600169064
AATSC1i,-0.10132699862928889
AATSC1m,1.0370897008928581
AATSC1p,-0.0011441667513842192
AATSC1s,-0.0878451151109627
AATSC1v,1.6046334588443436
AATSC2Z,0.6439524082203982
AATSC2c,0.0011897828464424694
AATSC2d,-0.03938410638162496
AATSC2i,-0.18382850694847455
AATSC2m,2.852927635080646
AATSC2p,-0.01816442883189318
AATSC2s,0.02562330419614138
AATSC2v,-0.9755888350388473
AATSC3Z,-1.0568761477249544
AATSC3c,4.506577464786025e-05
AATSC3d,-0.07406651703733932
AATSC3i,-0.2433242059982199
AATSC3m,-4.822159812500002
AATSC3p,-0.020761265430384666
AATSC3s,-0.0125648418242239
AATSC3v,-4.422592765706594
AATSC4Z,-0.5811965811965812
AATSC4c,-0.0023225500340100834
