DLiP-ID,C101SX
MWC06,8.23880116587155
MWC07,9.027018314848645
MWC08,9.860110212566559
MWC09,10.654077828632564
MWC10,11.488274101529099
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,1
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.273200000000003
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.476463551931511
SRW05,0.0
SRW06,6.904750769961838
SRW07,0.0
SRW08,8.40178233990491
SRW09,0.0
SRW10,9.936293504261306
SaaCH,9.834078007559421
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.0772004651165565
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.42027996678541957
SdssS,0
SsCH3,5.650203819914026
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,9.018661063679463
SssPH,0
SssSe,0
SsssB,0
SsssN,1.779552944082425
SsssP,0
VE1_A,3.9029997466537316
VE1_D,5.576081486128459
VE2_A,0.12196874208292911
VE2_D,0.17425254644151433
VE3_A,2.5248962330935063
VE3_D,2.8816370968817404
VR1_A,6436.705556184768
VR1_D,197.13434877001845
VR2_A,201.147048630774
VR2_D,6.1604483990630765
VR3_A,9.932922938414189
VR3_D,6.447036279557317
WPath,4252
Xc-3d,2.948627658495493
Xc-4d,0.3535533905932738
Xc-5d,0.11785113019775792
Xc-6d,0.0
Xp-0d,23.39913045768215
Xp-1d,15.226165307525706
Xp-2d,14.041869435700827
Xp-3d,9.302505322169836
Xp-4d,7.291973452295347
Xp-5d,5.2706430185047815
Xp-6d,3.2348034833788746
Xp-7d,2.175554637212521
ZMIC0,106.77241080254386
ZMIC1,54.69506031586263
ZMIC2,38.343387298004615
ZMIC3,32.75649145044699
ZMIC4,31.34458893035848
ZMIC5,30.981358007858436
nAcid,0
nAtom,68
nBase,0
nRing,2
piPC1,3.6888794541139363
piPC2,4.069026754237811
piPC3,4.259152536523347
piPC4,4.5604342921467
piPC5,4.827813612260619
piPC6,4.590690864723257
piPC7,4.664028542994445
piPC8,4.785928020805863
piPC9,4.778598145056368
AATS0Z,25.941176470588236
AATS0d,2.764705882352941
AATS0i,164.54822626456863
AATS0m,102.39747773529413
AATS0p,1.5255937731553526
AATS0s,3.497086308803357
AATS0v,201.1159858391348
AATS1Z,24.47826086956522
AATS1d,3.3043478260869565
AATS1i,148.37304682338558
AATS1m,91.77388055072466
AATS1p,1.7793918714492754
AATS1s,2.6446367865449996
AATS1v,244.27853458502062
AATS2Z,21.192
AATS2d,2.912
AATS2i,157.70301023218573
AATS2m,78.065335152
AATS2p,1.490271419338256
AATS2s,2.6154622770919067
AATS2v,192.52766187261096
AATS3Z,15.0
AATS3d,2.3823529411764706
AATS3i,160.44945668732174
AATS3m,51.623157541176475
AATS3p,1.2835758206521526
AATS3s,2.2464960058097314
AATS3v,157.78004087442653
AATS4Z,13.878453038674033
AATS4d,2.18232044198895
AATS4i,166.21656635535973
AATS4m,47.69527891712707
AATS4p,1.12916892172895
AATS4s,2.3803969715571927
AATS4v,136.46424317124385
AATS5Z,16.06206896551724
AATS5d,2.3793103448275863
AATS5i,166.02768391547252
AATS5m,55.19296906206897
AATS5p,1.2625230627904893
AATS5s,2.7457002979991483
AATS5v,157.78886335377823
AATS6Z,16.15714285714286
AATS6d,2.2928571428571427
AATS6i,158.53703646065944
AATS6m,55.352638792857135
AATS6p,1.3423769317355716
AATS6s,2.3035714285714284
AATS6v,163.3820342825247
AATS7Z,11.488095238095237
AATS7d,1.9642857142857142
AATS7i,164.26429820889263
AATS7m,38.58542385119048
AATS7p,1.1039270215174999
AATS7s,1.9578281158142272
AATS7v,127.61386393143299
AATS8Z,12.835526315789474
AATS8d,2.0065789473684212
AATS8i,166.0852675138947
AATS8m,45.050689809210525
AATS8p,1.1021358447502239
AATS8s,1.8329069200779726
AATS8v,125.88579902565614
AMID_C,1.4403875852636014
AMID_N,0.2560070117611497
AMID_O,0.17092279035701674
AMID_X,0.0
AMID_h,0.5454480054220474
ATS0dv,354.8888888888889
ATS0pe,409.5775
ATS0se,513.6459619999998
ATS1dv,327.33333333333337
ATS1pe,440.32950000000005
ATS1se,531.33899
ATS2dv,409.44444444444446
ATS2pe,776.5483999999999
ATS2se,957.6573929999997
ATS3dv,336.3333333333333
ATS3pe,1022.5559999999999
ATS3se,1285.1232100000004
ATS4dv,305.66666666666663
ATS4pe,1075.0752
ATS4se,1367.281618
ATS5dv,282.0
ATS5pe,905.9411000000002
ATS5se,1135.39617
ATS6dv,244.0
ATS6pe,844.7281999999999
ATS6se,1059.171238
ATS7dv,237.66666666666669
ATS7pe,953.9490999999998
ATS7se,1223.5671399999999
ATS8dv,211.33333333333334
ATS8pe,854.8485999999999
ATS8se,1103.23761
ATSC0Z,785.1176470588236
ATSC0c,1.2438881327897793
ATSC0d,35.0
ATSC0i,103.35056348109444
ATSC0m,3565.101565470588
ATSC0p,20.974455659559528
ATSC0s,79.67631298918748
ATSC0v,3559.1090367961438
ATSC1Z,33.98356401384085
ATSC1c,-1.0313025174873376
ATSC1d,5.25
ATSC1i,-16.453991038369182
ATSC1m,156.24651197837414
ATSC1p,-0.34254733736757464
ATSC1s,-2.350168082165692
ATSC1v,-56.47302440980169
ATSC2Z,233.15138408304506
ATSC2c,0.8024292913522878
ATSC2d,-10.25
ATSC2i,10.532601711868287
ATSC2m,985.7956332378901
ATSC2p,2.0843421392696344
ATSC2s,30.51121684338526
ATSC2v,-76.85839106788376
ATSC3Z,-238.6764705882353
ATSC3c,-0.3769712717166412
ATSC3d,-3.0
ATSC3i,-27.6215059337463
ATSC3m,-1097.7565859705883
ATSC3p,-4.421626936491351
ATSC3s,-16.106415289881383
ATSC3v,-1107.4647621480965
ATSC4Z,-34.85726643598619
ATSC4c,0.032819807887732116
ATSC4d,-1.75
ATSC4i,-17.69289354148772
ATSC4m,-105.9904435320071
ATSC4p,-0.283899552401867
ATSC4s,-7.744261077025219
ATSC4v,399.30738509605294
ATSC5Z,-337.7067474048443
ATSC5c,-0.1028399094146667
ATSC5d,-8.25
ATSC5i,41.756105074773394
ATSC5m,-1504.7750432828718
ATSC5p,3.3012309757276497
ATSC5s,-41.01857352985675
ATSC5v,26.34087838174662
ATSC6Z,-317.33044982698965
ATSC6c,-0.07107747660233364
ATSC6d,-4.5
ATSC6i,-34.912226560585594
ATSC6m,-1493.0726112923871
ATSC6p,-11.0343379864842
ATSC6s,-16.854122613097523
ATSC6v,-1825.3918955810946
ATSC7Z,99.00346020761239
ATSC7c,0.09001943764392603
ATSC7d,4.5
ATSC7i,-15.968048182859757
ATSC7m,440.12943445501674
ATSC7p,-1.6685472671572512
ATSC7s,9.305204461959082
ATSC7v,-135.54817141365345
ATSC8Z,424.64878892733566
ATSC8c,0.07821300495596134
ATSC8d,5.0
ATSC8i,18.804306209853237
ATSC8m,1937.5934150363319
ATSC8p,6.34601690198093
ATSC8s,13.944639570606753
ATSC8v,1324.902351332397
AXp-0d,0.7312228268025672
AXp-1d,0.4613989487129002
AXp-2d,0.3265551031558332
AXp-3d,0.20672234049266303
AXp-4d,0.14023025869798744
AXp-5d,0.09087315549146174
AXp-6d,0.06103402798828065
AXp-7d,0.04028804883726891
GATS1Z,0.7779319675593386
GATS1c,1.9897979883453647
GATS1d,1.19296066252588
GATS1i,1.4288533548789935
GATS1m,0.7908790169178298
GATS1p,1.0243138313336448
GATS1s,0.6093808847496399
GATS1v,1.1098724995442815
GATS2Z,0.7827158162883044
GATS2c,0.8058016385448541
GATS2d,1.5850285714285715
GATS2i,1.0867174469073317
GATS2m,0.7975660545302516
GATS2p,0.9448944146141547
GATS2s,0.4503447423181426
GATS2v,1.0322103016492068
GATS3Z,1.1385030343897504
GATS3c,1.3588131771769263
GATS3d,1.019075630252101
GATS3i,1.132186385321156
GATS3m,1.137477846236507
GATS3p,1.1106356508974902
GATS3s,0.8925558933243695
GATS3v,1.1268830034829567
GATS4Z,1.1428628197533992
GATS4c,1.2787292853106216
GATS4d,0.9730071033938439
GATS4i,1.0248915915786603
GATS4m,1.1264335491954696
GATS4p,1.0441704000334122
GATS4s,1.3381470121754915
GATS4v,0.9156526323491551
GATS5Z,1.423959665480813
GATS5c,1.4377873437519404
GATS5d,1.2739901477832514
GATS5i,0.8708654715586849
GATS5m,1.4026626240132027
GATS5p,1.00241278113449
GATS5s,2.143119188366107
GATS5v,0.9339893202814459
GATS6Z,1.368753010307292
GATS6c,0.9894999426545801
GATS6d,1.0186734693877553
GATS6i,1.269901914082397
GATS6m,1.3599260924239716
GATS6p,1.4195544768398227
GATS6s,1.1250254129486748
GATS6v,1.2879257417507888
GATS7Z,0.8518514058804011
GATS7c,0.5736693023150067
GATS7d,0.7235544217687075
GATS7i,0.972833640133038
GATS7m,0.8587061144257628
GATS7p,0.97187266291261
GATS7s,0.6793456834719865
GATS7v,1.0046013568435446
GATS8Z,0.7413697834719412
GATS8c,0.5520911095854576
GATS8d,0.768233082706767
GATS8i,0.809402110684103
GATS8m,0.7395315420709366
GATS8p,0.8498190712211898
GATS8s,0.5540327381683219
GATS8v,0.8211089802411492
MATS1Z,0.042657363159283486
MATS1c,-0.8170799908758248
MATS1d,0.14782608695652177
MATS1i,-0.15689829696088883
MATS1m,0.043191495935814554
MATS1p,-0.016094953246091375
MATS1s,-0.02906896150543628
MATS1v,-0.015637221058777545
MATS2Z,0.1615482130815914
MATS2c,0.35093311286491546
MATS2d,-0.15931428571428574
MATS2i,0.05543980737274325
MATS2m,0.15042287425284756
MATS2p,0.05406014545344787
MATS2s,0.2083191520804186
MATS2v,-0.011747593093850916
MATS3Z,-0.12160035963137782
MATS3c,-0.12122352863715291
MATS3d,-0.03428571428571429
MATS3i,-0.10690413289831363
MATS3m,-0.12316693545034373
MATS3p,-0.08432403697639906
MATS3s,-0.0808592400206426
MATS3v,-0.12446539296194416
MATS4Z,-0.016679726484773012
MATS4c,0.009912542170032505
MATS4d,-0.01878453038674033
MATS4i,-0.06431560412735127
MATS4m,-0.011169279027080207
MATS4p,-0.005085156778735532
MATS4s,-0.036515823101395777
MATS4v,0.042149884319019004
MATS5Z,-0.20171858327972447
MATS5c,-0.03877227384068668
MATS5d,-0.11054187192118228
MATS5i,0.18947331059262765
MATS5m,-0.19794319840420063
MATS5p,0.07381185558252015
MATS5s,-0.24143055608689243
MATS5v,0.0034708022505565103
MATS6Z,-0.19631698937160838
MATS6c,-0.027754381497995115
MATS6d,-0.06244897959183673
MATS6i,-0.16407619480151261
MATS6m,-0.20341824309785658
MATS6p,-0.2555268027178797
MATS6s,-0.10274431407829551
MATS6v,-0.24911260417830255
MATS7Z,0.05104054058875364
MATS7c,0.029292376127611854
MATS7d,0.05204081632653061
MATS7i,-0.06253722650488004
MATS7m,0.04996986059449817
MATS7p,-0.03219937532595889
MATS7s,0.047271166811303805
MATS7v,-0.015415300706204815
MATS8Z,0.24196941555957774
MATS8c,0.028129562145154326
MATS8d,0.06390977443609022
MATS8i,0.08139726088316004
MATS8m,0.24313980704568267
MATS8p,0.13535548228249664
MATS8s,0.07829668759518245
MATS8v,0.16653591301548057
MAXssO,5.439270960205856
MAXssS,1.6824465683666725
MINssO,5.439270960205856
MINssS,1.6824465683666725
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,9
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,11
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.34434284113087
SpAD_D,549.580696762402
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,6.975801889578927
SssNH2,0
SsssAs,0
SsssCH,0.42005912770654963
SsssNH,0
SssssB,0
SssssC,-0.46264954189907903
SssssN,0
TMPC10,523
TMWC10,139.12820577503288
TSRW10,66.92398278545053
VE1_Dt,5.560352247815751
VE2_Dt,0.17376100774424222
VE3_Dt,2.878812269985093
VR1_Dt,198.79181249266185
VR2_Dt,6.212244140395683
VR3_Dt,6.455408918535485
Xc-3dv,2.158879191294795
Xc-4dv,0.2041241452319315
Xc-5dv,0.018633899812498248
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.1853954059492991
Xch-7d,0.179206871180051
Xp-0dv,20.94951085549141
Xp-1dv,12.4958043091133
Xp-2dv,10.778277684078946
Xp-3dv,6.417890753111008
Xp-4dv,4.603793211760571
Xp-5dv,3.2884876506449774
Xp-6dv,1.8996225236541942
Xp-7dv,1.2101817578024858
Xpc-4d,3.202355025534078
Xpc-5d,4.741323666735609
Xpc-6d,5.730405670690472
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,69
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,1
nSpiro,0
naRing,1
piPC10,4.449247103048668
AATS0dv,5.218954248366013
AATS0pe,6.023198529411765
AATS0se,7.553617088235292
AATS1dv,4.7439613526570055
AATS1pe,6.38158695652174
AATS1se,7.7005650724637675
AATS2dv,3.2755555555555556
AATS2pe,6.212387199999999
AATS2se,7.661259143999998
AATS3dv,1.9784313725490195
AATS3pe,6.015035294117647
AATS3se,7.55954829411765
AATS4dv,1.6887661141804786
AATS4pe,5.939641988950276
AATS4se,7.55404208839779
AATS5dv,1.9448275862068964
AATS5pe,6.2478696551724155
AATS5se,7.830318413793103
AATS6dv,1.7428571428571429
AATS6pe,6.033772857142856
AATS6se,7.565508842857142
AATS7dv,1.4146825396825398
AATS7pe,5.6782684523809515
AATS7se,7.283137738095237
AATS8dv,1.3903508771929824
AATS8pe,5.62400394736842
AATS8se,7.258142171052631
AATSC0Z,11.545847750865054
AATSC0c,0.018292472541026165
AATSC0d,0.5147058823529411
AATSC0i,1.5198612276631536
AATSC0m,52.42796419809688
AATSC0p,0.3084478773464636
AATSC0s,1.17171048513511
AATSC0v,52.33983877641388
AATSC1Z,0.49251542049044705
AATSC1c,-0.014946413296917937
AATSC1d,0.07608695652173914
AATSC1i,-0.23846363823723452
AATSC1m,2.2644422025851325
AATSC1p,-0.004964454164747459
AATSC1s,-0.03406040698790858
AATSC1v,-0.8184496291275607
AATSC2Z,1.8652110726643605
AATSC2c,0.006419434330818302
AATSC2d,-0.082
AATSC2i,0.0842608136949463
AATSC2m,7.886365065903121
AATSC2p,0.016674737114157075
AATSC2s,0.24408973474708207
AATSC2v,-0.61486712854307
AATSC3Z,-1.4039792387543253
AATSC3c,-0.0022174780689214186
AATSC3d,-0.01764705882352941
AATSC3i,-0.1624794466690959
AATSC3m,-6.457391682179931
AATSC3p,-0.026009570214655005
AATSC3s,-0.09474361935224343
AATSC3v,-6.514498600871156
AATSC4Z,-0.19258158251926072
AATSC4c,0.0001813249054570835
AATSC4d,-0.009668508287292817
AATSC4i,-0.09775079304689348
AATSC4m,-0.5855825609503155
AATSC4p,-0.0015685058143749557
