DLiP-ID,T001FQ
BIC1,0.6432630830232445
BIC2,0.804225726569109
BIC3,0.8939167559920638
BIC4,0.907194701686086
BIC5,0.907194701686086
CIC0,4.053916132798742
CIC1,1.8727406863593505
CIC2,0.9219519609539972
CIC3,0.3921568627450984
CIC4,0.3137254901960782
CIC5,0.3137254901960782
GGI1,6.0
GGI2,3.1111111111111125
GGI3,1.8472222222222223
GGI4,1.2944444444444447
GGI5,1.0941666666666667
GGI6,0.42612244897959184
GGI7,0.40890731292517
GGI8,0.2927847064751826
GGI9,0.14500771604938273
JGI1,0.2068965517241379
JGI2,0.07777777777777782
JGI3,0.047364672364672365
JGI4,0.034064327485380116
JGI5,0.032181372549019614
JGI6,0.01420408163265306
JGI7,0.015144715293524812
JGI8,0.011711388259007305
JGI9,0.006905129335684892
MIC0,15.532751083349819
MIC1,34.7378647138581
MIC2,39.63030003088257
MIC3,41.027313882034
MIC4,41.10637270556342
MIC5,41.10637270556342
MPC2,40
MPC3,50
MPC4,63
MPC5,73
MPC6,78
MPC7,83
MPC8,84
MPC9,93
Mare,0.9927843137254903
NaaN,0
NaaO,0
NaaS,0
NdNH,1
NdSe,0
NddC,0
NdsN,1
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.17059599553880295
RPCG,0.10811233281415257
SIC0,0.28532931005667983
SIC1,0.6698518581632905
SIC2,0.8374677663657772
SIC3,0.9308661041612226
SIC4,0.9446928833289782
SIC5,0.9446928833289782
SaaN,0
SaaO,0
SaaS,0
Sare,50.632000000000005
SdNH,7.424280140911929
SdSe,0
SddC,0
SdsN,4.0943740289325605
SsBr,0
SsCl,0
SsLi,0
SsOH,9.061986677103175
SsSH,0
SssO,5.432695735701689
SssS,0
StCH,0
StsC,0
TIC0,82.5439696678104
TIC1,193.78391743621938
TIC2,242.2741424318924
TIC3,269.29369244054624
TIC4,273.29369244054624
TIC5,273.29369244054624
Vabc,349.9035389204541
WPol,39
apol,55.34103199999998
bpol,28.688967999999996
nRot,6
ABCGG,16.55548091251399
ATS0Z,1160.0
ATS0d,162.0
ATS0i,8433.881808741977
ATS0m,4574.060035000001
ATS0p,71.07262571637598
ATS0s,276.22222222222223
ATS0v,10631.650800323754
ATS1Z,1297.0
ATS1d,205.0
ATS1i,7916.106403338049
ATS1m,4899.562509
ATS1p,92.467831086
ATS1s,177.30555555555554
ATS1v,13627.386942262967
ATS2Z,1916.0
ATS2d,328.0
ATS2i,14465.674077708341
ATS2m,7092.3097
ATS2p,141.72119314479204
ATS2s,307.88888888888886
ATS2v,20122.525162592985
ATS3Z,2032.0
ATS3d,377.0
ATS3i,21415.290803857726
ATS3m,7155.682506999999
ATS3p,166.25676221267796
ATS3s,375.50000000000006
ATS3v,22727.985280349738
ATS4Z,2087.0
ATS4d,360.0
ATS4i,22265.420953296572
ATS4m,7364.718845999999
ATS4p,164.09594410207401
ATS4s,430.2222222222222
ATS4v,22200.12545255331
ATS5Z,1921.0
ATS5d,329.0
ATS5i,22476.447837976415
ATS5m,6698.645573999998
ATS5p,148.668386624017
ATS5s,432.97222222222223
ATS5v,20279.585006043937
ATS6Z,1685.0
ATS6d,296.0
ATS6i,19692.462785074265
ATS6m,5910.206626
ATS6p,130.08077467001698
ATS6s,410.6666666666667
ATS6v,17664.034995309205
ATS7Z,1501.0
ATS7d,265.0
ATS7i,17574.065289368125
ATS7m,5236.539682999999
ATS7p,116.088203066074
ATS7s,323.7777777777777
ATS7v,15826.55536039734
ATS8Z,1399.0
ATS8d,235.0
ATS8i,15575.66806655948
ATS8m,4946.593049
ATS8p,100.82530776267801
ATS8s,326.88888888888886
ATS8v,13921.459211785437
C1SP1,0
C1SP2,3
C1SP3,1
C2SP1,0
C2SP2,5
C2SP3,8
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.47368421052631576
GGI10,0.12376288133863891
JGI10,0.0068757156299243845
JGT10,0.4531257320517823
Kier1,21.702734839476815
Kier2,10.15625
Kier3,5.9904
MAXdO,12.673359699864028
MID_C,39.6168837640347
MID_N,7.695654159720421
MID_O,7.235454939019099
MID_X,0.0
MID_h,14.93110909873952
MINdO,11.044040848076655
MPC10,98
MWC01,29.0
MWC02,4.9344739331306915
MWC03,5.765191102784844
MWC04,6.63200177739563
MWC05,7.4815557019095165
MWC06,8.351138607086154
MWC07,9.207436158828793
MWC08,10.077986929023943
MWC09,10.937685756768543
MWC10,11.808746823382336
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.7095699999999998
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.389071729816501
SRW05,2.3978952727983707
SRW06,6.878326468291325
SRW07,4.59511985013459
SRW08,8.448271745949816
SRW09,6.580639137284949
SRW10,10.06172985026664
SaaCH,7.1657738689060135
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.5104065590833
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.193070290037905
SdssS,0
SsCH3,0
SsNH2,5.4558243259475185
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6950668012843337
SsssP,0
VE1_A,4.633957394328702
VE1_D,5.114710431474804
VE2_A,0.17162805164180378
VE2_D,0.189433719684252
VE3_A,2.5266630048324745
VE3_D,2.6253725591739947
VR1_A,199.9530866535997
VR1_D,162.13680901283206
VR2_A,7.405669876059249
VR2_D,6.005067000475261
VR3_A,6.29133454531124
VR3_D,6.081692251932319
WPath,2103
Xc-3d,1.9841574595792646
Xc-4d,0.0
Xc-5d,0.41426642660891483
Xc-6d,0.0
Xp-0d,19.388540578131753
Xp-1d,12.935560745775549
Xp-2d,11.908960945146681
Xp-3d,9.185806206141045
Xp-4d,7.623108878548178
Xp-5d,5.65079456822004
Xp-6d,3.9870309691343655
Xp-7d,2.767032415630371
ZMIC0,90.06319559264328
ZMIC1,40.4003424178888
ZMIC2,27.769910820697696
ZMIC3,23.46252401078012
ZMIC4,23.174490650625494
ZMIC5,23.174490650625494
nAcid,1
nAtom,51
nBase,2
nRing,3
piPC1,3.6109179126442243
piPC2,4.085976312551584
piPC3,4.480173695813406
piPC4,4.9117353454413735
piPC5,5.28098044689476
piPC6,5.520960792820564
piPC7,5.806639860095909
piPC8,5.758310116232568
piPC9,5.962936463493444
AATS0Z,22.745098039215687
AATS0d,3.176470588235294
AATS0i,165.37023154396033
AATS0m,89.68745166666669
AATS0p,1.393580896399529
AATS0s,5.416122004357298
AATS0v,208.4637411828187
AATS1Z,24.471698113207548
AATS1d,3.8679245283018866
AATS1i,149.3604981761896
AATS1m,92.44457564150945
AATS1p,1.7446760582264151
AATS1s,3.3453878406708593
AATS1v,257.12050834458427
AATS2Z,20.382978723404257
AATS2d,3.4893617021276597
AATS2i,153.8901497628547
AATS2m,75.45010319148936
AATS2p,1.5076722674977876
AATS2s,3.275413711583924
AATS2v,214.06941662332963
AATS3Z,15.393939393939394
AATS3d,2.856060606060606
AATS3i,162.23705154437673
AATS3m,54.2097159621212
AATS3p,1.2595209258536209
AATS3s,2.84469696969697
AATS3v,172.18170666931618
AATS4Z,15.233576642335766
AATS4d,2.627737226277372
AATS4i,162.52132082698228
AATS4m,53.75707186861313
AATS4p,1.197780613883752
AATS4s,3.1403081914030815
AATS4v,162.04471133250593
AATS5Z,14.125
AATS5d,2.4191176470588234
AATS5i,165.2679988086501
AATS5m,49.25474686764704
AATS5p,1.0931499016471837
AATS5s,3.1836192810457518
AATS5v,149.11459563267601
AATS6Z,14.041666666666666
AATS6d,2.466666666666667
AATS6i,164.10385654228554
AATS6m,49.25172188333333
AATS6p,1.0840064555834747
AATS6s,3.4222222222222225
AATS6v,147.20029162757672
AATS7Z,14.160377358490566
AATS7d,2.5
AATS7i,165.79306876762382
AATS7m,49.40131776415093
AATS7p,1.095171727038434
AATS7s,3.054507337526205
AATS7v,149.30712604148434
AATS8Z,15.206521739130435
AATS8d,2.5543478260869565
AATS8i,169.30073985390737
AATS8m,53.76731575
AATS8p,1.0959272582899784
AATS8s,3.5531400966183573
AATS8v,151.32020882375474
AMID_C,1.4672919912605442
AMID_N,0.2850242281377934
AMID_O,0.2679798125562629
AMID_X,0.0
AMID_h,0.5530040406940563
ATS0dv,386.0
ATS0pe,324.0082999999999
ATS0se,398.7263479999999
ATS1dv,367.0
ATS1pe,348.9346
ATS1se,416.8203959999999
ATS2dv,473.0
ATS2pe,598.9598
ATS2se,727.251368
ATS3dv,438.0
ATS3pe,823.399
ATS3se,1019.1397799999999
ATS4dv,486.0
ATS4pe,851.4193999999999
ATS4se,1055.692288
ATS5dv,455.0
ATS5pe,846.2047
ATS5se,1056.730008
ATS6dv,393.0
ATS6pe,742.5197
ATS6se,930.3768160000002
ATS7dv,338.0
ATS7pe,661.4527000000002
ATS7se,825.682452
ATS8dv,349.0
ATS8pe,584.5579
ATS8se,725.389844
ATSC0Z,391.2941176470588
ATSC0c,1.3074709441726404
ATSC0d,30.15686274509805
ATSC0i,75.04808144212056
ATSC0m,1854.4447286274508
ATSC0p,11.021060562944156
ATSC0s,107.8474945533769
ATSC0v,2447.647850924641
ATSC1Z,7.145328719723183
ATSC1c,-0.739770610218223
ATSC1d,7.582083813917722
ATSC1i,3.3905569240521025
ATSC1m,36.47995777931551
ATSC1p,0.7495507349973296
ATSC1s,-6.875827673117175
ATSC1v,137.37523867087603
ATSC2Z,21.183391003460194
ATSC2c,0.3553598513866652
ATSC2d,-6.21068819684737
ATSC2i,-15.89857839760918
ATSC2m,87.27580684352162
ATSC2p,-2.0895840744377763
ATSC2s,34.36605579050793
ATSC2v,-329.67873499831603
ATSC3Z,-128.64359861591691
ATSC3c,-0.5788250172098093
ATSC3d,-8.5040369088812
ATSC3i,0.7203045072842349
ATSC3m,-594.5801113102652
ATSC3p,0.26450227400669274
ATSC3s,-30.580225554274005
ATSC3v,-202.8183022610555
ATSC4Z,-37.10380622837372
ATSC4c,0.5985733532043661
ATSC4d,-4.539023452518262
ATSC4i,-16.928843923071366
ATSC4m,-192.49431678354478
ATSC4p,-3.5395523550404597
ATSC4s,-8.409500619419886
ATSC4v,-686.4296495349771
ATSC5Z,-24.058823529411743
ATSC5c,-0.41644212531408364
ATSC5d,2.071895424836603
ATSC5i,-1.0098330822639479
ATSC5m,-107.6306379281046
ATSC5p,-0.8684745161012224
ATSC5s,-39.547022512708786
ATSC5v,-54.78889023778996
ATSC6Z,50.07266435986158
ATSC6c,0.15879605965077753
ATSC6d,3.2779700115340265
ATSC6i,-16.004500230436978
ATSC6m,238.9999120726644
ATSC6p,0.444574254400787
ATSC6s,23.1126489811611
ATSC6v,192.57058198513647
ATSC7Z,-26.5916955017301
ATSC7c,-0.1803882467705866
ATSC7d,2.007304882737408
ATSC7i,-7.9542865611487334
ATSC7m,-113.50752777470214
ATSC7p,0.4094646705111636
ATSC7s,-22.17540262292281
ATSC7v,45.401197679949725
ATSC8Z,13.685121107266427
ATSC8c,0.43468674740721874
ATSC8d,-3.0868896578239142
ATSC8i,18.316871373162932
ATSC8m,63.82738549557866
ATSC8p,1.8997453012714414
ATSC8s,2.8524499124268416
ATSC8v,273.8516705400797
AXp-0d,0.7180940954863613
AXp-1d,0.4460538188198465
AXp-2d,0.297724023628667
AXp-3d,0.1837161241228209
AXp-4d,0.12100172823092346
AXp-5d,0.07740814477013754
AXp-6d,0.051115781655568786
AXp-7d,0.03333773994735387
GATS1Z,0.819727929747331
GATS1c,1.534069017219796
GATS1d,0.9384890938979803
GATS1i,1.2529494986730751
GATS1m,0.8252638153352713
GATS1p,1.1025918777192996
GATS1s,0.7309024297093389
GATS1v,0.997268160347203
GATS2Z,0.8434913192001127
GATS2c,0.6942233874584302
GATS2d,1.3669659408460832
GATS2i,1.2860196479351267
GATS2m,0.8535665004758528
GATS2p,1.2158673127365733
GATS2s,0.4174476724344686
GATS2v,1.1160268677450487
GATS3Z,1.0798472548698046
GATS3c,1.0317809753453242
GATS3d,1.193255703983922
GATS3i,1.0342589930371884
GATS3m,1.078272666239991
GATS3p,0.9906468994934727
GATS3s,0.9150399341073457
GATS3v,1.0190320339570633
GATS4Z,0.9947340353156507
GATS4c,0.6941640550773399
GATS4d,1.0105312615682511
GATS4i,1.0905681665481726
GATS4m,0.9995516158477981
GATS4p,1.1164225691587188
GATS4s,0.9545898315101624
GATS4v,1.0951508536495291
GATS5Z,1.0415100721587494
GATS5c,1.0691695269546022
GATS5d,0.8899544863459034
GATS5i,0.9193602952019378
GATS5m,1.0371228763138278
GATS5p,0.9911401489394699
GATS5s,1.3470573158660255
GATS5v,0.9745382477176244
GATS6Z,0.9727337642814192
GATS6c,0.9295255190815229
GATS6d,0.9049902470741218
GATS6i,0.9548144475756309
GATS6m,0.9687047255404562
GATS6p,0.9692475008710285
GATS6s,1.030046765787241
GATS6v,0.9503988534759966
GATS7Z,1.056605191799317
GATS7c,1.0681835378047435
GATS7d,0.8759231543047816
GATS7i,0.9676542831762314
GATS7m,1.0497981292117142
GATS7p,0.9332547218908351
GATS7s,1.0688962062138903
GATS7v,0.948868035641409
GATS8Z,1.012526471280295
GATS8c,0.872364230322691
GATS8d,1.0813026516650643
GATS8i,0.8420719550152481
GATS8m,1.0087444017270704
GATS8p,0.7944176718221737
GATS8s,0.9828777778851272
GATS8v,0.8547424930309155
MATS1Z,0.017571676556348496
MATS1c,-0.5444516693141306
MATS1d,0.24193390092499437
MATS1i,0.043473614742096746
MATS1m,0.018929308087249054
MATS1p,0.06544431885496559
MATS1s,-0.061349246037705335
MATS1v,0.05400746980426102
MATS2Z,0.02937206535228565
MATS2c,0.14746149607096942
MATS2d,-0.11173671250311265
MATS2i,-0.11493730797660949
MATS2m,0.02553420267090337
MATS2p,-0.10286764163908207
MATS2s,0.1728868466092494
MATS2v,-0.07307760786419557
MATS3Z,-0.1270226316077188
MATS3c,-0.1710454365843995
MATS3d,-0.10895200378295304
MATS3i,0.0037082822555309118
MATS3m,-0.12387758468560982
MATS3p,0.009272615809342464
MATS3s,-0.10955365439780214
MATS3v,-0.0320150697957135
MATS4Z,-0.035299191067062884
MATS4c,0.1704256432874803
MATS4d,-0.05603067781648361
MATS4i,-0.08397254498211632
MATS4m,-0.03864146889118765
MATS4p,-0.11955687657266867
MATS4s,-0.029027508141675037
MATS4v,-0.10439908878428333
MATS5Z,-0.023056975345760657
MATS5c,-0.11944112233530522
MATS5d,0.025763979193758137
MATS5i,-0.005045930536425985
MATS5m,-0.021764730218145886
MATS5p,-0.02955050847220434
MATS5s,-0.13751022685952083
MATS5v,-0.008394113487938918
MATS6Z,0.05438589897775104
MATS6c,0.05161745708566139
MATS6d,0.046196358907672305
MATS6i,-0.09063406375260324
MATS6m,0.05477378811179887
MATS6p,0.017143908886193448
MATS6s,0.09108116843763893
MATS6v,0.03343720270575916
MATS7Z,-0.032696933253156944
MATS7c,-0.0663804973611507
MATS7d,0.03202517358981277
MATS7i,-0.05099480664290768
MATS7m,-0.029449307157471596
MATS7p,0.017875465399197755
MATS7s,-0.09892948865035377
MATS7v,0.008924475169254075
MATS8Z,0.01938776177154957
MATS8c,0.1843005800840068
MATS8d,-0.056743653530841855
MATS8i,0.13529883284569102
MATS8m,0.019079874340863334
MATS8p,0.09555520286492322
MATS8s,0.014661902110235324
MATS8v,0.062022434386068304
MAXdNH,7.424280140911929
MAXdsN,4.0943740289325605
MAXsOH,9.061986677103175
MAXssO,5.432695735701689
MINdNH,7.424280140911929
MINdsN,4.0943740289325605
MINsOH,9.061986677103175
MINssO,5.432695735701689
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,7
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.12826933552641
SpAD_D,323.03355863275306
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.8740993646032704
SssNH2,0
SsssAs,0
SsssCH,-0.5721710937099023
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,718
TMWC10,131.19621679031047
TSRW10,75.42859149844791
VE1_Dt,5.133888953933693
VE2_Dt,0.1901440353308775
VE3_Dt,2.6291152256837624
VR1_Dt,160.5646801443058
VR2_Dt,5.94684000534466
VR3_Dt,6.0719486259543745
Xc-3dv,0.785229504682026
Xc-4dv,0.0
Xc-5dv,0.12240443534447124
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.3180413817439771
Xch-7d,0.3957132221261607
Xp-0dv,15.057585010524681
Xp-1dv,9.125467458984376
Xp-2dv,6.999273452804924
Xp-3dv,5.022135957681408
Xp-4dv,3.60520718057396
Xp-5dv,2.4569791595447468
Xp-6dv,1.3858147975290624
Xp-7dv,0.8215194672952087
Xpc-4d,3.965332645573231
Xpc-5d,5.847933668586752
Xpc-6d,7.924672750393393
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,53
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,2
nSpiro,0
naRing,1
piPC10,6.1516682986483175
AATS0dv,7.568627450980392
AATS0pe,6.353103921568626
AATS0se,7.8181636862745085
AATS1dv,6.9245283018867925
AATS1pe,6.583671698113207
AATS1se,7.864535773584904
AATS2dv,5.031914893617022
AATS2pe,6.371912765957447
AATS2se,7.736716680851063
AATS3dv,3.3181818181818183
AATS3pe,6.237871212121212
AATS3se,7.720755909090908
AATS4dv,3.5474452554744524
AATS4pe,6.214740145985401
AATS4se,7.705783124087591
AATS5dv,3.3455882352941178
AATS5pe,6.222093382352941
AATS5se,7.770073588235294
AATS6dv,3.275
AATS6pe,6.187664166666666
AATS6se,7.753140133333335
AATS7dv,3.188679245283019
AATS7pe,6.240119811320756
AATS7se,7.789457094339623
AATS8dv,3.7934782608695654
AATS8pe,6.353890217391305
AATS8se,7.884672217391305
AATSC0Z,7.672433679354094
AATSC0c,0.025636685179855696
AATSC0d,0.5913110342176088
AATSC0i,1.4715310086690305
AATSC0m,36.36166134563629
AATSC0p,0.21609922672439522
AATSC0s,2.114656755948567
AATSC0v,47.99309511616943
AATSC1Z,0.13481752301364497
AATSC1c,-0.013957936041853265
AATSC1d,0.1430581851682589
AATSC1i,0.06397277215192647
AATSC1m,0.6883010901757644
AATSC1p,0.014142466698062822
AATSC1s,-0.12973259760598443
AATSC1v,2.591985635299548
AATSC2Z,0.2253552234410659
AATSC2c,0.0037804239509219703
AATSC2d,-0.06607115103029117
AATSC2i,-0.1691338127405232
AATSC2m,0.92846603025023
AATSC2p,-0.022229617813167832
AATSC2s,0.36559633819689286
AATSC2v,-3.5072205850884686
AATSC3Z,-0.9745727167872493
AATSC3c,-0.0043850380091652215
AATSC3d,-0.06442452203697879
AATSC3i,0.00545685232791087
AATSC3m,-4.504394782653525
AATSC3p,0.0020038051061113085
AATSC3s,-0.2316683754111667
AATSC3v,-1.536502289856481
AATSC4Z,-0.27083070239688845
AATSC4c,0.004369148563535519
AATSC4d,-0.03313155804757856
AATSC4i,-0.12356820381803917
AATSC4m,-1.405068005719305
AATSC4p,-0.02583614857693766
