DLiP-ID,C000AZ
AATS7Z,11.551724137931034
AATS7d,2.2413793103448274
AATS7i,164.03285293688768
AATS7m,38.70366779310343
AATS7p,1.1806314225497587
AATS7s,2.385057471264368
AATS7v,147.5302991836779
AATS8Z,8.11111111111111
AATS8d,1.8888888888888888
AATS8i,167.79006872118302
AATS8m,24.649633222222224
AATS8p,0.9816042505052223
AATS8s,2.111111111111111
AATS8v,112.38083501290907
AMID_C,1.667697288782211
AMID_N,0.4160572387736604
AMID_O,0.0
AMID_X,0.0
AMID_h,0.4160572387736604
ATS0dv,190.0
ATS0pe,158.9948
ATS0se,194.99420400000002
ATS1dv,210.0
ATS1pe,182.07700000000006
ATS1se,216.25539600000005
ATS2dv,281.0
ATS2pe,295.5996
ATS2se,354.90911600000004
ATS3dv,196.0
ATS3pe,331.4960000000001
ATS3se,407.950728
ATS4dv,183.0
ATS4pe,334.3606
ATS4se,416.25026799999995
ATS5dv,158.0
ATS5pe,271.92350000000005
ATS5se,339.3826120000001
ATS6dv,139.0
ATS6pe,234.80460000000005
ATS6se,292.034892
ATS7dv,66.0
ATS7pe,169.466
ATS7se,213.25973599999998
ATS8dv,24.0
ATS8pe,101.5505
ATS8se,130.120776
ATSC0Z,174.0
ATSC0c,0.4104632460511697
ATSC0d,13.115384615384615
ATSC0i,43.70623267037247
ATSC0m,834.6261460384612
ATSC0p,5.797594602310961
ATSC0s,8.179487179487179
ATSC0v,1304.8212911738842
ATSC1Z,13.0
ATSC1c,-0.1525432313694696
ATSC1d,4.298816568047339
ATSC1i,-10.98400185397954
ATSC1m,61.35543899704147
ATSC1p,-0.34465256338245776
ATSC1s,0.4455950032873116
ATSC1v,-1.8260998585010917
ATSC2Z,-35.0
ATSC2c,-0.08771379863154122
ATSC2d,-3.1272189349112445
ATSC2i,11.886785138084457
ATSC2m,-164.0425023757396
ATSC2p,0.3940352762779916
ATSC2s,-2.4628533859303086
ATSC2v,-32.526528202746334
ATSC3Z,-72.0
ATSC3c,0.008624690763750964
ATSC3d,-7.397928994082842
ATSC3i,-21.444304213604273
ATSC3m,-349.04658196597626
ATSC3p,-3.2052456882048412
ATSC3s,-2.520710059171598
ATSC3v,-687.2218317987712
ATSC4Z,-29.0
ATSC4c,0.058920403005930634
ATSC4d,-2.0946745562130173
ATSC4i,4.69985719613502
ATSC4m,-138.4694666213017
ATSC4p,-0.34960225227860947
ATSC4s,-1.636587771203156
ATSC4v,-141.40264082567208
ATSC5Z,22.0
ATSC5c,-0.05703509467673704
ATSC5d,-0.28106508875739555
ATSC5i,-11.852355408655486
ATSC5m,103.76684593195263
ATSC5p,-0.3129405554927782
ATSC5s,1.83629191321499
ATSC5v,24.491867161501304
ATSC6Z,9.0
ATSC6c,0.028722367738730454
ATSC6d,-0.9807692307692297
ATSC6i,3.583477001985276
ATSC6m,43.10935171153844
ATSC6p,0.3442681712006343
ATSC6s,1.6153846153846152
ATSC6v,71.17853113023571
ATSC7Z,-17.0
ATSC7c,-0.032104932641529305
ATSC7d,-0.43639053254437765
ATSC7i,0.34028284104526874
ATSC7m,-80.19039292751482
ATSC7p,-0.1287940860707266
ATSC7s,-0.9053254437869823
ATSC7v,-58.361318647038225
ATSC8Z,-2.0
ATSC8c,0.017636704359332577
ATSC8d,1.3816568047337288
ATSC8i,-1.9955871988544776
ATSC8m,-9.707056334319542
ATSC8p,-0.14971532571189675
ATSC8s,-0.8165680473372783
ATSC8v,-25.71709938666094
AXp-0d,0.6725050446540352
AXp-1d,0.4372148817869159
AXp-2d,0.2796524328441098
AXp-3d,0.18040148650508664
AXp-4d,0.1176695222474255
AXp-5d,0.07715716059331186
AXp-6d,0.05029387577899225
AXp-7d,0.033641364317563094
GATS1Z,0.7517446633825944
GATS1c,1.4314919134334596
GATS1d,0.6467322999581064
GATS1i,1.333670382188755
GATS1m,0.7528617804771356
GATS1p,0.9645480469380757
GATS1s,0.780783512464547
GATS1v,0.8640386468856998
GATS2Z,0.9885682158920539
GATS2c,1.3150967672183727
GATS2d,1.3260232054060945
GATS2i,0.9477709234731675
GATS2m,0.9841402632872278
GATS2p,0.8605256588429813
GATS2s,1.0372654581800012
GATS2v,0.8807286487269996
GATS3Z,1.0958725182863114
GATS3c,0.7693544355343086
GATS3d,1.3169821380965077
GATS3i,1.1724634664312652
GATS3m,1.1005854045017236
GATS3p,1.2426277757319888
GATS3s,0.9153842500237486
GATS3v,1.215588542267374
GATS4Z,1.0660406403940885
GATS4c,0.9407326974894232
GATS4d,1.0892333472978635
GATS4i,0.8924143788176198
GATS4m,1.0652952589126212
GATS4p,0.9918305430867163
GATS4s,1.0271472421256904
GATS4v,1.023065444886414
GATS5Z,0.9198525737131434
GATS5c,1.0009137377705155
GATS5d,0.9530791788856305
GATS5i,1.0619586636935001
GATS5m,0.921748371306616
GATS5p,1.0140293467033177
GATS5s,0.7770262595974742
GATS5v,0.98457582457424
GATS6Z,0.9836427939876216
GATS6c,1.0937832429656897
GATS6d,0.9042033235581622
GATS6i,0.9077587667347157
GATS6m,0.9814505538285435
GATS6p,0.9026666601293951
GATS6s,0.998127830024382
GATS6v,0.9219635865232343
GATS7Z,1.1048355132778438
GATS7c,0.9270084829691386
GATS7d,0.7230255839822024
GATS7i,0.8929159418278725
GATS7m,1.1034550981100328
GATS7p,1.0020181645835105
GATS7s,1.3013232803660866
GATS7v,1.0415654960388625
GATS8Z,1.08955938697318
GATS8c,0.5663337643257658
GATS8d,0.5294884327142392
GATS8i,0.8930199767371038
GATS8m,1.0903585197829762
GATS8p,1.0482832738801253
GATS8s,1.4433124346917452
GATS8v,1.0786708928567563
MATS1Z,0.069376026272578
MATS1c,-0.3450912782919232
MATS1d,0.3043569333891916
MATS1i,-0.23336329099567943
MATS1m,0.0682615898274106
MATS1p,-0.05520125933146234
MATS1s,0.05058590834452911
MATS1v,-0.0012995374660057363
MATS2Z,-0.11369315342328837
MATS2c,-0.12078393113359076
MATS2d,-0.13476985847252335
MATS2i,0.15372218734601203
MATS2m,-0.1110912660667835
MATS2p,0.03841517150077352
MATS2s,-0.17018763345599924
MATS2v,-0.014089714463812809
MATS3Z,-0.19561128526645769
MATS3c,0.009932988110598881
MATS3d,-0.26664889362836586
MATS3i,-0.23194191828166824
MATS3m,-0.1976979028643427
MATS3p,-0.2613509837341771
MATS3s,-0.14568253063550873
MATS3v,-0.24897547618387283
MATS4Z,-0.07738095238095238
MATS4c,0.06664640904827901
MATS4d,-0.07415165479681608
MATS4i,0.0499259813080981
MATS4m,-0.07702777527660912
MATS4p,-0.02799701299403871
MATS4s,-0.09289632781012093
MATS4v,-0.050314343076491526
MATS5Z,0.07146426786606697
MATS5c,-0.07853864563055912
MATS5d,-0.012112711972459481
MATS5i,-0.15327693547546245
MATS5m,0.07027197295450614
MATS5p,-0.03050910878426309
MATS5s,0.12689109990459316
MATS5v,0.010609291371036956
MATS6Z,0.034482758620689655
MATS6c,0.046650328241000544
MATS6d,-0.04985337243401754
MATS6i,0.05466004553647165
MATS6m,0.03443406121903101
MATS6p,0.03958747202542777
MATS6s,0.13166144200626959
MATS6v,0.036366937302297724
MATS7Z,-0.087594133967499
MATS7c,-0.0701249941133754
MATS7d,-0.029831125492971917
MATS7i,0.006980266867990598
MATS7m,-0.08614016632441863
MATS7p,-0.01991697727182436
MATS7s,-0.09923251540374015
MATS7v,-0.04010046525903329
MATS8Z,-0.016602809706257982
MATS8c,0.062064605967110706
MATS8d,0.15216682958618452
MATS8i,-0.06595203170516677
MATS8m,-0.016799501981299047
MATS8p,-0.03730089551044821
MATS8s,-0.14420062695924768
MATS8v,-0.02846897240837383
MAXaaN,4.035539178634417
MINaaN,4.035539178634417
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,20.406058254563682
SpAD_D,100.42066327899055
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.8650925925925925
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,388
TMWC10,102.66067033517159
TSRW10,62.72097636869188
VE1_Dt,3.8429448508801065
VE2_Dt,0.2561963233920071
VE3_Dt,1.7517040690492873
VR1_Dt,68.30192614631312
VR2_Dt,4.553461743087541
VR3_Dt,4.629403075550996
Xc-3dv,0.3518088952523182
Xc-4dv,0.0
Xc-5dv,0.050296115882772816
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.24056261216234406
Xch-6d,0.3895195511812306
Xch-7d,0.44580997485849017
Xp-0dv,8.22033612570347
Xp-1dv,4.940610587311341
Xp-2dv,3.594514426919896
Xp-3dv,2.5870294558000753
Xp-4dv,1.8393874237616707
Xp-5dv,1.0945764109989062
Xp-6dv,0.5974497033338406
Xp-7dv,0.36223032087195683
Xpc-4d,1.7655822747008614
Xpc-5d,3.019706587635749
Xpc-6d,3.8875940614619666
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,28
nFRing,1
nHBAcc,2
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,6.800183118050014
AATS0dv,7.3076923076923075
AATS0pe,6.115184615384615
AATS0se,7.499777076923078
AATS1dv,7.5
AATS1pe,6.502750000000002
AATS1se,7.723407000000002
AATS2dv,6.108695652173913
AATS2pe,6.4260782608695655
AATS2se,7.715415565217392
AATS3dv,3.5636363636363635
AATS3pe,6.0272000000000014
AATS3se,7.417285963636364
AATS4dv,3.267857142857143
AATS4pe,5.970725
AATS4se,7.433040499999999
AATS5dv,3.4347826086956523
AATS5pe,5.911380434782609
AATS5se,7.377882869565219
AATS6dv,3.5641025641025643
AATS6pe,6.02063076923077
AATS6se,7.488074153846155
AATS7dv,2.2758620689655173
AATS7pe,5.8436551724137935
AATS7se,7.353783999999999
AATS8dv,1.3333333333333333
AATS8pe,5.641694444444444
AATS8se,7.228932
AATSC0Z,6.6923076923076925
AATSC0c,0.015787047925044987
AATSC0d,0.5044378698224852
AATSC0i,1.6810089488604798
AATSC0m,32.101005616863894
AATSC0p,0.22298440778119083
AATSC0s,0.3145956607495069
AATSC0v,50.185434275918624
AATSC1Z,0.4642857142857143
AATSC1c,-0.005447972548909628
AATSC1d,0.15352916314454784
AATSC1i,-0.3922857804992693
AATSC1m,2.1912656784657667
AATSC1p,-0.012309020120802063
AATSC1s,0.01591410726026113
AATSC1v,-0.06521785208932471
AATSC2Z,-0.7608695652173914
AATSC2c,-0.0019068217093813308
AATSC2d,-0.06798302032415748
AATSC2i,0.2584083725670534
AATSC2m,-3.566141355994339
AATSC2p,0.008565984266912862
AATSC2s,-0.053540290998484966
AATSC2v,-0.7070984391901377
AATSC3Z,-1.309090909090909
AATSC3c,0.00015681255934092662
AATSC3d,-0.13450779989241532
AATSC3i,-0.38989644024735043
AATSC3m,-6.346301490290477
AATSC3p,-0.058277194330997116
AATSC3s,-0.04583109198493815
AATSC3v,-12.494942396341294
AATSC4Z,-0.5178571428571429
AATSC4c,0.0010521500536773327
AATSC4d,-0.03740490278951817
AATSC4i,0.08392602135955393
AATSC4m,-2.472669046808959
AATSC4p,-0.006242897362118026
AATSC4s,-0.029224781628627787
AATSC4v,-2.525047157601287
AATSC5Z,0.4782608695652174
AATSC5c,-0.001239893362537762
AATSC5d,-0.006110110625160773
AATSC5i,-0.2576599001881627
AATSC5m,2.2558009985207095
AATSC5p,-0.006803055554190831
AATSC5s,0.03991938941771717
AATSC5v,0.5324318948152458
AATSC6Z,0.23076923076923078
AATSC6c,0.0007364709676597552
AATSC6d,-0.025147928994082813
AATSC6i,0.09188402569193016
AATSC6m,1.1053679926035496
AATSC6p,0.00882738900514447
AATSC6s,0.04142011834319526
