DLiP-ID,C001SZ
IC1,2.781585506423136
IC2,3.46086735255324
IC3,4.469026162638606
IC4,5.12963946395411
IC5,5.379753126795121
MID,54.728446960044536
Mpe,0.9903328773369812
Mse,1.0174799708667155
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,102.19170000000001
SdO,36.34325695274754
SdS,0
Spe,42.58431372549019
SsF,0
SsI,0
Sse,43.751638747268764
StN,0
fMF,0.5116279069767442
nBr,0
nCl,0
AMID,2.0269795170386864
BIC0,0.26749163199889464
BIC1,0.4768794713543821
BIC2,0.5933366382957299
BIC3,0.7661769983294571
BIC4,0.879433600067404
BIC5,0.9223134867502711
CIC0,3.8660154855431155
CIC1,2.644679248278962
CIC2,1.965397402148858
CIC3,0.9572385920634918
CIC4,0.29662529074798805
CIC5,0.04651162790697683
GGI1,4.5
GGI2,3.1111111111111125
GGI3,1.9375
GGI4,1.2755555555555558
GGI5,1.111111111111111
GGI6,0.45061224489795915
GGI7,0.3211805555555556
GGI8,0.2786596119929453
GGI9,0.19687500000000002
JGI1,0.15517241379310345
JGI2,0.07977207977207984
JGI3,0.04725609756097561
JGI4,0.032706552706552705
JGI5,0.03003003003003003
JGI6,0.012178709321566462
JGI7,0.009176587301587302
JGI8,0.009288653733098177
JGI9,0.009375
MIC0,14.58281366331002
MIC1,25.99792752268409
MIC2,34.412281575590626
MIC3,40.96876806201246
MIC4,44.66499248337349
MIC5,45.428874497377684
MPC2,39
MPC3,50
MPC4,62
MPC5,73
MPC6,69
MPC7,73
MPC8,75
MPC9,79
Mare,1.0031627906976746
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1837452732594729
RPCG,0.1297770409333209
SIC0,0.28753651723443047
SIC1,0.5126151472820727
SIC2,0.6377992060844885
SIC3,0.8235916168237087
SIC4,0.9453352712856575
SIC5,0.9914284263651765
SaaN,0
SaaO,0
SaaS,0
Sare,43.136
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.240411911005275
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,67.09071857383624
TIC1,119.60817677619485
TIC2,148.81729615978932
TIC3,192.16812499346005
TIC4,220.5744969500267
TIC5,231.3293844521902
Vabc,327.51969343402016
WPol,41
apol,51.146688
bpol,19.795311999999996
nRot,5
ABCGG,16.79020791447652
ATS0Z,1126.0
ATS0d,152.0
ATS0i,6785.649179107984
ATS0m,4462.067667
ATS0p,70.67352247758399
ATS0s,285.72222222222223
ATS0v,10743.386301931603
ATS1Z,1216.0
ATS1d,188.0
ATS1i,6501.747754246448
ATS1m,4672.912053000003
ATS1p,87.75004861600002
ATS1s,172.55555555555557
ATS1v,13136.336462810888
ATS2Z,1742.0
ATS2d,274.0
ATS2i,10220.078995292393
ATS2m,6608.435278999997
ATS2p,125.81823760999995
ATS2s,296.7777777777777
ATS2v,18380.561490912038
ATS3Z,1926.0
ATS3d,311.0
ATS3i,14298.243900860838
ATS3m,7168.309185
ATS3p,139.04881707648994
ATS3s,346.2777777777777
ATS3v,20107.319260510823
ATS4Z,1954.0
ATS4d,289.0
ATS4i,14994.222207308041
ATS4m,7225.539311
ATS4p,127.36321730849
ATS4s,421.30555555555554
ATS4v,18806.268775455712
ATS5Z,1811.0
ATS5d,269.0
ATS5i,14651.612245370643
ATS5m,6647.4235130000025
ATS5p,121.69689557618798
ATS5s,410.49999999999994
ATS5v,18206.473119318714
ATS6Z,1758.0
ATS6d,261.0
ATS6i,12888.94971608719
ATS6m,6546.338172999999
ATS6p,123.88538159648999
ATS6s,437.38888888888874
ATS6v,18067.262326091066
ATS7Z,1641.0
ATS7d,259.0
ATS7i,12521.383534838693
ATS7m,6037.098754999999
ATS7p,129.44644114309398
ATS7s,300.8888888888887
ATS7v,18311.82513012287
ATS8Z,1551.0
ATS8d,240.0
ATS8i,14112.49811745544
ATS8m,5571.26369
ATS8p,121.02043980733897
ATS8s,340.7222222222221
ATS8v,16765.61203766061
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,15
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.08682787470666259
JGI10,0.005107522041568387
JGT10,0.39006364626056195
Kier1,21.702734839476815
Kier2,10.683760683760683
Kier3,5.9904
MAXdO,12.67238819601915
MID_C,43.65192978960017
MID_N,4.080679796016224
MID_O,6.995837374428133
MID_X,0.0
MID_h,11.076517170444358
MINdO,11.300758338313493
MPC10,83
MWC01,29.0
MWC02,4.919980925828125
MWC03,5.752572638825633
MWC04,6.610696044717759
MWC05,7.459914766241105
MWC06,8.32239411311117
MWC07,9.176680170483548
MWC08,10.041116787524166
MWC09,10.897757325726872
MWC10,11.763411772676145
NaaCH,13
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.889400000000002
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.3706380281276624
SRW05,0.0
SRW06,6.8658910748834385
SRW07,0.0
SRW08,8.449128460502108
SRW09,0.0
SRW10,10.075295703313177
SaaCH,21.273610777075298
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.1790809359658576
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.008321004483556
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.305293761022927
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.617576403743134
VE1_D,5.122991505450794
VE2_A,0.17102134828678273
VE2_D,0.18974042612780717
VE3_A,2.523121752525154
VE3_D,2.626990319845887
VR1_A,201.18443436542358
VR1_D,161.45073238833234
VR2_A,7.45127534686754
VR2_D,5.97965675512342
VR3_A,6.297473844254172
VR3_D,6.077451806520986
WPath,1938
Xc-3d,1.5769033811002737
Xc-4d,0.0
Xc-5d,0.48624170203860423
Xc-6d,0.0
Xp-0d,19.22540387131522
Xp-1d,13.058550648063804
Xp-2d,11.48486195395389
Xp-3d,9.326585749002476
Xp-4d,7.710302778069321
Xp-5d,5.952704210122236
Xp-6d,3.619281221839166
Xp-7d,2.4104674515669138
ZMIC0,85.1964120745678
ZMIC1,68.86395939418529
ZMIC2,49.44327194887781
ZMIC3,33.42451954245202
ZMIC4,25.583801523031497
ZMIC5,23.883495427753456
nAcid,1
nAtom,43
nBase,0
nRing,3
piPC1,3.7376696182833684
piPC2,4.297285406218791
piPC3,4.838264068155469
piPC4,5.353633807218745
piPC5,5.817297154569897
piPC6,5.823970024557196
piPC7,6.096387467034761
piPC8,6.274526588633435
piPC9,6.587248660882313
AATS0Z,26.186046511627907
AATS0d,3.5348837209302326
AATS0i,157.80579486297637
AATS0m,103.76901551162791
AATS0p,1.6435702901763718
AATS0s,6.644702842377261
AATS0v,249.84619306817683
AATS1Z,27.022222222222222
AATS1d,4.177777777777778
AATS1i,144.48328342769884
AATS1m,103.84249006666673
AATS1p,1.9500010803555559
AATS1s,3.834567901234568
AATS1v,291.9185880624642
AATS2Z,24.885714285714286
AATS2d,3.914285714285714
AATS2i,146.00112850417705
AATS2m,94.40621827142853
AATS2p,1.7974033944285708
AATS2s,4.239682539682539
AATS2v,262.57944987017197
AATS3Z,20.70967741935484
AATS3d,3.3440860215053765
AATS3i,153.74455807377245
AATS3m,77.07859338709677
AATS3p,1.4951485707149457
AATS3s,3.7234169653524485
AATS3v,216.20773398398734
AATS4Z,20.78723404255319
AATS4d,3.074468085106383
AATS4i,159.5130022054047
AATS4m,76.86743947872341
AATS4p,1.3549278437073404
AATS4s,4.481973995271868
AATS4v,200.06668910059267
AATS5Z,19.9010989010989
AATS5d,2.956043956043956
AATS5i,161.00672797110596
AATS5m,73.04861003296706
AATS5p,1.3373285228152525
AATS5s,4.51098901098901
AATS5v,200.07113317932652
AATS6Z,21.180722891566266
AATS6d,3.144578313253012
AATS6i,155.28855079623122
AATS6m,78.87154425301203
AATS6p,1.4925949589938554
AATS6s,5.26974564926372
AATS6v,217.67785935049477
AATS7Z,19.771084337349397
AATS7d,3.1204819277108435
AATS7i,150.860042588418
AATS7m,72.73612957831324
AATS7p,1.559595676422819
AATS7s,3.625167336010707
AATS7v,220.62439915810688
AATS8Z,17.233333333333334
AATS8d,2.6666666666666665
AATS8i,156.80553463839377
AATS8m,61.902929888888885
AATS8p,1.3446715534148774
AATS8s,3.785802469135801
AATS8v,186.28457819622898
AMID_C,1.6167381403555618
AMID_N,0.15113628874134163
AMID_O,0.2591050879417827
AMID_X,0.0
AMID_h,0.4102413766831244
ATS0dv,410.0
ATS0pe,279.8100999999999
ATS0se,339.6563959999999
ATS1dv,398.0
ATS1pe,296.52250000000004
ATS1se,352.1273479999998
ATS2dv,562.0
ATS2pe,457.32380000000006
ATS2se,546.1533559999999
ATS3dv,591.0
ATS3pe,593.8425000000003
ATS3se,721.9051399999998
ATS4dv,602.0
ATS4pe,621.1188999999998
ATS4se,753.8082599999999
ATS5dv,556.0
ATS5pe,603.95
ATS5se,736.9427320000001
ATS6dv,552.0
ATS6pe,543.8169
ATS6se,661.290628
ATS7dv,446.0
ATS7pe,523.2915
ATS7se,637.3493639999998
ATS8dv,412.0
ATS8pe,565.1637000000002
ATS8se,694.8398479999998
ATSC0Z,304.046511627907
ATSC0c,1.1385457210319114
ATSC0d,24.65116279069767
ATSC0i,64.85432354340385
ATSC0m,1441.9324074418605
ATSC0p,9.836692399227163
ATSC0s,108.3475452196382
ATSC0v,2049.77600482288
ATSC1Z,-4.932395889670074
ATSC1c,-0.7971866284661614
ATSC1d,6.341806381828021
ATSC1i,4.718718704211907
ATSC1m,-17.983154485667846
ATSC1p,0.9635344964817124
ATSC1s,-11.46319331770928
ATSC1v,154.39028973124886
ATSC2Z,-19.75013520822064
ATSC2c,0.30273012837617247
ATSC2d,-3.990265008112491
ATSC2i,-17.02460529357195
ATSC2m,-110.11498941698196
ATSC2p,-2.565340805863382
ATSC2s,22.26110209722972
ATSC2v,-585.6960574402115
ATSC3Z,13.666846944294212
ATSC3c,-0.23864438406778932
ATSC3d,-7.292049756625202
ATSC3i,-36.938632920524135
ATSC3m,59.37462860248789
ATSC3p,-3.302627095580282
ATSC3s,-7.35373475151733
ATSC3v,-355.0717454346906
ATSC4Z,-13.54353704705246
ATSC4c,0.6912696786732142
ATSC4d,-3.9583558680367754
ATSC4i,-5.8136895619909765
ATSC4m,-72.16428459383451
ATSC4p,-2.6712969172638914
ATSC4s,-8.087269394868098
ATSC4v,-390.0199153346709
ATSC5Z,-65.23796646836126
ATSC5c,-0.8983712337049913
ATSC5d,3.2963764196863172
ATSC5i,25.88893238653664
ATSC5m,-281.70659723742574
ATSC5p,3.334333193628189
ATSC5s,-60.04041223484166
ATSC5v,519.3145376788223
ATSC6Z,13.026500811249328
ATSC6c,0.4264142564206171
ATSC6d,-0.8615467820443476
ATSC6i,20.920239995307295
ATSC6m,61.388874333153126
ATSC6p,3.113295312185662
ATSC6s,42.507451475271914
ATSC6v,314.6403889882506
ATSC7Z,-68.99675500270416
ATSC7c,-0.12670276295442676
ATSC7d,-9.745267712276904
ATSC7i,-22.89623578824985
ATSC7m,-331.4764986901027
ATSC7p,-3.004234850811081
ATSC7s,-13.42924103118803
ATSC7v,-618.579000968894
ATSC8Z,-60.16711736073553
ATSC8c,0.3606229053069731
ATSC8d,-4.5722011898323425
ATSC8i,-16.69736658281577
ATSC8m,-297.74190038994044
ATSC8p,-3.9191380604365507
ATSC8s,-3.2816837930412843
ATSC8v,-756.5246427101546
AXp-0d,0.712051995233897
AXp-1d,0.4502948499332346
AXp-2d,0.29448363984497156
AXp-3d,0.1865317149800495
AXp-4d,0.12435972222692454
AXp-5d,0.08154389328934569
AXp-6d,0.05245335104114734
AXp-7d,0.03302010207625909
GATS1Z,0.7152414461271734
GATS1c,1.6301368721458096
GATS1d,0.7761635220125788
GATS1i,0.99247779876688
GATS1m,0.7172144732045623
GATS1p,0.8440032459750538
GATS1s,0.6463083753671752
GATS1v,0.7850124430064255
GATS2Z,0.7883662230380908
GATS2c,0.6647534822249643
GATS2d,1.216981132075472
GATS2i,1.1920336842205561
GATS2m,0.8006969797899852
GATS2p,1.1082950047266125
GATS2s,0.48547477373272446
GATS2v,1.0636066393516075
GATS3Z,0.8867488785918369
GATS3c,1.0005692299374809
GATS3d,1.2549300060864275
GATS3i,1.2770891898639403
GATS3m,0.8911257322603886
GATS3p,1.1122209149590232
GATS3s,0.8185857473061224
GATS3v,1.0326075511406179
GATS4Z,1.013247829865349
GATS4c,0.9876842357879283
GATS4d,1.123765556001606
GATS4i,1.102548207160472
GATS4m,1.0114559101785858
GATS4p,1.0418586718364378
GATS4s,1.1397850089826964
GATS4v,0.9933652924427329
GATS5Z,1.1513926642425953
GATS5c,1.6682928879009498
GATS5d,1.020391872278665
GATS5i,0.8268004938625153
GATS5m,1.1340978379100919
GATS5p,0.7776831860113035
GATS5s,1.6945114305448674
GATS5v,0.792427311182724
GATS6Z,0.9469857401151185
GATS6c,0.7837595921298391
GATS6d,1.118742896112753
GATS6i,0.7985093032829156
GATS6m,0.9438293124553174
GATS6p,0.810714314760567
GATS6s,1.0462946214928521
GATS6v,0.8602467584784415
GATS7Z,0.9902574962539464
GATS7c,0.8182960611386049
GATS7d,1.1392702887019779
GATS7i,1.1534180560253762
GATS7m,0.9964063523495401
GATS7p,1.1419453782695679
GATS7s,0.802397053184537
GATS7v,1.1268488682762752
GATS8Z,1.07593187496813
GATS8c,0.7495924999783375
GATS8d,0.8992138364779876
GATS8i,1.10074991998403
GATS8m,1.0818701332893323
GATS8p,1.1686457005754705
GATS8s,0.8547852994836697
GATS8v,1.1744749376446135
MATS1Z,-0.015501504257814432
MATS1c,-0.669060624947966
MATS1d,0.24582809224318686
MATS1i,0.06952501585952009
MATS1m,-0.011917273713044406
MATS1p,0.09359962716277094
MATS1s,-0.10109798091815965
MATS1v,0.07197298569668568
MATS2Z,-0.03990253283507065
MATS2c,0.16333361911616273
MATS2d,-0.09943396226415091
MATS2i,-0.16125327120550695
MATS2m,-0.046910704398119986
MATS2p,-0.16020143208299237
MATS2s,0.1262112304885465
MATS2v,-0.17552392073692746
MATS3Z,0.02078326679727144
MATS3c,-0.09691394006845182
MATS3d,-0.13677216473929804
MATS3i,-0.2633464034868233
MATS3m,0.01903888498942964
MATS3p,-0.15523725539435515
MATS3s,-0.03138155008935035
MATS3v,-0.08009312099482961
MATS4Z,-0.020376644892087264
MATS4c,0.2777394903760507
MATS4d,-0.07345443596949015
MATS4i,-0.04100657582257472
MATS4m,-0.02289380660669703
MATS4p,-0.12422633541765324
MATS4s,-0.03414471058618532
MATS4v,-0.0870404205657833
MATS5Z,-0.10138820946530902
MATS5c,-0.37284852124274837
MATS5d,0.06318681318681321
MATS5i,0.18862631076334763
MATS5m,-0.09231646760965298
MATS5p,0.16017213638533323
MATS5s,-0.26184944186160497
MATS5v,0.11971570813531443
MATS6Z,0.022196173404033757
MATS6c,0.1940312153231991
MATS6d,-0.018106387815412583
MATS6i,0.16711602298683118
MATS6m,0.022056425454053376
MATS6p,0.16396894034536869
MATS6s,0.20325271465418326
MATS6v,0.07952403882216375
MATS7Z,-0.11756525874033072
MATS7c,-0.057653539277084054
MATS7d,-0.20480791088883837
MATS7i,-0.18290076343098202
MATS7m,-0.11909628190039082
MATS7p,-0.1582250174302589
MATS7s,-0.06421296974066239
MATS7v,-0.1563432483852622
MATS8Z,-0.09454642802508795
MATS8c,0.1513313054807945
MATS8d,-0.0886163522012579
MATS8i,-0.12300846365839596
MATS8m,-0.09865543127088224
MATS8p,-0.1903563715651818
MATS8s,-0.014471168560673823
MATS8v,-0.17633666399535092
MAXsOH,9.240411911005275
MINsOH,9.240411911005275
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.76029029799059
SpAD_D,296.4038614582098
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,659
TMWC10,130.9445245451345
TSRW10,61.8384907107321
VE1_Dt,5.122201373463683
VE2_Dt,0.1897111619801364
VE3_Dt,2.6268360754118354
VR1_Dt,160.19850883318483
VR2_Dt,5.933278104932771
VR3_Dt,6.069665499443823
Xc-3dv,0.5197140870028758
Xc-4dv,0.0
Xc-5dv,0.08658456029474894
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2687287392826324
Xch-7d,0.2730017401615745
Xp-0dv,14.177511966356686
Xp-1dv,8.151363374347984
Xp-2dv,5.670593822622204
Xp-3dv,3.8615416837040075
Xp-4dv,2.5423899554231513
Xp-5dv,1.6237719982785876
Xp-6dv,0.7480666447255907
Xp-7dv,0.42407051818682023
Xpc-4d,3.7947490026184014
Xpc-5d,5.882857855881693
Xpc-6d,8.544784842818196
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,45
nFRing,0
nHBAcc,3
nHBDon,3
nHRing,0
nSpiro,0
naRing,3
piPC10,6.9498864162010205
AATS0dv,9.534883720930232
AATS0pe,6.507211627906975
AATS0se,7.89898595348837
AATS1dv,8.844444444444445
AATS1pe,6.58938888888889
AATS1se,7.825052177777773
AATS2dv,8.028571428571428
AATS2pe,6.533197142857143
AATS2se,7.802190799999999
AATS3dv,6.354838709677419
AATS3pe,6.385403225806455
AATS3se,7.762420860215052
AATS4dv,6.404255319148936
AATS4pe,6.607647872340424
AATS4se,8.019236808510637
AATS5dv,6.1098901098901095
AATS5pe,6.636813186813187
AATS5se,8.09827178021978
AATS6dv,6.650602409638554
AATS6pe,6.552010843373495
AATS6se,7.967356963855421
AATS7dv,5.373493975903615
AATS7pe,6.30471686746988
AATS7se,7.678907999999998
AATS8dv,4.5777777777777775
AATS8pe,6.279596666666668
AATS8se,7.7204427555555535
AATSC0Z,7.070849107625745
AATSC0c,0.026477807465858406
AATSC0d,0.5732828555976202
AATSC0i,1.5082400824047406
AATSC0m,33.5333118009735
AATSC0p,0.22876028835412007
AATSC0s,2.5197103539450745
AATSC0v,47.669209414485586
AATSC1Z,-0.10960879754822386
AATSC1c,-0.017715258410359144
AATSC1d,0.14092903070728935
AATSC1i,0.1048604156491535
AATSC1m,-0.3996256552370632
AATSC1p,0.021411877699593608
AATSC1s,-0.25473762928242843
AATSC1v,3.430895327361086
AATSC2Z,-0.2821447886888663
AATSC2c,0.004324716119659607
AATSC2d,-0.05700378583017844
AATSC2i,-0.24320864705102782
AATSC2m,-1.5730712773854565
AATSC2p,-0.036647725798048314
AATSC2s,0.3180157442461389
AATSC2v,-8.367086534860164
AATSC3Z,0.14695534348703454
AATSC3c,-0.0025660686458902075
AATSC3d,-0.07840913716801293
AATSC3i,-0.3971896012959584
AATSC3m,0.6384368666934181
AATSC3p,-0.03551211930731486
AATSC3s,-0.07907241668298205
AATSC3v,-3.817975757362265
AATSC4Z,-0.14408018135162193
AATSC4c,0.007353932751842704
AATSC4d,-0.042110168808901866
AATSC4i,-0.061847761297776346
AATSC4m,-0.7677051552535586
AATSC4p,-0.028418052311317995
AATSC4s,-0.08603478079646913
AATSC4v,-4.149148035475222
AATSC5Z,-0.7169007304215523
AATSC5c,-0.009872211359395509
AATSC5d,0.03622391669984964
AATSC5i,0.28449376248941366
AATSC5m,-3.095676892718964
AATSC5p,0.036641024105804276
AATSC5s,-0.6597847498334248
