DLiP-ID,C002WW
nAcid,0
nAtom,34
nBase,0
nRing,3
piPC1,3.597312260588446
piPC2,4.23410650459726
piPC3,4.850075229083814
piPC4,5.44673737166631
piPC5,6.03637815953149
piPC6,6.305818978475576
piPC7,6.672981862185758
piPC8,7.038838364447133
piPC9,7.435647713903904
AATS0Z,29.11764705882353
AATS0d,3.8529411764705883
AATS0i,159.9508588631394
AATS0m,115.64302326470589
AATS0p,1.6387046456864411
AATS0s,7.896241830065359
AATS0v,256.2852130662349
AATS1Z,29.666666666666668
AATS1d,4.472222222222222
AATS1i,147.5725105234361
AATS1m,115.0852250277778
AATS1p,1.923379538611111
AATS1s,4.145061728395062
AATS1v,295.38828393789686
AATS2Z,27.678571428571427
AATS2d,4.214285714285714
AATS2i,147.61615988157408
AATS2m,106.51954626785714
AATS2p,1.7863609124080178
AATS2s,5.0317460317460325
AATS2v,272.4893067247704
AATS3Z,24.267605633802816
AATS3d,3.7183098591549295
AATS3i,154.07913244373444
AATS3m,91.83867629577465
AATS3p,1.5444732422288028
AATS3s,4.193270735524257
AATS3v,234.54838812723438
AATS4Z,23.014084507042252
AATS4d,3.3380281690140845
AATS4i,158.62599935216545
AATS4m,85.73037336619718
AATS4p,1.406908448329521
AATS4s,4.8364632237871685
AATS4v,215.01524299138805
AATS5Z,21.924242424242426
AATS5d,3.227272727272727
AATS5i,158.23594401944763
AATS5m,81.80350530303032
AATS5p,1.4116372931809547
AATS5s,4.257575757575758
AATS5v,212.0746212405792
AATS6Z,23.322580645161292
AATS6d,3.161290322580645
AATS6i,160.5543410967902
AATS6m,87.73716627419354
AATS6p,1.3926451190635967
AATS6s,6.435483870967741
AATS6v,209.6216769967299
AATS7Z,20.80701754385965
AATS7d,3.0
AATS7i,159.7274021639236
AATS7m,76.55525768421053
AATS7p,1.3814873435481578
AATS7s,4.793372319688109
AATS7v,204.96082233462846
AATS8Z,20.0
AATS8d,2.7916666666666665
AATS8i,157.62810491974054
AATS8m,73.53831689583335
AATS8p,1.3382370684634377
AATS8s,4.668981481481482
AATS8v,196.4757515109877
AMID_C,1.4721373383485215
AMID_N,0.25184938400252715
AMID_O,0.314456699195876
AMID_X,0.0
AMID_h,0.5663060831984031
ATS0dv,400.0
ATS0pe,232.3392
ATS0se,278.563132
ATS1dv,380.0
ATS1pe,246.1452
ATS1se,289.79094
ATS2dv,555.0
ATS2pe,378.3752
ATS2se,448.926764
ATS3dv,573.0
ATS3pe,476.82219999999995
ATS3se,572.545172
ATS4dv,554.0
ATS4pe,486.96019999999993
ATS4se,586.319956
ATS5dv,481.0
ATS5pe,439.99420000000003
ATS5se,532.643752
ATS6dv,501.0
ATS6pe,423.17220000000003
ATS6se,509.84822
ATS7dv,379.0
ATS7pe,381.7432
ATS7se,463.04893599999997
ATS8dv,294.0
ATS8pe,312.69149999999996
ATS8se,380.743788
ATSC0Z,237.05882352941177
ATSC0c,0.9539792019623212
ATSC0d,21.558823529411764
ATSC0i,55.0406216278587
ATSC0m,1118.4881745000002
ATSC0p,7.323766859964617
ATSC0s,103.76552287581698
ATSC0v,1471.0160924789284
ATSC1Z,6.4083044982698905
ATSC1c,-0.3938819701968262
ATSC1d,5.9671280276816585
ATSC1i,9.475958996576724
ATSC1m,29.694476500000082
ATSC1p,0.8147864700220271
ATSC1s,-10.931468665897729
ATSC1v,95.40312020694574
ATSC2Z,13.667820069204144
ATSC2c,-0.08563571134661915
ATSC2d,-1.773356401384085
ATSC2i,-9.493032430276456
ATSC2m,55.91722600000009
ATSC2p,-1.2754591349301876
ATSC2s,35.82900807381777
ATSC2v,-196.06125024546787
ATSC3Z,1.2006920415224815
ATSC3c,0.13926489982172893
ATSC3d,-4.431660899653981
ATSC3i,-13.794609563311564
ATSC3m,4.200018250000035
ATSC3p,-1.4752143871267571
ATSC3s,-5.419670319108035
ATSC3v,-163.19016119015544
ATSC4Z,-73.68166089965398
ATSC4c,-0.060122616711209206
ATSC4d,-2.7257785467128026
ATSC4i,-9.956040212438968
ATSC4m,-346.92055925
ATSC4p,-1.1140163716821432
ATSC4s,-18.81264417531719
ATSC4v,-319.3578077986204
ATSC5Z,-9.055363321799316
ATSC5c,-0.5189982166929493
ATSC5d,-5.143598615916954
ATSC5i,-2.3001321512181603
ATSC5m,-38.11043700000003
ATSC5p,-0.3704076694354637
ATSC5s,-27.655132641291807
ATSC5v,-4.7163961588695145
ATSC6Z,47.24567474048443
ATSC6c,0.67773496150914
ATSC6d,-0.9307958477508644
ATSC6i,14.550051606793497
ATSC6m,209.06216850000004
ATSC6p,0.8205958969327548
ATSC6s,76.83688965782392
ATSC6v,34.1489186416961
ATSC7Z,-64.65743944636678
ATSC7c,-0.22947720831138277
ATSC7d,-2.5544982698961936
ATSC7i,1.958900599652158
ATSC7m,-297.57429375000004
ATSC7p,0.5590301394055224
ATSC7s,-30.243343906189917
ATSC7v,-82.84384169739289
ATSC8Z,-14.671280276816606
ATSC8c,-0.027598945783437384
ATSC8d,-5.730103806228373
ATSC8i,-21.346632068824785
ATSC8m,-73.95758000000002
ATSC8p,-2.9030153689772247
ATSC8s,-7.768646674356017
ATSC8v,-367.8057190569809
AXp-0d,0.7129120324595233
AXp-1d,0.4423420259225522
AXp-2d,0.28914792041250037
AXp-3d,0.1786190169700231
AXp-4d,0.11474459927465493
AXp-5d,0.07433751833603572
AXp-6d,0.05030093076877765
AXp-7d,0.03183116149124944
GATS1Z,0.6090260545905707
GATS1c,1.3405587335045346
GATS1d,0.7440882219190541
GATS1i,0.9341387217103839
GATS1m,0.614311135668009
GATS1p,0.8242399350684507
GATS1s,0.6171544273765376
GATS1v,0.757517100885184
GATS2Z,0.6786290322580645
GATS2c,1.0476263610398207
GATS2d,1.1070210485285519
GATS2i,1.117774993466352
GATS2m,0.6871374154102485
GATS2p,1.0710271550759356
GATS2s,0.4196159327291768
GATS2v,0.9551608232122609
GATS3Z,0.8744486771747108
GATS3c,0.96859719515486
GATS3d,1.110293411217647
GATS3i,1.0968685360052235
GATS3m,0.8760336346029068
GATS3p,1.0656200584530386
GATS3s,0.6925373703693395
GATS3v,0.9846063665937429
GATS4Z,1.1087460245343026
GATS4c,1.2351828394952853
GATS4d,1.0240570297638492
GATS4i,1.0584075710807788
GATS4m,1.1045903732573876
GATS4p,1.0216737685314836
GATS4s,1.0295365560763745
GATS4v,1.0162614279380195
GATS5Z,0.9955334987593052
GATS5c,1.3172428323816614
GATS5d,1.1132332878581173
GATS5i,0.9830274504752204
GATS5m,0.9932264395612523
GATS5p,1.0000078091222353
GATS5s,1.0695186955255138
GATS5v,0.9754324377288267
GATS6Z,0.8857540222524615
GATS6c,0.5472626352306164
GATS6d,0.9998899793161113
GATS6i,0.8461432498083927
GATS6m,0.8903097089010724
GATS6p,0.8905390189890983
GATS6s,0.726598115094206
GATS6v,0.9351552681448096
GATS7Z,1.1624918375342823
GATS7c,0.9650940126270513
GATS7d,0.9801823795505133
GATS7i,0.9394588021225604
GATS7m,1.1569394853243198
GATS7p,0.924404319657119
GATS7s,1.3835314613013332
GATS7v,1.002424775526832
GATS8Z,1.0396944789081886
GATS8c,0.6337834569253985
GATS8d,1.084242837653479
GATS8i,1.2106147343744853
GATS8m,1.0448775276702755
GATS8p,1.2695602370900936
GATS8s,1.1620416663386062
GATS8v,1.1965787262546312
MATS1Z,0.025530741659773894
MATS1c,-0.3899452291559679
MATS1d,0.2614067000151583
MATS1i,0.16259839670070986
MATS1m,0.02507383090898399
MATS1p,0.1050716891641361
MATS1s,-0.09949513639015957
MATS1v,0.0612521829793688
MATS2Z,0.03500531726338176
MATS2c,-0.054501303962914784
MATS2d,-0.04994153186513356
MATS2i,-0.10471587460688489
MATS2m,0.030353243897566932
MATS2p,-0.10573601237686209
MATS2s,0.2096392494120215
MATS2v,-0.08092174399563153
MATS3Z,0.0024254709397825962
MATS3c,0.0699074294075456
MATS3d,-0.09843783025575008
MATS3i,-0.12001807343329196
MATS3m,0.001798209753956088
MATS3p,-0.09645865385047371
MATS3s,-0.025011535724594875
MATS3v,-0.05312477649487937
MATS4Z,-0.14884143571104042
MATS4c,-0.0301800208732854
MATS4d,-0.06054608688968738
MATS4i,-0.08662113703451976
MATS4m,-0.14853171971127643
MATS4p,-0.07284129040331502
MATS4s,-0.08681951007353479
MATS4v,-0.10396344998659042
MATS5Z,-0.019678171291074537
MATS5c,-0.28026053098468606
MATS5d,-0.12290710653602874
MATS5i,-0.021528037433156573
MATS5m,-0.01755284482324795
MATS5p,-0.026054361885345788
MATS5s,-0.13729592534244173
MATS5v,-0.0016516873198864888
MATS6Z,0.10929320419434883
MATS6c,0.3895903675466569
MATS6d,-0.02367645117282047
MATS6i,0.1449667595055938
MATS6m,0.10250175034732319
MATS6p,0.061444364648432136
MATS6s,0.4060728233889445
MATS6v,0.012730538059811277
MATS7Z,-0.16269209002655524
MATS7c,-0.14348440879865063
MATS7d,-0.0706780594049927
MATS7i,0.021229175648744887
MATS7m,-0.1586967658378695
MATS7p,0.04553074678074234
MATS7s,-0.17385244007435302
MATS7v,-0.033592851311949154
MATS8Z,-0.04383788254755996
MATS8c,-0.020492326481600043
MATS8d,-0.18826739427012276
MATS8i,-0.2747158480691589
MATS8m,-0.04683698975189002
MATS8p,-0.28077116494058746
MATS8s,-0.05303101879919271
MATS8v,-0.1771082263006764
MAXaaN,4.228657617367935
MAXssO,5.662534013605442
MINaaN,4.228657617367935
MINssO,5.662534013605442
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,29.470827534573615
SpAD_D,212.17917124370604
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,703
TMWC10,122.54201100946091
TSRW10,57.43233693308379
VE1_Dt,4.745687856114139
VE2_Dt,0.2063342546136582
VE3_Dt,2.390145508898287
VR1_Dt,126.25280449159362
VR2_Dt,5.489252369199723
VR3_Dt,5.6711954046386515
Xc-3dv,0.5100896825400245
Xc-4dv,0.0
Xc-5dv,0.07959814227850479
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21941609682128765
Xch-7d,0.3780555973930617
Xp-0dv,11.823425631797035
Xp-1dv,6.713352248354651
Xp-2dv,4.782226507130482
Xp-3dv,3.2914505098452715
Xp-4dv,2.202892896891983
Xp-5dv,1.4859380840672325
Xp-6dv,0.761170779935363
Xp-7dv,0.4207514903566103
Xpc-4d,3.777357776183754
Xpc-5d,5.472723379867562
Xpc-6d,8.438624239945103
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,36
nFRing,1
nHBAcc,5
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,7.594502138301004
AATS0dv,11.764705882352942
AATS0pe,6.8335058823529415
AATS0se,8.193033294117647
AATS1dv,10.555555555555555
AATS1pe,6.837366666666666
AATS1se,8.049748333333334
AATS2dv,9.910714285714286
AATS2pe,6.7567
AATS2se,8.016549357142857
AATS3dv,8.070422535211268
AATS3pe,6.715805633802816
AATS3se,8.064016507042254
AATS4dv,7.802816901408451
AATS4pe,6.858594366197182
AATS4se,8.258027549295775
AATS5dv,7.287878787878788
AATS5pe,6.666578787878788
AATS5se,8.070359878787878
AATS6dv,8.080645161290322
AATS6pe,6.82535806451613
AATS6se,8.223358387096775
AATS7dv,6.649122807017544
AATS7pe,6.697249122807017
AATS7se,8.123665543859648
AATS8dv,6.125
AATS8pe,6.5144062499999995
AATS8se,7.93216225
AATSC0Z,6.9723183391003465
AATSC0c,0.028058211822421214
AATSC0d,0.634083044982699
AATSC0i,1.6188418125840793
AATSC0m,32.896711014705886
AATSC0p,0.21540490764601813
AATSC0s,3.051927143406382
AATSC0v,43.265179190556715
AATSC1Z,0.17800845828527473
AATSC1c,-0.010941165838800728
AATSC1d,0.16575355632449051
AATSC1i,0.26322108323824234
AATSC1m,0.8248465694444467
AATSC1p,0.022632957500611863
AATSC1s,-0.303651907386048
AATSC1v,2.6500866724151595
AATSC2Z,0.24406821552150257
AATSC2c,-0.0015292091311896276
AATSC2d,-0.03166707859614438
AATSC2i,-0.1695184362549367
AATSC2m,0.9985218928571445
AATSC2p,-0.022776055980896208
AATSC2s,0.6398037156038887
AATSC2v,-3.501093754383355
AATSC3Z,0.016911155514401147
AATSC3c,0.0019614774622778723
AATSC3d,-0.06241775915005606
AATSC3i,-0.1942902755395995
AATSC3m,0.0591551866197188
AATSC3p,-0.020777667424320523
AATSC3s,-0.07633338477616951
AATSC3v,-2.2984529745092317
AATSC4Z,-1.0377698718261124
AATSC4c,-0.0008467974184677353
AATSC4d,-0.03839124713680004
AATSC4i,-0.1402259184850559
AATSC4m,-4.886205059859155
AATSC4p,-0.01569037143214286
AATSC4s,-0.26496681937066463
AATSC4v,-4.497997292938315
AATSC5Z,-0.13720247457271692
AATSC5c,-0.007863609343832565
AATSC5d,-0.07793331236237809
AATSC5i,-0.034850487139669095
AATSC5m,-0.5774308636363641
AATSC5p,-0.005612237415688844
