DLiP-ID,C001PG
ATS0p,51.88736685818802
ATS0s,164.16666666666666
ATS0v,7798.447692053507
ATS1Z,878.0
ATS1d,140.0
ATS1i,4638.409668728047
ATS1m,3370.450972999998
ATS1p,65.552415396
ATS1s,117.25
ATS1v,9754.821748743065
ATS2Z,1271.0
ATS2d,211.0
ATS2i,7633.73884027245
ATS2m,4806.477480999997
ATS2p,95.62975938684895
ATS2s,186.00000000000006
ATS2v,14041.058302478763
ATS3Z,1379.0
ATS3d,227.0
ATS3i,10169.466119169594
ATS3m,5091.439213
ATS3p,104.72974209224499
ATS3s,241.3333333333334
ATS3v,15032.410875512609
ATS4Z,1136.0
ATS4d,193.0
ATS4i,10657.57039639864
ATS4m,4055.1086939999996
ATS4p,89.83748129249001
ATS4s,245.77777777777783
ATS4v,12532.37007760174
ATS5Z,933.0
ATS5d,161.0
ATS5i,8463.139443076292
ATS5m,3376.5131710000005
ATS5p,76.62262354164098
ATS5s,179.7222222222223
ATS5v,10601.570119843436
ATS6Z,813.0
ATS6d,141.0
ATS6i,7999.27004171814
ATS6m,2895.7735640000005
ATS6p,66.855610259641
ATS6s,168.77777777777783
ATS6v,9238.901240663281
ATS7Z,683.0
ATS7d,119.0
ATS7i,6583.151065256338
ATS7m,2466.5560300000006
ATS7p,56.09011273764099
ATS7s,130.27777777777774
ATS7v,7774.944493734602
ATS8Z,585.0
ATS8d,88.0
ATS8i,5066.805569324349
ATS8m,2099.3356310000004
ATS8p,46.270575956547006
ATS8s,150.27777777777783
ATS8v,6331.447242841712
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.0625
GGI10,0.024793388429752067
JGI10,0.008264462809917356
JGT10,0.4169651945294569
Kier1,13.959183673469388
Kier2,6.185493460166469
Kier3,3.1911357340720223
MAXdO,12.290362496850593
MID_C,33.52249147055988
MID_N,0.0
MID_O,5.618099081488554
MID_X,0.0
MID_h,5.618099081488554
MINdO,12.290362496850593
MPC10,64
MWC01,21.0
MWC02,4.61512051684126
MWC03,5.459585514144159
MWC04,6.326149473155099
MWC05,7.187657164114956
MWC06,8.058010800802085
MWC07,8.926251835034533
MWC08,9.798737961337057
MWC09,10.670512321570657
MWC10,11.544608223610837
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.0509000000000013
SRW02,3.7612001156935624
SRW03,0.0
SRW04,5.0689042022202315
SRW05,0.0
SRW06,6.588926477533519
SRW07,0.0
SRW08,8.203851372183879
SRW09,0.0
SRW10,9.865941436462158
SaaCH,13.936195104431935
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.302761025834169
SaasN,0
SdCH2,0
SddsN,0
SdsCH,1.7893981481481482
SdssC,0.6104766628873775
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.812908486302205
VE1_D,4.297071414286927
VE2_A,0.2006793940159055
VE2_D,0.22616165338352248
VE3_A,1.9802461663145412
VE3_D,2.0997876103959014
VR1_A,139.73358434129253
VR1_D,97.51525955944827
VR2_A,7.354399175857502
VR2_D,5.132382082076225
VR3_A,5.58159152684509
VR3_D,5.221862760232083
WPath,726
Xc-3d,1.1546654663779075
Xc-4d,0.0
Xc-5d,0.24283384674075342
Xc-6d,0.0
Xp-0d,13.242276208189782
Xp-1d,9.237183443017884
Xp-2d,8.266537915336686
Xp-3d,7.066547096362802
Xp-4d,5.653050514178699
Xp-5d,4.843292793268652
Xp-6d,2.937781760973636
Xp-7d,2.032566819092683
ZMIC0,61.46451727877534
ZMIC1,46.13969295672002
ZMIC2,27.940373612799885
ZMIC3,21.857660756585886
ZMIC4,21.285880825543263
ZMIC5,21.285880825543263
nAcid,0
nAtom,31
nBase,0
nRing,3
piPC1,3.4011973816621555
piPC2,3.9889840465642745
piPC3,4.564348191467836
piPC4,5.073610093257644
piPC5,5.610844478996932
piPC6,5.717027701406222
piPC7,6.061384072451933
piPC8,6.422638011926353
piPC9,6.729338588265394
AATS0Z,25.161290322580644
AATS0d,3.6129032258064515
AATS0i,154.9701735205964
AATS0m,99.62331312903225
AATS0p,1.6737860276834844
AATS0s,5.295698924731182
AATS0v,251.5628287759196
AATS1Z,26.606060606060606
AATS1d,4.242424242424242
AATS1i,140.55786874933477
AATS1m,102.13487796969692
AATS1p,1.9864368301818183
AATS1s,3.553030303030303
AATS1v,295.60065905282016
AATS2Z,23.9811320754717
AATS2d,3.981132075471698
AATS2i,144.03280830702735
AATS2m,90.68825435849051
AATS2p,1.8043350827707347
AATS2s,3.509433962264152
AATS2v,264.9256283486559
AATS3Z,20.279411764705884
AATS3d,3.338235294117647
AATS3i,149.55097234072932
AATS3m,74.8741060735294
AATS3p,1.5401432660624264
AATS3s,3.5490196078431384
AATS3v,221.0648658163619
AATS4Z,16.705882352941178
AATS4d,2.838235294117647
AATS4i,156.72897641762705
AATS4m,59.63395138235293
AATS4p,1.321139430771912
AATS4s,3.614379084967321
AATS4v,184.29955996473146
AATS5Z,16.963636363636365
AATS5d,2.9272727272727272
AATS5i,153.87526260138713
AATS5m,61.39114856363637
AATS5p,1.3931386098480179
AATS5s,3.2676767676767695
AATS5v,192.75582036078976
AATS6Z,15.941176470588236
AATS6d,2.764705882352941
AATS6i,156.84843219055176
AATS6m,56.77987380392158
AATS6p,1.31089431881649
AATS6s,3.3093681917211337
AATS6v,181.1549262875153
AATS7Z,16.261904761904763
AATS7d,2.8333333333333335
AATS7i,156.74169202991283
AATS7m,58.72752452380954
AATS7p,1.335478874705738
AATS7s,3.101851851851851
AATS7v,185.11772604130005
AATS8Z,17.727272727272727
AATS8d,2.6666666666666665
AATS8i,153.53956270679845
AATS8m,63.616231242424256
AATS8p,1.4021386653499093
AATS8s,4.553872053872055
AATS8v,191.86203766187006
AMID_C,1.7643416563452567
AMID_N,0.0
AMID_O,0.29568942534150283
AMID_X,0.0
AMID_h,0.29568942534150283
ATS0dv,278.0
ATS0pe,197.6208
ATS0se,241.3249720000001
ATS1dv,277.0
ATS1pe,214.90850000000003
ATS1se,256.08942800000005
ATS2dv,388.0
ATS2pe,342.2450000000002
ATS2se,411.2596120000002
ATS3dv,391.0
ATS3pe,432.08150000000006
ATS3se,526.26106
ATS4dv,315.0
ATS4pe,429.98509999999993
ATS4se,531.263976
ATS5dv,245.0
ATS5pe,338.0685
ATS5se,417.93286
ATS6dv,215.0
ATS6pe,316.5555000000001
ATS6se,392.76092
ATS7dv,184.0
ATS7pe,258.095
ATS7se,320.65602399999995
ATS8dv,162.0
ATS8pe,209.48520000000002
ATS8se,257.15891600000003
ATSC0Z,217.9354838709677
ATSC0c,0.8201370177195795
ATSC0d,17.93548387096774
ATSC0i,42.4674954458829
ATSC0m,1035.4308243870967
ATSC0p,7.421158976566842
ATSC0s,55.650537634408614
ATSC0v,1544.5839072421159
ATSC1Z,3.0364203954214575
ATSC1c,-0.35607405111692897
ATSC1d,4.971904266389176
ATSC1i,2.7374261367339745
ATSC1m,17.018155458896587
ATSC1p,0.4970113101691134
ATSC1s,-6.716701352757547
ATSC1v,94.52712921149327
ATSC2Z,-20.56711758584806
ATSC2c,-0.058293291216609006
ATSC2d,-4.438085327783559
ATSC2i,-5.731542882879742
ATSC2m,-97.99308830697234
ATSC2p,-0.9637603230470717
ATSC2s,-2.665972944849115
ATSC2v,-172.5727546706732
ATSC3Z,-36.60041623309053
ATSC3c,-0.05978927319245929
ATSC3d,-5.632674297606659
ATSC3i,-20.11943168978672
ATSC3m,-180.52507520395443
ATSC3p,-3.3638938399496094
ATSC3s,-3.96462018730489
ATSC3v,-541.5739016838713
ATSC4Z,-58.18106139438085
ATSC4c,-0.0014710118963035534
ATSC4d,-3.052029136316337
ATSC4i,3.366308145759917
ATSC4m,-272.1977040104058
ATSC4p,0.32015964667422203
ATSC4s,-13.55243380737657
ATSC4v,-150.81594732216618
ATSC5Z,1.3080124869927134
ATSC5c,0.14428834901814716
ATSC5d,-1.3371488033298646
ATSC5i,-6.909278933706828
ATSC5m,4.3035071519251895
ATSC5p,-1.0724352727879072
ATSC5s,1.1755694299919044
ATSC5v,-115.54909470235285
ATSC6Z,-25.151925078043703
ATSC6c,-0.04666556623838979
ATSC6d,1.3642039542143602
ATSC6i,1.797749236240586
ATSC6m,-113.83471950780427
ATSC6p,0.301376157008973
ATSC6s,-11.297837900335303
ATSC6v,6.848015165019035
ATSC7Z,18.055150884495312
ATSC7c,-0.24944819825001338
ATSC7d,-2.654526534859522
ATSC7i,5.777621496689619
ATSC7m,90.88845570135284
ATSC7p,1.098818014193669
ATSC7s,-7.711122673141403
ATSC7v,246.7770161611037
ATSC8Z,-30.2216441207076
ATSC8c,0.39063447853392863
ATSC8d,-1.7377731529656606
ATSC8i,-4.021301248307312
ATSC8m,-154.99370437981267
ATSC8p,-1.0861520310401505
ATSC8s,21.94548502717077
ATSC8v,-391.6652100435761
AXp-0d,0.696961905694199
AXp-1d,0.43986587823894685
AXp-2d,0.285053031563334
AXp-3d,0.18596176569375794
AXp-4d,0.11777188571205623
AXp-5d,0.07811762569788147
AXp-6d,0.05065140967195924
AXp-7d,0.03226296538242354
GATS1Z,0.709133968459013
GATS1c,1.249649980547115
GATS1d,0.734957488554611
GATS1i,0.8816621597351119
GATS1m,0.7111983629699484
GATS1p,0.863785936617099
GATS1s,0.7351068407971121
GATS1v,0.7938717916125249
GATS2Z,0.8454120446395659
GATS2c,0.9109942723740129
GATS2d,1.2623863173612055
GATS2i,1.0244383146376048
GATS2m,0.8482045892301295
GATS2p,1.0085430686832948
GATS2s,0.6441816760025008
GATS2v,0.9410321349390419
GATS3Z,0.9737096437153905
GATS3c,0.9883214352098391
GATS3d,1.1561045281421922
GATS3i,1.1690530894165794
GATS3m,0.9770608894174329
GATS3p,1.1529504319421318
GATS3s,0.9145393738598713
GATS3v,1.0816417232400752
GATS4Z,1.1538762929683422
GATS4c,1.0348696797389922
GATS4d,1.0700116377486246
GATS4i,0.9399784901914476
GATS4m,1.1475994231368118
GATS4p,0.9469702120482444
GATS4s,1.3850217654446568
GATS4v,1.00486193742286
GATS5Z,0.964839334732763
GATS5c,0.6586754333108795
GATS5d,0.9883911052975802
GATS5i,1.0568144785473261
GATS5m,0.968029021817288
GATS5p,1.055810446576039
GATS5s,0.934130211398108
GATS5v,1.0347167502588228
GATS6Z,1.0985442134224919
GATS6c,0.9180709945293625
GATS6d,0.8691282268303007
GATS6i,0.9497608925459937
GATS6m,1.0933844254916427
GATS6p,0.9513850619113082
GATS6s,1.2361219243759716
GATS6v,0.9855072177185715
GATS7Z,0.9619491668781192
GATS7c,1.1125460371874512
GATS7d,1.135020554984584
GATS7i,0.8766466751306916
GATS7m,0.9583750652931959
GATS7p,0.8750647045421305
GATS7s,1.0631823012269341
GATS7v,0.8898593804291216
GATS8Z,1.0991576511114702
GATS8c,0.7104669599348807
GATS8d,0.8870176586003925
GATS8i,1.054253040535306
GATS8m,1.1077894075873418
GATS8p,1.09632463587927
GATS8s,0.7364681497615511
GATS8v,1.1855235234989352
MATS1Z,0.013088253763209453
MATS1c,-0.4078511253214285
MATS1d,0.2604098539350337
MATS1i,0.060552700256679776
MATS1m,0.015439710428955396
MATS1p,0.0629132746054037
MATS1s,-0.1133794714608163
MATS1v,0.0574900540354169
MATS2Z,-0.055199012478076764
MATS2c,-0.04157363374406112
MATS2d,-0.14473326998778335
MATS2i,-0.07894065425082493
MATS2m,-0.05535542373150228
MATS2p,-0.0759596809578287
MATS2s,-0.028020262375524727
MATS2v,-0.06535014417832315
MATS3Z,-0.0765615748963884
MATS3c,-0.033234537589109034
MATS3d,-0.14317075751163774
MATS3i,-0.21597915681812235
MATS3m,-0.07948208041573074
MATS3p,-0.20664425107222265
MATS3s,-0.03247768047417981
MATS3v,-0.15984498053719243
MATS4Z,-0.12170445442830775
MATS4c,-0.0008176784488474579
MATS4d,-0.07757617435463393
MATS4i,0.036136825638085956
MATS4m,-0.11984395948701108
MATS4p,0.019667431125452245
MATS4s,-0.11101986925578841
MATS4v,-0.044513171867136575
MATS5Z,0.0033828516066526666
MATS5c,0.09916167493794302
MATS5d,-0.0420209287115762
MATS5i,-0.09170121319036702
MATS5m,0.0023426124322984037
MATS5p,-0.08145136349971889
MATS5s,0.011906330233061925
MATS5v,-0.042165188471887334
MATS6Z,-0.07015115104656429
MATS6c,-0.034586103993927926
MATS6d,0.04623360135421076
MATS6i,0.025731433518291467
MATS6m,-0.06682595438001701
MATS6p,0.02468474659397564
MATS6s,-0.12340066287681467
MATS6v,0.002694912851517774
MATS7Z,0.06114846767599876
MATS7c,-0.22449483842555287
MATS7d,-0.10924117848578285
MATS7i,0.1004164448468014
MATS7m,0.0647888152168039
MATS7p,0.10928648023449439
MATS7s,-0.10227291895729725
MATS7v,0.11792492440574855
MATS8Z,-0.13026804456644606
MATS8c,0.4474370181136672
MATS8d,-0.09101809461521691
MATS8i,-0.08895240893004905
MATS8m,-0.14061793710342463
MATS8p,-0.13748858344651113
MATS8s,0.37044486015599903
MATS8v,-0.2382052039136754
MAXsOH,9.23236614864546
MAXssO,5.563913533005795
MINsOH,9.23236614864546
MINssO,5.563913533005795
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,25.144337196329474
SpAD_D,157.95455378541754
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.2745268801965228
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,544
TMWC10,112.58663381061064
TSRW10,52.48882360409335
VE1_Dt,4.326785908981151
VE2_Dt,0.22772557415690267
VE3_Dt,2.106678868257432
VR1_Dt,95.2111904228965
VR2_Dt,5.011115285415605
VR3_Dt,5.197951367520668
Xc-3dv,0.45494810178646145
Xc-4dv,0.0
Xc-5dv,0.052575070044047365
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2222222222222222
Xch-7d,0.4227036717168735
Xp-0dv,10.166969380320866
Xp-1dv,6.000151356827098
Xp-2dv,4.375066895529647
Xp-3dv,3.0404968409744217
Xp-4dv,2.05306250957268
Xp-5dv,1.4340236435670024
Xp-6dv,0.70371699113659
Xp-7dv,0.4152850957052903
Xpc-4d,2.7642055970985244
Xpc-5d,4.157214038887713
Xpc-6d,6.516407208267183
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,33
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.976231350284208
AATS0dv,8.96774193548387
AATS0pe,6.3748645161290325
AATS0se,7.784676516129035
AATS1dv,8.393939393939394
AATS1pe,6.512378787878789
AATS1se,7.7602856969696985
AATS2dv,7.320754716981132
AATS2pe,6.457452830188682
AATS2se,7.759615320754721
AATS3dv,5.75
AATS3pe,6.354139705882353
AATS3se,7.739133235294118
AATS4dv,4.632352941176471
AATS4pe,6.323310294117646
AATS4se,7.812705529411764
AATS5dv,4.454545454545454
AATS5pe,6.146699999999999
AATS5se,7.598779272727273
AATS6dv,4.215686274509804
AATS6pe,6.206970588235296
AATS6se,7.701194509803922
AATS7dv,4.380952380952381
AATS7pe,6.1451190476190485
AATS7se,7.634667238095237
AATS8dv,4.909090909090909
AATS8pe,6.348036363636364
AATS8se,7.792694424242425
AATSC0Z,7.030176899063473
AATSC0c,0.026456032829663852
AATSC0d,0.578563995837669
AATSC0i,1.3699192079317066
AATSC0m,33.40099433506764
AATSC0p,0.23939222505054328
AATSC0s,1.7951786333680197
AATSC0v,49.825287330390836
AATSC1Z,0.09201273925519568
AATSC1c,-0.01079012276111906
AATSC1d,0.15066376564815684
AATSC1i,0.0829523071737568
AATSC1m,0.5157016805726239
AATSC1p,0.015060948793003435
AATSC1s,-0.2035364046290166
AATSC1v,2.8644584609543418
AATSC2Z,-0.3880588223744917
AATSC2c,-0.001099873419181302
AATSC2d,-0.08373745901478412
AATSC2i,-0.10814231854490079
AATSC2m,-1.8489261944711761
AATSC2p,-0.018184157038623996
AATSC2s,-0.05030137631790783
AATSC2v,-3.2560897107674185
AATSC3Z,-0.5382414151925078
AATSC3c,-0.000879254017536166
AATSC3d,-0.0828334455530391
AATSC3i,-0.29587399543804
AATSC3m,-2.654780517705212
AATSC3p,-0.04946902705808249
AATSC3s,-0.058303238048601325
AATSC3v,-7.964322083586343
AATSC4Z,-0.8556038440350124
AATSC4c,-2.1632527886816964e-05
AATSC4d,-0.04488278141641672
AATSC4i,0.0495045315552929
AATSC4m,-4.002907411917732
AATSC4p,0.004708230098150324
AATSC4s,-0.1993004971673025
AATSC4v,-2.21788157826715
AATSC5Z,0.023782045218049334
AATSC5c,0.0026234245276026756
AATSC5d,-0.02431179642417936
AATSC5i,-0.12562325334012414
AATSC5m,0.078245584580458
AATSC5p,-0.01949882314159831
AATSC5s,0.021373989636216444
