DLiP-ID,T007FU
SIC0,0.372891017699402
SIC1,0.7576240720114432
SIC2,0.9025719757306644
SIC3,0.9527714964921634
SIC4,0.9606429137434696
SIC5,0.9606429137434696
SaaN,4.026182680676902
SaaO,0
SaaS,1.3152753459206727
Sare,46.860000000000014
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,11.83218425226218
SsLi,0
SsOH,9.428336115852575
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,94.74558539951077
TIC1,192.5000410531487
TIC2,229.3289624764591
TIC3,242.0838499786226
TIC4,244.0838499786226
TIC5,244.0838499786226
Vabc,369.645219834951
WPol,44
apol,57.19548099999999
bpol,32.346519
nRot,7
ABCGG,20.011830807089073
ATS0Z,2186.0
ATS0d,169.0
ATS0i,7411.059225418734
ATS0m,8907.283496999997
ATS0p,88.14053938243296
ATS0s,321.6190462581924
ATS0v,11741.603779910729
ATS1Z,1865.0
ATS1d,213.0
ATS1i,6971.513510369946
ATS1m,7299.1886710000035
ATS1p,101.70782493600005
ATS1s,142.24794238683126
ATS1v,14185.491424549182
ATS2Z,2729.0
ATS2d,327.0
ATS2i,12848.034896435554
ATS2m,10523.297035000003
ATS2p,154.24496119939607
ATS2s,343.4120370370371
ATS2v,21087.084408824263
ATS3Z,2918.0
ATS3d,368.0
ATS3i,18011.717133193302
ATS3m,10831.655582000001
ATS3p,175.894662073037
ATS3s,386.01131687242787
ATS3v,23076.651751883743
ATS4Z,3591.0
ATS4d,352.0
ATS4i,19463.695861712815
ATS4m,13705.512251000004
ATS4p,173.71032314128195
ATS4s,482.8605204999238
ATS4v,23783.845187354622
ATS5Z,3240.0
ATS5d,325.0
ATS5i,18221.117952935012
ATS5m,12253.736695000001
ATS5p,157.538751617641
ATS5s,650.2654320987656
ATS5v,22761.889842969184
ATS6Z,2685.0
ATS6d,331.0
ATS6i,17740.511552552794
ATS6m,10035.986407999997
ATS6p,163.30376734158395
ATS6s,384.57458847736615
ATS6v,21965.579934130084
ATS7Z,2824.0
ATS7d,302.0
ATS7i,18661.060970055416
ATS7m,10421.803879000001
ATS7p,163.23642462813106
ATS7s,367.52880658436203
ATS7v,21387.536547074375
ATS8Z,2416.0
ATS8d,242.0
ATS8i,16513.27440814806
ATS8m,8830.552227000002
ATS8p,130.02447748043303
ATS8s,485.5833333333332
ATS8v,17139.168721366525
C1SP1,0
C1SP2,3
C1SP3,1
C2SP1,0
C2SP2,7
C2SP3,5
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.35294117647058826
GGI10,0.17702479338842977
JGI10,0.008046581517655898
JGT10,0.5445395782803415
Kier1,23.658688865764827
Kier2,10.08
Kier3,5.825792551554325
MAXdO,13.03340929501328
MID_C,35.23828319769125
MID_N,6.2354775527167705
MID_O,8.704915139089612
MID_X,3.5191651414431817
MID_h,22.70125877537687
MINdO,11.550687509348446
MPC10,83
MWC01,31.0
MWC02,5.030437921392435
MWC03,5.877735781779639
MWC04,6.774223886357614
MWC05,7.646353722445999
MWC06,8.543835122362658
MWC07,9.427626803805994
MWC08,10.326235776766852
MWC09,11.217036474371115
MWC10,12.117137601296744
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.4151000000000007
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.493061443340548
SRW05,3.044522437723423
SRW06,7.014814351275545
SRW07,5.209486152841421
SRW08,8.623892810075294
SRW09,7.153833801578843
SRW10,10.285103858612302
SaaCH,7.192170013139357
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.7315572982565557
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.8868456632219242
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.4408977037316983
SssPH,0
SssSe,0
SsssB,0
SsssN,1.061583469807676
SsssP,0
VE1_A,4.209367106307317
VE1_D,5.308202858126277
VE2_A,0.1451505898726661
VE2_D,0.18304147786642336
VE3_A,2.502023042342482
VE3_D,2.7339640701635988
VR1_A,467.3454608585743
VR1_D,179.89928142577216
VR2_A,16.115360719261183
VR2_D,6.203423497440419
VR3_A,7.211779466064117
VR3_D,6.25710788364284
WPath,2275
Xc-3d,2.8261317383231512
Xc-4d,0.16666666666666666
Xc-5d,0.8759423616138585
Xc-6d,0.15137471507731048
Xp-0d,21.181433796945203
Xp-1d,13.679577681631839
Xp-2d,13.240259635320637
Xp-3d,10.214852315919014
Xp-4d,8.417888153493829
Xp-5d,6.077439253596281
Xp-6d,3.6895967848911106
Xp-7d,2.4390505645898504
ZMIC0,95.45211359507643
ZMIC1,44.53936129113699
ZMIC2,35.90343275879212
ZMIC3,33.981800753072434
ZMIC4,31.377428872508553
ZMIC5,31.377428872508553
nAcid,1
nAtom,46
nBase,0
nRing,3
piPC1,3.7256934272366524
piPC2,4.314149212270796
piPC3,4.72849340202009
piPC4,5.17861843423319
piPC5,5.493318611915966
piPC6,5.529429087511423
piPC7,5.755148683052127
piPC8,5.661222860237405
piPC9,5.667075266667219
AATS0Z,47.52173913043478
AATS0d,3.6739130434782608
AATS0i,161.10998316127683
AATS0m,193.6365977608695
AATS0p,1.9160986822268036
AATS0s,6.991718396917226
AATS0v,255.25225608501586
AATS1Z,38.854166666666664
AATS1d,4.4375
AATS1i,145.23986479937386
AATS1m,152.0664306458334
AATS1p,2.118913019500001
AATS1s,2.963498799725651
AATS1v,295.5310713447746
AATS2Z,32.48809523809524
AATS2d,3.892857142857143
AATS2i,152.95279638613755
AATS2m,125.27734565476194
AATS2p,1.8362495380880486
AATS2s,4.088238536155204
AATS2v,251.0367191526698
AATS3Z,25.82300884955752
AATS3d,3.256637168141593
AATS3i,159.3957268424186
AATS3m,95.85535913274337
AATS3p,1.556589929849885
AATS3s,3.416029352853344
AATS3v,204.2181570963163
AATS4Z,29.925
AATS4d,2.933333333333333
AATS4i,162.19746551427346
AATS4m,114.2126020916667
AATS4p,1.4475860261773497
AATS4s,4.023837670832698
AATS4v,198.19870989462186
AATS5Z,28.928571428571427
AATS5d,2.9017857142857144
AATS5i,162.68855315120547
AATS5m,109.4083633482143
AATS5p,1.4065959965860804
AATS5s,5.805941358024692
AATS5v,203.23115931222486
AATS6Z,23.973214285714285
AATS6d,2.955357142857143
AATS6i,158.39742457636424
AATS6m,89.60702149999997
AATS6p,1.4580693512641425
AATS6s,3.433701682833626
AATS6v,196.12124941187577
AATS7Z,24.344827586206897
AATS7d,2.603448275862069
AATS7i,160.87121525909842
AATS7m,89.84313688793104
AATS7p,1.407210557139061
AATS7s,3.168351780899673
AATS7v,184.375315060986
AATS8Z,24.16
AATS8d,2.42
AATS8i,165.1327440814806
AATS8m,88.30552227000003
AATS8p,1.3002447748043304
AATS8s,4.855833333333332
AATS8v,171.39168721366525
AMID_C,1.2151132137134915
AMID_N,0.21501646733506105
AMID_O,0.3001694875548142
AMID_X,0.1213505221187304
AMID_h,0.7828020267371335
ATS0dv,412.0987654320988
ATS0pe,312.99929999999983
ATS0se,381.40509599999984
ATS1dv,316.2222222222222
ATS1pe,323.7156000000001
ATS1se,387.30659599999973
ATS2dv,550.6666666666666
ATS2pe,566.9101999999999
ATS2se,682.5747999999996
ATS3dv,507.44444444444446
ATS3pe,744.2249
ATS3se,913.9902279999998
ATS4dv,602.9753086419753
ATS4pe,813.4217000000001
ATS4se,999.8458270000002
ATS5dv,665.7777777777777
ATS5pe,790.0408999999997
ATS5se,958.281782
ATS6dv,454.77777777777777
ATS6pe,724.2221999999998
ATS6se,892.23457
ATS7dv,389.4444444444444
ATS7pe,753.4507000000001
ATS7se,935.6145179999999
ATS8dv,408.55555555555554
ATS8pe,670.5814000000001
ATS8se,831.4078359999999
ATSC0Z,870.434782608696
ATSC0c,1.1326078604721346
ATSC0d,33.32608695652174
ATSC0i,74.12899610515642
ATSC0m,3932.776260456523
ATSC0p,17.024820973272973
ATSC0s,142.2683124672804
ATSC0v,2308.3016343354
ATSC1Z,66.50283553875248
ATSC1c,-0.7472875011341706
ATSC1d,4.22495274102079
ATSC1i,-10.983647506677002
ATSC1m,291.0651959366733
ATSC1p,-0.5169619084278202
ATSC1s,-19.017664439062344
ATSC1v,80.55037614345241
ATSC2Z,2.771266540642744
ATSC2c,0.2073238699422463
ATSC2d,-5.725897920604919
ATSC2i,-11.848933069858411
ATSC2m,29.287429796786817
ATSC2p,-0.16067695471654336
ATSC2s,53.99065189155489
ATSC2v,-213.77085400247313
ATSC3Z,-289.0680529300567
ATSC3c,0.38731789334896966
ATSC3d,-6.279300567107752
ATSC3i,4.468687908236426
ATSC3m,-1281.9720236431951
ATSC3p,-2.5366918229287294
ATSC3s,-6.654116129415416
ATSC3v,-447.7007598702129
ATSC4Z,236.51795841209838
ATSC4c,-0.8719259033731455
ATSC4d,-8.502835538752365
ATSC4i,-11.674986157654995
ATSC4m,1110.3722286786387
ATSC4p,4.04892163593923
ATSC4s,-97.636999295041
ATSC4v,585.3853119741248
ATSC5Z,-97.27599243856332
ATSC5c,0.5829353495999418
ATSC5d,2.727788279773158
ATSC5i,11.721180960002227
ATSC5m,-452.04848743761806
ATSC5p,-2.4386581640478413
ATSC5s,43.02535851024655
ATSC5v,-523.3792835543902
ATSC6Z,107.11531190926274
ATSC6c,0.10111578553875246
ATSC6d,-6.728733459357277
ATSC6i,-7.2568514513683615
ATSC6m,486.71548171455504
ATSC6p,-0.06197982410618716
ATSC6s,-26.3907312129531
ATSC6v,-90.98235101634752
ATSC7Z,-163.57466918714562
ATSC7c,-0.45876100742322
ATSC7d,-8.474480151228734
ATSC7i,-19.669517475981174
ATSC7m,-749.7962762164466
ATSC7p,-3.9445221219437494
ATSC7s,-54.692519339734204
ATSC7v,-301.61616279521456
ATSC8Z,-226.98865784499063
ATSC8c,0.29904802830602234
ATSC8d,9.704158790170133
ATSC8i,2.672061905194745
ATSC8m,-1061.216509122874
ATSC8p,-2.1619828769416967
ATSC8s,45.37041552426855
ATSC8v,-330.3451221011881
AXp-0d,0.7303942688601794
AXp-1d,0.44127669940747866
AXp-2d,0.2942279918960142
AXp-3d,0.17920793536700025
AXp-4d,0.11531353634923053
AXp-5d,0.07503011424192939
AXp-6d,0.04555057759124828
AXp-7d,0.028361053076626168
GATS1Z,0.6618459665334663
GATS1c,1.6056180990324478
GATS1d,1.068982387475538
GATS1i,1.3328367272314527
GATS1m,0.6469420329859817
GATS1p,1.0081078890614588
GATS1s,0.7062743995574311
GATS1v,0.8389625209461075
GATS2Z,0.7468558227486796
GATS2c,0.7867053332164748
GATS2d,1.2377690802348336
GATS2i,1.2225317635106756
GATS2m,0.7371920420145127
GATS2p,0.9108840357778812
GATS2s,0.48291304515207234
GATS2v,0.9377002269018744
GATS3Z,1.0737691512027792
GATS3c,0.8385583692800865
GATS3d,1.2427480387233083
GATS3i,1.0128164074198602
GATS3m,1.0675581980826583
GATS3p,1.0446335810783927
GATS3s,0.8692771271086497
GATS3v,1.051075883992014
GATS4Z,0.8080013736263733
GATS4c,1.4379910746794191
GATS4d,1.2490215264187865
GATS4i,1.0459129886261087
GATS4m,0.7973953642257217
GATS4p,0.9007359822120962
GATS4s,1.6403345525444328
GATS4v,0.8435577941854983
GATS5Z,0.8532527740117022
GATS5c,0.9955104401447427
GATS5d,0.9042144254962257
GATS5i,0.9070821663816644
GATS5m,0.8599577688834072
GATS5p,0.8829146983099695
GATS5s,1.3313911523852031
GATS5v,0.9490453633441386
GATS6Z,0.6926187651634077
GATS6c,0.950562133094768
GATS6d,1.042860637405647
GATS6i,1.0008348143202856
GATS6m,0.695108988576946
GATS6p,0.8620722342539019
GATS6s,0.9842611878708812
GATS6v,0.9924312815868439
GATS7Z,1.099703098625512
GATS7c,1.1352092819267376
GATS7d,1.0592820028341992
GATS7i,1.0039170426505768
GATS7m,1.107753552855825
GATS7p,1.0510763250668642
GATS7s,1.1152240116708527
GATS7v,1.0744170193421598
GATS8Z,1.1996590909090903
GATS8c,0.8966938239703566
GATS8d,0.7359099804305284
GATS8i,0.8553825631626765
GATS8m,1.2141471086625493
GATS8p,1.0039343479420713
GATS8s,1.0529839978561237
GATS8v,1.0623759432177535
MATS1Z,0.07321844821844832
MATS1c,-0.6323022706391205
MATS1d,0.12149380300065217
MATS1i,-0.14199565730392966
MATS1m,0.07092635353909822
MATS1p,-0.029099972897673937
MATS1s,-0.12810485650691159
MATS1v,0.033441951139558966
MATS2Z,0.001743494600637471
MATS2c,0.10024166719021414
MATS2d,-0.09408877706333682
MATS2i,-0.08753256868355656
MATS2m,0.004078125311574261
MATS2p,-0.005168322242820421
MATS2s,0.20782076385410583
MATS2v,-0.050714772166788255
MATS3Z,-0.13518958917189
MATS3c,0.13920902054758308
MATS3d,-0.0767019378972343
MATS3i,0.024539815557031656
MATS3m,-0.13269626417259914
MATS3p,-0.0606547117855124
MATS3s,-0.01903976501546023
MATS3v,-0.0789540951402974
MATS4Z,0.10416083916083917
MATS4c,-0.2951050179188907
MATS4d,-0.09780387040661014
MATS4i,-0.06037328974596899
MATS4m,0.1082295710386371
MATS4p,0.09116610562581758
MATS4s,-0.26307696877363435
MATS4v,0.09721333624061763
MATS5Z,-0.04589963607820748
MATS5c,0.21138814596319672
MATS5d,0.033617556611685785
MATS5i,0.06494161149688542
MATS5m,-0.0472090857272955
MATS5p,-0.05883126451200898
MATS5s,0.12420987556312706
MATS5v,-0.09312446233422456
MATS6Z,0.050542314828029095
MATS6c,0.03666732245234084
MATS6d,-0.08292563600782778
MATS6i,-0.04020683830866166
MATS6m,0.05082948741031944
MATS6p,-0.00149522859749496
MATS6s,-0.07618738235964215
MATS6v,-0.016188417819599392
MATS7Z,-0.07452116848668573
MATS7c,-0.16062264337905668
MATS7d,-0.10083901297883346
MATS7i,-0.10522172804008785
MATS7m,-0.07560384481453247
MATS7p,-0.0918780321280694
MATS7s,-0.1524472489023636
MATS7v,-0.05181576255251665
MATS8Z,-0.11995704295704296
MATS8c,0.12145606420515806
MATS8d,0.13394651011089367
MATS8i,0.016581210335641968
MATS8m,-0.12412595120268949
MATS8p,-0.0584154232784269
MATS8s,0.14669739718718752
MATS8v,-0.0658314121110511
MAXaaN,4.026182680676902
MAXaaS,1.3152753459206727
MAXsCl,5.91609212613109
MAXsOH,9.428336115852575
MINaaN,4.026182680676902
MINaaS,1.3152753459206727
MINsCl,5.91609212613109
MINsOH,9.428336115852575
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,-4.0383599327076505
SdssSe,0
SdsssP,0
SpAD_A,35.65036123842526
SpAD_D,324.16081740363234
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.8890486916248999
SssNH2,0
SsssAs,0
SsssCH,-2.2311024764844216
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,737
TMWC10,136.96062309057902
TSRW10,79.9678495818389
VE1_Dt,5.299803437369834
VE2_Dt,0.18275184266792532
VE3_Dt,2.7323804695740437
VR1_Dt,179.25162712344508
VR2_Dt,6.181090590463623
VR3_Dt,6.253501293828142
Xc-3dv,1.6189178304939833
Xc-4dv,0.04564354645876384
Xc-5dv,0.3534359237937117
Xc-6dv,0.03384841529875286
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.2621886974951644
Xch-6d,0.29707040120279904
Xch-7d,0.531075435577003
Xp-0dv,18.061789538267444
Xp-1dv,11.703090723545849
Xp-2dv,9.94436160278255
Xp-3dv,7.417964167315044
Xp-4dv,6.0731097865295975
Xp-5dv,3.8565959584181413
Xp-6dv,2.4503255933955597
Xp-7dv,1.5299149418449718
Xpc-4d,5.757735147206633
Xpc-5d,8.594953947294627
Xpc-6d,13.64708826745866
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,48
nFRing,0
nHBAcc,6
nHBDon,2
nHRing,2
nSpiro,0
naRing,2
piPC10,5.790533401064856
AATS0dv,8.958668813741278
AATS0pe,6.804332608695648
AATS0se,8.29141513043478
AATS1dv,6.587962962962962
AATS1pe,6.744075000000002
AATS1se,8.06888741666666
AATS2dv,6.555555555555555
AATS2pe,6.7489309523809515
AATS2se,8.125890476190472
AATS3dv,4.490658800393314
AATS3pe,6.586061061946903
AATS3se,8.088409097345131
AATS4dv,5.0247942386831275
AATS4pe,6.7785141666666675
AATS4se,8.332048558333335
AATS5dv,5.944444444444444
AATS5pe,7.053936607142854
AATS5se,8.556087339285714
AATS6dv,4.060515873015873
AATS6pe,6.466269642857141
AATS6se,7.966380089285714
AATS7dv,3.3572796934865896
AATS7pe,6.495264655172415
AATS7se,8.065642396551723
AATS8dv,4.085555555555556
AATS8pe,6.705814000000001
AATS8se,8.314078359999998
AATSC0Z,18.922495274102086
AATSC0c,0.024621910010263794
AATSC0d,0.7244801512287335
AATSC0i,1.6114999153294873
AATSC0m,85.49513609688093
AATSC0p,0.37010480376680377
AATSC0s,3.092789401462617
AATSC0v,50.180470311639134
AATSC1Z,1.3854757403906766
AATSC1c,-0.015568489606961888
AATSC1d,0.08801984877126645
AATSC1i,-0.22882598972243753
AATSC1m,6.0638582486806945
AATSC1p,-0.01077003975891292
AATSC1s,-0.3962013424804655
AATSC1v,1.6781328363219252
AATSC2Z,0.03299126834098505
AATSC2c,0.0024681413088362657
AATSC2d,-0.06816545143577285
AATSC2i,-0.14105872702212394
AATSC2m,0.34865987853317637
AATSC2p,-0.0019128208894826592
AATSC2s,0.642745855851844
AATSC2v,-2.544891119077061
AATSC3Z,-2.558124362212891
AATSC3c,0.0034275919765395543
AATSC3d,-0.05556903156732524
AATSC3i,0.03954591069235775
AATSC3m,-11.344885164984028
