DLiP-ID,I000IF
SaaN,0
SaaO,0
SaaS,0
Sare,32.56
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,37.59494144704101
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,46.76745058278154
TIC1,86.0
TIC2,118.0
TIC3,150.0
TIC4,160.0
TIC5,160.0
Vabc,244.34278258563606
WPol,30
apol,37.06151599999999
bpol,12.906483999999995
nRot,3
ABCGG,12.91308290026848
ATS0Z,872.0
ATS0d,112.0
ATS0i,5048.1835946534875
ATS0m,3455.994588
ATS0p,50.384874858188
ATS0s,256.4444444444444
ATS0v,7807.712344232894
ATS1Z,896.0
ATS1d,135.0
ATS1i,4761.143828002801
ATS1m,3430.4105529999993
ATS1p,62.366526424
ATS1s,145.44444444444446
ATS1v,9535.865391834399
ATS2Z,1284.0
ATS2d,194.0
ATS2i,7004.977004118001
ATS2m,4904.799949
ATS2p,88.6533862
ATS2s,213.33333333333334
ATS2v,13368.84848140585
ATS3Z,1470.0
ATS3d,206.0
ATS3i,10007.525032463545
ATS3m,5473.916386
ATS3p,97.195011919396
ATS3s,325.8888888888889
ATS3v,14560.436504794368
ATS4Z,1259.0
ATS4d,176.0
ATS4i,10732.771439837445
ATS4m,4527.862055
ATS4p,84.996918873943
ATS4s,358.33333333333337
ATS4v,12369.110269575256
ATS5Z,915.0
ATS5d,147.0
ATS5i,9474.91902998739
ATS5m,3218.504509
ATS5p,70.308455999339
ATS5s,233.66666666666666
ATS5v,9893.078985054788
ATS6Z,896.0
ATS6d,131.0
ATS6i,7477.1864253550375
ATS6m,3337.6341219999995
ATS6p,59.740727156188
ATS6s,241.55555555555557
ATS6v,8709.686038111764
ATS7Z,875.0
ATS7d,123.0
ATS7i,6182.7166327810455
ATS7m,3270.737566
ATS7p,56.745796498245
ATS7s,210.8888888888889
ATS7v,8545.715566461666
ATS8Z,832.0
ATS8d,112.0
ATS8i,6172.049432076048
ATS8m,3043.716476
ATS8p,54.823103009698
ATS8s,207.44444444444446
ATS8v,8146.390625777755
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.053667993061932456
JGI10,0.010733598612386493
JGT10,0.5219379195183823
Kier1,16.3718820861678
Kier2,7.319857312722949
Kier3,4.25
MAXdO,11.873784013605441
MID_C,30.994237482600006
MID_N,0.0
MID_O,8.822899714108821
MID_X,0.0
MID_h,8.822899714108821
MINdO,11.873784013605441
MPC10,37
MWC01,21.0
MWC02,4.61512051684126
MWC03,5.442417710521793
MWC04,6.297109319933935
MWC05,7.136483208590247
MWC06,7.99260665240021
MWC07,8.834773814213882
MWC08,9.691222119369101
MWC09,10.534413524913662
MWC10,11.390859520740698
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,2
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.4051000000000013
SRW02,3.7612001156935624
SRW03,0.0
SRW04,5.0689042022202315
SRW05,0.0
SRW06,6.5722825426940075
SRW07,0.0
SRW08,8.163656176168432
SRW09,0.0
SRW10,9.795512510870829
SaaCH,8.006152521053314
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,-0.7895321767111068
SaasN,0
SdCH2,0
SddsN,0
SdsCH,2.4764663643235068
SdssC,-0.4951455026455023
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.196531445362953
VE1_D,4.416149949727348
VE2_A,0.20982657226814766
VE2_D,0.2208074974863674
VE3_A,2.1274055183081586
VE3_D,2.178415444965346
VR1_A,98.18564159378282
VR1_D,100.38690054092574
VR2_A,4.909282079689141
VR2_D,5.0193450270462865
VR3_A,5.280007169280513
VR3_D,5.302178906605328
WPath,879
Xc-3d,1.4909814356658566
Xc-4d,0.0
Xc-5d,0.4247578980827672
Xc-6d,0.0
Xp-0d,14.698306133819765
Xp-1d,9.486071002992368
Xp-2d,8.641380848961635
Xp-3d,7.097075469496727
Xp-4d,5.3248519558810905
Xp-5d,3.6312670434311536
Xp-6d,2.4288273922612444
Xp-7d,1.2784915468585647
ZMIC0,69.22117115147441
ZMIC1,55.6875
ZMIC2,33.9375
ZMIC3,23.25
ZMIC4,22.1875
ZMIC5,22.1875
nAcid,0
nAtom,32
nBase,0
nRing,2
piPC1,3.4011973816621555
piPC2,4.007333185232471
piPC3,4.564348191467836
piPC4,5.041810911564705
piPC5,5.504823276709224
piPC6,5.600734098756754
piPC7,5.7148666509125
piPC8,5.915780814865412
piPC9,6.280863894199257
AATS0Z,27.25
AATS0d,3.5
AATS0i,157.75573733292148
AATS0m,107.999830875
AATS0p,1.574527339318375
AATS0s,8.013888888888888
AATS0v,243.99101075727793
AATS1Z,27.151515151515152
AATS1d,4.090909090909091
AATS1i,144.27708569705456
AATS1m,103.95183493939392
AATS1p,1.889894740121212
AATS1s,4.407407407407407
AATS1v,288.9656179343757
AATS2Z,26.20408163265306
AATS2d,3.9591836734693877
AATS2i,142.9587143697551
AATS2m,100.09795814285715
AATS2p,1.8092527795918367
AATS2s,4.35374149659864
AATS2v,272.8336424776704
AATS3Z,22.272727272727273
AATS3d,3.121212121212121
AATS3i,151.62916715853856
AATS3m,82.93812706060606
AATS3p,1.4726516957484241
AATS3s,4.937710437710438
AATS3v,220.6126743150662
AATS4Z,18.514705882352942
AATS4d,2.588235294117647
AATS4i,157.83487411525653
AATS4m,66.58620669117647
AATS4p,1.2499546893226912
AATS4s,5.269607843137256
AATS4v,181.89868043493024
AATS5Z,15.508474576271187
AATS5d,2.4915254237288136
AATS5i,160.59184796588795
AATS5m,54.55092388135593
AATS5p,1.1916687457515085
AATS5s,3.9604519774011298
AATS5v,167.6793048314371
AATS6Z,19.06382978723404
AATS6d,2.7872340425531914
AATS6i,159.08907287989442
AATS6m,71.0134919574468
AATS6p,1.2710793011954893
AATS6s,5.139479905437352
AATS6v,185.31246889599498
AATS7Z,21.875
AATS7d,3.075
AATS7i,154.56791581952615
AATS7m,81.76843914999999
AATS7p,1.418644912456125
AATS7s,5.272222222222223
AATS7v,213.64288916154163
AATS8Z,20.8
AATS8d,2.8
AATS8i,154.3012358019012
AATS8m,76.0929119
AATS8p,1.37057757524245
AATS8s,5.186111111111112
AATS8v,203.6597656444439
AMID_C,1.5497118741300002
AMID_N,0.0
AMID_O,0.4411449857054411
AMID_X,0.0
AMID_h,0.4411449857054411
ATS0dv,320.0
ATS0pe,214.7855
ATS0se,260.487888
ATS1dv,300.0
ATS1pe,223.052
ATS1se,265.64340400000003
ATS2dv,413.0
ATS2pe,323.4675
ATS2se,385.96128400000003
ATS3dv,443.0
ATS3pe,438.57959999999997
ATS3se,530.8462240000001
ATS4dv,354.0
ATS4pe,449.55469999999997
ATS4se,551.022572
ATS5dv,259.0
ATS5pe,375.11699999999996
ATS5se,466.08094000000006
ATS6dv,302.0
ATS6pe,300.64820000000003
ATS6se,370.99381600000004
ATS7dv,272.0
ATS7pe,265.66459999999995
ATS7se,323.000272
ATS8dv,236.0
ATS8pe,268.1476
ATS8se,325.70554400000003
ATSC0Z,241.875
ATSC0c,1.6190135259295035
ATSC0d,20.875
ATSC0i,43.78097592735183
ATSC0m,1139.64054
ATSC0p,7.461250851367499
ATSC0s,100.3888888888889
ATSC0v,1503.5443943710814
ATSC1Z,-25.05859375
ATSC1c,-0.9020315542462387
ATSC1d,6.22265625
ATSC1i,11.858054158016785
ATSC1m,-107.36899099999994
ATSC1p,1.9680367077131409
ATSC1s,-24.873263888888886
ATSC1v,241.45023633579532
ATSC2Z,-5.37109375
ATSC2c,-0.0338861244984457
ATSC2d,-7.33984375
ATSC2i,-11.612080702733987
ATSC2m,-29.89109899999989
ATSC2p,-1.8756365409236082
ATSC2s,-2.623263888888887
ATSC2v,-249.56296787485448
ATSC3Z,-34.8671875
ATSC3c,0.18900063047717178
ATSC3d,-11.0546875
ATSC3i,-17.8506439444582
ATSC3m,-171.68612599999992
ATSC3p,-3.0011941292717177
ATSC3s,-5.913194444444445
ATSC3v,-494.0734774983025
ATSC4Z,-82.234375
ATSC4c,0.2062046444123374
ATSC4d,-3.296875
ATSC4i,-11.907107656129483
ATSC4m,-394.0840089999999
ATSC4p,-2.2893380476189376
ATSC4s,-2.7291666666666714
ATSC4v,-590.102425830765
ATSC5Z,-48.76953125
ATSC5c,-0.6301132894664758
ATSC5d,6.19921875
ATSC5i,5.104366533964513
ATSC5m,-218.31059900000002
ATSC5p,0.8947163231654214
ATSC5s,-41.73090277777778
ATSC5v,76.45540371202328
ATSC6Z,113.05859375
ATSC6c,0.3872817986076075
ATSC6d,3.27734375
ATSC6i,8.597759610498601
ATSC6m,531.0235899999999
ATSC6p,1.681069554277234
ATSC6s,35.72048611111111
ATSC6v,522.3573171663138
ATSC7Z,16.34375
ATSC7c,-0.0029076559569463506
ATSC7d,-2.71875
ATSC7i,0.18989195620497545
ATSC7m,77.48948200000001
ATSC7p,0.1082533990495001
ATSC7s,2.569444444444443
ATSC7v,74.90362667106413
ATSC8Z,-57.71875
ATSC8c,0.08035673282903394
ATSC8d,-5.28125
ATSC8i,-10.722504127731451
ATSC8m,-277.07503599999995
ATSC8p,-1.9710331018041247
ATSC8s,-8.972222222222221
ATSC8v,-452.6381156256081
AXp-0d,0.7349153066909883
AXp-1d,0.45171766680916037
AXp-2d,0.2979786499641943
AXp-3d,0.19714098526379797
AXp-4d,0.1298744379483193
AXp-5d,0.08069482318735897
AXp-6d,0.057829223625267726
AXp-7d,0.03551365407940457
GATS1Z,0.8078302403883798
GATS1c,1.3678946338971856
GATS1d,0.8100163309744148
GATS1i,0.7674167224062909
GATS1m,0.8024332776708591
GATS1p,0.7485965087335056
GATS1s,0.9939796414616557
GATS1v,0.7207071545731382
GATS2Z,0.7062173706691979
GATS2c,0.6491729540422402
GATS2d,1.4244164731760969
GATS2i,1.1916393812228443
GATS2m,0.7162230636158239
GATS2p,1.172786469898689
GATS2s,0.6533096913364127
GATS2v,1.019754239118503
GATS3Z,0.9437632135306553
GATS3c,0.8055956338635555
GATS3d,1.305026311014335
GATS3i,1.1794483001069207
GATS3m,0.9477654996000543
GATS3p,1.1664716306183274
GATS3s,0.9456323053445352
GATS3v,1.0845523610609153
GATS4Z,1.159142726858185
GATS4c,0.9500219889171133
GATS4d,0.9718210637548433
GATS4i,1.0864047112813402
GATS4m,1.159304566397339
GATS4p,1.0966510120478452
GATS4s,1.105268726195514
GATS4v,1.1343702229673507
GATS5Z,1.1589191083081505
GATS5c,1.1232016025129141
GATS5d,0.6921749720897189
GATS5i,0.889620341572799
GATS5m,1.153687314697983
GATS5p,0.9015049758685055
GATS5s,1.2500257942277206
GATS5v,0.9892436982238642
GATS6Z,0.7103634064544505
GATS6c,0.658705903099268
GATS6d,0.9004968785832591
GATS6i,0.827777947476367
GATS6m,0.7131841561554361
GATS6p,0.8250073099029931
GATS6s,0.739876838300227
GATS6v,0.7915575916383114
GATS7Z,0.8795348837209301
GATS7c,0.8641236411737092
GATS7d,1.1880239520958085
GATS7i,0.973457412055156
GATS7m,0.8786469078113875
GATS7p,0.9571934415707021
GATS7s,1.0473436635307136
GATS7v,0.9024440071428291
GATS8Z,1.1182428940568474
GATS8c,1.0021534785956312
GATS8d,1.1323353293413174
GATS8i,1.1670086853183668
GATS8m,1.119718728876563
GATS8p,1.167217408625466
GATS8s,1.0820835639180957
GATS8v,1.1560336620703244
MATS1Z,-0.10046198418291442
MATS1c,-0.5402655695673986
MATS1d,0.2890582471420795
MATS1i,0.2626419110120314
MATS1m,-0.09135809192266989
MATS1p,0.25577470450173406
MATS1s,-0.24026093810266466
MATS1v,0.15572108371656945
MATS2Z,-0.014501924800928124
MATS2c,-0.013668640566460721
MATS2d,-0.2296223878773066
MATS2i,-0.17321221105681467
MATS2m,-0.01712883758442433
MATS2p,-0.16416892026742083
MATS2s,-0.01706515478355148
MATS2v,-0.10839713013983404
MATS3Z,-0.0698927257066792
MATS3c,0.056600311149133185
MATS3d,-0.25675920885501724
MATS3i,-0.19768535275234198
MATS3m,-0.0730421173509728
MATS3p,-0.19502419303418336
MATS3s,-0.02855897100501417
MATS3v,-0.15932404647690887
MATS4Z,-0.1599939200486396
MATS4c,0.05993617605371271
MATS4d,-0.07432194434660092
MATS4i,-0.12798583541520378
MATS4m,-0.16272788817510925
MATS4p,-0.14439074268937388
MATS4s,-0.012793385201341212
MATS4v,-0.18469375447383113
MATS5Z,-0.10935926071913459
MATS5c,-0.2110892558432388
MATS5d,0.1610676951182381
MATS5i,0.0632345425354839
MATS5m,-0.10389745227049356
MATS5p,0.06503867513078919
MATS5s,-0.225460309718327
MATS5v,0.027579722794860678
MATS6Z,0.3182472923195338
MATS6c,0.16286536237090363
MATS6d,0.10689259778315709
MATS6i,0.13370633370700255
MATS6m,0.31724738062601093
MATS6p,0.15340028330393773
MATS6s,0.24226118287039758
MATS6v,0.23653943071014036
MATS7Z,0.05405684754521964
MATS7c,-0.0014367543743784427
MATS7d,-0.10419161676646706
MATS7i,0.0034698533266151687
MATS7m,0.05439573569399348
MATS7p,0.011606997400942166
MATS7s,0.02047592695074708
MATS7v,0.039854427685134294
MATS8Z,-0.19090439276485788
MATS8c,0.039706515871335786
MATS8d,-0.20239520958083831
MATS8i,-0.1959299243675863
MATS8m,-0.19449995065988082
MATS8p,-0.2113354064693186
MATS8s,-0.07149972329828444
MATS8v,-0.24083791197396198
MAXsOH,9.577000976316452
MINsOH,9.143963325969098
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,24.831624242722206
SpAD_D,180.80082156802405
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,379
TMWC10,112.9350063875248
TSRW10,53.36155554764706
VE1_Dt,4.411441009007662
VE2_Dt,0.2205720504503831
VE3_Dt,2.1773485760566382
VR1_Dt,100.39446604302111
VR2_Dt,5.019723302151055
VR3_Dt,5.302254267205046
Xc-3dv,0.4739644256419838
Xc-4dv,0.0
Xc-5dv,0.06871190179073143
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.13608276348795434
Xch-7d,0.3595617594742968
Xp-0dv,10.315904825980704
Xp-1dv,5.741285746323685
Xp-2dv,4.114008539250464
Xp-3dv,2.706975508030131
Xp-4dv,1.6668077133913823
Xp-5dv,0.9963128409346714
Xp-6dv,0.4750669179409509
Xp-7dv,0.2259317739386886
Xpc-4d,3.4776238066041767
Xpc-5d,4.91781610500331
Xpc-6d,6.367327119389485
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,33
nFRing,0
nHBAcc,5
nHBDon,4
nHRing,0
nSpiro,0
naRing,2
piPC10,6.579077585826837
AATS0dv,10.0
AATS0pe,6.712046875
AATS0se,8.1402465
AATS1dv,9.090909090909092
AATS1pe,6.759151515151515
AATS1se,8.049800121212122
AATS2dv,8.428571428571429
AATS2pe,6.601377551020407
AATS2se,7.876760897959184
AATS3dv,6.712121212121212
AATS3pe,6.645145454545454
AATS3se,8.043124606060609
AATS4dv,5.205882352941177
AATS4pe,6.611098529411764
AATS4se,8.103273117647058
AATS5dv,4.389830508474576
AATS5pe,6.357915254237287
AATS5se,7.899676949152544
AATS6dv,6.425531914893617
AATS6pe,6.396770212765958
AATS6se,7.893485446808511
AATS7dv,6.8
AATS7pe,6.641614999999999
AATS7se,8.0750068
AATS8dv,5.9
AATS8pe,6.70369
AATS8se,8.142638600000002
AATSC0Z,7.55859375
AATSC0c,0.050594172685296986
AATSC0d,0.65234375
AATSC0i,1.3681554977297448
AATSC0m,35.613766875
AATSC0p,0.23316408910523434
AATSC0s,3.137152777777778
AATSC0v,46.98576232409629
AATSC1Z,-0.7593513257575758
AATSC1c,-0.027334289522613294
AATSC1d,0.1885653409090909
AATSC1i,0.3593349744853571
AATSC1m,-3.253605787878786
AATSC1p,0.0596374759913073
AATSC1s,-0.7537352693602692
AATSC1v,7.316673828357434
AATSC2Z,-0.10961415816326531
AATSC2c,-0.0006915535611927694
AATSC2d,-0.14979272959183673
AATSC2i,-0.23698123883130587
AATSC2m,-0.6100224285714263
AATSC2p,-0.03827829675354302
AATSC2s,-0.05353599773242627
AATSC2v,-5.093121793364377
AATSC3Z,-0.5282907196969697
AATSC3c,0.0028636459163207846
AATSC3d,-0.16749526515151514
AATSC3i,-0.2704643021887606
AATSC3m,-2.601304939393938
AATSC3p,-0.04547263832229875
AATSC3s,-0.08959385521885523
AATSC3v,-7.485961780277311
AATSC4Z,-1.209329044117647
AATSC4c,0.003032421241357903
AATSC4d,-0.04848345588235294
AATSC4i,-0.17510452435484533
AATSC4m,-5.7953530735294105
AATSC4p,-0.03366673599439614
AATSC4s,-0.0401348039215687
AATSC4v,-8.677976850452426
AATSC5Z,-0.8266022245762712
AATSC5c,-0.010679886262143659
AATSC5d,0.10507150423728813
AATSC5i,0.08651468701634768
AATSC5m,-3.700179644067797
AATSC5p,0.015164683443481718
AATSC5s,-0.7073034369114878
AATSC5v,1.2958543002037846
AATSC6Z,2.405501994680851
AATSC6c,0.008240038268246968
AATSC6d,0.06973071808510638
AATSC6i,0.18293105554252342
AATSC6m,11.298374255319146
AATSC6p,0.03576743732504753
AATSC6s,0.760010342789598
AATSC6v,11.113985471623698
AATSC7Z,0.40859375
AATSC7c,-7.269139892365877e-05
AATSC7d,-0.06796875
AATSC7i,0.0047472989051243865
AATSC7m,1.9372370500000002
AATSC7p,0.0027063349762375026
AATSC7s,0.06423611111111108
AATSC7v,1.8725906667766032
AATSC8Z,-1.44296875
AATSC8c,0.0020089183207258484
AATSC8d,-0.13203125
AATSC8i,-0.2680626031932863
AATSC8m,-6.926875899999999
