DLiP-ID,T001BX
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.21349352580675732
RPCG,0.14890238369739808
SIC0,0.28195901186117284
SIC1,0.5752535838741709
SIC2,0.796352130071727
SIC3,0.9221482685772376
SIC4,0.9347278824277887
SIC5,0.9347278824277887
SaaN,0
SaaO,0
SaaS,0
Sare,54.32400000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.388242446670026
SssS,0
StCH,0
StsC,0
TIC0,89.65585596216735
TIC1,182.9161342178946
TIC2,253.2198967416928
TIC3,293.2198967416928
TIC4,297.21989674169276
TIC5,297.21989674169276
Vabc,382.47779622698863
WPol,45
apol,61.84161799999998
bpol,38.16638200000002
nRot,7
ABCGG,17.32838159211139
ATS0Z,1460.0
ATS0d,174.0
ATS0i,8961.263759670575
ATS0m,5809.079303149773
ATS0p,85.41880052607397
ATS0s,320.7716906721536
ATS0v,12008.247717217348
ATS1Z,1658.0
ATS1d,221.0
ATS1i,8176.796821275398
ATS1m,6345.481730835202
ATS1p,108.82586206000002
ATS1s,155.7808641975309
ATS1v,15303.550691531063
ATS2Z,2321.0
ATS2d,345.0
ATS2i,15793.151569796186
ATS2m,8682.504178670404
ATS2p,163.08706387049006
ATS2s,362.38117283950606
ATS2v,22311.307713058584
ATS3Z,2666.0
ATS3d,405.0
ATS3i,22151.308701524824
ATS3m,9671.235356521602
ATS3p,195.16535531207393
ATS3s,418.29012345679007
ATS3v,25519.13244747741
ATS4Z,2618.0
ATS4d,384.0
ATS4i,24305.17999026985
ATS4m,9258.7101056864
ATS4p,182.42630688547007
ATS4s,498.73456790123447
ATS4v,24348.781265961064
ATS5Z,2312.0
ATS5d,338.0
ATS5i,21979.875346432633
ATS5m,8224.323844835202
ATS5p,161.47982683807393
ATS5s,567.2268518518517
ATS5v,22215.40895857343
ATS6Z,1968.0
ATS6d,320.0
ATS6i,19733.12619848444
ATS6m,6839.7746016864
ATS6p,158.92042562098
ATS6s,382.8842592592593
ATS6v,21026.65621480386
ATS7Z,1793.0
ATS7d,316.0
ATS7i,21806.651522096934
ATS7m,6128.731625686401
ATS7p,152.148957293168
ATS7s,395.4953703703703
ATS7v,19885.82212172121
ATS8Z,1592.0
ATS8d,279.0
ATS8i,18738.70474109943
ATS8m,5492.664846648
ATS8p,139.154684567772
ATS8s,336.216049382716
ATS8v,17860.520420235167
C1SP1,0
C1SP2,1
C1SP3,3
C2SP1,0
C2SP2,10
C2SP3,6
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.4090909090909091
GGI10,0.16090194878073666
JGI10,0.006704247865864027
JGT10,0.4815604884529504
Kier1,23.658688865764827
Kier2,11.039480800432667
Kier3,6.491083676268861
MAXdO,13.04338262894821
MAXsF,12.938984506853327
MID_C,44.93977510841669
MID_N,2.225448822819547
MID_O,7.2944177771190315
MID_X,1.7591006640192166
MID_h,13.53636967209775
MINdO,12.618683341002967
MINsF,12.938984506853327
MPC10,74
MWC01,31.0
MWC02,5.003946305945459
MWC03,5.8377304471659395
MWC04,6.70808408385307
MWC05,7.565793282428515
MWC06,8.442685139241176
MWC07,9.31099985507536
MWC08,10.19305534589812
MWC09,11.067934397125784
MWC10,11.954188769430344
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,3.8533200000000027
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.459585514144159
SRW05,0.0
SRW06,6.976348070447749
SRW07,0.0
SRW08,8.584290934948731
SRW09,0.0
SRW10,10.242919690039855
SaaCH,12.851831739021494
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.8424653268652311
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.500469629209708
SdssS,0
SsCH3,1.8922662964225725
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,1.2812227914581813
SsssP,0
VE1_A,3.997724283974948
VE1_D,5.298536845709576
VE2_A,0.1378525615163775
VE2_D,0.18270816709343365
VE3_A,2.450436007204539
VE3_D,2.732141452589788
VR1_A,1513.5783975032236
VR1_D,178.7419011926946
VR2_A,52.19235853459392
VR2_D,6.163513834230848
VR3_A,8.386942662925524
VR3_D,6.250653609527209
WPath,2546
Xc-3d,2.3261317383231503
Xc-4d,0.16666666666666666
Xc-5d,0.7092756949471918
Xc-6d,0.15137471507731048
Xp-0d,20.85516038331214
Xp-1d,13.875047228991528
Xp-2d,12.720606209452695
Xp-3d,10.231292057590984
Xp-4d,7.802439148365424
Xp-5d,6.380471509088981
Xp-6d,3.9348332081719413
Xp-7d,2.3342216487565284
ZMIC0,95.24724833811158
ZMIC1,53.70784013323351
ZMIC2,31.66073067116415
ZMIC3,26.044574226126738
ZMIC4,25.769566246961304
ZMIC5,25.769566246961304
nAcid,0
nAtom,55
nBase,0
nRing,3
piPC1,3.713572066704308
piPC2,4.276666119016055
piPC3,4.705015520957808
piPC4,5.110480629065972
piPC5,5.568821489222084
piPC6,5.538318034928669
piPC7,5.504314759027276
piPC8,5.387072014823595
piPC9,5.5909869805108565
AATS0Z,26.545454545454547
AATS0d,3.1636363636363636
AATS0i,162.9320683576468
AATS0m,105.61962369363224
AATS0p,1.5530691004740722
AATS0s,5.83221255767552
AATS0v,218.33177667667906
AATS1Z,29.087719298245613
AATS1d,3.8771929824561404
AATS1i,143.45257581184907
AATS1m,111.32424089184565
AATS1p,1.909225650175439
AATS1s,2.732997617500542
AATS1v,268.48334546545726
AATS2Z,22.533980582524272
AATS2d,3.349514563106796
AATS2i,153.33156863879793
AATS2m,84.29615707446995
AATS2p,1.58336955214068
AATS2s,3.518263813975787
AATS2v,216.61463799086005
AATS3Z,19.042857142857144
AATS3d,2.892857142857143
AATS3i,158.22363358232016
AATS3m,69.08025254658287
AATS3p,1.3940382522290995
AATS3s,2.9877865961199292
AATS3v,182.2795174819815
AATS4Z,17.453333333333333
AATS4d,2.56
AATS4i,162.03453326846568
AATS4m,61.72473403790933
AATS4p,1.2161753792364671
AATS4s,3.3248971193415633
AATS4v,162.32520843974044
AATS5Z,17.125925925925927
AATS5d,2.5037037037037035
AATS5i,162.81389145505653
AATS5m,60.92091736914965
AATS5p,1.1961468654672143
AATS5s,4.2016803840877905
AATS5v,164.5585848783217
AATS6Z,15.870967741935484
AATS6d,2.5806451612903225
AATS6i,159.13811450390676
AATS6m,55.159472594245166
AATS6p,1.2816163356530645
AATS6s,3.087776284348865
AATS6v,169.5698081839021
AATS7Z,13.481203007518797
AATS7d,2.3759398496240602
AATS7i,163.9597858804281
AATS7m,46.080688914935344
AATS7p,1.1439771225050226
AATS7s,2.97364940128098
AATS7v,149.5174595618136
AATS8Z,13.724137931034482
AATS8d,2.4051724137931036
AATS8i,161.54055811292613
AATS8m,47.35055902282759
AATS8p,1.1996093497221723
AATS8s,2.898414218816517
AATS8v,153.97000362271694
AMID_C,1.54964741753161
AMID_N,0.07673961457998438
AMID_O,0.25153164748686313
AMID_X,0.06065864358686954
AMID_h,0.4667713680033707
ATS0dv,408.44444444444446
ATS0pe,347.96779999999984
ATS0se,428.92376499999983
ATS1dv,309.0
ATS1pe,366.5541
ATS1se,441.21070399999985
ATS2dv,535.3333333333333
ATS2pe,658.1744
ATS2se,801.9745319999997
ATS3dv,497.33333333333337
ATS3pe,870.8767000000001
ATS3se,1080.0699539999998
ATS4dv,456.0
ATS4pe,949.8419
ATS4se,1184.514256
ATS5dv,522.0
ATS5pe,872.2449000000003
ATS5se,1082.2454680000003
ATS6dv,346.33333333333337
ATS6pe,774.0455
ATS6se,962.6915779999999
ATS7dv,322.3333333333333
ATS7pe,816.8049999999998
ATS7se,1025.3088260000002
ATS8dv,296.6666666666667
ATS8pe,702.6827
ATS8se,882.0919099999999
ATSC0Z,563.9272727272725
ATSC0c,0.7408163359486581
ATSC0d,33.199999999999996
ATSC0i,101.09968790235607
ATSC0m,2609.2644410618996
ATSC0p,15.88451476502083
ATSC0s,142.60502244668908
ATSC0v,2845.8626001729303
ATSC1Z,124.47537190082647
ATSC1c,-0.41642622456907513
ATSC1d,8.520000000000001
ATSC1i,-11.976243236247596
ATSC1m,536.9951852368831
ATSC1p,-1.3232952398889772
ATSC1s,-15.273741993447382
ATSC1v,20.51528599987947
ATSC2Z,95.93619834710748
ATSC2c,0.01541572668828165
ATSC2d,-4.120000000000005
ATSC2i,-6.52572272472578
ATSC2m,426.48650477488223
ATSC2p,0.8787201034590137
ATSC2s,45.46627053361901
ATSC2v,-138.90319891209867
ATSC3Z,-25.8876033057851
ATSC3c,0.22738037741630682
ATSC3d,-7.800000000000004
ATSC3i,-14.881415347866616
ATSC3m,-107.63193092528283
ATSC3p,-2.6051795243716573
ATSC3s,4.453074799623618
ATSC3v,-278.03893141774006
ATSC4Z,-157.18347107438018
ATSC4c,-0.3379296907928294
ATSC4d,-8.000000000000002
ATSC4i,-19.956335755165803
ATSC4m,-723.7788350519501
ATSC4p,-4.918117334081118
ATSC4s,-66.59134130304162
ATSC4v,-467.89119378273483
ATSC5Z,-94.03966942148759
ATSC5c,0.19995160903702353
ATSC5d,-4.4
ATSC5i,10.191916630176
ATSC5m,-421.894618383022
ATSC5p,2.361699441149437
ATSC5s,2.7054128546973657
ATSC5v,1.0918974550271736
ATSC6Z,-278.19966942148767
ATSC6c,0.02962474818523028
ATSC6d,-7.36
ATSC6i,-20.080166016851884
ATSC6m,-1272.4675289945521
ATSC6p,-5.442779042175413
ATSC6s,-25.555112460179803
ATSC6v,-904.205317488728
ATSC7Z,-141.07867768595045
ATSC7c,-0.13689650039482565
ATSC7d,-1.1199999999999983
ATSC7i,11.60744107869171
ATSC7m,-643.3369315441878
ATSC7p,0.9475744532967416
ATSC7s,-38.734316282918975
ATSC7v,-56.260570856268394
ATSC8Z,-78.17388429752069
ATSC8c,0.09746087788733909
ATSC8d,-0.039999999999998814
ATSC8i,4.0893119324023255
ATSC8m,-359.9808648303737
ATSC8p,-0.3714594642914728
ATSC8s,-11.796550210296004
ATSC8v,-231.59552752869592
AXp-0d,0.719143461493522
AXp-1d,0.44758216867714606
AXp-2d,0.2958280513826208
AXp-3d,0.1894683714368701
AXp-4d,0.12003752535946806
AXp-5d,0.07975589386361226
AXp-6d,0.053173421732053264
AXp-7d,0.03287636125009195
GATS1Z,0.8248544045178724
GATS1c,1.5510550605534543
GATS1d,0.9987317691819914
GATS1i,1.2073681949772372
GATS1m,0.8162019219414183
GATS1p,1.3082844965865663
GATS1s,0.6182794376641314
GATS1v,1.0554202004975364
GATS2Z,0.8250909020336518
GATS2c,1.0666464433240066
GATS2d,1.2712013100947481
GATS2i,1.0375983461967444
GATS2m,0.8251313721822168
GATS2p,0.9845806783071271
GATS2s,0.5099297012827689
GATS2v,1.0166479898304053
GATS3Z,1.201750709311324
GATS3c,1.0475562271150984
GATS3d,1.2895869191049916
GATS3i,1.070065021073975
GATS3m,1.1751356928345296
GATS3p,1.2185680067200313
GATS3s,0.8032020160945663
GATS3v,1.0475964000668478
GATS4Z,1.319212664431262
GATS4c,1.5875157786774778
GATS4d,1.2090361445783133
GATS4i,0.9711977524596856
GATS4m,1.2914687757835543
GATS4p,1.2061464302795564
GATS4s,1.4470710443776746
GATS4v,1.0173415803837351
GATS5Z,1.0558099045653861
GATS5c,1.4034452494239156
GATS5d,1.0361445783132532
GATS5i,0.74436890942616
GATS5m,1.0477164045447631
GATS5p,0.8385416199440658
GATS5s,1.393467756440052
GATS5v,0.9076391332592759
GATS6Z,1.2714834487090956
GATS6c,1.2789554248549164
GATS6d,1.0559172172561213
GATS6i,1.0180580266236259
GATS6m,1.257508397179535
GATS6p,1.1865318211869629
GATS6s,1.0470220004625288
GATS6v,1.119111655719727
GATS7Z,1.021648297943725
GATS7c,1.2457262694482376
GATS7d,0.9110879608660206
GATS7i,0.8144889093905643
GATS7m,1.025691541455206
GATS7p,0.8611599770819988
GATS7s,1.1370992723070592
GATS7v,0.9577601169474136
GATS8Z,0.9782075769569437
GATS8c,0.8456775416203126
GATS8d,0.9394474449522229
GATS8i,0.868533389019653
GATS8m,0.9837062657707253
GATS8p,0.9411231469719288
GATS8s,0.9623935764138736
GATS8v,1.0239104166394721
MATS1Z,0.21298458294304257
MATS1c,-0.542394597141841
MATS1d,0.24762206721623345
MATS1i,-0.11430326260242907
MATS1m,0.19858211408495938
MATS1p,-0.08038418842826854
MATS1s,-0.10334714001575229
MATS1v,0.006955870393106678
MATS2Z,0.09084162010963345
MATS2c,0.011111659283947124
MATS2d,-0.06626506024096394
MATS2i,-0.03446706210711996
MATS2m,0.08727958296390614
MATS2p,0.029539427528129294
MATS2s,0.1702471989289441
MATS2v,-0.026062962795554565
MATS3Z,-0.018034470687939858
MATS3c,0.12058050164236649
MATS3d,-0.09229776247848542
MATS3i,-0.057826788949929785
MATS3m,-0.01620532292476095
MATS3p,-0.06443151709162315
MATS3s,0.012267606096154685
MATS3v,-0.03838188821666551
MATS4Z,-0.10220101453013503
MATS4c,-0.16725812765998652
MATS4d,-0.0883534136546185
MATS4i,-0.07237730661735242
MATS4m,-0.10170896007166563
MATS4p,-0.1135262685602541
MATS4s,-0.17121995232374435
MATS4v,-0.06028404336055361
MATS5Z,-0.06793865054117829
MATS5c,0.10996216294339242
MATS5d,-0.05399375278893352
MATS5i,0.04107097081073856
MATS5m,-0.06587411761324308
MATS5p,0.06057307136085837
MATS5s,0.007729077266622717
MATS5v,0.00015631362922452252
MATS6Z,-0.2188137028131164
MATS6c,0.017737202378077202
MATS6d,-0.09832879906723671
MATS6i,-0.08809646631166848
MATS6m,-0.2163065234924428
MATS6p,-0.15198046029062093
MATS6s,-0.07948478054499683
MATS6v,-0.1409269759376582
MATS7Z,-0.10345448674562349
MATS7c,-0.07641750323613726
MATS7d,-0.013950538998097636
MATS7i,0.0474785799897211
MATS7m,-0.10196037781601285
MATS7p,0.024668937202342173
MATS7s,-0.11232388640833858
MATS7v,-0.008175253998841161
MATS8Z,-0.06572692181121206
MATS8c,0.062376997854850055
MATS8d,-0.0005712505193186371
MATS8i,0.019178079964564127
MATS8m,-0.06541329417466589
MATS8p,-0.011087718099527688
MATS8s,-0.039221563266785206
MATS8v,-0.03858521639541661
MAXssO,5.388242446670026
MINssO,5.388242446670026
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,7
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,-3.753662970390461
SdssSe,0
SdsssP,0
SpAD_A,36.93316951279538
SpAD_D,364.88659986997635
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.7278614374471815
SssNH2,0
SsssAs,0
SsssCH,-0.7908572107038927
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,664
TMWC10,136.08441762616377
TSRW10,64.40627893597203
VE1_Dt,5.300853618770683
VE2_Dt,0.18278805581967872
VE3_Dt,2.7325786047271237
VR1_Dt,177.85614827512165
VR2_Dt,6.132970630176609
VR3_Dt,6.245685804792859
Xc-3dv,1.3315983973146752
Xc-4dv,0.04564354645876384
Xc-5dv,0.3313826396549699
Xc-6dv,0.03384841529875286
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.25
Xch-7d,0.35703808753134775
Xp-0dv,17.328815992768696
Xp-1dv,11.31363853627204
Xp-2dv,9.2284597233565
Xp-3dv,7.0431027482341975
Xp-4dv,5.116982666801538
Xp-5dv,3.8678007448254665
Xp-6dv,2.3510178696499158
Xp-7dv,1.3754730856231134
Xpc-4d,5.004904936457076
Xpc-5d,7.204281242823525
Xpc-6d,11.22953536930744
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,57
nFRing,0
nHBAcc,4
nHBDon,0
nHRing,1
nSpiro,0
naRing,2
piPC10,5.678891925811075
AATS0dv,7.426262626262626
AATS0pe,6.32668727272727
AATS0se,7.798613909090906
AATS1dv,5.421052631578948
AATS1pe,6.430773684210527
AATS1se,7.740538666666664
AATS2dv,5.197411003236245
AATS2pe,6.390042718446602
AATS2se,7.786160504854366
AATS3dv,3.5523809523809526
AATS3pe,6.220547857142858
AATS3se,7.7147853857142845
AATS4dv,3.04
AATS4pe,6.332279333333333
AATS4se,7.896761706666666
AATS5dv,3.8666666666666667
AATS5pe,6.461073333333335
AATS5se,8.016633096296298
AATS6dv,2.7930107526881724
AATS6pe,6.242302419354838
AATS6se,7.763641758064516
AATS7dv,2.4235588972431077
AATS7pe,6.141390977443608
AATS7se,7.709088917293235
AATS8dv,2.557471264367816
AATS8pe,6.05760948275862
AATS8se,7.604240603448274
AATSC0Z,10.253223140495862
AATSC0c,0.013469387926339239
AATSC0d,0.6036363636363635
AATSC0i,1.8381761436792012
AATSC0m,47.4411716556709
AATSC0p,0.2888093593640151
AATSC0s,2.5928185899398013
AATSC0v,51.742956366780554
AATSC1Z,2.1837784544004646
AATSC1c,-0.00730572323805395
AATSC1d,0.14947368421052634
AATSC1i,-0.21010953046048414
AATSC1m,9.420968162050581
AATSC1p,-0.023215705962964513
AATSC1s,-0.2679603858499541
AATSC1v,0.3599172982434995
AATSC2Z,0.931419401428228
AATSC2c,0.00014966724940079272
AATSC2d,-0.04000000000000005
AATSC2i,-0.06335653130801729
AATSC2m,4.140645677426041
AATSC2p,0.008531263140378774
AATSC2s,0.4414201022681457
AATSC2v,-1.3485747467194047
AATSC3Z,-0.1849114521841793
AATSC3c,0.00162414555297362
AATSC3d,-0.055714285714285744
AATSC3i,-0.10629582391333298
AATSC3m,-0.7687995066091631
AATSC3p,-0.018608425174083267
AATSC3s,0.0318076771401687
AATSC3v,-1.9859923672695718
AATSC4Z,-1.0478898071625344
AATSC4c,-0.0022528646052855294
AATSC4d,-0.053333333333333344
AATSC4i,-0.13304223836777201
AATSC4m,-4.825192233679667
