DLiP-ID,C000HP
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1832288381704533
RPCG,0.1343969710124148
SIC0,0.4046682043562417
SIC1,0.7863507153309219
SIC2,0.9022630364981915
SIC3,0.963649284669078
SIC4,0.9818246423345389
SIC5,0.9818246423345389
SaaN,4.003981481481482
SaaO,0
SaaS,0
Sare,25.208
SdNH,7.014185090702948
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,44.52932501298081
TIC1,86.5293250129808
TIC2,99.28421251514428
TIC3,106.03910001730773
TIC4,108.03910001730773
TIC5,108.03910001730773
Vabc,168.15368664596585
WPol,21
apol,26.898343999999987
bpol,10.901656
nRot,2
ABCGG,10.739218569235438
ATS0Z,718.0
ATS0d,90.0
ATS0i,4132.039013378992
ATS0m,2851.353776
ATS0p,34.414511238792
ATS0s,212.16666666666669
ATS0v,5529.471762700894
ATS1Z,759.0
ATS1d,107.0
ATS1i,4077.1165687902017
ATS1m,2934.8399489999993
ATS1p,42.038794429999996
ATS1s,113.55555555555557
ATS1v,6668.15143018256
ATS2Z,1109.0
ATS2d,158.0
ATS2i,6058.188253974449
ATS2m,4283.686031999999
ATS2p,61.624672934849
ATS2s,223.36111111111114
ATS2v,9542.108980230072
ATS3Z,1037.0
ATS3d,153.0
ATS3i,7783.401129098252
ATS3m,3832.6111490000003
ATS3p,62.434384184849
ATS3s,202.05555555555554
ATS3v,9521.062564439653
ATS4Z,937.0
ATS4d,140.0
ATS4i,7996.278648091492
ATS4m,3454.387917999999
ATS4p,54.853900412791994
ATS4s,214.77777777777783
ATS4v,8142.7735774378425
ATS5Z,743.0
ATS5d,94.0
ATS5i,6024.640051225948
ATS5m,2733.954938
ATS5p,39.01562722654701
ATS5s,181.61111111111114
ATS5v,6074.648398612441
ATS6Z,576.0
ATS6d,78.0
ATS6i,4673.096935812846
ATS6m,2144.5898749999997
ATS6p,33.404332224244996
ATS6s,134.94444444444449
ATS6v,4915.4816069447015
ATS7Z,416.0
ATS7d,48.0
ATS7i,3829.493523598349
ATS7m,1478.0013149999997
ATS7p,23.925720546848996
ATS7s,122.6111111111111
ATS7v,3497.0659663223
ATS8Z,266.0
ATS8d,37.0
ATS8i,3523.0587950777945
ATS8m,915.9510839999999
ATS8p,16.984103861094002
ATS8s,81.0
ATS8v,2304.969126455885
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,6
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.0
JGI10,0.0
JGT10,0.5508833109963562
Kier1,12.456747404844291
Kier2,5.104166666666667
Kier3,3.029726516052319
MAXdO,10.527021578693205
MID_C,17.05657744900107
MID_N,11.541752567489135
MID_O,3.4239460043967496
MID_X,0.0
MID_h,14.965698571885886
MINdO,10.527021578693205
MPC10,26
MWC01,17.0
MWC02,4.418840607796598
MWC03,5.241747015059643
MWC04,6.12029741895095
MWC05,6.9726062513017535
MWC06,7.8567067930958405
MWC07,8.721765357145012
MWC08,9.607706101827697
MWC09,10.479623274697385
MWC10,11.365897690249298
NaaCH,3
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,1
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,0.7764699999999998
SRW02,3.5553480614894135
SRW03,0.0
SRW04,4.875197323201151
SRW05,2.3978952727983707
SRW06,6.364750756851911
SRW07,4.727387818712341
SRW08,7.938445551164788
SRW09,6.823286122355687
SRW10,9.561349294288288
SaaCH,4.2648738662131525
SaaNH,2.82739134542706
SaaSe,0
SaaaC,1.0762037037037044
SaasC,0.24664162887377206
SaasN,0
SdCH2,0
SddsN,-0.4938537729906778
SdsCH,0
SdssC,-0.25596681573864055
SdssS,0
SsCH3,0
SsNH2,5.128384196271101
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.4674494520030232
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.5286221234884376
VE1_D,3.931557480204158
VE2_A,0.22053888271802735
VE2_D,0.24572234251275987
VE3_A,1.7309110907016787
VE3_D,1.8390392820141237
VR1_A,91.91279581262991
VR1_D,74.39289644782349
VR2_A,5.744549738289369
VR2_D,4.649556027988968
VR3_A,4.990843885178563
VR3_D,4.7793640886746465
WPath,453
Xc-3d,1.4457057690291277
Xc-4d,0.0
Xc-5d,0.25
Xc-6d,0.0
Xp-0d,11.706742302257043
Xp-1d,7.558550648063801
Xp-2d,7.304287466687305
Xp-3d,5.200126240122109
Xp-4d,4.379146186851961
Xp-5d,3.2821505832608526
Xp-6d,2.4572171696272496
Xp-7d,1.809268049389451
ZMIC0,55.36591668108979
ZMIC1,30.69373490013022
ZMIC2,24.05375989964945
ZMIC3,22.209398961879014
ZMIC4,21.993985420152253
ZMIC5,21.993985420152253
nAcid,0
nAtom,24
nBase,3
nRing,2
piPC1,3.2188758248682006
piPC2,3.855452653939752
piPC3,4.411281992822671
piPC4,5.062199385148413
piPC5,5.583261318767693
piPC6,5.99064389796757
piPC7,6.409956416492481
piPC8,6.657253578384313
piPC9,6.468583912627288
AATS0Z,29.916666666666668
AATS0d,3.75
AATS0i,172.16829222412468
AATS0m,118.80640733333333
AATS0p,1.433937968283
AATS0s,8.840277777777779
AATS0v,230.39465677920393
AATS1Z,30.36
AATS1d,4.28
AATS1i,163.08466275160808
AATS1m,117.39359795999997
AATS1p,1.6815517772
AATS1s,4.542222222222223
AATS1v,266.7260572073024
AATS2Z,29.18421052631579
AATS2d,4.157894736842105
AATS2i,159.42600668353813
AATS2m,112.72857978947366
AATS2p,1.6217019193381317
AATS2s,5.877923976608188
AATS2v,251.1081310586861
AATS3Z,22.543478260869566
AATS3d,3.3260869565217392
AATS3i,169.2043723717011
AATS3m,83.31763367391305
AATS3p,1.3572692214097608
AATS3s,4.392512077294685
AATS3v,206.9796209660794
AATS4Z,19.93617021276596
AATS4d,2.978723404255319
AATS4i,170.13358825726579
AATS4m,73.49761527659572
AATS4p,1.1671042641019573
AATS4s,4.5697399527186775
AATS4v,173.25050164761367
AATS5Z,21.852941176470587
AATS5d,2.764705882352941
AATS5i,177.19529562429258
AATS5m,80.41043935294117
AATS5p,1.1475184478396179
AATS5s,5.341503267973857
AATS5v,178.66612937095417
AATS6Z,20.571428571428573
AATS6d,2.7857142857142856
AATS6i,166.89631913617308
AATS6m,76.59249553571428
AATS6p,1.193011865151607
AATS6s,4.8194444444444455
AATS6v,175.55291453373934
AATS7Z,18.90909090909091
AATS7d,2.1818181818181817
AATS7i,174.0678874362886
AATS7m,67.18187795454544
AATS7p,1.0875327521294997
AATS7s,5.573232323232323
AATS7v,158.9575439237409
AATS8Z,13.3
AATS8d,1.85
AATS8i,176.1529397538897
AATS8m,45.79755419999999
AATS8p,0.8492051930547001
AATS8s,4.05
AATS8v,115.24845632279425
AMID_C,1.066036090562567
AMID_N,0.721359535468071
AMID_O,0.21399662527479685
AMID_X,0.0
AMID_h,0.9353561607428679
ATS0dv,290.0
ATS0pe,169.8568
ATS0se,201.985088
ATS1dv,273.0
ATS1pe,179.9682
ATS1se,210.26849999999996
ATS2dv,398.0
ATS2pe,267.6317
ATS2se,314.365968
ATS3dv,322.0
ATS3pe,317.35249999999996
ATS3se,379.207892
ATS4dv,305.0
ATS4pe,314.74
ATS4se,382.436392
ATS5dv,257.0
ATS5pe,240.63379999999998
ATS5se,288.72284
ATS6dv,190.0
ATS6pe,185.38979999999998
ATS6se,225.10142
ATS7dv,117.0
ATS7pe,152.3612
ATS7se,184.07383600000009
ATS8dv,80.0
ATS8pe,127.23920000000003
ATS8se,158.987648
ATSC0Z,176.5
ATSC0c,0.9153919347596539
ATSC0d,16.5
ATSC0i,41.89069489171131
ATSC0m,831.1655733333333
ATSC0p,4.267806657861333
ATSC0s,81.5
ATSC0v,929.8833622433792
ATSC1Z,-6.9375
ATSC1c,-0.6582235913408825
ATSC1d,3.3125
ATSC1i,-1.8119105951299603
ATSC1m,-29.231843888888964
ATSC1p,1.0196764675387766
ATSC1s,-16.333333333333336
ATSC1v,142.01242565188963
ATSC2Z,33.125
ATSC2c,0.7843919471861236
ATSC2d,-2.125
ATSC2i,12.08708466313594
ATSC2m,145.60248488888882
ATSC2p,-0.634738805089113
ATSC2s,39.80555555555554
ATSC2v,-145.50826785834664
ATSC3Z,-100.625
ATSC3c,-0.93268159615048
ATSC3d,-1.875
ATSC3i,-14.43932394389606
ATSC3m,-467.915987888889
ATSC3p,-0.966647444725223
ATSC3s,-19.222222222222218
ATSC3v,-217.30211361978135
ATSC4Z,30.9375
ATSC4c,0.5730098251714255
ATSC4d,0.4375
ATSC4i,0.6300051562914815
ATSC4m,146.5383068888889
ATSC4p,-0.5246537938564437
ATSC4s,-9.611111111111107
ATSC4v,15.540162080786075
ATSC5Z,-43.125
ATSC5c,-0.4996417459934657
ATSC5d,-3.125
ATSC5i,-3.8619979489935865
ATSC5m,-198.08809355555556
ATSC5p,0.20103477552311155
ATSC5s,-21.388888888888893
ATSC5v,-0.334075675048247
ATSC6Z,48.75
ATSC6c,0.3481612990854191
ATSC6d,-7.75
ATSC6i,-9.01551788387854
ATSC6m,221.84274877777784
ATSC6p,-1.2228526792285548
ATSC6s,10.5
ATSC6v,-88.31265256400947
ATSC7Z,-56.625
ATSC7c,-0.15120316067220446
ATSC7d,-0.125
ATSC7i,-13.505180657338393
ATSC7m,-269.7482192222222
ATSC7p,-1.2465036691592217
ATSC7s,-21.27777777777778
ATSC7v,-346.22989485621605
ATSC8Z,33.25
ATSC8c,-0.05562745441402096
ATSC8d,-1.5
ATSC8i,0.497529361976881
ATSC8m,156.20917022222233
ATSC8p,-0.3005022626897768
ATSC8s,-14.66666666666666
ATSC8v,50.52234365853803
AXp-0d,0.7316713938910652
AXp-1d,0.4446206263566942
AXp-2d,0.30434531111197105
AXp-3d,0.17931469793524513
AXp-4d,0.11524068912768319
AXp-5d,0.07293667962801895
AXp-6d,0.04914434339254499
AXp-7d,0.03350496387758243
GATS1Z,0.693257790368272
GATS1c,1.6874299064906648
GATS1d,0.8642424242424243
GATS1i,1.3058139225705654
GATS1m,0.6928291525965993
GATS1p,0.7608798979360486
GATS1s,0.752869802317655
GATS1v,0.6938367917592692
GATS2Z,0.5812583867601013
GATS2c,0.42606630074071467
GATS2d,1.1738437001594897
GATS2i,1.0583219470750245
GATS2m,0.5933348415116635
GATS2p,1.1728401040957126
GATS2s,0.33728877408244534
GATS2v,1.0233535694431464
GATS3Z,1.1388101983002834
GATS3c,1.4167015178845588
GATS3d,0.9242424242424242
GATS3i,1.24485702566639
GATS3m,1.138021405538484
GATS3p,1.0524482829652915
GATS3s,0.7476993865030674
GATS3v,1.0334594100578618
GATS4Z,0.9509975287806642
GATS4c,0.5538444466799605
GATS4d,0.9490651192778853
GATS4i,0.878464980973998
GATS4m,0.9515073631345762
GATS4p,1.063246581817844
GATS4s,1.0029913414262714
GATS4v,1.0325653375516148
GATS5Z,1.1708881853024495
GATS5c,1.4236253563477346
GATS5d,1.0044563279857397
GATS5i,0.9634099443112161
GATS5m,1.1638798549449911
GATS5p,0.7992927351208149
GATS5s,1.1814026223986525
GATS5v,0.8790394356071759
GATS6Z,0.7818696883852692
GATS6c,0.5974238901679838
GATS6d,1.443722943722944
GATS6i,1.0989524664271049
GATS6m,0.7927472648874044
GATS6p,1.2918295721628203
GATS6s,0.7738338689258933
GATS6v,1.1580601191804303
GATS7Z,1.3623486994591811
GATS7c,1.222164145169838
GATS7d,0.8236914600550965
GATS7i,1.2218008272650211
GATS7m,1.3645108112747713
GATS7p,1.2030108093391494
GATS7s,1.4235142839437318
GATS7v,1.3326967535165892
GATS8Z,1.068555240793201
GATS8c,0.9712395566922891
GATS8d,1.0803030303030303
GATS8i,0.6268909095306707
GATS8m,1.0692540926422394
GATS8p,1.0720830095837983
GATS8s,1.4071233810497612
GATS8v,1.1053056179294647
MATS1Z,-0.03773371104815864
MATS1c,-0.6902995577005581
MATS1d,0.19272727272727275
MATS1i,-0.041523163457212894
MATS1m,-0.03376291202821403
MATS1p,0.22936592196230438
MATS1s,-0.19239263803680987
MATS1v,0.14661185925179696
MATS2Z,0.11853287609959744
MATS2c,0.5411948931559597
MATS2d,-0.08133971291866028
MATS2i,0.1822349385234684
MATS2m,0.11063916395328265
MATS2p,-0.09393294928991996
MATS2s,0.3084705629103432
MATS2v,-0.09882955473648292
MATS3Z,-0.29745042492917845
MATS3c,-0.5315935901006632
MATS3d,-0.05928853754940711
MATS3i,-0.17983851397139491
MATS3m,-0.29372015452783257
MATS3p,-0.118172597233042
MATS3s,-0.12305503689872853
MATS3v,-0.1219239104656131
MATS4Z,0.08950635886926647
MATS4c,0.3196453351607141
MATS4d,0.013539651837524177
MATS4i,0.007679623398253389
MATS4m,0.09002787651892746
MATS4p,-0.06277424019985324
MATS4s,-0.06021842231214373
MATS4v,0.00853376050782157
MATS5Z,-0.17247125479086817
MATS5c,-0.3852866492450661
MATS5d,-0.13368983957219252
MATS5i,-0.06507689133199346
MATS5m,-0.16822988590331187
MATS5p,0.033250545712482454
MATS5s,-0.18525201491639604
MATS5v,-0.0002535996804960013
MATS6Z,0.2367462565762849
MATS6c,0.32600677296004293
MATS6d,-0.4025974025974026
MATS6i,-0.18447024518419228
MATS6m,0.228776231384587
MATS6p,-0.24559674872057372
MATS6s,0.11042944785276074
MATS6v,-0.08140435931443993
MATS7Z,-0.3499871233582281
MATS7c,-0.18019483926828012
MATS7d,-0.008264462809917356
MATS7i,-0.35169921128176823
MATS7m,-0.3540459254416752
MATS7p,-0.3186231930241099
MATS7s,-0.28481130321621123
MATS7v,-0.4061857165955913
MATS8Z,0.22606232294617568
MATS8c,-0.0729228025308655
MATS8d,-0.10909090909090909
MATS8i,0.014252216056945604
MATS8m,0.22552787348362763
MATS8p,-0.08449368589917239
MATS8s,-0.2159509202453987
MATS8v,0.0651982978209021
MAXaaN,4.003981481481482
MAXdNH,7.014185090702948
MINaaN,4.003981481481482
MINdNH,7.014185090702948
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,19.557627877472086
SpAD_D,117.91922797076653
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,385
TMWC10,103.78519051012418
TSRW10,62.24366020086195
VE1_Dt,3.983442516250724
VE2_Dt,0.24896515726567026
VE3_Dt,1.8521500285169203
VR1_Dt,70.26368811116868
VR2_Dt,4.391480506948042
VR3_Dt,4.722258767036637
Xc-3dv,0.38669815999554774
Xc-4dv,0.0
Xc-5dv,0.03149251230933924
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.2721655269759087
Xch-7d,0.40652626479257087
Xp-0dv,8.042827435731551
Xp-1dv,4.367028983543901
Xp-2dv,3.1297184446021085
Xp-3dv,1.963088402359547
Xp-4dv,1.3148337010662656
Xp-5dv,0.8146867693879866
Xp-6dv,0.45210995250001146
Xp-7dv,0.2466216121020911
Xpc-4d,2.486000465759452
Xpc-5d,3.516263869197646
Xpc-6d,4.619041983682651
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,25
nFRing,1
nHBAcc,4
nHBDon,4
nHRing,1
nSpiro,0
naRing,2
piPC10,6.423399143512001
AATS0dv,12.083333333333334
AATS0pe,7.077366666666666
AATS0se,8.416045333333333
AATS1dv,10.92
AATS1pe,7.198728
AATS1se,8.410739999999999
AATS2dv,10.473684210526315
AATS2pe,7.0429394736842115
AATS2se,8.272788631578948
AATS3dv,7.0
AATS3pe,6.898967391304347
AATS3se,8.243649826086957
AATS4dv,6.48936170212766
AATS4pe,6.6965957446808515
AATS4se,8.136944510638298
AATS5dv,7.5588235294117645
AATS5pe,7.0774647058823525
AATS5se,8.491848235294118
AATS6dv,6.785714285714286
AATS6pe,6.621064285714285
AATS6se,8.039336428571428
AATS7dv,5.318181818181818
AATS7pe,6.925509090909091
AATS7se,8.366992545454549
AATS8dv,4.0
AATS8pe,6.361960000000002
AATS8se,7.9493824
AATSC0Z,7.354166666666667
AATSC0c,0.03814133061498558
AATSC0d,0.6875
AATSC0i,1.7454456204879714
AATSC0m,34.63189888888889
AATSC0p,0.17782527741088885
AATSC0s,3.3958333333333335
AATSC0v,38.745140093474134
AATSC1Z,-0.2775
AATSC1c,-0.0263289436536353
AATSC1d,0.1325
AATSC1i,-0.07247642380519842
AATSC1m,-1.1692737555555586
AATSC1p,0.04078705870155106
AATSC1s,-0.6533333333333334
AATSC1v,5.680497026075585
AATSC2Z,0.8717105263157895
AATSC2c,0.020641893347003254
AATSC2d,-0.05592105263157895
AATSC2i,0.31808117534568264
AATSC2m,3.8316443391812847
AATSC2p,-0.016703652765502973
AATSC2s,1.0475146198830405
AATSC2v,-3.829164943640701
AATSC3Z,-2.1875
AATSC3c,-0.02027568687283652
AATSC3d,-0.04076086956521739
AATSC3i,-0.31389834660643606
AATSC3m,-10.172086693236718
AATSC3p,-0.021014074885330934
AATSC3s,-0.4178743961352656
AATSC3v,-4.723958991734377
AATSC4Z,0.6582446808510638
AATSC4c,0.01219169840790267
AATSC4d,0.009308510638297872
AATSC4i,0.013404365027478328
AATSC4m,3.1178363167848704
AATSC4p,-0.011162846677796675
AATSC4s,-0.20449172576832142
AATSC4v,0.33064174639970373
AATSC5Z,-1.2683823529411764
AATSC5c,-0.01469534547039605
AATSC5d,-0.09191176470588236
AATSC5i,-0.11358817497039961
AATSC5m,-5.826120398692811
AATSC5p,0.0059127875153856336
AATSC5s,-0.6290849673202615
AATSC5v,-0.009825755148477852
AATSC6Z,1.7410714285714286
AATSC6c,0.01243433211019354
AATSC6d,-0.2767857142857143
AATSC6i,-0.3219827815670907
AATSC6m,7.922955313492066
AATSC6p,-0.043673309972448386
AATSC6s,0.375
