DLiP-ID,T007FZ
NdssC,3
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.856300000000001
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.424950017481403
SRW05,0.0
SRW06,6.882437470997847
SRW07,0.0
SRW08,8.427487278331744
SRW09,0.0
SRW10,10.021403912637746
SaaCH,11.406511746487205
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.5854447802122598
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.4374417655352403
SdssS,0
SsCH3,0
SsNH2,4.969279606792857
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,4.911153966566824
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.208604355291375
VE1_D,5.380484308598802
VE2_A,0.14028681184304584
VE2_D,0.1793494769532934
VE3_A,2.5357433743451083
VE3_D,2.78139067897588
VR1_A,1754.2510601809643
VR1_D,183.45342396053516
VR2_A,58.475035339365476
VR2_D,6.115114132017839
VR3_A,8.568409587150311
VR3_D,6.310573103566336
WPath,3025
Xc-3d,2.134714473225385
Xc-4d,0.0
Xc-5d,0.40236892706218247
Xc-6d,0.0
Xp-0d,22.0956473593183
Xp-1d,14.273764703227073
Xp-2d,12.834215330618765
Xp-3d,9.403728616708046
Xp-4d,7.450845855703608
Xp-5d,5.379705503313873
Xp-6d,3.460867229930715
Xp-7d,2.2634664697685656
ZMIC0,99.04030425559952
ZMIC1,51.17033595037081
ZMIC2,31.535400384665532
ZMIC3,26.96895361029388
ZMIC4,26.96895361029388
ZMIC5,26.96895361029388
nAcid,1
nAtom,51
nBase,0
nRing,2
piPC1,3.713572066704308
piPC2,4.219507705176107
piPC3,4.624972813284271
piPC4,5.076735095800779
piPC5,5.489970250770876
piPC6,5.474893282045912
piPC7,5.597958888834971
piPC8,5.816180667665678
piPC9,5.9195656715641185
AATS0Z,35.01960784313726
AATS0d,3.235294117647059
AATS0i,163.06771151736334
AATS0m,142.9108414901961
AATS0p,1.597366490231941
AATS0s,6.066111843304614
AATS0v,234.1751958695911
AATS1Z,28.5
AATS1d,3.8653846153846154
AATS1i,148.81535348395673
AATS1m,109.7850965576923
AATS1p,1.8459193489615386
AATS1s,3.548868312757202
AATS1v,273.7382530284236
AATS2Z,25.453488372093023
AATS2d,3.441860465116279
AATS2i,153.32425291345865
AATS2m,96.86981726744189
AATS2p,1.6310361889098255
AATS2s,3.883481672887357
AATS2v,232.67417252316775
AATS3Z,21.517241379310345
AATS3d,2.853448275862069
AATS3i,160.24625685621086
AATS3m,79.92945896551723
AATS3p,1.4078326748140773
AATS3s,3.2336277848729953
AATS3v,194.53241916122016
AATS4Z,23.811965811965813
AATS4d,2.6324786324786325
AATS4i,161.91507808769327
AATS4m,89.89149645299146
AATS4p,1.3346670356861707
AATS4s,3.4404800055234444
AATS4v,184.92257569394658
AATS5Z,18.669642857142858
AATS5d,2.669642857142857
AATS5i,161.24833628415837
AATS5m,67.68604913392856
AATS5p,1.2892259208377588
AATS5s,3.9637804967666086
AATS5v,178.4481025593566
AATS6Z,20.15740740740741
AATS6d,2.675925925925926
AATS6i,160.50340440132
AATS6m,74.18250630555555
AATS6p,1.3310715767340924
AATS6s,3.70594231062338
AATS6v,185.01842903035933
AATS7Z,22.883495145631066
AATS7d,2.563106796116505
AATS7i,161.00229832537613
AATS7m,85.57350203883497
AATS7p,1.3201217364672913
AATS7s,3.600003995365376
AATS7v,184.76293545247117
AATS8Z,20.59550561797753
AATS8d,2.640449438202247
AATS8i,159.69794014613555
AATS8m,76.38285216853932
AATS8p,1.3724565692632922
AATS8s,3.5850325981412126
AATS8v,187.67201558790373
AMID_C,1.3802700088034636
AMID_N,0.18847363304212597
AMID_O,0.29750395033264404
AMID_X,0.11788359357797776
AMID_h,0.6038611769527477
ATS0dv,427.2098765432099
ATS0pe,338.5539999999999
ATS0se,413.4128019999999
ATS1dv,388.22222222222223
ATS1pe,348.63300000000004
ATS1se,415.339584
ATS2dv,506.8888888888889
ATS2pe,567.125
ATS2se,684.4012519999999
ATS3dv,475.1111111111111
ATS3pe,750.8392000000001
ATS3se,923.2802039999999
ATS4dv,460.82716049382714
ATS4pe,766.1732999999999
ATS4se,943.8598569999999
ATS5dv,502.6666666666667
ATS5pe,715.6997
ATS5se,884.64344
ATS6dv,492.33333333333337
ATS6pe,696.9177
ATS6se,859.3530839999999
ATS7dv,449.3333333333333
ATS7pe,671.4572
ATS7se,829.2051240000001
ATS8dv,388.33333333333337
ATS8pe,567.9127
ATS8se,701.8798919999999
ATSC0Z,693.9215686274509
ATSC0c,1.6191050124668391
ATSC0d,29.921568627450988
ATSC0i,72.84537876516092
ATSC0m,3241.5485156862746
ATSC0p,13.042586443820982
ATSC0s,121.6032138811934
ATSC0v,2501.358138508749
ATSC1Z,-14.390618992695158
ATSC1c,-1.1373266542984517
ATSC1d,5.0995770857362555
ATSC1i,2.8402102637061937
ATSC1m,-60.186199386005384
ATSC1p,0.7815548988629037
ATSC1s,-11.650529080856606
ATSC1v,145.374589406109
ATSC2Z,32.42637447135714
ATSC2c,0.5771336997665443
ATSC2d,-5.142252979623222
ATSC2i,0.9396138655271256
ATSC2m,142.52924678392932
ATSC2p,-0.3272084394561808
ATSC2s,39.380929588065406
ATSC2v,-273.3207795551948
ATSC3Z,-31.586312956555183
ATSC3c,-0.19706624392963276
ATSC3d,-4.605920799692426
ATSC3i,4.521997765874782
ATSC3m,-127.39489230603614
ATSC3p,2.548927290795575
ATSC3s,-27.562042514571065
ATSC3v,158.46950968817404
ATSC4Z,182.65051903114178
ATSC4c,-0.10924460617229212
ATSC4d,-0.5455594002306803
ATSC4i,-5.26195479448107
ATSC4m,833.6088708177625
ATSC4p,-0.3027654500673465
ATSC4s,-42.862979830662006
ATSC4v,-128.85357590348465
ATSC5Z,-68.74932718185309
ATSC5c,0.0448656226415544
ATSC5d,1.6232218377547103
ATSC5i,-5.855619901423469
ATSC5m,-318.8390415659363
ATSC5p,-1.247367887753075
ATSC5s,32.03754400559127
ATSC5v,-53.22630027555793
ATSC6Z,-17.500576701268717
ATSC6c,-0.034346668724620784
ATSC6d,-1.0692041522491347
ATSC6i,-1.1954489487349633
ATSC6m,-71.01194923760097
ATSC6p,0.7795854235189629
ATSC6s,-13.279346368311437
ATSC6v,37.25198662067021
ATSC7Z,73.9427143406382
ATSC7c,-0.03518112235763549
ATSC7d,-0.25336409073433314
ATSC7i,-1.6969348779152398
ATSC7m,328.65116271203397
ATSC7p,-2.1979386239958227
ATSC7s,-19.330666613693243
ATSC7v,42.760627956111925
ATSC8Z,41.450595924644375
ATSC8c,0.20452993413907677
ATSC8d,-4.4905805459438675
ATSC8i,-2.6218663924127203
ATSC8m,203.23681107689345
ATSC8p,1.8999900074435638
ATSC8s,7.9646527507124025
ATSC8v,260.5336760902933
AXp-0d,0.7365215786439433
AXp-1d,0.46044402268474427
AXp-2d,0.3130296422102138
AXp-3d,0.1959110128480843
AXp-4d,0.1307165939597124
AXp-5d,0.08405789848927926
AXp-6d,0.05582043919243088
AXp-7d,0.03536666359013384
GATS1Z,0.5986045601756256
GATS1c,1.7133309872542855
GATS1d,0.9801265248512953
GATS1i,1.2126943811818127
GATS1m,0.6009415115884624
GATS1p,0.8676085103097834
GATS1s,0.7049929801014883
GATS1v,0.8505156155598831
GATS2Z,0.6685964370437057
GATS2c,0.7527315240132544
GATS2d,1.2532765399737873
GATS2i,1.1348160329142072
GATS2m,0.6738905703049468
GATS2p,0.9573150406386814
GATS2s,0.444723558769172
GATS2v,1.0075962717295028
GATS3Z,0.9308042891524003
GATS3c,1.0194629835467917
GATS3d,1.102019026528675
GATS3i,0.9822170468489985
GATS3m,0.929081007687713
GATS3p,0.8836368397455465
GATS3s,0.9443530280895787
GATS3v,0.9457794892440786
GATS4Z,0.9096079582092581
GATS4c,1.0423044517710407
GATS4d,0.9712000537688609
GATS4i,0.9972804791791177
GATS4m,0.910878131300178
GATS4p,0.9977905884090624
GATS4s,1.192925113721655
GATS4v,0.9931825168704181
GATS5Z,0.9003564869010616
GATS5c,0.9062161904450049
GATS5d,0.9772573020033699
GATS5i,1.0102443235074747
GATS5m,0.9024182289359961
GATS5p,0.9940516517623501
GATS5s,0.9244373006802152
GATS5v,0.9963825934236592
GATS6Z,0.8719898904273021
GATS6c,0.9957108364440644
GATS6d,1.0057157419542737
GATS6i,0.9780578196289884
GATS6m,0.8720299587089737
GATS6p,0.9286456166464178
GATS6s,1.091160599085508
GATS6v,0.9697502052160146
GATS7Z,1.0395399940194834
GATS7c,0.9895508338584139
GATS7d,0.9571950272938957
GATS7i,0.9324798744790147
GATS7m,1.0398813944831717
GATS7p,1.109593783663625
GATS7s,1.1271381914088894
GATS7v,0.9884302850913882
GATS8Z,0.8861053874801174
GATS8c,0.8268072928385716
GATS8d,1.0702136745843578
GATS8i,0.9811520146330953
GATS8m,0.8860075141610789
GATS8p,0.9074888548067009
GATS8s,0.8624665753566212
GATS8v,0.9464820865063498
MATS1Z,-0.02033929619405748
MATS1c,-0.6889330706043262
MATS1d,0.16715394697046068
MATS1i,0.038239774200889136
MATS1m,-0.018210053679310414
MATS1p,0.05877093475771753
MATS1s,-0.09396528331767598
MATS1v,0.05700060380406961
MATS2Z,0.027711480709962717
MATS2c,0.21138450133883366
MATS2d,-0.10191563290560512
MATS2i,0.007649254945041528
MATS2m,0.026074932263854045
MATS2p,-0.014877586967271825
MATS2s,0.1920492586989627
MATS2v,-0.06479902900672235
MATS3Z,-0.020012471865225912
MATS3c,-0.053511781375944444
MATS3d,-0.06767749807926966
MATS3i,0.027292324387793616
MATS3m,-0.017278724372135144
MATS3p,0.08592230324345418
MATS3s,-0.09965028198727666
MATS3v,0.027853644198995102
MATS4Z,0.11473471428260913
MATS4c,-0.029410966768347663
MATS4d,-0.007947709782572164
MATS4i,-0.03148686494055943
MATS4m,0.11209703250543211
MATS4p,-0.010118750903522931
MATS4s,-0.15364612831173402
MATS4v,-0.022454578765770023
MATS5Z,-0.04511388406733134
MATS5c,0.012618009073690872
MATS5d,0.024702771016663547
MATS5i,-0.036603534680841675
MATS5m,-0.04478897486685836
MATS5p,-0.04354948153156251
MATS5s,0.11996824785238855
MATS5v,-0.009689526519694588
MATS6Z,-0.011909359203792644
MATS6c,-0.010017423271613219
MATS6d,-0.016874180865006545
MATS6i,-0.007749531524089355
MATS6m,-0.010344876934909038
MATS6p,0.028225809557933558
MATS6s,-0.05156773617701594
MATS6v,0.007032665827970099
MATS7Z,0.05276159959617795
MATS7c,-0.010758893893429508
MATS7d,-0.004192698723739966
MATS7i,-0.01153442957191986
MATS7m,0.050201373379049154
MATS7p,-0.08344201602302952
MATS7s,-0.07871087296058539
MATS7v,0.008464496862018339
MATS8Z,0.034229500493696254
MATS8c,0.07238724210393631
MATS8d,-0.08599997054795526
MATS8i,-0.020624751299802173
MATS8m,0.035927749611802035
MATS8p,0.08347717866864986
MATS8s,0.03753202199127972
MATS8v,0.05968540695366777
MAXsCl,6.008455023779562
MAXsOH,9.485044731133435
MAXssO,5.536477024126215
MINsCl,6.008455023779562
MINsOH,9.485044731133435
MINssO,5.536477024126215
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.60877118352363
SpAD_D,420.91475850765363
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.4337859090285572
SssNH2,0
SsssAs,0
SsssCH,-1.169924101380597
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,595
TMWC10,135.68772429521468
TSRW10,64.89941340584028
VE1_Dt,5.38881445569606
VE2_Dt,0.17962714852320202
VE3_Dt,2.7829376968348756
VR1_Dt,182.87086353641678
VR2_Dt,6.095695451213893
VR3_Dt,6.307392528676257
Xc-3dv,0.8404426489880242
Xc-4dv,0.0
Xc-5dv,0.1132233677279911
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.15137471507731048
Xch-7d,0.29321760375163153
Xp-0dv,17.3725731428636
Xp-1dv,9.759436548637261
Xp-2dv,7.116461440781005
Xp-3dv,4.675438198707851
Xp-4dv,3.145558233685313
Xp-5dv,1.8295158658056605
Xp-6dv,1.0502574605525363
Xp-7dv,0.5508644172812216
Xpc-4d,3.9803503166117054
Xpc-5d,5.840546997586599
Xpc-6d,8.133091244337349
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,52
nFRing,0
nHBAcc,4
nHBDon,4
nHRing,0
nSpiro,0
naRing,2
piPC10,6.0390635259072605
AATS0dv,8.376664245945292
AATS0pe,6.638313725490194
AATS0se,8.106133372549017
AATS1dv,7.465811965811966
AATS1pe,6.70448076923077
AATS1se,7.987299692307692
AATS2dv,5.89405684754522
AATS2pe,6.594476744186046
AATS2se,7.958154093023254
AATS3dv,4.095785440613026
AATS3pe,6.472751724137932
AATS3se,7.959312103448275
AATS4dv,3.93869367943442
AATS4pe,6.548489743589743
AATS4se,8.067178264957263
AATS5dv,4.488095238095238
AATS5pe,6.390175892857143
AATS5se,7.898602142857143
AATS6dv,4.5586419753086425
AATS6pe,6.452941666666667
AATS6se,7.956972999999999
AATS7dv,4.3624595469255665
AATS7pe,6.519001941747573
AATS7se,8.05053518446602
AATS8dv,4.363295880149813
AATS8pe,6.381041573033707
AATS8se,7.886290921348314
AATSC0Z,13.60630526720492
AATSC0c,0.031747157107192926
AATSC0d,0.5866974240676665
AATSC0i,1.4283407601011944
AATSC0m,63.559774817377935
AATSC0p,0.2557369890945291
AATSC0s,2.384376742768498
AATSC0v,49.046238009975475
AATSC1Z,-0.27674267293644533
AATSC1c,-0.02187166642881638
AATSC1d,0.09806879011031261
AATSC1i,0.05461942814819603
AATSC1m,-1.1574269112693343
AATSC1p,0.015029901901209687
AATSC1s,-0.22404863617031934
AATSC1v,2.795665180886712
AATSC2Z,0.3770508659460133
AATSC2c,0.006710856974029585
AATSC2d,-0.059793639297944436
AATSC2i,0.010925742622408436
AATSC2m,1.6573168230689457
AATSC2p,-0.0038047492960021022
AATSC2s,0.4579177859077373
AATSC2v,-3.1781485994790093
AATSC3Z,-0.2722958013496136
AATSC3c,-0.0016988469304278686
AATSC3d,-0.03970621379045195
AATSC3i,0.0389827393609895
AATSC3m,-1.0982318302244496
AATSC3p,0.02197351112754806
AATSC3s,-0.23760381478078504
AATSC3v,1.3661164628290865
AATSC4Z,1.561115547274716
AATSC4c,-0.0009337145826691634
AATSC4d,-0.004662900856672481
