DLiP-ID,I000DP
SIC2,0.7981460310064452
SIC3,0.9187566998879579
SIC4,0.9569178893958871
SIC5,0.961838810492071
SaaN,4.6311153067254605
SaaO,0
SaaS,0
Sare,65.22
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,98.35680080554121
TIC1,241.94446297989143
TIC2,324.38887574336303
TIC3,373.4084257520168
TIC4,388.9182007563438
TIC5,390.91820075634377
Vabc,445.68448521957356
WPol,59
apol,76.20458299999999
bpol,37.39541700000001
nRot,7
ABCGG,22.649591600827797
ATS0Z,1448.0
ATS0d,223.0
ATS0i,10836.58642501672
ATS0m,5708.073740000001
ATS0p,101.997508050319
ATS0s,255.05555555555554
ATS0v,14894.938648126534
ATS1Z,1719.0
ATS1d,289.0
ATS1i,10410.730586970103
ATS1m,6511.433724
ATS1p,131.56563758000001
ATS1s,211.72222222222223
ATS1v,19045.053326912537
ATS2Z,2548.0
ATS2d,465.0
ATS2i,18984.825324279944
ATS2m,9459.412032000002
ATS2p,200.515462343641
ATS2s,345.25
ATS2v,28246.429523633724
ATS3Z,2873.0
ATS3d,543.0
ATS3i,26525.273006855172
ATS3m,10426.502635
ATS3p,232.60184444892298
ATS3s,467.72222222222223
ATS3v,31848.572397100284
ATS4Z,3015.0
ATS4d,548.0
ATS4i,28432.666289024175
ATS4m,10885.816404999998
ATS4p,235.56895013462105
ATS4s,533.638888888889
ATS4v,32739.48775419308
ATS5Z,3150.0
ATS5d,569.0
ATS5i,29801.79886881587
ATS5m,11374.82424
ATS5p,249.414232824319
ATS5s,591.7777777777778
ATS5v,34557.2143297717
ATS6Z,3208.0
ATS6d,587.0
ATS6i,30886.40518734417
ATS6m,11522.142601
ATS6p,268.17106433231896
ATS6s,557.6944444444446
ATS6v,36507.24107300135
ATS7Z,3099.0
ATS7d,576.0
ATS7i,32568.291162427624
ATS7m,10865.117419999999
ATS7p,274.978267130621
ATS7s,565.6944444444446
ATS7v,36637.501163804714
ATS8Z,2751.0
ATS8d,532.0
ATS8i,34484.13604623226
ATS8m,9381.279894
ATS8p,262.427197342507
ATS8s,550.2222222222223
ATS8v,33676.18435956239
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,15
C2SP3,5
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.27586206896551724
GGI10,0.2294725028058362
JGI10,0.006374236189051004
JGT10,0.35854931881313745
Kier1,27.5625
Kier2,12.901785714285714
Kier3,6.270216962524655
MAXdO,13.944269617601147
MID_C,60.37002769186727
MID_N,10.280304801669146
MID_O,3.555075850780698
MID_X,0.0
MID_h,13.835380652449842
MINdO,12.760820416787368
MPC10,255
MWC01,40.0
MWC02,5.262690188904886
MWC03,6.133398042996649
MWC04,7.02197642307216
MWC05,7.913155185928068
MWC06,8.811801223938751
MWC07,9.71202433782489
MWC08,10.616363828277068
MWC09,11.521736533248779
MWC10,12.429716071886034
NaaCH,13
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.358800000000003
SRW02,4.394449154672439
SRW03,0.0
SRW04,5.720311776607412
SRW05,3.044522437723423
SRW06,7.244941546337007
SRW07,5.351858133476067
SRW08,8.857230494201946
SRW09,7.4342573821331355
SRW10,10.517077324312647
SaaCH,25.49975136920037
SaaNH,3.5825712536187826
SaaSe,0
SaaaC,2.0302456117382173
SaasC,3.70077781499138
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.30550332947480974
SdssS,0
SsCH3,3.511823690421239
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.927430206888205
SssPH,0
SssSe,0
SsssB,0
SsssN,1.9050793650793652
SsssP,0
VE1_A,4.78437093412121
VE1_D,5.907401759096217
VE2_A,0.13289919261447805
VE2_D,0.16409449330822826
VE3_A,2.846288395501178
VE3_D,3.057139945541725
VR1_A,585.2536717879891
VR1_D,258.3400297927074
VR2_A,16.257046438555253
VR2_D,7.176111938686317
VR3_A,7.652979225692924
VR3_D,6.835210507589561
WPath,4036
Xc-3d,2.0109350946273454
Xc-4d,0.0
Xc-5d,0.7070781450173635
Xc-6d,0.0
Xp-0d,25.07033885400645
Xp-1d,17.56288194571337
Xp-2d,15.426459472084986
Xp-3d,13.799241161491253
Xp-4d,11.420940423996504
Xp-5d,9.063388706026426
Xp-6d,6.33812100776949
Xp-7d,4.917145806675892
ZMIC0,119.13412025677303
ZMIC1,63.55193133032842
ZMIC2,37.87060834757552
ZMIC3,26.25815237530916
ZMIC4,24.324049127662153
ZMIC5,24.202673330932072
nAcid,0
nAtom,67
nBase,1
nRing,5
piPC1,3.9889840465642745
piPC2,4.566948973167894
piPC3,5.165500004657171
piPC4,5.759887092707613
piPC5,6.297799689308956
piPC6,6.604557626700321
piPC7,7.08781516554368
piPC8,7.526542953352481
piPC9,7.776399021138882
AATS0Z,21.611940298507463
AATS0d,3.328358208955224
AATS0i,161.74009589577193
AATS0m,85.1951304477612
AATS0p,1.5223508664226717
AATS0s,3.8067993366500827
AATS0v,222.3125171362169
AATS1Z,24.211267605633804
AATS1d,4.070422535211268
AATS1i,146.63000826718456
AATS1m,91.71033414084508
AATS1p,1.8530371490140847
AATS1s,2.982003129890454
AATS1v,268.24018770299347
AATS2Z,20.548387096774192
AATS2d,3.75
AATS2i,153.10343003451567
AATS2m,76.28558090322582
AATS2p,1.6170601801906532
AATS2s,2.784274193548387
AATS2v,227.79378648091713
AATS3Z,17.20359281437126
AATS3d,3.251497005988024
AATS3i,158.83397010092918
AATS3m,62.434147514970064
AATS3p,1.3928254158618143
AATS3s,2.800731869594145
AATS3v,190.7100143538939
AATS4Z,17.033898305084747
AATS4d,3.096045197740113
AATS4i,160.63653270635126
AATS4m,61.501787598870045
AATS4p,1.330898023359441
AATS4s,3.0149089767733845
AATS4v,184.9688573683225
AATS5Z,17.027027027027028
AATS5d,3.075675675675676
AATS5i,161.090804696302
AATS5m,61.48553643243243
AATS5p,1.3481850422936161
AATS5s,3.198798798798799
AATS5v,186.79575313390106
AATS6Z,16.45128205128205
AATS6d,3.01025641025641
AATS6i,158.39182147355984
AATS6m,59.087910774358974
AATS6p,1.3752362273452254
AATS6s,2.8599715099715106
AATS6v,187.21662088718642
AATS7Z,15.04368932038835
AATS7d,2.796116504854369
AATS7i,158.09850078848362
AATS7m,52.74328844660194
AATS7p,1.3348459569447622
AATS7s,2.7460895361380806
AATS7v,177.85194739711025
AATS8Z,12.855140186915888
AATS8d,2.485981308411215
AATS8i,161.14082264594515
AATS8m,43.837756514018686
AATS8p,1.226295314684612
AATS8s,2.5711318795430946
AATS8v,157.3653474745906
AMID_C,1.6769452136629797
AMID_N,0.2855640222685874
AMID_O,0.0987521069661305
AMID_X,0.0
AMID_h,0.38431612923471786
ATS0dv,456.0
ATS0pe,408.48769999999996
ATS0se,504.65895999999987
ATS1dv,482.0
ATS1pe,455.5275
ATS1se,544.269904
ATS2dv,691.0
ATS2pe,780.8332
ATS2se,946.0570879999998
ATS3dv,741.0
ATS3pe,1031.5061
ATS3se,1268.716692
ATS4dv,764.0
ATS4pe,1106.6174999999998
ATS4se,1362.0768759999999
ATS5dv,789.0
ATS5pe,1158.2103
ATS5se,1425.735104
ATS6dv,726.0
ATS6pe,1199.7139000000002
ATS6se,1480.146012
ATS7dv,617.0
ATS7pe,1256.1809999999998
ATS7se,1555.7284399999999
ATS8dv,538.0
ATS8pe,1276.6377000000002
ATS8se,1597.4178239999999
ATSC0Z,469.8507462686568
ATSC0c,1.017036511962628
ATSC0d,39.104477611940304
ATSC0i,103.51287251726983
ATSC0m,2246.3041877611936
ATSC0p,15.323799539813193
ATSC0s,76.64096185737975
ATSC0v,3414.012643849235
ATSC1Z,23.605925595901105
ATSC1c,-0.5594142197621924
ATSC1d,16.680329694809537
ATSC1i,-10.382459872635954
ATSC1m,113.79634801425739
ATSC1p,0.11788122301526893
ATSC1s,-3.0921635603079136
ATSC1v,112.8274174581774
ATSC2Z,10.1269770550234
ATSC2c,-0.17950296891939183
ATSC2d,1.8364891958119927
ATSC2i,-12.673228657979601
ATSC2m,42.89858241211896
ATSC2p,-0.8189946848641234
ATSC2s,1.4998948045840437
ATSC2v,-123.34112791219802
ATSC3Z,30.595901091557124
ATSC3c,0.7077449912217286
ATSC3d,-2.6036979282690957
ATSC3i,15.393119390898853
ATSC3m,135.99708311762117
ATSC3p,-0.4639450977724554
ATSC3s,5.3957451548229
ATSC3v,-76.61952026788195
ATSC4Z,-25.292269993316992
ATSC4c,-0.6330462000904936
ATSC4d,3.33593227890399
ATSC4i,-26.065595236943413
ATSC4m,-110.53794207061686
ATSC4p,-0.6475140766435872
ATSC4s,-23.902657112447713
ATSC4v,-20.426252018619245
ATSC5Z,-21.856538204499888
ATSC5c,0.035336913432047735
ATSC5d,-1.7511695255067916
ATSC5i,24.446679069868146
ATSC5m,-93.28622023613259
ATSC5p,3.427094145469537
ATSC5s,12.83963268235933
ATSC5v,439.98018429632634
ATSC6Z,-50.9387391401203
ATSC6c,0.42472344089864505
ATSC6d,-17.602584094453103
ATSC6i,15.2831083595035
ATSC6m,-243.41266636466895
ATSC6p,-0.7471919559008056
ATSC6s,-9.573197445607784
ATSC6v,-268.70380092139175
ATSC7Z,-236.24259300512358
ATSC7c,-0.37945186122863117
ATSC7d,-18.2913789262642
ATSC7i,-37.39407522428142
ATSC7m,-1124.1830492359097
ATSC7p,-5.8323419488361505
ATSC7s,-31.29949134922403
ATSC7v,-1483.9875251920803
ATSC8Z,-203.80686121630646
ATSC8c,0.015549517872065455
ATSC8d,-7.199376253063044
ATSC8i,-19.203570802062774
ATSC8m,-973.509870490978
ATSC8p,-4.225648100713753
ATSC8s,-14.317566396871362
ATSC8v,-1264.8833092388818
AXp-0d,0.6963983015001792
AXp-1d,0.4390720486428343
AXp-2d,0.27547249057294615
AXp-3d,0.17691334822424684
AXp-4d,0.10981673484612023
AXp-5d,0.06971837466174174
AXp-6d,0.042537724884358995
AXp-7d,0.02716655141809885
GATS1Z,0.8180901802172628
GATS1c,1.618405192357905
GATS1d,0.736920761208472
GATS1i,1.2784066280201307
GATS1m,0.8219403384383612
GATS1p,1.025910278662873
GATS1s,0.5749478206263842
GATS1v,0.9457442356727196
GATS2Z,0.9062589662663441
GATS2c,1.261011757869509
GATS2d,1.2182005663629647
GATS2i,1.1968024692133672
GATS2m,0.9095919992729782
GATS2p,1.0227985346140473
GATS2s,0.5993769760154177
GATS2v,0.9843776567002902
GATS3Z,0.9513277130618051
GATS3c,0.9875901799015493
GATS3d,1.2329935548749826
GATS3i,0.9901756250397563
GATS3m,0.9521322167031503
GATS3p,0.9832590863267584
GATS3s,0.9457414569642485
GATS3v,0.9701394329124219
GATS4Z,1.0412249908470268
GATS4c,1.6551844912822236
GATS4d,1.1251908396946564
GATS4i,1.1312268642703596
GATS4m,1.0340868093066937
GATS4p,0.9632315593990316
GATS4s,1.6187262197222938
GATS4v,0.9364283514300218
GATS5Z,1.0398586833339056
GATS5c,1.410922069321048
GATS5d,1.1358345368269032
GATS5i,0.9528170961240903
GATS5m,1.032492321535868
GATS5p,0.8659167336720055
GATS5s,1.4509094928378923
GATS5v,0.8868560952108221
GATS6Z,1.0229107614113966
GATS6c,1.0415682789363503
GATS6d,1.2723311802701114
GATS6i,0.9664849578406617
GATS6m,1.021043324690758
GATS6p,1.0007939114443907
GATS6s,1.278795532870553
GATS6v,0.9951103468342525
GATS7Z,1.1462636162889674
GATS7c,1.1371048184372967
GATS7d,1.1470392055139702
GATS7i,1.1148166313592918
GATS7m,1.144111103516072
GATS7p,1.1139211915927048
GATS7s,1.3780158414955506
GATS7v,1.1163407115701471
GATS8Z,1.1299969421320761
GATS8c,0.8794433229330406
GATS8d,0.9464222016123277
GATS8i,1.0216568555429293
GATS8m,1.1294030011628824
GATS8p,1.067907249521189
GATS8s,1.1167448002270601
GATS8v,1.1009062535617022
MATS1Z,0.04741083093222616
MATS1c,-0.5190550383214572
MATS1d,0.40252661004193097
MATS1i,-0.09465037842740898
MATS1m,0.04780531805949491
MATS1p,0.007259298000043726
MATS1s,-0.03807307596131269
MATS1v,0.03118645252442226
MATS2Z,0.0116458990859532
MATS2c,-0.09536482344456672
MATS2d,0.025375523270130613
MATS2i,-0.06615246439464145
MATS2m,0.010318759534538797
MATS2p,-0.02887804167045691
MATS2s,0.010574332731069247
MATS2v,-0.019520723408353848
MATS3Z,0.026125322417426884
MATS3c,0.2791891853839438
MATS3d,-0.026712986241257872
MATS3i,0.059661011038518334
MATS3m,0.024289543821601808
MATS3p,-0.012146704314224868
MATS3s,0.028245470564459155
MATS3v,-0.009003940880841886
MATS4Z,-0.020376492293555582
MATS4c,-0.23561362334863614
MATS4d,0.03229180144046234
MATS4i,-0.09531797838391114
MATS4m,-0.018627061328786897
MATS4p,-0.01599500162258666
MATS4s,-0.11805564851640901
MATS4v,-0.002264775180907212
MATS5Z,-0.016847075792437924
MATS5c,0.012583317139707393
MATS5d,-0.016218279348050313
MATS5i,0.0855319916675175
MATS5m,-0.015040144342305394
MATS5p,0.08099582759692416
MATS5s,0.060672896332699996
MATS5v,0.046673574903227835
MATS6Z,-0.0372501873391327
MATS6c,0.1434861152362261
MATS6d,-0.15466431787042467
MATS6i,0.050729142712371264
MATS6m,-0.03723186560324555
MATS6p,-0.016753514157716948
MATS6s,-0.042917682345783935
MATS6v,-0.027042626870906104
MATS7Z,-0.16353317254906793
MATS7c,-0.12134663152600536
MATS7d,-0.15213444008004148
MATS7i,-0.1174940892275298
MATS7m,-0.16277063140299328
MATS7p,-0.12378958269593407
MATS7s,-0.1328262512070404
MATS7v,-0.141375029088976
MATS8Z,-0.13580629742664077
MATS8c,0.004786757348499003
MATS8d,-0.057640721980452315
MATS8i,-0.05808294918742045
MATS8m,-0.13568530706219606
MATS8p,-0.08633519907585875
MATS8s,-0.05848833906662179
MATS8v,-0.11599689548874044
MAXaaN,4.6311153067254605
MINaaN,4.6311153067254605
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,48.09251371613066
SpAD_D,464.2779745779766
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.399223254499228
SssNH2,0
SsssAs,0
SsssCH,-1.2542712447426156
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1471
TMWC10,155.42286183607723
TSRW10,88.56464824946408
VE1_Dt,5.919218485316331
VE2_Dt,0.1644227357032314
VE3_Dt,3.059138273028062
VR1_Dt,254.63683741288733
VR2_Dt,7.073245483691315
VR3_Dt,6.820772208522486
Xc-3dv,0.9753374738519496
Xc-4dv,0.0
Xc-5dv,0.20028160788697583
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.21407617506269555
Xch-6d,0.5874007833189513
Xch-7d,0.7976661394304518
Xp-0dv,20.569848422521304
Xp-1dv,12.426462740861044
Xp-2dv,9.266796574885134
Xp-3dv,6.9984008545834735
Xp-4dv,4.92184885989697
Xp-5dv,3.2508962846431126
Xp-6dv,2.019524829704392
Xp-7dv,1.3461328332256812
Xpc-4d,5.749226674045036
Xpc-5d,9.282351057019067
Xpc-6d,14.378115002459843
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,71
nFRing,1
nHBAcc,4
nHBDon,3
nHRing,3
nSpiro,0
naRing,4
piPC10,8.133617227166761
AATS0dv,6.8059701492537314
AATS0pe,6.096831343283582
AATS0se,7.532223283582088
AATS1dv,6.788732394366197
AATS1pe,6.41588028169014
AATS1se,7.665773295774648
AATS2dv,5.57258064516129
AATS2pe,6.297041935483871
AATS2se,7.629492645161289
AATS3dv,4.437125748502994
AATS3pe,6.176683233532935
AATS3se,7.597105940119761
AATS4dv,4.31638418079096
AATS4pe,6.25207627118644
AATS4se,7.695349581920903
AATS5dv,4.264864864864865
AATS5pe,6.260596216216216
AATS5se,7.706676237837838
AATS6dv,3.723076923076923
AATS6pe,6.152378974358975
AATS6se,7.590492369230769
AATS7dv,2.995145631067961
AATS7pe,6.097966019417475
AATS7se,7.552079805825242
AATS8dv,2.514018691588785
AATS8pe,5.965596728971963
AATS8se,7.4645692710280365
AATSC0Z,7.01269770550234
AATSC0c,0.015179649432278028
AATSC0d,0.5836489195811986
AATSC0i,1.5449682465264154
AATSC0m,33.526928175540206
AATSC0p,0.22871342596736108
AATSC0s,1.14389495309522
AATSC0v,50.955412594764695
AATSC1Z,0.33247782529438175
AATSC1c,-0.007879073517777358
AATSC1d,0.23493422105365544
AATSC1i,-0.14623182919205568
AATSC1m,1.6027654649895406
AATSC1p,0.001660298915708013
AATSC1s,-0.04355159944095653
AATSC1v,1.5891185557489773
AATSC2Z,0.0816691697985758
AATSC2c,-0.0014476045880596115
AATSC2d,0.014810396740419295
AATSC2i,-0.10220345691919033
AATSC2m,0.3459563097751529
AATSC2p,-0.0066047958456784146
AATSC2s,0.012095925843419708
AATSC2v,-0.9946865154209518
AATSC3Z,0.18320898857219836
AATSC3c,0.004237993959411548
AATSC3d,-0.01559100555849758
AATSC3i,0.09217436761017278
AATSC3m,0.81435379112348
AATSC3p,-0.0027781143579188945
AATSC3s,0.03230985122648443
AATSC3v,-0.4587995225621674
AATSC4Z,-0.14289418075320334
AATSC4c,-0.003576532203901094
AATSC4d,0.018847075022056438
AATSC4i,-0.14726324992623396
AATSC4m,-0.6245081472916207
AATSC4p,-0.0036582716194552946
