DLiP-ID,T001CJ
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.640400000000005
SRW02,4.343805421853684
SRW03,0.0
SRW04,5.6937321388027
SRW05,0.0
SRW06,7.2633296174768365
SRW07,0.0
SRW08,8.934982049213234
SRW09,0.0
SRW10,10.658834584175423
SaaCH,8.351017271525583
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,7.795506038240529
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,7.400717641269623
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.775193532851361
SssPH,0
SssSe,0
SsssB,0
SsssN,2.6966541091617753
SsssP,0
VE1_A,4.934956698927268
VE1_D,5.74477198448636
VE2_A,0.1451457852625667
VE2_D,0.16896388189665765
VE3_A,2.8201193301888776
VE3_D,2.9720656527507447
VR1_A,355.33275018917465
VR1_D,238.5868157105769
VR2_A,10.450963240858078
VR2_D,7.017259285605203
VR3_A,7.096830106559803
VR3_D,6.698508682888204
WPath,3390
Xc-3d,2.143950550859379
Xc-4d,0.0
Xc-5d,0.6122388793958888
Xc-6d,0.0
Xp-0d,23.819261998449896
Xp-1d,16.55390645080747
Xp-2d,14.600727527824633
Xp-3d,13.481373624491992
Xp-4d,11.5458868753387
Xp-5d,10.014524896669972
Xp-6d,7.75525157356594
Xp-7d,5.851124871902251
ZMIC0,116.93614342112264
ZMIC1,56.88713857265635
ZMIC2,41.074604349222106
ZMIC3,33.23901511108776
ZMIC4,28.379908859925894
ZMIC5,26.136174484625414
nAcid,0
nAtom,72
nBase,2
nRing,5
piPC1,3.8066624897703196
piPC2,4.3694478524670215
piPC3,4.93806460126142
piPC4,5.458521118088372
piPC5,5.998005607651363
piPC6,6.233184483995127
piPC7,6.4469095875211675
piPC8,6.663332229084029
piPC9,6.927312778197668
AATS0Z,19.444444444444443
AATS0d,3.111111111111111
AATS0i,163.0749724482148
AATS0m,76.30930447222224
AATS0p,1.3885736997814169
AATS0s,2.7824074074074074
AATS0v,199.8867637730191
AATS1Z,22.539473684210527
AATS1d,3.8684210526315788
AATS1i,145.83664885739282
AATS1m,84.25403513157897
AATS1p,1.742468624289474
AATS1s,2.6655701754385968
AATS1v,250.46178763866246
AATS2Z,18.070422535211268
AATS2d,3.5774647887323945
AATS2i,155.25631770546292
AATS2m,65.98108695070425
AATS2p,1.481548477964648
AATS2s,2.3570031298904537
AATS2v,207.0559333555132
AATS3Z,16.211340206185568
AATS3d,3.247422680412371
AATS3i,155.10974593276325
AATS3m,58.15827931958763
AATS3p,1.416987076079742
AATS3s,2.3078465063001143
AATS3v,190.88831275489002
AATS4Z,13.378151260504202
AATS4d,2.7983193277310923
AATS4i,156.46877323011512
AATS4m,46.06634624789917
AATS4p,1.290082936107807
AATS4s,2.081349206349206
AATS4v,166.1049570301645
AATS5Z,11.47037037037037
AATS5d,2.5296296296296297
AATS5i,162.38967120425977
AATS5m,38.70618663333333
AATS5p,1.139593198123604
AATS5s,1.9910493827160496
AATS5v,143.63898339609125
AATS6Z,11.785714285714286
AATS6d,2.5357142857142856
AATS6i,161.3756711902049
AATS6m,39.88630640079366
AATS6p,1.1639992723209645
AATS6s,2.0196208112874783
AATS6v,147.1841568593504
AATS7Z,11.11111111111111
AATS7d,2.4206349206349205
AATS7i,162.06769966379537
AATS7m,37.05915597222222
AATS7p,1.1429929510023056
AATS7s,1.9462081128747801
AATS7v,142.76937314369388
AATS8Z,10.587044534412955
AATS8d,2.3360323886639676
AATS8i,163.81526452803368
AATS8m,35.511245093117395
AATS8p,1.084840959300874
AATS8s,1.9053081421502482
AATS8v,134.5656136703368
AMID_C,1.7257283364432972
AMID_N,0.12796046067837452
AMID_O,0.2202621695245777
AMID_X,0.0
AMID_h,0.34822263020295224
ATS0dv,410.0
ATS0pe,431.8076000000001
ATS0se,540.2462159999999
ATS1dv,420.0
ATS1pe,485.445
ATS1se,584.1289919999999
ATS2dv,597.0
ATS2pe,883.456
ATS2se,1085.0089560000001
ATS3dv,669.0
ATS3pe,1177.4587000000006
ATS3se,1455.9560319999996
ATS4dv,539.0
ATS4pe,1406.7160000000001
ATS4se,1758.1852039999999
ATS5dv,501.0
ATS5pe,1578.2106999999999
ATS5se,1996.7874359999998
ATS6dv,472.0
ATS6pe,1478.0538000000001
ATS6se,1866.1086520000003
ATS7dv,437.0
ATS7pe,1466.2675000000002
ATS7se,1856.2563639999996
ATS8dv,440.0
ATS8pe,1419.2495000000001
ATS8se,1807.7855200000004
ATSC0Z,518.0
ATSC0c,1.4927303038525532
ATSC0d,43.5
ATSC0i,98.79031206460138
ATSC0m,2470.157548611111
ATSC0p,16.5439618339015
ATSC0s,45.25771604938271
ATSC0v,3682.0677268740983
ATSC1Z,40.0
ATSC1c,-0.5546888092642922
ATSC1d,23.77777777777778
ATSC1i,-11.150434768696396
ATSC1m,188.85719696604883
ATSC1p,-0.5622573516466375
ATSC1s,-0.37928669410150706
ATSC1v,80.07524518892558
ATSC2Z,42.5
ATSC2c,-0.5281537463200481
ATSC2d,5.8194444444444535
ATSC2i,27.093998750258724
ATSC2m,223.15553815586347
ATSC2p,5.019274732246069
ATSC2s,1.1568501371742137
ATSC2v,950.9283956042477
ATSC3Z,5.5
ATSC3c,0.6318595411792947
ATSC3d,-14.15277777777777
ATSC3i,1.4435448897399328
ATSC3m,17.382125964505533
ATSC3p,-0.2544131477519848
ATSC3s,18.274734224965712
ATSC3v,-99.10091593859772
ATSC4Z,-190.0
ATSC4c,-0.31397243928188884
ATSC4d,-18.26388888888888
ATSC4i,-66.37613495595981
ATSC4m,-927.8123886033952
ATSC4p,-10.673428484510096
ATSC4s,-0.7531292866941026
ATSC4v,-2099.6891078570984
ATSC5Z,-63.5
ATSC5c,-0.1044264311371293
ATSC5d,-9.708333333333334
ATSC5i,2.3228455438720066
ATSC5m,-300.1676313472221
ATSC5p,-0.45652105961545875
ATSC5s,-13.864583333333334
ATSC5v,-273.85262787411466
ATSC6Z,-92.5
ATSC6c,0.30878017337626046
ATSC6d,-11.749999999999998
ATSC6i,-4.161361591478723
ATSC6m,-442.5971961944444
ATSC6p,-1.8128170912120827
ATSC6s,-6.180555555555558
ATSC6v,-619.4030056642151
ATSC7Z,-140.0
ATSC7c,-0.2614420721495775
ATSC7d,-2.7500000000000018
ATSC7i,-13.129002491285922
ATSC7m,-662.6103152499998
ATSC7p,-2.523599384035916
ATSC7s,-13.429012345679018
ATSC7v,-738.045911899165
ATSC8Z,68.75
ATSC8c,-0.0956272600465471
ATSC8d,-0.7847222222222253
ATSC8i,-0.09421011488447983
ATSC8m,329.83730501466096
ATSC8p,0.8449210194322982
ATSC8s,-2.9388931755829923
ATSC8v,413.0600325098395
AXp-0d,0.7005665293661734
AXp-1d,0.43562911712651237
AXp-2d,0.26546777323317516
AXp-3d,0.17065029904420242
AXp-4d,0.10690635995683982
AXp-5d,0.06632135693158922
AXp-6d,0.04332542778528458
AXp-7d,0.02747006982113733
GATS1Z,0.9179790692948588
GATS1c,1.332792088701073
GATS1d,0.719449485783424
GATS1i,1.3720738662565128
GATS1m,0.9234345840264835
GATS1p,1.2235478890638074
GATS1s,0.9102555934624642
GATS1v,1.0978030219739765
GATS2Z,0.9739382239382239
GATS2c,1.2668004600797051
GATS2d,1.264367816091954
GATS2i,1.0118628125807816
GATS2m,0.9698555924487577
GATS2p,0.9110390498082002
GATS2s,0.7834759777679271
GATS2v,0.900335295622968
GATS3Z,0.9658181745810611
GATS3c,0.6708014468386734
GATS3d,1.3797843346368053
GATS3i,1.1169361170193284
GATS3m,0.9710095582782823
GATS3p,1.0797870410564367
GATS3s,0.6222161134368632
GATS3v,1.0572318545720414
GATS4Z,1.0547719087635055
GATS4c,0.7562214938436504
GATS4d,1.176132521974307
GATS4i,1.2697579973286852
GATS4m,1.0626875301716858
GATS4p,1.252440420966817
GATS4s,0.6915653771311778
GATS4v,1.2138141329174057
GATS5Z,1.005148005148005
GATS5c,0.870957590459426
GATS5d,1.073009791400596
GATS5i,0.9808551616651434
GATS5m,1.0060206090996815
GATS5p,0.9857258805674732
GATS5s,0.983239563087485
GATS5v,1.004189796126835
GATS6Z,1.0228251210394068
GATS6c,0.8204416654979926
GATS6d,1.107553366174056
GATS6i,1.0071209844443796
GATS6m,1.0243898904223268
GATS6p,1.0234212809232528
GATS6s,0.8699090063276651
GATS6v,1.0410491063255545
GATS7Z,1.0383265918980205
GATS7c,0.8464921527964501
GATS7d,0.945630359423463
GATS7i,1.0337395065672792
GATS7m,1.0400375310824042
GATS7p,1.0265509730446976
GATS7s,0.8237375115081668
GATS7v,1.0471073901529317
GATS8Z,0.9172854172854173
GATS8c,0.7852911133748107
GATS8d,0.9515566103587882
GATS8i,0.9572564660391649
GATS8m,0.9192893066783447
GATS8p,0.9489432805032764
GATS8s,0.7050924732690952
GATS8v,0.9469592794355275
MATS1Z,0.07315586262954683
MATS1c,-0.35203590364049003
MATS1d,0.5178463399879008
MATS1i,-0.10692920753163017
MATS1m,0.07243155182338508
MATS1p,-0.03219693473682857
MATS1s,-0.00793951325615156
MATS1v,0.020602760249724402
MATS2Z,0.04160095709391484
MATS2c,-0.17940030094424525
MATS2d,0.06783228104257741
MATS2i,0.13906021649416692
MATS2m,0.045806506154188
MATS2p,0.15383161523405928
MATS2s,0.012960704864094407
MATS2v,0.13094839976062556
MATS3Z,0.0039406121880348685
MATS3c,0.15709774992765987
MATS3d,-0.12074890389856612
MATS3i,0.005423088637701776
MATS3m,0.0026116141052348616
MATS3p,-0.005707301272294462
MATS3s,0.14986119894443006
MATS3v,-0.009988876932064916
MATS4Z,-0.11096330424061517
MATS4c,-0.06363055583267792
MATS4d,-0.1270163237708876
MATS4i,-0.20326057141780918
MATS4m,-0.11362948876165783
MATS4p,-0.19517310186478395
MATS4s,-0.005034222916158663
MATS4v,-0.17251178233533973
MATS5Z,-0.03268983268983269
MATS5c,-0.018655110190611574
MATS5d,-0.05951468710089401
MATS5i,0.006270103468858475
MATS5m,-0.03240469488984583
MATS5p,-0.007358512456268148
MATS5s,-0.08169263818324413
MATS5v,-0.019833249372382955
MATS6Z,-0.0510204081632653
MATS6c,0.05910170541271863
MATS6d,-0.07717569786535303
MATS6i,-0.012035192822659743
MATS6m,-0.05119363412303136
MATS6p,-0.031307358270432115
MATS6s,-0.039018164636195826
MATS6v,-0.048063289559009285
MATS7Z,-0.07722007722007722
MATS7c,-0.050041011900872935
MATS7d,-0.01806239737274221
MATS7i,-0.03797076343362365
MATS7m,-0.07664176442309044
MATS7p,-0.04358257125335714
MATS7s,-0.08477804461028116
MATS7v,-0.057269522503226054
MATS8Z,0.038688196582933425
MATS8c,-0.018673937719477292
MATS8d,-0.005258504351063355
MATS8i,-0.00027798330834437676
MATS8m,0.038923390444865216
MATS8p,0.014887169667750411
MATS8s,-0.01892895811558874
MATS8v,0.032700692180077144
MAXsOH,10.286686382413503
MAXssO,5.6574032416086535
MINsOH,10.286686382413503
MINssO,5.435561152921327
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,4
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,45.0623890289694
SpAD_D,412.2462611786823
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,8.670487954654691
SssNH2,0
SsssAs,0
SsssCH,2.0173713052586604
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1759
TMWC10,151.68515185835264
TSRW10,70.89468381152187
VE1_Dt,5.800983529766004
VE2_Dt,0.1706171626401766
VE3_Dt,2.9818029088960145
VR1_Dt,228.65209188536457
VR2_Dt,6.725061526040134
VR3_Dt,6.655977030537881
Xc-3dv,1.2678991733724327
Xc-4dv,0.0
Xc-5dv,0.28193676229539383
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2902636039661994
Xch-7d,0.7675226885089312
Xp-0dv,20.894828465400895
Xp-1dv,12.677395036244024
Xp-2dv,10.046131898405168
Xp-3dv,8.439230985350118
Xp-4dv,6.591111421024857
Xp-5dv,5.310765949853536
Xp-6dv,3.781753346026548
Xp-7dv,2.6846619559375187
Xpc-4d,6.008456820934205
Xpc-5d,9.905019743911136
Xpc-6d,16.1359320666732
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,5
n7Ring,0
n8Ring,0
n9Ring,0
nARing,3
nBonds,76
nFRing,2
nHBAcc,6
nHBDon,2
nHRing,3
nSpiro,0
naRing,2
piPC10,7.059375975384331
AATS0dv,5.694444444444445
AATS0pe,5.997327777777779
AATS0se,7.503419666666665
AATS1dv,5.526315789473684
AATS1pe,6.387434210526315
AATS1se,7.685907789473683
AATS2dv,4.204225352112676
AATS2pe,6.221521126760564
AATS2se,7.640908140845071
AATS3dv,3.448453608247423
AATS3pe,6.069374742268044
AATS3se,7.504927999999998
AATS4dv,2.264705882352941
AATS4pe,5.910571428571429
AATS4se,7.387332789915966
AATS5dv,1.8555555555555556
AATS5pe,5.845224814814815
AATS5se,7.395509022222222
AATS6dv,1.873015873015873
AATS6pe,5.865292857142857
AATS6se,7.405193063492065
AATS7dv,1.7341269841269842
AATS7pe,5.818521825396826
AATS7se,7.366096682539681
AATS8dv,1.7813765182186234
AATS8pe,5.745949392712551
AATS8se,7.318969716599192
AATSC0Z,7.194444444444445
AATSC0c,0.02073236533128546
AATSC0d,0.6041666666666666
AATSC0i,1.372087667563908
AATSC0m,34.30774373070987
AATSC0p,0.22977724769307636
AATSC0s,0.6285793895747598
AATSC0v,51.13982953991803
AATSC1Z,0.5263157894736842
AATSC1c,-0.007298536964003845
AATSC1d,0.3128654970760234
AATSC1i,-0.14671624695653152
AATSC1m,2.484963117974327
AATSC1p,-0.007398123047982072
AATSC1s,-0.004990614396072461
AATSC1v,1.053621647222705
AATSC2Z,0.2992957746478873
AATSC2c,-0.0037193925797186483
AATSC2d,0.04098200312989052
AATSC2i,0.19080280810041356
AATSC2m,1.5715178743370666
AATSC2p,0.03534700515666246
AATSC2s,0.008146831951931083
AATSC2v,6.6966788422834345
AATSC3Z,0.028350515463917526
AATSC3c,0.0032570079442231685
AATSC3d,-0.07295246277205036
AATSC3i,0.007440953039896561
AATSC3m,0.0895985874459048
AATSC3p,-0.0013114079781030145
AATSC3s,0.0941996609534315
AATSC3v,-0.5108294636010192
AATSC4Z,-0.7983193277310925
AATSC4c,-0.0013192119297558355
AATSC4d,-0.07673902894491126
AATSC4i,-0.27889132334436895
AATSC4m,-3.8983713806865343
AATSC4p,-0.044846338170210484
AATSC4s,-0.00316440876762228
AATSC4v,-8.822223142256716
AATSC5Z,-0.2351851851851852
