DLiP-ID,C000UF
MPC10,158
MWC01,29.0
MWC02,4.962844630259907
MWC03,5.84354441703136
MWC04,6.7464121285733745
MWC05,7.644440761556566
MWC06,8.552753366814787
MWC07,9.456809748593889
MWC08,10.367693155666892
MWC09,11.27473172560964
MWC10,12.187190494465735
NaaCH,5
NaaNH,1
NaaSe,0
NaaaC,0
NaasC,10
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.7969200000000023
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.424950017481403
SRW05,2.3978952727983707
SRW06,6.9782137426306985
SRW07,4.727387818712341
SRW08,8.625329850020815
SRW09,6.823286122355687
SRW10,10.32018929257028
SaaCH,8.922978787002506
SaaNH,3.016793902746284
SaaSe,0
SaaaC,0
SaasC,6.184137512302647
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,3.861259749561344
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.49104513283769
VE1_D,5.023592933384972
VE2_A,0.17273250510914193
VE2_D,0.19321511282249892
VE3_A,2.4575968887012642
VE3_D,2.569656846504822
VR1_A,197.21764798370538
VR1_D,159.45177463423175
VR2_A,7.585294153219437
VR2_D,6.132760562855068
VR3_A,6.239819376009707
VR3_D,6.027252968143937
WPath,1593
Xc-3d,1.757050085940234
Xc-4d,0.0
Xc-5d,0.5324489608016301
Xc-6d,0.0
Xp-0d,18.258784066134833
Xp-1d,12.57971869811898
Xp-2d,11.431742424758792
Xp-3d,10.159815381593782
Xp-4d,8.768887797786325
Xp-5d,6.989121518007791
Xp-6d,5.044544261246935
Xp-7d,3.5607820145701217
ZMIC0,85.70109731347644
ZMIC1,45.39695489910467
ZMIC2,29.635987823290627
ZMIC3,26.351579746800354
ZMIC4,24.97279463356065
ZMIC5,24.053604558067516
nAcid,0
nAtom,46
nBase,0
nRing,4
piPC1,3.6506582412937387
piPC2,4.307437777682809
piPC3,4.94787297235994
piPC4,5.566673260683794
piPC5,6.101999154039538
piPC6,6.466144724237619
piPC7,6.878358651089622
piPC8,7.294525895584802
piPC9,7.643969432212078
AATS0Z,23.782608695652176
AATS0d,3.5217391304347827
AATS0i,160.83750937206477
AATS0m,93.95364786956527
AATS0p,1.5144146542821733
AATS0s,4.223429951690821
AATS0v,227.04792125882602
AATS1Z,25.836734693877553
AATS1d,4.163265306122449
AATS1i,146.23666943832444
AATS1m,98.43126720408169
AATS1p,1.8251286028979599
AATS1s,3.3781179138321993
AATS1v,272.9299162730142
AATS2Z,22.626506024096386
AATS2d,3.9397590361445785
AATS2i,151.1925589581619
AATS2m,85.50118643373492
AATS2p,1.6128500814173607
AATS2s,3.131191432396253
AATS2v,238.04168424479496
AATS3Z,20.686274509803923
AATS3d,3.5784313725490198
AATS3i,154.10644553783177
AATS3m,76.79146695098036
AATS3p,1.5048152705033238
AATS3s,3.244825708061001
AATS3v,218.65619279323647
AATS4Z,19.26851851851852
AATS4d,3.3425925925925926
AATS4i,153.73589168117581
AATS4m,69.97705042592592
AATS4p,1.480526195613379
AATS4s,3.425411522633745
AATS4v,208.65898585081342
AATS5Z,16.4
AATS5d,2.975
AATS5i,158.66634773097573
AATS5m,58.711609091666666
AATS5p,1.332281117284425
AATS5s,2.9256944444444435
AATS5v,182.8195300451557
AATS6Z,16.55263157894737
AATS6d,2.9035087719298245
AATS6i,159.4825047138704
AATS6m,59.872864254385966
AATS6p,1.2858172354695356
AATS6s,2.9476120857699804
AATS6v,176.9031933663536
AATS7Z,16.29245283018868
AATS7d,2.688679245283019
AATS7i,161.18591873124984
AATS7m,57.59400011320756
AATS7p,1.2418519206673115
AATS7s,3.259958071278826
AATS7v,173.02113452014422
AATS8Z,13.93939393939394
AATS8d,2.5353535353535355
AATS8i,161.5440725885957
AATS8m,48.01816137373738
AATS8p,1.1742368478109293
AATS8s,2.828002244668912
AATS8v,156.231922881042
AMID_C,1.610793054643718
AMID_N,0.1567687931100744
AMID_O,0.2938798144646943
AMID_X,0.0
AMID_h,0.45064860757476877
ATS0dv,382.0
ATS0pe,292.6675999999999
ATS0se,358.9897359999999
ATS1dv,403.0
ATS1pe,324.62160000000006
ATS1se,386.97763599999985
ATS2dv,578.0
ATS2pe,535.2869999999999
ATS2se,647.82236
ATS3dv,601.0
ATS3pe,658.3335999999998
ATS3se,801.0754600000001
ATS4dv,548.0
ATS4pe,692.7017
ATS4se,842.8259599999998
ATS5dv,515.0
ATS5pe,744.4671000000001
ATS5se,919.0529879999998
ATS6dv,476.0
ATS6pe,703.7747999999999
ATS6se,870.532692
ATS7dv,402.0
ATS7pe,677.3617999999998
ATS7se,835.6056720000001
ATS8dv,288.0
ATS8pe,609.3081000000001
ATS8se,759.239264
ATSC0Z,341.91304347826093
ATSC0c,1.4910566906680789
ATSC0d,29.739130434782616
ATSC0i,67.43383987872778
ATSC0m,1622.3305824347829
ATSC0p,10.554766799162607
ATSC0s,56.30434782608697
ATSC0v,2271.738870629406
ATSC1Z,9.005671077504699
ATSC1c,-0.6582352066357421
ATSC1d,15.930056710775055
ATSC1i,8.719717887220765
ATSC1m,46.48530992816674
ATSC1p,0.7217711509880944
ATSC1s,-8.765017853392143
ATSC1v,154.8190589162902
ATSC2Z,77.06994328922488
ATSC2c,-0.3236548875099272
ATSC2d,6.0793950850661655
ATSC2i,-2.417126561125775
ATSC2m,373.258735389414
ATSC2p,1.4302326835071664
ATSC2s,1.3989182944759504
ATSC2v,528.44552873013
ATSC3Z,5.105860113421498
ATSC3c,0.06473403908987778
ATSC3d,-8.117202268431
ATSC3i,1.1531248972190025
ATSC3m,31.293986296786674
ATSC3p,1.1986866215723493
ATSC3s,-5.61567947910103
ATSC3v,227.95238585222788
ATSC4Z,-148.18714555765598
ATSC4c,0.4290639048536609
ATSC4d,-11.822306238185256
ATSC4i,-28.406522289451637
ATSC4m,-712.5859021947068
ATSC4p,-4.35813021691373
ATSC4s,6.035444234404537
ATSC4v,-1134.643637544118
ATSC5Z,-56.90359168241968
ATSC5c,-0.6100861886056109
ATSC5d,-3.3629489603024565
ATSC5i,-11.588753708369847
ATSC5m,-269.13349796030235
ATSC5p,-1.4455836641279782
ATSC5s,-13.779458097038436
ATSC5v,-340.36350439552535
ATSC6Z,71.30245746691871
ATSC6c,0.5325718897915656
ATSC6d,-7.61436672967864
ATSC6i,-8.517561449452385
ATSC6m,324.1435091398866
ATSC6p,-2.005538987490769
ATSC6s,11.763862633900438
ATSC6v,-97.07756216916255
ATSC7Z,-126.4952741020794
ATSC7c,-0.23372044636905528
ATSC7d,-12.18147448015123
ATSC7i,5.356931474587421
ATSC7m,-595.8074453062383
ATSC7p,-0.9054383648862296
ATSC7s,-21.46581600504096
ATSC7v,-506.59926501472563
ATSC8Z,-94.63894139886578
ATSC8c,0.13335528771492206
ATSC8d,-10.351606805293006
ATSC8i,-10.241340773752206
ATSC8m,-457.4559238487715
ATSC8p,-3.3992793938314425
ATSC8s,4.8160050409577835
ATSC8v,-741.9236463331488
AXp-0d,0.7022609256205705
AXp-1d,0.4337834033834131
AXp-2d,0.2721843434466379
AXp-3d,0.17220026070497937
AXp-4d,0.10961109747232907
AXp-5d,0.06852079919615482
AXp-6d,0.044250388256552066
AXp-7d,0.02739063088130863
GATS1Z,0.785645514563913
GATS1c,1.3206812352094568
GATS1d,0.5867346938775508
GATS1i,1.011897810557147
GATS1m,0.7868354976756442
GATS1p,0.9790241493931143
GATS1s,0.9870282089669842
GATS1v,0.8794294818898051
GATS2Z,0.7555820943999804
GATS2c,0.9862213514467106
GATS2d,1.075618262523779
GATS2i,1.0788891342199725
GATS2m,0.7552090655245863
GATS2p,0.9481840121425321
GATS2s,0.6695003954040096
GATS2v,0.8360241818404508
GATS3Z,0.9167707647657231
GATS3c,0.9691962232252787
GATS3d,1.2832172342621255
GATS3i,1.0267182034808116
GATS3m,0.9144005418735952
GATS3p,0.9492033150532907
GATS3s,0.9574627148156557
GATS3v,0.9070969493755494
GATS4Z,1.0809278569006442
GATS4c,0.8198055219233189
GATS4d,1.2399488304093564
GATS4i,1.2430217925258293
GATS4m,1.085048611608991
GATS4p,1.1677548779129736
GATS4s,0.9650141212641211
GATS4v,1.1630936324666723
GATS5Z,1.004641403865717
GATS5c,0.9950293822947224
GATS5d,1.0592105263157892
GATS5i,1.0956206858831992
GATS5m,1.007146713077933
GATS5p,1.0252236637741856
GATS5s,1.0503740347490345
GATS5v,1.0344981308419694
GATS6Z,0.8704891042458637
GATS6c,0.7035024841594376
GATS6d,1.1348684210526312
GATS6i,1.0620603270183755
GATS6m,0.8768211983403947
GATS6p,1.0495971655426122
GATS6s,0.7474259974259974
GATS6v,1.0045057840861815
GATS7Z,1.1739578734716594
GATS7c,1.2473223313199935
GATS7d,1.1491434955312807
GATS7i,0.9540069312975994
GATS7m,1.1682701302351015
GATS7p,0.9831966378258085
GATS7s,1.4821109856487213
GATS7v,1.0320187269517105
GATS8Z,1.1240231665587717
GATS8c,0.9581834036441155
GATS8d,1.0546251993620412
GATS8i,1.0380227976618515
GATS8m,1.1264955591530164
GATS8p,1.1103227158265419
GATS8s,0.7942942942942941
GATS8v,1.131501776988629
MATS1Z,0.024726472481159223
MATS1c,-0.4144276309620981
MATS1d,0.5028643036161835
MATS1i,0.12139094589797467
MATS1m,0.026899123407583225
MATS1p,0.06419668889067198
MATS1s,-0.14614118491669506
MATS1v,0.06397757370026787
MATS2Z,0.1249249286055717
MATS2c,-0.1203005888506478
MATS2d,0.11329528640879309
MATS2i,-0.019865579557600634
MATS2m,0.1275117965000858
MATS2p,0.07509962964499313
MATS2s,0.013769880034940275
MATS2v,0.12892037432107398
MATS3Z,0.006734586001236639
MATS3c,0.019579257125073007
MATS3d,-0.12309368191721128
MATS3i,0.0077118064059364805
MATS3m,0.00869919754030383
MATS3p,0.0512170636221704
MATS3s,-0.044979853803383214
MATS3v,0.04525258501046291
MATS4Z,-0.18459882822802456
MATS4c,0.12256371075623333
MATS4d,-0.16931990470002162
MATS4i,-0.17942140519105795
MATS4m,-0.18708197544950292
MATS4p,-0.17586751874915957
MATS4s,0.04565637065637065
MATS4v,-0.21273313943122507
MATS5Z,-0.0637970498474059
MATS5c,-0.15684606344111032
MATS5d,-0.04334795321637424
MATS5i,-0.06587724495887408
MATS5m,-0.063592366439859
MATS5p,-0.05250143514552647
MATS5s,-0.09381381381381379
MATS5v,-0.057432955156858645
MATS6Z,0.08414761471328369
MATS6c,0.14412425131726825
MATS6d,-0.1033138401559454
MATS6i,-0.05096715190008827
MATS6m,0.08062151494781268
MATS6p,-0.07667176255983112
MATS6s,0.08430648693806583
MATS6v,-0.017243024010927414
MATS7Z,-0.16055010652795637
MATS7c,-0.06802280202990792
MATS7d,-0.17775571002979143
MATS7i,0.03447388011411085
MATS7m,-0.15937439062206576
MATS7p,-0.03722735806027758
MATS7s,-0.16544644374833054
MATS7v,-0.09677387084638127
MATS8Z,-0.128610623015506
MATS8c,0.04155647693776662
MATS8d,-0.16173430208517922
MATS8i,-0.07056698524541188
MATS8m,-0.13101847431669106
MATS8p,-0.14964453338890144
MATS8s,0.03974363974363975
MATS8v,-0.15174816250373016
MAXaaN,4.329760487528345
MAXsOH,10.38495783480722
MAXssO,5.685524169927128
MINaaN,4.329760487528345
MINsOH,9.9703955492698
MINssO,5.587257543526032
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.05341363691796
SpAD_D,253.40277039495442
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.7236011299953606
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1052
TMWC10,132.03642042857214
TSRW10,75.3747895604753
VE1_Dt,5.0401292054043045
VE2_Dt,0.19385112328478094
VE3_Dt,2.5729431627750348
VR1_Dt,156.6581829813044
VR2_Dt,6.0253147300501695
VR3_Dt,6.00957769841404
Xc-3dv,0.7413181635443301
Xc-4dv,0.0
Xc-5dv,0.14132648150038016
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.4142664266089148
Xch-7d,0.7289419924794518
Xp-0dv,14.666209056935374
Xp-1dv,8.583420332525066
Xp-2dv,6.269077551248931
Xp-3dv,4.625263917466058
Xp-4dv,3.2849263573795047
Xp-5dv,2.195012125544042
Xp-6dv,1.2883230935043124
Xp-7dv,0.7754066291916298
Xpc-4d,4.625550078699604
Xpc-5d,7.752884043278029
Xpc-6d,12.030694680166539
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,49
nFRing,1
nHBAcc,5
nHBDon,3
nHRing,2
nSpiro,0
naRing,3
piPC10,7.888882339207393
AATS0dv,8.304347826086957
AATS0pe,6.36233913043478
AATS0se,7.804124695652171
AATS1dv,8.224489795918368
AATS1pe,6.624930612244899
AATS1se,7.897502775510201
AATS2dv,6.963855421686747
AATS2pe,6.449240963855421
AATS2se,7.805088674698795
AATS3dv,5.892156862745098
AATS3pe,6.454250980392155
AATS3se,7.853680980392158
AATS4dv,5.074074074074074
AATS4pe,6.413904629629629
AATS4se,7.803944074074072
AATS5dv,4.291666666666667
AATS5pe,6.2038925
AATS5se,7.658774899999998
AATS6dv,4.175438596491228
AATS6pe,6.173463157894736
AATS6se,7.636251684210526
AATS7dv,3.792452830188679
AATS7pe,6.390205660377356
AATS7se,7.883072377358492
AATS8dv,2.909090909090909
AATS8pe,6.154627272727273
AATS8se,7.669083474747476
AATSC0Z,7.432892249527412
AATSC0c,0.03241427588408867
AATSC0d,0.6465028355387525
AATSC0i,1.4659530408419084
AATSC0m,35.26805613988658
AATSC0p,0.22945145215570886
AATSC0s,1.2240075614366732
AATSC0v,49.38562762237839
AATSC1Z,0.1837892056633612
AATSC1c,-0.013433371563994736
AATSC1d,0.3251031981790828
AATSC1i,0.17795342626981153
AATSC1m,0.9486797944523825
AATSC1p,0.014730023489552947
AATSC1s,-0.17887791537534986
AATSC1v,3.159572630944698
AATSC2Z,0.928553533605119
AATSC2c,-0.0038994564760232195
AATSC2d,0.07324572391645982
AATSC2i,-0.029122006760551503
AATSC2m,4.49709319746282
AATSC2p,0.017231719078399595
AATSC2s,0.016854437282842777
AATSC2v,6.366813599158193
AATSC3Z,0.05005745209236762
AATSC3c,0.0006346474420576253
AATSC3d,-0.07958041439638236
AATSC3i,0.011305146051166691
AATSC3m,0.30680378722339874
AATSC3p,0.011751829623258327
AATSC3s,-0.055055681167657154
AATSC3v,2.2348273122767437
AATSC4Z,-1.3721031996079258
AATSC4c,0.003972813933830193
AATSC4d,-0.10946579850171533
AATSC4i,-0.2630233545319596
AATSC4m,-6.598017612913952
AATSC4p,-0.04035305756401602
AATSC4s,0.05588374291115312
AATSC4v,-10.505959606889983
AATSC5Z,-0.47419659735349734
