DLiP-ID,T002CD
JGI6,0.020197180321403926
JGI7,0.012335526315789472
JGI8,0.007267864410721553
JGI9,0.005665509259259257
MIC0,31.608309027515286
MIC1,47.75742092158781
MIC2,54.0454108373637
MIC3,55.221656249999995
MIC4,55.28465624999998
MIC5,55.28465624999998
MPC2,28
MPC3,34
MPC4,40
MPC5,41
MPC6,38
MPC7,38
MPC8,34
MPC9,29
Mare,1.0018749999999998
NaaN,0
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,1
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2575698272361261
RPCG,0.17508634133429454
SIC0,0.36826620987735126
SIC1,0.7380240814944148
SIC2,0.8780639062229566
SIC3,0.975
SIC4,0.9875
SIC5,0.9875
SaaN,0
SaaO,0
SaaS,1.470814121945074
Sare,32.059999999999995
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,3.278281984861846
SsCl,0
SsLi,0
SsOH,9.215349151234568
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,58.9225935803762
TIC1,118.08385303910636
TIC2,140.49022499567306
TIC3,156.0
TIC4,158.0
TIC5,158.0
Vabc,260.89220678508343
WPol,26
apol,40.83751599999999
bpol,18.184483999999998
nRot,5
ABCGG,13.708173903643607
ATS0Z,2238.0
ATS0d,110.0
ATS0i,5008.622407408588
ATS0m,10408.483330000001
ATS0p,65.232066858188
ATS0s,199.72059327846364
ATS0v,8494.913761272554
ATS1Z,1173.0
ATS1d,135.0
ATS1i,4716.06472445245
ATS1m,4669.590885999999
ATS1p,71.130903386
ATS1s,114.09567901234568
ATS1v,9923.557546469181
ATS2Z,1794.0
ATS2d,196.0
ATS2i,7744.45685526028
ATS2m,7113.713411
ATS2p,105.213683724849
ATS2s,199.0895061728395
ATS2v,14048.103431964659
ATS3Z,1933.0
ATS3d,207.0
ATS3i,10705.284748549911
ATS3m,7510.406961999999
ATS3p,111.21890067279199
ATS3s,229.16666666666666
ATS3v,14354.95327381885
ATS4Z,2075.0
ATS4d,187.0
ATS4i,10625.561624411923
ATS4m,8144.901032
ATS4p,98.940979236792
ATS4s,254.00154320987656
ATS4v,13350.077701012613
ATS5Z,1709.0
ATS5d,172.0
ATS5i,9676.707461732622
ATS5m,6487.072989
ATS5p,89.91401185249
ATS5s,295.9259259259259
ATS5v,12382.125003405245
ATS6Z,1654.0
ATS6d,156.0
ATS6i,8672.728896057524
ATS6m,6433.320414999998
ATS6p,88.317242203094
ATS6s,228.1466049382716
ATS6v,12038.22293020026
ATS7Z,1780.0
ATS7d,132.0
ATS7i,8475.652814462042
ATS7m,7093.768862
ATS7p,81.43045402079198
ATS7s,213.12345679012344
ATS7v,10719.837559957108
ATS8Z,1495.0
ATS8d,99.0
ATS8i,6565.548096960423
ATS8m,6060.913648999999
ATS8p,71.034485534792
ATS8s,130.62534293552812
ATS8v,8285.655919921164
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,8
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.14285714285714285
GGI10,0.004691358024691353
JGI10,0.0023456790123456764
JGT10,0.43627696078472133
Kier1,16.3718820861678
Kier2,7.8520408163265305
Kier3,4.764705882352941
MAXdO,12.107807067271352
MID_C,28.842231753996874
MID_N,2.0176423762805187
MID_O,5.196939910299436
MID_X,1.7676849189869213
MID_h,10.985923632107403
MINdO,11.255646927752583
MPC10,26
MWC01,21.0
MWC02,4.59511985013459
MWC03,5.407171771460119
MWC04,6.251903883165888
MWC05,7.0825485693553
MWC06,7.9291264873067995
MWC07,8.765770543987257
MWC08,9.612667227583843
MWC09,10.451753459275963
MWC10,11.298754043454222
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.936300000000001
SRW02,3.7612001156935624
SRW03,0.0
SRW04,5.043425116919247
SRW05,2.3978952727983707
SRW06,6.502790045915623
SRW07,4.442651256490317
SRW08,8.043984431221553
SRW09,6.259581464064923
SRW10,9.628590074443766
SaaCH,12.492951835055008
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.979184578924163
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.4442271352985627
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.5500462962962964
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.088283537574683
VE1_D,4.412620535454759
VE2_A,0.20441417687873414
VE2_D,0.22063102677273796
VE3_A,2.101272389562686
VE3_D,2.1776159192632054
VR1_A,109.08948691904027
VR1_D,100.8347725373151
VR2_A,5.454474345952013
VR2_D,5.041738626865755
VR3_A,5.3853157068772255
VR3_D,5.306630442358212
WPath,847
Xc-3d,1.3116114295109174
Xc-4d,0.0
Xc-5d,0.35911675639654195
Xc-6d,0.0
Xp-0d,14.535169427003234
Xp-1d,9.575387400469408
Xp-2d,8.528862995476286
Xp-3d,6.636898116118399
Xp-4d,5.157413141349966
Xp-5d,3.481296226822596
Xp-6d,2.056531920054549
Xp-7d,1.3669699340710655
ZMIC0,66.94370973451524
ZMIC1,42.74447019240367
ZMIC2,30.9044171866887
ZMIC3,28.1875
ZMIC4,28.0
ZMIC5,28.0
nAcid,1
nAtom,32
nBase,0
nRing,2
piPC1,3.3843902633457743
piPC2,3.907010463604602
piPC3,4.358310108056566
piPC4,4.799399727137659
piPC5,5.003526754858961
piPC6,4.963718374308504
piPC7,5.1447654657501625
piPC8,5.1844135158651365
piPC9,5.178089939549877
AATS0Z,69.9375
AATS0d,3.4375
AATS0i,156.51945023151836
AATS0m,325.26510406250003
AATS0p,2.038502089318375
AATS0s,6.241268539951989
AATS0v,265.4660550397673
AATS1Z,35.54545454545455
AATS1d,4.090909090909091
AATS1i,142.91105225613484
AATS1m,141.5027541212121
AATS1p,2.155481920787879
AATS1s,3.45744481855593
AATS1v,300.7138650445206
AATS2Z,33.84905660377358
AATS2d,3.69811320754717
AATS2i,146.12182745774112
AATS2m,134.22100775471696
AATS2p,1.9851638438650756
AATS2s,3.756405776846028
AATS2v,265.0585553200879
AATS3Z,28.014492753623188
AATS3d,3.0
AATS3i,155.1490543268103
AATS3m,108.84647771014491
AATS3p,1.6118681256926375
AATS3s,3.3212560386473426
AATS3v,208.04280106983842
AATS4Z,30.970149253731343
AATS4d,2.791044776119403
AATS4i,158.5904720061481
AATS4m,121.56568704477611
AATS4p,1.4767310333849553
AATS4s,3.791067809102635
AATS4v,199.25489105988976
AATS5Z,28.016393442622952
AATS5d,2.819672131147541
AATS5i,158.6345485529938
AATS5m,106.34545883606557
AATS5p,1.474000194303115
AATS5s,4.8512446873102615
AATS5v,202.9856557935286
AATS6Z,29.535714285714285
AATS6d,2.7857142857142856
AATS6i,154.87015885817007
AATS6m,114.88072169642854
AATS6p,1.5770936107695357
AATS6s,4.07404651675485
AATS6v,214.96826661071893
AATS7Z,32.96296296296296
AATS7d,2.4444444444444446
AATS7i,156.95653360114895
AATS7m,131.36609003703703
AATS7p,1.5079713707554072
AATS7s,3.946730681298582
AATS7v,198.51551036957608
AATS8Z,35.595238095238095
AATS8d,2.357142857142857
AATS8i,156.32257373715294
AATS8m,144.3074678333333
AATS8p,1.6912972746379047
AATS8s,3.11012721275067
AATS8v,197.27752190288487
AMID_C,1.4421115876998436
AMID_N,0.10088211881402594
AMID_O,0.2598469955149718
AMID_X,0.08838424594934606
AMID_h,0.5492961816053701
ATS0dv,269.5116598079561
ATS0pe,209.2754
ATS0se,255.55138599999998
ATS1dv,240.7037037037037
ATS1pe,217.41449999999998
ATS1se,259.675362
ATS2dv,323.14814814814815
ATS2pe,344.85769999999997
ATS2se,415.83243000000004
ATS3dv,304.5925925925926
ATS3pe,441.5082
ATS3se,542.962652
ATS4dv,307.7037037037037
ATS4pe,442.2555
ATS4se,542.792418
ATS5dv,343.77777777777777
ATS5pe,403.6536
ATS5se,495.33292800000004
ATS6dv,278.22222222222223
ATS6pe,367.06719999999996
ATS6se,449.471232
ATS7dv,197.55555555555557
ATS7pe,351.4228
ATS7se,433.981662
ATS8dv,109.9506172839506
ATS8pe,260.6503
ATS8se,326.56130900000005
ATSC0Z,1247.875
ATSC0c,0.8635766585598823
ATSC0d,18.875
ATSC0i,48.85176018496996
ATSC0m,6487.533594875
ATSC0p,13.116357075367498
ATSC0s,81.9875016075103
ATSC0v,1717.6162901306461
ATSC1Z,-8.68359375
ATSC1c,-0.5779765255977574
ATSC1d,2.84765625
ATSC1i,5.06131973288313
ATSC1m,-38.56061771484373
ATSC1p,1.2913139719631395
ATSC1s,-6.54732836813593
ATSC1v,126.91092933522182
ATSC2Z,-20.41796875
ATSC2c,0.14383456419016288
ATSC2d,-5.76171875
ATSC2i,-6.365598689485093
ATSC2m,-84.70962782421874
ATSC2p,-0.6084210571322981
ATSC2s,21.864372766230503
ATSC2v,-318.21967166971956
ATSC3Z,-204.04296875
ATSC3c,0.20530997149290534
ATSC3d,-4.88671875
ATSC3i,-10.194215627304429
ATSC3m,-927.0595715117189
ATSC3p,-2.835877603863422
ATSC3s,-4.491850174012992
ATSC3v,-404.5333308072687
ATSC4Z,-135.05078125
ATSC4c,-0.42331842550549403
ATSC4d,-0.20703125
ATSC4i,-15.474394546505351
ATSC4m,-700.1445060820313
ATSC4p,-3.101892602096327
ATSC4s,-35.16349091287831
ATSC4v,-315.3084173457088
ATSC5Z,-113.76171875
ATSC5c,0.31851272687744936
ATSC5d,-0.23046875
ATSC5i,-0.5127128336447306
ATSC5m,-637.5232701054688
ATSC5p,-1.3297135564036715
ATSC5s,27.168597437226722
ATSC5v,125.53037995379397
ATSC6Z,-89.84375
ATSC6c,-0.11900824504447377
ATSC6d,-5.15625
ATSC6i,-4.058502204151746
ATSC6m,-450.45810784375
ATSC6p,-1.54733759851175
ATSC6s,-15.24511651770405
ATSC6v,-143.15693365423235
ATSC7Z,-42.4140625
ATSC7c,0.06238072463513048
ATSC7d,0.5859375
ATSC7i,1.118876807299106
ATSC7m,-275.0627836015624
ATSC7p,-1.0725468115135306
ATSC7s,-24.483953865794327
ATSC7v,-62.70248925837569
ATSC8Z,224.6640625
ATSC8c,-0.015455992305935123
ATSC8d,0.9140625
ATSC8i,11.89646537430636
ATSC8m,1050.0475808515628
ATSC8p,5.0843203270890305
ATSC8s,-14.626238285268776
ATSC8v,302.3524683588084
AXp-0d,0.7267584713501617
AXp-1d,0.45597082859378135
AXp-2d,0.3046022498384388
AXp-3d,0.1952028857681882
AXp-4d,0.12893532853374917
AXp-5d,0.08490966406884382
AXp-6d,0.05411926105406708
AXp-7d,0.03597289300187014
GATS1Z,0.5231924574807476
GATS1c,1.5964860471368119
GATS1d,0.9456150913104556
GATS1i,0.9190235692496094
GATS1m,0.5121157470715069
GATS1p,0.6485360265971538
GATS1s,0.6663291509324916
GATS1v,0.7255136172714188
GATS2Z,0.6583191425423219
GATS2c,0.7521560627283314
GATS2d,1.317006122703986
GATS2i,1.103610010035156
GATS2m,0.6439605115906111
GATS2p,0.869296431484609
GATS2s,0.4615043579908392
GATS2v,0.9709247722298524
GATS3Z,1.0030501127278693
GATS3c,0.8699156009084874
GATS3d,1.190133410116134
GATS3i,1.1102689712923035
GATS3m,0.9887015036118817
GATS3p,1.0682964291043144
GATS3s,0.8951021519451466
GATS3v,1.0681692880710185
GATS4Z,1.1301361568397619
GATS4c,1.4348385479621588
GATS4d,1.0540674112879311
GATS4i,1.1329348076196792
GATS4m,1.1409075140707179
GATS4p,1.0674105594331995
GATS4s,1.469265453832594
GATS4v,1.0190708542895102
GATS5Z,0.8831209777933963
GATS5c,1.056366003542407
GATS5d,1.0635110194332864
GATS5i,1.0132858820256545
GATS5m,0.8769919314242572
GATS5p,0.984153617021713
GATS5s,1.163613946033894
GATS5v,0.8861949000628953
GATS6Z,0.8909932599705213
GATS6c,1.2764135454791146
GATS6d,1.1438032166508987
GATS6i,1.001569332376609
GATS6m,0.8872375195871739
GATS6p,0.9690776162096644
GATS6s,1.3173959309981096
GATS6v,0.9623007638811776
GATS7Z,1.2945563012677106
GATS7c,1.0258274266059737
GATS7d,0.8972283541819965
GATS7i,0.8611915671403603
GATS7m,1.3219325954594836
GATS7p,1.075827957156506
GATS7s,1.493019248911337
GATS7v,1.0134789784400982
GATS8Z,1.0084763144965487
GATS8c,0.8382701186355517
GATS8d,0.7625354777672658
GATS8i,0.7547144893462427
GATS8m,1.0151407840015954
GATS8p,0.8530867451409805
GATS8s,1.121180891131885
GATS8v,0.9367455532299434
MATS1Z,-0.0067478349557884764
MATS1c,-0.649000965777336
MATS1d,0.14629741119807343
MATS1i,0.1004661119489049
MATS1m,-0.005763687170308629
MATS1p,0.09546730379059384
MATS1s,-0.07743771128172586
MATS1v,0.07164879857330081
MATS2Z,-0.00987905855047921
MATS2c,0.1005625957969498
MATS2d,-0.18430588529301511
MATS2i,-0.07867434717334232
MATS2m,-0.007883648680887992
MATS2p,-0.028006904713408526
MATS2s,0.16101394075864142
MATS2v,-0.11186004293014402
MATS3Z,-0.07583181263219937
MATS3c,0.11025798082843144
MATS3d,-0.12006910452058739
MATS3i,-0.0967775195219339
MATS3m,-0.06627182188091599
MATS3p,-0.10027095220332628
MATS3s,-0.02540846899163293
MATS3v,-0.10922675905103958
MATS4Z,-0.05168936445689015
MATS4c,-0.23412158326158425
MATS4d,-0.005238707126618562
MATS4i,-0.15128944333463237
MATS4m,-0.05154460800069617
MATS4p,-0.11295064138403717
MATS4s,-0.20484223562473233
MATS4v,-0.08767677965459963
MATS5Z,-0.04782392362097533
MATS5c,0.1934844370232084
MATS5d,-0.006405384865921181
MATS5i,-0.005505719925639949
MATS5m,-0.051550937176007526
MATS5p,-0.05318204197487409
MATS5s,0.173835995780089
MATS5v,0.0383391814441296
MATS6Z,-0.041141368898556116
MATS6c,-0.078747741477162
MATS6d,-0.15610217596972564
MATS6i,-0.04747309222589001
MATS6m,-0.039676809266454525
MATS6p,-0.06741147014789639
MATS6s,-0.10625394093208647
MATS6v,-0.047626447512273275
MATS7Z,-0.020141648209363327
MATS7c,0.04280610756777796
MATS7d,0.01839587932303164
MATS7i,0.013572450726823436
MATS7m,-0.025125136644988083
MATS7p,-0.04845730350733943
MATS7s,-0.1769661157343941
MATS7v,-0.02163290537306431
MATS8Z,0.13717128642501775
MATS8c,-0.013636304340940866
MATS8d,0.036896877956480605
MATS8i,0.18554036915353175
MATS8m,0.12331901490412182
MATS8p,0.29533870159216996
MATS8s,-0.13592072425438093
MATS8v,0.13411830496711982
MAXaaS,1.470814121945074
MAXsBr,3.278281984861846
MAXsOH,9.215349151234568
MINaaS,1.470814121945074
MINsBr,3.278281984861846
MINsOH,9.215349151234568
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,24.956060692151254
SpAD_D,174.4821879288357
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.28094505857898744
SssNH2,0
SsssAs,0
SsssCH,-0.9367998866213159
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,349
TMWC10,112.39481583572399
TSRW10,66.08011777754736
VE1_Dt,4.3855608077755
VE2_Dt,0.219278040388775
VE3_Dt,2.1714646905156894
VR1_Dt,102.19988806985194
VR2_Dt,5.109994403492597
VR3_Dt,5.320077763122021
Xc-3dv,0.8114398749990452
Xc-4dv,0.0
Xc-5dv,0.11519699992571514
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.1853954059492991
Xch-7d,0.19037142086468112
Xp-0dv,12.778324994646761
Xp-1dv,7.555158831856017
Xp-2dv,6.014201235912637
Xp-3dv,4.297531084887465
Xp-4dv,2.9281306133191025
Xp-5dv,1.5666430405871592
Xp-6dv,0.8566627035078843
Xp-7dv,0.46628170128217167
Xpc-4d,2.872803160681395
Xpc-5d,3.9232877450699895
Xpc-6d,5.3739646865816235
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,33
nFRing,0
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,5.340238756511593
AATS0dv,8.422239368998628
AATS0pe,6.53985625
AATS0se,7.985980812499999
AATS1dv,7.2940516273849605
AATS1pe,6.588318181818181
AATS1se,7.868950363636364
AATS2dv,6.097134870719777
AATS2pe,6.506749056603773
AATS2se,7.845894905660378
AATS3dv,4.414385399892646
AATS3pe,6.398669565217391
AATS3se,7.869023942028986
AATS4dv,4.592592592592593
AATS4pe,6.600828358208955
AATS4se,8.101379373134328
AATS5dv,5.6357012750455375
AATS5pe,6.617272131147541
AATS5se,8.12021193442623
AATS6dv,4.968253968253968
AATS6pe,6.554771428571428
AATS6se,8.026272
AATS7dv,3.6584362139917697
AATS7pe,6.507829629629629
AATS7se,8.036697444444444
AATS8dv,2.617871840094062
AATS8pe,6.205959523809524
AATS8se,7.775269261904763
AATSC0Z,38.99609375
AATSC0c,0.026986770579996322
AATSC0d,0.58984375
AATSC0i,1.5266175057803113
AATSC0m,202.73542483984374
AATSC0p,0.4098861586052343
AATSC0s,2.5621094252346968
AATSC0v,53.67550906658269
AATSC1Z,-0.26313920454545453
AATSC1c,-0.01751444016962901
AATSC1d,0.08629261363636363
AATSC1i,0.15337332523888272
AATSC1m,-1.1685035671164767
AATSC1p,0.039130726423125435
AATSC1s,-0.19840388994351302
AATSC1v,3.8457857374309645
AATSC2Z,-0.3852446933962264
AATSC2c,0.0027138597017011866
AATSC2d,-0.10871167452830188
AATSC2i,-0.12010563565066214
AATSC2m,-1.5982948646079007
AATSC2p,-0.011479642587401851
AATSC2s,0.4125353352118963
AATSC2v,-6.004144748485275
AATSC3Z,-2.957144474637681
AATSC3c,0.002975506833230512
AATSC3d,-0.07082201086956522
AATSC3i,-0.14774225546818012
AATSC3m,-13.435645963937954
AATSC3p,-0.041099675418310465
AATSC3s,-0.06509927788424626
AATSC3v,-5.862801895757518
AATSC4Z,-2.015683302238806
AATSC4c,-0.006318185455305881
AATSC4d,-0.0030900186567164177
AATSC4i,-0.23096111263440822
AATSC4m,-10.449918001224347
AATSC4p,-0.0462969045089004
AATSC4s,-0.5248282225802733
AATSC4v,-4.7060957812792354
AATSC5Z,-1.8649462090163935
AATSC5c,0.005221520112745071
AATSC5d,-0.0037781762295081966
AATSC5i,-0.00840512842040542
AATSC5m,-10.45120114926998
AATSC5p,-0.02179858289186347
