DLiP-ID,C100PN
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,343.99088762800034
MZ,0.9555555555555557
Mi,1.1166561192863425
Mm,0.9578886021147279
Mp,0.7671684031936131
Mv,0.7396142275595357
SZ,28.66666666666667
Si,33.49968357859027
Sm,28.736658063441837
Sp,23.015052095808393
Sv,22.18842682678607
nB,0
nC,14
nF,0
nH,9
nI,0
nN,4
nO,2
nP,0
nS,0
nX,1
ABC,16.47030502295449
AMW,11.466362920933344
IC0,1.845814131548943
IC1,3.0892464285091585
IC2,3.9735572622751856
IC3,4.773557262275185
IC4,4.906890595608519
IC5,4.906890595608519
MID,42.86804489553891
Mpe,1.0130718954248368
Mse,1.0327142510318037
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,81.14940000000001
SdO,10.807740613896819
SdS,0
Spe,30.392156862745104
SsF,0
SsI,0
Sse,30.98142753095411
StN,0
fMF,0.5666666666666667
nBr,1
nCl,0
AMID,2.0413354712161387
BIC0,0.3445256583525264
BIC1,0.5766152947925285
BIC2,0.7416740441996779
BIC3,0.8909959731908325
BIC4,0.915882961356025
BIC5,0.915882961356025
CIC0,3.0610764640595756
CIC1,1.8176441670993602
CIC2,0.9333333333333331
CIC3,0.13333333333333375
CIC4,0.0
CIC5,0.0
GGI1,4.5
GGI2,2.4444444444444455
GGI3,1.0
GGI4,1.0244444444444443
GGI5,0.7572222222222222
GGI6,0.2596371882086168
GGI7,0.2135770975056689
GGI8,0.15570672713529854
GGI9,0.10000000000000003
JGI1,0.19565217391304343
JGI2,0.07638888888888892
JGI3,0.03333333333333333
JGI4,0.037942386831275716
JGI5,0.03155092592592593
JGI6,0.012981859410430839
JGI7,0.013348568594104306
JGI8,0.011121909081092755
JGI9,0.008333333333333335
MIC0,29.353640374703158
MIC1,45.08663902682564
MIC2,54.04689101392846
MIC3,56.32035768059512
MIC4,56.45475768059512
MIC5,56.45475768059512
MPC2,32
MPC3,41
MPC4,52
MPC5,63
MPC6,66
MPC7,72
MPC8,76
MPC9,80
Mare,1.0242666666666664
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,1
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.20645767095099862
RPCG,0.2154848842853175
SIC0,0.3761677778593386
SIC1,0.629573121372202
SIC2,0.8097912893821942
SIC3,0.9728273270545991
SIC4,1.0
SIC5,1.0
SaaN,8.122413076341648
SaaO,0
SaaS,0
Sare,30.727999999999994
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,3.400126876565594
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,55.37442394646829
TIC1,92.67739285527476
TIC2,119.20671786825557
TIC3,143.20671786825554
TIC4,147.20671786825557
TIC5,147.20671786825557
Vabc,238.0538603092128
WPol,30
apol,38.435137
bpol,13.284862999999998
nRot,3
ABCGG,13.39531149271749
ATS0Z,2062.0
ATS0d,119.0
ATS0i,4794.808546763242
ATS0m,9710.211683999996
ATS0p,58.47502414364101
ATS0s,197.80049725651577
ATS0v,8318.437033913817
ATS1Z,1146.0
ATS1d,146.0
ATS1i,4759.216478366097
ATS1m,4601.928822000002
ATS1p,65.69239879000001
ATS1s,123.66358024691358
ATS1v,9737.25899254729
ATS2Z,1734.0
ATS2d,212.0
ATS2i,7435.4492709881015
ATS2m,6966.492173999998
ATS2p,97.37500956999995
ATS2s,225.48148148148152
ATS2v,14180.641014580964
ATS3Z,1778.0
ATS3d,222.0
ATS3i,9637.262312259596
ATS3m,6906.16908
ATS3p,104.52466891939599
ATS3s,217.70061728395063
ATS3v,14575.963899311453
ATS4Z,1698.0
ATS4d,195.0
ATS4i,9859.838684490596
ATS4m,6630.488613000001
ATS4p,90.169615093094
ATS4s,235.87962962962968
ATS4v,12866.440388105648
ATS5Z,1543.0
ATS5d,172.0
ATS5i,8611.661028910295
ATS5m,6081.097889999999
ATS5p,76.98761384109399
ATS5s,201.50000000000003
ATS5v,11091.657544186526
ATS6Z,1360.0
ATS6d,136.0
ATS6i,6526.675904888098
ATS6m,5415.457126
ATS6p,64.337893021698
ATS6s,185.9228395061729
ATS6v,9213.683516770765
ATS7Z,941.0
ATS7d,110.0
ATS7i,5373.808494791598
ATS7m,3676.8194510000003
ATS7p,54.75646609169801
ATS7s,161.55246913580248
ATS7v,7769.014269149551
ATS8Z,976.0
ATS8d,101.0
ATS8i,4797.798298367597
ATS8m,3967.9344760000004
ATS8p,56.21895195939598
ATS8s,95.37037037037035
ATS8v,7457.876755055384
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.08264462809917356
JGI10,0.010330578512396695
JGT10,0.43098395782382526
Kier1,15.879017013232515
Kier2,7.05078125
Kier3,3.8548483045806066
MAXdO,10.807740613896819
MID_C,29.308338289759863
MID_N,8.374374934848102
MID_O,3.420523216899408
MID_X,1.7648084540315305
MID_h,13.559706605779041
MINdO,10.807740613896819
MPC10,81
MWC01,23.0
MWC02,4.709530201312334
MWC03,5.54907608489522
MWC04,6.418364935936212
MWC05,7.277247726631484
MWC06,8.149312843635345
MWC07,9.015419779605713
MWC08,9.889033595565978
MWC09,10.758859869440865
MWC10,11.633646402984292
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,1
NdCH2,0
NddsN,1
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.6050000000000013
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.1647859739235145
SRW05,2.3978952727983707
SRW06,6.665683717782408
SRW07,4.59511985013459
SRW08,8.246695943718557
SRW09,6.6052979209482015
SRW10,9.868740816206293
SaaCH,15.685291200068438
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.064428388862688
SaasN,1.623935185185185
SdCH2,0
SddsN,-0.4283426214838544
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.131386234674879
VE1_D,4.516932094705322
VE2_A,0.19673267784166087
VE2_D,0.21509200450977725
VE3_A,2.1605503454267883
VE3_D,2.249770368015725
VR1_A,131.1895503300764
VR1_D,113.17588581507577
VR2_A,6.247121444289353
VR2_D,5.389327895955989
VR3_A,5.618580571192967
VR3_D,5.470880464970853
WPath,981
Xc-3d,1.4553418012614794
Xc-4d,0.0
Xc-5d,0.3333333333333333
Xc-6d,0.0
Xp-0d,14.819626477379408
Xp-1d,10.131030293135234
Xp-2d,9.295851298250028
Xp-3d,7.522175039664814
Xp-4d,6.118660342869355
Xp-5d,4.782515465857865
Xp-6d,3.2172513641316174
Xp-7d,2.2685616038490344
ZMIC0,68.53605272790875
ZMIC1,49.07051024944719
ZMIC2,33.21788100311156
ZMIC3,28.520424827569972
ZMIC4,28.13283941482217
ZMIC5,28.13283941482217
nAcid,0
nAtom,30
nBase,0
nRing,3
piPC1,3.5115454388310208
piPC2,4.131158535344817
piPC3,4.721841492791785
piPC4,5.307339048518494
piPC5,5.804381673212317
piPC6,6.101439400316553
piPC7,6.521173257875474
piPC8,6.880384082186005
piPC9,7.253779959672162
AATS0Z,68.73333333333333
AATS0d,3.966666666666667
AATS0i,159.82695155877474
AATS0m,323.6737227999999
AATS0p,1.9491674714547003
AATS0s,6.593349908550525
AATS0v,277.2812344637939
AATS1Z,35.8125
AATS1d,4.5625
AATS1i,148.72551494894054
AATS1m,143.81027568750005
AATS1p,2.0528874621875004
AATS1s,3.8644868827160495
AATS1v,304.2893435171028
AATS2Z,34.68
AATS2d,4.24
AATS2i,148.70898541976203
AATS2m,139.32984347999997
AATS2p,1.947500191399999
AATS2s,4.5096296296296305
AATS2v,283.6128202916193
AATS3Z,28.677419354838708
AATS3d,3.5806451612903225
AATS3i,155.43971471386445
AATS3m,111.38982387096773
AATS3p,1.6858817567644515
AATS3s,3.511300278773397
AATS3v,235.09619192437827
AATS4Z,27.83606557377049
AATS4d,3.19672131147541
AATS4i,161.63669974574748
AATS4m,108.69653463934428
AATS4p,1.4781904113621966
AATS4s,3.866879174256224
AATS4v,210.92525226402702
AATS5Z,29.673076923076923
AATS5d,3.3076923076923075
AATS5i,165.6088659405826
AATS5m,116.94419019230767
AATS5p,1.4805310354056536
AATS5s,3.8750000000000004
AATS5v,213.30110661897166
AATS6Z,34.0
AATS6d,3.4
AATS6i,163.16689762220244
AATS6m,135.38642815
AATS6p,1.6084473255424498
AATS6s,4.6480709876543225
AATS6v,230.34208791926912
AATS7Z,27.676470588235293
AATS7d,3.235294117647059
AATS7i,158.0531910232823
AATS7m,108.14174855882354
AATS7p,1.6104842968146473
AATS7s,4.7515432098765435
AATS7v,228.50041968086916
AATS8Z,30.5
AATS8d,3.15625
AATS8i,149.93119682398742
AATS8m,123.99795237500001
AATS8p,1.7568422487311244
AATS8s,2.9803240740740735
AATS8v,233.05864859548075
AMID_C,1.3956351566552316
AMID_N,0.3987797588022906
AMID_O,0.16288205794759086
AMID_X,0.08403849781102526
AMID_h,0.6457003145609067
ATS0dv,337.06721536351165
ATS0pe,203.99020000000002
ATS0se,243.9053370000001
ATS1dv,334.03703703703707
ATS1pe,219.47940000000006
ATS1se,257.29320600000005
ATS2dv,466.5555555555556
ATS2pe,337.3332000000001
ATS2se,398.9339560000002
ATS3dv,408.8148148148148
ATS3pe,404.7004999999999
ATS3se,487.905836
ATS4dv,390.0740740740741
ATS4pe,405.7524
ATS4se,490.81187200000005
ATS5dv,354.0740740740741
ATS5pe,350.722
ATS5se,423.162612
ATS6dv,295.33333333333337
ATS6pe,277.21330000000006
ATS6se,331.56515599999994
ATS7dv,255.03703703703704
ATS7pe,228.7454000000001
ATS7se,275.2085220000001
ATS8dv,162.55555555555554
ATS8pe,198.06400000000002
ATS8se,242.132796
ATSC0Z,1075.8666666666666
ATSC0c,0.3588152799113124
ATSC0d,18.16666666666666
ATSC0i,51.73261127586865
ATSC0m,5739.1228728
ATSC0p,9.233032270015363
ATSC0s,73.50344364426157
ATSC0v,1368.1536041426834
ATSC1Z,7.7422222222222254
ATSC1c,-0.026135508510899193
ATSC1d,2.388888888888889
ATSC1i,14.521690662224692
ATSC1m,30.45725608000011
ATSC1p,0.6119012375750452
ATSC1s,-2.3925421048620628
ATSC1v,5.3726186405589615
ATSC2Z,0.6222222222222213
ATSC2c,-0.0678645500251267
ATSC2d,-4.944444444444443
ATSC2i,-14.825674785924258
ATSC2m,0.4157196000001431
ATSC2p,-0.9698880928752065
ATSC2s,28.673101470812373
ATSC2v,-286.6087691748124
ATSC3Z,-225.99111111111108
ATSC3c,-0.009105650139832864
ATSC3d,-2.2777777777777777
ATSC3i,-21.607359032923828
ATSC3m,-1163.4585459199998
ATSC3p,-2.952698127413556
ATSC3s,7.925387707666518
ATSC3v,-395.73627232997563
ATSC4Z,-52.19555555555556
ATSC4c,-0.007226516396415961
ATSC4d,0.3611111111111107
ATSC4i,-26.678054847726884
ATSC4m,-260.06540756000044
ATSC4p,-1.121874332455214
ATSC4s,-21.33077322435605
ATSC4v,-121.70675752840921
ATSC5Z,-44.36888888888887
ATSC5c,-0.13470633019473005
ATSC5d,-1.5555555555555558
ATSC5i,4.124600917059655
ATSC5m,-227.09512112000027
ATSC5p,0.9602763755186283
ATSC5s,-13.615259678402685
ATSC5v,259.418290223474
ATSC6Z,-105.82222222222222
ATSC6c,-0.00504510439337091
ATSC6d,-0.8888888888888886
ATSC6i,19.74645200637106
ATSC6m,-545.9507487999999
ATSC6p,0.1581368269287769
ATSC6s,-0.20548030025910966
ATSC6v,-76.36127507273852
ATSC7Z,11.817777777777778
ATSC7c,0.07811241304030059
ATSC7d,-3.055555555555556
ATSC7i,19.325561884205918
ATSC7m,72.23798995999962
ATSC7p,1.5263149192463832
ATSC7s,1.037446654473401
ATSC7v,-34.60141077057075
ATSC8Z,90.00888888888889
ATSC8c,-0.005064911343925601
ATSC8d,-4.1111111111111125
ATSC8i,-6.735082528180369
ATSC8m,444.74770287999974
ATSC8p,0.23693662419327643
ATSC8s,3.1072149824721893
ATSC8v,-2.061626636903796
AXp-0d,0.7056964989228289
AXp-1d,0.4404795779624015
AXp-2d,0.2904953530703134
AXp-3d,0.18346768389426377
AXp-4d,0.11766654505517991
AXp-5d,0.0759129439025058
AXp-6d,0.048746232789872994
AXp-7d,0.03150780005345881
GATS1Z,0.45149646796381215
GATS1c,0.9507364711105044
GATS1d,0.8231077981651378
GATS1i,0.823851760780121
GATS1m,0.45184617497413526
GATS1p,0.6104836414310992
GATS1s,0.5043117104371736
GATS1v,0.7161344423758942
GATS2Z,0.5824978312058495
GATS2c,1.1342016910347257
GATS2d,1.181284403669725
GATS2i,1.1924622364144504
GATS2m,0.5819917936990298
GATS2p,0.8122838990899899
GATS2s,0.3703156239277691
GATS2v,0.9146807722107811
GATS3Z,1.0297249729150593
GATS3c,0.7704315261249807
GATS3d,1.029890500147973
GATS3i,1.1831066362473006
GATS3m,1.0273427844346323
GATS3p,1.0894413446487186
GATS3s,0.503146115490501
GATS3v,1.1049828759381797
GATS4Z,0.8057781348979803
GATS4c,0.987007390735674
GATS4d,0.915927207098812
GATS4i,1.2436032278777718
GATS4m,0.7978309698932611
GATS4p,0.9508245360853326
GATS4s,1.1098772797102014
GATS4v,1.0107346780549649
GATS5Z,0.9042888500147763
GATS5c,1.2590751027550173
GATS5d,1.0437544107268881
GATS5i,1.0108927189887804
GATS5m,0.8990868590375894
GATS5p,0.8545484314867622
GATS5s,0.9975663402686094
GATS5v,0.8462628302385586
GATS6Z,1.1230132296443178
GATS6c,0.981618454634815
GATS6d,0.9977064220183489
GATS6i,0.7728688464007145
GATS6m,1.1231036332809528
GATS6p,0.9527172567138755
GATS6s,1.0800527063713226
GATS6v,0.9363876199839729
GATS7Z,0.5260191509991033
GATS7c,0.870564902346031
GATS7d,1.079870480302213
GATS7i,0.6359547520987056
GATS7m,0.5140293981049756
GATS7p,0.6584220008128555
GATS7s,1.197323763347835
GATS7v,0.9376220587455402
GATS8Z,0.8600333839385302
GATS8c,0.761581358722576
GATS8d,1.1473623853211012
GATS8i,0.9608866241155494
GATS8m,0.8648288031562007
GATS8p,0.9842484479907188
GATS8s,0.5019021799880055
GATS8v,1.106495830353822
MATS1Z,0.006746498946585702
MATS1c,-0.06828594154358228
MATS1d,0.12327981651376152
MATS1i,0.2631625324930411
MATS1m,0.004975268557208874
MATS1p,0.06213098724777341
MATS1s,-0.030515688954163664
MATS1v,0.003681479886668296
MATS2Z,0.0003470070640723753
MATS2c,-0.11348103688655728
MATS2d,-0.163302752293578
MATS2i,-0.1719496590674504
MATS2m,4.346165181133214e-05
MATS2p,-0.06302727410744288
MATS2s,0.23405516843196955
MATS2v,-0.1256914874062294
MATS3Z,-0.1016394884444249
MATS3c,-0.012279186511146989
MATS3d,-0.060668836934004156
MATS3i,-0.2021002510361439
MATS3m,-0.09809230870627396
MATS3p,-0.1547405942683899
MATS3s,0.05217258987753599
MATS3v,-0.1399589143229868
MATS4Z,-0.023859783140901532
MATS4c,-0.009904886040896007
MATS4d,0.00977590615130094
MATS4i,-0.25361864633468695
MATS4m,-0.0222858131714952
MATS4p,-0.05975734285796621
MATS4s,-0.14272180579009777
MATS4v,-0.04374931455779626
MATS5Z,-0.023792386817544822
MATS5c,-0.2165882972324042
MATS5d,-0.04940014114326043
MATS5i,0.045997628835329755
MATS5m,-0.022828648024196978
MATS5p,0.06000256308644151
MATS5s,-0.10686516328114948
MATS5v,0.10939151697051848
MATS6Z,-0.07376998388895775
MATS6c,-0.010545337690087845
MATS6d,-0.03669724770642202
MATS6i,0.28627665682297654
MATS6m,-0.0713459304976043
MATS6p,0.012845467959832584
MATS6s,-0.002096639525355948
MATS6v,-0.04186003394000573
MATS7Z,0.009692140581601335
MATS7c,0.1920841202903511
MATS7d,-0.1484079870480303
MATS7i,0.3296173525338957
MATS7m,0.011106122715714725
MATS7p,0.14586198973139003
MATS7s,0.012453758103070318
MATS7v,-0.022315225768381117
MATS8Z,0.07843289131243031
MATS8c,-0.013233423019509902
MATS8d,-0.21215596330275244
MATS8i,-0.12205337628325769
MATS8m,0.07265064378149096
MATS8p,0.024057977778607617
MATS8s,0.03963098736116288
MATS8v,-0.0014126885798823956
MAXaaN,4.067985638699924
MAXsBr,3.400126876565594
MINaaN,4.054427437641723
MINsBr,3.400126876565594
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.178909078181846
SpAD_D,193.11614719978238
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,607
TMWC10,117.40049144000744
TSRW10,68.39436709722199
VE1_Dt,4.53656993098462
VE2_Dt,0.2160271395706962
VE3_Dt,2.254108549422641
VR1_Dt,112.02389169535118
VR2_Dt,5.334471033111961
VR3_Dt,5.460649511983764
Xc-3dv,0.7293896881169242
Xc-4dv,0.0
Xc-5dv,0.053620195615425276
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.30274943015462097
Xch-7d,0.45940470042653436
Xp-0dv,12.28796698480353
Xp-1dv,6.911908917732281
Xp-2dv,5.298408164932739
Xp-3dv,3.444677899888405
Xp-4dv,2.32884300171088
Xp-5dv,1.4965258169779394
Xp-6dv,0.7952969106689274
Xp-7dv,0.4235711755349667
Xpc-4d,3.188718582918503
Xpc-5d,4.408607081780487
Xpc-6d,6.3366827781947395
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,32
nFRing,0
nHBAcc,5
nHBDon,0
nHRing,1
nSpiro,0
naRing,3
piPC10,7.580795410914431
AATS0dv,11.235573845450388
AATS0pe,6.799673333333334
AATS0se,8.130177900000003
AATS1dv,10.438657407407408
AATS1pe,6.858731250000002
AATS1se,8.040412687500002
AATS2dv,9.331111111111111
AATS2pe,6.746664000000002
AATS2se,7.978679120000004
AATS3dv,6.593787335722819
AATS3pe,6.527427419354837
AATS3se,7.869448967741936
AATS4dv,6.394656952034001
AATS4pe,6.651678688524591
AATS4se,8.046096262295082
AATS5dv,6.8091168091168095
AATS5pe,6.744653846153846
AATS5se,8.13774253846154
AATS6dv,7.383333333333335
AATS6pe,6.930332500000001
AATS6se,8.289128899999998
AATS7dv,7.501089324618737
AATS7pe,6.7278058823529445
AATS7se,8.094368294117649
AATS8dv,5.079861111111111
AATS8pe,6.189500000000001
AATS8se,7.566649875
AATSC0Z,35.86222222222222
AATSC0c,0.01196050933037708
AATSC0d,0.6055555555555554
AATSC0i,1.7244203758622882
AATSC0m,191.30409576
AATSC0p,0.3077677423338454
AATSC0s,2.450114788142052
AATSC0v,45.60512013808945
AATSC1Z,0.24194444444444455
AATSC1c,-0.0008167346409655998
AATSC1d,0.07465277777777778
AATSC1i,0.45380283319452164
AATSC1m,0.9517892525000035
AATSC1p,0.019121913674220163
AATSC1s,-0.07476694077693946
AATSC1v,0.16789433251746755
AATSC2Z,0.012444444444444426
AATSC2c,-0.001357291000502534
AATSC2d,-0.09888888888888886
AATSC2i,-0.2965134957184852
AATSC2m,0.008314392000002861
AATSC2p,-0.01939776185750413
AATSC2s,0.5734620294162475
AATSC2v,-5.732175383496248
AATSC3Z,-3.645017921146953
AATSC3c,-0.00014686532483601395
AATSC3d,-0.036738351254480286
AATSC3i,-0.3485057908536101
AATSC3m,-18.765460418064514
AATSC3p,-0.04762416334537994
AATSC3s,0.12782883399462125
AATSC3v,-6.382843102096381
AATSC4Z,-0.855664845173042
AATSC4c,-0.00011846748190845839
AATSC4d,0.0059198542805100115
AATSC4i,-0.4373451614381456
AATSC4m,-4.263367337049187
AATSC4p,-0.018391382499265804
AATSC4s,-0.34968480695665655
AATSC4v,-1.9951927463673642
AATSC5Z,-0.8532478632478628
AATSC5c,-0.002590506349898655
AATSC5d,-0.02991452991452992
AATSC5i,0.07931924840499337
