DLiP-ID,J000MS
CIC0,3.6042784420443152
CIC1,1.4080630420253692
CIC2,0.7807858034976878
CIC3,0.3535796197063137
CIC4,0.25021250009406426
CIC5,0.25021250009406426
GGI1,10.0
GGI2,5.111111111111113
GGI3,3.041666666666667
GGI4,2.514444444444445
GGI5,1.5766666666666664
GGI6,0.9169160997732426
GGI7,0.7135416666666667
GGI8,0.38298374905517757
GGI9,0.24156635802469145
JGI1,0.30303030303030304
JGI2,0.10222222222222226
JGI3,0.059640522875817
JGI4,0.05238425925925927
JGI5,0.03427536231884058
JGI6,0.024781516210087628
JGI7,0.020986519607843136
JGI8,0.01094239283014793
JGI9,0.008052211934156379
MIC0,20.88019771024681
MIC1,42.799639049179156
MIC2,48.13248414587156
MIC3,49.70045639622683
MIC4,49.80465045279599
MIC5,49.80465045279599
MPC2,50
MPC3,62
MPC4,77
MPC5,95
MPC6,100
MPC7,116
MPC8,119
MPC9,112
Mare,1.057217391304348
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,1
RNCG,0.1390796217592093
RPCG,0.15336404081143953
SIC0,0.3474720713339795
SIC1,0.7450806104417242
SIC2,0.8586445106057884
SIC3,0.9359870274798698
SIC4,0.9547008792361446
SIC5,0.9547008792361446
SaaN,0
SaaO,0
SaaS,0
Sare,48.63200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,10.632644675925926
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,1.4429596074050577
TIC0,88.2870416445841
TIC1,189.3129500454556
TIC2,218.16770301772897
TIC3,237.81918747213217
TIC4,242.57407497429566
TIC5,242.57407497429566
Vabc,353.05636521476754
WPol,51
apol,52.680895
bpol,23.271104999999995
nRot,5
ABCGG,19.71453203886314
ATS0Z,1430.0
ATS0d,181.0
ATS0i,7807.079176133736
ATS0m,5791.997552449313
ATS0p,70.79075657273498
ATS0s,521.0972222222223
ATS0v,11306.546019241156
ATS1Z,1441.0
ATS1d,221.0
ATS1i,7219.2162990501465
ATS1m,5623.416456505603
ATS1p,88.82606631600004
ATS1s,204.375
ATS1v,13840.30495725508
ATS2Z,2332.0
ATS2d,333.0
ATS2i,12590.306218190091
ATS2m,9158.569726954915
ATS2p,133.75454864939604
ATS2s,546.7916666666667
ATS2v,20860.55714287362
ATS3Z,2501.0
ATS3d,370.0
ATS3i,16688.59992679095
ATS3m,9424.190542011202
ATS3p,157.03787683054694
ATS3s,512.1250000000001
ATS3v,23726.982127898926
ATS4Z,2503.0
ATS4d,363.0
ATS4i,21187.813017639735
ATS4m,9274.9081697936
ATS4p,153.51361934628196
ATS4s,606.2083333333336
ATS4v,23245.7356585054
ATS5Z,2398.0
ATS5d,317.0
ATS5i,18195.289878061638
ATS5m,9072.0471485168
ATS5p,136.33128756058397
ATS5s,653.9722222222223
ATS5v,20865.03712938332
ATS6Z,1989.0
ATS6d,288.0
ATS6i,16911.870302887695
ATS6m,7238.4920830592
ATS6p,127.52572214248998
ATS6s,478.673611111111
ATS6v,18884.478392547957
ATS7Z,1824.0
ATS7d,267.0
ATS7i,16440.89409271338
ATS7m,6759.146208896001
ATS7p,116.53291430382896
ATS7s,508.9722222222222
ATS7v,16963.5246610718
ATS8Z,1841.0
ATS8d,250.0
ATS8i,14299.10359528918
ATS8m,6997.1438134016
ATS8p,105.58462535358396
ATS8s,510.38888888888886
ATS8v,15988.759468502774
C1SP1,1
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,10
C2SP3,0
C3SP2,3
C3SP3,1
C4SP3,0
FCSP3,0.2
GGI10,0.22007550249974492
JGI10,0.008464442403836344
JGT10,0.6247797526925135
Kier1,25.619834710743802
Kier2,10.092
Kier3,6.118626430801249
MAXdO,12.545372076299655
MAXsF,13.106769365196616
MAXtN,8.844138415499252
MID_C,41.81689514581819
MID_N,8.023446201092023
MID_O,6.921557269816511
MID_X,5.077113097849448
MID_h,20.02211656875798
MINdO,10.887001730892237
MINsF,13.106769365196616
MINtN,8.844138415499252
MPC10,104
MWC01,33.0
MWC02,5.117993812416755
MWC03,5.968707559985366
MWC04,6.878326468291325
MWC05,7.752335163302292
MWC06,8.65817178467581
MWC07,9.54072267395999
MWC08,10.444386409308262
MWC09,11.331247700897261
MWC10,12.233712131333592
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,1
NdCH2,0
NddsN,1
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.8296800000000024
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.58724865840025
SRW05,2.3978952727983707
SRW06,7.144407180321139
SRW07,4.727387818712341
SRW08,8.778171881033469
SRW09,6.823286122355687
SRW10,10.453255004416736
SaaCH,9.880049412968784
SaaNH,0
SaaSe,0
SaaaC,1.0451159319476426
SaasC,-2.1423783766668993
SaasN,1.49857296466694
SdCH2,0
SddsN,-0.5484374618927399
SdsCH,0
SdssC,-0.9638020177206685
SdssS,0
SsCH3,1.188367150100781
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.229556332149225
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.672774661530334
VE1_D,5.485343109082927
VE2_A,0.15073466650097853
VE2_D,0.17694655190590086
VE3_A,2.6731551526750637
VE3_D,2.8334817573335065
VR1_A,279.1321292837232
VR1_D,197.78308907510458
VR2_A,9.004262234958812
VR2_D,6.380099647584019
VR3_A,6.763087362870153
VR3_D,6.41857303195455
WPath,2919
Xc-3d,4.078684403585964
Xc-4d,0.4927992798267444
Xc-5d,1.2080276656735178
Xc-6d,0.2621886974951644
Xp-0d,22.974327015758657
Xp-1d,14.418870648365745
Xp-2d,14.727892838133506
Xp-3d,11.086338259601614
Xp-4d,8.557166010328356
Xp-5d,6.951694008516199
Xp-6d,4.610855709150354
Xp-7d,3.5025978786909615
ZMIC0,95.9207336574774
ZMIC1,48.81954706134809
ZMIC2,35.429009495825426
ZMIC3,31.324384340981283
ZMIC4,30.91402109685408
ZMIC5,30.91402109685408
nAcid,0
nAtom,46
nBase,0
nRing,3
piPC1,3.828641396489095
piPC2,4.45143608604605
piPC3,5.029620594007336
piPC4,5.593083661535214
piPC5,6.11492587514904
piPC6,6.432412421390796
piPC7,6.822597297030704
piPC8,7.034604729100086
piPC9,7.028516514284953
AATS0Z,31.08695652173913
AATS0d,3.9347826086956523
AATS0i,169.71911252464642
AATS0m,125.91299027063724
AATS0p,1.53892949071163
AATS0s,11.32820048309179
AATS0v,245.79447867915556
AATS1Z,30.020833333333332
AATS1d,4.604166666666667
AATS1i,150.40033956354472
AATS1m,117.15450951053339
AATS1p,1.8505430482500007
AATS1s,4.2578125
AATS1v,288.33968660948085
AATS2Z,29.15
AATS2d,4.1625
AATS2i,157.37882772737615
AATS2m,114.48212158693643
AATS2p,1.6719318581174505
AATS2s,6.834895833333334
AATS2v,260.7569642859202
AATS3Z,23.59433962264151
AATS3d,3.490566037735849
AATS3i,157.43962195085803
AATS3m,88.9074579435019
AATS3p,1.4814894040617634
AATS3s,4.831367924528303
AATS3v,223.8394540367823
AATS4Z,19.865079365079364
AATS4d,2.880952380952381
AATS4i,168.15724617174394
AATS4m,73.61038229994921
AATS4p,1.218362058303825
AATS4s,4.811177248677251
AATS4v,184.48996554369364
AATS5Z,22.0
AATS5d,2.908256880733945
AATS5i,166.9292649363453
AATS5m,83.22979035336513
AATS5p,1.2507457574365501
AATS5s,5.999745158002039
AATS5v,191.42235898516807
AATS6Z,19.310679611650485
AATS6d,2.796116504854369
AATS6i,164.19291556201645
AATS6m,70.2766221656233
AATS6p,1.2381138072086406
AATS6s,4.647316612729233
AATS6v,183.34445041308695
AATS7Z,18.424242424242426
AATS7d,2.696969696969697
AATS7i,166.06963730013516
AATS7m,68.27420413026263
AATS7p,1.1771001444831208
AATS7s,5.141133557800224
AATS7v,171.34873395022018
AATS8Z,21.406976744186046
AATS8d,2.9069767441860463
AATS8i,166.26864645685092
AATS8m,81.36213736513488
AATS8p,1.22772820178586
AATS8s,5.934754521963824
AATS8v,185.91580777328807
AMID_C,1.348932101478006
AMID_N,0.2588208451965169
AMID_O,0.22327604096182294
AMID_X,0.16377784186611125
AMID_h,0.645874728024451
ATS0dv,612.0
ATS0pe,334.47199999999987
ATS0se,393.80068799999987
ATS1dv,520.0
ATS1pe,333.9037
ATS1se,391.3056239999998
ATS2dv,853.0
ATS2pe,567.9304000000001
ATS2se,665.3544879999996
ATS3dv,769.0
ATS3pe,722.0843000000001
ATS3se,862.8759800000001
ATS4dv,802.0
ATS4pe,852.9201999999999
ATS4se,1033.0580919999998
ATS5dv,783.0
ATS5pe,748.0242999999999
ATS5se,899.2510199999998
ATS6dv,602.0
ATS6pe,693.8988
ATS6se,841.4846400000001
ATS7dv,593.0
ATS7pe,648.9755999999999
ATS7se,794.1294559999998
ATS8dv,555.0
ATS8pe,584.2898000000002
ATS8se,705.6382639999998
ATSC0Z,358.6086956521738
ATSC0c,1.1887533213348345
ATSC0d,38.36956521739128
ATSC0i,135.19087575273437
ATSC0m,1728.2043757985111
ATSC0p,10.458654442277933
ATSC0s,231.92814009661845
ATSC0v,1940.7990775815188
ATSC1Z,1.1474480151228645
ATSC1c,-0.5530151284698117
ATSC1d,5.331758034026463
ATSC1i,-2.3131216393664826
ATSC1m,5.418208809235123
ATSC1p,0.7327000012372666
ATSC1s,-19.15146502835539
ATSC1v,75.28087768823937
ATSC2Z,97.94139886578454
ATSC2c,-0.03640030525063573
ATSC2d,-10.599243856332702
ATSC2i,56.76992217206973
ATSC2m,488.3429637928431
ATSC2p,1.2930028867998113
ATSC2s,132.25118147448015
ATSC2v,127.16272174167602
ATSC3Z,-116.83742911153118
ATSC3c,0.2409993143984579
ATSC3d,-9.19943289224953
ATSC3i,-53.6615563087341
ATSC3m,-552.896877911774
ATSC3p,-5.156163625674323
ATSC3s,2.9904694391934434
ATSC3v,-1059.1014817539183
ATSC4Z,-44.75425330812855
ATSC4c,-0.5505206226956317
ATSC4d,-1.7296786389413983
ATSC4i,-36.027089748794914
ATSC4m,-177.67258313966835
ATSC4p,0.24853588373917765
ATSC4s,-74.72707939508508
ATSC4v,305.5572893870475
ATSC5Z,96.16635160680529
ATSC5c,0.49319573131485167
ATSC5d,-5.353969754253308
ATSC5i,23.347242700786047
ATSC5m,460.405760491889
ATSC5p,-1.9398344804865415
ATSC5s,32.692921655114475
ATSC5v,-11.79926138578626
ATSC6Z,-134.0586011342155
ATSC6c,-0.012292192870111518
ATSC6d,-0.13185255198487683
ATSC6i,-24.053259773137295
ATSC6m,-661.6126512023035
ATSC6p,-3.8694460637661368
ATSC6s,-76.48160838059233
ATSC6v,-819.0423999787597
ATSC7Z,148.29867674858227
ATSC7c,-0.3833421114405242
ATSC7d,-0.07797731568998123
ATSC7i,-12.929927274309188
ATSC7m,733.7111231811901
ATSC7p,0.5275792746559437
ATSC7s,65.31679269061122
ATSC7v,444.1894813874096
ATSC8Z,152.07939508506615
ATSC8c,-0.03810695262808619
ATSC8d,-8.082230623818525
ATSC8i,-31.093497103195283
ATSC8m,746.4525695474448
ATSC8p,-0.03800618093637853
ATSC8s,58.55765595463135
ATSC8v,307.6094324800294
AXp-0d,0.741107323088989
AXp-1d,0.43693547419290135
AXp-2d,0.2945578567626701
AXp-3d,0.17881190741292927
AXp-4d,0.11113202610816046
AXp-5d,0.07317572640543367
AXp-6d,0.04610855709150354
AXp-7d,0.030194809299060012
GATS1Z,0.5934393186226966
GATS1c,1.5108289681814475
GATS1d,1.0872875354107654
GATS1i,0.9489900080234301
GATS1m,0.5917448284735418
GATS1p,0.9396163269812696
GATS1s,0.6299095484452171
GATS1v,0.8485805706986865
GATS2Z,0.5842893731813774
GATS2c,0.9819476206017947
GATS2d,1.3780453257790375
GATS2i,0.7981741639401845
GATS2m,0.5821487107295203
GATS2p,0.9488815218396127
GATS2s,0.4096348952542874
GATS2v,0.8830560430924477
GATS3Z,0.9506078088684738
GATS3c,0.955110643820846
GATS3d,1.062162595542253
GATS3i,0.975027646036403
GATS3m,0.9414276925328463
GATS3p,1.182736544539974
GATS3s,0.6394811737096556
GATS3v,1.199395799748653
GATS4Z,1.0815608978800058
GATS4c,1.191004226570698
GATS4d,0.9354512343180904
GATS4i,0.9310741054693586
GATS4m,1.0693430533134698
GATS4p,0.9368381481126282
GATS4s,0.9773462894516701
GATS4v,0.9724097140786186
GATS5Z,0.9008439076695827
GATS5c,0.7654380246027945
GATS5d,1.0598279491644365
GATS5i,0.8234426977768559
GATS5m,0.8999359165627778
GATS5p,1.0526193988460308
GATS5s,0.8486086551732315
GATS5v,1.0279409557200803
GATS6Z,1.1738326678782973
GATS6c,0.9909611592468573
GATS6d,0.9052229159217805
GATS6i,0.887495463297134
GATS6m,1.1721932119124416
GATS6p,1.148388722067395
GATS6s,0.9889001051807528
GATS6v,1.229130503638982
GATS7Z,0.8955063486465041
GATS7c,1.072953716311042
GATS7d,0.9477208344063873
GATS7i,0.7334315496759464
GATS7m,0.8827484409813732
GATS7p,0.9454446521577219
GATS7s,0.6399742189162427
GATS7v,1.0106313590505709
GATS8Z,0.8265957356822233
GATS8c,1.0932626701596664
GATS8d,1.1864417945846242
GATS8i,0.9758993244745695
GATS8m,0.8202771964083567
GATS8p,0.9904394340382594
GATS8s,0.7579438931758308
GATS8v,0.9796207441549689
MATS1Z,0.003066399935337837
MATS1c,-0.4458223770556007
MATS1d,0.13316808309726158
MATS1i,-0.016397124130728996
MATS1m,0.0030045347538546607
MATS1p,0.06713777937634124
MATS1s,-0.0791343702889815
MATS1v,0.037172407635895084
MATS2Z,0.157041100872939
MATS2c,-0.017606828215304873
MATS2d,-0.1588385269121814
MATS2i,0.2414564227592102
MATS2m,0.16247916514569832
MATS2p,0.07108721910769619
MATS2s,0.32787927034704323
MATS2v,0.03767446401127659
MATS3Z,-0.14138819244917009
MATS3c,0.0879783940521346
MATS3d,-0.10404618098241496
MATS3i,-0.17225341831643975
MATS3m,-0.13883565181329863
MATS3p,-0.2139453458071241
MATS3s,0.0055954869821573236
MATS3v,-0.23681486780191682
MATS4Z,-0.04556179083337184
MATS4c,-0.16907100555659113
MATS4d,-0.016457574531228928
MATS4i,-0.09729019786219797
MATS4m,-0.037532941562348696
MATS4p,0.008675621050079877
MATS4s,-0.1176283080113862
MATS4v,0.05747769694109904
MATS5Z,0.11317061016738005
MATS5c,0.17508901497251966
MATS5d,-0.058887127374795366
MATS5i,0.07288187723206425
MATS5m,0.11242864643825518
MATS5p,-0.0782744805822494
MATS5s,0.05948830876163949
MATS5v,-0.002565698254152
MATS6Z,-0.16695309483675955
MATS6c,-0.004618045733797108
MATS6d,-0.001534695673698394
MATS6i,-0.07945974504736224
MATS6m,-0.170973698973065
MATS6p,-0.16523178340990033
MATS6s,-0.1472733528433447
MATS6v,-0.1884718157739037
MATS7Z,0.19214942832789594
MATS7c,-0.14983643253332307
MATS7d,-0.0009442870632672355
MATS7i,-0.04443972244940612
MATS7m,0.19726618230578633
MATS7p,0.0234387555438
MATS7s,0.1308561211808771
MATS7v,0.10634334823416954
MATS8Z,0.22683441228881424
MATS8c,-0.017146356817018434
MATS8d,-0.11266881876276438
MATS8i,-0.12302165611908251
MATS8m,0.23102899951459227
MATS8p,-0.0019437383259762922
MATS8s,0.135048454633049
MATS8v,0.08477707957445396
MAXsOH,10.632644675925926
MAXtsC,1.4429596074050577
MINsOH,10.632644675925926
MINtsC,1.4429596074050577
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,2
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,37.771237490201706
SpAD_D,389.61566588433436
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.26135774911816534
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,-6.818445852272442
SssssN,0
TMPC10,899
TMWC10,141.92560370417064
TSRW10,81.11634455742896
VE1_Dt,5.4929973360774484
VE2_Dt,0.17719346245411124
VE3_Dt,2.834876180884681
VR1_Dt,195.74591781142544
VR2_Dt,6.314384445529853
VR3_Dt,6.4082195920522285
Xc-3dv,1.2996724946351446
Xc-4dv,0.09255567268311046
Xc-5dv,0.1875339081800258
Xc-6dv,0.020034178649126006
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.34020690871988585
Xch-7d,0.5226801689690168
Xp-0dv,15.995904194168064
Xp-1dv,8.861053887442843
Xp-2dv,7.0888427916958205
Xp-3dv,4.668638323586578
Xp-4dv,3.0835576867629118
Xp-5dv,2.054631162143353
Xp-6dv,1.1468735706145305
Xp-7dv,0.6910441983499769
Xpc-4d,7.2097143034909745
Xpc-5d,9.630481102045673
Xpc-6d,14.444619612004754
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,48
nFRing,1
nHBAcc,6
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,7.062696940543704
AATS0dv,13.304347826086957
AATS0pe,7.271130434782606
AATS0se,8.560884521739128
AATS1dv,10.833333333333334
AATS1pe,6.956327083333334
AATS1se,8.152200499999996
AATS2dv,10.6625
AATS2pe,7.099130000000001
AATS2se,8.316931099999994
AATS3dv,7.254716981132075
AATS3pe,6.81211603773585
AATS3se,8.140339433962266
AATS4dv,6.365079365079365
AATS4pe,6.769207936507936
AATS4se,8.198873746031744
AATS5dv,7.18348623853211
AATS5pe,6.862608256880733
AATS5se,8.250009357798163
AATS6dv,5.844660194174757
AATS6pe,6.736881553398058
AATS6se,8.169753786407767
AATS7dv,5.98989898989899
AATS7pe,6.555309090909089
AATS7se,8.021509656565655
AATS8dv,6.453488372093023
AATS8pe,6.794067441860468
AATS8se,8.205096093023254
AATSC0Z,7.795841209829866
AATSC0c,0.02584246350727901
AATSC0d,0.8341209829867671
AATSC0i,2.938932081581182
AATSC0m,37.569660343445896
AATSC0p,0.22736205309299853
AATSC0s,5.041916089056923
AATSC0v,42.191284295250405
AATSC1Z,0.023905166981726345
AATSC1c,-0.011521148509787743
AATSC1d,0.11107829237555132
AATSC1i,-0.04819003415346839
AATSC1m,0.1128793501923984
AATSC1p,0.015264583359109721
AATSC1s,-0.3989888547574039
AATSC1v,1.5683516185049868
AATSC2Z,1.2242674858223066
AATSC2c,-0.0004550038156329466
AATSC2d,-0.1324905482041588
AATSC2i,0.7096240271508716
AATSC2m,6.104287047410539
AATSC2p,0.016162536084997643
AATSC2s,1.6531397684310019
AATSC2v,1.5895340217709504
AATSC3Z,-1.102239897278596
AATSC3c,0.002273578437721301
AATSC3d,-0.08678710275707104
AATSC3i,-0.5062410972522084
AATSC3m,-5.216008282186547
AATSC3p,-0.04864305307239928
AATSC3s,0.02821197584144758
AATSC3v,-9.991523412772814
