DLiP-ID,I000PC
BIC4,0.8940148041869549
BIC5,0.8997787357645711
CIC0,4.301382018419094
CIC1,2.5272858479218305
CIC2,1.4088379390140027
CIC3,0.6362221492366729
CIC4,0.39060811414895547
CIC5,0.3555203948507071
GGI1,6.0
GGI2,4.000000000000002
GGI3,2.5
GGI4,1.746666666666667
GGI5,0.9791666666666669
GGI6,0.7902040816326531
GGI7,0.47395833333333326
GGI8,0.3575207860922146
GGI9,0.25250000000000006
JGI1,0.1875
JGI2,0.09090909090909095
JGI3,0.05208333333333333
JGI4,0.039696969696969696
JGI5,0.023882113821138213
JGI6,0.02257725947521866
JGI7,0.013939950980392158
JGI8,0.011532928583619827
JGI9,0.009351851851851853
MIC0,14.29537739985896
MIC1,30.065900979175463
MIC2,37.254677328355704
MIC3,40.87589509708283
MIC4,41.509544219889854
MIC5,41.54491264094247
MPC2,44
MPC3,57
MPC4,68
MPC5,81
MPC6,80
MPC7,91
MPC8,91
MPC9,90
Mare,0.9832280701754387
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.17221220906162404
RPCG,0.0942606353305039
SIC0,0.2625641820823799
SIC1,0.5667180691244813
SIC2,0.7584665687861859
SIC3,0.8909250564142895
SIC4,0.9330335197131452
SIC5,0.9390490144701251
SaaN,0
SaaO,0
SaaS,0
Sare,56.044000000000004
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.804874616908798
SssS,0
StCH,0
StsC,0
TIC0,87.29595575750187
TIC1,188.4194374758459
TIC2,252.1709682835921
TIC3,296.2100683008999
TIC4,310.2100683008998
TIC5,312.21006830089993
Vabc,391.91780132267996
WPol,48
apol,62.921410999999985
bpol,35.41658900000001
nRot,5
ABCGG,17.96618359934043
ATS0Z,1258.0
ATS0d,179.0
ATS0i,9284.572126364723
ATS0m,4957.968662
ATS0p,82.352064430923
ATS0s,275.47222222222223
ATS0v,12175.655467392176
ATS1Z,1423.0
ATS1d,224.0
ATS1i,8663.903388566703
ATS1m,5376.646204000002
ATS1p,104.06742436000005
ATS1s,184.52777777777777
ATS1v,15198.669893206921
ATS2Z,2082.0
ATS2d,352.0
ATS2i,16166.120591314537
ATS2m,7719.579151999998
ATS2p,152.52182100418804
ATS2s,312.63888888888897
ATS2v,21842.20131003642
ATS3Z,2417.0
ATS3d,412.0
ATS3i,21696.752863691177
ATS3m,8769.572856
ATS3p,180.84189739382893
ATS3s,437.30555555555543
ATS3v,25488.511715551907
ATS4Z,2357.0
ATS4d,402.0
ATS4i,23453.58886875393
ATS4m,8302.70864
ATS4p,182.407588990131
ATS4s,493.6944444444444
ATS4v,25473.186582051305
ATS5Z,2277.0
ATS5d,377.0
ATS5i,23972.651498438732
ATS5m,7943.121473000001
ATS5p,184.85164933867804
ATS5s,491.75
ATS5v,25019.87753906298
ATS6Z,1965.0
ATS6d,377.0
ATS6i,26438.478859808416
ATS6m,6680.274570999999
ATS6p,182.701180633356
ATS6s,407.2777777777777
ATS6v,23550.395990862944
ATS7Z,1840.0
ATS7d,346.0
ATS7i,23496.16409160456
ATS7m,6408.849706
ATS7p,164.03812198850702
ATS7s,395.61111111111103
ATS7v,21295.33738099699
ATS8Z,1720.0
ATS8d,299.0
ATS8i,20081.310996890472
ATS8m,6007.207339000001
ATS8p,147.104564400621
ATS8s,401.83333333333326
ATS8v,19270.11633663607
C1SP1,0
C1SP2,3
C1SP3,5
C2SP1,0
C2SP2,10
C2SP3,2
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.34782608695652173
GGI10,0.15284154678094072
JGI10,0.006368397782539196
JGT10,0.45784189643415385
Kier1,24.638671875
Kier2,11.743801652892563
Kier3,6.515235457063712
MAXdO,12.952539402736914
MID_C,46.77703913348415
MID_N,6.277650494771053
MID_O,7.330886996519718
MID_X,0.0
MID_h,13.60853749129077
MINdO,11.78990070338121
MPC10,93
MWC01,32.0
MWC02,5.030437921392435
MWC03,5.872117789475416
MWC04,6.734591659972948
MWC05,7.590346945602565
MWC06,8.45638105201948
MWC07,9.3171298661577
MWC08,10.184862275413241
MWC09,11.048394831522833
MWC10,11.917263271245712
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,2.1865999999999994
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.484796933490655
SRW05,0.0
SRW06,6.994849985833071
SRW07,0.0
SRW08,8.586905803827538
SRW09,0.0
SRW10,10.219574849493076
SaaCH,15.89008303768495
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.5793759761087922
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.37798484983669467
SdssS,0
SsCH3,5.190435989325328
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.5652348391044306
SssPH,0
SssSe,0
SsssB,0
SsssN,3.531923692188844
SsssP,0
VE1_A,4.601941510263268
VE1_D,5.391525215122136
VE2_A,0.15339805034210893
VE2_D,0.17971750717073787
VE3_A,2.6250905705662846
VE3_D,2.7834406048259
VR1_A,303.71678879958165
VR1_D,187.9386457676564
VR2_A,10.123892959986055
VR2_D,6.264621525588547
VR3_A,6.814707940059783
VR3_D,6.334727845933858
WPath,2789
Xc-3d,1.9322138693661843
Xc-4d,0.0
Xc-5d,0.6211764484123639
Xc-6d,0.0
Xp-0d,21.67299762850792
Xp-1d,14.401085903164898
Xp-2d,12.721823587426487
Xp-3d,10.963288646197604
Xp-4d,8.323949570549688
Xp-5d,6.377892501585854
Xp-6d,3.897211575218748
Xp-7d,2.9107841864994612
ZMIC0,99.99825338320863
ZMIC1,57.91527059557585
ZMIC2,35.90598805480411
ZMIC3,25.808485199824517
ZMIC4,23.937389051521492
ZMIC5,23.80290168260344
nAcid,0
nAtom,57
nBase,0
nRing,3
piPC1,3.7376696182833684
piPC2,4.23410650459726
piPC3,4.718498871295094
piPC4,5.110480629065972
piPC5,5.5343771431287925
piPC6,5.502278098445473
piPC7,5.774357427325804
piPC8,5.731519229627801
piPC9,5.816925130756083
AATS0Z,22.07017543859649
AATS0d,3.1403508771929824
AATS0i,162.8872302871004
AATS0m,86.9819063508772
AATS0p,1.4447730601916315
AATS0s,4.832846003898635
AATS0v,213.6079906560031
AATS1Z,24.11864406779661
AATS1d,3.7966101694915255
AATS1i,146.84582014519836
AATS1m,91.12959667796615
AATS1p,1.7638546501694923
AATS1s,3.12758945386064
AATS1v,257.60457446113423
AATS2Z,20.21359223300971
AATS2d,3.4174757281553396
AATS2i,156.95262710014114
AATS2m,74.94737040776697
AATS2p,1.4807943786814373
AATS2s,3.035329018338728
AATS2v,212.06020689355748
AATS3Z,17.772058823529413
AATS3d,3.0294117647058822
AATS3i,159.53494752714101
AATS3m,64.48215335294118
AATS3p,1.329719833778154
AATS3s,3.21548202614379
AATS3v,187.41552732023462
AATS4Z,16.143835616438356
AATS4d,2.7534246575342465
AATS4i,160.64101964899953
AATS4m,56.86786739726028
AATS4p,1.2493670478776095
AATS4s,3.3814687975646875
AATS4v,174.47388069898153
AATS5Z,15.18
AATS5d,2.513333333333333
AATS5i,159.81767665625821
AATS5m,52.95414315333334
AATS5p,1.2323443289245204
AATS5s,3.2783333333333333
AATS5v,166.7991835937532
AATS6Z,12.12962962962963
AATS6d,2.3271604938271606
AATS6i,163.20048678894085
AATS6m,41.236262783950615
AATS6p,1.127785065638
AATS6s,2.5140603566529487
AATS6v,145.37281475841323
AATS7Z,12.777777777777779
AATS7d,2.4027777777777777
AATS7i,163.16780619169833
AATS7m,44.50590073611111
AATS7p,1.1391536249201877
AATS7s,2.747299382716049
AATS7v,147.88428736803465
AATS8Z,13.870967741935484
AATS8d,2.411290322580645
AATS8i,161.94605642653607
AATS8m,48.445220475806465
AATS8p,1.1863271322630726
AATS8s,3.2405913978494616
AATS8v,155.40416400512962
AMID_C,1.559234637782805
AMID_N,0.20925501649236844
AMID_O,0.2443628998839906
AMID_X,0.0
AMID_h,0.453617916376359
ATS0dv,420.0
ATS0pe,355.29670000000004
ATS0se,438.8421679999999
ATS1dv,405.0
ATS1pe,381.97150000000005
ATS1se,456.94229599999977
ATS2dv,560.0
ATS2pe,658.3457999999997
ATS2se,800.5849919999999
ATS3dv,575.0
ATS3pe,861.9502999999997
ATS3se,1059.0663279999999
ATS4dv,503.0
ATS4pe,930.2434999999998
ATS4se,1147.691392
ATS5dv,482.0
ATS5pe,940.5218999999998
ATS5se,1165.22558
ATS6dv,390.0
ATS6pe,966.0065999999998
ATS6se,1217.874868
ATS7dv,408.0
ATS7pe,852.3750999999999
ATS7se,1073.9252640000002
ATS8dv,397.0
ATS8pe,751.3734999999998
ATS8se,939.0632119999999
ATSC0Z,424.2456140350877
ATSC0c,1.1741174372116945
ATSC0d,33.719298245614034
ATSC0i,82.92856764106818
ATSC0m,2016.2356059298245
ATSC0p,12.894100181257716
ATSC0s,102.94541910331385
ATSC0v,2839.3824120249838
ATSC1Z,21.868574946137272
ATSC1c,-0.6533798177517154
ATSC1d,13.571252693136346
ATSC1i,-19.965043994133953
ATSC1m,101.69733561649699
ATSC1p,-1.2147019505731518
ATSC1s,-4.272451352552923
ATSC1v,-82.38920577465275
ATSC2Z,54.71406586642043
ATSC2c,-0.11132021345563654
ATSC2d,-3.317328408741156
ATSC2i,9.19434389635131
ATSC2m,256.23980100400087
ATSC2p,0.6557968798720473
ATSC2s,8.230694914674602
ATSC2v,255.43253667900606
ATSC3Z,4.238534933825772
ATSC3c,0.4916597280993236
ATSC3d,-12.470606340412436
ATSC3i,7.733570987863925
ATSC3m,17.335673886734085
ATSC3p,-0.4889525822434377
ATSC3s,8.641436681372047
ATSC3v,-16.622419667699702
ATSC4Z,-203.97999384425978
ATSC4c,-0.5288243673161899
ATSC4d,-16.140658664204373
ATSC4i,-13.75472097782317
ATSC4m,-954.1040223816565
ATSC4p,-2.624223278089211
ATSC4s,-58.67111247905343
ATSC4v,-797.3757541223041
ATSC5Z,-183.40073868882732
ATSC5c,0.44620253481054556
ATSC5d,-2.208679593721145
ATSC5i,-22.69779493010528
ATSC5m,-878.0996691662054
ATSC5p,-4.041983721762718
ATSC5s,-25.311531753360022
ATSC5v,-1251.253885185567
ATSC6Z,-44.505078485687896
ATSC6c,-0.20697787084463973
ATSC6d,2.8328716528162525
ATSC6i,-1.9834753084670527
ATSC6m,-201.50895655493974
ATSC6p,0.818199129670782
ATSC6s,-19.23961218836565
ATSC6v,3.8172657721454186
ATSC7Z,102.64265927977837
ATSC7c,-0.44173651144878207
ATSC7d,-2.203139427516158
ATSC7i,-8.402869563357658
ATSC7m,482.1213790544786
ATSC7p,0.24598967799088647
ATSC7s,34.07551041346056
ATSC7v,352.25138576726147
ATSC8Z,11.360418590335474
ATSC8c,0.5900781375377997
ATSC8d,-1.1963681132656188
ATSC8i,3.4251253521751
ATSC8m,35.04547536318883
ATSC8p,-1.3205091139774416
ATSC8s,37.46425395848296
ATSC8v,-355.09351858041515
AXp-0d,0.7224332542835974
AXp-1d,0.45003393447390305
AXp-2d,0.28913235425969286
AXp-3d,0.19233839730171234
AXp-4d,0.12241102309631895
AXp-5d,0.07873941359982535
AXp-6d,0.04871514469023435
AXp-7d,0.03198663941208199
GATS1Z,0.7987058590995684
GATS1c,1.61780061483093
GATS1d,0.8163106933102877
GATS1i,1.4681744692426109
GATS1m,0.8068932430628258
GATS1p,1.2043197513231334
GATS1s,0.550508384713123
GATS1v,1.0570818512173559
GATS2Z,0.8637604958514437
GATS2c,1.3273747337775925
GATS2d,1.330228423062546
GATS2i,1.0907287526449603
GATS2m,0.8666667487575394
GATS2p,0.9754163113472651
GATS2s,0.565616386553772
GATS2v,0.9224317164394943
GATS3Z,0.9798014566011667
GATS3c,1.2083736866178838
GATS3d,1.3615871947113913
GATS3i,1.0163086914125854
GATS3m,0.9785193134425825
GATS3p,0.9993279934405934
GATS3s,0.8771860697470556
GATS3v,0.963182866338087
GATS4Z,1.2114977403095024
GATS4c,1.3859113918050199
GATS4d,1.359328895414309
GATS4i,1.0690972550130402
GATS4m,1.2026808007639618
GATS4p,1.0468187449003463
GATS4s,1.7818474150388444
GATS4v,1.0499357683082935
GATS5Z,1.1690712099909024
GATS5c,0.9406137439477207
GATS5d,0.9798543184183143
GATS5i,1.0809250683369904
GATS5m,1.1666967451828016
GATS5p,1.108169628946841
GATS5s,1.3456897237317982
GATS5v,1.1327579495575706
GATS6Z,1.0270663517706773
GATS6c,0.9717775447268634
GATS6d,0.8867691833352604
GATS6i,0.9322577360573364
GATS6m,1.025795481767088
GATS6p,0.9540821229911004
GATS6s,0.8461873473329419
GATS6v,0.9918158162031631
GATS7Z,0.8740350949742233
GATS7c,0.9627765613718009
GATS7d,0.9803156434269858
GATS7i,0.9865360952336747
GATS7m,0.8780142889601771
GATS7p,0.9697518824851862
GATS7s,0.5926669317629533
GATS7v,0.9530751306600924
GATS8Z,0.9617830911288322
GATS8c,0.6303225134067759
GATS8d,0.9509247759390421
GATS8i,0.9559256430966553
GATS8m,0.9673486011094231
GATS8p,1.0283956662194533
GATS8s,0.8054255864339112
GATS8v,1.0470144287224743
MATS1Z,0.04979961282309717
MATS1c,-0.5376219868196545
MATS1d,0.3888340182366531
MATS1i,-0.23258888210000178
MATS1m,0.048729408417600775
MATS1p,-0.09101260241264228
MATS1s,-0.040095251727538785
MATS1v,-0.028032980342668018
MATS2Z,0.07137058535876399
MATS2c,-0.05246867819022744
MATS2d,-0.0544436923512119
MATS2i,0.061355600414664674
MATS2m,0.07033037602627175
MATS2p,0.028145951623418486
MATS2s,0.04424529642526298
MATS2v,0.04978401965652877
MATS3Z,0.004187302660705317
MATS3c,0.17550481907834578
MATS3d,-0.1550047438330171
MATS3i,0.03908515687651589
MATS3m,0.0036035901896675285
MATS3p,-0.01589321107424623
MATS3s,0.035181542225494467
MATS3v,-0.002453614345868291
MATS4Z,-0.18771207611684454
MATS4c,-0.17584171888808092
MATS4d,-0.18688081764144088
MATS4i,-0.06475445023544658
MATS4m,-0.1847465966659728
MATS4p,-0.07945692308692458
MATS4s,-0.22250475526191502
MATS4v,-0.10963800841175213
MATS5Z,-0.1642734265155901
MATS5c,0.1444122690407127
MATS5d,-0.024890738813735692
MATS5i,-0.10400712708281029
MATS5m,-0.16549547746394266
MATS5p,-0.11912066702432064
MATS5s,-0.0934318607865786
MATS5v,-0.1674577099431338
MATS6Z,-0.03691068042651865
MATS6c,-0.06202577769561682
MATS6d,0.029560257447874532
MATS6i,-0.008415549432942867
MATS6m,-0.03516518571543252
MATS6p,0.02232686848336223
MATS6s,-0.06575808070288386
MATS6v,0.00047302963674490656
MATS7Z,0.09576854685303116
MATS7c,-0.14892380458726057
MATS7d,-0.02586281651057925
MATS7i,-0.04010844469453844
MATS7m,0.09465149409182688
MATS7p,0.007551586604411517
MATS7s,0.13102305075331533
MATS7v,0.04910674927372697
MATS8Z,0.012309208929062124
MATS8c,0.2310208390442118
MATS8d,-0.016309455875935668
MATS8i,0.018985650272765314
MATS8m,0.007989946029935809
MATS8p,-0.047076431330199744
MATS8s,0.16728740071869194
MATS8v,-0.057487315396260355
MAXssO,5.804874616908798
MINssO,5.804874616908798
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,38.63664440541822
SpAD_D,385.6091925200902
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.394426460934849
SssNH2,0
SsssAs,0
SsssCH,-0.8278441031805039
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,757
TMWC10,138.15152561280232
TSRW10,65.46051484253998
VE1_Dt,5.393603411316065
VE2_Dt,0.17978678037720217
VE3_Dt,2.783825986640366
VR1_Dt,188.19856514882773
VR2_Dt,6.273285504960924
VR3_Dt,6.336109891713958
Xc-3dv,0.887603066672194
Xc-4dv,0.0
Xc-5dv,0.1626295048796146
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.25343678769327627
Xch-7d,0.31257245450604254
Xp-0dv,17.4995936575009
Xp-1dv,10.03996939562768
Xp-2dv,7.364882380348806
Xp-3dv,5.202434553446733
Xp-4dv,3.5758284365624244
Xp-5dv,2.3407947890219445
Xp-6dv,1.1813656109383672
Xp-7dv,0.7206663155841807
Xpc-4d,5.033172051490647
Xpc-5d,7.241984332522485
Xpc-6d,10.47886591928432
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,59
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,5.950968020450649
AATS0dv,7.368421052631579
AATS0pe,6.233275438596492
AATS0se,7.69898540350877
AATS1dv,6.864406779661017
AATS1pe,6.474093220338984
AATS1se,7.744784677966098
AATS2dv,5.436893203883495
AATS2pe,6.391706796116502
AATS2se,7.772669825242718
AATS3dv,4.227941176470588
AATS3pe,6.337869852941175
AATS3se,7.787252411764705
AATS4dv,3.4452054794520546
AATS4pe,6.371530821917807
AATS4se,7.860899945205479
AATS5dv,3.2133333333333334
AATS5pe,6.270145999999999
AATS5se,7.7681705333333335
AATS6dv,2.4074074074074074
AATS6pe,5.963003703703703
AATS6se,7.517746098765433
AATS7dv,2.8333333333333335
AATS7pe,5.919271527777777
AATS7se,7.457814333333335
AATS8dv,3.2016129032258065
AATS8pe,6.059463709677418
AATS8se,7.573090419354838
AATSC0Z,7.442905509387504
AATSC0c,0.020598551530029728
AATSC0d,0.5915666358879655
AATSC0i,1.4548871515976876
AATSC0m,35.37255448999692
AATSC0p,0.22621228388171433
AATSC0s,1.806059984268664
AATSC0v,49.8137265267541
AATSC1Z,0.37065381264639446
AATSC1c,-0.011074234199181616
AATSC1d,0.23002123208705672
AATSC1i,-0.33839057617176194
AATSC1m,1.723683654516898
AATSC1p,-0.020588168653782234
AATSC1s,-0.07241442970428683
AATSC1v,-1.3964272165195382
AATSC2Z,0.5312045229749556
AATSC2c,-0.001080778771413947
AATSC2d,-0.032207071929525787
AATSC2i,0.08926547472185738
AATSC2m,2.4877650582912705
AATSC2p,0.006366959998757741
AATSC2s,0.07990965936577284
AATSC2v,2.4799275405728745
AATSC3Z,0.03116569804283656
AATSC3c,0.0036151450595538503
AATSC3d,-0.09169563485597379
AATSC3i,0.05686449255782298
AATSC3m,0.127468190343633
AATSC3p,-0.0035952395753193946
AATSC3s,0.06353997559832388
AATSC3v,-0.12222367402720369
AATSC4Z,-1.3971232455086287
AATSC4c,-0.0036220847076451363
AATSC4d,-0.11055245660413954
AATSC4i,-0.09421041765632308
AATSC4m,-6.534959057408606
AATSC4p,-0.017974132041706923
AATSC4s,-0.4018569347880372
AATSC4v,-5.461477767960987
AATSC5Z,-1.2226715912588488
AATSC5c,0.002974683565403637
