DLiP-ID,T006ZW
NsssB,0
NsssN,0
NsssP,0
SLogP,4.701000000000003
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.484796933490655
SRW05,3.044522437723423
SRW06,7.0707241072602764
SRW07,5.58724865840025
SRW08,8.757940876678804
SRW09,7.846589975291186
SRW10,10.50262620577447
SaaCH,17.50563128382524
SaaNH,0
SaaSe,0
SaaaC,3.6670307907113466
SaasC,3.9539114943498066
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.004118726257976
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.114785898160373
VE1_D,5.016786605009841
VE2_A,0.15826099608309127
VE2_D,0.19295333096191697
VE3_A,2.3700982481942248
VE3_D,2.5683010552438037
VR1_A,438.43057768706905
VR1_D,165.49796767095722
VR2_A,16.862714526425734
VR2_D,6.36530644888297
VR3_A,7.038712926602726
VR3_D,6.0644703598353615
WPath,1556
Xc-3d,1.7073738937863587
Xc-4d,0.0
Xc-5d,0.609838639338137
Xc-6d,0.0
Xp-0d,17.83613433532446
Xp-1d,12.68587184800163
Xp-2d,11.621064460744499
Xp-3d,10.808348899268802
Xp-4d,9.89087796839265
Xp-5d,8.532997655420727
Xp-6d,6.448147984507666
Xp-7d,5.226232318463227
ZMIC0,73.26670239884488
ZMIC1,55.22124995822578
ZMIC2,32.44044267189838
ZMIC3,25.278339540560538
ZMIC4,24.4832181556146
ZMIC5,24.4832181556146
nAcid,0
nAtom,38
nBase,0
nRing,5
piPC1,3.817712325956905
piPC2,4.54595082632812
piPC3,5.308267697401205
piPC4,6.074195944705447
piPC5,6.765975677501118
piPC6,7.324077897091083
piPC7,7.963449193232604
piPC8,8.514258420435599
piPC9,8.998765870848885
AATS0Z,27.105263157894736
AATS0d,4.2631578947368425
AATS0i,152.6807988288418
AATS0m,107.64030342105261
AATS0p,1.8525674436365254
AATS0s,5.133040935672514
AATS0v,279.2049124218027
AATS1Z,28.714285714285715
AATS1d,4.976190476190476
AATS1i,138.8461924440428
AATS1m,111.63881328571432
AATS1p,2.138694088571429
AATS1s,3.60978835978836
AATS1v,319.34439733461346
AATS2Z,26.855072463768117
AATS2d,4.869565217391305
AATS2i,142.42615896657455
AATS2m,103.83205102898548
AATS2p,1.9892270902108267
AATS2s,3.4653784219001618
AATS2v,294.97041603114866
AATS3Z,24.68235294117647
AATS3d,4.270588235294118
AATS3i,146.35710378439995
AATS3m,94.36745069411762
AATS3p,1.7978248715422818
AATS3s,3.5326797385620927
AATS3v,266.03949942544665
AATS4Z,22.51685393258427
AATS4d,3.8202247191011236
AATS4i,150.58483787243645
AATS4m,84.57569951685392
AATS4p,1.675380841922404
AATS4s,3.8595505617977532
AATS4v,244.22926322738397
AATS5Z,20.80952380952381
AATS5d,3.5714285714285716
AATS5i,150.27968627648323
AATS5m,77.68688303571427
AATS5p,1.6333176909618092
AATS5s,3.383597883597884
AATS5v,232.74206610959408
AATS6Z,19.46153846153846
AATS6d,3.269230769230769
AATS6i,151.47377701788324
AATS6m,71.65831555128206
AATS6p,1.5900447322043973
AATS6s,3.54985754985755
AATS6v,222.91573051058694
AATS7Z,17.54794520547945
AATS7d,3.0
AATS7i,152.877440290943
AATS7m,63.72324847945206
AATS7p,1.4928687526800133
AATS7s,3.3321917808219177
AATS7v,204.7370180441978
AATS8Z,15.587301587301587
AATS8d,2.9206349206349205
AATS8i,155.97322911061013
AATS8m,55.878165396825395
AATS8p,1.4021922559394921
AATS8s,3.088183421516755
AATS8v,185.80501701796578
AMID_C,1.8077238315501836
AMID_N,0.1464333894339985
AMID_O,0.14892023039534283
AMID_X,0.0
AMID_h,0.29535361982934133
ATS0dv,396.0
ATS0pe,243.28540000000004
ATS0se,293.61962399999993
ATS1dv,438.0
ATS1pe,272.952
ATS1se,322.79779199999984
ATS2dv,672.0
ATS2pe,445.2431
ATS2se,530.466916
ATS3dv,721.0
ATS3pe,547.8010000000002
ATS3se,657.8536599999998
ATS4dv,664.0
ATS4pe,576.1752
ATS4se,695.6427160000001
ATS5dv,544.0
ATS5pe,527.0735
ATS5se,640.55118
ATS6dv,444.0
ATS6pe,487.5321
ATS6se,594.6750040000001
ATS7dv,360.0
ATS7pe,446.84549999999996
ATS7se,549.3363
ATS8dv,271.0
ATS8pe,377.9392
ATS8se,469.1564240000001
ATSC0Z,233.26315789473688
ATSC0c,0.5766133029918687
ATSC0d,25.578947368421055
ATSC0i,57.468913926760166
ATSC0m,1113.1914642105264
ATSC0p,8.380006971181261
ATSC0s,57.368421052631575
ATSC0v,1748.8972841288496
ATSC1Z,12.340720221606674
ATSC1c,-0.2545535327642447
ATSC1d,13.044321329639889
ATSC1i,-1.5443941049025036
ATSC1m,58.841967556786905
ATSC1p,0.051786889369133615
ATSC1s,-0.7697753154816864
ATSC1v,55.1456555089008
ATSC2Z,48.65373961218842
ATSC2c,0.01524930608568994
ATSC2d,7.711911357340722
ATSC2i,1.099233260076842
ATSC2m,228.48319967036042
ATSC2p,0.3494046576098682
ATSC2s,5.6307325330871025
ATSC2v,179.5476833629956
ATSC3Z,43.016620498614984
ATSC3c,-0.046309770390594335
ATSC3d,-2.584487534626035
ATSC3i,-13.939013515367538
ATSC3m,203.51967195013864
ATSC3p,-0.7530708869145065
ATSC3s,4.2153739612188375
ATSC3v,75.66118535000248
ATSC4Z,-44.9584487534626
ATSC4c,-0.02613977069832358
ATSC4d,-7.434903047091411
ATSC4i,7.161666925772223
ATSC4m,-207.36904680886417
ATSC4p,0.7653704254676735
ATSC4s,16.881271160357038
ATSC4v,-52.59414021768194
ATSC5Z,-2.8448753462603875
ATSC5c,0.001030362342271253
ATSC5d,-10.437673130193904
ATSC5i,-14.83630913537458
ATSC5m,-15.870951939058138
ATSC5p,-1.5072081825605812
ATSC5s,1.9853031702062192
ATSC5v,-188.4803918959284
ATSC6Z,-47.277008310249315
ATSC6c,0.0835020465515747
ATSC6d,-3.0831024930747932
ATSC6i,-0.034394607759843765
ATSC6m,-226.2612151163435
ATSC6p,-0.8830719606688563
ATSC6s,-9.004770698676516
ATSC6v,-284.5945840526624
ATSC7Z,-22.795013850415536
ATSC7c,-0.241754665387439
ATSC7d,-0.1911357340720255
ATSC7i,-14.331608378917135
ATSC7m,-111.97170172022172
ATSC7p,-1.8539846985918484
ATSC7s,-10.317405355493998
ATSC7v,-317.53136447145334
ATSC8Z,40.90581717451519
ATSC8c,0.21741444286055644
ATSC8d,-0.9861495844875372
ATSC8i,7.393906932062056
ATSC8m,187.62606722991666
ATSC8p,0.9073062597954817
ATSC8s,13.88919667590028
ATSC8v,140.35712480020607
AXp-0d,0.6860051667432484
AXp-1d,0.4228623949333877
AXp-2d,0.2582458769054333
AXp-3d,0.15894630734218826
AXp-4d,0.09792948483557079
AXp-5d,0.06138847234115631
AXp-6d,0.037708467745658864
AXp-7d,0.023541587020104626
GATS1Z,0.594821750902527
GATS1c,1.2872357058382136
GATS1d,0.4993876151283558
GATS1i,0.8770846626016198
GATS1m,0.598460496295061
GATS1p,0.8048441231574003
GATS1s,0.49480607737488475
GATS1v,0.7251802125385859
GATS2Z,0.632177706273217
GATS2c,0.8850251381487424
GATS2d,0.8804795133297548
GATS2i,0.8692136244988022
GATS2m,0.6362891538610205
GATS2p,0.8411549653395228
GATS2s,0.4624248400774128
GATS2v,0.7665207974228542
GATS3Z,0.7837651306009767
GATS3c,1.1802856804558859
GATS3d,1.0721132897603485
GATS3i,1.0127455915183834
GATS3m,0.7833066277709178
GATS3p,0.959585289154206
GATS3s,0.6373664328116568
GATS3v,0.862346395103808
GATS4Z,1.0328066056869345
GATS4c,1.3733079165645368
GATS4d,1.0889397512368797
GATS4i,0.9138985131350578
GATS4m,1.025773147316405
GATS4p,0.9113865880220274
GATS4s,0.691453630209944
GATS4v,0.9234975033103116
GATS5Z,0.9677655471033176
GATS5c,1.0211138286321702
GATS5d,1.1279271996864588
GATS5i,1.0723552385681154
GATS5m,0.9698138640552084
GATS5p,1.0537212959680637
GATS5s,0.7329315021115481
GATS5v,1.0266524151290812
GATS6Z,1.0930485166157546
GATS6c,0.7995099108683477
GATS6d,0.9643347050754456
GATS6i,0.9607750530685608
GATS6m,1.0940256663634962
GATS6p,1.0443990444719313
GATS6s,1.1286697247706423
GATS6v,1.080705615519991
GATS7Z,1.1027289080658718
GATS7c,0.8933760233590959
GATS7d,0.9313095439427249
GATS7i,1.0903895731407436
GATS7m,1.1068948839170796
GATS7p,1.1472807726293492
GATS7s,1.1611873891611857
GATS7v,1.1641795696785833
GATS8Z,1.0373187782935074
GATS8c,0.39536008691103985
GATS8d,1.0217355803775556
GATS8i,0.9049312657656975
GATS8m,1.045792729005096
GATS8p,1.0271497272052597
GATS8s,0.6613054786984451
GATS8v,1.114621443011711
MATS1Z,0.04786616812790107
MATS1c,-0.39941905254811255
MATS1d,0.46139525769155393
MATS1i,-0.024314170158764647
MATS1m,0.04782463067516692
MATS1p,0.005591260822150203
MATS1s,-0.012140187369545166
MATS1v,0.028528655610800875
MATS2Z,0.11486946057657102
MATS2c,0.014564645882006507
MATS2d,0.1660404365718376
MATS2i,0.01053395301074253
MATS2m,0.11303655426780569
MATS2p,0.022962481311537566
MATS2s,0.054053834448728744
MATS2v,0.05653924547994909
MATS3Z,0.08244319388405186
MATS3c,-0.03590481066134584
MATS3d,-0.0451706608569353
MATS3i,-0.1084335609905981
MATS3m,0.0817337071225635
MATS3p,-0.0401750244237318
MATS3s,0.03284943335132219
MATS3v,0.019340758783476287
MATS4Z,-0.08229221595748994
MATS4c,-0.01935578127387623
MATS4d,-0.12410412909788687
MATS4i,0.05320772855910499
MATS4m,-0.0795367157098237
MATS4p,0.03899607408387709
MATS4s,0.12563939570949162
MATS4v,-0.012840047977974127
MATS5Z,-0.005517233969400033
MATS5c,0.0008083689628310765
MATS5d,-0.18459729570840677
MATS5i,-0.11678772396903987
MATS5m,-0.0064496688882494145
MATS5p,-0.08136416537694213
MATS5s,0.01565518664142519
MATS5v,-0.048753543141035235
MATS6Z,-0.09873993335184669
MATS6c,0.07055072091877751
MATS6d,-0.058721114276669845
MATS6i,-0.0002915723688729355
MATS6m,-0.09902144086881107
MATS6p,-0.05133820847891178
MATS6s,-0.07646958885490997
MATS6v,-0.07927775105551631
MATS7Z,-0.05086914593739187
MATS7c,-0.21824833672462848
MATS7d,-0.0038897344833418567
MATS7i,-0.1298143428052691
MATS7m,-0.05235994087769893
MATS7p,-0.11516552773921454
MATS7s,-0.0936177788948934
MATS7v,-0.09451115329293946
MATS8Z,0.10577474070253841
MATS8c,0.2274294915091351
MATS8d,-0.023254294859233193
MATS8i,0.07760398752863472
MATS8m,0.10166380383349173
MATS8p,0.06530592338311979
MATS8s,0.14603174603174607
MATS8v,0.0484075616231875
MAXaaN,4.110709558131997
MAXssO,6.168741732804232
MAXtsC,2.0090580593782255
MINaaN,4.110709558131997
MINssO,6.168741732804232
MINtsC,2.0090580593782255
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,35.00949431680303
SpAD_D,248.45904603300403
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1740
TMWC10,134.89597866471536
TSRW10,78.40532305879238
VE1_Dt,5.0774528381707045
VE2_Dt,0.19528664762195017
VE3_Dt,2.580321171060976
VR1_Dt,156.889619628017
VR2_Dt,6.034216139539115
VR3_Dt,6.011053943419218
Xc-3dv,0.7677402943375327
Xc-4dv,0.0
Xc-5dv,0.1803485620399483
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14271745004179703
Xch-6d,0.6419319262075915
Xch-7d,1.2717552771403073
Xp-0dv,13.907076194634277
Xp-1dv,8.265243636514608
Xp-2dv,6.33431814761295
Xp-3dv,4.864415902331815
Xp-4dv,3.663550564427208
Xp-5dv,2.622853612114202
Xp-6dv,1.6108130572805086
Xp-7dv,1.0564399738223946
Xpc-4d,4.9423604038188556
Xpc-5d,9.006964456049404
Xpc-6d,15.304276709400444
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,42
nFRing,1
nHBAcc,4
nHBDon,0
nHRing,1
nSpiro,0
naRing,5
piPC10,9.441262187755944
AATS0dv,10.421052631578947
AATS0pe,6.402247368421054
AATS0se,7.726832210526314
AATS1dv,10.428571428571429
AATS1pe,6.498857142857143
AATS1se,7.68566171428571
AATS2dv,9.73913043478261
AATS2pe,6.452798550724638
AATS2se,7.687926318840579
AATS3dv,8.48235294117647
AATS3pe,6.444717647058825
AATS3se,7.739454823529409
AATS4dv,7.46067415730337
AATS4pe,6.473878651685394
AATS4se,7.816210292134832
AATS5dv,6.476190476190476
AATS5pe,6.2746845238095235
AATS5se,7.625609285714286
AATS6dv,5.6923076923076925
AATS6pe,6.250411538461539
AATS6se,7.624038512820514
AATS7dv,4.931506849315069
AATS7pe,6.121171232876712
AATS7se,7.525154794520549
AATS8dv,4.301587301587301
AATS8pe,5.999034920634921
AATS8se,7.446927365079366
AATSC0Z,6.138504155124655
AATSC0c,0.015174034289259704
AATSC0d,0.6731301939058172
AATSC0i,1.5123398401778991
AATSC0m,29.294512216066483
AATSC0p,0.22052649924161213
AATSC0s,1.5096952908587256
AATSC0v,46.023612740232885
AATSC1Z,0.29382667194301604
AATSC1c,-0.006060798399148683
AATSC1d,0.31057907927714024
AATSC1i,-0.03677128821196437
AATSC1m,1.4009992275425454
AATSC1p,0.0012330211754555623
AATSC1s,-0.018327983701944914
AATSC1v,1.3129917978309715
AATSC2Z,0.7051266610462089
AATSC2c,0.0002210044360244919
AATSC2d,0.11176683126580757
AATSC2i,0.015930916812707856
AATSC2m,3.311350719860296
AATSC2p,0.005063835617534322
AATSC2s,0.08160481932010294
AATSC2v,2.6021403385941393
AATSC3Z,0.5060778882189998
AATSC3c,-0.0005448208281246392
AATSC3d,-0.030405735701482767
AATSC3i,-0.16398839429844161
AATSC3m,2.394349081766337
AATSC3p,-0.008859657493111841
AATSC3s,0.049592634837868674
AATSC3v,0.8901315923529703
AATSC4Z,-0.5051511095894674
AATSC4c,-0.00029370528874520874
AATSC4d,-0.08353823648417316
AATSC4i,0.08046816770530588
AATSC4m,-2.3299892899872376
AATSC4p,0.008599667701883973
