DLiP-ID,P000DF
RNCG,0.4282885460333542
RPCG,0.24751296723296154
SIC0,0.3288818582934343
SIC1,0.6572727264550109
SIC2,0.766322313492053
SIC3,0.8597933880952318
SIC4,0.9376859502645477
SIC5,0.9376859502645477
SaaN,0
SaaO,0
SaaS,0
Sare,26.043999999999997
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.627099395313682
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,42.222498417569184
TIC1,84.38196255841366
TIC2,98.38196255841368
TIC3,110.38196255841366
TIC4,120.38196255841368
TIC5,120.38196255841368
Vabc,190.94955474724605
WPol,18
apol,31.840308999999984
bpol,15.981690999999996
nRot,1
ABCGG,9.97587706202594
ATS0Z,778.0
ATS0d,83.0
ATS0i,4302.688549117837
ATS0m,3080.1218129999997
ATS0p,46.72107176303701
ATS0s,88.01371742112482
ATS0v,6119.256783797403
ATS1Z,710.0
ATS1d,106.0
ATS1i,4051.573537858951
ATS1m,2686.0041379999984
ATS1p,53.47963970599997
ATS1s,78.46604938271605
ATS1v,7462.520441105995
ATS2Z,1056.0
ATS2d,164.0
ATS2i,7459.0271383270965
ATS2m,3913.4021899999993
ATS2p,80.57515132939598
ATS2s,122.28086419753086
ATS2v,10839.673141053085
ATS3Z,1149.0
ATS3d,175.0
ATS3i,10278.945491860386
ATS3m,4166.371402000001
ATS3p,92.367667128735
ATS3s,150.97530864197535
ATS3v,11366.835527207531
ATS4Z,1172.0
ATS4d,136.0
ATS4i,8823.114793206285
ATS4m,4244.822458999998
ATS4p,84.186593614735
ATS4s,133.33333333333334
ATS4v,9857.899317792977
ATS5Z,762.0
ATS5d,109.0
ATS5i,6370.338078028207
ATS5m,2573.2128030000013
ATS5p,67.091510460547
ATS5s,99.66666666666664
ATS5v,8042.682121292699
ATS6Z,516.0
ATS6d,93.0
ATS6i,6746.240441256175
ATS6m,1656.5066399999996
ATS6p,53.16645190824501
ATS6s,110.96296296296296
ATS6v,6606.877272868196
ATS7Z,240.0
ATS7d,68.0
ATS7i,7015.459205610581
ATS7m,611.434994
ATS7p,37.10156462158399
ATS7s,82.0
ATS7v,3967.1605643057833
ATS8Z,52.0
ATS8d,28.0
ATS8i,3877.4177186653847
ATS8m,88.899552
ATS8p,13.795072337584
ATS8s,27.0
ATS8v,1185.7596091179962
C1SP1,0
C1SP2,1
C1SP3,2
C2SP1,0
C2SP2,5
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.36363636363636365
GGI10,0.0
JGI10,0.0
JGT10,0.3561529982363316
Kier1,10.515555555555556
Kier2,4.68
Kier3,2.3431952662721893
MAXdS,5.333703703703703
MID_C,22.427965844116816
MID_N,2.1716497902160317
MID_O,1.7680488265141168
MID_X,0.0
MID_h,5.720102658282424
MINdS,5.333703703703703
MPC10,10
MWC01,15.0
MWC02,4.2626798770413155
MWC03,5.093750200806762
MWC04,5.942799375126701
MWC05,6.790097235513905
MWC06,7.644440761556566
MWC07,8.496378051702317
MWC08,9.352273867864849
MWC09,10.205774946126926
MWC10,11.062143902371083
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.1635
SRW02,3.4339872044851463
SRW03,0.0
SRW04,4.709530201312334
SRW05,2.3978952727983707
SRW06,6.18826412308259
SRW07,4.442651256490317
SRW08,7.759187438507795
SRW09,6.293419278846481
SRW10,9.376786579611847
SaaCH,7.260460600907029
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.063703703703704
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.7783333333333335
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.1571296296296296
SsssP,0
VE1_A,3.4997318745999193
VE1_D,3.696109684588711
VE2_A,0.2499808481857085
VE2_D,0.2640078346134794
VE3_A,1.5891585949249294
VE3_D,1.6437530665265199
VR1_A,60.86932552649016
VR1_D,60.30056235015749
VR2_A,4.347808966177868
VR2_D,4.307183025011249
VR3_A,4.44520159850857
VR3_D,4.435813666184126
WPath,295
Xc-3d,0.7309017802800121
Xc-4d,0.0
Xc-5d,0.2710175098617139
Xc-6d,0.0
Xp-0d,9.966255326250886
Xp-1d,6.787693700234704
Xp-2d,5.829249007248353
Xp-3d,4.996571392091143
Xp-4d,3.9588081882788306
Xp-5d,2.4412108049466474
Xp-6d,1.4000428767403468
Xp-7d,0.7728482921829315
ZMIC0,46.89274664840184
ZMIC1,31.068117614547795
ZMIC2,25.82924168125005
ZMIC3,21.432025936823397
ZMIC4,20.188026861307005
ZMIC5,20.188026861307005
nAcid,0
nAtom,27
nBase,0
nRing,2
piPC1,2.995732273553991
piPC2,3.481240089335692
piPC3,3.984343667007772
piPC4,4.405193693955416
piPC5,4.727940763155514
piPC6,4.5976419195673
piPC7,4.662554268807325
piPC8,4.604232246260115
piPC9,4.385925275089539
AATS0Z,28.814814814814813
AATS0d,3.074074074074074
AATS0i,159.35883515251248
AATS0m,114.07858566666665
AATS0p,1.730410065297667
AATS0s,3.259767311893512
AATS0v,226.63914014064454
AATS1Z,25.357142857142858
AATS1d,3.7857142857142856
AATS1i,144.69905492353396
AATS1m,95.92871921428566
AATS1p,1.9099871323571418
AATS1s,2.802358906525573
AATS1v,266.51858718235695
AATS2Z,21.551020408163264
AATS2d,3.3469387755102042
AATS2i,152.2250436393285
AATS2m,79.86535081632651
AATS2p,1.6443908434570609
AATS2s,2.495527840765936
AATS2v,221.217819205165
AATS3Z,17.676923076923078
AATS3d,2.6923076923076925
AATS3i,158.13762295169823
AATS3m,64.09802156923078
AATS3p,1.4210410327497691
AATS3s,2.32269705603039
AATS3v,174.87439272626972
AATS4Z,20.928571428571427
AATS4d,2.4285714285714284
AATS4i,157.55562130725508
AATS4m,75.80040105357139
AATS4p,1.5033320288345535
AATS4s,2.380952380952381
AATS4v,176.0339163891603
AATS5Z,18.142857142857142
AATS5d,2.5952380952380953
AATS5i,151.67471614352874
AATS5m,61.26697150000003
AATS5p,1.5974169157273095
AATS5s,2.3730158730158726
AATS5v,191.49243145934997
AATS6Z,12.0
AATS6d,2.1627906976744184
AATS6i,156.8893125873529
AATS6m,38.52341023255813
AATS6p,1.2364291141452328
AATS6s,2.5805340223944877
AATS6v,153.6483086713534
AATS7Z,5.714285714285714
AATS7d,1.619047619047619
AATS7i,167.03474299072812
AATS7m,14.557976047619047
AATS7p,0.8833705862281902
AATS7s,1.9523809523809523
AATS7v,94.45620391204245
AATS8Z,2.3636363636363638
AATS8d,1.2727272727272727
AATS8i,176.24625993933566
AATS8m,4.040888727272727
AATS8p,0.6270487426174545
AATS8s,1.2272727272727273
AATS8v,53.89816405081801
AMID_C,1.6019975602940584
AMID_N,0.15511784215828797
AMID_O,0.12628920189386547
AMID_X,0.0
AMID_h,0.40857876130588744
ATS0dv,150.44444444444446
ATS0pe,162.1791
ATS0se,202.58290900000006
ATS1dv,157.66666666666669
ATS1pe,178.52000000000004
ATS1se,214.7538900000001
ATS2dv,203.0
ATS2pe,303.6767
ATS2se,371.43074800000005
ATS3dv,181.33333333333334
ATS3pe,385.0485
ATS3se,483.52701599999995
ATS4dv,136.0
ATS4pe,333.61629999999985
ATS4se,422.63499400000006
ATS5dv,89.0
ATS5pe,255.53900000000004
ATS5se,319.27956600000016
ATS6dv,56.0
ATS6pe,258.035
ATS6se,323.55441600000006
ATS7dv,12.0
ATS7pe,232.91699999999997
ATS7se,302.813768
ATS8dv,0.0
ATS8pe,111.1
ATS8se,150.20121600000002
ATSC0Z,329.8518518518519
ATSC0c,0.5508625372930441
ATSC0d,14.518518518518517
ATSC0i,42.45660189791248
ATSC0m,1488.6566766666667
ATSC0p,9.172728162463626
ATSC0s,24.8513437992176
ATSC0v,1488.6366827332058
ATSC1Z,1.41289437585732
ATSC1c,-0.27035916412444244
ATSC1d,5.01783264746228
ATSC1i,-4.380530473162067
ATSC1m,9.481513086419655
ATSC1p,0.12621449128049647
ATSC1s,-1.787196038694793
ATSC1v,25.593682195087094
ATSC2Z,15.602194787379958
ATSC2c,-0.037375393564343745
ATSC2d,-1.5706447187928658
ATSC2i,-5.773240585935168
ATSC2m,60.659248123456784
ATSC2p,-0.716582761201253
ATSC2s,1.9901640069170428
ATSC2v,-109.38749783733284
ATSC3Z,93.06035665294924
ATSC3c,-0.06263170707504999
ATSC3d,-5.729766803840878
ATSC3i,6.414761131136007
ATSC3m,417.2133936172839
ATSC3p,2.416942442993336
ATSC3s,4.49860661860865
ATSC3v,158.36271088546835
ATSC4Z,19.640603566529478
ATSC4c,0.2678587038239101
ATSC4d,-2.2606310013717437
ATSC4i,2.5735186125807714
ATSC4m,110.17996506172827
ATSC4p,-0.13651604989189806
ATSC4s,1.3207204562688983
ATSC4v,225.5047167751676
ATSC5Z,-288.6584362139918
ATSC5c,-0.1652719369134924
ATSC5d,-5.843621399176955
ATSC5i,-16.020817052493094
ATSC5m,-1294.0106521481484
ATSC5p,-6.731778352717422
ATSC5s,-3.5205733091726072
ATSC5v,-820.3226227577237
ATSC6Z,-151.39368998628257
ATSC6c,-0.053760259152251216
ATSC6d,-4.973936899862825
ATSC6i,-15.45244775117006
ATSC6m,-713.2816061728395
ATSC6p,-3.715764520822595
ATSC6s,-11.694359298586296
ATSC6v,-860.3845360885744
ATSC7Z,-8.065843621399152
ATSC7c,-0.010534266969555861
ATSC7d,2.526748971193415
ATSC7i,-2.006742754479827
ATSC7m,-50.78553570370347
ATSC7p,0.42737967069546345
ATSC7s,-7.874990826827437
ATSC7v,-157.21158200290205
ATSC8Z,115.67626886145408
ATSC8c,0.04952088298779789
ATSC8d,4.170096021947874
ATSC8i,9.114572083587431
ATSC8m,538.2893790123458
ATSC8p,2.693207411258374
ATSC8s,3.5205074504977976
ATSC8v,567.283619649457
AXp-0d,0.7118753804464919
AXp-1d,0.45251291334898025
AXp-2d,0.29146245036241764
AXp-3d,0.19217582277273626
AXp-4d,0.12770348994447842
AXp-5d,0.08137369349822159
AXp-6d,0.053847802951551796
AXp-7d,0.033602099660127456
GATS1Z,0.641846588174906
GATS1c,1.4343431097048909
GATS1d,0.7674927113702624
GATS1i,1.138675225827849
GATS1m,0.6572423551715723
GATS1p,0.7762652079397945
GATS1s,0.9481058284022718
GATS1v,0.9071763579478233
GATS2Z,0.692518687241346
GATS2c,0.9653630127765915
GATS2d,1.2426072469804248
GATS2i,1.123621996763489
GATS2m,0.7110766976724954
GATS2p,0.8422491571488278
GATS2s,0.5440958873138317
GATS2v,0.9562730289537499
GATS3Z,0.7773186615764652
GATS3c,0.917264991987791
GATS3d,1.308673469387755
GATS3i,0.9066360043408511
GATS3m,0.7836512592091892
GATS3p,0.8046478907809742
GATS3s,0.7533134075711082
GATS3v,0.9103619395673462
GATS4Z,1.5166440762246955
GATS4c,0.8362576914975842
GATS4d,1.2151967930029155
GATS4i,1.0276208749099889
GATS4m,1.4644957877437885
GATS4p,1.3720634699890149
GATS4s,1.0942087686982904
GATS4v,0.9528807666883621
GATS5Z,2.102892111257258
GATS5c,1.301905792686818
GATS5d,1.3004737609329446
GATS5i,1.3571419558507127
GATS5m,2.0492852029954176
GATS5p,1.8538645665722229
GATS5s,1.0046872951069832
GATS5v,1.3689021024204282
GATS6Z,0.9761253192256067
GATS6c,1.2386355346003706
GATS6d,0.8745847176079734
GATS6i,1.0943859616436389
GATS6m,1.0092394651266474
GATS6p,1.0187364356253656
GATS6s,1.9326570821360514
GATS6v,1.2716763764055226
GATS7Z,0.653107054634115
GATS7c,0.9765134925029344
GATS7d,0.4263848396501458
GATS7i,0.7971261779520881
GATS7m,0.6903495651089266
GATS7p,0.6816815017336826
GATS7s,1.426098985906427
GATS7v,1.005592274796914
GATS8Z,0.2687156768674846
GATS8c,0.36453115053239504
GATS8d,0.24420222634508348
GATS8i,0.45652948126820375
GATS8m,0.2883364839166359
GATS8p,0.3890043934775634
GATS8s,0.10699988421449572
GATS8v,0.5361812056243456
MATS1Z,0.004130441756761037
MATS1c,-0.4732641304172394
MATS1d,0.3332725947521868
MATS1i,-0.09949178142942977
MATS1m,0.006141703296907833
MATS1p,0.01326833508221325
MATS1s,-0.06934705916368453
MATS1v,0.016578673898709925
MATS2Z,0.02606360307428605
MATS2c,-0.03738610492245471
MATS2d,-0.05961057892544769
MATS2i,-0.07492764945569369
MATS2m,0.02245278188299706
MATS2p,-0.0430462691760206
MATS2s,0.044127230795374284
MATS2v,-0.04048989548989094
MATS3Z,0.11719152170533258
MATS3c,-0.047228202669392254
MATS3d,-0.16393249607535323
MATS3i,0.06276039452352226
MATS3m,0.11641638247247191
MATS3p,0.10945061156373506
MATS3s,0.07519319659873969
MATS3v,0.04418904526230508
MATS4Z,0.028708575278303526
MATS4c,0.23444353541787516
MATS4d,-0.07507288629737614
MATS4i,0.02922522202232636
MATS4m,0.03568484526177743
MATS4p,-0.007175644712778499
MATS4s,0.025623400465473112
MATS4v,0.07303695368136774
MATS5Z,-0.5625741875461165
MATS5c,-0.19287251894233193
MATS5d,-0.2587463556851312
MATS5i,-0.242579392042892
MATS5m,-0.5588017732398443
MATS5p,-0.47178677068886116
MATS5s,-0.09107055606486249
MATS5v,-0.3542504787124207
MATS6Z,-0.2881934833584883
MATS6c,-0.061279247558119004
MATS6d,-0.21511627906976744
MATS6i,-0.22853217914295104
MATS6m,-0.30085815213087636
MATS6p,-0.25435774670732014
MATS6s,-0.2954757638645988
MATS6v,-0.36291021117450734
MATS7Z,-0.015719739501459638
MATS7c,-0.012293500297589698
MATS7d,0.1118804664723032
MATS7i,-0.03038511929654936
MATS7m,-0.02193107711984728
MATS7p,0.029952274737935873
MATS7s,-0.20371108073117072
MATS7v,-0.06789070133948183
MATS8Z,0.43039421840230296
MATS8c,0.11032812182153767
MATS8d,0.35250463821892397
MATS8i,0.2634705849951268
MATS8m,0.44377450126490725
MATS8p,0.36033990609817046
MATS8s,0.17385871826747717
MATS8v,0.46768410526204196
MAXsOH,9.627099395313682
MINsOH,9.627099395313682
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,18.079445449399632
SpAD_D,86.60627255869096
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.4462363000755865
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,229
TMWC10,97.85033821811044
TSRW10,58.60172135513487
VE1_Dt,3.6947573042370934
VE2_Dt,0.2639112360169352
VE3_Dt,1.643387106655031
VR1_Dt,59.97088205510925
VR2_Dt,4.283634432507804
VR3_Dt,4.43033138196609
Xc-3dv,0.38545254433677456
Xc-4dv,0.0
Xc-5dv,0.12662769025274878
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.16666666666666666
Xch-7d,0.2628917115316043
Xp-0dv,8.7570002638962
Xp-1dv,5.269391832419054
Xp-2dv,3.903154894362667
Xp-3dv,3.0058461124549876
Xp-4dv,2.1002393280848097
Xp-5dv,1.0536339976726494
Xp-6dv,0.568615699572293
Xp-7dv,0.25266525688291874
Xpc-4d,2.0305525071610044
Xpc-5d,3.167420861761082
Xpc-6d,4.33479509328475
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,28
nFRing,0
nHBAcc,2
nHBDon,1
nHRing,1
nSpiro,0
naRing,1
piPC10,4.2018901887852635
AATS0dv,5.57201646090535
AATS0pe,6.006633333333333
AATS0se,7.503070703703706
AATS1dv,5.630952380952381
AATS1pe,6.375714285714287
AATS1se,7.66978178571429
AATS2dv,4.142857142857143
AATS2pe,6.197483673469387
AATS2se,7.580219346938777
AATS3dv,2.78974358974359
AATS3pe,5.923823076923076
AATS3se,7.438877169230769
AATS4dv,2.4285714285714284
AATS4pe,5.957433928571426
AATS4se,7.547053464285716
AATS5dv,2.119047619047619
AATS5pe,6.084261904761906
AATS5se,7.601894428571432
AATS6dv,1.302325581395349
AATS6pe,6.000813953488373
AATS6se,7.524521302325582
AATS7dv,0.2857142857142857
AATS7pe,5.545642857142856
AATS7se,7.209851619047619
AATS8dv,0.0
AATS8pe,5.05
AATS8se,6.8273280000000005
AATSC0Z,12.216735253772292
AATSC0c,0.02040231619603867
AATSC0d,0.5377229080932784
AATSC0i,1.5724667369597214
AATSC0m,55.13543246913581
AATSC0p,0.339730672683838
AATSC0s,0.9204201407117629
AATSC0v,55.1346919530817
AATSC1Z,0.05046051342347572
AATSC1c,-0.009655684433015801
AATSC1d,0.17920830883793856
AATSC1i,-0.15644751689864525
AATSC1m,0.33862546737213056
AATSC1p,0.004507660402874874
AATSC1s,-0.06382842995338546
AATSC1v,0.9140600783959677
AATSC2Z,0.3184121385179583
AATSC2c,-0.0007627631339661989
AATSC2d,-0.032053973852915627
AATSC2i,-0.11782123644765649
AATSC2m,1.2379438392542201
AATSC2p,-0.01462413798369904
AATSC2s,0.04061559197789883
AATSC2v,-2.232397915047609
AATSC3Z,1.4316977946607574
AATSC3c,-0.0009635647242315383
AATSC3d,-0.0881502585206289
AATSC3i,0.09868863278670781
AATSC3m,6.41866759411206
AATSC3p,0.03718372989220517
AATSC3s,0.06920933259397924
AATSC3v,2.4363493982379745
AATSC4Z,0.3507250636880264
AATSC4c,0.00478319113971268
AATSC4d,-0.040368410738781134
AATSC4i,0.04595568951037092
AATSC4m,1.9674993761022905
AATSC4p,-0.002437786605212465
AATSC4s,0.023584293861944612
AATSC4v,4.026869942413707
AATSC5Z,-6.872819909856948
AATSC5c,-0.003935046116987914
AATSC5d,-0.13913384283754654
AATSC5i,-0.3814480250593594
AATSC5m,-30.809777432098773
AATSC5p,-0.16028043696946243
AATSC5s,-0.08382317402791922
AATSC5v,-19.53149101804104
AATSC6Z,-3.520783488053083
AATSC6c,-0.0012502385849360747
AATSC6d,-0.11567295115960059
