DLiP-ID,T006YV
GGI5,2.250277777777778
GGI6,1.5643990929705216
GGI7,0.7465986394557823
GGI8,0.685326908541194
GGI9,0.35750000000000004
JGI1,0.19444444444444445
JGI2,0.08119658119658126
JGI3,0.04939516129032258
JGI4,0.04852693602693603
JGI5,0.030409159159159163
JGI6,0.020584198591717392
JGI7,0.011665603741496599
JGI8,0.01489841105524335
JGI9,0.011916666666666666
MIC0,24.286802484315494
MIC1,41.97923405293553
MIC2,50.417017170576116
MIC3,51.54366072632513
MIC4,52.50454072632513
MIC5,53.54606072632514
MPC2,52
MPC3,71
MPC4,98
MPC5,135
MPC6,159
MPC7,183
MPC8,211
MPC9,239
Mare,1.02008
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.17573986881873135
RPCG,0.125188930924367
SIC0,0.332793574145828
SIC1,0.6537220907169934
SIC2,0.7916012267863224
SIC3,0.9122766893068143
SIC4,0.9264513949176587
SIC5,0.954800806139348
SaaN,0
SaaO,0
SaaS,0
Sare,51.004000000000005
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.119239878642581
SsLi,0
SsOH,0
SsSH,0
SssO,5.013674755395985
SssS,0
StCH,0
StsC,0
TIC0,93.91195366800925
TIC1,184.47567340427884
TIC2,223.38417418156254
TIC3,257.4379219865728
TIC4,261.4379219865728
TIC5,269.4379219865728
Vabc,404.1161736181958
WPol,62
apol,62.215481
bpol,26.772518999999996
nRot,4
ABCGG,20.803127917337775
ATS0Z,1878.0
ATS0d,193.0
ATS0i,8048.095768296735
ATS0m,7646.3328412995415
ATS0p,92.624529382433
ATS0s,348.3245694253925
ATS0v,13283.466181190197
ATS1Z,1639.0
ATS1d,244.0
ATS1i,7650.585163064699
ATS1m,6402.9958396704005
ATS1p,107.58122126
ATS1s,191.84773662551441
ATS1v,15991.997995099095
ATS2Z,2553.0
ATS2d,381.0
ATS2i,13220.331272599497
ATS2m,9891.7923353408
ATS2p,161.314611952547
ATS2s,332.62962962962956
ATS2v,23680.087708427047
ATS3Z,3212.0
ATS3d,477.0
ATS3i,18512.356773165688
ATS3m,12190.8503900432
ATS3p,205.306533490245
ATS3s,445.0761316872428
ATS3v,29430.362725253268
ATS4Z,3583.0
ATS4d,496.0
ATS4i,21491.271279857578
ATS4m,13598.603899372798
ATS4p,222.73674912818802
ATS4s,517.7242798353909
ATS4v,31680.490630433906
ATS5Z,4017.0
ATS5d,517.0
ATS5i,22719.9017802525
ATS5m,15236.119448670397
ATS5p,249.591377307037
ATS5s,591.5164609053498
ATS5v,35314.420047018604
ATS6Z,4470.0
ATS6d,510.0
ATS6i,24340.707590665734
ATS6m,17069.025201766395
ATS6p,266.36940261333893
ATS6s,631.8380201188843
ATS6v,37402.75187446592
ATS7Z,3634.0
ATS7d,471.0
ATS7i,26077.987901505316
ATS7m,13507.027044148797
ATS7p,249.54802835728202
ATS7s,669.4197530864197
ATS7v,34376.086019010516
ATS8Z,2881.0
ATS8d,369.0
ATS8i,24161.107763188123
ATS8m,10469.051370551999
ATS8p,208.01134416828202
ATS8s,598.9670781893004
ATS8v,27613.19833817495
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,15
C2SP3,2
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.125
GGI10,0.11499030711151925
JGI10,0.0076660204741012825
JGT10,0.4707031826466687
Kier1,26.074074074074073
Kier2,11.372781065088757
Kier3,5.713152152350724
MAXdO,13.8736363063744
MAXdS,5.636954207608969
MAXsF,13.65543593900421
MID_C,50.30243767240284
MID_N,4.344902602286712
MID_O,5.430357395600691
MID_X,5.297675037551741
MID_h,16.8726221312393
MINdO,13.003532008482406
MINdS,5.636954207608969
MINsF,13.617923933703258
MPC10,238
MWC01,36.0
MWC02,5.176149732573829
MWC03,6.0473721790462776
MWC04,6.953684210870537
MWC05,7.852050207265889
MWC06,8.76795190976342
MWC07,9.677778212399186
MWC08,10.598807371207691
MWC09,11.514773755827846
MWC10,12.438639656251897
NaaCH,11
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,7
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,5.468900000000003
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.638354669333745
SRW05,0.0
SRW06,7.181591944611865
SRW07,2.70805020110221
SRW08,8.81537000096066
SRW09,5.459585514144159
SRW10,10.499655661466162
SaaCH,15.227840290632798
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.7954189600371668
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.0996855491167634
SdssS,0
SsCH3,1.1928032782212976
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.0378192449819434
SssPH,0
SssSe,0
SsssB,0
SsssN,1.2652588813303098
SsssP,0
VE1_A,4.821715201276262
VE1_D,5.642998913075129
VE2_A,0.1461125818568564
VE2_D,0.1709999670628827
VE3_A,2.767052184122224
VE3_D,2.924338114844698
VR1_A,309.6493571935669
VR1_D,226.61935971555062
VR2_A,9.383313854350513
VR2_D,6.867253324713655
VR3_A,6.929363019941438
VR3_D,6.617194249054835
WPath,2731
Xc-3d,2.4992961111266334
Xc-4d,0.0
Xc-5d,0.5530788572346366
Xc-6d,0.0
Xp-0d,23.697941654890254
Xp-1d,15.794932753282252
Xp-2d,14.571748212799934
Xp-3d,12.317079571888563
Xp-4d,10.293282017488938
Xp-5d,9.054742922444023
Xp-6d,6.665707881758965
Xp-7d,4.67142901492072
ZMIC0,97.7005732622537
ZMIC1,62.72987174583938
ZMIC2,39.36060493110441
ZMIC3,34.8786830879293
ZMIC4,33.12963211683744
ZMIC5,31.08907265056359
nAcid,0
nAtom,50
nBase,0
nRing,4
piPC1,3.8918202981106265
piPC2,4.483002552013883
piPC3,5.015622835607295
piPC4,5.563082592553066
piPC5,6.11492587514904
piPC6,6.313774469916691
piPC7,6.602630292918636
piPC8,6.94589367587319
piPC9,7.2762105614564
AATS0Z,37.56
AATS0d,3.86
AATS0i,160.9619153659347
AATS0m,152.92665682599082
AATS0p,1.85249058764866
AATS0s,6.96649138850785
AATS0v,265.66932362380396
AATS1Z,30.92452830188679
AATS1d,4.60377358490566
AATS1i,144.35066345405093
AATS1m,120.81124225793208
AATS1p,2.0298343633962266
AATS1s,3.619768615575744
AATS1v,301.73581122828483
AATS2Z,29.011363636363637
AATS2d,4.329545454545454
AATS2i,150.23103718863064
AATS2m,112.4067310834182
AATS2p,1.8331205903698524
AATS2s,3.779882154882154
AATS2v,269.09190577758005
AATS3Z,26.766666666666666
AATS3d,3.975
AATS3i,154.26963977638073
AATS3m,101.59041991702667
AATS3p,1.710887779085375
AATS3s,3.7089677640603567
AATS3v,245.2530227104439
AATS4Z,26.153284671532848
AATS4d,3.6204379562043796
AATS4i,156.87059328363196
AATS4m,99.2598824771737
AATS4p,1.625815687067066
AATS4s,3.7790093418641675
AATS4v,231.24445715645186
AATS5Z,27.3265306122449
AATS5d,3.5170068027210886
AATS5i,154.5571549677041
AATS5m,103.64707107939046
AATS5p,1.697900525898211
AATS5s,4.0239215027574815
AATS5v,240.2341499797184
AATS6Z,28.11320754716981
AATS6d,3.207547169811321
AATS6i,153.08621126204864
AATS6m,107.35235975953708
AATS6p,1.6752792617191128
AATS6s,3.9738240259049324
AATS6v,235.23743317274162
AATS7Z,21.760479041916167
AATS7d,2.820359281437126
AATS7i,156.15561617667854
AATS7m,80.88040146196884
AATS7p,1.4942995710016886
AATS7s,4.008501515487543
AATS7v,205.84482646114083
AATS8Z,19.079470198675498
AATS8d,2.443708609271523
AATS8i,160.00733618005378
AATS8m,69.33146603014569
AATS8p,1.3775585706508744
AATS8s,3.966669391982122
AATS8v,182.86886316672152
AMID_C,1.5243162931031162
AMID_N,0.13166371522080947
AMID_O,0.16455628471517245
AMID_X,0.1605356071985376
AMID_h,0.5112915797345242
ATS0dv,526.0493827160494
ATS0pe,340.6468
ATS0se,408.4641659999999
ATS1dv,490.77777777777777
ATS1pe,354.7885
ATS1se,419.21225599999997
ATS2dv,713.3333333333333
ATS2pe,591.0149
ATS2se,704.0516
ATS3dv,857.1111111111111
ATS3pe,804.3784999999999
ATS3se,964.7607979999999
ATS4dv,901.5555555555557
ATS4pe,913.3389999999999
ATS4se,1103.870352
ATS5dv,994.2222222222222
ATS5pe,980.6339
ATS5se,1188.0167940000001
ATS6dv,968.0740740740741
ATS6pe,1055.5766
ATS6se,1277.752825
ATS7dv,833.7777777777778
ATS7pe,1081.306
ATS7se,1321.4939339999999
ATS8dv,662.5555555555557
ATS8pe,966.6444
ATS8se,1187.528934
ATSC0Z,628.0
ATSC0c,1.049583012593419
ATSC0d,34.580000000000005
ATSC0i,122.27980018923209
ATSC0m,2904.553837511783
ATSC0p,15.20920786120578
ATSC0s,144.40431031854902
ATSC0v,2405.1633389436056
ATSC1Z,4.0
ATSC1c,-0.6027286069881646
ATSC1d,9.645199999999997
ATSC1i,-7.591308379844846
ATSC1m,20.740834942401435
ATSC1p,-0.22460842736636508
ATSC1s,-5.609105441243709
ATSC1v,26.322498577168275
ATSC2Z,28.0
ATSC2c,-0.07622920840846709
ATSC2d,-0.5608000000000024
ATSC2i,-22.439485721702383
ATSC2m,127.98721898735414
ATSC2p,-0.03710746051083097
ATSC2s,7.353006127114773
ATSC2v,-46.48943055042595
ATSC3Z,-198.0
ATSC3c,0.44691755287615853
ATSC3d,1.0279999999999967
ATSC3i,-22.53706997291313
ATSC3m,-941.7950637906522
ATSC3p,-4.146617396635251
ATSC3s,-20.467412284712697
ATSC3v,-705.634726089514
ATSC4Z,-2.0
ATSC4c,-0.2254913948437175
ATSC4d,-6.209200000000003
ATSC4i,9.68971321736728
ATSC4m,-33.279739123536864
ATSC4p,3.1815505652318024
ATSC4s,-43.649569151044055
ATSC4v,191.04958937243433
ATSC5Z,-113.0
ATSC5c,-0.41247660609867404
ATSC5d,-10.4852
ATSC5i,29.29993891362131
ATSC5m,-480.0336415803585
ATSC5p,3.1525175132202667
ATSC5s,4.656942661179702
ATSC5v,573.0991604749573
ATSC6Z,115.0
ATSC6c,0.5932869404776665
ATSC6d,-20.4044
ATSC6i,12.981866110919691
ATSC6m,468.9084835473005
ATSC6p,-3.112364846892479
ATSC6s,-27.687319372046954
ATSC6v,-605.3930320583311
ATSC7Z,-121.0
ATSC7c,-0.061342762476992614
ATSC7d,-10.917200000000001
ATSC7i,-17.893547771428636
ATSC7m,-518.3165905200482
ATSC7p,-3.0122905059069454
ATSC7s,-5.8093661332114
ATSC7v,-740.8042452403384
ATSC8Z,-269.0
ATSC8c,-0.6216071238972836
ATSC8d,-3.411599999999997
ATSC8i,-49.60659455267708
ATSC8m,-1213.0267511828208
ATSC8p,-7.1842729435769765
ATSC8s,21.602230818472798
ATSC8v,-1415.887075240152
AXp-0d,0.7181194440875834
AXp-1d,0.43874813203561813
AXp-2d,0.2802259271692295
AXp-3d,0.17347999397026145
AXp-4d,0.10503348997437692
AXp-5d,0.06707216979588165
AXp-6d,0.04192269108024506
AXp-7d,0.025526934507763496
GATS1Z,0.5123182309818533
GATS1c,1.5521299474464687
GATS1d,0.8020777633488655
GATS1i,0.9218424906926989
GATS1m,0.5154223003609766
GATS1p,0.7652888560457571
GATS1s,0.5237172240564593
GATS1v,0.7857917770000368
GATS2Z,0.6202138824551245
GATS2c,1.165667267148956
GATS2d,1.1352134707397863
GATS2i,0.9882604853063033
GATS2m,0.6237590924559822
GATS2p,0.8015251642131394
GATS2s,0.5667754292201448
GATS2v,0.8529823703788065
GATS3Z,0.9792197452229301
GATS3c,0.968066715328543
GATS3d,1.127699055330634
GATS3i,1.0530882660302834
GATS3m,0.9791452671941673
GATS3p,1.029869524197238
GATS3s,0.8779937651523757
GATS3v,1.0130854025431528
GATS4Z,0.8514459063647776
GATS4c,1.3309851885137722
GATS4d,1.1894559531901059
GATS4i,0.8364228899086577
GATS4m,0.847494960638774
GATS4p,0.8491364193617539
GATS4s,1.0432039173550869
GATS4v,0.8891985846739315
GATS5Z,1.0299893842887475
GATS5c,1.4788444037380737
GATS5d,1.1760169654906496
GATS5i,0.6676083055646725
GATS5m,0.9978681546179806
GATS5p,0.9655035950039598
GATS5s,0.8003768389038938
GATS5v,0.8439790877822504
GATS6Z,0.8867423787205063
GATS6c,0.9388217188217329
GATS6d,1.163012756855855
GATS6i,0.7825430028670579
GATS6m,0.875611870047514
GATS6p,1.0849844287631532
GATS6s,0.9418986287805825
GATS6v,1.0223690172706454
GATS7Z,0.9377073877722263
GATS7c,0.9082046588471531
GATS7d,0.9588111226938834
GATS7i,0.8621359411135693
GATS7m,0.9304049120909822
GATS7p,1.0296001763024196
GATS7s,0.9198747288649797
GATS7v,1.0995744987559184
GATS8Z,1.1484213523431899
GATS8c,0.8924605252959291
GATS8d,0.7882671528541167
GATS8i,1.1074603612240554
GATS8m,1.148842379042046
GATS8p,1.1701321089642847
GATS8s,0.8682653498251205
GATS8v,1.2590097268307912
MATS1Z,0.006008893161879582
MATS1c,-0.5417502823145693
MATS1d,0.2631360694915808
MATS1i,-0.058567413980200135
MATS1m,0.00673660276654468
MATS1p,-0.013932003871085149
MATS1s,-0.03664439721474138
MATS1v,0.010324681665247807
MATS2Z,0.0253329473074696
MATS2c,-0.04126595963578303
MATS2d,-0.009214469740785568
MATS2i,-0.10426667181898569
MATS2m,0.0250365511732314
MATS2p,-0.0013862513139117848
MATS2s,0.028931576773504854
MATS2v,-0.010982393066069317
MATS3Z,-0.13136942675159236
MATS3c,0.17741869370733404
MATS3d,0.012386736070946555
MATS3i,-0.07679474293804134
MATS3m,-0.1351032316374407
MATS3p,-0.11359942374152321
MATS3s,-0.05905702145005968
MATS3v,-0.12224303623931876
MATS4Z,-0.00116230415175043
MATS4c,-0.07840840459265871
MATS4d,-0.06553300713884658
MATS4i,0.028920489563262743
MATS4m,-0.004181671564909519
MATS4p,0.07634518851486193
MATS4s,-0.1103187270173594
MATS4v,0.028990183901112
MATS5Z,-0.06120282507907622
MATS5c,-0.13367038495890074
MATS5d,-0.10313460259754566
MATS5i,0.08150132402453497
MATS5m,-0.056214054884494546
MATS5p,0.07050234819772247
MATS5s,0.010969160816237826
MATS5v,0.08104717217334513
MATS6Z,0.05758522613467932
MATS6c,0.17775461115267444
MATS6d,-0.18555459766979127
MATS6i,0.03338530016654406
MATS6m,0.05076700457966671
MATS6p,-0.06435122018582624
MATS6s,-0.06029393572698514
MATS6v,-0.0791526979608616
MATS7Z,-0.05768717342385294
MATS7c,-0.0174984697061902
MATS7d,-0.09452350360008728
MATS7i,-0.043812221019936114
MATS7m,-0.05342803632556342
MATS7p,-0.05929851135130573
MATS7s,-0.012044870224242768
MATS7v,-0.09221730375829194
MATS8Z,-0.1418357447167503
MATS8c,-0.19610661663371926
MATS8d,-0.032668272821636334
MATS8i,-0.1343314648936054
MATS8m,-0.13828784371603164
MATS8p,-0.15641171765135847
MATS8s,0.04953492417663233
MATS8v,-0.19492928912128157
MAXsCl,6.119239878642581
MAXssO,5.013674755395985
MINsCl,6.119239878642581
MINssO,5.013674755395985
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,42.20151834362047
SpAD_D,344.17549857894926
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,-2.228741024187454
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1455
TMWC10,148.02720723520656
TSRW10,77.5930674327672
VE1_Dt,5.699468630610866
VE2_Dt,0.1727111706245717
VE3_Dt,2.934295416267585
VR1_Dt,216.35729825826172
VR2_Dt,6.55628176540187
VR3_Dt,6.570853668146177
Xc-3dv,1.1259258595130808
Xc-4dv,0.0
Xc-5dv,0.17981171147804934
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2347080484106438
Xch-7d,0.44451846581791576
Xp-0dv,18.79207920279441
Xp-1dv,10.603377741806499
Xp-2dv,8.199176435777787
Xp-3dv,5.865441037613906
Xp-4dv,4.312165158222862
Xp-5dv,3.1536548259868504
Xp-6dv,1.9713421028667977
Xp-7dv,1.1763712464000684
Xpc-4d,5.721063974054849
Xpc-5d,9.615013358464996
Xpc-6d,16.717753611310794
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,1
n8Ring,0
n9Ring,0
nARing,1
nBonds,53
nFRing,1
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,7.573065455405078
AATS0dv,10.520987654320988
AATS0pe,6.812936
AATS0se,8.169283319999998
AATS1dv,9.259958071278826
AATS1pe,6.694122641509434
AATS1se,7.909665207547169
AATS2dv,8.106060606060606
AATS2pe,6.716078409090909
AATS2se,8.000586363636364
AATS3dv,7.142592592592592
AATS3pe,6.703154166666666
AATS3se,8.039673316666667
AATS4dv,6.580697485806976
AATS4pe,6.66670802919708
AATS4se,8.057447824817517
AATS5dv,6.763416477702192
AATS5pe,6.670978911564626
AATS5se,8.081746897959185
AATS6dv,6.08851618914512
AATS6pe,6.638846540880504
AATS6se,8.036181289308177
AATS7dv,4.99268130405855
AATS7pe,6.474886227544911
AATS7se,7.913137329341317
AATS8dv,4.387785136129508
AATS8pe,6.401618543046358
AATS8se,7.864430026490066
AATSC0Z,12.56
AATSC0c,0.02099166025186838
AATSC0d,0.6916000000000001
AATSC0i,2.445596003784642
AATSC0m,58.09107675023566
AATSC0p,0.30418415722411557
AATSC0s,2.8880862063709802
AATSC0v,48.10326677887211
AATSC1Z,0.07547169811320754
AATSC1c,-0.011372237867701218
AATSC1d,0.1819849056603773
AATSC1i,-0.14323223358197823
AATSC1m,0.39133650834719685
AATSC1p,-0.004237894855969152
AATSC1s,-0.10583217813667375
AATSC1v,0.4966509165503448
AATSC2Z,0.3181818181818182
AATSC2c,-0.0008662410046416714
AATSC2d,-0.0063727272727273
AATSC2i,-0.25499415592843616
AATSC2m,1.454400215765388
AATSC2p,-0.0004216756876230792
AATSC2s,0.08355688780812241
AATSC2v,-0.5282889835275676
AATSC3Z,-1.65
AATSC3c,0.0037243129406346544
AATSC3d,0.008566666666666639
AATSC3i,-0.18780891644094275
AATSC3m,-7.848292198255435
AATSC3p,-0.034555144971960425
AATSC3s,-0.17056176903927248
AATSC3v,-5.8802893840792825
AATSC4Z,-0.014598540145985401
AATSC4c,-0.0016459225901001278
AATSC4d,-0.0453226277372263
AATSC4i,0.0707278337034108
AATSC4m,-0.24291780382143696
