DLiP-ID,I001ER
CIC5,0.4950977500432687
GGI1,5.0
GGI2,4.444444444444445
GGI3,2.5902777777777777
GGI4,2.067777777777778
GGI5,1.1044444444444446
GGI6,0.677641723356009
GGI7,0.4826743197278911
GGI8,0.26832168052406147
GGI9,0.21250000000000002
JGI1,0.15151515151515152
JGI2,0.09456264775413718
JGI3,0.049813034188034185
JGI4,0.042199546485260774
JGI5,0.026937669376693767
JGI6,0.018823381204333585
JGI7,0.015083572491496597
JGI8,0.009582917161573624
JGI9,0.0085
MIC0,17.011955204826176
MIC1,34.61596226288224
MIC2,40.97372185856587
MIC3,43.61649632889273
MIC4,44.67323486093635
MIC5,44.83451486093635
MPC2,47
MPC3,66
MPC4,85
MPC5,104
MPC6,111
MPC7,123
MPC8,132
MPC9,132
Mare,1.01048
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.17270740827520353
RPCG,0.1029037394910964
SIC0,0.30082929693569477
SIC1,0.6342394143538223
SIC2,0.7690895824851588
SIC3,0.8529027898353174
SIC4,0.8839272780851253
SIC5,0.912276689306814
SaaN,0
SaaO,0
SaaS,0
Sare,50.524
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.18101381377665
SssS,0
StCH,0
StsC,0
TIC0,84.89186447880496
TIC1,178.9778022249958
TIC2,217.0315500300061
TIC3,240.68303448440935
TIC4,249.43792198657292
TIC5,257.4379219865728
Vabc,354.7964571571469
WPol,52
apol,57.14085999999999
bpol,29.507139999999996
nRot,4
ABCGG,18.368604918527307
ATS0Z,1296.0
ATS0d,180.0
ATS0i,8166.908165944981
ATS0m,5167.531417149771
ATS0p,76.76112309697999
ATS0s,327.5
ATS0v,11711.596360308486
ATS1Z,1435.0
ATS1d,230.0
ATS1i,7788.2315094164005
ATS1m,5520.086408835199
ATS1p,97.20280419
ATS1s,186.11111111111111
ATS1v,14669.340401185134
ATS2Z,2138.0
ATS2d,359.0
ATS2i,14188.261248507395
ATS2m,8096.339770670399
ATS2p,145.439472741943
ATS2s,315.16666666666663
ATS2v,21685.251288913256
ATS3Z,2508.0
ATS3d,408.0
ATS3i,18470.177811822832
ATS3m,9406.4025619312
ATS3p,168.905961464886
ATS3s,458.13888888888886
ATS3v,24845.961558393217
ATS4Z,2527.0
ATS4d,381.0
ATS4i,20001.684174366535
ATS4m,9309.0473955536
ATS4p,163.88231184718802
ATS4s,526.1666666666666
ATS4v,24325.74827025052
ATS5Z,2228.0
ATS5d,337.0
ATS5i,20055.791285252835
ATS5m,8034.548133279999
ATS5p,150.994904641886
ATS5s,553.0555555555555
ATS5v,21808.45561275411
ATS6Z,1926.0
ATS6d,313.0
ATS6i,17909.318951630386
ATS6m,6969.481096254401
ATS6p,143.05620338443302
ATS6s,432.3888888888889
ATS6v,19822.993604832584
ATS7Z,1733.0
ATS7d,296.0
ATS7i,17924.319173662127
ATS7m,6215.2676509471985
ATS7p,129.73119900652702
ATS7s,387.55555555555554
ATS7v,17852.571810423684
ATS8Z,1523.0
ATS8d,260.0
ATS8i,15880.136471708982
ATS8m,5451.780481372799
ATS8p,109.59726085498001
ATS8s,359.05555555555554
ATS8v,15415.254246725068
C1SP1,0
C1SP2,3
C1SP3,4
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.22727272727272727
GGI10,0.1811060095908581
JGI10,0.007874174330037308
JGT10,0.4248920945067185
Kier1,23.168044077134986
Kier2,10.29244001810774
Kier3,4.859504132231405
MAXdO,12.80851234246887
MAXsF,14.36683028769463
MID_C,45.78412348063888
MID_N,6.493708803044283
MID_O,7.255865618371031
MID_X,1.784943572946907
MID_h,15.53451799436222
MINdO,12.539078314241761
MINsF,14.36683028769463
MPC10,138
MWC01,33.0
MWC02,5.081404364984463
MWC03,5.958424693029782
MWC04,6.849066282633458
MWC05,7.741099090035366
MWC06,8.637816633739977
MWC07,9.53524597222593
MWC08,10.435438457917067
MWC09,11.336080882134516
MWC10,12.23873826709212
NaaCH,8
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,2.4829
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.541263545158426
SRW05,2.3978952727983707
SRW06,7.085901464365611
SRW07,4.727387818712341
SRW08,8.71915396346254
SRW09,6.880384082186005
SRW10,10.398397186236718
SaaCH,12.874696317917012
SaaNH,2.8179320936830092
SaaSe,0
SaaaC,0.358813376722273
SaasC,0.31775396331118455
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.6240840927894844
SdssS,0
SsCH3,1.4408582275785904
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,3.049436287434574
SsssP,0
VE1_A,4.153227006680061
VE1_D,5.395564282756243
VE2_A,0.1384409002226687
VE2_D,0.17985214275854142
VE3_A,2.522497912713811
VE3_D,2.784189475561359
VR1_A,741.1112181909647
VR1_D,193.21777271031385
VR2_A,24.703707273032155
VR2_D,6.440592423677129
VR3_A,7.706762994727109
VR3_D,6.362430197469804
WPath,2659
Xc-3d,1.8629958343388284
Xc-4d,0.0
Xc-5d,0.7156843100388813
Xc-6d,0.0
Xp-0d,21.250347897697544
Xp-1d,14.507239053047545
Xp-2d,12.855672073348972
Xp-3d,11.803577560409826
Xp-4d,9.545645381974401
Xp-5d,7.451628590417608
Xp-6d,5.033706497007345
Xp-7d,3.5265365337260954
ZMIC0,94.82517585895093
ZMIC1,54.28880180891424
ZMIC2,37.84370787622038
ZMIC3,31.707915323345436
ZMIC4,28.777843888518532
ZMIC5,27.725775927062713
nAcid,0
nAtom,50
nBase,0
nRing,4
piPC1,3.8066624897703196
piPC2,4.403665809777363
piPC3,5.045841549830875
piPC4,5.600965018974845
piPC5,6.079360949014166
piPC6,6.353472899355852
piPC7,6.673367102545932
piPC8,6.965659291530385
piPC9,6.974182883817618
AATS0Z,25.92
AATS0d,3.6
AATS0i,163.33816331889963
AATS0m,103.35062834299542
AATS0p,1.5352224619395998
AATS0s,6.55
AATS0v,234.2319272061697
AATS1Z,27.07547169811321
AATS1d,4.339622641509434
AATS1i,146.94776432861133
AATS1m,104.15257375160753
AATS1p,1.8340151733962262
AATS1s,3.511530398322851
AATS1v,276.7800075695308
AATS2Z,23.494505494505493
AATS2d,3.9450549450549453
AATS2i,155.91495877480654
AATS2m,88.97076671066372
AATS2p,1.598235964197176
AATS2s,3.463369963369963
AATS2v,238.29946471333247
AATS3Z,21.435897435897434
AATS3d,3.4871794871794872
AATS3i,157.86476762241736
AATS3m,80.39660309342905
AATS3p,1.4436406962810768
AATS3s,3.915716999050332
AATS3v,212.35864579823263
AATS4Z,20.216
AATS4d,3.048
AATS4i,160.01347339493228
AATS4m,74.4723791644288
AATS4p,1.3110584947775041
AATS4s,4.209333333333333
AATS4v,194.60598616200414
AATS5Z,18.262295081967213
AATS5d,2.762295081967213
AATS5i,164.39173184633472
AATS5m,65.85695191213114
AATS5p,1.2376631528023443
AATS5s,4.533242258652095
AATS5v,178.75783289142714
AATS6Z,17.196428571428573
AATS6d,2.794642857142857
AATS6i,159.9046334966999
AATS6m,62.22750978798572
AATS6p,1.277287530218152
AATS6s,3.8606150793650795
AATS6v,176.99101432886235
AATS7Z,15.899082568807339
AATS7d,2.7155963302752295
AATS7i,164.44329517121216
AATS7m,57.02080413713026
AATS7p,1.190194486298413
AATS7s,3.5555555555555554
AATS7v,163.78506248095124
AATS8Z,16.03157894736842
AATS8d,2.736842105263158
AATS8i,167.1593312811472
AATS8m,57.38716296181894
AATS8p,1.1536553774208422
AATS8s,3.7795321637426897
AATS8v,162.26583417605335
AMID_C,1.5261374493546294
AMID_N,0.2164569601014761
AMID_O,0.24186218727903436
AMID_X,0.05949811909823023
AMID_h,0.5178172664787407
ATS0dv,492.0
ATS0pe,330.7546
ATS0se,400.27240399999994
ATS1dv,463.0
ATS1pe,352.85049999999995
ATS1se,418.102872
ATS2dv,683.0
ATS2pe,602.7092
ATS2se,723.4772039999999
ATS3dv,763.0
ATS3pe,765.1094
ATS3se,925.92998
ATS4dv,711.0
ATS4pe,833.3557999999998
ATS4se,1011.1339720000001
ATS5dv,626.0
ATS5pe,814.3883
ATS5se,993.484992
ATS6dv,527.0
ATS6pe,711.3036000000001
ATS6se,873.677612
ATS7dv,454.0
ATS7pe,685.2443
ATS7se,846.4780239999999
ATS8dv,390.0
ATS8pe,607.8276999999999
ATS8se,749.4714720000002
ATSC0Z,380.08
ATSC0c,1.2550163588621377
ATSC0d,32.08
ATSC0i,97.5113188166279
ATSC0m,1815.0792162891426
ATSC0p,11.459565466187998
ATSC0s,135.42000000000002
ATSC0v,2376.4208931974777
ATSC1Z,17.63519999999998
ATSC1c,-0.5385441120508535
ATSC1d,13.555200000000001
ATSC1i,-17.85284095561891
ATSC1m,82.90083097771767
ATSC1p,-0.8549667425524768
ATSC1s,-3.2640888888888875
ATSC1v,-29.056629511709033
ATSC2Z,17.17439999999997
ATSC2c,-0.3943750277184139
ATSC2d,0.4144000000000021
ATSC2i,6.880106778500004
ATSC2m,92.4577262777591
ATSC2p,1.894686607564842
ATSC2s,-0.6677333333333335
ATSC2v,395.3405029522006
ATSC3Z,67.37279999999997
ATSC3c,0.5374418092448099
ATSC3d,-12.987200000000001
ATSC3i,-8.53031531493473
ATSC3m,309.2634060519665
ATSC3p,-1.6218322089891184
ATSC3s,28.21942222222222
ATSC3v,-7.805085241402125
ATSC4Z,-92.36000000000001
ATSC4c,-0.2813411213442696
ATSC4d,-12.880000000000003
ATSC4i,-43.349532374058775
ATSC4m,-430.7920775536164
ATSC4p,-4.853086644516799
ATSC4s,-54.973333333333336
ATSC4v,-818.6773454462555
ATSC5Z,-163.83520000000001
ATSC5c,-0.0777483080037908
ATSC5d,-2.1152000000000006
ATSC5i,22.242923114562892
ATSC5m,-767.3491843477502
ATSC5p,0.7639992812564788
ATSC5s,-40.915911111111114
ATSC5v,-489.3960697652665
ATSC6Z,-15.579199999999998
ATSC6c,0.03551020498786234
ATSC6d,-4.0992000000000015
ATSC6i,-22.2205135106133
ATSC6m,-79.08352473308479
ATSC6p,-3.7057786478757198
ATSC6s,24.421422222222226
ATSC6v,-777.6835069828564
ATSC7Z,40.345600000000026
ATSC7c,0.21482391784528154
ATSC7d,-2.4544000000000015
ATSC7i,-14.184755783505613
ATSC7m,169.8014562486147
ATSC7p,-1.2827649811064408
ATSC7s,24.24995555555556
ATSC7v,-115.88218236529409
ATSC8Z,-2.3919999999999852
ATSC8c,-0.008644224303888087
ATSC8d,-0.7519999999999998
ATSC8i,7.074055208665618
ATSC8m,-23.344966394140386
ATSC8p,0.4452392800395987
ATSC8s,-2.8257777777777813
ATSC8v,152.7853103330869
AXp-0d,0.7083449299232515
AXp-1d,0.4396133046378044
AXp-2d,0.2735249377308292
AXp-3d,0.17884208424863374
AXp-4d,0.11230171037616943
AXp-5d,0.0716502749078616
AXp-6d,0.045348707180246355
AXp-7d,0.02867102872948045
GATS1Z,0.6664932506761239
GATS1c,1.4308218046977161
GATS1d,0.6484378675951631
GATS1i,1.2148326174630346
GATS1m,0.6696666833435717
GATS1p,1.0857092146041827
GATS1s,0.5087151023587769
GATS1v,0.9339971589089513
GATS2Z,0.8138974790732315
GATS2c,1.3500358052903252
GATS2d,1.132984845578362
GATS2i,0.9718736872917313
GATS2m,0.8096552437959277
GATS2p,0.8693771135770672
GATS2s,0.5863287625582706
GATS2v,0.829312162100169
GATS3Z,0.8291664193053375
GATS3c,0.9307452224248534
GATS3d,1.3316068802353092
GATS3i,1.045461296313788
GATS3m,0.8326256500783223
GATS3p,1.0402151448875567
GATS3s,0.7548584734377083
GATS3v,0.9574073006386726
GATS4Z,1.0751946958535046
GATS4c,1.2640240285840145
GATS4d,1.2219451371571073
GATS4i,1.1601040895109263
GATS4m,1.0681741098934545
GATS4p,1.1363654523516311
GATS4s,1.4571185940038394
GATS4v,1.0665716477679075
GATS5Z,1.2094196735113574
GATS5c,1.1089295813342943
GATS5d,1.0078543395609338
GATS5i,0.8794599596573565
GATS5m,1.199346634996472
GATS5p,0.9145717001312853
GATS5s,1.5633890071205305
GATS5v,1.0081853465592037
GATS6Z,0.9847433435066302
GATS6c,0.7840193851806567
GATS6d,0.9751013092269326
GATS6i,0.9985367754228216
GATS6m,0.9851605270527957
GATS6p,1.1320037065853603
GATS6s,0.8741707896421012
GATS6v,1.1490369896659334
GATS7Z,0.9686758364728623
GATS7c,0.7707239566793391
GATS7d,0.9739126953259054
GATS7i,1.0585529456445453
GATS7m,0.9779311463598496
GATS7p,1.0251182397094802
GATS7s,0.820865232806878
GATS7v,1.0363823959266292
GATS8Z,1.06189555661412
GATS8c,1.0011483825234304
GATS8d,1.0209673185457409
GATS8i,1.038650492926135
GATS8m,1.0689433303492843
GATS8p,0.9423404999343613
GATS8s,1.1360314153670494
GATS8v,0.955181329048397
MATS1Z,0.04377231407092047
MATS1c,-0.40482379331491475
MATS1d,0.3986260763186375
MATS1i,-0.17272151574518269
MATS1m,0.043088108997770484
MATS1p,-0.07038420444599255
MATS1s,-0.022739101613212333
MATS1v,-0.011534957764491373
MATS2Z,0.024827624490853243
MATS2c,-0.17265876587132306
MATS2d,0.0070976405140994025
MATS2i,0.038767586118224596
MATS2m,0.02798828175010662
MATS2p,0.0908443344239124
MATS2s,-0.0027092486108879557
MATS2v,0.09140639067302313
MATS3Z,0.07575193346609886
MATS3c,0.1830063689886819
MATS3d,-0.17300765181064437
MATS3i,-0.03738472558377113
MATS3m,0.07281436950744243
MATS3p,-0.06048141089181654
MATS3s,0.08905318377085225
MATS3v,-0.0014035840717305692
MATS4Z,-0.09720058934961062
MATS4c,-0.08966930808753693
MATS4d,-0.1605985037406484
MATS4i,-0.17782359176406376
MATS4m,-0.094936259241479
MATS4p,-0.16939862715863238
MATS4s,-0.1623787722148378
MATS4v,-0.13780005853167263
MATS5Z,-0.17666168640941857
MATS5c,-0.025389358817745535
MATS5d,-0.02702260741588652
MATS5i,0.09348609173541252
MATS5m,-0.17326371643287328
MATS5p,0.0273234147014739
MATS5s,-0.12382820875161643
MATS5v,-0.08440094105972666
MATS6Z,-0.018298779204378023
MATS6c,0.012631524658563056
MATS6d,-0.057044887780548656
MATS6i,-0.10173046804552911
MATS6m,-0.019451021560539437
MATS6p,-0.14436546243249326
MATS6s,0.08050820140984076
MATS6v,-0.14609370673340052
MATS7Z,0.04869279089481889
MATS7c,0.07851936023347822
MATS7d,-0.03509574687135375
MATS7i,-0.06672834279132471
MATS7m,0.042913045095671704
MATS7p,-0.05134787222046155
MATS7s,0.08214320501882541
MATS7v,-0.022368497322974978
MATS8Z,-0.0033123220596217766
MATS8c,-0.003625125446980915
MATS8d,-0.012337577109856931
MATS8i,0.038182100263978634
MATS8m,-0.006769304781688013
MATS8p,0.020448983329268217
MATS8s,-0.010982509688290546
MATS8v,0.033837996231275445
MAXssO,5.18101381377665
MINssO,5.18101381377665
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.68499857934907
SpAD_D,366.98639367885363
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.111352674168332
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1001
TMWC10,140.81331464379267
TSRW10,79.95507595231099
VE1_Dt,5.401160737765151
VE2_Dt,0.18003869125883837
VE3_Dt,2.785226170577579
VR1_Dt,192.42615586678968
VR2_Dt,6.414205195559656
VR3_Dt,6.358324762913582
Xc-3dv,0.7599070816154031
Xc-4dv,0.0
Xc-5dv,0.14694360845263238
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.40761762817152125
Xch-7d,0.6786109017349757
Xp-0dv,16.352614104127795
Xp-1dv,9.524569241699055
Xp-2dv,6.981547144900617
Xp-3dv,5.280062235040663
Xp-4dv,3.6651831886288013
Xp-5dv,2.42531653652476
Xp-6dv,1.3098838590247743
Xp-7dv,0.7941091037396969
Xpc-4d,5.4929544134932655
Xpc-5d,8.79672797846855
Xpc-6d,13.61795588435511
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,53
nFRing,1
nHBAcc,4
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,7.0472216613794005
AATS0dv,9.84
AATS0pe,6.615092
AATS0se,8.005448079999999
AATS1dv,8.735849056603774
AATS1pe,6.657556603773584
AATS1se,7.888733433962264
AATS2dv,7.5054945054945055
AATS2pe,6.623178021978022
AATS2se,7.950298945054944
AATS3dv,6.521367521367521
AATS3pe,6.5393965811965815
AATS3se,7.913931452991453
AATS4dv,5.688
AATS4pe,6.666846399999999
AATS4se,8.089071776
AATS5dv,5.131147540983607
AATS5pe,6.675313934426229
AATS5se,8.143319606557377
AATS6dv,4.705357142857143
AATS6pe,6.350925000000001
AATS6se,7.800692964285714
AATS7dv,4.165137614678899
AATS7pe,6.28664495412844
AATS7se,7.765853431192659
AATS8dv,4.105263157894737
AATS8pe,6.398186315789473
AATS8se,7.889173389473686
AATSC0Z,7.6015999999999995
AATSC0c,0.025100327177242754
AATSC0d,0.6416
AATSC0i,1.950226376332558
AATSC0m,36.30158432578285
AATSC0p,0.22919130932375997
AATSC0s,2.7084
AATSC0v,47.52841786394956
AATSC1Z,0.332739622641509
AATSC1c,-0.01016120966133686
AATSC1d,0.2557584905660378
AATSC1i,-0.3368460557663945
AATSC1m,1.5641666222210882
AATSC1p,-0.016131447972688243
AATSC1s,-0.06158658280922429
AATSC1v,-0.5482382926737553
AATSC2Z,0.18872967032967
AATSC2c,-0.004333791513389164
AATSC2d,0.0045538461538461765
AATSC2i,0.07560556899450553
AATSC2m,1.0160189700852646
AATSC2p,0.020820731951262002
AATSC2s,-0.00733772893772894
AATSC2v,4.344401131342864
AATSC3Z,0.5758358974358971
AATSC3c,0.004593519737135127
AATSC3d,-0.11100170940170942
AATSC3i,-0.07290867790542505
AATSC3m,2.6432769748031326
AATSC3p,-0.013861813752043747
AATSC3s,0.24119164292497625
AATSC3v,-0.06671013026839423
AATSC4Z,-0.7388800000000001
AATSC4c,-0.0022507289707541568
AATSC4d,-0.10304000000000002
AATSC4i,-0.3467962589924702
AATSC4m,-3.4463366204289314
AATSC4p,-0.0388246931561344
AATSC4s,-0.4397866666666667
AATSC4v,-6.549418763570044
AATSC5Z,-1.3429114754098361
AATSC5c,-0.0006372812131458263
