DLiP-ID,T004SQ
Vabc,229.11431895127325
WPol,23
apol,38.19068799999998
bpol,16.051311999999996
nRot,2
ABCGG,10.839962736001047
ATS0Z,656.0
ATS0d,100.0
ATS0i,5172.843415630484
ATS0m,2580.450961
ATS0p,52.37941047758401
ATS0s,109.88888888888889
ATS0v,7490.001115848515
ATS1Z,758.0
ATS1d,120.0
ATS1i,4790.869874334651
ATS1m,2842.387358
ATS1p,65.98857263599999
ATS1s,104.8888888888889
ATS1v,9305.579707997673
ATS2Z,1044.0
ATS2d,186.0
ATS2i,8033.732095777995
ATS2m,3866.9122239999992
ATS2p,94.540765179094
ATS2s,150.00000000000003
ATS2v,12977.748718485444
ATS3Z,1121.0
ATS3d,195.0
ATS3i,10071.956248007245
ATS3m,3999.038095
ATS3p,105.111296924245
ATS3s,195.88888888888889
ATS3v,14002.622518515946
ATS4Z,889.0
ATS4d,178.0
ATS4i,11976.031929075236
ATS4m,2948.3449559999995
ATS4p,95.321316930735
ATS4s,196.66666666666669
ATS4v,12023.103045492644
ATS5Z,712.0
ATS5d,148.0
ATS5i,10145.969751547385
ATS5m,2375.445633
ATS5p,82.007541637584
ATS5s,140.8888888888889
ATS5v,10012.790423301332
ATS6Z,644.0
ATS6d,133.0
ATS6i,9666.779576456925
ATS6m,2230.2019049999994
ATS6p,70.50959252237601
ATS6s,127.11111111111111
ATS6v,8737.16138018698
ATS7Z,620.0
ATS7d,119.0
ATS7i,7141.522656740139
ATS7m,2193.794961
ATS7p,62.94714904418801
ATS7s,108.33333333333334
ATS7v,8134.68321427478
ATS8Z,551.0
ATS8d,98.0
ATS8i,6379.9385539195455
ATS8m,1870.412642
ATS8p,57.278640894245
ATS8s,110.0
ATS8v,7246.901582304934
C1SP1,0
C1SP2,0
C1SP3,2
C2SP1,0
C2SP2,10
C2SP3,0
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.125
GGI10,0.012345679012345678
JGI10,0.012345679012345678
JGT10,0.4529663417825944
Kier1,13.432098765432098
Kier2,6.25
Kier3,3.728894173602854
MID_C,32.38950965054847
MID_N,0.0
MID_O,1.7509488239723097
MID_X,0.0
MID_h,1.7509488239723097
MPC10,28
MWC01,18.0
MWC02,4.442651256490317
MWC03,5.25227342804663
MWC04,6.089044875446846
MWC05,6.912742820493176
MWC06,7.753194269884341
MWC07,8.581669210600602
MWC08,9.42424134192346
MWC09,10.2553760597409
MWC10,11.09948362717625
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,2
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.179440000000003
SRW02,3.6109179126442243
SRW03,0.0
SRW04,4.890349128221754
SRW05,0.0
SRW06,6.368187186350492
SRW07,0.0
SRW08,7.933438387627489
SRW09,0.0
SRW10,9.540866393419853
SaaCH,14.155734560786868
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.509091343327455
SaasN,0
SdCH2,0
SddsN,0
SdsCH,4.138922902494331
SdssC,0
SdssS,0
SsCH3,3.8376795162509447
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.5403896806966064
VE1_D,4.070822633935214
VE2_A,0.2082582165115651
VE2_D,0.23946015493736555
VE3_A,1.7948650514423996
VE3_D,1.9344733514529076
VR1_A,127.80724359448233
VR1_D,79.00444695784972
VR2_A,7.518073152616608
VR2_D,4.647320409285278
VR3_A,5.3811514705424575
VR3_D,4.900132392550628
WPath,568
Xc-3d,1.07210290098477
Xc-4d,0.0
Xc-5d,0.2721655269759087
Xc-6d,0.0
Xp-0d,12.25071237662706
Xp-1d,8.164703797946446
Xp-2d,7.232500563300949
Xp-3d,5.913281727312947
Xp-4d,4.320854501961505
Xp-5d,3.2074180674288293
Xp-6d,1.8832158915987685
Xp-7d,1.1608684650379015
ZMIC0,57.93664893470353
ZMIC1,46.006842924653945
ZMIC2,31.367236507130745
ZMIC3,22.185957628164502
ZMIC4,19.497560211547032
ZMIC5,19.31305147704046
nAcid,0
nAtom,33
nBase,0
nRing,2
piPC1,3.258096538021482
piPC2,3.8501476017100584
piPC3,4.394449154672439
piPC4,4.8846940707384086
piPC5,5.40042258948519
piPC6,5.464361325821674
piPC7,5.702740265077757
piPC8,6.0063531596017325
piPC9,6.459708817088444
AATS0Z,19.87878787878788
AATS0d,3.0303030303030303
AATS0i,156.75283077668132
AATS0m,78.19548366666666
AATS0p,1.5872548629570913
AATS0s,3.32996632996633
AATS0v,226.96973078328833
AATS1Z,22.294117647058822
AATS1d,3.5294117647058822
AATS1i,140.90793748043092
AATS1m,83.59962817647059
AATS1p,1.9408403716470584
AATS1s,3.084967320261438
AATS1v,273.693520823461
AATS2Z,18.98181818181818
AATS2d,3.381818181818182
AATS2i,146.06785628687263
AATS2m,70.30749498181817
AATS2p,1.7189230032562544
AATS2s,2.727272727272728
AATS2v,235.95906760882625
AATS3Z,16.485294117647058
AATS3d,2.8676470588235294
AATS3i,148.11700364716538
AATS3m,58.809383749999995
AATS3p,1.5457543665330147
AATS3s,2.880718954248366
AATS3v,205.92091938994037
AATS4Z,11.697368421052632
AATS4d,2.3421052631578947
AATS4i,157.57936748783206
AATS4m,38.79401257894736
AATS4p,1.2542278543517762
AATS4s,2.5877192982456143
AATS4v,158.19872428279794
AATS5Z,10.953846153846154
AATS5d,2.276923076923077
AATS5i,156.09184233149824
AATS5m,36.54531743076923
AATS5p,1.2616544867320616
AATS5s,2.167521367521368
AATS5v,154.04292958925126
AATS6Z,10.733333333333333
AATS6d,2.216666666666667
AATS6i,161.11299294094877
AATS6m,37.17003174999999
AATS6p,1.1751598753729335
AATS6s,2.1185185185185187
AATS6v,145.61935633644967
AATS7Z,13.478260869565217
AATS7d,2.5869565217391304
AATS7i,155.2504925378291
AATS7m,47.69119480434783
AATS7p,1.3684162835693046
AATS7s,2.355072463768116
AATS7v,176.84093944075607
AATS8Z,13.119047619047619
AATS8d,2.3333333333333335
AATS8i,151.90329890284633
AATS8m,44.53363433333333
AATS8p,1.3637771641486904
AATS8s,2.619047619047619
AATS8v,172.5452757691651
AMID_C,1.9052652735616746
AMID_N,0.0
AMID_O,0.10299698964542998
AMID_X,0.0
AMID_h,0.10299698964542998
ATS0dv,188.0
ATS0pe,193.31359999999998
ATS0se,241.49539600000003
ATS1dv,201.0
ATS1pe,211.03249999999997
ATS1se,254.45830399999997
ATS2dv,255.0
ATS2pe,329.889
ATS2se,404.21070399999996
ATS3dv,220.0
ATS3pe,407.2355
ATS3se,501.70294
ATS4dv,144.0
ATS4pe,447.0235
ATS4se,563.0403120000001
ATS5dv,134.0
ATS5pe,366.20200000000006
ATS5se,464.25025200000005
ATS6dv,135.0
ATS6pe,333.95
ATS6se,427.82228399999997
ATS7dv,122.0
ATS7pe,264.65000000000003
ATS7se,332.965452
ATS8dv,90.0
ATS8pe,245.234
ATS8se,306.16028
ATSC0Z,219.63636363636363
ATSC0c,0.4303656786084921
ATSC0d,18.060606060606066
ATSC0i,45.10544121800383
ATSC0m,1055.8498758787878
ATSC0p,8.181572601422062
ATSC0s,26.895622895622896
ATSC0v,1803.6046301740414
ATSC1Z,0.3140495867768669
ATSC1c,-0.22284508295940053
ATSC1d,7.4527089072543635
ATSC1i,4.123697726891864
ATSC1m,4.098390306703283
ATSC1p,0.6886223772170278
ATSC1s,-4.663503724109785
ATSC1v,99.86451580719014
ATSC2Z,29.454545454545467
ATSC2c,0.01649718641433253
ATSC2d,-5.19191919191919
ATSC2i,2.7383726814924865
ATSC2m,140.51437420202006
ATSC2p,0.5752456883151713
ATSC2s,1.810325476992144
ATSC2v,180.6970746246899
ATSC3Z,-67.09917355371901
ATSC3c,0.08286485058496627
ATSC3d,-9.609733700642792
ATSC3i,-26.161750605980743
ATSC3m,-331.354799113866
ATSC3p,-4.5905133007303975
ATSC3s,3.743699622487502
ATSC3v,-863.5461993860661
ATSC4Z,-124.22314049586774
ATSC4c,-0.18729934198055562
ATSC4d,-6.745638200183654
ATSC4i,-0.42106363521533785
ATSC4m,-584.5115363572085
ATSC4p,-0.5409707494011398
ATSC4s,-19.234363840424447
ATSC4v,-477.6631455559658
ATSC5Z,-35.768595041322314
ATSC5c,0.09909977250354926
ATSC5d,3.6988062442607896
ATSC5i,-12.576730424476725
ATSC5m,-176.20531576124887
ATSC5p,-2.231674398451937
ATSC5s,1.4614835220895823
ATSC5v,-435.32842753046486
ATSC6Z,95.57024793388427
ATSC6c,-0.008636798370385177
ATSC6d,6.223140495867768
ATSC6i,18.115754865207563
ATSC6m,461.2032370688705
ATSC6p,3.388082971565466
ATSC6s,3.654423018059382
ATSC6v,796.8400914462206
ATSC7Z,24.628099173553725
ATSC7c,-0.01887858652581714
ATSC7d,-4.720844811753902
ATSC7i,5.440963072721496
ATSC7m,119.41218695684113
ATSC7p,1.0039587863143398
ATSC7s,0.4148556269768386
ATSC7v,225.07844899489953
ATSC8Z,-68.17355371900827
ATSC8c,0.04913385622558767
ATSC8d,-5.7134986225895315
ATSC8i,-21.607749375921422
ATSC8m,-333.95876684573005
ATSC8p,-3.848461003506713
ATSC8s,1.0082644628099175
ATSC8v,-766.475022826725
AXp-0d,0.7206301398015917
AXp-1d,0.4535946554414692
AXp-2d,0.30135419013753956
AXp-3d,0.20390626645906715
AXp-4d,0.1309349849079244
AXp-5d,0.08440573861654814
AXp-6d,0.05706714823026571
AXp-7d,0.03869561550126339
GATS1Z,0.9170237631476432
GATS1c,1.3445547776119757
GATS1d,0.7556257402289772
GATS1i,0.9135515513576937
GATS1m,0.9166295799672954
GATS1p,0.9127006565562701
GATS1s,1.0478659165218416
GATS1v,0.9118490246964657
GATS2Z,0.8384105960264902
GATS2c,0.5762240565016845
GATS2d,1.514093959731543
GATS2i,0.9531817543014973
GATS2m,0.8426703510851593
GATS2p,0.9482046428123292
GATS2s,0.5960941412118177
GATS2v,0.9189004713287917
GATS3Z,1.0884300740163615
GATS3c,0.805824043495069
GATS3d,1.341887090406632
GATS3i,1.2567282416879495
GATS3m,1.0933499383565868
GATS3p,1.244422557918942
GATS3s,0.850540516657339
GATS3v,1.1927605918083157
GATS4Z,1.2662077378877659
GATS4c,1.6528766508942567
GATS4d,1.1773225008830799
GATS4i,0.9700677224806228
GATS4m,1.2548010188449341
GATS4p,0.9813418998529305
GATS4s,1.9342698257913182
GATS4v,1.054232805369566
GATS5Z,1.013143148242486
GATS5c,0.6523744366434167
GATS5d,0.7632421270005161
GATS5i,1.1043816724383675
GATS5m,1.0197907732457385
GATS5p,1.1127354321366028
GATS5s,0.43828820153306886
GATS5v,1.110806034293317
GATS6Z,0.7321192052980133
GATS6c,0.5652230480240349
GATS6d,0.6348993288590602
GATS6i,0.7439247253838414
GATS6m,0.7334594281111965
GATS6p,0.7468177677086814
GATS6s,0.6158237356034051
GATS6v,0.7497133160320163
GATS7Z,0.8757558306939246
GATS7c,0.7841001635097532
GATS7d,1.2903414064779688
GATS7i,0.8860215003337752
GATS7m,0.8769212418358231
GATS7p,0.8885371893118967
GATS7s,0.7543924582525962
GATS7v,0.8910550574191447
GATS8Z,1.184642068748029
GATS8c,0.746937322056995
GATS8d,1.1390220517737293
GATS8i,1.340559309387123
GATS8m,1.1908585207597069
GATS8p,1.3354193025917078
GATS8s,0.7868946276557693
GATS8v,1.2984236248505683
MATS1Z,0.0013878067783405083
MATS1c,-0.5025745001619836
MATS1d,0.40051322542439793
MATS1i,0.0887345826035901
MATS1m,0.0037674384457533597
MATS1p,0.08169196931295875
MATS1s,-0.1682928804972164
MATS1v,0.053740893399929365
MATS2Z,0.08046357615894045
MATS2c,0.022999770522138013
MATS2d,-0.17248322147650996
MATS2i,0.03642628393666348
MATS2m,0.07984906419678428
MATS2p,0.042185950037174
MATS2s,0.040385578367551335
MATS2v,0.06011197962180434
MATS3Z,-0.1482579372808726
MATS3c,0.09344105849381518
MATS3d,-0.25821654165021707
MATS3i,-0.28147698666927495
MATS3m,-0.15229867288684754
MATS3p,-0.2722886186254504
MATS3s,0.0675498541930543
MATS3v,-0.2323535235314255
MATS4Z,-0.2455831735796444
MATS4c,-0.1889726572131287
MATS4d,-0.1621776757329565
MATS4i,-0.004053397056369216
MATS4m,-0.24037608720470285
MATS4p,-0.02871027432771154
MATS4s,-0.31052499802335076
MATS4v,-0.11499547204727319
MATS5Z,-0.08267957208354561
MATS5c,0.11690567973911116
MATS5d,0.10397521941146098
MATS5i,-0.14155962385039322
MATS5m,-0.08472613903754443
MATS5p,-0.13848241414749238
MATS5s,0.027587535148877153
MATS5v,-0.12253954679395467
MATS6Z,0.23932119205298008
MATS6c,-0.011037681069435805
MATS6d,0.18951342281879188
MATS6i,0.2208971890488273
MATS6m,0.2402441731375449
MATS6p,0.2277613027643507
MATS6s,0.07473084626940411
MATS6v,0.242992307162757
MATS7Z,0.08044198099625686
MATS7c,-0.03146936311415241
MATS7d,-0.18751823752553246
MATS7i,0.08653722234491808
MATS7m,0.08113394386175896
MATS7p,0.08803091267567792
MATS7s,0.011065511310443912
MATS7v,0.08952589686435625
MATS8Z,-0.24388008514664147
MATS8c,0.08970318654010402
MATS8d,-0.24856184084371993
MATS8i,-0.3763962153643412
MATS8m,-0.2485165551890823
MATS8p,-0.36958552295239505
MATS8s,0.029454896630660282
MATS8v,-0.33390376416367257
MAXsOH,9.691905010473732
MINsOH,9.691905010473732
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,21.77375465791252
SpAD_D,137.57018217927993
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,312
TMWC10,104.81067688980252
TSRW10,49.34375900826382
VE1_Dt,4.071420837137687
VE2_Dt,0.23949534336104042
VE3_Dt,1.934620289629265
VR1_Dt,78.96201802170344
VR2_Dt,4.644824589511967
VR3_Dt,4.8995952033798496
Xc-3dv,0.5370269237621829
Xc-4dv,0.0
Xc-5dv,0.06454972243679029
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.1576176281715213
Xch-7d,0.27811916038128914
Xp-0dv,10.143366018206592
Xp-1dv,5.69967454117515
Xp-2dv,4.247324271985522
Xp-3dv,2.78119584935145
Xp-4dv,1.8422145712210047
Xp-5dv,1.07657128884503
Xp-6dv,0.5529531212005009
Xp-7dv,0.27171271474572467
Xpc-4d,2.4858538107636496
Xpc-5d,3.2802617672801286
Xpc-6d,4.273464299889093
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,34
nFRing,0
nHBAcc,1
nHBDon,1
nHRing,0
nSpiro,0
naRing,2
piPC10,6.710675351212637
AATS0dv,5.696969696969697
AATS0pe,5.8579878787878785
AATS0se,7.318042303030304
AATS1dv,5.911764705882353
AATS1pe,6.206838235294117
AATS1se,7.484067764705881
AATS2dv,4.636363636363637
AATS2pe,5.9979818181818185
AATS2se,7.349285527272727
AATS3dv,3.235294117647059
AATS3pe,5.988757352941176
AATS3se,7.377984411764706
AATS4dv,1.894736842105263
AATS4pe,5.881888157894737
AATS4se,7.4084251578947375
AATS5dv,2.0615384615384613
AATS5pe,5.633876923076924
AATS5se,7.14231156923077
AATS6dv,2.25
AATS6pe,5.565833333333333
AATS6se,7.1303714
AATS7dv,2.652173913043478
AATS7pe,5.753260869565218
AATS7se,7.238379391304348
AATS8dv,2.142857142857143
AATS8pe,5.838904761904762
AATS8se,7.2895304761904764
AATSC0Z,6.65564738292011
AATSC0c,0.013041384200257336
AATSC0d,0.5472910927456384
AATSC0i,1.3668315520607222
AATSC0m,31.99545078420569
AATSC0p,0.2479264424673352
AATSC0s,0.8150188756249362
AATSC0v,54.65468576284974
AATSC1Z,0.009236752552260792
AATSC1c,-0.006554267145864721
AATSC1d,0.21919732080159893
AATSC1i,0.12128522726152541
AATSC1m,0.12054089137362599
AATSC1p,0.02025359932991258
AATSC1s,-0.13716187423852308
AATSC1v,2.9371916413879453
AATSC2Z,0.5355371900826449
AATSC2c,0.0002999488438969551
AATSC2d,-0.0943985307621671
AATSC2i,0.0497885942089543
AATSC2m,2.554806803673092
AATSC2p,0.010459012514821297
AATSC2s,0.032915008672584435
AATSC2v,3.2854013568125433
AATSC3Z,-0.9867525522605737
AATSC3c,0.0012186007438965629
AATSC3d,-0.14131961324474696
AATSC3i,-0.3847316265585403
AATSC3m,-4.872864692850971
AATSC3p,-0.06750754854015291
AATSC3s,0.0550544062130515
AATSC3v,-12.699208814500972
AATSC4Z,-1.6345150065245755
AATSC4c,-0.0024644650260599423
AATSC4d,-0.08875839737083756
AATSC4i,-0.005540310989675498
AATSC4m,-7.690941267858006
AATSC4p,-0.007118036176330786
AATSC4s,-0.2530837347424269
AATSC4v,-6.285041388894287
AATSC5Z,-0.5502860775588049
AATSC5c,0.0015246118846699887
AATSC5d,0.05690471145016599
AATSC5i,-0.193488160376565
AATSC5m,-2.710851011711521
AATSC5p,-0.03433345228387596
AATSC5s,0.022484361878301266
AATSC5v,-6.6973604235456135
AATSC6Z,1.592837465564738
AATSC6c,-0.0001439466395064196
AATSC6d,0.1037190082644628
AATSC6i,0.30192924775345936
AATSC6m,7.686720617814509
AATSC6p,0.0564680495260911
AATSC6s,0.0609070503009897
AATSC6v,13.280668190770344
