DLiP-ID,P000AN
MID,48.0919819779909
Mpe,0.9661406025824963
Mse,0.9994670740589416
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,93.00270000000003
SdO,12.523436397707233
SdS,0
Spe,39.61176470588235
SsF,0
SsI,0
Sse,40.97815003641661
StN,0
fMF,0.5365853658536586
nBr,0
nCl,0
AMID,2.090955738173517
BIC0,0.25625049041673253
BIC1,0.5384526623776719
BIC2,0.6466352133066678
BIC3,0.802931778258083
BIC4,0.8542756993064603
BIC5,0.8542756993064603
CIC0,3.8968115312534084
CIC1,2.2881350616615874
CIC2,1.6714469515361174
CIC3,0.7804878048780513
CIC4,0.4878048780487809
CIC5,0.4878048780487809
GGI1,3.0
GGI2,2.4444444444444455
GGI3,1.3125
GGI4,1.08
GGI5,0.9027777777777778
GGI6,0.486530612244898
GGI7,0.19618055555555555
GGI8,0.061224489795918366
GGI9,0.022499999999999992
JGI1,0.11538461538461539
JGI2,0.06790123456790126
JGI3,0.03453947368421052
JGI4,0.03085714285714286
JGI5,0.02655228758169935
JGI6,0.016217687074829932
JGI7,0.008174189814814815
JGI8,0.003826530612244898
JGI9,0.002499999999999999
MIC0,13.080000262273238
MIC1,26.64761423810577
MIC2,34.054655128822795
MIC3,38.17313219255657
MIC4,38.468156582800475
MIC5,38.468156582800475
MPC2,36
MPC3,50
MPC4,68
MPC5,91
MPC6,97
MPC7,117
MPC8,130
MPC9,141
Mare,0.977951219512195
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.23777152459173026
RPCG,0.10795843442810373
SIC0,0.2726507315478322
SIC1,0.5729140735004964
SIC2,0.6880203962378023
SIC3,0.8543200692769218
SIC4,0.9089500432980763
SIC5,0.9089500432980763
SaaN,0
SaaO,6.165797430083144
SaaS,0
Sare,40.096
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,59.89035940795169
TIC1,125.84609466121636
TIC2,151.13030717636062
TIC3,187.65963218934132
TIC4,199.6596321893414
TIC5,199.6596321893414
Vabc,273.53664592654985
WPol,38
apol,47.536273999999985
bpol,22.941725999999996
nRot,2
ABCGG,13.965063264014379
ATS0Z,928.0
ATS0d,142.0
ATS0i,6530.993199371482
ATS0m,3663.635551
ATS0p,64.698540287282
ATS0s,151.16666666666666
ATS0v,9525.73843336609
ATS1Z,1111.0
ATS1d,184.0
ATS1i,6361.344467540597
ATS1m,4234.3760820000025
ATS1p,83.06694557000003
ATS1s,132.2777777777778
ATS1v,12174.033296575117
ATS2Z,1634.0
ATS2d,290.0
ATS2i,11561.024263288591
ATS2m,6088.726515999997
ATS2p,125.31187069939595
ATS2s,219.88888888888894
ATS2v,17968.769528017565
ATS3Z,1808.0
ATS3d,339.0
ATS3i,16052.245562781982
ATS3m,6614.377969999999
ATS3p,144.09732980928192
ATS3s,276.9444444444445
ATS3v,20143.351707732196
ATS4Z,1724.0
ATS4d,310.0
ATS4i,15473.336366467183
ATS4m,6264.460451000001
ATS4p,136.01997967443302
ATS4s,296.3888888888888
ATS4v,18933.0883911225
ATS5Z,1631.0
ATS5d,293.0
ATS5i,14673.253033917938
ATS5m,5938.146122
ATS5p,131.221554120433
ATS5s,270.91666666666674
ATS5v,18271.07948345713
ATS6Z,1492.0
ATS6d,273.0
ATS6i,13678.208681121543
ATS6m,5327.879774
ATS6p,124.45446071164099
ATS6s,268.6666666666667
ATS6v,17145.790142689664
ATS7Z,1262.0
ATS7d,231.0
ATS7i,12776.411464275594
ATS7m,4392.617503999999
ATS7p,113.03157984594299
ATS7s,247.66666666666669
ATS7v,15075.527212648087
ATS8Z,927.0
ATS8d,184.0
ATS8i,12294.871216908887
ATS8m,3074.561419999999
ATS8p,97.21240596103699
ATS8s,184.5
ATS8v,12117.92998542923
C1SP1,0
C1SP2,1
C1SP3,4
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.21052631578947367
GGI10,0.01632486480971329
JGI10,0.004081216202428323
JGT10,0.31003437777988735
Kier1,16.467455621301774
Kier2,7.486111111111111
Kier3,3.52
MAXdO,12.523436397707233
MID_C,39.95244027219641
MID_N,4.241759775151522
MID_O,3.8977819306429606
MID_X,0.0
MID_h,8.139541705794482
MINdO,12.523436397707233
MPC10,139
MWC01,26.0
MWC02,4.8283137373023015
MWC03,5.6937321388027
MWC04,6.577861357721047
MWC05,7.463363045520021
MWC06,8.35772841676521
MWC07,9.251770181739323
MWC08,10.15116760669524
MWC09,11.049603463848204
MWC10,11.951870480318997
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.869600000000001
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.2832037287379885
SRW05,0.0
SRW06,6.821107472256465
SRW07,0.0
SRW08,8.458928283284262
SRW09,0.0
SRW10,10.148901272496065
SaaCH,17.389017227261274
SaaNH,0
SaaSe,0
SaaaC,1.2962686602418747
SaasC,2.669700360082305
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.312029868663617
SssPH,0
SssSe,0
SsssB,0
SsssN,2.1241203703703704
SsssP,0
VE1_A,4.179816538688738
VE1_D,4.724684802655551
VE2_A,0.18173115385603208
VE2_D,0.2054210783763283
VE3_A,2.263176478242711
VE3_D,2.3857099732230163
VR1_A,186.67215876706177
VR1_D,133.73476201825855
VR2_A,8.116180815959208
VR2_D,5.814554870359068
VR3_A,6.062263039529774
VR3_D,5.728767573385388
WPath,1130
Xc-3d,1.1439505508593788
Xc-4d,0.0
Xc-5d,0.35871087105335925
Xc-6d,0.0
Xp-0d,15.6480536021256
Xp-1d,11.326499840494924
Xp-2d,9.927415744425794
Xp-3d,8.726978113584565
Xp-4d,7.627229142736854
Xp-5d,6.528103963974958
Xp-6d,4.266899660062095
Xp-7d,3.3797295631035933
ZMIC0,74.38270529731702
ZMIC1,53.166651536006725
ZMIC2,35.605668214063094
ZMIC3,25.824554952285048
ZMIC4,24.709412706580427
ZMIC5,24.709412706580427
nAcid,0
nAtom,41
nBase,1
nRing,4
piPC1,3.597312260588446
piPC2,4.23410650459726
piPC3,4.899703733388974
piPC4,5.565956157748798
piPC5,6.201902725924638
piPC6,6.582371339346345
piPC7,7.076205023873699
piPC8,7.501936386345915
piPC9,7.8955552968481255
AATS0Z,22.634146341463413
AATS0d,3.4634146341463414
AATS0i,159.29251705784102
AATS0m,89.35696465853658
AATS0p,1.5780131777385853
AATS0s,3.6869918699186988
AATS0v,232.33508374063635
AATS1Z,25.25
AATS1d,4.181818181818182
AATS1i,144.57601062592266
AATS1m,96.2358200454546
AATS1p,1.8878851265909098
AATS1s,3.006313131313132
AATS1v,276.68257492216173
AATS2Z,21.5
AATS2d,3.8157894736842106
AATS2i,152.11874030642883
AATS2m,80.11482257894733
AATS2p,1.6488404039394204
AATS2s,2.89327485380117
AATS2v,236.4311780002311
AATS3Z,17.725490196078432
AATS3d,3.323529411764706
AATS3i,157.37495649786257
AATS3m,64.84684284313724
AATS3p,1.4127189196988423
AATS3s,2.7151416122004366
AATS3v,197.48384027188428
AATS4Z,17.414141414141415
AATS4d,3.1313131313131315
AATS4i,156.29632693401194
AATS4m,63.2773782929293
AATS4p,1.3739391886306365
AATS4s,2.9938271604938262
AATS4v,191.24331708204545
AATS5Z,17.351063829787233
AATS5d,3.117021276595745
AATS5i,156.0984365310419
AATS5m,63.17176725531915
AATS5p,1.3959739800046065
AATS5s,2.882092198581561
AATS5v,194.3731859942248
AATS6Z,16.954545454545453
AATS6d,3.102272727272727
AATS6i,155.43418955819936
AATS6m,60.54408834090909
AATS6p,1.4142552353595568
AATS6s,3.053030303030303
AATS6v,194.83852434874618
AATS7Z,15.390243902439025
AATS7d,2.817073170731707
AATS7i,155.80989590579992
AATS7m,53.56850614634145
AATS7p,1.3784339005602804
AATS7s,3.0203252032520327
AATS7v,183.8478928371718
AATS8Z,11.884615384615385
AATS8d,2.358974358974359
AATS8i,157.62655406293445
AATS8m,39.41745410256409
AATS8p,1.2463128969363717
AATS8s,2.3653846153846154
AATS8v,155.35807673627218
AMID_C,1.7370626205302788
AMID_N,0.18442433805006617
AMID_O,0.1694687795931722
AMID_X,0.0
AMID_h,0.35389311764323833
ATS0dv,306.0
ATS0pe,252.81789999999998
ATS0se,311.3088599999999
ATS1dv,326.0
ATS1pe,284.17900000000003
ATS1se,338.9631519999998
ATS2dv,470.0
ATS2pe,485.5841000000001
ATS2se,586.6051519999996
ATS3dv,511.0
ATS3pe,631.5566000000003
ATS3se,777.6028959999999
ATS4dv,483.0
ATS4pe,617.2426999999999
ATS4se,761.3823799999999
ATS5dv,414.0
ATS5pe,582.8290999999998
ATS5se,719.4892959999999
ATS6dv,332.0
ATS6pe,550.0179999999999
ATS6se,676.3754399999999
ATS7dv,249.0
ATS7pe,506.48209999999995
ATS7se,624.9971919999998
ATS8dv,142.0
ATS8pe,457.1475000000001
ATS8se,573.5494959999999
ATSC0Z,287.9024390243902
ATSC0c,0.6955280751879189
ATSC0d,22.487804878048784
ATSC0i,61.53871881400205
ATSC0m,1374.3791308780485
ATSC0p,9.583970877450877
ATSC0s,41.678861788617894
ATSC0v,2094.3764648168435
ATSC1Z,19.88518738845926
ATSC1c,-0.29913705945234986
ATSC1d,8.3545508625818
ATSC1i,-7.3734900585282865
ATSC1m,94.17405213087424
ATSC1p,-0.25340192947577034
ATSC1s,-1.0645779628527972
ATSC1v,43.112136219250544
ATSC2Z,-16.453301606186788
ATSC2c,-0.00369951183126353
ATSC2d,2.75431290898275
ATSC2i,7.590167150982946
ATSC2m,-79.7900559690662
ATSC2p,-0.3634544457074802
ATSC2s,0.6874215083614269
ATSC2v,-68.46964134087833
ATSC3Z,45.85246876859012
ATSC3c,-0.2301345549152559
ATSC3d,1.2010707911957181
ATSC3i,23.136312747931406
ATSC3m,220.78208566924437
ATSC3p,1.2588824944929868
ATSC3s,1.8897151166633628
ATSC3v,415.55994955167915
ATSC4Z,21.698988697204044
ATSC4c,0.12496666406225244
ATSC4d,-0.690065437239738
ATSC4i,0.1909295388310105
ATSC4m,100.16045287983339
ATSC4p,0.3543260174924898
ATSC4s,9.78220635864896
ATSC4v,59.54779763654667
ATSC5Z,24.49196906603212
ATSC5c,0.18522218151969477
ATSC5d,-4.9476502082093985
ATSC5i,2.329868876135358
ATSC5m,122.89609727959538
ATSC5p,1.5316337748088897
ATSC5s,-3.1682034503271845
ATSC5v,295.8532227263271
ATSC6Z,-117.30279595478882
ATSC6c,-0.14178949834778368
ATSC6d,-15.120166567519334
ATSC6i,-12.538975160799536
ATSC6m,-552.7074622016657
ATSC6p,-1.7277439493530304
ATSC6s,-17.355443188578224
ATSC6v,-569.0862593816239
ATSC7Z,-172.29268292682923
ATSC7c,0.025376291346519534
ATSC7d,-14.853658536585371
ATSC7i,-16.137032325147903
ATSC7m,-821.0198705121951
ATSC7p,-3.3267806359393894
ATSC7s,-14.886178861788615
ATSC7v,-1043.1764205404677
ATSC8Z,-127.20464009518142
ATSC8c,-0.021309984514385597
ATSC8d,-6.928019036287929
ATSC8i,-31.029388300676818
ATSC8m,-613.6119011094585
ATSC8p,-4.7617275950928155
ATSC8s,-8.389054134443786
ATSC8v,-1097.4904790349449
AXp-0d,0.6803501566141565
AXp-1d,0.43563460924980474
AXp-2d,0.27576154845627204
AXp-3d,0.1745395622716913
AXp-4d,0.11216513445201257
AXp-5d,0.07173740619752701
AXp-6d,0.04398865628929995
AXp-7d,0.028886577462423874
GATS1Z,0.7546748405779243
GATS1c,1.4295833761101633
GATS1d,0.6468152238217314
GATS1i,1.21194029824542
GATS1m,0.7589306772135551
GATS1p,1.0045965582500074
GATS1s,0.5637743868017933
GATS1v,0.9017717972907219
GATS2Z,0.9268490609784373
GATS2c,1.2237763555985395
GATS2d,1.0532024203676218
GATS2i,1.0361473797757557
GATS2m,0.9277010242100041
GATS2p,0.9654730817619702
GATS2s,0.6226247858992061
GATS2v,0.9303580657589346
GATS3Z,0.9092132278190843
GATS3c,1.3427315515562483
GATS3d,1.1335119731189653
GATS3i,0.8624832983162001
GATS3m,0.9071678145698285
GATS3p,0.9079916167163685
GATS3s,0.8410610253399449
GATS3v,0.8716341073436396
GATS4Z,0.9725516773974924
GATS4c,1.2189015625235842
GATS4d,1.069041828260917
GATS4i,0.9388622540494761
GATS4m,0.9687985968505659
GATS4p,0.9676015882969025
GATS4s,0.9972838696139191
GATS4v,0.9434524936887018
GATS5Z,0.9577712567683512
GATS5c,1.1397839858847907
GATS5d,1.1826741127059581
GATS5i,0.9280064561659662
GATS5m,0.9521483024461718
GATS5p,0.9164247786436498
GATS5s,1.1420770810549825
GATS5v,0.8994460838409261
GATS6Z,1.1643780228581992
GATS6c,1.2332657523452744
GATS6d,1.4654407414711101
GATS6i,1.0775029963283602
GATS6m,1.1583266343235863
GATS6p,1.051590006818186
GATS6s,1.8702101971632834
GATS6v,1.065636262012595
GATS7Z,1.2614368010843784
GATS7c,0.8675790911435192
GATS7d,1.3232104121475052
GATS7i,1.1160954981344262
GATS7m,1.2591852223176505
GATS7p,1.1413777893696055
GATS7s,1.9142364836308066
GATS7v,1.1977112872515494
GATS8Z,1.1818462233575755
GATS8c,0.5623297056047735
GATS8d,0.900773124200456
GATS8i,1.2113543959110775
GATS8m,1.188580114591935
GATS8p,1.251177551468576
GATS8s,1.0504617785413648
GATS8v,1.2843390578484746
MATS1Z,0.06435992421675245
MATS1c,-0.40076218458617247
MATS1d,0.34618418457897854
MATS1i,-0.11164925484976052
MATS1m,0.06384926259392426
MATS1p,-0.024637441850839107
MATS1s,-0.02380086833417561
MATS1v,0.01918120885188279
MATS2Z,-0.030830316217517688
MATS2c,-0.002869458974539514
MATS2d,0.06607489439433728
MATS2i,0.06653852266717662
MATS2m,-0.03131933139111066
MATS2p,-0.020458545980125142
MATS2s,0.008897695325801112
MATS2v,-0.017636547340579116
MATS3Z,0.06401784705749464
MATS3c,-0.13299975873214495
MATS3d,0.021468674237590933
MATS3i,0.15112258749478755
MATS3m,0.0645715132922112
MATS3p,0.05279871999984736
MATS3s,0.018224858785153914
MATS3v,0.07975586340718976
MATS4Z,0.031213524605595087
MATS4c,0.07440946357383678
MATS4d,-0.012708429194329405
MATS4i,0.0012849118528423331
MATS4m,0.030181331093261005
MATS4p,0.015311093890809592
MATS4s,0.09720075359400442
MATS4v,0.01177496478617222
MATS5Z,0.03710516449526666
MATS5c,0.11615404353101423
MATS5d,-0.0959639082475654
MATS5i,0.01651349626715853
MATS5m,0.039002059689527746
MATS5p,0.06970524409769567
MATS5s,-0.03315531935645196
MATS5v,0.061613738156344904
MATS6Z,-0.1898297187394104
MATS6c,-0.0949796544989553
MATS6d,-0.313264149083021
MATS6i,-0.09493246903233439
MATS6m,-0.1873656442153139
MATS6p,-0.08399145020992149
MATS6s,-0.19400862718672132
MATS6v,-0.12659732679937968
MATS7Z,-0.29922060318536087
MATS7c,0.018242463713390236
MATS7d,-0.33026030368763565
MATS7i,-0.13111283949476865
MATS7m,-0.2986875499148735
MATS7p,-0.17355961732764777
MATS7s,-0.17858187847459275
MATS7v,-0.24904224194280541
MATS8Z,-0.23224526236217188
MATS8c,-0.01610488852446338
MATS8d,-0.16193892875020865
MATS8i,-0.2650415836683015
MATS8m,-0.2346802143587954
MATS8p,-0.2611609956783898
MATS8s,-0.10580017855937099
MATS8v,-0.27544523667173587
MAXaaO,6.165797430083144
MINaaO,6.165797430083144
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,31.286902111523965
SpAD_D,203.28660454133058
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.507996560117772
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,918
TMWC10,124.32541042871304
TSRW10,57.682432670326904
VE1_Dt,4.761864918686179
VE2_Dt,0.20703760516026865
VE3_Dt,2.3935485040888658
VR1_Dt,129.93982333185699
VR2_Dt,5.649557536167695
VR3_Dt,5.699980568773335
Xc-3dv,0.5021355285820641
Xc-4dv,0.0
Xc-5dv,0.09688170303640467
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.32772108253146426
Xch-7d,0.40352036829349863
Xp-0dv,12.78828972388051
Xp-1dv,7.907592354234874
Xp-2dv,5.734219478549349
Xp-3dv,4.255155417151516
Xp-4dv,3.051026330820074
Xp-5dv,2.1665770855416766
Xp-6dv,1.115153240381177
Xp-7dv,0.7368409861534159
Xpc-4d,3.1831127679487947
Xpc-5d,5.520974966655712
Xpc-6d,9.154693297112855
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,44
nFRing,1
nHBAcc,4
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,8.119953730037835
AATS0dv,7.463414634146342
AATS0pe,6.166290243902439
AATS0se,7.592899024390242
AATS1dv,7.409090909090909
AATS1pe,6.458613636363637
AATS1se,7.703707999999995
AATS2dv,6.184210526315789
AATS2pe,6.389264473684212
AATS2se,7.718488842105258
AATS3dv,5.009803921568627
AATS3pe,6.191731372549023
AATS3se,7.6235578039215675
AATS4dv,4.878787878787879
AATS4pe,6.234774747474747
AATS4se,7.69073111111111
AATS5dv,4.404255319148936
AATS5pe,6.200309574468083
AATS5se,7.654141446808509
AATS6dv,3.772727272727273
AATS6pe,6.250204545454545
AATS6se,7.686084545454545
AATS7dv,3.0365853658536586
AATS7pe,6.176610975609756
AATS7se,7.621916975609754
AATS8dv,1.8205128205128205
AATS8pe,5.860865384615386
AATS8se,7.353198666666665
AATSC0Z,7.0220107079119565
AATSC0c,0.016964099394827292
AATSC0d,0.5484830458060679
AATSC0i,1.5009443613171232
AATSC0m,33.52144221653777
AATSC0p,0.23375538725489944
AATSC0s,1.0165576046004365
AATSC0v,51.08235280041082
AATSC1Z,0.45193607701043775
AATSC1c,-0.006798569533007951
AATSC1d,0.18987615596776816
AATSC1i,-0.16757931951200652
AATSC1m,2.1403193666107785
AATSC1p,-0.005759134760812962
AATSC1s,-0.024194953701199937
AATSC1v,0.9798212777102396
AATSC2Z,-0.21649081060772088
AATSC2c,-4.86777872534675e-05
AATSC2d,0.036240959328720394
AATSC2i,0.09987062040767035
AATSC2m,-1.0498691574877133
AATSC2p,-0.0047822953382563186
AATSC2s,0.00904501984686088
AATSC2v,-0.9009163334326096
AATSC3Z,0.4495340075351973
AATSC3c,-0.002256221126620156
AATSC3d,0.011775203835252138
AATSC3i,0.22682659556795495
AATSC3m,2.1645302516592584
AATSC3p,0.012341985240127322
AATSC3s,0.01852661879081728
AATSC3v,4.074117152467442
AATSC4Z,0.21918170401216205
AATSC4c,0.001262289535982348
AATSC4d,-0.0069703579519165455
AATSC4i,0.0019285812003132373
AATSC4m,1.0117217462609434
AATSC4p,0.0035790506817423213
AATSC4s,0.09881016523887838
AATSC4v,0.6014929054196633
AATSC5Z,0.260552862404597
AATSC5c,0.001970448739571221
AATSC5d,-0.05263457668307871
AATSC5i,0.024785839107822956
AATSC5m,1.3074052902084614
AATSC5p,0.016293976327754145
