DLiP-ID,T000HO
ATS2v,26081.07687372797
ATS3Z,2842.0
ATS3d,489.0
ATS3i,23617.42755870938
ATS3m,10492.520383211202
ATS3p,202.93167290843292
ATS3s,530.0
ATS3v,29062.803859122654
ATS4Z,2735.0
ATS4d,475.0
ATS4i,24163.174221851834
ATS4m,9989.573173862402
ATS4p,204.74786611728203
ATS4s,488.1249999999999
ATS4v,28875.777671431657
ATS5Z,2825.0
ATS5d,460.0
ATS5i,24640.55291281438
ATS5m,10476.6632091072
ATS5p,201.091860789772
ATS5s,549.8333333333335
ATS5v,28695.340305315232
ATS6Z,2754.0
ATS6d,417.0
ATS6i,23852.562264818975
ATS6m,10144.171618235201
ATS6p,185.25470763067804
ATS6s,599.6250000000001
ATS6v,27057.74287983249
ATS7Z,2269.0
ATS7d,357.0
ATS7i,22051.445433352786
ATS7m,8169.983169267199
ATS7p,157.90277904498
ATS7s,523.25
ATS7v,22858.186102027103
ATS8Z,1777.0
ATS8d,298.0
ATS8i,18314.24017287428
ATS8m,6376.174088468801
ATS8p,126.92962107467801
ATS8s,391.36111111111103
ATS8v,18065.295551552907
C1SP1,0
C1SP2,5
C1SP3,2
C2SP1,0
C2SP2,11
C2SP3,5
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.2692307692307692
GGI10,0.20569533721048874
JGI10,0.006856511240349625
JGT10,0.4368747242250296
Kier1,26.600920447074294
Kier2,11.806760204081632
Kier3,6.357925493060629
MAXdO,11.51008994209834
MAXsF,14.863799982958636
MID_C,54.92550583156556
MID_N,8.408457813028257
MID_O,5.452410781752643
MID_X,3.4959811601563455
MID_h,17.356849754937247
MINdO,11.51008994209834
MINsF,14.863799982958636
MPC10,195
MWC01,39.0
MWC02,5.25227342804663
MWC03,6.111467339502679
MWC04,7.005789019253503
MWC05,7.886457270977689
MWC06,8.78462153484075
MWC07,9.673885691160871
MWC08,10.573698701813015
MWC09,11.467268885990409
MWC10,12.36796612947765
NaaCH,11
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,5
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,5.024300000000004
SRW02,4.3694478524670215
SRW03,0.0
SRW04,5.713732805509369
SRW05,2.3978952727983707
SRW06,7.252053951852814
SRW07,4.727387818712341
SRW08,8.877242435993919
SRW09,6.842683282238422
SRW10,10.548468124475464
SaaCH,18.536948444132378
SaaNH,0
SaaSe,0
SaaaC,1.5165210694727014
SaasC,2.1873407168340124
SaasN,1.8500851331522916
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.9362266550038061
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.0756777941499185
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.659524211810161
VE1_D,5.8296636441968355
VE2_A,0.13312926319457602
VE2_D,0.16656181840562387
VE3_A,2.7916763109503924
VE3_D,3.0157222732306015
VR1_A,475.93737047433905
VR1_D,245.4621027583224
VR2_A,13.598210584981116
VR2_D,7.0132029359520685
VR3_A,7.418049239436345
VR3_D,6.755905536230833
WPath,4183
Xc-3d,2.88210177577568
Xc-4d,0.2041241452319315
Xc-5d,0.6789889204617368
Xc-6d,0.10206207261596575
Xp-0d,24.415638315627202
Xp-1d,16.903816668119678
Xp-2d,15.877559542370534
Xp-3d,12.961184297626858
Xp-4d,10.881484190845752
Xp-5d,9.299197539955896
Xp-6d,6.414231435874856
Xp-7d,4.847423644499501
ZMIC0,109.5346589534928
ZMIC1,50.3331501159268
ZMIC2,30.27890914362867
ZMIC3,26.90067887832738
ZMIC4,26.769063859704946
ZMIC5,26.769063859704946
nAcid,1
nAtom,59
nBase,0
nRing,5
piPC1,3.9512437185814275
piPC2,4.566948973167894
piPC3,5.145311864088135
piPC4,5.741198676041623
piPC5,6.291106069394917
piPC6,6.583819753370304
piPC7,6.992835756526373
piPC8,7.352939273410363
piPC9,7.582390366335942
AATS0Z,25.593220338983052
AATS0d,3.6271186440677967
AATS0i,165.1372700889742
AATS0m,102.53931405592444
AATS0p,1.5351223680741692
AATS0s,6.073093220338983
AATS0v,232.77909062659322
AATS1Z,26.80952380952381
AATS1d,4.333333333333333
AATS1i,147.19454225962312
AATS1m,103.14474886778416
AATS1p,1.848421509619048
AATS1s,3.376763668430335
AATS1v,277.86120779836307
AATS2Z,23.93577981651376
AATS2d,3.9174311926605503
AATS2i,154.850739302705
AATS2m,91.08553723385847
AATS2p,1.6156414651031659
AATS2s,4.079128440366971
AATS2v,239.27593462135752
AATS3Z,19.465753424657535
AATS3d,3.3493150684931505
AATS3i,161.76320245691355
AATS3m,71.86657796720002
AATS3p,1.389942965126253
AATS3s,3.6301369863013697
AATS3v,199.0603004049497
AATS4Z,18.233333333333334
AATS4d,3.1666666666666665
AATS4i,161.08782814567888
AATS4m,66.59715449241601
AATS4p,1.3649857741152136
AATS4s,3.254166666666666
AATS4v,192.50518447621104
AATS5Z,18.464052287581698
AATS5d,3.0065359477124183
AATS5i,161.04936544323124
AATS5m,68.47492293534118
AATS5p,1.3143258875148496
AATS5s,3.59368191721133
AATS5v,187.55124382558975
AATS6Z,18.863013698630137
AATS6d,2.856164383561644
AATS6i,163.37371414259573
AATS6m,69.48062752215891
AATS6p,1.2688678604840962
AATS6s,4.107020547945206
AATS6v,185.32700602624993
AATS7Z,17.189393939393938
AATS7d,2.7045454545454546
AATS7i,167.05640479812718
AATS7m,61.893811888387866
AATS7p,1.1962331745831818
AATS7s,3.9640151515151514
AATS7v,173.16807653050836
AATS8Z,16.30275229357798
AATS8d,2.7339449541284404
AATS8i,168.02055204471816
AATS8m,58.497009985952296
AATS8p,1.164491936464936
AATS8s,3.590468909276248
AATS8v,165.7366564362652
AMID_C,1.5693001666161588
AMID_N,0.24024165180080734
AMID_O,0.15578316519293264
AMID_X,0.09988517600446702
AMID_h,0.4959099929982071
ATS0dv,558.0
ATS0pe,389.373
ATS0se,470.15824399999985
ATS1dv,531.0
ATS1pe,418.89000000000004
ATS1se,496.35035599999975
ATS2dv,789.0
ATS2pe,726.3395999999999
ATS2se,867.1169959999995
ATS3dv,810.0
ATS3pe,954.5387999999998
ATS3se,1157.618628
ATS4dv,780.0
ATS4pe,960.5769000000001
ATS4se,1170.9975039999997
ATS5dv,830.0
ATS5pe,973.9929999999998
ATS5se,1190.9093439999997
ATS6dv,779.0
ATS6pe,959.5037999999998
ATS6se,1168.0346679999998
ATS7dv,603.0
ATS7pe,869.346
ATS7se,1061.7415040000003
ATS8dv,503.0
ATS8pe,709.2089000000001
ATS8se,871.9230440000002
ATSC0Z,450.67796610169495
ATSC0c,1.4726940379521885
ATSC0d,37.66101694915255
ATSC0i,133.62989103315854
ATSC0m,2169.106567861617
ATSC0p,13.70638990361288
ATSC0s,144.11746704331452
ATSC0v,2831.9105718431492
ATSC1Z,15.055731111749466
ATSC1c,-0.7268622888912973
ATSC1d,8.34501580005746
ATSC1i,-14.392873884487813
ATSC1m,72.85350079823226
ATSC1p,-0.16517130479572073
ATSC1s,-11.706998707268026
ATSC1v,67.22979186147855
ATSC2Z,15.205113473139853
ATSC2c,-0.04378275921666493
ATSC2d,-4.441539787417412
ATSC2i,-5.008316172609518
ATSC2m,82.96861568838071
ATSC2p,-1.4644975552571706
ATSC2s,51.99555523636245
ATSC2v,-267.33534622711403
ATSC3Z,-66.28784831944844
ATSC3c,-0.10332976891920076
ATSC3d,-3.00861821315714
ATSC3i,19.50565702677583
ATSC3m,-313.5929345456979
ATSC3p,0.7626529455780727
ATSC3s,-1.2476020619873007
ATSC3v,-226.93226425135265
ATSC4Z,-92.9948290721057
ATSC4c,0.07547677038380732
ATSC4d,-8.511060040218327
ATSC4i,-7.618849085199521
ATSC4m,-440.8490927005934
ATSC4p,-2.510363464555224
ATSC4s,-16.057237304095253
ATSC4v,-582.8158307843046
ATSC5Z,127.1401896006895
ATSC5c,0.10948829190976582
ATSC5d,-9.358230393565064
ATSC5i,-20.068997123371958
ATSC5m,608.3946173403742
ATSC5p,-2.7427187097236407
ATSC5s,19.070146669220208
ATSC5v,48.46585700122007
ATSC6Z,-22.931916116058613
ATSC6c,0.26487480775513034
ATSC6d,-7.5848893995978175
ATSC6i,-37.76510957361786
ATSC6m,-117.64097440223637
ATSC6p,-2.3991917906749607
ATSC6s,-38.323167033738706
ATSC6v,-254.88274724880688
ATSC7Z,-153.36426314277503
ATSC7c,-0.3802615640919681
ATSC7d,4.673656995116349
ATSC7i,-13.163504753578797
ATSC7m,-747.6515571255516
ATSC7p,-0.775054489471328
ATSC7s,-72.63745451498609
ATSC7v,-269.8811544315616
ATSC8Z,-58.320310255673654
ATSC8c,-0.26737420984515414
ATSC8d,8.321172076989374
ATSC8i,27.54241462514313
ATSC8m,-271.8095670473925
ATSC8p,3.3057162711920993
ATSC8s,-48.108611430304165
ATSC8v,379.4092323805947
AXp-0d,0.6975896661607772
AXp-1d,0.43343119661845325
AXp-2d,0.2835278489709024
AXp-3d,0.1751511391571197
AXp-4d,0.1110355529678138
AXp-5d,0.07264998078090544
AXp-6d,0.04614554989838026
AXp-7d,0.030108221394406838
GATS1Z,0.6925016565482907
GATS1c,1.4846898386096496
GATS1d,0.9044761619019045
GATS1i,1.0878305233839276
GATS1m,0.6906070753188267
GATS1p,1.033136373757995
GATS1s,0.625411463985093
GATS1v,0.9108490974156754
GATS2Z,0.8158554467948563
GATS2c,1.0418217107034415
GATS2d,1.2292174171545593
GATS2i,1.0596890690290328
GATS2m,0.8130371109518065
GATS2p,1.0489821322237356
GATS2s,0.530817431640728
GATS2v,0.982366059976982
GATS3Z,1.0070824339153146
GATS3c,1.005083858385611
GATS3d,1.1022989285229892
GATS3i,0.9663245150965001
GATS3m,1.0058939116143426
GATS3p,0.9521435333605421
GATS3s,0.9091483881139287
GATS3v,0.9871394882367206
GATS4Z,1.0119716685470728
GATS4c,0.9138575320466492
GATS4d,1.0831713171317132
GATS4i,0.9799796703365926
GATS4m,1.0102144404174702
GATS4p,1.0418682515682296
GATS4s,0.7943626135433699
GATS4v,1.0547984683446212
GATS5Z,0.8583872260199052
GATS5c,0.9153998789355513
GATS5d,1.1273597948030096
GATS5i,1.0259436642877267
GATS5m,0.8604582881019548
GATS5p,1.0799595249122362
GATS5s,0.8461723217452379
GATS5v,0.9975127604533253
GATS6Z,1.042782073804654
GATS6c,1.0061207008229598
GATS6d,1.1075730860757307
GATS6i,1.1998837411075367
GATS6m,1.0455364744960465
GATS6p,1.0719568886698876
GATS6s,1.4687185586901355
GATS6v,1.0015098945001941
GATS7Z,1.2230899631896246
GATS7c,1.2140243138998936
GATS7d,0.8633636090881814
GATS7i,1.2267302779170886
GATS7m,1.2297020797142089
GATS7p,1.0224100511157816
GATS7s,1.7071602999520417
GATS7v,1.0015434193571704
GATS8Z,1.1576646390482728
GATS8c,1.2874404737814853
GATS8d,0.7912204064443141
GATS8i,0.9180346639985895
GATS8m,1.1539026293275525
GATS8p,0.8463959933493661
GATS8s,1.3988042498809286
GATS8v,0.8983789051503004
MATS1Z,0.031285779950691504
MATS1c,-0.4622224880067886
MATS1d,0.20751360850370762
MATS1i,-0.10086845478782885
MATS1m,0.03145437052785899
MATS1p,-0.011285556511404254
MATS1s,-0.07607472867081072
MATS1v,0.022232776089067322
MATS2Z,0.01826202166089888
MATS2c,-0.01609222561025742
MATS2d,-0.06383620013377488
MATS2i,-0.020286804186704754
MATS2m,0.020704200674871054
MATS2p,-0.05783504565736863
MATS2s,0.19528780020212183
MATS2v,-0.051097818872225864
MATS3Z,-0.05943835101258584
MATS3c,-0.02835385312736987
MATS3d,-0.03228302282283024
MATS3i,0.05898697502575245
MATS3m,-0.0584230916927167
MATS3p,0.022485524677603015
MATS3s,-0.003498312639681519
MATS3v,-0.03238290960123538
MATS4Z,-0.08116209101165849
MATS4c,0.02015865408512054
MATS4d,-0.08888988898889887
MATS4i,-0.022425725888690132
MATS4m,-0.0799410437910594
MATS4p,-0.07204009489993052
MATS4s,-0.043824296960797295
MATS4v,-0.08094919935717639
MATS5Z,0.10878702740968522
MATS5c,0.028669210456177426
MATS5d,-0.09582134684056635
MATS5i,-0.05791387671327646
MATS5m,0.10815959552925
MATS5p,-0.07716471703771495
MATS5s,0.051026760040002
MATS5v,0.006599589800072487
MATS6Z,-0.020562370239094938
MATS6c,0.0726820690182899
MATS6d,-0.08138724831387249
MATS6i,-0.11420530834751477
MATS6m,-0.02191678662747691
MATS6p,-0.07073608845060421
MATS6s,-0.10745928025575746
MATS6v,-0.036371403556484105
MATS7Z,-0.1521023510775297
MATS7c,-0.11541120673493754
MATS7d,0.055468046804680496
MATS7i,-0.04402972781970105
MATS7m,-0.15406231988720323
MATS7p,-0.025274771309598303
MATS7s,-0.22527970897140176
MATS7v,-0.042596224264100216
MATS8Z,-0.07004530226235287
MATS8c,-0.09827261196354262
MATS8d,0.1195963633060554
MATS8i,0.11156395744044728
MATS8m,-0.06782805491941148
MATS8p,0.13054733399068633
MATS8s,-0.18068900032502122
MATS8v,0.07251934511556778
MAXaaN,4.124800303222367
MAXsOH,9.432011310271175
MAXssO,5.472538076385028
MINaaN,4.106570293852416
MINsOH,9.432011310271175
MINssO,5.472538076385028
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,46.020339292916155
SpAD_D,494.25205025625013
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.5344037064908906
SssNH2,0
SsssAs,0
SsssCH,-0.459727287704762
SsssNH,0
SssssB,0
SssssC,-3.261966146603558
SssssN,0
TMPC10,1295
TMWC10,153.12342800106322
TSRW10,85.72891154404772
VE1_Dt,5.8384982959025535
VE2_Dt,0.16681423702578724
VE3_Dt,3.017236591156483
VR1_Dt,243.22235170749602
VR2_Dt,6.9492100487856
VR3_Dt,6.746739021056225
Xc-3dv,0.9848879253717086
Xc-4dv,0.02525381361380527
Xc-5dv,0.16636093321448037
Xc-6dv,0.006520506636966263
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.5131164884807633
Xch-7d,0.7279660860480139
Xp-0dv,18.82501704515426
Xp-1dv,11.377990513508216
Xp-2dv,8.571325370537346
Xp-3dv,6.153799738538305
Xp-4dv,4.399014265659252
Xp-5dv,3.0830868830912976
Xp-6dv,1.7460693449660112
Xp-7dv,1.0945373468708206
Xpc-4d,5.896836123737884
Xpc-5d,9.036237863176018
Xpc-6d,13.972889500485218
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,63
nFRing,2
nHBAcc,6
nHBDon,2
nHRing,4
nSpiro,0
naRing,4
piPC10,7.881846059082642
AATS0dv,9.457627118644067
AATS0pe,6.599542372881356
AATS0se,7.968783796610167
AATS1dv,8.428571428571429
AATS1pe,6.64904761904762
AATS1se,7.878577079365075
AATS2dv,7.238532110091743
AATS2pe,6.663666055045871
AATS2se,7.955201798165133
AATS3dv,5.5479452054794525
AATS3pe,6.537936986301369
AATS3se,7.928894712328766
AATS4dv,5.2
AATS4pe,6.403846000000001
AATS4se,7.806650026666665
AATS5dv,5.42483660130719
AATS5pe,6.365967320261436
AATS5se,7.783721202614377
AATS6dv,5.335616438356165
AATS6pe,6.5719438356164375
AATS6se,8.000237452054794
AATS7dv,4.568181818181818
AATS7pe,6.585954545454546
AATS7se,8.043496242424245
AATS8dv,4.614678899082569
AATS8pe,6.506503669724771
AATS8se,7.999293981651379
AATSC0Z,7.638609594943982
AATSC0c,0.02496091589749472
AATSC0d,0.6383223211720771
AATSC0i,2.26491340734167
AATSC0m,36.76451809934944
AATSC0p,0.23231169328157425
AATSC0s,2.442668932937534
AATSC0v,47.99848426852795
AATSC1Z,0.23897985891665818
AATSC1c,-0.011537496649068212
AATSC1d,0.1324605682548803
AATSC1i,-0.22845831562679067
AATSC1m,1.1564047745751151
AATSC1p,-0.002621766742789218
AATSC1s,-0.18582537630584167
AATSC1v,1.0671395533568022
AATSC2Z,0.139496453882017
AATSC2c,-0.0004016766900611461
AATSC2d,-0.04074807144419644
AATSC2i,-0.04594785479458273
AATSC2m,0.7611799604438597
AATSC2p,-0.013435757387680464
AATSC2s,0.4770234425354353
AATSC2v,-2.452617855294624
AATSC3Z,-0.4540263583523866
AATSC3c,-0.0007077381432821969
AATSC3d,-0.020606974062720138
AATSC3i,0.133600390594355
AATSC3m,-2.147896811956835
AATSC3p,0.0052236503121785806
