DLiP-ID,C001YP
piPC3,4.243123698247448
piPC4,4.793204560188733
piPC5,5.18072962432065
piPC6,5.366851799634827
piPC7,5.737781243828331
piPC8,6.0000990373749925
piPC9,6.134888255288956
AATS0Z,29.24137931034483
AATS0d,3.1379310344827585
AATS0i,160.91419810432197
AATS0m,115.8900010689655
AATS0p,1.7685092332081729
AATS0s,2.7855588666572064
AATS0v,234.93142258709457
AATS1Z,28.266666666666666
AATS1d,3.566666666666667
AATS1i,146.74140909323665
AATS1m,108.04463329999993
AATS1p,2.0076334673333323
AATS1s,3.032921810699589
AATS1v,274.3935262909363
AATS2Z,24.791666666666668
AATS2d,3.375
AATS2i,152.8491429875713
AATS2m,93.55114514583329
AATS2p,1.7145926460227912
AATS2s,2.6959233539094645
AATS2v,228.98660856619247
AATS3Z,19.903846153846153
AATS3d,2.9423076923076925
AATS3i,159.20812741782163
AATS3m,71.95616753846153
AATS3p,1.5063357736422311
AATS3s,2.751187084520418
AATS3v,196.74144599798936
AATS4Z,18.07547169811321
AATS4d,2.6226415094339623
AATS4i,164.13242976385732
AATS4m,65.96947066037733
AATS4p,1.3992015681705097
AATS4s,2.371185651059865
AATS4v,175.59862923604123
AATS5Z,21.42222222222222
AATS5d,2.7555555555555555
AATS5i,158.55649472526883
AATS5m,79.08235046666665
AATS5p,1.575259524296423
AATS5s,2.242798353909464
AATS5v,189.6917207552532
AATS6Z,19.324324324324323
AATS6d,2.6486486486486487
AATS6i,158.90701668848482
AATS6m,64.75661572972972
AATS6p,1.6129536291810265
AATS6s,2.4394394394394396
AATS6v,190.95916837357376
AATS7Z,13.09375
AATS7d,2.5625
AATS7i,158.98228741661495
AATS7m,43.10725334374999
AATS7p,1.306196277642094
AATS7s,2.39525462962963
AATS7v,162.0292439799554
AATS8Z,12.62962962962963
AATS8d,2.3703703703703702
AATS8i,162.0293333184812
AATS8m,44.195269444444456
AATS8p,1.2722081084737775
AATS8s,2.2407407407407414
AATS8v,163.1225858930376
AMID_C,1.510870113116013
AMID_N,0.3762644775375744
AMID_O,0.0
AMID_X,0.0
AMID_h,0.5036613238276606
ATS0dv,186.44444444444446
ATS0pe,175.33120000000002
ATS0se,217.17498100000006
ATS1dv,196.66666666666666
ATS1pe,192.44060000000007
ATS1se,230.61996800000006
ATS2dv,234.66666666666666
ATS2pe,298.4330000000001
ATS2se,364.6929620000002
ATS3dv,201.0
ATS3pe,325.0482999999999
ATS3se,398.49465999999995
ATS4dv,169.66666666666669
ATS4pe,319.02850000000007
ATS4se,398.381866
ATS5dv,135.33333333333331
ATS5pe,268.53649999999993
ATS5se,336.522196
ATS6dv,98.0
ATS6pe,231.1519999999999
ATS6se,287.5322500000001
ATS7dv,74.0
ATS7pe,191.58400000000003
ATS7se,238.4093080000001
ATS8dv,51.0
ATS8pe,156.041
ATS8se,196.656764
ATSC0Z,334.75862068965506
ATSC0c,0.2917292428288542
ATSC0d,14.827586206896555
ATSC0i,50.72940872128312
ATSC0m,1515.7219451724143
ATSC0p,9.266421651330756
ATSC0s,11.527151033536729
ATSC0v,1550.4823910574607
ATSC1Z,24.31866825208084
ATSC1c,-0.15221040369302094
ATSC1d,5.9024970273483985
ATSC1i,3.6771162073607093
ATSC1m,111.4002240975027
ATSC1p,0.6245527659209062
ATSC1s,-0.8613023557754266
ATSC1v,35.81156549647642
ATSC2Z,74.8822829964328
ATSC2c,0.06379715193139969
ATSC2d,-0.4042806183115326
ATSC2i,-13.977651439200915
ATSC2m,340.76771236979755
ATSC2p,-0.8633098897089087
ATSC2s,1.7856147313032844
ATSC2v,86.62199317213121
ATSC3Z,-68.22235434007133
ATSC3c,-0.027146447888775533
ATSC3d,1.1022592152199757
ATSC3i,-7.900684962884918
ATSC3m,-328.92956696432833
ATSC3p,-2.277345885317153
ATSC3s,-4.137185628840186
ATSC3v,-498.9426150518955
ATSC4Z,82.82045184304397
ATSC4c,-0.09775637152099774
ATSC4d,1.0737217598097497
ATSC4i,15.966327843620952
ATSC4m,382.76545871938185
ATSC4p,4.0982646243673715
ATSC4s,-2.1392807569537213
ATSC4v,495.50458694203087
ATSC5Z,60.822829964328214
ATSC5c,0.11744642643924422
ATSC5d,-2.5255648038049943
ATSC5i,-0.9876200899929
ATSC5m,294.86415849108187
ATSC5p,1.9723232451412034
ATSC5s,2.000582297186869
ATSC5v,331.5302843206596
ATSC6Z,-342.3816884661118
ATSC6c,-0.06225752985290195
ATSC6d,-5.780023781212842
ATSC6i,-4.479603859130767
ATSC6m,-1528.3413058406668
ATSC6p,-6.059100289678035
ATSC6s,-0.8989331075912312
ATSC6v,-669.9807658282925
ATSC7Z,-112.66468489892982
ATSC7c,0.0063790606537421435
ATSC7d,-7.361474435196191
ATSC7i,-14.87482459560379
ATSC7m,-530.0869775005943
ATSC7p,-3.3546425289163198
ATSC7s,-2.2114790837871827
ATSC7v,-673.3501509337573
ATSC8Z,27.94887039239002
ATSC8c,0.0037623312227427624
ATSC8d,-4.460166468489892
ATSC8i,9.81460261168778
ATSC8m,131.36854118430455
ATSC8p,1.4763865988276033
ATSC8s,1.0932825413602272
ATSC8v,261.5093155376206
AXp-0d,0.7112793055389989
AXp-1d,0.45611883502491113
AXp-2d,0.30947476383716793
AXp-3d,0.19425193614480626
AXp-4d,0.12433065625933559
AXp-5d,0.08476800701366285
AXp-6d,0.054277256394889305
AXp-7d,0.0367075617324234
GATS1Z,0.7527812113720646
GATS1c,1.525044557156165
GATS1d,0.723875968992248
GATS1i,1.0208327320174486
GATS1m,0.7517380910764978
GATS1p,0.8354977604872343
GATS1s,0.9695226898595448
GATS1v,0.8821388529259055
GATS2Z,0.8529777846449667
GATS2c,0.8522931234911973
GATS2d,1.2195736434108526
GATS2i,1.2058369918232323
GATS2m,0.8447717761349357
GATS2p,1.0460246563347169
GATS2s,0.8788308137956317
GATS2v,0.9081853401055068
GATS3Z,0.985210452917499
GATS3c,1.196831290673631
GATS3d,0.9441860465116277
GATS3i,1.1401782385551278
GATS3m,0.9965110526545631
GATS3p,0.9973163092730092
GATS3s,1.3915938680096205
GATS3v,1.064176357388032
GATS4Z,0.7930242321057913
GATS4c,1.4147133405501608
GATS4d,0.8729267222465993
GATS4i,0.8155342329610736
GATS4m,0.795830540670085
GATS4p,0.6634396393353333
GATS4s,1.1234510760277199
GATS4v,0.7622930983317184
GATS5Z,1.221178409559127
GATS5c,1.2097253228078129
GATS5d,1.1959689922480619
GATS5i,1.0283818422155981
GATS5m,1.1826963319717132
GATS5p,1.095465911360924
GATS5s,0.90719990042218
GATS5v,0.8773100473875182
GATS6Z,2.71611599238299
GATS6c,1.5554469054075915
GATS6d,1.1228158390949088
GATS6i,1.295799935923682
GATS6m,2.621160396120207
GATS6p,2.1006350641203992
GATS6s,1.4273796048203047
GATS6v,1.3270485430457062
GATS7Z,1.0416087247630823
GATS7c,0.9754593362698238
GATS7d,1.5047965116279067
GATS7i,1.1994528671585616
GATS7m,1.0709161748679827
GATS7p,1.1247100231970246
GATS7s,1.0790040747572278
GATS7v,1.3146094354906512
GATS8Z,0.5173434662515835
GATS8c,0.665144370117363
GATS8d,1.4687338501291989
GATS8i,0.6393024829887575
GATS8m,0.5475205682572211
GATS8p,0.5565300174705824
GATS8s,0.7209673547521396
GATS8v,0.786683539191838
MATS1Z,0.07022387034747972
MATS1c,-0.5043605575606949
MATS1d,0.38480620155038775
MATS1i,0.0700687383652487
MATS1m,0.07104659508113353
MATS1p,0.06515291048767533
MATS1s,-0.07222879919134063
MATS1v,0.022327145955513748
MATS2Z,0.1351462711166049
MATS2c,0.1321228967362484
MATS2d,-0.016472868217054206
MATS2i,-0.16646815507446652
MATS2m,0.13582998751572933
MATS2p,-0.05628742981827232
MATS2s,0.09358851090124078
MATS2v,0.0337534442033465
MATS3Z,-0.11365527241608825
MATS3c,-0.05189526089992239
MATS3d,0.04145796064400712
MATS3i,-0.08685595476796161
MATS3m,-0.12102581865547982
MATS3p,-0.1370602731005351
MATS3s,-0.2001601778259534
MATS3v,-0.1794644428077314
MATS4Z,0.13537172221315236
MATS4c,-0.18335266921433024
MATS4d,0.03962264150943393
MATS4i,0.17221357027199385
MATS4m,0.13817686317378128
MATS4p,0.2419970475804519
MATS4s,-0.10154719450963454
MATS4v,0.17486503097963377
MATS5Z,0.11709014329533499
MATS5c,0.25944501245295787
MATS5d,-0.1097674418604651
MATS5i,-0.012546298020434494
MATS5m,0.1253683562546484
MATS5p,0.13716759346876364
MATS5s,0.1118458622885254
MATS5v,0.1377976629259366
MATS6Z,-0.8016319780843889
MATS6c,-0.1672662015092065
MATS6d,-0.3055311125078566
MATS6i,-0.06921115288081257
MATS6m,-0.7903092882042994
MATS6p,-0.5124982145278552
MATS6s,-0.06112257837053745
MATS6v,-0.33868173075162344
MATS7Z,-0.3050029614750721
MATS7c,0.019816401199263083
MATS7d,-0.449927325581395
MATS7i,-0.26572968480333137
MATS7m,-0.31693895103251857
MATS7p,-0.32808185362402736
MATS7s,-0.17386368182834727
MATS7v,-0.3935701416560639
MATS8Z,0.0896740374490684
MATS8c,0.013851962131880337
MATS8d,-0.32308354866494393
MATS8i,0.2078007703671676
MATS8m,0.09309065207137554
MATS8p,0.17112847102995785
MATS8s,0.10186961460784744
MATS8v,0.18115676615730447
MAXaaN,4.4527777777777775
MAXaaS,1.5570616024187451
MAXdsN,4.116402746283699
MINaaN,4.4527777777777775
MINaaS,1.5570616024187451
MINdsN,4.116402746283699
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,20.573030884590167
SpAD_D,127.26520412285733
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,302
TMWC10,102.070520249798
TSRW10,61.248233535470064
VE1_Dt,3.9536851180092834
VE2_Dt,0.2471053198755802
VE3_Dt,1.844651714507716
VR1_Dt,72.45356888287047
VR2_Dt,4.528348055179404
VR3_Dt,4.752949556742197
Xc-3dv,0.5084204928963941
Xc-4dv,0.0
Xc-5dv,0.02151657414559676
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.25343678769327627
Xch-7d,0.2621886974951644
Xp-0dv,10.083273677529261
Xp-1dv,5.9132651450000315
Xp-2dv,4.432847283617359
Xp-3dv,2.695835929047472
Xp-4dv,1.8876654578466439
Xp-5dv,1.222836548736324
Xp-6dv,0.6509157125554341
Xp-7dv,0.37026191284872456
Xpc-4d,1.6163843556366264
Xpc-5d,2.2297264599011157
Xpc-6d,3.0085825075805896
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,30
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.18826412308259
AATS0dv,6.42911877394636
AATS0pe,6.045903448275863
AATS0se,7.4887924482758645
AATS1dv,6.555555555555555
AATS1pe,6.414686666666669
AATS1se,7.687332266666669
AATS2dv,4.888888888888888
AATS2pe,6.217354166666669
AATS2se,7.597770041666671
AATS3dv,3.8653846153846154
AATS3pe,6.250928846153845
AATS3se,7.663358846153845
AATS4dv,3.2012578616352205
AATS4pe,6.01940566037736
AATS4se,7.5166389811320755
AATS5dv,3.007407407407407
AATS5pe,5.967477777777776
AATS5se,7.478271022222223
AATS6dv,2.6486486486486487
AATS6pe,6.247351351351349
AATS6se,7.771141891891895
AATS7dv,2.3125
AATS7pe,5.987000000000001
AATS7se,7.450290875000003
AATS8dv,1.8888888888888888
AATS8pe,5.779296296296296
AATS8se,7.283583851851852
AATSC0Z,11.543400713436382
AATSC0c,0.010059629063063938
AATSC0d,0.5112960760998813
AATSC0i,1.7492899559063146
AATSC0m,52.26627397146256
AATSC0p,0.3195317810803709
AATSC0s,0.3974879666736803
AATSC0v,53.46491003646416
AATSC1Z,0.8106222750693614
AATSC1c,-0.005073680123100698
AATSC1d,0.1967499009116133
AATSC1i,0.12257054024535698
AATSC1m,3.71334080325009
AATSC1p,0.020818425530696873
AATSC1s,-0.028710078525847553
AATSC1v,1.1937188498825473
AATSC2Z,1.5600475624256835
AATSC2c,0.0013291073319041601
AATSC2d,-0.008422512881490263
AATSC2i,-0.29120107165001907
AATSC2m,7.099327341037449
AATSC2p,-0.01798562270226893
AATSC2s,0.03720030690215176
AATSC2v,1.8046248577527335
AATSC3Z,-1.3119683526936794
AATSC3c,-0.0005220470747841449
AATSC3d,0.021197292600384148
AATSC3i,-0.1519362492862484
AATSC3m,-6.325568595467852
AATSC3p,-0.04379511317917602
AATSC3s,-0.0795612620930805
AATSC3v,-9.595050289459529
AATSC4Z,1.5626500347744146
AATSC4c,-0.0018444598400188252
AATSC4d,0.020258901128485843
AATSC4i,0.30125146874756514
AATSC4m,7.221989787158148
AATSC4p,0.07732574762957305
AATSC4s,-0.040363787867051346
AATSC4v,9.349143149849638
AATSC5Z,1.351618443651738
AATSC5c,0.00260992058753876
AATSC5d,-0.05612366230677765
AATSC5i,-0.021947113110953334
