DLiP-ID,I001DS
AATS7m,45.91318441843972
AATS7p,1.1789688897848085
AATS7s,2.672182821118991
AATS7v,152.62768760787353
AATS8Z,13.87704918032787
AATS8d,2.557377049180328
AATS8i,161.42911372022806
AATS8m,48.65283908196721
AATS8p,1.2184614735624673
AATS8s,2.7795992714025486
AATS8v,160.41999017101932
AMID_C,1.6486631393317557
AMID_N,0.2154240390788986
AMID_O,0.18672060905438517
AMID_X,0.0
AMID_h,0.40214464813328377
ATS0dv,410.0
ATS0pe,340.2855999999998
ATS0se,419.59403999999984
ATS1dv,416.0
ATS1pe,373.9065
ATS1se,446.5929639999998
ATS2dv,583.0
ATS2pe,645.1676999999999
ATS2se,781.838264
ATS3dv,620.0
ATS3pe,852.8958999999999
ATS3se,1045.535984
ATS4dv,516.0
ATS4pe,912.8679999999999
ATS4se,1126.40542
ATS5dv,469.0
ATS5pe,921.0186999999999
ATS5se,1141.067508
ATS6dv,430.0
ATS6pe,920.9447999999998
ATS6se,1155.223136
ATS7dv,422.0
ATS7pe,827.2775999999999
ATS7se,1041.5559
ATS8dv,355.0
ATS8pe,732.5310999999998
ATS8se,915.9008879999999
ATSC0Z,395.34545454545463
ATSC0c,0.9776975986292024
ATSC0d,32.43636363636364
ATSC0i,82.27843516144087
ATSC0m,1884.274029927272
ATSC0p,12.686169595213642
ATSC0s,75.09292929292928
ATSC0v,2784.4301637327353
ATSC1Z,28.108429752066087
ATSC1c,-0.4589945968642856
ATSC1d,12.885289256198343
ATSC1i,-20.024608415398138
ATSC1m,130.86574707669482
ATSC1p,-1.1301693467630096
ATSC1s,-2.2146648301193763
ATSC1v,-63.2864305537568
ATSC2Z,28.511074380165283
ATSC2c,-0.3196723597643138
ATSC2d,-3.0922314049586768
ATSC2i,4.828128181922679
ATSC2m,133.70645631537266
ATSC2p,0.3312864477636913
ATSC2s,1.761166207529844
ATSC2v,146.55089388307204
ATSC3Z,3.0066115702479412
ATSC3c,0.5892289211790642
ATSC3d,-12.816528925619837
ATSC3i,15.263260720565581
ATSC3m,7.470590978512966
ATSC3p,-0.11389666946655987
ATSC3s,10.732001836547285
ATSC3v,-50.2019678806581
ATSC4Z,-149.92892561983473
ATSC4c,-0.25828364755223376
ATSC4d,-16.986776859504133
ATSC4i,-22.57445521421193
ATSC4m,-707.0274100809913
ATSC4p,-3.567528608390041
ATSC4s,-37.0111570247934
ATSC4v,-818.109499335443
ATSC5Z,-197.17785123966948
ATSC5c,-0.13170893726889993
ATSC5d,-2.4571900826446287
ATSC5i,-18.619595452979038
ATSC5m,-929.7005380783469
ATSC5p,-2.5350562769061744
ATSC5s,-36.117061524334254
ATSC5v,-960.986601233188
ATSC6Z,-64.52462809917357
ATSC6c,0.07406950104574848
ATSC6d,5.27702479338843
ATSC6i,14.410853161704203
ATSC6m,-298.98564765223176
ATSC6p,1.3201197304873349
ATSC6s,-9.80093663911845
ATSC6v,-57.36320056207326
ATSC7Z,147.96892561983475
ATSC7c,-0.032077423069253964
ATSC7d,0.06314049586776954
ATSC7i,-14.690902519820957
ATSC7m,692.1343100228094
ATSC7p,-0.19237718539105197
ATSC7s,40.196106519742884
ATSC7v,404.82097175349503
ATSC8Z,14.815537190082637
ATSC8c,0.06170411073463983
ATSC8d,-4.258842975206611
ATSC8i,-7.625542352504734
ATSC8m,65.80076921586758
ATSC8p,-0.6307391001860675
ATSC8s,6.721138659320478
ATSC8v,-50.78733251178569
AXp-0d,0.702907039696034
AXp-1d,0.4406579968381272
AXp-2d,0.28136858836680184
AXp-3d,0.18361042342413236
AXp-4d,0.11850272258743942
AXp-5d,0.07678079133029835
AXp-6d,0.048167833197876625
AXp-7d,0.03128516820057364
GATS1Z,0.7641941653345511
GATS1c,1.4959116113917994
GATS1d,0.7606405597649606
GATS1i,1.3841926710938346
GATS1m,0.7713365881750928
GATS1p,1.1292294473167972
GATS1s,0.5503525644296304
GATS1v,0.9971735625406266
GATS2Z,0.8844501999868859
GATS2c,1.4795261605882113
GATS2d,1.3021688940194467
GATS2i,1.0922669593696235
GATS2m,0.8857229387450273
GATS2p,0.9600711683164359
GATS2s,0.610530646295912
GATS2v,0.9143569017188286
GATS3Z,0.978890728476821
GATS3c,1.20724043830384
GATS3d,1.3380044843049326
GATS3i,0.9698612022881998
GATS3m,0.9776330023882466
GATS3p,0.9677435541015285
GATS3s,0.8664819348416776
GATS3v,0.9509454758387521
GATS4Z,1.1638359214432514
GATS4c,1.398885144031089
GATS4d,1.349060615432194
GATS4i,1.0930334478458203
GATS4m,1.1564801991038747
GATS4p,1.06698365347646
GATS4s,1.8122372928840524
GATS4v,1.049439421317435
GATS5Z,1.2214066090012161
GATS5c,1.312782528760569
GATS5d,1.0192642079253227
GATS5i,1.0486601124442247
GATS5m,1.2128171684017708
GATS5p,1.0346657555624723
GATS5s,1.696469405873242
GATS5v,1.0694688671883343
GATS6Z,1.076645890144137
GATS6c,1.0181281795845407
GATS6d,0.8704827222368768
GATS6i,0.8829080768896794
GATS6m,1.0732555071129797
GATS6p,0.9285599544994221
GATS6s,0.9951721534972713
GATS6v,0.9861016022914288
GATS7Z,0.8340672114978158
GATS7c,0.7496903256994281
GATS7d,0.9917946760805266
GATS7i,1.0146317159997387
GATS7m,0.8400966976223438
GATS7p,0.9906448632929984
GATS7s,0.5883490160769349
GATS7v,0.957551820049043
GATS8Z,0.9718000217131688
GATS8c,0.8276512137299542
GATS8d,1.043910350657943
GATS8i,1.0159411554156579
GATS8m,0.9737176235908587
GATS8p,0.9931613100868558
GATS8s,0.9459590501320657
GATS8v,0.9946884824052444
MATS1Z,0.06742089771891088
MATS1c,-0.44518212751747815
MATS1d,0.37670094325034775
MATS1i,-0.23078772427363936
MATS1m,0.06585922596897532
MATS1p,-0.08447879429185295
MATS1s,-0.0279668568099529
MATS1v,-0.02155306147458896
MATS2Z,0.03927155960629174
MATS2c,-0.178049949224094
MATS2d,-0.05191359943169203
MATS2i,0.03195465139522166
MATS2m,0.03864111342190581
MATS2p,0.014220487106408393
MATS2s,0.012771520755960346
MATS2v,0.02866113980986675
MATS3Z,0.0030983430082032063
MATS3c,0.24553218447462805
MATS3d,-0.16097824281680786
MATS3i,0.07557709947385008
MATS3m,0.0016152502523609097
MATS3p,-0.0036577113739056973
MATS3s,0.05822514963377461
MATS3v,-0.007345364178065991
MATS4Z,-0.14384784704777853
MATS4c,-0.1002044594910784
MATS4d,-0.19864311117983607
MATS4i,-0.10407009290826283
MATS4m,-0.142326862473781
MATS4p,-0.10666738265435562
MATS4s,-0.18695121985158997
MATS4v,-0.11144736195633195
MATS5Z,-0.18660648586145276
MATS5c,-0.050402961150045694
MATS5d,-0.02834340014032519
MATS5i,-0.08467000243584089
MATS5m,-0.18460538890448253
MATS5p,-0.0747657073809151
MATS5s,-0.17995284525259894
MATS5v,-0.1291297640243917
MATS6Z,-0.05867053100366956
MATS6c,0.027233667406903427
MATS6d,0.05848281016442451
MATS6i,0.06296148002120433
MATS6m,-0.057039740018157724
MATS6p,0.03740710233543438
MATS6s,-0.046918032769590015
MATS6v,-0.007405737317664833
MATS7Z,0.14599478652951953
MATS7c,-0.01279789375477273
MATS7d,0.000759310498362127
MATS7i,-0.06964757994566056
MATS7m,0.14328142518582296
MATS7p,-0.005915161823379368
MATS7s,0.20879905043033817
MATS7v,0.056711384522350895
MATS8Z,0.016894428762711237
MATS8c,0.028451974321647353
MATS8d,-0.05919190619716238
MATS8i,-0.041781841091569946
MATS8m,0.015743082339790933
MATS8p,-0.02241414102279226
MATS8s,0.04035029070344368
MATS8v,-0.008222841746795726
MAXaaN,4.216759892640782
MAXssO,6.000327186825654
MINaaN,4.216759892640782
MINssO,6.000327186825654
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.5289212601593
SpAD_D,371.71692870516097
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.4944668087110369
SssNH2,0
SsssAs,0
SsssCH,-0.7295965235395256
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,895
TMWC10,139.98505522575067
TSRW10,65.79662104752312
VE1_Dt,5.381681954454551
VE2_Dt,0.17938939848181837
VE3_Dt,2.781613244922441
VR1_Dt,193.61832597719481
VR2_Dt,6.453944199239827
VR3_Dt,6.3645011180038225
Xc-3dv,0.8996249973678162
Xc-4dv,0.0
Xc-5dv,0.18668576609584903
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.3214781694372534
Xch-7d,0.456910021803449
Xp-0dv,17.193259500916245
Xp-1dv,10.185576363223404
Xp-2dv,7.616697823440251
Xp-3dv,5.501692125091123
Xp-4dv,3.889867770194969
Xp-5dv,2.6225316260522162
Xp-6dv,1.3207656332839979
Xp-7dv,0.8018205627940889
Xpc-4d,4.944558668050045
Xpc-5d,7.673881080599802
Xpc-6d,11.716854742517517
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,58
nFRing,1
nHBAcc,4
nHBDon,0
nHRing,2
nSpiro,0
naRing,3
piPC10,6.707986303584335
AATS0dv,7.454545454545454
AATS0pe,6.187010909090906
AATS0se,7.628982545454543
AATS1dv,7.172413793103448
AATS1pe,6.446663793103448
AATS1se,7.699878689655169
AATS2dv,5.772277227722772
AATS2pe,6.387799009900989
AATS2se,7.740972910891089
AATS3dv,4.592592592592593
AATS3pe,6.317747407407406
AATS3se,7.744710992592593
AATS4dv,3.5586206896551724
AATS4pe,6.295641379310345
AATS4se,7.76831324137931
AATS5dv,3.1904761904761907
AATS5pe,6.265433333333332
AATS5se,7.762364000000001
AATS6dv,2.810457516339869
AATS6pe,6.019247058823527
AATS6se,7.550478013071896
AATS7dv,2.99290780141844
AATS7pe,5.867217021276595
AATS7se,7.3869212765957455
AATS8dv,2.9098360655737703
AATS8pe,6.004353278688523
AATS8se,7.507384327868851
AATSC0Z,7.188099173553721
AATSC0c,0.017776319975076407
AATSC0d,0.5897520661157025
AATSC0i,1.495971548389834
AATSC0m,34.25952781685949
AATSC0p,0.2306576290038844
AATSC0s,1.3653259871441688
AATSC0v,50.62600297695882
AATSC1Z,0.4846280991735532
AATSC1c,-0.00791369994593596
AATSC1d,0.2221601595896266
AATSC1i,-0.3452518692310024
AATSC1m,2.256305984080945
AATSC1p,-0.019485678392465684
AATSC1s,-0.03818387638136856
AATSC1v,-1.0911453543751173
AATSC2Z,0.2822878651501513
AATSC2c,-0.003165072868953602
AATSC2d,-0.030616152524343333
AATSC2i,0.04780324932596712
AATSC2m,1.3238263001522046
AATSC2p,0.0032800638392444684
AATSC2s,0.0174372891834638
AATSC2v,1.450998949337347
AATSC3Z,0.022271196816651417
AATSC3c,0.0043646586754004756
AATSC3d,-0.09493725130088768
AATSC3i,0.11306119052270801
AATSC3m,0.0553377109519479
AATSC3p,-0.0008436790330856286
AATSC3s,0.07949630990035025
AATSC3v,-0.3718664287456156
AATSC4Z,-1.0339925904816187
AATSC4c,-0.0017812665348429914
AATSC4d,-0.11715018523795953
AATSC4i,-0.1556858980290478
AATSC4m,-4.876051104006836
AATSC4p,-0.02460364557510373
AATSC4s,-0.2552493587916786
AATSC4v,-5.642134478175469
