DLiP-ID,T002ZT
MWC03,5.37989735354046
MWC04,6.1675164908883415
MWC05,6.934397209928558
MWC06,7.726212650507529
MWC07,8.504107951867582
MWC08,9.30008966411979
MWC09,10.085600754292345
MWC10,10.885397471418095
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.5338700000000003
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.0689042022202315
SRW05,0.0
SRW06,6.444131256700441
SRW07,0.0
SRW08,7.893198869544609
SRW09,0.0
SRW10,9.386560016578668
SaaCH,6.9844448394102905
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.4321483135362145
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.8430177677897599
SdssS,0
SsCH3,0
SsNH2,5.368866350249478
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.805949053685346
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.5085186035644242
VE1_D,4.718287050855823
VE2_A,0.1525442871114967
VE2_D,0.205142915254601
VE3_A,2.0881030210580516
VE3_D,2.3843549437094502
VR1_A,1695.008081810846
VR1_D,117.97708446865005
VR2_A,73.6960035569933
VR2_D,5.129438455158698
VR3_A,8.268351910768285
VR3_D,5.6033995291234
WPath,1680
Xc-3d,1.4010475702906073
Xc-4d,0.0
Xc-5d,0.16666666666666666
Xc-6d,0.0
Xp-0d,17.07913950137325
Xp-1d,10.986071002992368
Xp-2d,9.446308590391341
Xp-3d,6.380332656077828
Xp-4d,4.383846654807987
Xp-5d,3.234028959187257
Xp-6d,2.2132526411942357
Xp-7d,1.3850607062129057
ZMIC0,77.24000644647971
ZMIC1,38.55088258303756
ZMIC2,25.261750619990238
ZMIC3,21.972327977208874
ZMIC4,21.537504342880766
ZMIC5,21.537504342880766
nAcid,1
nAtom,47
nBase,2
nRing,1
piPC1,3.4011973816621555
piPC2,3.7954891891721947
piPC3,4.06474409244581
piPC4,4.392904752821065
piPC5,4.836777815714431
piPC6,4.89128853646369
piPC7,4.917239946496703
piPC8,4.703317247127616
piPC9,4.9865987162680145
AATS0Z,21.02127659574468
AATS0d,2.6808510638297873
AATS0i,167.4052649929676
AATS0m,82.66595044680851
AATS0p,1.3204834407739579
AATS0s,5.471040189125294
AATS0v,194.56828336407253
AATS1Z,22.361702127659573
AATS1d,3.234042553191489
AATS1i,152.0573769243584
AATS1m,83.19719104255314
AATS1p,1.6666073843829798
AATS1s,3.3516548463356974
AATS1v,241.3955535597518
AATS2Z,17.7875
AATS2d,2.825
AATS2i,156.21223382072114
AATS2m,64.29088275000004
AATS2p,1.4059811104849
AATS2s,3.412499999999999
AATS2v,192.28971116737782
AATS3Z,13.145454545454545
AATS3d,2.3
AATS3i,164.87321103195697
AATS3m,45.209508672727246
AATS3p,1.1464406074915818
AATS3s,2.908080808080807
AATS3v,150.07684682100592
AATS4Z,11.871559633027523
AATS4d,2.1192660550458715
AATS4i,165.79932097208095
AATS4m,39.89200710091743
AATS4p,1.084756708786899
AATS4s,2.7586646279306826
AATS4v,138.96522908133358
AATS5Z,11.259615384615385
AATS5d,2.048076923076923
AATS5i,167.791552583005
AATS5m,38.0925401153846
AATS5p,1.0142191234203366
AATS5s,2.669871794871795
AATS5v,129.23441541640992
AATS6Z,12.386363636363637
AATS6d,2.1704545454545454
AATS6i,168.60805638942364
AATS6m,42.60623589772725
AATS6p,1.0223833567474094
AATS6s,2.952967171717172
AATS6v,134.30218381616888
AATS7Z,13.133333333333333
AATS7d,2.24
AATS7i,167.76063295137575
AATS7m,44.57339878666667
AATS7p,1.0923363306077862
AATS7s,3.061481481481483
AATS7v,146.04165579047475
AATS8Z,12.635135135135135
AATS8d,2.1486486486486487
AATS8i,166.43545447032068
AATS8m,43.07110972972973
AATS8p,1.0841224767314996
AATS8s,3.0690690690690694
AATS8v,141.066354431164
AMID_C,1.412892111699297
AMID_N,0.3232492571931882
AMID_O,0.22373133799595313
AMID_X,0.0
AMID_h,0.5469805951891413
ATS0dv,298.0
ATS0pe,292.6671999999998
ATS0se,362.75308399999983
ATS1dv,262.0
ATS1pe,305.85100000000006
ATS1se,367.2760039999997
ATS2dv,314.0
ATS2pe,499.5222999999998
ATS2se,611.3970719999998
ATS3dv,266.0
ATS3pe,667.9001999999998
ATS3se,835.7184080000005
ATS4dv,228.0
ATS4pe,653.1249999999998
ATS4se,821.8506800000005
ATS5dv,218.0
ATS5pe,614.806
ATS5se,779.2097680000003
ATS6dv,202.0
ATS6pe,533.0332
ATS6se,671.7152040000003
ATS7dv,172.0
ATS7pe,466.45
ATS7se,582.350916
ATS8dv,192.0
ATS8pe,450.45320000000015
ATS8se,565.1435200000001
ATSC0Z,358.5531914893615
ATSC0c,1.3207895921634707
ATSC0d,21.744680851063833
ATSC0i,66.94050732155416
ATSC0m,1701.2214912340426
ATSC0p,9.86857254920528
ATSC0s,104.01773049645394
ATSC0v,2241.5465831625024
ATSC1Z,-13.936170212765942
ATSC1c,-0.9067554104225908
ATSC1d,3.063829787234047
ATSC1i,2.763999573618042
ATSC1m,-60.4033712340422
ATSC1p,0.7364686782553231
ATSC1s,-10.634751773049643
ATSC1v,117.10404801426435
ATSC2Z,-16.06926210955182
ATSC2c,0.35614390477180397
ATSC2d,-7.607967406066086
ATSC2i,-15.952149889397749
ATSC2m,-92.78410882390193
ATSC2p,-2.9292610904186787
ATSC2s,36.66485589256076
ATSC2v,-589.7424029823886
ATSC3Z,-56.06066093254866
ATSC3c,0.031836478748690805
ATSC3d,-1.9343594386600262
ATSC3i,-0.9777499367230968
ATSC3m,-262.40772973924845
ATSC3p,-0.22451738700217855
ATSC3s,-17.55627232030582
ATSC3v,-202.0607845699435
ATSC4Z,-75.07016749660481
ATSC4c,-0.24551048857685775
ATSC4d,0.6559529198732454
ATSC4i,-18.807361438233638
ATSC4m,-354.11735498958814
ATSC4p,-1.914727895326535
ATSC4s,-21.958968361752422
ATSC4v,-433.66109389152587
ATSC5Z,38.712086917157066
ATSC5c,0.0024001244121289907
ATSC5d,1.3521955636034395
ATSC5i,-13.771658020594103
ATSC5m,186.54745431190562
ATSC5p,-0.20163456702944338
ATSC5s,-11.33887882903274
ATSC5v,165.47212203034385
ATSC6Z,32.53870529651426
ATSC6c,0.38806396370280094
ATSC6d,-1.0325939339067447
ATSC6i,4.111446177320846
ATSC6m,159.93666645540955
ATSC6p,0.8072430419539486
ATSC6s,-11.779651425984607
ATSC6v,256.1484002697551
ATSC7Z,-96.52105024898142
ATSC7c,-0.5126426374356532
ATSC7d,-0.7415119963784514
ATSC7i,1.5832133651629405
ATSC7m,-446.86645222453586
ATSC7p,0.05374265741336661
ATSC7s,-35.94909712791106
ATSC7v,-166.81394313010028
ATSC8Z,-31.828429153463127
ATSC8c,0.18244445421576272
ATSC8d,-0.04481665912177479
ATSC8i,-0.9883389475581396
ATSC8m,-151.50866073019466
ATSC8p,-0.29774141285449957
ATSC8s,-15.234180876213477
ATSC8v,-167.29386406931008
AXp-0d,0.7425712826684021
AXp-1d,0.47765526099966815
AXp-2d,0.3373681639425479
AXp-3d,0.22001147089923545
AXp-4d,0.14612822182693289
AXp-5d,0.09511849879962521
AXp-6d,0.06706826185437077
AXp-7d,0.04616869020709686
GATS1Z,0.9512817469736536
GATS1c,1.7342594465191659
GATS1d,1.080234833659491
GATS1i,1.3433998097233524
GATS1m,0.9551248566449191
GATS1p,1.154501890941407
GATS1s,0.7861907521676378
GATS1v,1.0676173411400114
GATS2Z,0.9333343223356284
GATS2c,0.6764724118134529
GATS2d,1.4279354207436399
GATS2i,1.3516726444878704
GATS2m,0.9460585748199803
GATS2p,1.3293633259448774
GATS2s,0.40967908726235513
GATS2v,1.2421647965580953
GATS3Z,1.026930172841638
GATS3c,0.8176889863416942
GATS3d,1.028882761074542
GATS3i,1.0137928904512905
GATS3m,1.0277282773422851
GATS3p,1.0111131472135724
GATS3s,0.9400228205072575
GATS3v,1.0335209425522356
GATS4Z,1.045767578290874
GATS4c,0.9287661715930446
GATS4d,0.8054273864880876
GATS4i,1.0917471287707496
GATS4m,1.0472322557462292
GATS4p,1.0666883948156816
GATS4s,0.9261070105988483
GATS4v,1.0713013969878151
GATS5Z,0.9153239058591545
GATS5c,0.8423263597796339
GATS5d,0.8441498569923227
GATS5i,0.9949772024221929
GATS5m,0.9158154244889509
GATS5p,0.9608765810818616
GATS5s,0.8964535326887452
GATS5v,0.9402205643759746
GATS6Z,0.9527241169108609
GATS6c,0.8128017409767356
GATS6d,1.033690624444049
GATS6i,0.8727481533484774
GATS6m,0.9488252291002766
GATS6p,0.8875580844247818
GATS6s,1.0875731800671284
GATS6v,0.8885241821428276
GATS7Z,1.1837202310309367
GATS7c,1.3550283662675815
GATS7d,0.9731115459882582
GATS7i,0.9675311957470543
GATS7m,1.1761432968742491
GATS7p,0.932145250681594
GATS7s,1.3390630196555258
GATS7v,0.9867410385869362
GATS8Z,1.0393497283183972
GATS8c,0.8909328015154692
GATS8d,0.9290871105939598
GATS8i,0.9682189683500991
GATS8m,1.0389498799709573
GATS8p,0.9887294347151301
GATS8s,1.1142959087680044
GATS8v,1.0193708710840068
MATS1Z,-0.03886779017327318
MATS1c,-0.6865252541378022
MATS1d,0.1409001956947164
MATS1i,0.041290388797637065
MATS1m,-0.03550588300540832
MATS1p,0.0746276804049671
MATS1s,-0.10223979817952471
MATS1v,0.05224252259306039
MATS2Z,-0.02632996083550913
MATS2c,0.1584162574378754
MATS2d,-0.2055528375733853
MATS2i,-0.14000324220733124
MATS2m,-0.03204207342484317
MATS2p,-0.1743859998029362
MATS2s,0.2070858759758634
MATS2v,-0.15456902138671078
MATS3Z,-0.06680512698789465
MATS3c,0.01029903565444643
MATS3d,-0.03800925102294963
MATS3i,-0.006240853240738702
MATS3m,-0.06590539028624862
MATS3p,-0.009720773271539914
MATS3s,-0.07211574718307748
MATS3v,-0.03851584577656215
MATS4Z,-0.09027866999697318
MATS4c,-0.08015078358476041
MATS4d,0.013007414854844782
MATS4i,-0.12114632142733786
MATS4m,-0.08975480572743677
MATS4p,-0.08366119935780542
MATS4s,-0.09102819245965155
MATS4v,-0.08342074273936838
MATS5Z,0.04879299877668025
MATS5c,0.000821229676371706
MATS5d,0.028102890260424482
MATS5i,-0.09297404988437068
MATS5m,0.049555628105573575
MATS5p,-0.009233687394164889
MATS5s,-0.049263726336050986
MATS5v,0.033361194049975534
MATS6Z,0.04846875472023825
MATS6c,0.156922371579226
MATS6d,-0.025362479985767645
MATS6i,0.03280354622912427
MATS6m,0.05021140399665195
MATS6p,0.043688301219330365
MATS6s,-0.06048396469381363
MATS6v,0.0610322056163745
MATS7Z,-0.16869609937495061
MATS7c,-0.24323030306953564
MATS7d,-0.021369863013698615
MATS7i,0.014821325410680219
MATS7m,-0.16460896567769942
MATS7p,0.003412725782895039
MATS7s,-0.21657943082686532
MATS7v,-0.0466359871706866
MATS8Z,-0.05638034782943406
MATS8c,0.08773303769995383
MATS8d,-0.0013090389802718637
MATS8i,-0.009377413111037685
MATS8m,-0.056564341682053834
MATS8p,-0.019162450450232276
MATS8s,-0.09302032916221714
MATS8v,-0.047402187293841845
MAXdNH,7.297568153035318
MAXsOH,8.503589325490008
MINdNH,7.297568153035318
MINsOH,8.503589325490008
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,7
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.979020089752783
SpAD_D,303.6771389717168
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.2819096399806655
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,307
TMWC10,115.61794853479233
TSRW10,55.64294194675401
VE1_Dt,4.722486689763534
VE2_Dt,0.20532550825058846
VE3_Dt,2.3852446248521417
VR1_Dt,117.89902653260692
VR2_Dt,5.126044631852475
VR3_Dt,5.6027376737234516
Xc-3dv,0.37555395640086336
Xc-4dv,0.0
Xc-5dv,0.024056261216234408
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.08333333333333333
Xch-7d,0.10703808753134778
Xp-0dv,13.100208990681649
Xp-1dv,7.65611099022767
Xp-2dv,5.252483930480808
Xp-3dv,3.288561683334028
Xp-4dv,1.995064861518965
Xp-5dv,1.2501243971604394
Xp-6dv,0.7026926959508744
Xp-7dv,0.38914074888792216
Xpc-4d,2.170376241470776
Xpc-5d,2.1909905788180524
Xpc-6d,2.536178638629002
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,47
nFRing,0
nHBAcc,4
nHBDon,5
nHRing,0
nSpiro,0
naRing,1
piPC10,4.363894486350466
AATS0dv,6.340425531914893
AATS0pe,6.226961702127656
AATS0se,7.718150723404252
AATS1dv,5.574468085106383
AATS1pe,6.507468085106384
AATS1se,7.814383063829781
AATS2dv,3.925
AATS2pe,6.244028749999997
AATS2se,7.642463399999997
AATS3dv,2.418181818181818
AATS3pe,6.071819999999998
AATS3se,7.597440072727277
AATS4dv,2.091743119266055
AATS4pe,5.991972477064218
AATS4se,7.539914495412848
AATS5dv,2.0961538461538463
AATS5pe,5.911596153846154
AATS5se,7.492401615384618
AATS6dv,2.2954545454545454
AATS6pe,6.057195454545454
AATS6se,7.633127318181821
AATS7dv,2.2933333333333334
AATS7pe,6.219333333333333
AATS7se,7.76467888
AATS8dv,2.5945945945945947
AATS8pe,6.087205405405408
AATS8se,7.637074594594596
AATSC0Z,7.6287913082842875
AATSC0c,0.028101906216244057
AATSC0d,0.46265278406518795
AATSC0i,1.4242661132245567
AATSC0m,36.196201941149845
AATSC0p,0.20996962870649533
AATSC0s,2.2131432020522115
AATSC0v,47.6924804928192
AATSC1Z,-0.29651425984608387
AATSC1c,-0.019292668306863634
AATSC1d,0.06518786781349035
AATSC1i,0.05880850156634132
AATSC1m,-1.2851781113626
AATSC1p,0.01566954634585794
AATSC1s,-0.22627131432020517
AATSC1v,2.491575489665199
AATSC2Z,-0.20086577636939773
AATSC2c,0.004451798809647549
AATSC2d,-0.09509959257582608
AATSC2i,-0.19940187361747186
AATSC2m,-1.1598013602987742
AATSC2p,-0.036615763630233486
AATSC2s,0.45831069865700946
AATSC2v,-7.371780037279858
AATSC3Z,-0.5096423721140787
AATSC3c,0.0002894225340790073
AATSC3d,-0.01758508580600024
AATSC3i,-0.00888863578839179
AATSC3m,-2.38552481581135
AATSC3p,-0.0020410671545652596
AATSC3s,-0.15960247563914381
AATSC3v,-1.8369162233631229
AATSC4Z,-0.6887171329963744
AATSC4c,-0.0022523898034574105
AATSC4d,0.006017916696084821
AATSC4i,-0.17254460035076732
AATSC4m,-3.2487830732989735
AATSC4p,-0.017566310966298487
AATSC4s,-0.2014584253371782
AATSC4v,-3.9785421457938153
AATSC5Z,0.3722316049726641
AATSC5c,2.307811934739414e-05
AATSC5d,0.013001880419263841
