DLiP-ID,C001MT
MPC6,39
MPC7,35
MPC8,37
MPC9,39
Mare,0.9826285714285715
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,2
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.27482137867984663
RPCG,0.08696751072152474
SIC0,0.3020301640329022
SIC1,0.6272795177794829
SIC2,0.774926092716321
SIC3,0.9066709577325079
SIC4,0.9400925043428713
SIC5,0.9400925043428713
SaaN,0
SaaO,0
SaaS,0
Sare,34.392
SdNH,0
SdSe,0
SddC,0
SdsN,8.213260030864198
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.34973702682532
SssS,0
StCH,0
StsC,0
TIC0,54.22193668426737
TIC1,112.61229620983053
TIC2,139.1185336365071
TIC3,162.77001809091033
TIC4,168.7700180909103
TIC5,168.7700180909103
Vabc,238.50939089443781
WPol,25
apol,39.25068799999998
bpol,17.787311999999996
nRot,4
ABCGG,11.442325324019448
ATS0Z,780.0
ATS0d,108.0
ATS0i,5764.214954690484
ATS0m,3076.7069149999998
ATS0p,51.64161047758401
ATS0s,126.38888888888889
ATS0v,7616.224005236589
ATS1Z,881.0
ATS1d,128.0
ATS1i,5448.92174791
ATS1m,3330.6711879999993
ATS1p,63.78880091999999
ATS1s,126.86111111111111
ATS1v,9363.238520691551
ATS2Z,1192.0
ATS2d,190.0
ATS2i,8746.632939649493
ATS2m,4451.119702
ATS2p,87.99245253109397
ATS2s,182.11111111111114
ATS2v,12613.483944647744
ATS3Z,1244.0
ATS3d,198.0
ATS3i,11200.73837454639
ATS3m,4507.086144999999
ATS3p,91.62293331364097
ATS3s,226.83333333333334
ATS3v,12901.36446375318
ATS4Z,1016.0
ATS4d,170.0
ATS4i,10783.065913784441
ATS4m,3571.851959
ATS4p,80.63085085564097
ATS4s,204.61111111111111
ATS4v,10899.66378949888
ATS5Z,841.0
ATS5d,148.0
ATS5i,9718.59916770194
ATS5m,2932.648772
ATS5p,74.624467763339
ATS5s,166.00000000000003
ATS5v,9802.507225230167
ATS6Z,789.0
ATS6d,143.0
ATS6i,9017.539801879384
ATS6m,2822.7646759999993
ATS6p,71.35982589758399
ATS6s,145.22222222222226
ATS6v,9289.966989649723
ATS7Z,722.0
ATS7d,127.0
ATS7i,7866.751308887692
ATS7m,2534.559038
ATS7p,64.177707548792
ATS7s,136.11111111111111
ATS7v,8475.852570362811
ATS8Z,605.0
ATS8d,110.0
ATS8i,7431.039486405891
ATS8m,2093.4154190000004
ATS8p,52.48186841849
ATS8s,122.66666666666667
ATS8v,6877.208184338997
C1SP1,0
C1SP2,0
C1SP3,2
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.14285714285714285
GGI10,0.06601367207427813
JGI10,0.009430524582039733
JGT10,0.43744219905870485
Kier1,15.39
Kier2,7.695266272189349
Kier3,4.795005202913631
MID_C,28.6006216234529
MID_N,7.621600814156694
MID_O,1.96391190043928
MID_X,0.0
MID_h,9.585512714595975
MPC10,38
MWC01,20.0
MWC02,4.532599493153256
MWC03,5.332718793265369
MWC04,6.163314804034641
MWC05,6.980075940561763
MWC06,7.813187267521416
MWC07,8.635687085464026
MWC08,9.469545806435415
MWC09,10.294481794215836
MWC10,11.128717807741976
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,2
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.6651000000000007
SRW02,3.713572066704308
SRW03,0.0
SRW04,4.976733742420574
SRW05,0.0
SRW06,6.434546518787453
SRW07,0.0
SRW08,7.979681302387741
SRW09,0.0
SRW10,9.56598478510039
SaaCH,12.510440441225974
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.2670510238808967
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,1.941966279078958
SsNH2,11.409176630989887
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.961726814233712
VE1_D,4.2883322576439795
VE2_A,0.208511937591248
VE2_D,0.22570169777073576
VE3_A,2.0185338805908533
VE3_D,2.0977517923970703
VR1_A,120.80608027331218
VR1_D,93.52064752340749
VR2_A,6.3582147512269565
VR2_D,4.9221393433372365
VR3_A,5.436040503794772
VR3_D,5.180036127215226
WPath,828
Xc-3d,1.0992923521208584
Xc-4d,0.0
Xc-5d,0.11785113019775792
Xc-6d,0.0
Xp-0d,13.664925939000156
Xp-1d,9.185871848001627
Xp-2d,7.908364534418806
Xp-3d,6.218104252738617
Xp-4d,4.82380625958466
Xp-5d,3.6706244851654337
Xp-6d,2.344658258144327
Xp-7d,1.3819272637493845
ZMIC0,63.86279582739557
ZMIC1,42.27087228776487
ZMIC2,27.22698012415968
ZMIC3,21.604630119166124
ZMIC4,20.93912068575328
ZMIC5,20.93912068575328
nAcid,0
nAtom,35
nBase,0
nRing,2
piPC1,3.332204510175204
piPC2,3.8918202981106265
piPC3,4.42484663185681
piPC4,4.929063640402444
piPC5,5.453182077108952
piPC6,5.5726292044366454
piPC7,5.760182499139774
piPC8,6.138536661470896
piPC9,6.5481295572060105
AATS0Z,22.285714285714285
AATS0d,3.085714285714286
AATS0i,164.69185584829953
AATS0m,87.90591185714285
AATS0p,1.475474585073829
AATS0s,3.611111111111111
AATS0v,217.60640014961683
AATS1Z,24.47222222222222
AATS1d,3.5555555555555554
AATS1i,151.35893744194445
AATS1m,92.51864411111109
AATS1p,1.7719111366666664
AATS1s,3.5239197530864197
AATS1v,260.08995890809865
AATS2Z,20.912280701754387
AATS2d,3.3333333333333335
AATS2i,153.44970069560515
AATS2m,78.08981933333334
AATS2p,1.5437272373876136
AATS2s,3.194931773879143
AATS2v,221.28919201136392
AATS3Z,18.028985507246375
AATS3d,2.869565217391304
AATS3i,162.32954166009262
AATS3m,65.320089057971
AATS3p,1.3278685987484198
AATS3s,3.28743961352657
AATS3v,186.97629657613305
AATS4Z,15.63076923076923
AATS4d,2.6153846153846154
AATS4i,165.89332175052988
AATS4m,54.9515686
AATS4p,1.2404746285483226
AATS4s,3.147863247863248
AATS4v,167.6871352230597
AATS5Z,14.254237288135593
AATS5d,2.5084745762711864
AATS5i,164.7220197915583
AATS5m,49.70591138983051
AATS5p,1.2648214875142203
AATS5s,2.813559322033899
AATS5v,166.14419025813842
AATS6Z,14.089285714285714
AATS6d,2.5535714285714284
AATS6i,161.02749646213186
AATS6m,50.40651207142856
AATS6p,1.2742826053139997
AATS6s,2.593253968253969
AATS6v,165.89226767231648
AATS7Z,14.73469387755102
AATS7d,2.5918367346938775
AATS7i,160.54594507934067
AATS7m,51.725694653061225
AATS7p,1.3097491336488163
AATS7s,2.7777777777777777
AATS7v,172.9765830686288
AATS8Z,13.444444444444445
AATS8d,2.4444444444444446
AATS8i,165.1342108090198
AATS8m,46.520342644444455
AATS8p,1.166263742633111
AATS8s,2.725925925925926
AATS8v,152.8268485408666
AMID_C,1.5052958749185736
AMID_N,0.40113688495561545
AMID_O,0.10336378423364631
AMID_X,0.0
AMID_h,0.5045006691892618
ATS0dv,252.0
ATS0pe,217.275
ATS0se,267.220908
ATS1dv,266.0
ATS1pe,236.3981
ATS1se,281.90598399999993
ATS2dv,333.0
ATS2pe,361.57450000000006
ATS2se,438.794256
ATS3dv,321.0
ATS3pe,441.0026
ATS3se,539.241524
ATS4dv,239.0
ATS4pe,408.19520000000006
ATS4se,502.226084
ATS5dv,201.0
ATS5pe,359.10069999999996
ATS5se,445.571064
ATS6dv,187.0
ATS6pe,328.7187
ATS6se,411.77138399999995
ATS7dv,157.0
ATS7pe,296.21000000000004
ATS7se,367.102704
ATS8dv,133.0
ATS8pe,271.6505
ATS8se,338.989564
ATSC0Z,251.54285714285714
ATSC0c,0.7961272963272188
ATSC0d,18.4
ATSC0i,56.05717007069414
ATSC0m,1199.726815542857
ATSC0p,7.623995949774169
ATSC0s,25.804761904761904
ATSC0v,1716.2373830813913
ATSC1Z,2.384489795918373
ATSC1c,-0.4051678560762192
ATSC1d,7.359999999999998
ATSC1i,10.38830731034535
ATSC1m,12.94974401306108
ATSC1p,0.5609310100517106
ATSC1s,-7.014263038548751
ATSC1v,109.85609335278674
ATSC2Z,35.94448979591837
ATSC2c,0.036340397244662793
ATSC2d,-1.6800000000000028
ATSC2i,-24.05919837333001
ATSC2m,169.8404557730611
ATSC2p,-0.9370372531187916
ATSC2s,4.3290702947845805
ATSC2v,-2.489149235784055
ATSC3Z,-33.95591836734693
ATSC3c,-0.011838700631607826
ATSC3d,-4.560000000000002
ATSC3i,-20.172475356309107
ATSC3m,-157.00618049877568
ATSC3p,-0.8226434830182514
ATSC3s,-3.4849433106575955
ATSC3v,-188.37935194405352
ATSC4Z,-77.55102040816325
ATSC4c,-0.0057742164530364005
ATSC4d,-4.4
ATSC4i,-4.497497922836996
ATSC4m,-368.9690086653062
ATSC4p,-1.5886644774298897
ATSC4s,-1.6024943310657602
ATSC4v,-448.00026565821963
ATSC5Z,-43.94367346938776
ATSC5c,-0.17528351092566108
ATSC5d,1.4400000000000004
ATSC5i,19.04612157500369
ATSC5m,-208.9105547436734
ATSC5p,0.4256663750888247
ATSC5s,-5.1867573696145115
ATSC5v,-85.49364442489856
ATSC6Z,72.47428571428571
ATSC6c,0.31610825634119816
ATSC6d,-0.04000000000000033
ATSC6i,8.084570493921875
ATSC6m,340.77377284571435
ATSC6p,1.1220573850310398
ATSC6s,10.620317460317459
ATSC6v,306.99622629968326
ATSC7Z,-38.04571428571429
ATSC7c,-0.20464567864256875
ATSC7d,-1.9600000000000009
ATSC7i,-8.362331005232596
ATSC7m,-182.75867810285715
ATSC7p,-1.3520290839917253
ATSC7s,-4.4806349206349205
ATSC7v,-284.8835435365078
ATSC8Z,-17.269387755102045
ATSC8c,-0.034267651880077556
ATSC8d,-1.9999999999999996
ATSC8i,-5.991437199205801
ATSC8m,-83.3792562693877
ATSC8p,-0.9974426226029633
ATSC8s,-3.1442176870748297
ATSC8v,-149.2478111746491
AXp-0d,0.7192066283684293
AXp-1d,0.45929359240008133
AXp-2d,0.3041678667084156
AXp-3d,0.20058400815285862
AXp-4d,0.1339946183217961
AXp-5d,0.08536336012012637
AXp-6d,0.06011944251652121
AXp-7d,0.03948363610712527
GATS1Z,0.8560502801756776
GATS1c,1.5653833940861726
GATS1d,0.7442632850241546
GATS1i,1.0369347882417477
GATS1m,0.8566615010614913
GATS1p,0.9683665472872337
GATS1s,1.2708200911744
GATS1v,0.9001604922834542
GATS2Z,0.8240373195596897
GATS2c,0.9190058597260162
GATS2d,1.2805110602593441
GATS2i,1.3279376949574337
GATS2m,0.8257146778466856
GATS2p,1.1224741127520268
GATS2s,0.6937875074596745
GATS2v,0.9898914959652115
GATS3Z,1.0587990307436013
GATS3c,1.196774056944312
GATS3d,1.1381537492123504
GATS3i,1.213889942007347
GATS3m,1.0520005645291826
GATS3p,0.994596485090258
GATS3s,1.159783567034223
GATS3v,0.9747059500793919
GATS4Z,1.149949323733967
GATS4c,0.9651534139579616
GATS4d,1.0376254180602007
GATS4i,1.0830542974479462
GATS4m,1.1470058539506518
GATS4p,1.0156822752750203
GATS4s,1.0819410336848978
GATS4v,1.0527150746223262
GATS5Z,1.0595626795216349
GATS5c,0.9397998875481605
GATS5d,0.8769344141488579
GATS5i,0.8091827870205768
GATS5m,1.0608254740797223
GATS5p,0.9169687823904981
GATS5s,1.0793785832022293
GATS5v,0.9918849138918577
GATS6Z,0.7554804634257155
GATS6c,0.3186438798614925
GATS6d,1.0064052795031055
GATS6i,0.8394690050274758
GATS6m,0.7634840079463974
GATS6p,0.9389127985302256
GATS6s,0.4267776957618257
GATS6v,0.9249076662736266
GATS7Z,1.0344324008567534
GATS7c,0.8553816810163802
GATS7d,0.9616237799467614
GATS7i,1.1091071626956825
GATS7m,1.0387556113180498
GATS7p,1.121219155684625
GATS7s,0.9762388070193939
GATS7v,1.1095995903853222
GATS8Z,1.0347695491948103
GATS8c,0.9354494236491975
GATS8d,1.0265700483091789
GATS8i,1.0314590552235137
GATS8m,1.0355623552461761
GATS8p,1.0519381902903617
GATS8s,1.0650489020114413
GATS8v,1.0342467390174128
MATS1Z,0.009216139128678904
MATS1c,-0.49478669457092933
MATS1d,0.3888888888888888
MATS1i,0.18016862438211648
MATS1m,0.010494079767559731
MATS1p,0.07153067718011887
MATS1s,-0.26426992133303256
MATS1v,0.06223179628702511
MATS2Z,0.08774321082123757
MATS2c,0.028028531508495345
MATS2d,-0.05606407322654472
MATS2i,-0.2635379553586651
MATS2m,0.08692645509611997
MATS2p,-0.07546879034374233
MATS2s,0.10301203584097107
MATS2v,-0.0008905673448255158
MATS3Z,-0.06847348701841717
MATS3c,-0.007542936951469644
MATS3d,-0.12570888468809083
MATS3i,-0.18253534780483543
MATS3m,-0.06638245904255709
MATS3p,-0.054732836811257575
MATS3s,-0.06850382399376677
MATS3v,-0.05567688053046312
MATS4Z,-0.16600845769405512
MATS4c,-0.003905397401967723
MATS4d,-0.1287625418060201
MATS4i,-0.04320106861806117
MATS4m,-0.16560071632695147
MATS4p,-0.1122029345570984
MATS4s,-0.033438850010173146
MATS4v,-0.14055801059663942
MATS5Z,-0.10363355639578313
MATS5c,-0.13060944430515053
MATS5d,0.04642593957258661
MATS5i,0.20155399715660638
MATS5m,-0.10329850804085165
MATS5p,0.033120945103775765
MATS5s,-0.11923729334847151
MATS5v,-0.029551022036110458
MATS6Z,0.1800743980009087
MATS6c,0.2481608922652062
MATS6d,-0.0013586956521739243
MATS6i,0.09013756049991418
MATS6m,0.1775267546488905
MATS6p,0.09198402914487024
MATS6s,0.257227655779049
MATS6v,0.11179842796152555
MATS7Z,-0.10803530862594926
MATS7c,-0.18360818102713555
MATS7d,-0.07608695652173916
MATS7i,-0.10655360532173537
MATS7m,-0.10880969837416209
MATS7p,-0.12667045816343797
MATS7s,-0.12402569442613731
MATS7v,-0.11856649166904296
MATS8Z,-0.053397445605532855
MATS8c,-0.03347783482855816
MATS8d,-0.08454106280193235
MATS8i,-0.08312953908691126
MATS8m,-0.05405441623360265
MATS8p,-0.10175618029964341
MATS8s,-0.09476943265465133
MATS8v,-0.06763728144949216
MAXdsN,4.116847600151171
MAXssO,5.34973702682532
MINdsN,4.096412430713026
MINssO,5.34973702682532
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,24.067518093819317
SpAD_D,181.01460923491638
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6417019004680994
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,363
TMWC10,109.35032879239371
TSRW10,51.670518415400466
VE1_Dt,4.30802436843364
VE2_Dt,0.2267381246544021
VE3_Dt,2.1023333020043085
VR1_Dt,92.71716389786614
VR2_Dt,4.8798507314666395
VR3_Dt,5.171407496921861
Xc-3dv,0.3866850816290314
Xc-4dv,0.0
Xc-5dv,0.02151657414559676
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.15137471507731048
Xch-7d,0.30204641611818106
Xp-0dv,10.705934685356961
Xp-1dv,5.98387100246138
Xp-2dv,3.9451669649730916
Xp-3dv,2.472517373670804
Xp-4dv,1.5513644452013071
Xp-5dv,0.9538373169158094
Xp-6dv,0.42536541054949056
Xp-7dv,0.2025495556269337
Xpc-4d,2.2264523697642646
Xpc-5d,3.0222572056927173
Xpc-6d,3.9527738490375928
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,36
nFRing,0
nHBAcc,5
nHBDon,2
nHRing,0
nSpiro,0
naRing,2
piPC10,6.848668536522811
AATS0dv,7.2
AATS0pe,6.207857142857143
AATS0se,7.634883085714286
AATS1dv,7.388888888888889
AATS1pe,6.566613888888889
AATS1se,7.830721777777776
AATS2dv,5.842105263157895
AATS2pe,6.343412280701755
AATS2se,7.698144842105264
AATS3dv,4.6521739130434785
AATS3pe,6.391342028985507
AATS3se,7.815094550724638
AATS4dv,3.6769230769230767
AATS4pe,6.279926153846155
AATS4se,7.7265551384615385
AATS5dv,3.406779661016949
AATS5pe,6.08645254237288
AATS5se,7.55205193220339
AATS6dv,3.3392857142857144
AATS6pe,5.869976785714286
AATS6se,7.353060428571427
AATS7dv,3.204081632653061
AATS7pe,6.045102040816327
AATS7se,7.491891918367347
AATS8dv,2.9555555555555557
AATS8pe,6.036677777777778
AATS8se,7.533101422222222
AATSC0Z,7.186938775510204
AATSC0c,0.02274649418077768
AATSC0d,0.5257142857142857
AATSC0i,1.6016334305912612
AATSC0m,34.2779090155102
AATSC0p,0.2178284557078334
AATSC0s,0.7372789115646258
AATSC0v,49.03535380232547
AATSC1Z,0.06623582766439924
AATSC1c,-0.011254662668783867
AATSC1d,0.20444444444444437
AATSC1i,0.28856409195403754
AATSC1m,0.3597151114739189
AATSC1p,0.015581416945880852
AATSC1s,-0.19484063995968753
AATSC1v,3.0515581486885206
AATSC2Z,0.6306050841389188
AATSC2c,0.0006375508288537332
AATSC2d,-0.029473684210526364
AATSC2i,-0.42209119953210544
AATSC2m,2.9796571188256333
AATSC2p,-0.01643925005471564
AATSC2s,0.07594860166288737
AATSC2v,-0.04366928483831675
AATSC3Z,-0.492114758947057
AATSC3c,-0.00017157537147257718
AATSC3d,-0.06608695652173917
AATSC3i,-0.2923547153088276
AATSC3m,-2.275451891286604
AATSC3p,-0.011922369319105093
AATSC3s,-0.050506424792139064
AATSC3v,-2.7301355354210655
AATSC4Z,-1.19309262166405
AATSC4c,-8.883409927748308e-05
AATSC4d,-0.0676923076923077
AATSC4i,-0.06919227573595378
AATSC4m,-5.676446287158557
AATSC4p,-0.024440991960459842
AATSC4s,-0.024653758939473233
AATSC4v,-6.892311779357225
AATSC5Z,-0.7448080249048773
AATSC5c,-0.002970906964841713
AATSC5d,0.024406779661016956
AATSC5i,0.32281561991531676
AATSC5m,-3.540856860062261
AATSC5p,0.007214684323539402
AATSC5s,-0.08791114185787308
AATSC5v,-1.4490448207609925
