DLiP-ID,C100IG
SIC5,1.0
SaaN,7.256112055933485
SaaO,0
SaaS,0
Sare,21.895999999999997
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,5.731260393046107
SsLi,0
SsOH,8.862663454270598
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,41.444678358882754
TIC1,71.87413790175368
TIC2,81.4837783761905
TIC3,90.23866587835398
TIC4,92.23866587835397
TIC5,92.23866587835397
Vabc,167.6704581065699
WPol,20
apol,26.114757999999988
bpol,10.247242
nRot,2
ABCGG,10.551596241175725
ATS0Z,894.0
ATS0d,82.0
ATS0i,3423.4373048073944
ATS0m,3661.7001219999993
ATS0p,37.436585429094016
ATS0s,145.92196311537873
ATS0v,5664.849614336403
ATS1Z,747.0
ATS1d,99.0
ATS1i,3320.5952627696506
ATS1m,2934.0156409999995
ATS1p,42.33906953599999
ATS1s,95.13168724279836
ATS1v,6536.136015616285
ATS2Z,1096.0
ATS2d,141.0
ATS2i,5118.450453956001
ATS2m,4285.3514559999985
ATS2p,61.77768337000001
ATS2s,159.82304526748973
ATS2v,9326.218401244972
ATS3Z,1116.0
ATS3d,139.0
ATS3i,6021.69063595749
ATS3m,4271.993139000001
ATS3p,67.456670550849
ATS3s,145.52674897119346
ATS3v,9655.561957315269
ATS4Z,1141.0
ATS4d,115.0
ATS4i,6162.741933649879
ATS4m,4348.895673
ATS4p,58.650251901698
ATS4s,162.76131687242798
ATS4v,8546.82501637991
ATS5Z,760.0
ATS5d,96.0
ATS5i,5877.703912282184
ATS5m,2818.6048899999996
ATS5p,43.491290131094
ATS5s,139.03703703703704
ATS5v,6248.845156212218
ATS6Z,634.0
ATS6d,62.0
ATS6i,3843.7030660064474
ATS6m,2431.382948
ATS6p,30.158073136546996
ATS6s,110.0493827160494
ATS6v,4510.811449648324
ATS7Z,541.0
ATS7d,23.0
ATS7i,2753.229073420829
ATS7m,2050.6936800000003
ATS7p,16.042790948849003
ATS7s,119.76543209876543
ATS7v,2457.117591196552
ATS8Z,16.0
ATS8d,6.0
ATS8i,765.117564861098
ATS8m,30.27024
ATS8p,2.3561704096980005
ATS8s,8.0
ATS8v,236.09983866310833
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,5
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.0
JGI10,0.0
JGT10,0.43965997032068466
Kier1,11.484375
Kier2,4.8884297520661155
Kier3,2.5714285714285716
MAXdO,10.818618669690098
MID_C,18.665396524507962
MID_N,6.192161734434581
MID_O,3.4172030162134575
MID_X,1.7705221614672872
MID_h,11.379886912115326
MINdO,10.818618669690098
MPC10,10
MWC01,16.0
MWC02,4.343805421853684
MWC03,5.176149732573829
MWC04,6.037870919922137
MWC05,6.890609120147166
MWC06,7.755767170102998
MWC07,8.614138397472717
MWC08,9.480138475329403
MWC09,10.34048362692364
MWC10,11.206658423575341
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.6189
SRW02,3.4965075614664802
SRW03,0.0
SRW04,4.795790545596741
SRW05,2.3978952727983707
SRW06,6.285998094508865
SRW07,4.442651256490317
SRW08,7.866722285136729
SRW09,6.293419278846481
SRW10,9.496496280431916
SaaCH,7.649046989166038
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.9203621819098022
SaasN,1.599969135802469
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.0602551020408157
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.6020653861768457
VE1_D,3.819768779421028
VE2_A,0.2401376924117897
VE2_D,0.25465125196140187
VE3_A,1.6869725074392146
VE3_D,1.7456549999473225
VR1_A,67.40056943414386
VR1_D,67.05216241986523
VR2_A,4.493371295609591
VR2_D,4.470144161324348
VR3_A,4.616118574568539
VR3_D,4.610935968171363
WPath,359
Xc-3d,1.0384516905501369
Xc-4d,0.0
Xc-5d,0.3156411416862253
Xc-6d,0.0
Xp-0d,10.836498814253964
Xp-1d,7.181540550352056
Xp-2d,6.502824321302916
Xp-3d,5.221417298415794
Xp-4d,4.176966131411736
Xp-5d,2.7349144145222044
Xp-6d,1.9021757509774675
Xp-7d,1.190606236817281
ZMIC0,48.534971798541704
ZMIC1,31.678954164452875
ZMIC2,27.60944362213172
ZMIC3,24.071848621063623
ZMIC4,23.84400886651327
ZMIC5,23.84400886651327
nAcid,1
nAtom,21
nBase,0
nRing,2
piPC1,3.1570004211501135
piPC2,3.755369195382769
piPC3,4.325786916351006
piPC4,4.874720110116457
piPC5,5.23810281689052
piPC6,5.537826271948511
piPC7,5.836910139960482
piPC8,6.01874527106157
piPC9,6.0986008289094285
AATS0Z,42.57142857142857
AATS0d,3.9047619047619047
AATS0i,163.02082403844736
AATS0m,174.36667247619044
AATS0p,1.7826945442425721
AATS0s,6.94866491025613
AATS0v,269.7547435398287
AATS1Z,33.95454545454545
AATS1d,4.5
AATS1i,150.9361483077114
AATS1m,133.36434731818179
AATS1p,1.9245031607272722
AATS1s,4.32416760194538
AATS1v,297.09709161892204
AATS2Z,33.21212121212121
AATS2d,4.2727272727272725
AATS2i,155.10455921078793
AATS2m,129.85913503030298
AATS2p,1.8720510112121216
AATS2s,4.843122583863325
AATS2v,282.6126788256052
AATS3Z,28.615384615384617
AATS3d,3.5641025641025643
AATS3i,154.40232399891
AATS3m,109.53828561538464
AATS3p,1.7296582192525385
AATS3s,3.7314551018254734
AATS3v,247.57851172603253
AATS4Z,29.256410256410255
AATS4d,2.948717948717949
AATS4i,158.0190239397405
AATS4m,111.51014546153846
AATS4p,1.5038526128640513
AATS4s,4.173367099293025
AATS4v,219.14935939435665
AATS5Z,21.714285714285715
AATS5d,2.742857142857143
AATS5i,167.9343974937767
AATS5m,80.53156828571427
AATS5p,1.2426082894598285
AATS5s,3.9724867724867727
AATS5v,178.5384330346348
AATS6Z,27.565217391304348
AATS6d,2.6956521739130435
AATS6i,167.11752460897597
AATS6m,105.71230208695651
AATS6p,1.3112205711542173
AATS6s,4.7847557702630175
AATS6v,196.12223694123148
AATS7Z,36.06666666666667
AATS7d,1.5333333333333334
AATS7i,183.54860489472193
AATS7m,136.71291200000002
AATS7p,1.0695193965899334
AATS7s,7.984362139917695
AATS7v,163.80783941310347
AATS8Z,4.0
AATS8d,1.5
AATS8i,191.2793912152745
AATS8m,7.56756
AATS8p,0.5890426024245001
AATS8s,2.0
AATS8v,59.02495966577708
AMID_C,1.2443597683005307
AMID_N,0.4128107822956387
AMID_O,0.2278135344142305
AMID_X,0.11803481076448581
AMID_h,0.758659127474355
ATS0dv,245.60493827160494
ATS0pe,148.9401
ATS0se,177.55939300000006
ATS1dv,241.1111111111111
ATS1pe,154.73910000000004
ATS1se,181.508314
ATS2dv,323.44444444444446
ATS2pe,232.5343
ATS2se,273.87484400000005
ATS3dv,260.77777777777777
ATS3pe,262.22450000000003
ATS3se,315.43393399999997
ATS4dv,242.66666666666663
ATS4pe,267.8593
ATS4se,323.71946999999994
ATS5dv,209.88888888888889
ATS5pe,233.4536
ATS5se,285.18803
ATS6dv,150.66666666666669
ATS6pe,159.98200000000003
ATS6se,193.825564
ATS7dv,117.77777777777779
ATS7pe,121.27919999999999
ATS7se,145.734604
ATS8dv,0.0
ATS8pe,23.056000000000008
ATS8se,29.994623999999995
ATSC0Z,275.1428571428571
ATSC0c,0.6999431484682223
ATSC0d,13.238095238095239
ATSC0i,35.34677573051091
ATSC0m,1280.5517669523813
ATSC0p,4.96131945773381
ATSC0s,49.44047437600249
ATSC0v,869.6076873416582
ATSC1Z,-5.244897959183676
ATSC1c,-0.44433964425262534
ATSC1d,2.750566893424037
ATSC1i,-3.967932598679372
ATSC1m,-21.725942092970627
ATSC1p,0.03510141101715297
ATSC1s,-6.01724441237146
ATSC1v,1.729522189634217
ATSC2Z,-10.653061224489802
ATSC2c,0.17264451359702432
ATSC2d,-4.278911564625851
ATSC2i,13.963734140025554
ATSC2m,-49.37472892517019
ATSC2p,1.0232581294691572
ATSC2s,17.01743761061809
ATSC2v,32.498994916196914
ATSC3Z,-68.9795918367347
ATSC3c,-0.13039316231116102
ATSC3d,-6.537414965986396
ATSC3i,-5.369425131406283
ATSC3m,-319.3240393401361
ATSC3p,-0.7364534367144546
ATSC3s,-4.775245809343399
ATSC3v,-228.15184901589413
ATSC4Z,-49.40816326530613
ATSC4c,-0.05796353228017157
ATSC4d,0.22448979591836782
ATSC4i,-23.360966757116895
ATSC4m,-246.6595609591837
ATSC4p,-3.9050427868788833
ATSC4s,-14.002962257910326
ATSC4v,-494.1455936184333
ATSC5Z,27.14285714285716
ATSC5c,0.3375367198434753
ATSC5d,-1.1111111111111112
ATSC5i,0.5928401227970703
ATSC5m,127.17691184127011
ATSC5p,0.18107407256898259
ATSC5s,-5.297082568230261
ATSC5v,124.43163496161495
ATSC6Z,25.224489795918373
ATSC6c,-0.35259449447207886
ATSC6d,-2.0226757369614514
ATSC6i,-14.094195865015564
ATSC6m,127.8906999092971
ATSC6p,0.3265506207270179
ATSC6s,-9.395068295061762
ATSC6v,87.91633421018702
ATSC7Z,-80.95918367346941
ATSC7c,0.144172201840024
ATSC7d,3.35374149659864
ATSC7i,9.66946685786926
ATSC7m,-379.3763795374151
ATSC7p,-0.2360690677480081
ATSC7s,-2.9061574942429313
ATSC7v,-131.64960038088205
ATSC8Z,25.3061224489796
ATSC8c,-0.01903417619859793
ATSC8d,1.002267573696145
ATSC8i,4.893091366270764
ATSC8m,121.11715562811803
ATSC8p,0.8309213286921309
ATSC8s,0.6560860385408034
ATSC8v,172.56671306674735
AXp-0d,0.7224332542835976
AXp-1d,0.4488462843970035
AXp-2d,0.2955829236955871
AXp-3d,0.1864791892291355
AXp-4d,0.12285194504152164
AXp-5d,0.07596984484783902
AXp-6d,0.051410155431823444
AXp-7d,0.03401732105192231
GATS1Z,0.5088265835929388
GATS1c,1.5195039658520524
GATS1d,0.7897318508829299
GATS1i,1.22110566687453
GATS1m,0.5080108476868429
GATS1p,0.7734242353187887
GATS1s,0.7344075868294603
GATS1v,0.7346726078595737
GATS2Z,0.6310771264042292
GATS2c,0.6622166222943325
GATS2d,1.2818835840418572
GATS2i,0.8709310276667064
GATS2m,0.6318005348097786
GATS2p,0.6793336541785384
GATS2s,0.41527373961014924
GATS2v,0.7502111116198232
GATS3Z,1.054929839976569
GATS3c,0.8237350438910537
GATS3d,1.2977310459324845
GATS3i,1.03991649517358
GATS3m,1.0547100838826813
GATS3p,1.0454950887933099
GATS3s,0.7610574725301507
GATS3v,1.096602674119685
GATS4Z,1.2124237825172406
GATS4c,0.8982889612826702
GATS4d,0.85224128389596
GATS4i,1.222411989893237
GATS4m,1.2173140394101158
GATS4p,1.4426851280054573
GATS4s,1.14661159096988
GATS4v,1.2969443621287597
GATS5Z,0.869158878504673
GATS5c,0.6513362063938419
GATS5d,0.9712230215827338
GATS5i,0.8990424666525367
GATS5m,0.873883194300447
GATS5p,0.9378441252125335
GATS5s,0.9958608083021064
GATS5v,1.0173013486418745
GATS6Z,0.9370626213373066
GATS6c,1.6796904681075833
GATS6d,1.0838285893024708
GATS6i,1.2411027075573875
GATS6m,0.9303184980619685
GATS6p,0.9171108870677405
GATS6s,1.4311910728546584
GATS6v,0.9189332833925824
GATS7Z,2.3309103496019388
GATS7c,1.311928240620187
GATS7d,0.40287769784172656
GATS7i,0.37712935555763955
GATS7m,2.3162056330287313
GATS7p,1.2568671473353652
GATS7s,2.423285052550236
GATS7v,1.1120195732908573
GATS8Z,0.6542056074766356
GATS8c,1.6125641035512364
GATS8d,0.37769784172661863
GATS8i,0.12383788953249845
GATS8m,0.6597702855939421
GATS8p,0.18913144622894498
GATS8s,0.40452686290784534
GATS8v,0.5776488025219945
MATS1Z,-0.01819597847635232
MATS1c,-0.6059669112039949
MATS1d,0.19833224329627214
MATS1i,-0.10715466821893858
MATS1m,-0.016194893330957427
MATS1p,0.006753423684968606
MATS1s,-0.1161747207163958
MATS1v,0.0018984509551629829
MATS2Z,-0.024638912489379796
MATS2c,0.1569623057404948
MATS2d,-0.20568999345977762
MATS2i,0.25139528149073626
MATS2m,-0.024536518440069058
MATS2p,0.13124820317558808
MATS2s,0.21903670254306004
MATS2v,0.023782193837609236
MATS3Z,-0.1349948078920042
MATS3c,-0.10031057941860903
MATS3d,-0.26591034864416163
MATS3i,-0.08179611455806424
MATS3m,-0.13427314531770618
MATS3p,-0.07992870725556668
MATS3s,-0.052007717107971696
MATS3v,-0.14127174519292898
MATS4Z,-0.09669302659956869
MATS4c,-0.04459095404326718
MATS4d,0.00913115661317102
MATS4i,-0.3558735369780275
MATS4m,-0.10371832681659063
MATS4p,-0.4238218007718048
MATS4s,-0.1525077721356383
MATS4v,-0.30597521208346085
MATS5Z,0.059190031152648016
MATS5c,0.2893406876676924
MATS5d,-0.05035971223021582
MATS5i,0.010063267902854367
MATS5m,0.05958849073814881
MATS5p,0.021898296303422327
MATS5s,-0.06428436581670059
MATS5v,0.08585363499395603
MATS6Z,0.08370581064607886
MATS6c,-0.4599432173212219
MATS6d,-0.13950578667500782
MATS6i,-0.36406753798411506
MATS6m,0.09118707458450129
MATS6p,0.06009589124765433
MATS6s,-0.17350371214854818
MATS6v,0.09230764257454933
MATS7Z,-0.4119418483904467
MATS7c,0.2883678238979109
MATS7d,0.35467625899280575
MATS7i,0.38298411442749414
MATS7m,-0.41476412360620457
MATS7p,-0.06661467733790576
MATS7s,-0.08229331419835523
MATS7v,-0.21194550510087884
MATS8Z,0.48286604361370733
MATS8c,-0.1427679165962662
MATS8d,0.3974820143884892
MATS8i,0.7267630255380636
MATS8m,0.49655553446381284
MATS8p,0.8792695194891318
MATS8s,0.06966866207924356
MATS8v,1.0418206471586502
MAXaaN,3.6280560279667426
MAXsCl,5.731260393046107
MAXsOH,8.862663454270598
MINaaN,3.6280560279667426
MINsCl,5.731260393046107
MINsOH,8.862663454270598
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,18.91750581692802
SpAD_D,98.72338724535393
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,285
TMWC10,100.84562128790091
TSRW10,60.075480575275904
VE1_Dt,3.837513978003534
VE2_Dt,0.2558342652002356
VE3_Dt,1.750289863491337
VR1_Dt,65.77781909034834
VR2_Dt,4.385187939356556
VR3_Dt,4.591747793718482
Xc-3dv,0.4305469462844473
Xc-4dv,0.0
Xc-5dv,0.08526691579351932
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.15137471507731048
Xch-7d,0.2644599320735737
Xp-0dv,8.217747437439508
Xp-1dv,4.439113880946961
Xp-2dv,3.2456522170550257
Xp-3dv,2.2268324124091396
Xp-4dv,1.3701830682745544
Xp-5dv,0.7848821806936984
Xp-6dv,0.43293788197432176
Xp-7dv,0.1940727939029743
Xpc-4d,2.4017921586565607
Xpc-5d,3.5194567194243014
Xpc-6d,4.689655417280846
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,22
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,5.731873776697638
AATS0dv,11.695473251028806
AATS0pe,7.092385714285714
AATS0se,8.455209190476193
AATS1dv,10.959595959595958
AATS1pe,7.033595454545456
AATS1se,8.25037790909091
AATS2dv,9.801346801346801
AATS2pe,7.046493939393939
AATS2se,8.299237696969698
AATS3dv,6.686609686609686
AATS3pe,6.723705128205129
AATS3se,8.088049589743589
AATS4dv,6.222222222222221
AATS4pe,6.86818717948718
AATS4se,8.30049923076923
AATS5dv,5.996825396825397
AATS5pe,6.670102857142857
AATS5se,8.14822942857143
AATS6dv,6.55072463768116
AATS6pe,6.955739130434784
AATS6se,8.427198434782609
AATS7dv,7.851851851851852
AATS7pe,8.08528
AATS7se,9.715640266666666
AATS8dv,0.0
AATS8pe,5.764000000000002
AATS8se,7.498655999999999
AATSC0Z,13.102040816326529
AATSC0c,0.033330626117534394
AATSC0d,0.6303854875283447
AATSC0i,1.6831797966909958
AATSC0m,60.97865556916101
AATSC0p,0.2362533075111338
AATSC0s,2.3543083036191663
AATSC0v,41.4098898734123
AATSC1Z,-0.2384044526901671
AATSC1c,-0.020197256556937517
AATSC1d,0.12502576788291078
AATSC1i,-0.18036057266724417
AATSC1m,-0.9875428224077557
AATSC1p,0.0015955186825978623
AATSC1s,-0.2735111096532482
AATSC1v,0.0786146449833735
AATSC2Z,-0.3228200371057516
AATSC2c,0.005231651927182555
AATSC2d,-0.12966398680684396
AATSC2i,0.42314345878865317
AATSC2m,-1.496203906823339
AATSC2p,0.031007822105125975
AATSC2s,0.5156799275944876
AATSC2v,0.9848180277635429
AATSC3Z,-1.7687074829931975
AATSC3c,-0.003343414418234898
AATSC3d,-0.16762602476888194
AATSC3i,-0.13767756747195597
AATSC3m,-8.18779588051631
AATSC3p,-0.018883421454216787
AATSC3s,-0.12244220023957435
AATSC3v,-5.850047410663952
AATSC4Z,-1.2668759811616956
AATSC4c,-0.0014862444174402968
AATSC4d,0.005756148613291483
AATSC4i,-0.5989991476183819
AATSC4m,-6.3246041271585565
AATSC4p,-0.10012930222766367
AATSC4s,-0.35905031430539297
AATSC4v,-12.670399836370084
AATSC5Z,0.7755102040816332
AATSC5c,0.00964390628124215
AATSC5d,-0.031746031746031744
