DLiP-ID,C001YS
Sse,34.94428259286236
StN,0
fMF,0.45714285714285713
nBr,0
nCl,0
AMID,2.0560454308608307
BIC0,0.2804708634217911
BIC1,0.6116172034257168
BIC2,0.7345939435383787
BIC3,0.8483921472286896
BIC4,0.872987495251222
BIC5,0.8936780777403694
CIC0,3.5800848259658986
CIC1,1.7509775004326942
CIC2,1.0717078572664844
CIC3,0.4431364286950563
CIC4,0.307282500061814
CIC5,0.19299678577610013
GGI1,4.0
GGI2,2.000000000000001
GGI3,0.9375
GGI4,0.9777777777777779
GGI5,0.5069444444444444
GGI6,0.34448979591836737
GGI7,0.2170138888888889
GGI8,0.12295288485764674
GGI9,0.10687500000000001
JGI1,0.17391304347826084
JGI2,0.06451612903225809
JGI3,0.03024193548387097
JGI4,0.037606837606837605
JGI5,0.02112268518518519
JGI6,0.01640427599611273
JGI7,0.012056327160493827
JGI8,0.008782348918403338
JGI9,0.010687500000000003
MIC0,16.442409420492375
MIC1,32.46066389034413
MIC2,39.30953834247553
MIC3,41.43793911922709
MIC4,42.20362273643226
MIC5,42.94756559357512
MPC2,31
MPC3,40
MPC4,51
MPC5,66
MPC6,67
MPC7,77
MPC8,84
MPC9,90
Mare,0.9773714285714288
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,1
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,1
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2132312472725815
RPCG,0.10723770838598803
SIC0,0.3020301640329022
SIC1,0.6586311391576152
SIC2,0.7910608843914406
SIC3,0.9136065552961062
SIC4,0.9400925043428714
SIC5,0.9623735354164469
SaaN,9.088860509224265
SaaO,0
SaaS,0
Sare,34.208000000000006
SdNH,0
SdSe,0
SddC,0
SdsN,3.9688573353788
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,4.222272878380682
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,54.22193668426737
TIC1,118.24069307792952
TIC2,142.01513058874687
TIC3,164.01513058874684
TIC4,168.77001809091033
TIC5,172.77001809091033
Vabc,254.29078202175086
WPol,31
apol,43.355101999999995
bpol,20.494897999999996
nRot,2
ABCGG,12.580011422523956
ATS0Z,1042.0
ATS0d,122.0
ATS0i,5569.846884219586
ATS0m,4135.078628000001
ATS0p,64.09698066788602
ATS0s,105.47146014327085
ATS0v,8781.476779675677
ATS1Z,1031.0
ATS1d,149.0
ATS1i,5377.036124128529
ATS1m,3942.3955619999992
ATS1p,74.61330372
ATS1s,119.04732510288068
ATS1v,10600.06164173391
ATS2Z,1486.0
ATS2d,223.0
ATS2i,8802.173039227946
ATS2m,5651.152056999998
ATS2p,103.65071411454697
ATS2s,179.0246913580247
ATS2v,14677.190794128817
ATS3Z,1542.0
ATS3d,242.0
ATS3i,10874.960347734575
ATS3m,5722.476721
ATS3p,116.37745037424499
ATS3s,206.48559670781898
ATS3v,15835.453373944525
ATS4Z,1386.0
ATS4d,217.0
ATS4i,11198.351570525883
ATS4m,5009.062408
ATS4p,110.518388778792
ATS4s,192.783950617284
ATS4v,14425.422372608295
ATS5Z,1259.0
ATS5d,201.0
ATS5i,10625.893383187147
ATS5m,4583.75867
ATS5p,102.206463168188
ATS5s,173.9547325102881
ATS5v,13278.20605609102
ATS6Z,1132.0
ATS6d,174.0
ATS6i,9130.949774512825
ATS6m,4106.757759
ATS6p,93.557590689094
ATS6s,156.09670781893007
ATS6v,12100.245316254457
ATS7Z,1020.0
ATS7d,158.0
ATS7i,9308.720440460818
ATS7m,3679.734384
ATS7p,84.57697920818799
ATS7s,144.42592592592595
ATS7v,10708.353779556395
ATS8Z,861.0
ATS8d,128.0
ATS8i,7940.544964602272
ATS8m,3075.4155319999995
ATS8p,69.860451873641
ATS8s,123.67695473251028
ATS8v,8691.561706525248
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0625
GGI10,0.049586776859504134
JGI10,0.007083825265643448
JGT10,0.382414908127066
Kier1,15.879017013232515
Kier2,7.513007284079085
Kier3,4.05
MID_C,33.43268042037163
MID_N,8.008968698212794
MID_O,0.0
MID_X,0.0
MID_h,9.744273627705812
MPC10,83
MWC01,23.0
MWC02,4.6913478822291435
MWC03,5.5254529391317835
MWC04,6.385194398997726
MWC05,7.237778191923443
MWC06,8.104401307921613
MWC07,8.964311948124514
MWC08,9.834083882397248
MWC09,10.697994757448491
MWC10,11.569504266422921
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.6243000000000016
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.14166355650266
SRW05,0.0
SRW06,6.642486801367256
SRW07,0.0
SRW08,8.235095497258357
SRW09,0.0
SRW10,9.874419130038781
SaaCH,17.550305363944883
SaaNH,0
SaaSe,0
SaaaC,1.782090324426033
SaasC,2.750045928865374
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.5664311620985503
SdssS,0
SsCH3,1.688485011160877
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.1048737087427565
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.048018019449666
VE1_D,4.51236045096345
VE2_A,0.19276276283093646
VE2_D,0.2148743071887357
VE3_A,2.14016472814971
VE3_D,2.2487577429159398
VR1_A,173.91342736293353
VR1_D,113.03611180388687
VR2_A,8.28159177918731
VR2_D,5.382671990661279
VR3_A,5.900494976236687
VR3_D,5.469644685874712
WPath,982
Xc-3d,1.159465946493411
Xc-4d,0.0
Xc-5d,0.16666666666666666
Xc-6d,0.0
Xp-0d,14.656489770562878
Xp-1d,10.25835149307306
Xp-2d,8.919581791849469
Xp-3d,7.502906240135971
Xp-4d,6.048322926896988
Xp-5d,5.095888085794425
Xp-6d,3.341764104993841
Xp-7d,2.52572733200253
ZMIC0,69.32070990840991
ZMIC1,44.90758641262835
ZMIC2,30.73798500375366
ZMIC3,25.83694326401294
ZMIC4,24.47111852788068
ZMIC5,23.219405321102688
nAcid,0
nAtom,35
nBase,2
nRing,3
piPC1,3.5115454388310208
piPC2,4.143134726391533
piPC3,4.740574822994295
piPC4,5.352450375127964
piPC5,5.980624758304345
piPC6,6.2771720150608505
piPC7,6.765002932301651
piPC8,7.210939614891111
piPC9,7.63773714028172
AATS0Z,29.771428571428572
AATS0d,3.4857142857142858
AATS0i,159.13848240627388
AATS0m,118.14510365714288
AATS0p,1.8313423047967432
AATS0s,3.0134702898077386
AATS0v,250.8993365621622
AATS1Z,27.864864864864863
AATS1d,4.027027027027027
AATS1i,145.3253006521224
AATS1m,106.55123140540539
AATS1p,2.016575776216216
AATS1s,3.217495273050829
AATS1v,286.48815247929485
AATS2Z,25.620689655172413
AATS2d,3.8448275862068964
AATS2i,151.76160412461977
AATS2m,97.43365615517239
AATS2p,1.7870812778370166
AATS2s,3.0866326096211156
AATS2v,253.05501369187616
AATS3Z,22.02857142857143
AATS3d,3.4571428571428573
AATS3i,155.35657639620823
AATS3m,81.74966744285715
AATS3p,1.662535005346357
AATS3s,2.949794238683128
AATS3v,226.22076248492178
AATS4Z,19.52112676056338
AATS4d,3.056338028169014
AATS4i,157.72326155670257
AATS4m,70.55017476056338
AATS4p,1.5565970250534085
AATS4s,2.7152669101025917
AATS4v,203.17496299448302
AATS5Z,18.791044776119403
AATS5d,3.0
AATS5i,158.5954236296589
AATS5m,68.41430850746269
AATS5p,1.525469599525194
AATS5s,2.59633929119833
AATS5v,198.182179941657
AATS6Z,19.1864406779661
AATS6d,2.9491525423728815
AATS6i,154.76186058496313
AATS6m,69.60606371186441
AATS6p,1.585721876086339
AATS6s,2.6457069121852554
AATS6v,205.08890366532978
AATS7Z,17.28813559322034
AATS7d,2.6779661016949152
AATS7i,157.7749227196749
AATS7m,62.36837938983051
AATS7p,1.4335081221726778
AATS7s,2.4478970495919654
AATS7v,181.49752168739653
AATS8Z,17.22
AATS8d,2.56
AATS8i,158.81089929204543
AATS8m,61.50831063999999
AATS8p,1.3972090374728199
AATS8s,2.4735390946502056
AATS8v,173.83123413050495
AMID_C,1.5920324009700777
AMID_N,0.3813794618196568
AMID_O,0.0
AMID_X,0.0
AMID_h,0.464013029890753
ATS0dv,269.30864197530866
ATS0pe,215.4228
ATS0se,264.257145
ATS1dv,295.22222222222223
ATS1pe,239.31400000000002
ATS1se,285.20791399999996
ATS2dv,391.0
ATS2pe,371.7155
ATS2se,446.920696
ATS3dv,390.77777777777777
ATS3pe,441.84409999999997
ATS3se,536.5366640000001
ATS4dv,315.33333333333337
ATS4pe,438.98100000000005
ATS4se,539.8673
ATS5dv,278.8888888888889
ATS5pe,407.19509999999997
ATS5se,503.8252759999999
ATS6dv,237.8888888888889
ATS6pe,359.7081
ATS6se,442.74980800000003
ATS7dv,196.44444444444446
ATS7pe,350.26930000000004
ATS7se,436.85824399999996
ATS8dv,149.0
ATS8pe,298.5193
ATS8se,372.30552400000005
ATSC0Z,364.40000000000003
ATSC0c,0.47749632961602534
ATSC0d,19.142857142857146
ATSC0i,62.54387595370755
ATSC0m,1659.157788685714
ATSC0p,10.392270112731596
ATSC0s,13.465397260870512
ATSC0v,1804.7992203365707
ATSC1Z,-25.88000000000003
ATSC1c,-0.27797873297896225
ATSC1d,7.448979591836737
ATSC1i,-11.011632244817545
ATSC1m,-108.52531026775488
ATSC1p,-0.9887850488483197
ATSC1s,-0.93872642609856
ATSC1v,-35.57328520476466
ATSC2Z,43.67999999999999
ATSC2c,0.10781002837570858
ATSC2d,-0.8367346938775478
ATSC2i,-11.75746309863509
ATSC2m,189.27524169224515
ATSC2p,-1.0805860402422793
ATSC2s,-1.1431133880163866
ATSC2v,-23.663801916522473
ATSC3Z,-55.20000000000002
ATSC3c,-0.07871873600800146
ATSC3d,-3.142857142857141
ATSC3i,-4.315834298738604
ATSC3m,-255.1980316857141
ATSC3p,-0.8902817527885998
ATSC3s,-0.3654103250811076
ATSC3v,-253.9897422233231
ATSC4Z,-130.24
ATSC4c,-0.035153472711840786
ATSC4d,-1.2040816326530603
ATSC4i,-6.384826169831754
ATSC4m,-587.4901056195916
ATSC4p,-1.9213437161221605
ATSC4s,-2.510931353794376
ATSC4v,-318.27194591155927
ATSC5Z,-17.88
ATSC5c,0.056604009520518056
ATSC5d,-1.5306122448979589
ATSC5i,16.056533762702074
ATSC5m,-66.71960376979595
ATSC5p,1.3630377310912796
ATSC5s,0.1613404502175812
ATSC5v,258.33095498956
ATSC6Z,-57.760000000000005
ATSC6c,-0.04276771742983662
ATSC6d,-4.040816326530612
ATSC6i,-2.116328866634241
ATSC6m,-275.5014444416326
ATSC6p,-1.4329140632738402
ATSC6s,-2.656821975246431
ATSC6v,-422.61744513925834
ATSC7Z,37.04000000000001
ATSC7c,0.022187040345431657
ATSC7d,-2.89795918367347
ATSC7i,-6.1793171190986325
ATSC7m,163.94149895836728
ATSC7p,-0.6414552576362398
ATSC7s,1.6155766138188243
ATSC7v,-48.61315492887384
ATSC8Z,3.0000000000000027
ATSC8c,0.05734313967175299
ATSC8d,-2.775510204081633
ATSC8i,-13.399159099724983
ATSC8m,0.9958432489795754
ATSC8p,-1.8734444028489998
ATSC8s,0.7138706145466875
ATSC8v,-324.15670429247086
AXp-0d,0.697928084312518
AXp-1d,0.4460152823075244
AXp-2d,0.28772844489836996
AXp-3d,0.18757265600339929
AXp-4d,0.11859456719405859
AXp-5d,0.07721042554233978
AXp-6d,0.04987707619393793
AXp-7d,0.03280165366237052
GATS1Z,0.8435191503248582
GATS1c,1.5481755849258272
GATS1d,0.672045179507866
GATS1i,1.2012387181890483
GATS1m,0.8362605700783299
GATS1p,0.9445410320033246
GATS1s,0.8791381109408042
GATS1v,0.8581161021110083
GATS2Z,0.6555414663689011
GATS2c,0.9721771777611754
GATS2d,1.1330416881111682
GATS2i,1.1441574411262816
GATS2m,0.6686316843980269
GATS2p,0.8541086323907598
GATS2s,1.0267855392921568
GATS2v,0.8580780243652256
GATS3Z,0.8990512780304217
GATS3c,1.2475028771706909
GATS3d,1.12910447761194
GATS3i,1.062697703869621
GATS3m,0.9061146674418865
GATS3p,0.8938384464734068
GATS3s,1.0295121334783683
GATS3v,0.9540334096725281
GATS4Z,1.212295728266415
GATS4c,1.1805754058330449
GATS4d,1.0131385326886693
GATS4i,1.0727715108289253
GATS4m,1.2023755010336021
GATS4p,1.0890329008673436
GATS4s,1.118967109564462
GATS4v,1.0284111158680616
GATS5Z,1.0228631813490177
GATS5c,0.9481806963397512
GATS5d,1.0736244152372463
GATS5i,0.8467113262377756
GATS5m,1.0170402648787726
GATS5p,0.9176740584900228
GATS5s,1.0040027554239463
GATS5v,0.9026848963360512
GATS6Z,0.9962976055368471
GATS6c,0.946678623923213
GATS6d,1.0686820136605106
GATS6i,0.9776576746597144
GATS6m,1.0038908191664937
GATS6p,1.0187315441940445
GATS6s,1.0223327069849004
GATS6v,1.0959619297972734
GATS7Z,0.9037842564512828
GATS7c,0.7630678013523106
GATS7d,1.0385782949658484
GATS7i,0.9715623217523784
GATS7m,0.9102774312145273
GATS7p,1.0192982378722024
GATS7s,0.8412183111536315
GATS7v,1.0340641759793325
GATS8Z,1.019813391877058
GATS8c,0.8168122452581876
GATS8d,0.9946268656716417
GATS8i,1.087005256199464
GATS8m,1.0245088896978858
GATS8p,1.1369183096616242
GATS8s,0.9133290067531195
GATS8v,1.1353737488927211
MATS1Z,-0.06718189100186912
MATS1c,-0.5506908413978623
MATS1d,0.3680919725695846
MATS1i,-0.16654562451394309
MATS1m,-0.061874209903585525
MATS1p,-0.09000316564367859
MATS1s,-0.06594565610779857
MATS1v,-0.018644957590989365
MATS2Z,0.07233430485635337
MATS2c,0.13624769806351755
MATS2d,-0.02637673700463191
MATS2i,-0.11344069626632497
MATS2m,0.0688408414446454
MATS2p,-0.06274642362364712
MATS2s,-0.05122832915727449
MATS2v,-0.007912171229885618
MATS3Z,-0.07574094401756314
MATS3c,-0.08242862942140568
MATS3d,-0.08208955223880592
MATS3i,-0.034502453141319625
MATS3m,-0.07690589569780062
MATS3p,-0.04283384395955574
MATS3s,-0.013568494044470714
MATS3v,-0.07036509639447802
MATS4Z,-0.1761877521992548
MATS4c,-0.03629174846824626
MATS4d,-0.03100693714525959
MATS4i,-0.05032386420485376
MATS4m,-0.17455108882337175
MATS4p,-0.09113901565650985
MATS4s,-0.09192324873522531
MATS4v,-0.0869318977181015
MATS5Z,-0.025631993708734042
MATS5c,0.06192562512161321
MATS5d,-0.04176876809979949
MATS5i,0.13410971721736129
MATS5m,-0.0210067569191023
MATS5p,0.0685157937506246
MATS5s,0.006259178478561931
MATS5v,0.07477230974903883
MATS6Z,-0.09402965636569983
MATS6c,-0.05313272219633737
MATS6d,-0.12522135087275482
MATS6i,-0.020073097621797747
MATS6m,-0.09850362718753072
MATS6p,-0.08179481067447522
MATS6s,-0.11704673855804354
MATS6v,-0.1389103348675586
MATS7Z,0.06029879625667455
MATS7c,0.027564198462701372
MATS7d,-0.08980521123197573
MATS7i,-0.05861000042256192
MATS7m,0.0586161438343429
MATS7p,-0.03661609073375115
MATS7s,0.07117449919488926
MATS7v,-0.015978681684361628
MATS8Z,0.005762897914379807
MATS8c,0.08406388757481234
MATS8d,-0.10149253731343283
MATS8i,-0.14996530398515356
MATS8m,0.00042014706439578374
MATS8p,-0.12619101195105456
MATS8s,0.03711063405717716
MATS8v,-0.12572572641205707
MAXaaN,4.64626952632905
MAXdsN,3.9688573353788
MAXsSH,4.222272878380682
MINaaN,4.442590982895216
MINdsN,3.9688573353788
MINsSH,4.222272878380682
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.864278354685577
SpAD_D,193.82758441582243
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,633
TMWC10,117.0100695745969
TSRW10,54.74381258687711
VE1_Dt,4.543486251924633
VE2_Dt,0.21635648818688727
VE3_Dt,2.2556319590003557
VR1_Dt,110.24019457734609
VR2_Dt,5.249533075111718
VR3_Dt,5.444598917027149
Xc-3dv,0.5103158339770375
Xc-4dv,0.0
Xc-5dv,0.03818324081226343
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2347080484106438
Xch-7d,0.36039797265996265
Xp-0dv,12.379433995706384
Xp-1dv,6.958052678327329
Xp-2dv,4.920582020686676
Xp-3dv,3.3866394369955626
Xp-4dv,2.166657929822307
Xp-5dv,1.4683280326426413
Xp-6dv,0.7728420697596673
Xp-7dv,0.4748723896388144
Xpc-4d,2.656121456120067
Xpc-5d,4.01088754253323
Xpc-6d,5.963673810386222
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,37
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,7.811555832318947
AATS0dv,7.694532627865962
AATS0pe,6.154937142857142
AATS0se,7.550204142857142
AATS1dv,7.978978978978979
AATS1pe,6.467945945945947
AATS1se,7.708321999999999
AATS2dv,6.741379310344827
AATS2pe,6.408887931034483
AATS2se,7.705529241379311
AATS3dv,5.582539682539682
AATS3pe,6.312058571428571
AATS3se,7.6648094857142866
AATS4dv,4.441314553990611
AATS4pe,6.182830985915493
AATS4se,7.603764788732394
AATS5dv,4.16252072968491
AATS5pe,6.077538805970149
AATS5se,7.519780238805969
AATS6dv,4.032015065913371
AATS6pe,6.096747457627119
AATS6se,7.504234033898306
AATS7dv,3.329566854990584
AATS7pe,5.93676779661017
AATS7se,7.404377016949152
AATS8dv,2.98
AATS8pe,5.9703859999999995
AATS8se,7.446110480000001
AATSC0Z,10.411428571428573
AATSC0c,0.013642752274743581
AATSC0d,0.5469387755102042
AATSC0i,1.7869678843916443
AATSC0m,47.40450824816325
AATSC0p,0.29692200322090273
AATSC0s,0.38472563602487175
AATSC0v,51.565692009616306
AATSC1Z,-0.6994594594594603
AATSC1c,-0.007512938729161142
AATSC1d,0.20132377275234425
AATSC1i,-0.29761168229236606
AATSC1m,-2.9331164937231047
AATSC1p,-0.026723920239143776
AATSC1s,-0.02537098448915027
AATSC1v,-0.9614401406693152
AATSC2Z,0.753103448275862
AATSC2c,0.0018587935926846306
AATSC2d,-0.014426460239268066
AATSC2i,-0.20271488101094984
AATSC2m,3.263366236073192
AATSC2p,-0.01863079379728068
AATSC2s,-0.01970885151752391
AATSC2v,-0.40799658476762884
AATSC3Z,-0.7885714285714288
AATSC3c,-0.001124553371542878
AATSC3d,-0.044897959183673446
AATSC3i,-0.061654775696265776
AATSC3m,-3.645686166938773
AATSC3p,-0.012718310754122854
AATSC3s,-0.00522014750115868
AATSC3v,-3.628424888904616
AATSC4Z,-1.8343661971830987
AATSC4c,-0.0004951193339695886
AATSC4d,-0.016958896234550144
AATSC4i,-0.08992712915255992
AATSC4m,-8.274508529853403
AATSC4p,-0.02706117910031212
AATSC4s,-0.03536523033513205
AATSC4v,-4.482703463543088
AATSC5Z,-0.26686567164179104
AATSC5c,0.0008448359629928069
AATSC5d,-0.022844958879074014
