DLiP-ID,P000ER
BIC2,0.6053271775651867
BIC3,0.7642916970765682
BIC4,0.869646995125934
BIC5,0.9089223387851131
CIC0,3.1931267228672917
CIC1,2.1981203125901447
CIC2,1.5314536459234778
CIC3,0.7295739585136229
CIC4,0.19812031259014518
CIC5,0.0
GGI1,2.0
GGI2,1.7777777777777786
GGI3,1.1875
GGI4,0.9600000000000002
GGI5,0.27083333333333337
GGI6,0.11836734693877551
GGI7,0.0
GGI8,0.0
GGI9,0.0
JGI1,0.11764705882352941
JGI2,0.07407407407407411
JGI3,0.0475
JGI4,0.048
JGI5,0.020833333333333336
JGI6,0.0236734693877551
JGI7,0.0
JGI8,0.0
JGI9,0.0
MIC0,12.021901909603983
MIC1,21.896417106866643
MIC2,29.903750440199968
MIC3,34.37971183177577
MIC4,37.095334906295996
MIC5,37.29504018138687
MPC2,24
MPC3,34
MPC4,47
MPC5,62
MPC6,61
MPC7,64
MPC8,65
MPC9,65
Mare,0.9811666666666667
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.31173849340990045
RPCG,0.24812364955306535
SIC0,0.3035653568889487
SIC1,0.5205805255235112
SIC2,0.6659833868471989
SIC3,0.8408767883273047
SIC4,0.9567891094945742
SIC5,1.0
SaaN,0
SaaO,0
SaaS,0
Sare,23.548000000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,33.404058668492745
TIC1,57.284212515144276
TIC2,73.28421251514428
TIC3,92.52932501298079
TIC4,105.28421251514426
TIC5,110.03910001730775
Vabc,164.96666492967933
WPol,25
apol,29.613136999999995
bpol,10.466862999999998
nRot,0
ABCGG,9.678570212713467
ATS0Z,590.0
ATS0d,91.0
ATS0i,3709.276846000741
ATS0m,2336.7421990000003
ATS0p,42.110420143641
ATS0s,110.13888888888889
ATS0v,6245.178372805698
ATS1Z,691.0
ATS1d,117.0
ATS1i,3678.4024782445013
ATS1m,2659.3135969999985
ATS1p,53.699766779999976
ATS1s,86.94444444444446
ATS1v,7878.845994695322
ATS2Z,1022.0
ATS2d,181.0
ATS2i,6007.543032152201
ATS2m,3879.922096000001
ATS2p,80.76543757999997
ATS2s,140.2777777777778
ATS2v,11607.298806320296
ATS3Z,1113.0
ATS3d,200.0
ATS3i,8257.989068716744
ATS3m,4148.896821
ATS3p,90.00011253509402
ATS3s,172.5555555555556
ATS3v,12695.222094506698
ATS4Z,958.0
ATS4d,163.0
ATS4i,7977.189446952996
ATS4m,3490.8312639999995
ATS4p,77.693828540245
ATS4s,175.5
ATS4v,10816.941928444656
ATS5Z,681.0
ATS5d,116.0
ATS5i,7085.270603995844
ATS5m,2382.0834210000003
ATS5p,59.698404487093995
ATS5s,152.50000000000003
ATS5v,8029.0252136777135
ATS6Z,326.0
ATS6d,65.0
ATS6i,5158.099040845893
ATS6m,1032.546361
ATS6p,35.761715551943
ATS6s,91.49999999999999
ATS6v,4383.1762487949745
ATS7Z,99.0
ATS7d,28.0
ATS7i,2831.3825786590933
ATS7m,264.360265
ATS7p,15.344312799942998
ATS7s,34.0
ATS7v,1641.0096743554575
ATS8Z,16.0
ATS8d,8.0
ATS8i,1045.9157035227959
ATS8m,28.278432
ATS8p,4.005540239396
ATS8s,8.0
ATS8v,353.8082104647583
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,9
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.0
JGI10,0.0
JGT10,0.331727935618692
Kier1,10.173010380622838
Kier2,4.107638888888889
Kier3,1.7439446366782008
MAXdO,11.737133408919124
MID_C,27.507858588580113
MID_N,2.049101412293493
MID_O,1.7914058295620663
MID_X,0.0
MID_h,3.8405072418555593
MINdO,11.737133408919124
MPC10,44
MWC01,17.0
MWC02,4.418840607796598
MWC03,5.293304824724492
MWC04,6.18826412308259
MWC05,7.0825485693553
MWC06,7.984462732262196
MWC07,8.883640232503673
MWC08,9.787122261404862
MWC09,10.687685855980014
MWC10,11.591524053482377
NaaCH,8
NaaNH,1
NaaSe,0
NaaaC,4
NaasC,0
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.681300000000001
SRW02,3.5553480614894135
SRW03,0.0
SRW04,4.875197323201151
SRW05,0.0
SRW06,6.434546518787453
SRW07,0.0
SRW08,8.106212902619962
SRW09,0.0
SRW10,9.834941010001018
SaaCH,15.50494992441421
SaaNH,2.8771296296296294
SaaSe,0
SaaaC,3.737916666666668
SaasC,0
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.6045184001970485
VE1_D,3.8292292730248496
VE2_A,0.24030122667980322
VE2_D,0.25528195153498995
VE3_A,1.687653277742497
VE3_D,1.748128656853234
VR1_A,74.23558358419564
VR1_D,70.13086014390844
VR2_A,4.949038905613042
VR2_D,4.675390676260562
VR3_A,4.712708706457173
VR3_D,4.6558280355740465
WPath,322
Xc-3d,0.8106172175260455
Xc-4d,0.0
Xc-5d,0.27537753772002593
Xc-6d,0.0
Xp-0d,10.25071237662706
Xp-1d,7.360173345306136
Xp-2d,6.533543732289139
Xp-3d,5.798109096961044
Xp-4d,5.171305820415433
Xp-5d,4.450757578324322
Xp-6d,2.870357872144248
Xp-7d,2.013136173281308
ZMIC0,45.01244068702452
ZMIC1,41.685089597636264
ZMIC2,31.250502089703545
ZMIC3,24.308396356961147
ZMIC4,20.03797031547477
ZMIC5,19.486090628064915
nAcid,0
nAtom,24
nBase,0
nRing,3
piPC1,3.295836866004329
piPC2,4.034240638152395
piPC3,4.7801733619743665
piPC4,5.51090540392273
piPC5,6.1934483005865655
piPC6,6.593044534142437
piPC7,7.038838364447133
piPC8,7.453955587580151
piPC9,7.859227628314745
AATS0Z,24.583333333333332
AATS0d,3.7916666666666665
AATS0i,154.55320191669753
AATS0m,97.36425829166667
AATS0p,1.754600839318375
AATS0s,4.58912037037037
AATS0v,260.21576553357073
AATS1Z,26.576923076923077
AATS1d,4.5
AATS1i,141.47701839401927
AATS1m,102.28129219230763
AATS1p,2.0653756453846146
AATS1s,3.3440170940170946
AATS1v,303.0325382575124
AATS2Z,24.333333333333332
AATS2d,4.309523809523809
AATS2i,143.0367388607667
AATS2m,92.37909752380955
AATS2p,1.9229866090476182
AATS2s,3.3399470899470907
AATS2v,276.36425729334036
AATS3Z,20.236363636363638
AATS3d,3.6363636363636362
AATS3i,150.1452557948499
AATS3m,75.43448765454546
AATS3p,1.636365682456255
AATS3s,3.1373737373737383
AATS3v,230.82221990012178
AATS4Z,18.423076923076923
AATS4d,3.1346153846153846
AATS4i,153.40748936448068
AATS4m,67.13137046153845
AATS4p,1.4941120873124036
AATS4s,3.375
AATS4v,208.01811400855107
AATS5Z,15.133333333333333
AATS5d,2.577777777777778
AATS5i,157.4504578665743
AATS5m,52.935187133333336
AATS5p,1.326631210824311
AATS5s,3.3888888888888897
AATS5v,178.4227825261714
AATS6Z,10.1875
AATS6d,2.03125
AATS6i,161.19059502643415
AATS6m,32.26707378125
AATS6p,1.1175536109982187
AATS6s,2.8593749999999996
AATS6v,136.97425777484295
AATS7Z,5.823529411764706
AATS7d,1.6470588235294117
AATS7i,166.55191639171136
AATS7m,15.550603823529414
AATS7p,0.9026066352907646
AATS7s,2.0
AATS7v,96.52998084443868
AATS8Z,2.6666666666666665
AATS8d,1.3333333333333333
AATS8i,174.31928392046598
AATS8m,4.7130719999999995
AATS8p,0.6675900398993333
AATS8s,1.3333333333333333
AATS8v,58.96803507745972
AMID_C,1.8338572392386743
AMID_N,0.1366067608195662
AMID_O,0.11942705530413775
AMID_X,0.0
AMID_h,0.25603381612370396
ATS0dv,204.0
ATS0pe,149.1677
ATS0se,182.04623600000002
ATS1dv,222.0
ATS1pe,166.87900000000002
ATS1se,198.36246000000006
ATS2dv,324.0
ATS2pe,267.01310000000007
ATS2se,319.4041120000001
ATS3dv,333.0
ATS3pe,341.0849999999999
ATS3se,415.56254
ATS4dv,258.0
ATS4pe,323.73849999999993
ATS4se,396.0799839999999
ATS5dv,156.0
ATS5pe,276.5985
ATS5se,342.650492
ATS6dv,54.0
ATS6pe,187.81400000000002
ATS6se,237.79966000000002
ATS7dv,9.0
ATS7pe,92.8305
ATS7se,120.98198799999999
ATS8dv,0.0
ATS8pe,30.580000000000005
ATS8se,41.10912
ATSC0Z,156.5
ATSC0c,0.33057088798281953
ATSC0d,13.958333333333332
ATSC0i,35.83117699118392
ATSC0m,748.7739139583332
ATSC0p,5.5713416861089575
ATSC0s,33.69328703703704
ATSC0v,1198.5949476312283
ATSC1Z,4.625
ATSC1c,-0.22148274650871408
ATSC1d,5.170138888888889
ATSC1i,2.8479214981297867
ATSC1m,23.573191586805706
ATSC1p,0.45505207062766895
ATSC1s,-2.4651813271604937
ATSC1v,88.08114448690009
ATSC2Z,-12.875
ATSC2c,0.08356454231296682
ATSC2d,0.48958333333333126
ATSC2i,-6.970485341055867
ATSC2m,-66.7408814270831
ATSC2p,-1.1436162118830118
ATSC2s,1.589988425925926
ATSC2v,-253.0235700408953
ATSC3Z,11.1875
ATSC3c,-0.024388942615526037
ATSC3d,-5.071180555555557
ATSC3i,-8.318130423165922
ATSC3m,52.08211947048619
ATSC3p,-0.5656321202732383
ATSC3s,-1.1698013117283947
ATSC3v,-31.68132465283321
ATSC4Z,-36.5
ATSC4c,0.015894728635064102
ATSC4d,-10.493055555555555
ATSC4i,-11.03971916469461
ATSC4m,-177.45402378472215
ATSC4p,-2.063658002465451
ATSC4s,0.25019290123456717
ATSC4v,-375.3496141189126
ATSC5Z,-61.6875
ATSC5c,-0.0010749357562779014
ATSC5d,-4.713541666666666
ATSC5i,-1.1364822661931524
ATSC5m,-292.026384046875
ATSC5p,-0.9659601004650044
ATSC5s,-7.567274305555557
ATSC5v,-299.07445351162073
ATSC6Z,-43.75
ATSC6c,-0.022687399287333876
ATSC6d,1.0972222222222237
ATSC6i,-0.48602308369322467
ATSC6m,-205.93024019444454
ATSC6p,-0.32285348692236
ATSC6s,-9.138503086419755
ATSC6v,-176.76146500099028
ATSC7Z,19.3125
ATSC7c,-0.007134589297939847
ATSC7d,3.7378472222222237
ATSC7i,2.3902868403690816
ATSC7m,93.44868552951371
ATSC7p,0.7076904429555723
ATSC7s,-1.0871431327160472
ATSC7v,158.69521033541724
ATSC8Z,30.875
ATSC8c,0.008140092356491154
ATSC8d,2.177083333333334
ATSC8i,3.29227151076399
ATSC8m,147.87773067708324
ATSC8p,0.7917180964285941
ATSC8s,2.1252893518518525
ATSC8v,210.1510047258879
AXp-0d,0.6833808251084706
AXp-1d,0.43295137325330213
AXp-2d,0.27223098884538083
AXp-3d,0.17053262049885423
AXp-4d,0.11002778341309431
AXp-5d,0.0717864125536181
AXp-6d,0.04705504708433194
AXp-7d,0.031455252707520434
GATS1Z,0.6839518309166872
GATS1c,1.5643645357972287
GATS1d,0.6020665901262917
GATS1i,0.8839107706157568
GATS1m,0.6860345351311932
GATS1p,0.7654991863114866
GATS1s,0.5320272801980747
GATS1v,0.7327128209430629
GATS2Z,0.8013083827780314
GATS2c,0.7446817893271612
GATS2d,1.0592750533049042
GATS2i,1.0465695537157222
GATS2m,0.8085167578944424
GATS2p,0.979607152691993
GATS2s,0.5381569068148025
GATS2v,0.9507672909979055
GATS3Z,0.86976474005228
GATS3c,0.9764402564473083
GATS3d,1.273270013568521
GATS3i,1.0544414454942685
GATS3m,0.871467201974937
GATS3p,0.9722883645559968
GATS3s,0.8551818900072137
GATS3v,0.9314237155964892
GATS4Z,1.0612558368149423
GATS4c,1.1546523483013071
GATS4d,1.3308840413318028
GATS4i,1.1279832163234231
GATS4m,1.0608367367307803
GATS4p,1.100241000304345
GATS4s,1.0709829485550004
GATS4v,1.0655505333188275
GATS5Z,1.2541001064962727
GATS5c,1.1740125732591054
GATS5d,1.0252736318407962
GATS5i,0.9939485841798996
GATS5m,1.2471493959104873
GATS5p,1.0702082483803175
GATS5s,1.5574044175741126
GATS5v,1.1049622104647816
GATS6Z,1.3479432907348243
GATS6c,0.8818366254198727
GATS6d,0.6951492537313434
GATS6i,0.9418484628942415
GATS6m,1.3420035540172637
GATS6p,1.1029396798594617
GATS6s,1.5954664903301157
GATS6v,1.195511472259978
GATS7Z,1.0763014470964105
GATS7c,0.4823310722777464
GATS7d,0.3877085162423179
GATS7i,0.8257028565756015
GATS7m,1.0780344101589374
GATS7p,0.9798174739304261
GATS7s,0.8834016654306943
GATS7v,1.0635671458926073
GATS8Z,0.6123535676251332
GATS8c,0.1757974280079543
GATS8d,0.2746268656716418
GATS8i,0.5848677157384675
GATS8m,0.6197950531956675
GATS8p,0.6924651144995999
GATS8s,0.1137714266084985
GATS8v,0.7200000466289322
MATS1Z,0.027279429835340378
MATS1c,-0.6184622409112909
MATS1d,0.3419058553386912
MATS1i,0.07336768798594251
MATS1m,0.029060666713159947
MATS1p,0.07539441823180194
MATS1s,-0.06753725131657871
MATS1v,0.06783415197498141
MATS2Z,-0.04701049748973072
MATS2c,0.14445061187137195
MATS2d,0.020042643923240854
MATS2i,-0.11116393082994128
MATS2m,-0.0509334604462249
MATS2p,-0.1172957996541883
MATS2s,0.026965751777678543
MATS2v,-0.12062865562045597
MATS3Z,0.031193726401394135
MATS3c,-0.03219414677352988
MATS3d,-0.15853459972862965
MATS3i,-0.10130087661068883
MATS3m,0.030351942846838238
MATS3p,-0.044301947852508176
MATS3s,-0.015150161919424393
MATS3v,-0.011533986571233761
MATS4Z,-0.10764315556647826
MATS4c,0.022191998350381312
MATS4d,-0.3469575200918485
MATS4i,-0.14220172003681267
MATS4m,-0.10938129067349933
MATS4p,-0.17095658339789213
MATS4s,0.0034272003974178305
MATS4v,-0.14453446828043726
MATS5Z,-0.21022364217252396
MATS5c,-0.001734269685734324
MATS5d,-0.1800995024875622
MATS5i,-0.016916102852332995
MATS5m,-0.2080032462691627
MATS5p,-0.09246941747128863
MATS5s,-0.1197828999347326
MATS5v,-0.13307779706683118
MATS6Z,-0.20966453674121405
MATS6c,-0.051473224303964546
MATS6d,0.058955223880597096
MATS6i,-0.010173188362179845
MATS6m,-0.20626744237036537
MATS6p,-0.04346172409340799
MATS6s,-0.2034196695407235
MATS6v,-0.11060542096622526
MATS7Z,0.17421537305017853
MATS7c,-0.03046959586568589
MATS7d,0.37805092186128203
MATS7i,0.09417839104192416
MATS7m,0.1761914425467121
MATS7p,0.17932707170805293
MATS7s,-0.04555181283808214
MATS7v,0.18691910673150022
MATS8Z,0.7891373801916933
MATS8c,0.09849738924274798
MATS8d,0.6238805970149256
MATS8i,0.36753149488491954
MATS8m,0.7899726628847925
MATS8p,0.5684218567334236
MATS8s,0.25231012332108144
MATS8v,0.7013245138107993
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,20.26159518962703
SpAD_D,88.0563356842033
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,498
TMWC10,103.91739326059209
TSRW10,47.806245816099
VE1_Dt,3.8702639855918934
VE2_Dt,0.2580175990394596
VE3_Dt,1.7587878261546699
VR1_Dt,66.44922130709244
VR2_Dt,4.429948087139496
VR3_Dt,4.601903174720087
Xc-3dv,0.33970617090279576
Xc-4dv,0.0
Xc-5dv,0.07723139127471973
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21202758782931808
Xch-7d,0.37692411337885373
Xp-0dv,8.02705044398087
Xp-1dv,4.858824683611183
Xp-2dv,3.545291709197351
Xp-3dv,2.63712697525311
Xp-4dv,1.9326166298171155
Xp-5dv,1.371514659611709
Xp-6dv,0.7103046286340665
Xp-7dv,0.4153339478586353
Xpc-4d,2.279587436432651
Xpc-5d,4.094628599201562
Xpc-6d,6.916355381976765
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,26
nFRing,1
nHBAcc,1
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,7.898052750207575
AATS0dv,8.5
AATS0pe,6.215320833333333
AATS0se,7.5852598333333345
AATS1dv,8.538461538461538
AATS1pe,6.4184230769230775
AATS1se,7.629325384615386
AATS2dv,7.714285714285714
AATS2pe,6.357454761904764
AATS2se,7.604859809523812
AATS3dv,6.054545454545455
AATS3pe,6.201545454545453
AATS3se,7.5556825454545455
AATS4dv,4.961538461538462
AATS4pe,6.225740384615383
AATS4se,7.616922769230768
AATS5dv,3.466666666666667
AATS5pe,6.146633333333333
AATS5se,7.6144553777777775
AATS6dv,1.6875
AATS6pe,5.869187500000001
AATS6se,7.4312393750000005
AATS7dv,0.5294117647058824
AATS7pe,5.4606176470588235
AATS7se,7.116587529411764
AATS8dv,0.0
AATS8pe,5.096666666666668
AATS8se,6.85152
AATSC0Z,6.520833333333333
AATSC0c,0.013773786999284146
AATSC0d,0.5815972222222222
AATSC0i,1.4929657079659968
AATSC0m,31.198913081597215
AATSC0p,0.23213923692120655
AATSC0s,1.4038869598765433
AATSC0v,49.941456151301175
AATSC1Z,0.1778846153846154
AATSC1c,-0.00851856717341208
AATSC1d,0.19885149572649574
AATSC1i,0.10953544223576103
AATSC1m,0.9066612148771426
AATSC1p,0.017502002716448806
AATSC1s,-0.09481466642924975
AATSC1v,3.387736326419234
AATSC2Z,-0.30654761904761907
AATSC2c,0.0019896319598325433
AATSC2d,0.011656746031745982
AATSC2i,-0.16596393669180637
AATSC2m,-1.5890686054067404
AATSC2p,-0.027228957425785995
AATSC2s,0.03785686728395062
AATSC2v,-6.024370715259412
AATSC3Z,0.2034090909090909
AATSC3c,-0.00044343532028229157
AATSC3d,-0.09220328282828286
AATSC3i,-0.15123873496665313
AATSC3m,0.9469476267361125
AATSC3p,-0.010284220368604333
AATSC3s,-0.021269114758698086
AATSC3v,-0.5760240845969675
AATSC4Z,-0.7019230769230769
AATSC4c,0.00030566785836661734
AATSC4d,-0.20178952991452992
AATSC4i,-0.2123022916287425
AATSC4m,-3.412577380475426
AATSC4p,-0.03968573081664329
AATSC4s,0.004811401946818599
AATSC4v,-7.218261809979088
AATSC5Z,-1.3708333333333333
AATSC5c,-2.3887461250620032e-05
AATSC5d,-0.10474537037037036
AATSC5i,-0.025255161470958944
AATSC5m,-6.489475201041667
AATSC5p,-0.02146578001033343
AATSC5s,-0.16816165123456794
AATSC5v,-6.646098966924905
AATSC6Z,-1.3671875
AATSC6c,-0.0007089812277291836
AATSC6d,0.03428819444444449
AATSC6i,-0.01518822136541327
AATSC6m,-6.435320006076392
AATSC6p,-0.01008917146632375
AATSC6s,-0.28557822145061734
AATSC6v,-5.523795781280946
AATSC7Z,1.1360294117647058
AATSC7c,-0.00041968172340822626
AATSC7d,0.21987336601307197
AATSC7i,0.14060510825700478
AATSC7m,5.496981501736101
AATSC7p,0.0416288495856219
