DLiP-ID,P000GF
JGI3,0.04604468599033816
JGI4,0.05100529100529101
JGI5,0.029960317460317465
JGI6,0.01646884040972711
JGI7,0.01785098097209898
JGI8,0.014280675233056183
JGI9,0.008920805274971941
MIC0,11.837779761248989
MIC1,28.51668390532085
MIC2,34.46346758266181
MIC3,37.02736751341726
MIC4,37.33166940020971
MIC5,37.33166940020971
MPC2,43
MPC3,57
MPC4,75
MPC5,99
MPC6,109
MPC7,114
MPC8,124
MPC9,131
Mare,0.9593207547169813
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.20053753919604536
RPCG,0.13178478041162
SIC0,0.2382748859171942
SIC1,0.5626570472616573
SIC2,0.7869718675223427
SIC3,0.8714685494444903
SIC4,0.9241729811571078
SIC5,0.9241729811571078
SaaN,0
SaaO,0
SaaS,0
Sare,50.84400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,72.3354384212519
TIC1,170.8113049254515
TIC2,238.90874962879244
TIC3,264.56023408319567
TIC4,280.56023408319567
TIC5,280.56023408319567
Vabc,341.167594192093
WPol,46
apol,58.84541099999998
bpol,31.944588999999993
nRot,4
ABCGG,16.280876146095363
ATS0Z,1030.0
ATS0d,171.0
ATS0i,8601.423912867223
ATS0m,4045.8005379999995
ATS0p,77.63355243092299
ATS0s,160.75
ATS0v,11102.966234749782
ATS1Z,1267.0
ATS1d,220.0
ATS1i,8177.3244309966985
ATS1m,4752.254369000001
ATS1p,101.49896436000002
ATS1s,149.80555555555557
ATS1v,14411.268786652965
ATS2Z,1840.0
ATS2d,359.0
ATS2i,15395.159843740385
ATS2m,6781.075672
ATS2p,149.87868255788598
ATS2s,242.00000000000006
ATS2v,20724.942443354477
ATS3Z,2192.0
ATS3d,415.0
ATS3i,20074.619191243433
ATS3m,7942.615693999997
ATS3p,183.76448734328198
ATS3s,333.7777777777778
ATS3v,25161.229521863843
ATS4Z,2175.0
ATS4d,425.0
ATS4i,23112.047819455434
ATS4m,7559.573361999999
ATS4p,204.31347693843296
ATS4s,374.22222222222223
ATS4v,26821.309926205366
ATS5Z,1964.0
ATS5d,406.0
ATS5i,26352.250061720617
ATS5m,6624.308475
ATS5p,200.335129581413
ATS5s,369.9444444444444
ATS5v,25077.694473454598
ATS6Z,1607.0
ATS6d,354.0
ATS6i,24886.381206494298
ATS6m,5398.9626610000005
ATS6p,166.085110133299
ATS6s,320.77777777777777
ATS6v,20551.713347556382
ATS7Z,1333.0
ATS7d,288.0
ATS7i,19048.27570931778
ATS7m,4399.889631
ATS7p,140.58798724637597
ATS7s,246.33333333333337
ATS7v,17442.279196248284
ATS8Z,1256.0
ATS8d,283.0
ATS8i,19396.875446141057
ATS8m,4346.9774689999995
ATS8p,132.76818560360098
ATS8s,214.88888888888889
ATS8v,16457.04846591451
C1SP1,0
C1SP2,1
C1SP3,3
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.4090909090909091
GGI10,0.1306029996939088
JGI10,0.007682529393759341
JGT10,0.4665915203755756
Kier1,19.322235434007133
Kier2,7.787993510005409
Kier3,4.077562326869806
MAXdO,12.574290865699698
MID_C,44.65587668934053
MID_N,6.3933764906416215
MID_O,1.761890878311548
MID_X,0.0
MID_h,8.155267368953169
MINdO,12.574290865699698
MPC10,131
MWC01,29.0
MWC02,4.976733742420574
MWC03,5.860786223465865
MWC04,6.767343125265392
MWC05,7.669028288589683
MWC06,8.581669210600602
MWC07,9.49046898877305
MWC08,10.407318772389159
MWC09,11.320589935297996
MWC10,12.240691439925788
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,4.501820000000003
SRW02,4.07753744390572
SRW03,1.9459101490553132
SRW04,5.442417710521793
SRW05,3.713572066704308
SRW06,7.011213987350367
SRW07,5.476463551931511
SRW08,8.67368398817567
SRW09,7.264730177929867
SRW10,10.388656849488333
SaaCH,15.006545404918423
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,5.818241302291975
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.1788264980359695
SdssS,0
SsCH3,8.19135471624212
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.6184006519274377
SssPH,0
SssSe,0
SsssB,0
SsssN,4.116519465683426
SsssP,0
VE1_A,4.023969282644008
VE1_D,5.024173308519444
VE2_A,0.15476804933246185
VE2_D,0.19323743494305554
VE3_A,2.3477802442579674
VE3_D,2.569772369720857
VR1_A,591.9438205381308
VR1_D,158.64583719843043
VR2_A,22.76707002069734
VR2_D,6.101762969170401
VR3_A,7.338923177668723
VR3_D,6.022185723811862
WPath,1688
Xc-3d,2.022461780832239
Xc-4d,0.0
Xc-5d,0.6392628347355398
Xc-6d,0.0
Xp-0d,18.42192077295136
Xp-1d,12.452397498181154
Xp-2d,11.731855671241984
Xp-3d,9.947270194350084
Xp-4d,7.975306186274597
Xp-5d,6.53448066845655
Xp-6d,4.72438305659769
Xp-7d,3.021330084311906
ZMIC0,88.67664748220335
ZMIC1,47.602626926142456
ZMIC2,29.56060586903966
ZMIC3,23.678043352693038
ZMIC4,22.11645600301301
ZMIC5,22.11645600301301
nAcid,0
nAtom,53
nBase,0
nRing,4
piPC1,3.6109179126442243
piPC2,4.189654742026425
piPC3,4.705015520957808
piPC4,5.2108513407667605
piPC5,5.7549507612306
piPC6,5.927259303760531
piPC7,6.16876047572811
piPC8,6.443733721413949
piPC9,6.720107060682458
AATS0Z,19.433962264150942
AATS0d,3.2264150943396226
AATS0i,162.29101722390988
AATS0m,76.33585920754716
AATS0p,1.4647840081306225
AATS0s,3.0330188679245285
AATS0v,209.48992895754304
AATS1Z,22.625
AATS1d,3.9285714285714284
AATS1i,146.02365055351248
AATS1m,84.8616851607143
AATS1p,1.8124815064285718
AATS1s,2.6750992063492065
AATS1v,257.3440854759458
AATS2Z,18.585858585858585
AATS2d,3.6262626262626263
AATS2i,155.50666508828672
AATS2m,68.49571385858586
AATS2p,1.5139260864432926
AATS2s,2.444444444444445
AATS2v,209.34285296317654
AATS3Z,17.25984251968504
AATS3d,3.267716535433071
AATS3i,158.0678676475861
AATS3m,62.540281055118086
AATS3p,1.4469644672699369
AATS3s,2.62817147856518
AATS3v,198.1199174949909
AATS4Z,14.695945945945946
AATS4d,2.8716216216216215
AATS4i,156.16248526659078
AATS4m,51.07819839189189
AATS4p,1.3804964658002228
AATS4s,2.5285285285285286
AATS4v,181.22506706895518
AATS5Z,11.903030303030302
AATS5d,2.4606060606060605
AATS5i,159.7106064346704
AATS5m,40.14732409090909
AATS5p,1.2141523004934123
AATS5s,2.2420875420875417
AATS5v,151.98602711184606
AATS6Z,10.642384105960264
AATS6d,2.3443708609271523
AATS6i,164.8104715661874
AATS6m,35.754719609271525
AATS6p,1.0999013916112517
AATS6s,2.124356144223694
AATS6v,136.1040619043469
AATS7Z,11.393162393162394
AATS7d,2.4615384615384617
AATS7i,162.80577529331435
AATS7m,37.60589428205128
AATS7p,1.201606728601504
AATS7s,2.105413105413106
AATS7v,149.07930936964345
AATS8Z,10.64406779661017
AATS8d,2.3983050847457625
AATS8i,164.3803003910259
AATS8m,36.838792110169486
AATS8p,1.1251541152847542
AATS8s,1.8210922787193973
AATS8v,139.46651242300433
AMID_C,1.7175337188207895
AMID_N,0.2458990957939085
AMID_O,0.06776503378121337
AMID_X,0.0
AMID_h,0.31366412957512185
ATS0dv,300.0
ATS0pe,313.29339999999985
ATS0se,391.2465039999999
ATS1dv,336.0
ATS1pe,353.386
ATS1se,424.3472759999999
ATS2dv,462.0
ATS2pe,609.2461
ATS2se,745.556304
ATS3dv,479.0
ATS3pe,782.5412000000001
ATS3se,961.3221359999998
ATS4dv,400.0
ATS4pe,894.4190999999998
ATS4se,1107.7096479999998
ATS5dv,345.0
ATS5pe,960.2516000000002
ATS5se,1208.4536439999997
ATS6dv,260.0
ATS6pe,867.6095000000001
ATS6se,1103.644684
ATS7dv,233.0
ATS7pe,685.6966000000001
ATS7se,861.7011080000001
ATS8dv,222.0
ATS8pe,661.1779999999999
ATS8se,846.4672599999999
ATSC0Z,363.1320754716983
ATSC0c,0.6330843826712008
ATSC0d,34.67924528301887
ATSC0i,78.31049040839426
ATSC0m,1741.3689816981134
ATSC0p,12.298035529811285
ATSC0s,41.5
ATSC0v,2764.4186666921696
ATSC1Z,27.766108935564247
ATSC1c,-0.31746583623438723
ATSC1d,17.62192951228195
ATSC1i,-14.199246533092715
ATSC1m,130.9470278472767
ATSC1p,-0.4025543099370676
ATSC1s,-2.4444444444444438
ATSC1v,28.310855884171158
ATSC2Z,81.20612317550729
ATSC2c,-0.056783632130786306
ATSC2d,-0.6084015663937404
ATSC2i,-12.199641697459063
ATSC2m,384.5965094318264
ATSC2p,0.6876873099743246
ATSC2s,6.0
ATSC2v,325.9368823566765
ATSC3Z,8.683517265930938
ATSC3c,0.11372818108118726
ATSC3d,-8.910644357422575
ATSC3i,22.32902854335968
ATSC3m,43.74964472338928
ATSC3p,1.537371542636928
ATSC3s,4.277777777777779
ATSC3v,263.4976651979412
ATSC4Z,-208.76504093983624
ATSC4c,-0.018446185487583977
ATSC4d,-17.06657173371307
ATSC4i,-18.091144893781724
ATSC4m,-998.0625741003914
ATSC4p,-5.010202757698976
ATSC4s,-17.52777777777778
ATSC4v,-1365.0325924521035
ATSC5Z,-120.73193307226772
ATSC5c,0.04114842289911991
ATSC5d,-8.378782484870062
ATSC5i,-30.963176723503107
ATSC5m,-589.4149752677106
ATSC5p,-6.221648714524881
ATSC5s,-4.805555555555557
ATSC5v,-1275.5023379110028
ATSC6Z,37.812388750444995
ATSC6c,-0.15285546066282527
ATSC6d,-3.369170523317905
ATSC6i,0.7045215944302118
ATSC6m,189.97067653933772
ATSC6p,2.4667969724723977
ATSC6s,-7.972222222222222
ATSC6v,488.89246983116993
ATSC7Z,-167.38590245639017
ATSC7c,0.010130503054398844
ATSC7d,0.34959060163759414
ATSC7i,7.554614549638155
ATSC7m,-800.2825439562122
ATSC7p,-2.738952960394626
ATSC7s,-2.916666666666666
ATSC7v,-897.1646414813497
ATSC8Z,190.30971876112497
ATSC8c,0.07986508531819776
ATSC8d,-2.0783196867212514
ATSC8i,29.57277644855135
ATSC8m,917.9593003891061
ATSC8p,6.434533000471122
ATSC8s,7.888888888888889
ATSC8v,1536.9025129842535
AXp-0d,0.708535414344283
AXp-1d,0.4293930171786605
AXp-2d,0.272833852819581
AXp-3d,0.17451351218158043
AXp-4d,0.10633741581699463
AXp-5d,0.06600485523693485
AXp-6d,0.043342963821997156
AXp-7d,0.026502895476420228
GATS1Z,0.8924340493757511
GATS1c,1.6474220467975362
GATS1d,0.749727965179543
GATS1i,1.3892099306345562
GATS1m,0.8970377627087313
GATS1p,1.1215357099276873
GATS1s,0.6317890610059285
GATS1v,1.0390614384396135
GATS2Z,0.8743792492103826
GATS2c,1.4227333547575562
GATS2d,1.355568745122608
GATS2i,1.221371872387993
GATS2m,0.875800856374009
GATS2p,0.9704305988416787
GATS2s,0.5479290900977648
GATS2v,0.9253736290147787
GATS3Z,1.0069002987429228
GATS3c,1.5336938007973047
GATS3d,1.3341615758313126
GATS3i,1.0040167290395434
GATS3m,1.0036517447892261
GATS3p,0.9223795644322398
GATS3s,0.9714132119027287
GATS3v,0.9256264721048894
GATS4Z,1.2031583958477852
GATS4c,1.1516802099410606
GATS4d,1.241103726141811
GATS4i,1.130935649770407
GATS4m,1.200881929532842
GATS4p,1.154340265672621
GATS4s,1.556975650349144
GATS4v,1.1655701456137073
GATS5Z,1.0774608812850521
GATS5c,0.8981010260957951
GATS5d,0.9950934810564843
GATS5i,1.1012741828459673
GATS5m,1.0801969498014108
GATS5p,1.1536159886262616
GATS5s,0.9920733438805728
GATS5v,1.1367705930399767
GATS6Z,0.9578183615000756
GATS6c,1.0084102010411773
GATS6d,0.9582615713884225
GATS6i,0.9248809479532424
GATS6m,0.9544522223443666
GATS6p,0.8772322537379649
GATS6s,1.2248907329095629
GATS6v,0.8965747785123842
GATS7Z,1.1884258778158805
GATS7c,1.32402556712179
GATS7d,0.852254866400677
GATS7i,0.9884848615689725
GATS7m,1.1879492156698044
GATS7p,1.0465854420231904
GATS7s,0.5095939312806782
GATS7v,1.1044876222925804
GATS8Z,0.7202403493043675
GATS8c,0.6923146405059832
GATS8d,1.0864701868279816
GATS8i,0.7330998327509589
GATS8m,0.7214792367779822
GATS8p,0.7391272816242835
GATS8s,0.4869874980146575
GATS8v,0.7392119504976296
MATS1Z,0.07236661421297183
MATS1c,-0.47459508730407973
MATS1d,0.4809187004508006
MATS1i,-0.17160628852653087
MATS1m,0.071169298293956
MATS1p,-0.03097965521018458
MATS1s,-0.055746796710652115
MATS1v,0.009692527117260973
MATS2Z,0.11971948519802612
MATS2c,-0.048017798327556066
MATS2d,-0.009392070871940385
MATS2i,-0.08340033728202818
MATS2m,0.11823749198069262
MATS2p,0.02993614969806211
MATS2s,0.0774005111354509
MATS2v,0.06312049052994856
MATS3Z,0.009979371927984215
MATS3c,0.07496846898614243
MATS3d,-0.10722884340219174
MATS3i,0.11899316985505767
MATS3m,0.010484696777417936
MATS3p,0.052169328062322926
MATS3s,0.04301721320979457
MATS3v,0.03977819781346646
MATS4Z,-0.20587675641972628
MATS4c,-0.010434199243548065
MATS4d,-0.17623444990147927
MATS4i,-0.08272947388830784
MATS4m,-0.2052490333416089
MATS4p,-0.14589275063064797
MATS4s,-0.15124914070697204
MATS4v,-0.17682894601990554
MATS5Z,-0.10679464288525908
MATS5c,0.020877741681434452
MATS5d,-0.07760741253668349
MATS5i,-0.12700402746751419
MATS5m,-0.10872321516563761
MATS5p,-0.162503106791713
MATS5s,-0.03719524562898058
MATS5v,-0.14820722219390065
MATS6Z,0.03654840465688921
MATS6c,-0.08474581884086227
MATS6d,-0.0340998349775526
MATS6i,0.003157717601428458
MATS6m,0.03829082180867538
MATS6p,0.07040387863859966
MATS6s,-0.0674264386464179
MATS6v,0.06207381728383227
MATS7Z,-0.2088066251528788
MATS7c,0.007248688206118406
MATS7d,0.004566464849381071
MATS7i,0.04370009437795743
MATS7m,-0.20818169853749474
MATS7p,-0.10088784328170194
MATS7s,-0.03183674870421858
MATS7v,-0.14701388013831115
MATS8Z,0.23539119729039
MATS8c,0.056661650641484734
MATS8d,-0.026917614946238514
MATS8i,0.16961568823821221
MATS8m,0.23676989649978514
MATS8p,0.23500394425906798
MATS8s,0.08538107231184626
MATS8v,0.249710248090658
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,33.820401054691025
SpAD_D,268.64561680024633
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.3575390599095365
SssNH2,0
SsssAs,0
SsssCH,0.6382820352914143
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,938
TMWC10,132.31462972672813
TSRW10,79.99418592506288
VE1_Dt,5.055984126244948
VE2_Dt,0.194460927932498
VE3_Dt,2.5760839622794354
VR1_Dt,154.580839662086
VR2_Dt,5.9454169100802305
VR3_Dt,5.996228638584836
Xc-3dv,1.1169045725775413
Xc-4dv,0.0
Xc-5dv,0.24302876358740844
Xc-6dv,0.0
Xch-3d,0.28867513459481287
Xch-4d,0.16666666666666666
Xch-5d,0.19245008972987526
Xch-6d,0.5193448453899291
Xch-7d,0.8951000995826934
Xp-0dv,15.990391735733136
Xp-1dv,9.48517951332607
Xp-2dv,7.691874525572638
Xp-3dv,5.332279828855095
Xp-4dv,3.809789911822638
Xp-5dv,2.6176878985492618
Xp-6dv,1.609816608815158
Xp-7dv,0.8536584689210057
Xpc-4d,5.025311112353463
Xpc-5d,7.8087548286187864
Xpc-6d,12.506530890027848
n3Ring,1
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,56
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.927527268554084
AATS0dv,5.660377358490566
AATS0pe,5.9111962264150915
AATS0se,7.382009509433961
AATS1dv,6.0
AATS1pe,6.3104642857142865
AATS1se,7.577629928571427
AATS2dv,4.666666666666667
AATS2pe,6.15400101010101
AATS2se,7.530871757575757
AATS3dv,3.7716535433070866
AATS3pe,6.161741732283465
AATS3se,7.569465637795274
AATS4dv,2.7027027027027026
AATS4pe,6.043372297297296
AATS4se,7.484524648648647
AATS5dv,2.090909090909091
AATS5pe,5.819706666666668
AATS5se,7.323961478787877
AATS6dv,1.7218543046357615
AATS6pe,5.745758278145696
AATS6se,7.308905192052981
AATS7dv,1.9914529914529915
AATS7pe,5.860654700854702
AATS7se,7.364966735042736
AATS8dv,1.88135593220339
AATS8pe,5.603203389830507
AATS8se,7.173451355932203
AATSC0Z,6.851548593805628
AATSC0c,0.011944988352286807
AATSC0d,0.6543253826984693
AATSC0i,1.4775564227998916
AATSC0m,32.856018522605915
AATSC0p,0.23203840622285443
AATSC0s,0.7830188679245284
AATSC0v,52.15884276777678
AATSC1Z,0.49582337384936154
AATSC1c,-0.005669032789899772
AATSC1d,0.3146773127193206
AATSC1i,-0.25355797380522704
AATSC1m,2.338339782987084
AATSC1p,-0.007188469820304778
AATSC1s,-0.04365079365079364
AATSC1v,0.5055509979316278
AATSC2Z,0.8202638704596695
AATSC2c,-0.0005735720417251142
AATSC2d,-0.0061454703676135395
AATSC2i,-0.12322870401473801
AATSC2m,3.884813226584105
AATSC2p,0.006946336464387117
AATSC2s,0.06060606060606061
AATSC2v,3.2922917409765304
AATSC3Z,0.06837415170024361
AATSC3c,0.0008954974888282462
AATSC3d,-0.07016255399545335
AATSC3i,0.1758191223886589
AATSC3m,0.34448539152275026
AATSC3p,0.012105287737298647
AATSC3s,0.03368328958880141
AATSC3v,2.0747847653381197
AATSC4Z,-1.4105746009448394
AATSC4c,-0.00012463638842962147
AATSC4d,-0.11531467387643965
AATSC4i,-0.12223746549852517
AATSC4m,-6.743666041218861
AATSC4p,-0.033852721335803894
AATSC4s,-0.11843093093093093
AATSC4v,-9.223193192243942
AATSC5Z,-0.731708685286471
AATSC5c,0.00024938438120678734
AATSC5d,-0.050780499908303404
AATSC5i,-0.18765561650607943
