DLiP-ID,C001AO
AATS2d,3.6666666666666665
AATS2i,153.73833160902598
AATS2m,93.49868181981988
AATS2p,1.6893004680890626
AATS2s,2.613113113113113
AATS2v,228.92752596576335
AATS3Z,22.451127819548873
AATS3d,3.3909774436090228
AATS3i,154.37363777367972
AATS3m,83.27499108270678
AATS3p,1.66850802462391
AATS3s,2.4736377981992015
AATS3v,218.1233743110518
AATS4Z,21.41780821917808
AATS4d,3.26027397260274
AATS4i,149.9735771778828
AATS4m,77.70615170547946
AATS4p,1.6856651904475277
AATS4s,2.3625909014036868
AATS4v,212.99844764978687
AATS5Z,20.341463414634145
AATS5d,2.8902439024390243
AATS5i,154.37585458270289
AATS5m,73.72204301219514
AATS5p,1.4980388571693415
AATS5s,2.333295694068052
AATS5v,191.33198469441064
AATS6Z,18.636904761904763
AATS6d,2.8392857142857144
AATS6i,155.70357831118469
AATS6m,66.19967650595238
AATS6p,1.4759161075873688
AATS6s,2.422069942517474
AATS6v,186.36770827495457
AATS7Z,16.647727272727273
AATS7d,2.590909090909091
AATS7i,154.76276772289918
AATS7m,58.35466840909091
AATS7p,1.4015567813299659
AATS7s,2.5182379349046013
AATS7v,173.6891236017396
AATS8Z,14.235294117647058
AATS8d,2.299465240641711
AATS8i,161.21372182548907
AATS8m,49.62741520320856
AATS8p,1.2240119981916897
AATS8s,2.3046642899584073
AATS8v,149.1894777905436
AMID_C,1.5636076116597706
AMID_N,0.13700546423944435
AMID_O,0.22004546351924223
AMID_X,0.0
AMID_h,0.4839720952428128
ATS0dv,402.8888888888889
ATS0pe,382.05289999999985
ATS0se,474.6461899999998
ATS1dv,392.66666666666663
ATS1pe,422.11600000000004
ATS1se,507.23605599999973
ATS2dv,526.3333333333333
ATS2pe,707.2004
ATS2se,865.8798159999999
ATS3dv,544.0
ATS3pe,828.5742
ATS3se,1022.0537840000002
ATS4dv,546.6666666666666
ATS4pe,896.2846999999998
ATS4se,1106.160932
ATS5dv,501.3333333333333
ATS5pe,995.9478000000003
ATS5se,1241.3995280000001
ATS6dv,457.77777777777777
ATS6pe,1027.7154
ATS6se,1279.028085
ATS7dv,451.33333333333337
ATS7pe,1061.2292
ATS7se,1326.3143160000002
ATS8dv,380.6666666666667
ATS8pe,1098.8895000000002
ATS8se,1392.939592
ATSC0Z,729.6935483870968
ATSC0c,1.3800613984576284
ATSC0d,36.46774193548386
ATSC0i,95.42324915541622
ATSC0m,3304.0960576935495
ATSC0p,20.12962909174988
ATSC0s,60.157822248772085
ATSC0v,3320.021485387425
ATSC1Z,49.67611862643081
ATSC1c,-0.4942588072450928
ATSC1d,21.49349635796046
ATSC1i,-11.134865440518201
ATSC1m,232.15411022450652
ATSC1p,0.8444603137840868
ATSC1s,-6.882774840879339
ATSC1v,76.50546789287601
ATSC2Z,170.03251821019768
ATSC2c,-0.06744546936952055
ATSC2d,15.743236212278871
ATSC2i,17.626547745551786
ATSC2m,791.6121005809059
ATSC2p,7.894138293597589
ATSC2s,-12.595829871861296
ATSC2v,1073.884379289866
ATSC3Z,27.625130072840744
ATSC3c,0.09477351206978873
ATSC3d,-0.7937044745057293
ATSC3i,49.53766605210416
ATSC3m,170.55341433480828
ATSC3p,8.167819604115143
ATSC3s,-5.8973012472718604
ATSC3v,1079.7532216140573
ATSC4Z,-267.0848074921957
ATSC4c,0.06146255667384166
ATSC4d,-12.97242455775235
ATSC4i,-29.95855109483334
ATSC4m,-1218.1680670848061
ATSC4p,-7.185883857651348
ATSC4s,-1.2032424714767564
ATSC4v,-1407.045293781087
ATSC5Z,-63.834547346514114
ATSC5c,-0.13881159723179468
ATSC5d,-22.592091571279923
ATSC5i,-37.96122057885984
ATSC5m,-295.3948036409978
ATSC5p,-10.961294982918895
ATSC5s,1.9344086735210928
ATSC5v,-710.2410102361864
ATSC6Z,-233.26638917793963
ATSC6c,-0.14320193964708677
ATSC6d,-31.783558792924044
ATSC6i,-2.7882011516309837
ATSC6m,-1127.1781273631627
ATSC6p,-5.37114390029931
ATSC6s,-3.8738286307273095
ATSC6v,-1215.4398638466703
ATSC7Z,-255.35587929240384
ATSC7c,0.28721815966458547
ATSC7d,-12.005202913631631
ATSC7i,-63.887775848004914
ATSC7m,-1205.8507580978144
ATSC7p,-9.967649255273741
ATSC7s,17.03150082290253
ATSC7v,-2145.3252330865707
ATSC8Z,96.74687825182107
ATSC8c,-0.2997471461460642
ATSC8d,17.250520291363166
ATSC8i,-12.579860255202176
ATSC8m,452.85475984365144
ATSC8p,1.3620757162766144
ATSC8s,-4.761539280927366
ATSC8v,175.04310821574447
AXp-0d,0.7082323709471876
AXp-1d,0.44746522237982966
AXp-2d,0.27329645032627786
AXp-3d,0.17262174714915196
AXp-4d,0.10633349824575952
AXp-5d,0.06999021410878083
AXp-6d,0.04595828552177504
AXp-7d,0.03026429675960678
GATS1Z,0.7735913475353364
GATS1c,1.3694599900003366
GATS1d,0.5661484026809106
GATS1i,1.2220139601911872
GATS1m,0.7733307462776613
GATS1p,0.9261606911373178
GATS1s,0.9943657374176513
GATS1v,0.9413051972399712
GATS2Z,0.8483939167832096
GATS2c,1.2370132916513366
GATS2d,0.9870502966478201
GATS2i,0.9868720581645701
GATS2m,0.8407055437344882
GATS2p,0.7756439388590138
GATS2s,1.0051165289135349
GATS2v,0.7709849808081509
GATS3Z,1.0619299846619266
GATS3c,0.9885577960661182
GATS3d,1.2199472586818665
GATS3i,0.8576407058157551
GATS3m,1.0438119992273476
GATS3p,0.8896370236027576
GATS3s,0.8123776982564941
GATS3v,0.8343936975005577
GATS4Z,1.309491360273579
GATS4c,0.7891537574396551
GATS4d,1.2946326331541993
GATS4i,1.236864655937347
GATS4m,1.290730809433597
GATS4p,1.3270537844674384
GATS4s,0.5720550322175763
GATS4v,1.207911711764769
GATS5Z,1.2335616139256371
GATS5c,0.835585258762573
GATS5d,1.3055306846743837
GATS5i,1.2226931611897642
GATS5m,1.2138102716410333
GATS5p,1.3759149651818439
GATS5s,0.7691442472338976
GATS5v,1.1033524956794145
GATS6Z,1.1758279205229978
GATS6c,0.9390549593436722
GATS6d,1.4138392198984862
GATS6i,1.0620328617857209
GATS6m,1.1751140548842507
GATS6p,1.1523739255994483
GATS6s,0.915782555228708
GATS6v,1.1240359379327753
GATS7Z,1.099582086643049
GATS7c,0.7954788731460795
GATS7d,1.0169323710345384
GATS7i,1.2142100818245178
GATS7m,1.1036277801128098
GATS7p,1.1854721368939112
GATS7s,0.7886958926685491
GATS7v,1.2305563006370592
GATS8Z,0.9007883743710303
GATS8c,0.8565296056329255
GATS8d,0.7245433495661143
GATS8i,0.9824162474870788
GATS8m,0.9050152216432019
GATS8p,0.9230341331369206
GATS8s,1.06876889183047
GATS8v,0.9776147984782511
MATS1Z,0.06493599236907298
MATS1c,-0.341612962164012
MATS1d,0.5621814717789952
MATS1i,-0.111303572955626
MATS1m,0.06701963298603342
MATS1p,0.040014906320792326
MATS1s,-0.10913141573863797
MATS1v,0.02198011266463372
MATS2Z,0.13015480058648862
MATS2c,-0.027297513135609554
MATS2d,0.2411314454658108
MATS2i,0.10317673301066994
MATS2m,0.13382229393979483
MATS2p,0.21904718096077358
MATS2s,-0.11695085217648958
MATS2v,0.1806697075891676
MATS3Z,0.017648340474979998
MATS3c,0.032013165135582465
MATS3d,-0.010145886609491525
MATS3i,0.2420033564678655
MATS3m,0.024062890888981357
MATS3p,0.1891517715536359
MATS3s,-0.04569842743474976
MATS3v,0.15160853906626762
MATS4Z,-0.15543453280498085
MATS4c,0.018912591711335625
MATS4d,-0.15106056842347623
MATS4i,-0.13332311098327196
MATS4m,-0.1565645303990523
MATS4p,-0.15159443358164817
MATS4s,-0.008493757950962135
MATS4v,-0.17997244525681097
MATS5Z,-0.03307220247552272
MATS5c,-0.03802552198742303
MATS5d,-0.23420459326220874
MATS5i,-0.15039514240699015
MATS5m,-0.033798546812488395
MATS5p,-0.2058609317624218
MATS5s,0.01215637156819799
MATS5v,-0.08087470185178154
MATS6Z,-0.11797610890248098
MATS6c,-0.038294191061949916
MATS6d,-0.3216444472525854
MATS6i,-0.010783315445058278
MATS6m,-0.125899004412211
MATS6p,-0.09847215062596507
MATS6s,-0.023764610807492998
MATS6v,-0.13510610995212655
MATS7Z,-0.12327765843934808
MATS7c,0.07331494420492889
MATS7d,-0.11596839692814928
MATS7i,-0.23585364401824013
MATS7m,-0.12856416030940993
MATS7p,-0.17443595068983994
MATS7s,0.09973321872624863
MATS7v,-0.22763092771317284
MATS8Z,0.0439588717205195
MATS8c,-0.07201230818765354
MATS8d,0.15683515173589851
MATS8i,-0.043709083429093645
MATS8m,0.045441886754180275
MATS8p,0.02243445690167746
MATS8s,-0.026242508604776286
MATS8v,0.017480514265728622
MAXaaS,1.7016916927468873
MAXsOH,9.682271969578483
MAXssO,5.403885750996323
MAXssS,1.7016916927468873
MINaaS,1.7016916927468873
MINsOH,9.682271969578483
MINssO,5.403885750996323
MINssS,1.7016916927468873
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,43.20909156174339
SpAD_D,411.58806198818587
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.016370316743623
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1270
TMWC10,147.63754469384662
TSRW10,85.49829383702783
VE1_Dt,5.684324414251761
VE2_Dt,0.1722522549773261
VE3_Dt,2.9316347520700865
VR1_Dt,217.63615345094914
VR2_Dt,6.595034953059065
VR3_Dt,6.576747116027289
Xc-3dv,1.2465416578220634
Xc-4dv,0.0
Xc-5dv,0.2634135735876148
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.15713484026367722
Xch-6d,0.5805272079323989
Xch-7d,1.0278569307363399
Xp-0dv,20.761963169660522
Xp-1dv,12.615113351902757
Xp-2dv,9.792909999675112
Xp-3dv,7.958254721084649
Xp-4dv,6.334429780020902
Xp-5dv,4.744785815796007
Xp-6dv,3.195778299265914
Xp-7dv,2.1051957695819152
Xpc-4d,4.86036446981772
Xpc-5d,8.23558427860607
Xpc-6d,13.000249008377194
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,65
nFRing,2
nHBAcc,7
nHBDon,2
nHRing,2
nSpiro,0
naRing,3
piPC10,8.139344770281525
AATS0dv,6.49820788530466
AATS0pe,6.162143548387094
AATS0se,7.655583709677416
AATS1dv,6.041025641025641
AATS1pe,6.494092307692308
AATS1se,7.803631630769226
AATS2dv,4.741741741741741
AATS2pe,6.371174774774774
AATS2se,7.800719063063062
AATS3dv,4.090225563909774
AATS3pe,6.229881203007519
AATS3se,7.684614917293234
AATS4dv,3.744292237442922
AATS4pe,6.138936301369862
AATS4se,7.5764447397260275
AATS5dv,3.056910569105691
AATS5pe,6.072852439024392
AATS5se,7.569509317073171
AATS6dv,2.7248677248677247
AATS6pe,6.117353571428572
AATS6se,7.6132624107142854
AATS7dv,2.5643939393939394
AATS7pe,6.0297113636363635
AATS7se,7.535876795454547
AATS8dv,2.035650623885918
AATS8pe,5.876414438502675
AATS8se,7.448874823529412
AATSC0Z,11.769250780437046
AATSC0c,0.022259054813832717
AATSC0d,0.5881893860561912
AATSC0i,1.5390846637970357
AATSC0m,53.291871898283055
AATSC0p,0.32467143696370776
AATSC0s,0.9702874556253562
AATSC0v,53.548733635281046
AATSC1Z,0.7642479788681662
AATSC1c,-0.007603981649924505
AATSC1d,0.33066917473785323
AATSC1i,-0.17130562216181847
AATSC1m,3.5716016957616388
AATSC1p,0.012991697135139797
AATSC1s,-0.10588884370583598
AATSC1v,1.1770071983519386
AATSC2Z,1.5318244883801593
AATSC2c,-0.0006076168411668517
AATSC2d,0.1418309568673772
AATSC2i,0.15879772743740347
AATSC2m,7.131640545773927
AATSC2p,0.07111836300538368
AATSC2s,-0.11347594479154322
AATSC2v,9.67463404765645
AATSC3Z,0.20770774490857702
AATSC3c,0.0007125827975172085
AATSC3d,-0.005967702815832552
AATSC3i,0.37246365452709895
AATSC3m,1.282356498757957
AATSC3p,0.06141217747454995
AATSC3s,-0.04434061088174331
AATSC3v,8.118445275293665
AATSC4Z,-1.8293479965218884
