DLiP-ID,T000SX
MWC05,7.869019376499023
MWC06,8.74878098951311
MWC07,9.619598278323043
MWC08,10.50042665029748
MWC09,11.375259823819494
MWC10,12.256646931493107
NaaCH,12
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.027100000000003
SRW02,4.418840607796598
SRW03,0.0
SRW04,5.739792912179234
SRW05,2.3978952727983707
SRW06,7.237778191923443
SRW07,4.844187086458591
SRW08,8.81744592104187
SRW09,7.034387929915503
SRW10,10.442113151159798
SaaCH,22.495651012986432
SaaNH,3.2232206561045365
SaaSe,0
SaaaC,1.8344763772064487
SaasC,3.6191917589591647
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.4269466190094198
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.114543963873453
SssPH,0
SssSe,0
SsssB,0
SsssN,1.496400610321134
SsssP,0
VE1_A,4.221557055132841
VE1_D,5.998866303251675
VE2_A,0.11409613662521192
VE2_D,0.16213152170950473
VE3_A,2.748536850055882
VE3_D,3.099903321566982
VR1_A,1293.921777019252
VR1_D,262.52110314680004
VR2_A,34.97085883835816
VR2_D,7.0951649499135145
VR3_A,8.473765842357738
VR3_D,6.878664291390709
WPath,5304
Xc-3d,2.440578144126921
Xc-4d,0.0
Xc-5d,0.3817227356296423
Xc-6d,0.0
Xp-0d,25.777445635193
Xp-1d,17.957530133630154
Xp-2d,16.38106585546338
Xp-3d,13.326163500027528
Xp-4d,11.343873377817633
Xp-5d,9.463778791794306
Xp-6d,6.40536717907397
Xp-7d,4.824288400002951
ZMIC0,119.8992506399777
ZMIC1,64.67788454468044
ZMIC2,36.1213343733774
ZMIC3,26.1875
ZMIC4,25.1875
ZMIC5,25.1875
nAcid,1
nAtom,64
nBase,0
nRing,5
piPC1,4.02535169073515
piPC2,4.6076670661866785
piPC3,5.146767468420836
piPC4,5.717233272380324
piPC5,6.216356568956309
piPC6,6.39690361321039
piPC7,6.778455989789756
piPC8,7.12973252542716
piPC9,7.26090134750773
AATS0Z,24.0
AATS0d,3.484375
AATS0i,161.57850050679258
AATS0m,94.870021328125
AATS0p,1.5424463192331719
AATS0s,5.164930555555555
AATS0v,230.93544254034677
AATS1Z,25.83823529411765
AATS1d,4.161764705882353
AATS1i,147.20874155649634
AATS1m,98.63366372058822
AATS1p,1.8591538825882352
AATS1s,3.3194444444444446
AATS1v,275.5194996777607
AATS2Z,22.482758620689655
AATS2d,3.836206896551724
AATS2i,152.1857993918168
AATS2m,84.27991528448275
AATS2p,1.6558309414159051
AATS2s,3.4099616858237547
AATS2v,237.7453722723092
AATS3Z,18.080745341614907
AATS3d,3.248447204968944
AATS3i,157.3319701596521
AATS3m,65.6024955279503
AATS3p,1.4326653124551676
AATS3s,2.9860248447204967
AATS3v,199.63515636994703
AATS4Z,16.168539325842698
AATS4d,2.8764044943820224
AATS4i,159.70240403258188
AATS4m,57.724057685393255
AATS4p,1.2902527867675335
AATS4s,3.011392009987516
AATS4v,176.94853390150334
AATS5Z,16.028901734104046
AATS5d,2.739884393063584
AATS5i,163.1541416285374
AATS5m,57.17501239884393
AATS5p,1.2273562374914277
AATS5s,3.4560051380860632
AATS5v,170.0069684151292
AATS6Z,15.936305732484076
AATS6d,2.6178343949044587
AATS6i,162.17541495232277
AATS6m,56.574335331210186
AATS6p,1.2207296440112865
AATS6s,3.4769992922859165
AATS6v,169.19963443215335
AATS7Z,15.432624113475176
AATS7d,2.602836879432624
AATS7i,162.53618113865687
AATS7m,55.277049262411346
AATS7p,1.202902753189468
AATS7s,3.6154452324665094
AATS7v,165.05860919390656
AATS8Z,15.578512396694215
AATS8d,2.7107438016528924
AATS8i,161.3946948336106
AATS8m,54.90258482644627
AATS8p,1.2777293387448843
AATS8s,3.261937557392103
AATS8v,174.23920763099332
AMID_C,1.592927371703031
AMID_N,0.28322189473462805
AMID_O,0.18868617044777708
AMID_X,0.0
AMID_h,0.47190806518240513
ATS0dv,528.0
ATS0pe,406.29240000000004
ATS0se,496.94801999999993
ATS1dv,528.0
ATS1pe,446.08699999999993
ATS1se,530.680164
ATS2dv,732.0
ATS2pe,748.5315999999999
ATS2se,900.2821959999999
ATS3dv,731.0
ATS3pe,1012.8231999999999
ATS3se,1239.5878240000002
ATS4dv,700.0
ATS4pe,1104.1855
ATS4se,1363.83328
ATS5dv,698.0
ATS5pe,1086.1282
ATS5se,1343.236108
ATS6dv,657.0
ATS6pe,989.3268
ATS6se,1223.837028
ATS7dv,549.0
ATS7pe,871.0042
ATS7se,1084.1748159999997
ATS8dv,458.0
ATS8pe,756.6763
ATS8se,935.7078
ATSC0Z,463.4375
ATSC0c,1.495794555914032
ATSC0d,37.359375
ATSC0i,99.86078726500853
ATSC0m,2203.541083359375
ATSC0p,14.372060769502355
ATSC0s,120.30555555555556
ATSC0v,3126.8587083053903
ATSC1Z,10.50390625
ATSC1c,-1.067285923891609
ATSC1d,8.4775390625
ATSC1i,-8.017766293370075
ATSC1m,55.03679247753919
ATSC1p,0.5452308782450376
ATSC1s,-7.335069444444443
ATSC1v,153.86972442677242
ATSC2Z,-4.32421875
ATSC2c,0.5473032098613366
ATSC2d,-7.0732421875
ATSC2i,2.5178530250575974
ATSC2m,-37.37898871386697
ATSC2p,-1.7892014866343422
ATSC2s,28.373263888888886
ATSC2v,-453.7203381428677
ATSC3Z,-117.9912109375
ATSC3c,-0.11242538558079683
ATSC3d,-6.325927734375
ATSC3i,-11.855247431949495
ATSC3m,-556.8847070446776
ATSC3p,-1.8593589695479054
ATSC3s,-29.808593750000004
ATSC3v,-584.6950401111736
ATSC4Z,-78.966796875
ATSC4c,-0.14854404026090856
ATSC4d,-13.99951171875
ATSC4i,-50.72228046380337
ATSC4m,-378.0358228276366
ATSC4p,-5.105299434168046
ATSC4s,-28.03732638888889
ATSC4v,-834.9892314693813
ATSC5Z,-38.5107421875
ATSC5c,-0.017415890993176156
ATSC5d,-3.487060546875
ATSC5i,-1.6978042802194784
ATSC5m,-176.07689658081063
ATSC5p,0.04740944852562334
ATSC5s,-1.9353298611111107
ATSC5v,15.674489678345253
ATSC6Z,-82.3076171875
ATSC6c,0.10369649487348293
ATSC6d,-2.194091796875
ATSC6i,0.30422248023188647
ATSC6m,-385.09746241284176
ATSC6p,-1.1974288156082085
ATSC6s,-39.73741319444444
ATSC6v,-329.7259419714735
ATSC7Z,101.3642578125
ATSC7c,-0.02130161910114662
ATSC7d,2.770751953125
ATSC7i,-0.0800370767569838
ATSC7m,484.7933196145018
ATSC7p,2.5082533350998193
ATSC7s,28.06814236111111
ATSC7v,663.8016480151393
ATSC8Z,-127.7177734375
ATSC8c,-0.2604829321619176
ATSC8d,1.133056640625
ATSC8i,20.547718403692684
ATSC8m,-597.5191752419433
ATSC8p,0.2629550639732736
ATSC8s,-31.58289930555555
ATSC8v,-328.5882950269473
AXp-0d,0.696687719870081
AXp-1d,0.4379885398446379
AXp-2d,0.2873871202712874
AXp-3d,0.18008329054091254
AXp-4d,0.11575380997773095
AXp-5d,0.07694129099019761
AXp-6d,0.048895932664686795
AXp-7d,0.0323777744966641
GATS1Z,0.7586688350323272
GATS1c,1.6883189428846483
GATS1d,0.8307624178906193
GATS1i,1.2455072792843727
GATS1m,0.7617668397237224
GATS1p,0.9771554724883278
GATS1s,0.6170409632335963
GATS1v,0.8849545925379139
GATS2Z,0.846699374520427
GATS2c,0.7521086371606088
GATS2d,1.286548695539307
GATS2i,1.1134843605940714
GATS2m,0.8552936451804779
GATS2p,1.0618583482430846
GATS2s,0.45400739655570505
GATS2v,1.0266105170799347
GATS3Z,1.031375883197983
GATS3c,0.956486427528052
GATS3d,1.1364355463422617
GATS3i,1.0882504320441355
GATS3m,1.032426177093355
GATS3p,1.0351506672712356
GATS3s,0.9203467418911186
GATS3v,1.0430838516417702
GATS4Z,1.041320736133104
GATS4c,0.9818679053972295
GATS4d,1.1557949050512457
GATS4i,1.1654021530986822
GATS4m,1.0422370495734095
GATS4p,1.1114184865238674
GATS4s,1.052849330278966
GATS4v,1.0824242804420894
GATS5Z,1.0604157328333834
GATS5c,1.1045286162083512
GATS5d,1.0186175034993945
GATS5i,0.9840994703363405
GATS5m,1.0561902655849529
GATS5p,0.95404984582113
GATS5s,1.1808143468982186
GATS5v,0.9620035636981309
GATS6Z,1.1117694808680976
GATS6c,1.092674349516367
GATS6d,0.9559414684046065
GATS6i,0.9447479654225114
GATS6m,1.1061254667199691
GATS6p,1.0041980122348004
GATS6s,1.5050318618403538
GATS6v,1.0092441997246673
GATS7Z,0.9457999167874205
GATS7c,1.0386881818794607
GATS7d,0.9448196695053259
GATS7i,0.9162671914562419
GATS7m,0.9427934638146619
GATS7p,0.9093961123308858
GATS7s,1.1431736565188129
GATS7v,0.9039493855630049
GATS8Z,1.153248663921134
GATS8c,1.1215026512656472
GATS8d,0.8780032560116969
GATS8i,0.8650695644352467
GATS8m,1.148938495347838
GATS8p,0.9650198211032367
GATS8s,1.285423556104272
GATS8v,1.0290500652954968
MATS1Z,0.021331958272182778
MATS1c,-0.6715523833037272
MATS1d,0.213570497207666
MATS1i,-0.07556652805039069
MATS1m,0.023507314879529083
MATS1p,0.035705281370039525
MATS1s,-0.057383840167329905
MATS1v,0.046314393350014485
MATS2Z,-0.005147999162926965
MATS2c,0.2018729045735266
MATS2d,-0.10445780873678594
MATS2i,0.013910968736911968
MATS2m,-0.00935897700325687
MATS2p,-0.06868504549417088
MATS2s,0.13012046274253775
MATS2v,-0.08005749084816095
MATS3Z,-0.10120747351976646
MATS3c,-0.029877656879730083
MATS3d,-0.06730986541144197
MATS3i,-0.047192146897326634
MATS3m,-0.10046117133919387
MATS3p,-0.051427841440624095
MATS3s,-0.09849402903522347
MATS3v,-0.07433190279508496
MATS4Z,-0.06126512459560411
MATS4c,-0.03570616894970653
MATS4d,-0.13473277599988723
MATS4i,-0.18262648368699627
MATS4m,-0.061683893031907154
MATS4p,-0.12772095172294698
MATS4s,-0.08379360710218207
MATS4v,-0.09601356353981065
MATS5Z,-0.030741466875065772
MATS5c,-0.004307324788086827
MATS5d,-0.034529775676126515
MATS5i,-0.006289650441455671
MATS5m,-0.02956072585690151
MATS5p,0.001220336860886883
MATS5s,-0.005951181360883961
MATS5v,0.0018544666331484292
MATS6Z,-0.07239843491631269
MATS6c,0.028260019035672206
MATS6d,-0.023940626606675244
MATS6i,0.0012418714377694397
MATS6m,-0.07124097038421756
MATS6p,-0.03396338606058511
MATS6s,-0.13464624018518545
MATS6v,-0.04298581663257119
MATS7Z,0.09927834607824852
MATS7c,-0.0064640026795881895
MATS7d,0.03366347206278865
MATS7i,-0.0003637953084374381
MATS7m,0.09986109778475327
MATS7p,0.07921605578796227
MATS7s,0.10589826600575432
MATS7v,0.09635869955207306
MATS8Z,-0.14576550770996916
MATS8c,-0.09210897031639123
MATS8d,0.01604156081172164
MATS8i,0.10883365723945675
MATS8m,-0.1434251453329616
MATS8p,0.009677364466470708
MATS8s,-0.1388548061161986
MATS8v,-0.055582545880926496
MAXaaN,4.506095207851071
MAXsOH,9.28829383139728
MINaaN,4.506095207851071
MINsOH,9.28829383139728
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,48.52054363271013
SpAD_D,592.0571644310536
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.9972686654876148
SssNH2,0
SsssAs,0
SsssCH,-0.26629816221362934
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1216
TMWC10,156.78777500799728
TSRW10,87.93244107327341
VE1_Dt,5.998916260374328
VE2_Dt,0.16213287190200887
VE3_Dt,3.099911649292941
VR1_Dt,263.05967023656785
VR2_Dt,7.109720817204536
VR3_Dt,6.880713709122657
Xc-3dv,0.9878098047527696
Xc-4dv,0.0
Xc-5dv,0.12035475784214947
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.45412414523193145
Xch-7d,0.643848642443696
Xp-0dv,20.107473063289344
Xp-1dv,12.134708180050193
Xp-2dv,9.098631911612648
Xp-3dv,6.516935705466572
Xp-4dv,4.6450430448645035
Xp-5dv,3.2516233895966287
Xp-6dv,1.9038667464429844
Xp-7dv,1.1818215141290873
Xpc-4d,5.072757231856362
Xpc-5d,8.202726634221245
Xpc-6d,12.495301354803406
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,1
n8Ring,0
n9Ring,0
nARing,1
nBonds,68
nFRing,2
nHBAcc,5
nHBDon,4
nHRing,2
nSpiro,0
naRing,4
piPC10,7.634922623974659
AATS0dv,8.25
AATS0pe,6.348318750000001
AATS0se,7.764812812499999
AATS1dv,7.764705882352941
AATS1pe,6.56010294117647
AATS1se,7.804120058823529
AATS2dv,6.310344827586207
AATS2pe,6.452858620689654
AATS2se,7.761053413793102
AATS3dv,4.540372670807454
AATS3pe,6.290827329192546
AATS3se,7.699303254658386
AATS4dv,3.932584269662921
AATS4pe,6.203289325842697
AATS4se,7.661984719101124
AATS5dv,4.034682080924855
AATS5pe,6.278197687861272
AATS5se,7.764370566473989
AATS6dv,4.1847133757961785
AATS6pe,6.301444585987261
AATS6se,7.795140305732484
AATS7dv,3.893617021276596
AATS7pe,6.177334751773049
AATS7se,7.689183092198579
AATS8dv,3.7851239669421486
AATS8pe,6.253523140495868
AATS8se,7.733122314049587
AATSC0Z,7.2412109375
AATSC0c,0.02337178993615675
AATSC0d,0.583740234375
AATSC0i,1.5603248010157582
AATSC0m,34.430329427490236
AATSC0p,0.2245634495234743
AATSC0s,1.8797743055555556
AATSC0v,48.857167317271724
AATSC1Z,0.15446920955882354
AATSC1c,-0.015695381233700133
AATSC1d,0.12466969209558823
AATSC1i,-0.11790832784367757
AATSC1m,0.8093645952579293
AATSC1p,0.008018101150662317
AATSC1s,-0.10786866830065357
AATSC1v,2.2627900650995945
AATSC2Z,-0.03727774784482758
AATSC2c,0.004718131119494281
AATSC2d,-0.060976225754310345
AATSC2i,0.0217056295263586
AATSC2m,-0.32223266132643935
AATSC2p,-0.015424150746847777
AATSC2s,0.24459710249042144
AATSC2v,-3.9113822253695494
AATSC3Z,-0.7328646642080745
AATSC3c,-0.0006982943203776201
AATSC3d,-0.03929147661102485
AATSC3i,-0.07363507721707761
AATSC3m,-3.4589112238799853
AATSC3p,-0.011548813475452828
AATSC3s,-0.18514654503105593
AATSC3v,-3.6316462118706436
AATSC4Z,-0.44363369030898875
AATSC4c,-0.0008345170801174638
AATSC4d,-0.07864894224016854
AATSC4i,-0.28495663181912007
AATSC4m,-2.1237967574586327
AATSC4p,-0.0286814574953261
AATSC4s,-0.15751306960049938
AATSC4v,-4.690950738592029
AATSC5Z,-0.22260544617052022
AATSC5c,-0.00010066989013396622
AATSC5d,-0.020156419346098266
