DLiP-ID,C001OB
MATS3d,-0.11140790205898721
MATS3i,-0.033120808577069526
MATS3m,0.03415714376988832
MATS3p,0.08002292819585101
MATS3s,-0.1142049143208211
MATS3v,0.0007004407372439543
MATS4Z,-0.15292712066905614
MATS4c,0.09978264702160534
MATS4d,0.002100274651300555
MATS4i,0.08618560874701706
MATS4m,-0.16695223511141297
MATS4p,-0.018141427433497843
MATS4s,-0.12055582133275224
MATS4v,-0.09790791535518606
MATS5Z,-0.0782975958414555
MATS5c,-0.05988854019524641
MATS5d,-0.12649737867205577
MATS5i,-0.14992683791122716
MATS5m,-0.0716940028148028
MATS5p,-0.11880558164584482
MATS5s,0.07816596159764237
MATS5v,-0.09722388895930605
MATS6Z,-0.18326947637292465
MATS6c,0.05860078061884545
MATS6d,-0.22905992746531573
MATS6i,-0.17036559083827055
MATS6m,-0.1790188914964977
MATS6p,-0.15948908186150657
MATS6s,-0.004029000064319848
MATS6v,-0.0840498661139891
MATS7Z,-0.14500349406009783
MATS7c,-0.15068128903352274
MATS7d,-0.35288373704602005
MATS7i,-0.29253650141217336
MATS7m,-0.15171684865409152
MATS7p,-0.28640999237549974
MATS7s,-0.22875539791404842
MATS7v,-0.32429354729834775
MATS8Z,-0.12551440329218108
MATS8c,0.24580574068215022
MATS8d,-0.0882582081246522
MATS8i,-0.0779600197087827
MATS8m,-0.11993779272043467
MATS8p,-0.22400889820838862
MATS8s,0.09418675066565473
MATS8v,-0.1815597693746549
MAXaaN,4.374365709246661
MAXaaS,1.527301587301587
MAXssS,1.3753179064835808
MINaaN,3.635552147818111
MINaaS,1.527301587301587
MINssS,1.3753179064835808
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,30.509566796570844
SpAD_D,208.92851759394063
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,884
TMWC10,124.6239693233211
TSRW10,73.44409804802277
VE1_Dt,4.757993717569608
VE2_Dt,0.20686929206824384
VE3_Dt,2.3927352144218936
VR1_Dt,130.21293334753514
VR2_Dt,5.661431884675441
VR3_Dt,5.702080182242708
Xc-3dv,0.7773319617086498
Xc-4dv,0.0
Xc-5dv,0.1653360325670726
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.21407617506269555
Xch-6d,0.5317116714634901
Xch-7d,0.7142902642454252
Xp-0dv,13.47483740392991
Xp-1dv,8.301287230413473
Xp-2dv,6.51644668645122
Xp-3dv,5.177584071477088
Xp-4dv,3.9690725531673476
Xp-5dv,2.7720930103189496
Xp-6dv,1.829782898310168
Xp-7dv,1.2084145467476286
Xpc-4d,3.5940964181947974
Xpc-5d,5.803903497449105
Xpc-6d,8.558629365586242
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,35
nFRing,1
nHBAcc,8
nHBDon,0
nHRing,3
nSpiro,0
naRing,4
piPC10,8.133527795983424
AATS0dv,11.465277777777779
AATS0pe,6.849931250000001
AATS0se,8.1478410625
AATS1dv,10.571428571428571
AATS1pe,6.870608571428571
AATS1se,8.070515085714284
AATS2dv,8.76969696969697
AATS2pe,6.814685454545454
AATS2se,8.096531454545454
AATS3dv,6.683333333333334
AATS3pe,6.647139999999999
AATS3se,7.968301366666667
AATS4dv,6.512544802867383
AATS4pe,6.613233870967742
AATS4se,8.001570403225807
AATS5dv,7.783625730994152
AATS5pe,6.5530912280701745
AATS5se,7.882951894736842
AATS6dv,7.540229885057472
AATS6pe,6.806398275862069
AATS6se,8.151287137931034
AATS7dv,6.503144654088051
AATS7pe,6.897226415094339
AATS7se,8.24263162264151
AATS8dv,5.0814814814814815
AATS8pe,6.5965066666666665
AATS8se,8.029614577777778
AATSC0Z,13.5
AATSC0c,0.011897704968592904
AATSC0d,0.5849609375
AATSC0i,2.802810048304357
AATSC0m,59.88539854664032
AATSC0p,0.35688070309154585
AATSC0s,1.6920171039094651
AATSC0v,44.12285345270912
AATSC1Z,0.4928571428571429
AATSC1c,-0.005855870667408066
AATSC1d,0.2070033482142857
AATSC1i,0.2392142737440755
AATSC1m,2.4045959303005695
AATSC1p,0.022999432860834414
AATSC1s,0.01709579536547129
AATSC1v,0.4013870690957816
AATSC2Z,1.0772727272727274
AATSC2c,0.0014306292622824344
AATSC2d,0.016175426136363635
AATSC2i,0.2713196231731062
AATSC2m,5.065808356504358
AATSC2p,0.013484706522259759
AATSC2s,0.02899588087666793
AATSC2v,6.685939380095719
AATSC3Z,0.5166666666666667
AATSC3c,-0.0017414131130872603
AATSC3d,-0.06516927083333333
AATSC3i,-0.09283133508777561
AATSC3m,2.0455141678746545
AATSC3p,0.028558638877979596
AATSC3s,-0.19323666838134432
AATSC3v,0.030905444001722533
AATSC4Z,-2.064516129032258
AATSC4c,0.0011871844952483059
AATSC4d,0.001228578629032258
AATSC4i,0.24156189021536728
AATSC4m,-9.998001137899363
AATSC4p,-0.006474325377550968
AATSC4s,-0.20398251167087036
AATSC4v,-4.319976601077124
AATSC5Z,-1.0570175438596492
AATSC5c,-0.0007125361822427591
AATSC5d,-0.07399602521929824
AATSC5i,-0.4202164478080861
AATSC5m,-4.293423931968419
