DLiP-ID,J100CR
SaaN,0
SaaO,0
SaaS,0
Sare,56.952000000000005
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,19.131782702945152
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,94.88675576844786
TIC1,207.01661890098916
TIC2,266.5005623563532
TIC3,305.71984330522673
TIC4,311.71984330522685
TIC5,315.71984330522685
Vabc,408.4135864306291
WPol,58
apol,65.995032
bpol,35.88896800000001
nRot,7
ABCGG,21.271410771851013
ATS0Z,1626.0
ATS0d,202.0
ATS0i,9123.605842377077
ATS0m,6442.768144000001
ATS0p,92.29353371637599
ATS0s,377.10502400548694
ATS0v,13292.16575332239
ATS1Z,1842.0
ATS1d,258.0
ATS1i,8636.396248261102
ATS1m,7086.524004000002
ATS1p,116.93917079200001
ATS1s,189.28086419753086
ATS1v,16847.599113698707
ATS2Z,2674.0
ATS2d,413.0
ATS2i,15743.26315100384
ATS2m,10157.060925000003
ATS2p,178.72103192394306
ATS2s,430.18364197530855
ATS2v,25233.644918396403
ATS3Z,3116.0
ATS3d,498.0
ATS3i,21840.841725999802
ATS3m,11513.988056999999
ATS3p,220.38035415558394
ATS3s,468.9320987654321
ATS3v,29998.05730169751
ATS4Z,3477.0
ATS4d,511.0
ATS4i,24514.24356902472
ATS4m,12873.308224999997
ATS4p,232.38379983382902
ATS4s,555.7283950617285
ATS4v,32353.980388966895
ATS5Z,3549.0
ATS5d,515.0
ATS5i,25799.238921906777
ATS5m,13057.582090000002
ATS5p,244.56516728128196
ATS5s,761.0123456790125
ATS5v,34186.1505101826
ATS6Z,3288.0
ATS6d,500.0
ATS6i,26831.240075907925
ATS6m,11936.267076000004
ATS6p,240.534031566074
ATS6s,645.1944444444446
ATS6v,33271.21423329367
ATS7Z,2866.0
ATS7d,441.0
ATS7i,27105.567091053308
ATS7m,10211.546045000001
ATS7p,208.27822510777196
ATS7s,651.047839506173
ATS7v,28844.276465322797
ATS8Z,2363.0
ATS8d,367.0
ATS8i,22209.32701948352
ATS8m,8385.553353000001
ATS8p,180.047011155225
ATS8s,463.3734567901234
ATS8v,23752.00144881487
C1SP1,0
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,13
C2SP3,3
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.25
GGI10,0.22865830017345173
JGI10,0.007884768971498335
JGT10,0.49654495211098043
Kier1,26.074074074074073
Kier2,10.947668209327162
Kier3,5.555555555555555
MAXdO,13.480257198175668
MID_C,49.9113072718472
MID_N,4.486111773558084
MID_O,10.340258646713574
MID_X,0.0
MID_h,17.086264887566003
MINdO,11.665645291990892
MPC10,219
MWC01,36.0
MWC02,5.187385805840755
MWC03,6.061456918928017
MWC04,6.976348070447749
MWC05,7.878912912297133
MWC06,8.799812469525556
MWC07,9.713234625415893
MWC08,10.637272710686252
MWC09,11.555937060563476
MWC10,12.481766900361627
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,3.4815200000000024
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.652489180268651
SRW05,2.3978952727983707
SRW06,7.213031659834869
SRW07,4.59511985013459
SRW08,8.87024156729927
SRW09,6.6052979209482015
SRW10,10.582104681311748
SaaCH,16.515868733757372
SaaNH,0
SaaSe,0
SaaaC,1.1950188439573368
SaasC,1.7831321755722365
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.194964184811766
SdssS,0
SsCH3,1.8337231410300354
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.7035994921384523
SsssP,0
VE1_A,4.885988164254406
VE1_D,5.649319930525696
VE2_A,0.14806024740164866
VE2_D,0.1711915130462332
VE3_A,2.780294018925681
VE3_D,2.9254576401075445
VR1_A,302.1607457380509
VR1_D,225.48040517859326
VR2_A,9.15638623448639
VR2_D,6.832739550866463
VR3_A,6.904881614897323
VR3_D,6.612155728644427
WPath,2960
Xc-3d,3.0196256393378578
Xc-4d,0.16666666666666666
Xc-5d,1.0269111913479863
Xc-6d,0.15137471507731048
Xp-0d,23.750347897697544
Xp-1d,15.696414434037449
Xp-2d,15.03406064514381
Xp-3d,12.105060449536298
Xp-4d,10.317331048303878
Xp-5d,8.623175181770652
Xp-6d,6.056406351002621
Xp-7d,4.224184670306664
ZMIC0,108.69638629297435
ZMIC1,59.88758051124919
ZMIC2,36.444567973050795
ZMIC3,29.302902839583336
ZMIC4,28.227003888238837
ZMIC5,27.28559230581242
nAcid,2
nAtom,57
nBase,0
nRing,4
piPC1,3.901972669574645
piPC2,4.543294782270004
piPC3,5.090678001769792
piPC4,5.68612753941748
piPC5,6.28553243675889
piPC6,6.625350921525721
piPC7,7.035213580161939
piPC8,7.4217617759028585
piPC9,7.808561111243708
AATS0Z,28.526315789473685
AATS0d,3.543859649122807
AATS0i,160.0632603925803
AATS0m,113.03102007017544
AATS0p,1.6191848020416841
AATS0s,6.61587761413135
AATS0v,233.19589040916472
AATS1Z,30.7
AATS1d,4.3
AATS1i,143.93993747101837
AATS1m,118.10873340000003
AATS1p,1.9489861798666668
AATS1s,3.1546810699588477
AATS1v,280.7933185616451
AATS2Z,25.71153846153846
AATS2d,3.9711538461538463
AATS2i,151.37753029811387
AATS2m,97.66404735576927
AATS2p,1.7184714608071447
AATS2s,4.1363811728395055
AATS2v,242.63120113842695
AATS3Z,22.099290780141843
AATS3d,3.5319148936170213
AATS3i,154.89958670921845
AATS3m,81.65948976595743
AATS3p,1.5629812351459855
AATS3s,3.3257595657122843
AATS3v,212.7521794446632
AATS4Z,22.146496815286625
AATS4d,3.254777070063694
AATS4i,156.14167878359694
AATS4m,81.9955937898089
AATS4p,1.480151591298274
AATS4s,3.5396713061256593
AATS4v,206.07630820998023
AATS5Z,21.379518072289155
AATS5d,3.102409638554217
AATS5i,155.41710193919747
AATS5m,78.66013307228917
AATS5p,1.4732841402486865
AATS5s,4.584411720957906
AATS5v,205.94066572399154
AATS6Z,19.00578034682081
AATS6d,2.8901734104046244
AATS6i,155.09387327114408
AATS6m,68.99576344508672
AATS6p,1.3903701246593871
AATS6s,3.7294476557482343
AATS6v,192.31915741788248
AATS7Z,17.05952380952381
AATS7d,2.625
AATS7i,161.34266125626968
AATS7m,60.78301217261905
AATS7p,1.239751339927214
AATS7s,3.875284758965315
AATS7v,171.6921218173976
AATS8Z,17.0
AATS8d,2.6402877697841727
AATS8i,159.779331075421
AATS8m,60.32772196402878
AATS8p,1.2953022385267985
AATS8s,3.3336219912958516
AATS8v,170.8777082648552
AMID_C,1.5124638567226425
AMID_N,0.13594278101691165
AMID_O,0.3133411711125325
AMID_X,0.0
AMID_h,0.5177656026535152
ATS0dv,488.44444444444446
ATS0pe,368.3612
ATS0se,451.4729369999999
ATS1dv,413.0
ATS1pe,394.1341
ATS1se,472.12559999999985
ATS2dv,711.0
ATS2pe,679.8145000000001
ATS2se,819.7025079999997
ATS3dv,733.3333333333333
ATS3pe,901.7449000000004
ATS3se,1103.903742
ATS4dv,780.6666666666667
ATS4pe,1009.0438999999999
ATS4se,1238.4689199999998
ATS5dv,930.3333333333333
ATS5pe,1079.352
ATS5se,1320.6045599999998
ATS6dv,794.3333333333334
ATS6pe,1088.7942
ATS6se,1343.02834
ATS7dv,693.3333333333333
ATS7pe,1073.3652000000002
ATS7se,1328.218184
ATS8dv,500.3333333333333
ATS8pe,869.4058999999999
ATS8se,1081.175866
ATSC0Z,564.3157894736842
ATSC0c,1.4570779301727665
ATSC0d,40.31578947368421
ATSC0i,85.71441335284847
ATSC0m,2591.632379508772
ATSC0p,15.883985493901893
ATSC0s,160.98319014270936
ATSC0v,2847.062758233507
ATSC1Z,102.50969529085869
ATSC1c,-0.9425325382079387
ATSC1d,13.87811634349031
ATSC1i,-10.968952045794346
ATSC1m,443.8331284469072
ATSC1p,-0.4747641487118861
ATSC1s,-24.517038164322805
ATSC1v,118.90675187070127
ATSC2Z,114.05540166204985
ATSC2c,0.15218730755253226
ATSC2d,2.3185595567867088
ATSC2i,3.5824899986925764
ATSC2m,513.4627256155748
ATSC2p,2.2595721134780704
ATSC2s,71.3391381161493
ATSC2v,109.30535047443817
ATSC3Z,-79.7285318559557
ATSC3c,0.41417859451567207
ATSC3d,-3.096952908587252
ATSC3i,4.992674087593386
ATSC3m,-346.48804908310206
ATSC3p,0.29776140357742115
ATSC3s,-12.080917901931215
ATSC3v,-123.79074167105105
ATSC4Z,18.2354570637119
ATSC4c,-0.5762291601515827
ATSC4d,-7.027700831024927
ATSC4i,-7.451715251138235
ATSC4m,86.66298951092676
ATSC4p,-0.8095358683254797
ATSC4s,-56.41863250315282
ATSC4v,158.88117940306563
ATSC5Z,-104.65650969529088
ATSC5c,0.2875567140923406
ATSC5d,-9.498614958448751
ATSC5i,9.965327795093176
ATSC5m,-477.3660574115109
ATSC5p,-0.29436585923846376
ATSC5s,48.27201202248156
ATSC5v,-362.1788130438473
ATSC6Z,-118.7479224376731
ATSC6c,-0.05160034781551788
ATSC6d,-13.063711911357338
ATSC6i,-49.54852663569553
ATSC6m,-527.2157133160971
ATSC6p,-8.612184503110063
ATSC6s,-8.226644074508947
ATSC6v,-781.8574088827083
ATSC7Z,-133.24653739612188
ATSC7c,-0.19082867527110137
ATSC7d,-3.720221606648202
ATSC7i,1.6990289525612934
ATSC7m,-613.2584080083104
ATSC7p,0.07280067712515081
ATSC7s,-65.54009218727637
ATSC7v,-330.8424176216346
ATSC8Z,-114.71745152354569
ATSC8c,0.5719212189538296
ATSC8d,-6.717451523545705
ATSC8i,5.1176106215772865
ATSC8m,-525.1403528196369
ATSC8p,-0.9218777753490952
ATSC8s,-35.33743539217091
ATSC8v,-450.6133325984067
AXp-0d,0.7197075120514408
AXp-1d,0.4360115120565958
AXp-2d,0.283661521606487
AXp-3d,0.16812583957689303
AXp-4d,0.10527888824799875
AXp-5d,0.06789901717929647
AXp-6d,0.04235249196505329
AXp-7d,0.02544689560425701
GATS1Z,0.8087670210781571
GATS1c,1.6058895934816013
GATS1d,0.8565709312445605
GATS1i,1.2824958834195368
GATS1m,0.7995381835210064
GATS1p,1.1861229707750973
GATS1s,0.7410517070121098
GATS1v,0.9282725065305728
GATS2Z,0.7585769015539581
GATS2c,0.8322139314385484
GATS2d,1.1820144607350873
GATS2i,1.1066478254617265
GATS2m,0.7597613896640164
GATS2p,0.9129640101448845
GATS2s,0.4206543453612611
GATS2v,0.9241905617238299
GATS3Z,1.1559847122837514
GATS3c,0.7672363039409151
GATS3d,1.2560413310371645
GATS3i,1.0745822947318784
GATS3m,1.1353721110057615
GATS3p,1.1075402469531133
GATS3s,0.8076670415149889
GATS3v,1.0004668808217134
GATS4Z,1.0773657828359335
GATS4c,1.0284339571713734
GATS4d,1.2032395935540736
GATS4i,1.0863040903514982
GATS4m,1.0622632761616861
GATS4p,1.1005508300533127
GATS4s,1.1110604440832013
GATS4v,0.9518105500245022
GATS5Z,1.054224733292431
GATS5c,0.85282269621346
GATS5d,1.1087168517411683
GATS5i,0.973554594698599
GATS5m,1.0479696589739904
GATS5p,1.0227378208254352
GATS5s,1.006029523789851
GATS5v,0.9996877906040488
GATS6Z,1.0520080262827336
GATS6c,0.8990978323681051
GATS6d,1.067870025204123
GATS6i,1.1715841264438895
GATS6m,1.0469501872618039
GATS6p,1.2030296828195686
GATS6s,0.9500158652821425
GATS6v,1.0880808765387904
GATS7Z,0.9805384567555805
GATS7c,1.0849378666716007
GATS7d,0.9136205395996518
GATS7i,0.9557520869358472
GATS7m,0.9903645246758189
GATS7p,0.8777487344058647
GATS7s,1.2645355873966233
GATS7v,0.985094845173618
GATS8Z,1.1337088135870712
GATS8c,0.8905700055010691
GATS8d,1.019291094539512
GATS8i,0.9577416591737081
GATS8m,1.1285956812742195
GATS8p,1.0448183791391352
GATS8s,1.027765052953878
GATS8v,1.0620049024209168
MATS1Z,0.17257041596717027
MATS1c,-0.6145216345369894
MATS1d,0.3270234986945171
MATS1i,-0.12157237080545608
MATS1m,0.16269339562136564
MATS1p,-0.028395010902613052
MATS1s,-0.14468085913479137
MATS1v,0.03967647497424835
MATS2Z,0.11077332013258147
MATS2c,0.05724494862458265
MATS2d,0.031519883510745195
MATS2i,0.022907233668560446
MATS2m,0.10858680150593562
MATS2p,0.0779665362890774
MATS2s,0.24287837307111215
MATS2v,0.021041945770470204
MATS3Z,-0.057114622152901
MATS3c,0.11491073774670248
MATS3d,-0.031053830342758677
MATS3i,0.02354697393048908
MATS3m,-0.05404687716161773
MATS3p,0.007578175595768336
MATS3s,-0.030337175687274558
MATS3v,-0.017577085590120275
MATS4Z,0.011731935172281046
MATS4c,-0.14357791923666602
MATS4d,-0.06328682376810627
MATS4i,-0.03156295071887657
MATS4m,0.01214046922060143
MATS4p,-0.01850341193208277
MATS4s,-0.12723811579091449
MATS4v,0.02026052140747773
MATS5Z,-0.06368113753278365
MATS5c,0.06776532098211754
MATS5d,-0.08090062600270533
MATS5i,0.0399212838280788
MATS5m,-0.06324772461361258
MATS5p,-0.006363480603324368
MATS5s,0.1029631069847263
MATS5v,-0.043681019717343235
MATS6Z,-0.06933181519710431
MATS6c,-0.011668058595551388
MATS6d,-0.1067628548574533
MATS6i,-0.19046081587723668
MATS6m,-0.0670260615267995
MATS6p,-0.17864159847775904
MATS6s,-0.01683724111288973
MATS6v,-0.09048139088519074
MATS7Z,-0.08011231913022623
MATS7c,-0.04443512735648625
MATS7d,-0.031308280492353624
MATS7i,0.006725312922446906
MATS7m,-0.08028523591847465
MATS7p,0.0015550398071298448
MATS7s,-0.13813129788519532
MATS7v,-0.03942663562794652
MATS8Z,-0.08336184997161755
MATS8c,0.1609583401998941
MATS8d,-0.06832653981253636
MATS8i,0.024483496371068142
MATS8m,-0.08309254284682394
MATS8p,-0.023799833497731057
MATS8s,-0.09001493112096427
MATS8v,-0.06490334084007507
MAXsOH,9.61674476385869
MINsOH,9.51503793908646
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,-4.168713571848492
SdssSe,0
SdsssP,0
SpAD_A,41.7936357646322
SpAD_D,372.3374415280583
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.0835022173017341
SssNH2,0
SsssAs,0
SsssCH,-0.661416839423989
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1366
TMWC10,148.29212747406646
TSRW10,83.2066395737441
VE1_Dt,5.683406570351033
VE2_Dt,0.17222444152578886
VE3_Dt,2.9314732697295973
VR1_Dt,218.68821450110306
VR2_Dt,6.626915590942517
VR3_Dt,6.581569505819253
Xc-3dv,1.5546614906047476
Xc-4dv,0.04564354645876384
Xc-5dv,0.40918476696020906
Xc-6dv,0.031351946095452186
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.35830498571017655
Xch-7d,0.6267052009589964
Xp-0dv,18.82587250107895
Xp-1dv,11.963302788856033
Xp-2dv,9.919838210466708
Xp-3dv,7.655830327030861
Xp-4dv,5.739988933367975
Xp-5dv,4.055558500764955
Xp-6dv,2.5860147468196817
Xp-7dv,1.5987017883881223
Xpc-4d,6.611698099126726
Xpc-5d,10.652142893413394
Xpc-6d,17.885784699158986
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,60
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,7.95656302198232
AATS0dv,8.569200779727096
AATS0pe,6.4624771929824565
AATS0se,7.920577842105261
AATS1dv,6.883333333333334
AATS1pe,6.568901666666666
AATS1se,7.868759999999997
AATS2dv,6.836538461538462
AATS2pe,6.5366778846153855
AATS2se,7.881754884615382
AATS3dv,5.200945626477541
AATS3pe,6.395353900709223
AATS3se,7.829104553191489
AATS4dv,4.9723991507431
AATS4pe,6.427031210191082
AATS4se,7.888337070063693
AATS5dv,5.6044176706827304
AATS5pe,6.502120481927712
AATS5se,7.955449156626504
AATS6dv,4.591522157996146
AATS6pe,6.29360809248555
AATS6se,7.763169595375723
AATS7dv,4.1269841269841265
AATS7pe,6.3890785714285725
AATS7se,7.9060606190476195
AATS8dv,3.5995203836930454
AATS8pe,6.2547187050359705
AATS8se,7.77824364028777
AATSC0Z,9.900277008310248
AATSC0c,0.025562770704785378
AATSC0d,0.7072945521698984
AATSC0i,1.5037616377692713
AATSC0m,45.46723472822407
AATSC0p,0.2786664121737174
AATSC0s,2.824266493731743
AATSC0v,49.9484694426931
AATSC1Z,1.7084949215143115
AATSC1c,-0.01570887563679898
AATSC1d,0.23130193905817184
AATSC1i,-0.18281586742990577
AATSC1m,7.3972188074484535
AATSC1p,-0.007912735811864769
AATSC1s,-0.40861730273871344
AATSC1v,1.9817791978450212
AATSC2Z,1.096686554442787
AATSC2c,0.0014633394956974255
AATSC2d,0.02229384189217989
AATSC2i,0.03444701921819785
AATSC2m,4.93714159245745
AATSC2p,0.02172665493728914
AATSC2s,0.6859532511168202
AATSC2v,1.0510129853311363
AATSC3Z,-0.5654505805386929
AATSC3c,0.0029374368405366814
AATSC3d,-0.021964205025441504
AATSC3i,0.035409036082222595
AATSC3m,-2.4573620502347664
AATSC3p,0.0021117830040951855
AATSC3s,-0.0856802688080228
AATSC3v,-0.8779485224897238
AATSC4Z,0.11614940804912037
AATSC4c,-0.003670249427717087
AATSC4d,-0.04476242567531801
AATSC4i,-0.04746315446584863
