DLiP-ID,T003JI
Mpe,0.9885448916408665
Mse,1.0168474719208804
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,85.12970000000003
SdO,23.590129991811537
SdS,0
Spe,37.564705882352925
SsF,0
SsI,0
Sse,38.64020393299346
StN,0
fMF,0.5
nBr,0
nCl,0
AMID,2.0376485249236285
BIC0,0.28975225222546813
BIC1,0.6678207427558307
BIC2,0.8109097557450479
BIC3,0.9030150189029426
BIC4,0.9253008755103209
BIC5,0.9253008755103209
CIC0,3.6210526905186966
CIC1,1.4983078149880926
CIC2,0.6949045251728059
CIC3,0.17776019742535265
CIC4,0.052631578947365476
CIC5,0.052631578947365476
GGI1,4.0
GGI2,2.666666666666668
GGI3,1.4791666666666665
GGI4,0.8883333333333335
GGI5,0.7675
GGI6,0.520907029478458
GGI7,0.35331632653061223
GGI8,0.20208175862937766
GGI9,0.059382716049382715
JGI1,0.16
JGI2,0.07843137254901963
JGI3,0.04482323232323232
JGI4,0.030632183908045986
JGI5,0.026465517241379313
JGI6,0.017962311361326137
JGI7,0.013589089481946624
JGI8,0.010104087931468886
JGI9,0.004241622574955908
MIC0,15.446343756158846
MIC1,34.72938716049564
MIC2,40.641566525721394
MIC3,42.53963819720411
MIC4,42.66576784462992
MIC5,42.66576784462992
MPC2,34
MPC3,44
MPC4,55
MPC5,65
MPC6,63
MPC7,69
MPC8,71
MPC9,64
Mare,1.0022105263157899
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2075558801612783
RPCG,0.1410758314062075
SIC0,0.3100032953498944
SIC1,0.7144953296039462
SIC2,0.8675849612265655
SIC3,0.966127543307337
SIC4,0.9899709782933283
SIC5,0.9899709782933283
SaaN,3.9268800355822364
SaaO,0
SaaS,0
Sare,38.08400000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.394600655076845
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,61.82124327114577
TIC1,142.48554854130873
TIC2,173.0148735542896
TIC3,192.66635800869284
TIC4,197.42124551085635
TIC5,197.42124551085635
Vabc,268.4516630280456
WPol,33
apol,44.097894999999994
bpol,19.064104999999998
nRot,5
ABCGG,14.98427236732039
ATS0Z,966.0
ATS0d,133.0
ATS0i,6119.342879731235
ATS0m,3824.223166999999
ATS0p,59.64010557273502
ATS0s,227.19444444444446
ATS0v,9045.158346760683
ATS1Z,1066.0
ATS1d,167.0
ATS1i,5888.626750128549
ATS1m,4083.796524999999
ATS1p,75.02666430600001
ATS1s,146.72222222222223
ATS1v,11243.306597882009
ATS2Z,1546.0
ATS2d,251.0
ATS2i,9764.369260913947
ATS2m,5826.247681999999
ATS2p,110.56515017484898
ATS2s,252.6388888888889
ATS2v,16103.339592445422
ATS3Z,1626.0
ATS3d,274.0
ATS3i,13593.720302372192
ATS3m,5944.497625
ATS3p,121.33812903248999
ATS3s,302.9166666666667
ATS3v,17090.2571982916
ATS4Z,1504.0
ATS4d,256.0
ATS4i,13959.17720006489
ATS4m,5374.2319849999985
ATS4p,112.84378925649
ATS4s,308.5555555555555
ATS4v,15932.392921396196
ATS5Z,1502.0
ATS5d,233.0
ATS5i,13300.151497742338
ATS5m,5489.503605000001
ATS5p,102.088267996735
ATS5s,363.58333333333337
ATS5v,14634.92984828534
ATS6Z,1475.0
ATS6d,215.0
ATS6i,12326.865474077236
ATS6m,5435.091013
ATS6p,96.892156947037
ATS6s,328.22222222222223
ATS6v,14137.04803804305
ATS7Z,1334.0
ATS7d,192.0
ATS7i,11608.415486750937
ATS7m,4865.616482
ATS7p,89.925639090188
ATS7s,312.94444444444434
ATS7v,13133.387621144619
ATS8Z,1042.0
ATS8d,156.0
ATS8i,10080.766179475939
ATS8m,3727.254832
ATS8p,75.508748303339
ATS8s,255.8333333333334
ATS8v,10773.876902402077
C1SP1,0
C1SP2,4
C1SP3,0
C2SP1,0
C2SP2,9
C2SP3,2
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.11764705882352941
GGI10,0.020508111417202324
JGI10,0.0022786790463558138
JGT10,0.3885280964177307
Kier1,17.8112
Kier2,8.392733564013842
Kier3,4.545454545454546
MAXdO,12.106852717939027
MID_C,35.567523051373485
MID_N,6.095422176361901
MID_O,5.202970845508075
MID_X,0.0
MID_h,11.298393021869975
MINdO,11.483277273872512
MPC10,63
MWC01,25.0
MWC02,4.77912349311153
MWC03,5.616771097666572
MWC04,6.478509642208569
MWC05,7.336285660021297
MWC06,8.202756381655638
MWC07,9.06773940337716
MWC08,9.936873971553762
MWC09,10.805415633574446
MWC10,11.676429409181685
NaaCH,9
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.9885999999999997
SRW02,3.9318256327243257
SRW03,0.0
SRW04,5.231108616854587
SRW05,2.3978952727983707
SRW06,6.7226297948554485
SRW07,4.727387818712341
SRW08,8.296795865770052
SRW09,6.823286122355687
SRW10,9.913487387114461
SaaCH,15.801937134868233
SaaNH,3.0994709502258204
SaaSe,0
SaaaC,1.8828948494253333
SaasC,1.0342569759385243
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.5857374863525648
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.520859552154195
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.873171145772776
VE1_D,4.731567997428152
VE2_A,0.16839874546838157
VE2_D,0.20572034771426748
VE3_A,2.1869827119498955
VE3_D,2.3871657710181418
VR1_A,264.1944624317051
VR1_D,127.82707257361939
VR2_A,11.486715757900223
VR2_D,5.557698807548669
VR3_A,6.409594555044795
VR3_D,5.683587477918903
WPath,1241
Xc-3d,1.3717850238834701
Xc-4d,0.0
Xc-5d,0.4206005603523789
Xc-6d,0.0
Xp-0d,16.233840039752504
Xp-1d,11.147867045540842
Xp-2d,9.896696333439566
Xp-3d,8.159028571092964
Xp-4d,6.552851940207229
Xp-5d,5.225192753753337
Xp-6d,3.18280332484182
Xp-7d,2.296379249718403
ZMIC0,73.907350652987
ZMIC1,40.632949924946715
ZMIC2,27.44342347456796
ZMIC3,22.996921441550505
ZMIC4,22.543687163282836
ZMIC5,22.543687163282836
nAcid,1
nAtom,38
nBase,0
nRing,3
piPC1,3.58351893845611
piPC2,4.1705337005796475
piPC3,4.743844580675851
piPC4,5.299254427369377
piPC5,5.7545548000296245
piPC6,5.896767460573564
piPC7,6.254054146762516
piPC8,6.519775086777413
piPC9,6.36252285739064
AATS0Z,25.42105263157895
AATS0d,3.5
AATS0i,161.03533894029567
AATS0m,100.63745176315787
AATS0p,1.5694764624403952
AATS0s,5.978801169590644
AATS0v,238.03048280949167
AATS1Z,26.65
AATS1d,4.175
AATS1i,147.21566875321372
AATS1m,102.09491312499998
AATS1p,1.8756666076500004
AATS1s,3.6680555555555556
AATS1v,281.0826649470502
AATS2Z,23.784615384615385
AATS2d,3.8615384615384616
AATS2i,150.22106555252228
AATS2m,89.63457972307691
AATS2p,1.701002310382292
AATS2s,3.886752136752137
AATS2v,247.74368603762187
AATS3Z,18.906976744186046
AATS3d,3.186046511627907
AATS3i,158.0665151438627
AATS3m,69.12206540697674
AATS3p,1.4109084771219766
AATS3s,3.5222868217054266
AATS3v,198.72392091036747
AATS4Z,17.28735632183908
AATS4d,2.942528735632184
AATS4i,160.45031264442403
AATS4m,61.77278143678159
AATS4p,1.2970550489251724
AATS4s,3.546615581098339
AATS4v,183.13095311949652
AATS5Z,18.317073170731707
AATS5d,2.841463414634146
AATS5i,162.19696948466265
AATS5m,66.94516591463416
AATS5p,1.2449788780089635
AATS5s,4.433943089430895
AATS5v,178.47475424738218
AATS6Z,19.407894736842106
AATS6d,2.8289473684210527
AATS6i,162.19559834312153
AATS6m,71.51435543421053
AATS6p,1.2748968019346973
AATS6s,4.318713450292398
AATS6v,186.01378997425067
AATS7Z,18.52777777777778
AATS7d,2.6666666666666665
AATS7i,161.22799287154078
AATS7m,67.57800669444445
AATS7p,1.2489672095859445
AATS7s,4.346450617283949
AATS7v,182.40816140478637
AATS8Z,16.806451612903224
AATS8d,2.5161290322580645
AATS8i,162.5930028947732
AATS8m,60.11701341935484
AATS8p,1.217883037150629
AATS8s,4.126344086021507
AATS8v,173.7722081032593
AMID_C,1.5464140457118907
AMID_N,0.2650183554939957
AMID_O,0.22621612371774238
AMID_X,0.0
AMID_h,0.4912344792117381
ATS0dv,344.0
ATS0pe,246.36810000000003
ATS0se,299.62578799999994
ATS1dv,335.0
ATS1pe,265.132
ATS1se,314.8146999999999
ATS2dv,463.0
ATS2pe,424.79920000000004
ATS2se,508.60215200000005
ATS3dv,434.0
ATS3pe,548.6139000000001
ATS3se,669.706988
ATS4dv,403.0
ATS4pe,557.4429999999998
ATS4se,684.1823559999999
ATS5dv,463.0
ATS5pe,527.7067999999999
ATS5se,647.9150920000001
ATS6dv,457.0
ATS6pe,495.50690000000003
ATS6se,605.7851399999998
ATS7dv,388.0
ATS7pe,467.5511
ATS7se,573.77896
ATS8dv,280.0
ATS8pe,399.0406000000001
ATS8se,492.52976
ATSC0Z,275.36842105263156
ATSC0c,1.0957200226768873
ATSC0d,21.8157894736842
ATSC0i,59.76689792444484
ATSC0m,1306.2769663421052
ATSC0p,8.46578074560276
ATSC0s,83.73757309941516
ATSC0v,1808.2336262170832
ATSC1Z,-1.8088642659280119
ATSC1c,-0.6857467552190408
ATSC1d,5.220221606648199
ATSC1i,-1.0473625624940652
ATSC1m,-3.768405228531634
ATSC1p,0.6392503050595945
ATSC1s,-7.966451215758694
ATSC1v,120.82623244398691
ATSC2Z,-22.39335180055405
ATSC2c,0.02250177008433272
ATSC2d,-5.263850415512466
ATSC2i,-16.598077539589593
ATSC2m,-116.87416555886392
ATSC2p,-1.9410737527805915
ATSC2s,18.756636657433056
ATSC2v,-432.3455685749353
ATSC3Z,-29.675900277008314
ATSC3c,0.5016905197399855
ATSC3d,-6.346260387811634
ATSC3i,1.1586161296490913
ATSC3m,-148.0301254847645
ATSC3p,-1.172159204429279
ATSC3s,-2.267928593413359
ATSC3v,-344.02602406022487
ATSC4Z,-116.44875346260388
ATSC4c,-0.6313067143608965
ATSC4d,-4.315096952908587
ATSC4i,-13.462707761463612
ATSC4m,-545.8134463885041
ATSC4p,-1.9998409692856687
ATSC4s,-35.59947291474299
ATSC4v,-507.8915433878112
ATSC5Z,50.73130193905818
ATSC5c,0.09761995440900663
ATSC5d,-0.8919667590027696
ATSC5i,-6.526510575017285
ATSC5m,232.10836957756237
ATSC5p,-0.7704300655054375
ATSC5s,34.554593721144954
ATSC5v,13.69453725940214
ATSC6Z,51.10526315789474
ATSC6c,0.2825369956712106
ATSC6d,-2.236842105263158
ATSC6i,5.938190605051522
ATSC6m,236.8518274736843
ATSC6p,-0.1044008193327376
ATSC6s,5.363304093567254
ATSC6v,124.66591299465928
ATSC7Z,3.6703601108033195
ATSC7c,-0.11610944092694683
ATSC7d,-1.0193905817174513
ATSC7i,-6.605071122902505
ATSC7m,21.680379299168973
ATSC7p,-0.5749479139990782
ATSC7s,-15.300284702985529
ATSC7v,35.41414800969595
ATSC8Z,-39.495844875346265
ATSC8c,0.05040316970174361
ATSC8d,2.1426592797783934
ATSC8i,4.8445973748885995
ATSC8m,-174.28452811080345
ATSC8p,1.14248535079278
ATSC8s,-31.47241458910434
ATSC8v,116.69913102127306
AXp-0d,0.7058191321631524
AXp-1d,0.4459146818216337
AXp-2d,0.2910793039246931
AXp-3d,0.1854324675248401
AXp-4d,0.11914276254922235
AXp-5d,0.08038758082697442
AXp-6d,0.05052068769590191
AXp-7d,0.033280858691571054
GATS1Z,0.737330370795107
GATS1c,1.5756472735770912
GATS1d,0.8268094089264176
GATS1i,1.1478968161238379
GATS1m,0.7389532483608842
GATS1p,0.9112775804342728
GATS1s,0.6692286539854916
GATS1v,0.8282272183581559
GATS2Z,0.8320321689014349
GATS2c,0.8656573252944737
GATS2d,1.2915839287371258
GATS2i,1.2581872291030645
GATS2m,0.8417340418316829
GATS2p,1.1097677462719355
GATS2s,0.47433495681206383
GATS2v,1.0557212961275355
GATS3Z,0.9772742425858758
GATS3c,0.7245313450168605
GATS3d,1.2128510113052997
GATS3i,1.0053215398874147
GATS3m,0.9813973496613885
GATS3p,1.0280771041704404
GATS3s,0.8472486280850201
GATS3v,1.0444488399282057
GATS4Z,1.1729948767970755
GATS4c,1.3216869784132061
GATS4d,1.14042677093299
GATS4i,1.0725032921404956
GATS4m,1.168619331755454
GATS4p,1.0588468321610933
GATS4s,1.2910762282298487
GATS4v,1.0730346396923856
GATS5Z,0.9421967069441336
GATS5c,1.0720041405528693
GATS5d,1.0651828532760603
GATS5i,1.008280309829631
GATS5m,0.9419282439074841
GATS5p,0.9955176526679499
GATS5s,1.0143842247480297
GATS5v,0.9562972417209201
GATS6Z,0.9299503058103976
GATS6c,1.1025999355852523
GATS6d,1.0600120627261767
GATS6i,0.9251852773814365
GATS6m,0.927522683747731
GATS6p,0.9498878325071449
GATS6s,1.1928997931088672
GATS6v,0.9043145189726757
GATS7Z,1.0329343463302751
GATS7c,1.2978182081494911
GATS7d,0.9893445918777648
GATS7i,0.9825338247881897
GATS7m,1.025291979989911
GATS7p,1.0000345654321257
GATS7s,1.4944197348728445
GATS7v,0.9390391236678387
GATS8Z,1.1529421919700107
GATS8c,1.1093554823205265
GATS8d,0.8480096501809412
GATS8i,0.854385475331744
GATS8m,1.1405015741670201
GATS8p,0.8873404667730718
GATS8s,1.6803220822140936
GATS8v,0.9230896677846824
MATS1Z,-0.00624044342507657
MATS1c,-0.5945491585218527
MATS1d,0.22732207478890235
MATS1i,-0.016647918311356865
MATS1m,-0.0027406017707943555
MATS1p,0.07173441033445713
MATS1s,-0.0903791258194897
MATS1v,0.06347903233163707
MATS2Z,-0.0475417548812045
MATS2c,0.012005695524520245
MATS2d,-0.14105966409947115
MATS2i,-0.1623556152596367
MATS2m,-0.05230623903683159
MATS2p,-0.13404334610698182
MATS2s,0.13094979885024677
MATS2v,-0.1397805389715991
MATS3Z,-0.04761841263068061
MATS3c,0.2023119061520584
MATS3d,-0.12853816590456427
MATS3i,0.00856572249383187
MATS3m,-0.05007258168310158
MATS3p,-0.06117933204547838
MATS3s,-0.011967244165846672
MATS3v,-0.08406629364667384
MATS4Z,-0.18470772259130375
MATS4c,-0.25165476297563966
MATS4d,-0.08639407678549148
MATS4i,-0.09838662143069773
MATS4m,-0.18250438580543996
MATS4p,-0.10317935025109076
MATS4s,-0.18568958342928354
MATS4v,-0.12268198224018233
MATS5Z,0.08537517714626688
MATS5c,0.041286564561732526
MATS5d,-0.01894730648150872
MATS5i,-0.05060460916337507
MATS5m,0.08234273277534009
MATS5p,-0.0421731412223249
MATS5s,0.1912296214788639
MATS5v,0.0035096399502015456
MATS6Z,0.09279434250764527
MATS6c,0.12892754984113622
MATS6d,-0.05126658624849218
MATS6i,0.04967792215482196
MATS6m,0.0906591150178998
MATS6p,-0.006166047909223539
MATS6s,0.03202447775265601
MATS6v,0.03447173838246408
MATS7Z,0.00703470098538905
MATS7c,-0.055926679665609054
MATS7d,-0.024661573515614533
MATS7i,-0.05832676415156335
MATS7m,0.008759568378470544
MATS7p,-0.03584367957391474
MATS7s,-0.09643401356189324
MATS7v,0.010336496383795685
MATS8Z,-0.08790815823221863
MATS8c,0.028193575604831645
MATS8d,0.06019689482081017
MATS8i,0.04968083440697112
MATS8m,-0.08177404351420776
MATS8p,0.08271333477437633
MATS8s,-0.23035709910865332
MATS8v,0.039555327815345695
MAXaaN,3.9268800355822364
MAXsOH,9.394600655076845
MINaaN,3.9268800355822364
MINsOH,9.394600655076845
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,30.019517582849055
SpAD_D,222.4293801487894
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.19238118858654607
SssNH2,0
SsssAs,0
SsssCH,-1.0243405139833721
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,576
TMWC10,121.89990469235065
TSRW10,71.04441651118528
VE1_Dt,4.709993788029029
VE2_Dt,0.20478233860995776
VE3_Dt,2.382595712072758
VR1_Dt,128.47572081770687
VR2_Dt,5.58590090511769
VR3_Dt,5.688649066365526
Xc-3dv,0.5167470989435841
Xc-4dv,0.0
Xc-5dv,0.0821061726126393
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.3895195511812306
Xch-7d,0.4458099748584902
Xp-0dv,12.19153324501045
Xp-1dv,7.14618839893181
Xp-2dv,5.1428846084608635
Xp-3dv,3.5999098965136063
Xp-4dv,2.449749131855415
Xp-5dv,1.596091417253204
Xp-6dv,0.8412632632314082
Xp-7dv,0.5040011011934437
Xpc-4d,3.345880107843758
Xpc-5d,4.69434708549502
Xpc-6d,6.863469768104763
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,40
nFRing,1
nHBAcc,3
nHBDon,3
nHRing,2
nSpiro,0
naRing,3
piPC10,6.5891360068186895
AATS0dv,9.052631578947368
AATS0pe,6.48337105263158
AATS0se,7.884889157894736
AATS1dv,8.375
AATS1pe,6.6283
AATS1se,7.870367499999998
AATS2dv,7.123076923076923
AATS2pe,6.535372307692309
AATS2se,7.824648492307693
AATS3dv,5.046511627906977
AATS3pe,6.379231395348838
AATS3se,7.787290558139535
AATS4dv,4.632183908045977
AATS4pe,6.407390804597698
AATS4se,7.864165011494252
AATS5dv,5.646341463414634
AATS5pe,6.435448780487804
AATS5se,7.901403560975611
AATS6dv,6.0131578947368425
AATS6pe,6.519827631578948
AATS6se,7.970857105263156
AATS7dv,5.388888888888889
AATS7pe,6.493765277777778
AATS7se,7.969152222222222
AATS8dv,4.516129032258065
AATS8pe,6.4361387096774205
AATS8se,7.9440283870967745
AATSC0Z,7.246537396121883
AATSC0c,0.028834737438865454
AATSC0d,0.5740997229916895
AATSC0i,1.5728131032748642
AATSC0m,34.37570964058172
AATSC0p,0.22278370383165158
AATSC0s,2.2036203447214517
AATSC0v,47.58509542676535
AATSC1Z,-0.045221606648200297
AATSC1c,-0.01714366888047602
AATSC1d,0.13050554016620497
AATSC1i,-0.02618406406235163
AATSC1m,-0.09421013071329085
AATSC1p,0.015981257626489862
AATSC1s,-0.19916128039396735
AATSC1v,3.020655811099673
AATSC2Z,-0.3445131046239085
AATSC2c,0.00034618107822050336
AATSC2d,-0.08098231408480716
AATSC2i,-0.25535503907060914
AATSC2m,-1.7980640855209835
AATSC2p,-0.029862673119701408
AATSC2s,0.2885636408835855
AATSC2v,-6.6514702857682355
AATSC3Z,-0.3450686078721897
AATSC3c,0.005833610694650993
AATSC3d,-0.07379372543967017
AATSC3i,0.013472280577315015
AATSC3m,-1.7212805288926105
AATSC3p,-0.013629758191038129
AATSC3s,-0.026371262714108824
AATSC3v,-4.000302605351452
AATSC4Z,-1.3384914191103894
AATSC4c,-0.007256399015642488
AATSC4d,-0.049598815550673414
AATSC4i,-0.15474376737314496
AATSC4m,-6.273717774580507
AATSC4p,-0.02298667780788125
AATSC4s,-0.40918934384762057
AATSC4v,-5.837833832043807
AATSC5Z,0.6186744138909533
AATSC5c,0.0011904872488903246
