DLiP-ID,C001CW
nX,0
ABC,16.211085308952253
AMW,8.059691683657155
IC0,1.3924305252289026
IC1,2.914718016821339
IC2,3.6360069453309545
IC3,4.436006945330955
IC4,4.68614658824991
IC5,4.857575159678482
MID,43.03963579857883
Mpe,0.9849859943977589
Mse,1.0153574029757573
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,81.02400000000002
SdO,12.371389833711262
SdS,0
Spe,34.47450980392156
SsF,0
SsI,0
Sse,35.5375091041515
StN,0
fMF,0.45714285714285713
nBr,0
nCl,0
AMID,2.049506466598992
BIC0,0.25354475088918427
BIC1,0.5307348841448998
BIC2,0.662072870769427
BIC3,0.8077431911453776
BIC4,0.8532905935487903
BIC5,0.8845056622007798
CIC0,3.7368524917160637
CIC1,2.2145650001236272
CIC2,1.4932760716140119
CIC3,0.6932760716140116
CIC4,0.4431364286950563
CIC5,0.2717078572664846
GGI1,4.0
GGI2,2.000000000000001
GGI3,1.8125
GGI4,1.48
GGI5,0.9166666666666667
GGI6,0.42775510204081635
GGI7,0.2326388888888889
GGI8,0.07407407407407406
GGI9,0.051250000000000004
JGI1,0.17391304347826084
JGI2,0.06250000000000003
JGI3,0.05178571428571429
JGI4,0.04484848484848485
JGI5,0.03273809523809524
JGI6,0.020369290573372202
JGI7,0.013684640522875815
JGI8,0.006172839506172838
JGI9,0.007321428571428571
MIC0,12.33265089834341
MIC1,26.96431703040336
MIC2,35.62771835073235
MIC3,40.04303341319819
MIC4,40.923917030403345
MIC5,41.09671703040335
MPC2,32
MPC3,44
MPC4,60
MPC5,78
MPC6,85
MPC7,96
MPC8,100
MPC9,106
Mare,0.997714285714286
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.24525876403216063
RPCG,0.0971132805828204
SIC0,0.271466893253678
SIC1,0.5682505736556849
SIC2,0.7088723576607366
SIC3,0.8648395751757657
SIC4,0.9136065552961062
SIC5,0.9470281019064697
SaaN,0
SaaO,5.8536574074074075
SaaS,0
Sare,34.92000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,10.464569160997733
SssS,0
StCH,0
StsC,0
TIC0,48.735068383011594
TIC1,102.01513058874687
TIC2,127.2602430865834
TIC3,155.26024308658342
TIC4,164.01513058874684
TIC5,170.01513058874687
Vabc,246.88806713411842
WPol,35
apol,40.93310199999999
bpol,20.120897999999997
nRot,3
ABCGG,13.164411776695333
ATS0Z,882.0
ATS0d,124.0
ATS0i,5486.156325079486
ATS0m,3490.5869569999995
ATS0p,56.20869666788601
ATS0s,159.19444444444446
ATS0v,8500.522859629058
ATS1Z,996.0
ATS1d,153.0
ATS1i,5245.828664325599
ATS1m,3822.873090999999
ATS1p,69.58740034000002
ATS1s,130.7777777777778
ATS1v,10501.689571707288
ATS2Z,1422.0
ATS2d,238.0
ATS2i,8993.481453858793
ATS2m,5392.022295999999
ATS2p,98.44219430509399
ATS2s,207.2777777777778
ATS2v,14859.036971510148
ATS3Z,1612.0
ATS3d,263.0
ATS3i,10308.656516758498
ATS3m,6063.338839
ATS3p,110.47934297539601
ATS3s,243.2777777777778
ATS3v,16622.950919839896
ATS4Z,1655.0
ATS4d,237.0
ATS4i,11064.440038496747
ATS4m,6187.202413
ATS4p,108.298742726245
ATS4s,303.6944444444444
ATS4v,15959.094860374142
ATS5Z,1395.0
ATS5d,227.0
ATS5i,12009.602935282384
ATS5m,5091.397132000001
ATS5p,102.510608655037
ATS5s,257.22222222222223
ATS5v,14714.570419624531
ATS6Z,1142.0
ATS6d,188.0
ATS6i,10755.134550677698
ATS6m,3977.7770729999993
ATS6p,88.41628711739601
ATS6s,254.0
ATS6v,12551.787551828498
ATS7Z,885.0
ATS7d,150.0
ATS7i,8822.04092174789
ATS7m,3136.413281
ATS7p,75.499000781641
ATS7s,171.83333333333331
ATS7v,10213.482781826848
ATS8Z,681.0
ATS8d,119.0
ATS8i,8358.870050186839
ATS8m,2317.2104119999995
ATS8p,60.221876351339
ATS8s,149.99999999999997
ATS8v,8006.552399822781
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.11764705882352941
GGI10,0.024691358024691357
JGI10,0.012345679012345678
JGT10,0.4256792160367504
Kier1,15.879017013232515
Kier2,7.05078125
Kier3,3.347107438016529
MAXdO,12.371389833711262
MID_C,35.34264821892454
MID_N,0.0
MID_O,7.696987579654276
MID_X,0.0
MID_h,7.696987579654276
MINdO,12.371389833711262
MPC10,95
MWC01,23.0
MWC02,4.709530201312334
MWC03,5.572154032177765
MWC04,6.46302945692067
MWC05,7.346655163176539
MWC06,8.247220052745229
MWC07,9.138092207768558
MWC08,10.042858113983936
MWC09,10.937223485229126
MWC10,11.844220034864891
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.4772000000000025
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.1647859739235145
SRW05,0.0
SRW06,6.703188113240863
SRW07,0.0
SRW08,8.346404870435956
SRW09,0.0
SRW10,10.04615830370029
SaaCH,14.314390694549427
SaaNH,0
SaaSe,0
SaaaC,0.8569760959939534
SaasC,2.3815890862517857
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,3.0679776077097505
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.9920828848611847
VE1_D,4.508898034109324
VE2_A,0.19009918499338974
VE2_D,0.2147094301956821
VE3_A,2.12625046570383
VE3_D,2.2479901300535285
VR1_A,153.06814299570885
VR1_D,114.43380089509489
VR2_A,7.28895919027185
VR2_D,5.449228614052138
VR3_A,5.77282054602692
VR3_D,5.481933842404375
WPath,888
Xc-3d,1.2176041834052251
Xc-4d,0.0
Xc-5d,0.273011864576283
Xc-6d,0.0
Xp-0d,14.819626477379408
Xp-1d,10.223876650462412
Xp-2d,8.858294242189393
Xp-3d,7.71615090077022
Xp-4d,6.716698163388372
Xp-5d,5.612191493757012
Xp-6d,3.8178014856432965
Xp-7d,2.82926959772284
ZMIC0,70.4617804977532
ZMIC1,51.117496215157296
ZMIC2,33.62807161118214
ZMIC3,25.150706423504317
ZMIC4,23.42724934257835
ZMIC5,22.633027362806107
nAcid,0
nAtom,35
nBase,0
nRing,3
piPC1,3.5115454388310208
piPC2,4.189654742026425
piPC3,4.873287102945032
piPC4,5.5597196299793366
piPC5,6.178980920779041
piPC6,6.589184353496611
piPC7,7.045477098242351
piPC8,7.466701199749495
piPC9,7.883132685932804
AATS0Z,25.2
AATS0d,3.5428571428571427
AATS0i,156.74732357369962
AATS0m,99.7310559142857
AATS0p,1.6059627619396002
AATS0s,4.548412698412699
AATS0v,242.87208170368737
AATS1Z,26.91891891891892
AATS1d,4.135135135135135
AATS1i,141.77915308988105
AATS1m,103.32089435135133
AATS1p,1.8807405497297303
AATS1s,3.534534534534535
AATS1v,283.8294478839807
AATS2Z,23.7
AATS2d,3.966666666666667
AATS2i,149.8913575643132
AATS2m,89.86703826666665
AATS2p,1.6407032384182332
AATS2s,3.45462962962963
AATS2v,247.6506161918358
AATS3Z,23.36231884057971
AATS3d,3.8115942028985508
AATS3i,149.4008190834565
AATS3m,87.87447592753624
AATS3p,1.601149898194145
AATS3s,3.525764895330113
AATS3v,240.91233217159268
AATS4Z,22.671232876712327
AATS4d,3.2465753424657535
AATS4i,151.56767176022942
AATS4m,84.75619743835617
AATS4p,1.4835444209074657
AATS4s,4.160197869101978
AATS4v,218.6177378133444
AATS5Z,18.116883116883116
AATS5d,2.948051948051948
AATS5i,155.96886928938162
AATS5m,66.12204067532468
AATS5p,1.3313066059095715
AATS5s,3.3405483405483407
AATS5v,191.09831713798093
AATS6Z,16.794117647058822
AATS6d,2.764705882352941
AATS6i,158.16374339231908
AATS6m,58.496721661764695
AATS6p,1.3002395164322942
AATS6s,3.735294117647059
AATS6v,184.58511105630146
AATS7Z,15.526315789473685
AATS7d,2.6315789473684212
AATS7i,154.77264774996297
AATS7m,55.02479440350877
AATS7p,1.3245438733621229
AATS7s,3.014619883040935
AATS7v,179.1839084531026
AATS8Z,13.096153846153847
AATS8d,2.2884615384615383
AATS8i,160.7475009651315
AATS8m,44.561738692307685
AATS8p,1.1581130067565193
AATS8s,2.884615384615384
AATS8v,153.9721615350535
AMID_C,1.682983248520216
AMID_N,0.0
AMID_O,0.366523218078775
AMID_X,0.0
AMID_h,0.366523218078775
ATS0dv,330.0
ATS0pe,225.6369
ATS0se,275.654132
ATS1dv,328.0
ATS1pe,243.984
ATS1se,290.5322919999999
ATS2dv,465.0
ATS2pe,394.983
ATS2se,477.2500960000001
ATS3dv,533.0
ATS3pe,456.4989999999999
ATS3se,550.855876
ATS4dv,546.0
ATS4pe,486.12949999999984
ATS4se,587.749852
ATS5dv,345.0
ATS5pe,487.89
ATS5se,601.1044
ATS6dv,277.0
ATS6pe,449.0651
ATS6se,551.9245559999999
ATS7dv,194.0
ATS7pe,347.5035
ATS7se,431.32235599999996
ATS8dv,126.0
ATS8pe,318.70199999999994
ATS8se,399.60238400000003
ATSC0Z,256.1714285714286
ATSC0c,1.0003309980947208
ATSC0d,21.14285714285715
ATSC0i,47.97593521228583
ATSC0m,1213.7164705714288
ATSC0p,8.3367298295316
ATSC0s,45.1936507936508
ATSC0v,1731.3108810525089
ATSC1Z,16.90448979591836
ATSC1c,-0.2864132883599841
ATSC1d,11.448979591836737
ATSC1i,-5.6185724298429
ATSC1m,78.33592065306135
ATSC1p,-0.802291145008321
ATSC1s,-3.178526077097505
ATSC1v,-28.44440768714696
ATSC2Z,33.8204081632653
ATSC2c,-0.1625048851258599
ATSC2d,6.326530612244901
ATSC2i,11.740561219859176
ATSC2m,172.8578535918368
ATSC2p,2.2705377808979987
ATSC2s,-3.363718820861678
ATSC2v,519.9367738461304
ATSC3Z,-12.737959183673478
ATSC3c,-0.6979245745664665
ATSC3d,-3.938775510204078
ATSC3i,-5.919657682685756
ATSC3m,-55.61959975510187
ATSC3p,-0.7995720954958409
ATSC3s,-11.743673469387755
ATSC3v,-47.5708189491266
ATSC4Z,29.899591836734697
ATSC4c,1.0883325380155977
ATSC4d,-7.897959183673467
ATSC4i,-14.301891061193913
ATSC4m,110.34049597959208
ATSC4p,-2.8906834614406804
ATSC4s,27.71197278911565
ATSC4v,-603.5037647607838
ATSC5Z,14.794285714285712
ATSC5c,-0.3503529263387737
ATSC5d,-9.57142857142857
ATSC5i,-7.197059431333653
ATSC5m,72.74855642857145
ATSC5p,-0.9172139512385197
ATSC5s,-2.422857142857144
ATSC5v,20.044492790838238
ATSC6Z,-225.76163265306118
ATSC6c,-0.24900128254851947
ATSC6d,-8.163265306122447
ATSC6i,10.68025187893664
ATSC6m,-1051.7853729387755
ATSC6p,1.0191165325935196
ATSC6s,-26.53734693877551
ATSC6v,-537.348758246817
ATSC7Z,-28.250612244897958
ATSC7c,0.21913748900912056
ATSC7d,-8.204081632653063
ATSC7i,-15.119990056366344
ATSC7m,-140.31728981632654
ATSC7p,-2.56437372413652
ATSC7s,-0.1518820861678014
ATSC7v,-430.0327710859288
ATSC8Z,-51.026122448979585
ATSC8c,-0.01439181469102677
ATSC8d,-4.183673469387758
ATSC8i,1.9661008312367416
ATSC8m,-235.03711859183687
ATSC8p,0.2425451522030807
ATSC8s,-13.906757369614512
ATSC8v,-79.78474297061557
AXp-0d,0.7056964989228289
AXp-1d,0.44451637610706135
AXp-2d,0.2768216950684185
AXp-3d,0.1753670659265959
AXp-4d,0.1119449693898062
AXp-5d,0.07195117299688478
AXp-6d,0.04491531159580349
AXp-7d,0.029471558309612917
GATS1Z,0.6779666126085934
GATS1c,1.1927436341851634
GATS1d,0.5650109569028486
GATS1i,1.1056469071724966
GATS1m,0.6837676745079271
GATS1p,1.0671967161057305
GATS1s,0.6229780989193744
GATS1v,0.9004224939902067
GATS2Z,0.8118261580786675
GATS2c,1.308094760097174
GATS2d,0.9380630630630628
GATS2i,0.8448912680337956
GATS2m,0.8040884974620041
GATS2p,0.8070593403812862
GATS2s,0.7833163575910835
GATS2v,0.7277968050407696
GATS3Z,0.9098300503997389
GATS3c,1.5217515311765246
GATS3d,1.258519388954171
GATS3i,1.0449306655808785
GATS3m,0.9054978212199197
GATS3p,1.0065331791773062
GATS3s,1.0980391108885006
GATS3v,0.9038703736651764
GATS4Z,0.8717942058125215
GATS4c,0.6590960882615334
GATS4d,1.1675305442428725
GATS4i,1.118561876199387
GATS4m,0.8802600612505668
GATS4p,1.1181734841567703
GATS4s,0.8092858352546312
GATS4v,1.0634457777742614
GATS5Z,0.9618153428102124
GATS5c,1.1818826287961257
GATS5d,1.2948402948402944
GATS5i,1.0365766830864545
GATS5m,0.9595179124771391
GATS5p,1.0157539466483987
GATS5s,1.2035189276865306
GATS5v,0.959752969001922
GATS6Z,1.4902130269908545
GATS6c,1.4616989906347246
GATS6d,1.1233108108108103
GATS6i,0.8570685574759138
GATS6m,1.4730195594266546
GATS6p,0.8773459291216708
GATS6s,1.9510176664793482
GATS6v,1.054472577875469
GATS7Z,1.0140550461587832
GATS7c,0.5727148246616716
GATS7d,1.297771455666192
GATS7i,1.1589459942343039
GATS7m,1.0221017293910046
GATS7p,1.1718161499469815
GATS7s,1.029671194352839
GATS7v,1.164620253404501
GATS8Z,1.1906840371317284
GATS8c,0.9008200793995389
GATS8d,0.9741424116424112
GATS8i,0.9338620605400231
GATS8m,1.1862062300164324
GATS8p,0.9527174808250879
GATS8s,1.3969324788726303
GATS8v,1.0448044008940938
MATS1Z,0.062422002640606225
MATS1c,-0.27084184085588014
MATS1d,0.5122352081811541
MATS1i,-0.11078191156662448
MATS1m,0.061053424222560805
MATS1p,-0.09103378322283864
MATS1s,-0.06652956342124645
MATS1v,-0.015541329076689555
MATS2Z,0.07701316082980145
MATS2c,-0.09476314990135118
MATS2d,0.17454954954954957
MATS2i,0.14275200017009138
MATS2m,0.0830785034012911
MATS2p,0.15887289132229382
MATS2s,-0.04341692422965252
MATS2v,0.1751831255319443
MATS3Z,-0.02522249916754763
MATS3c,-0.3539025706600082
MATS3d,-0.09449667058362698
MATS3i,-0.06258814754148492
MATS3m,-0.023245000903879633
MATS3p,-0.04864977715881034
MATS3s,-0.13180913055694685
MATS3v,-0.013937488534257615
MATS4Z,0.05596026388884646
MATS4c,0.5216306129122918
MATS4d,-0.17910033320992214
MATS4i,-0.14292730358241829
MATS4m,0.0435875913421153
MATS4p,-0.16624553676176174
MATS4s,0.2939917900595442
MATS4v,-0.1671283437639361
MATS5Z,0.02625068440370693
MATS5c,-0.15919863570888623
MATS5d,-0.20577395577395566
MATS5i,-0.0681881580031911
MATS5m,0.02724485203186059
MATS5p,-0.050009469049157096
MATS5s,-0.0243684385297198
MATS5v,0.005262563290311998
MATS6Z,-0.4536057786933644
MATS6c,-0.12812001735950815
MATS6d,-0.19872813990461038
MATS6i,0.11458220549063945
MATS6m,-0.4460350761899873
MATS6p,0.06291978807696219
MATS6s,-0.30223113936499013
MATS6v,-0.15974979986063922
MATS7Z,-0.06771585443644802
MATS7c,0.13451358354643417
MATS7d,-0.2382645803698435
MATS7i,-0.19351794560115831
MATS7m,-0.07098835803088135
MATS7p,-0.18887687100850925
MATS7s,-0.0020635847838196353
MATS7v,-0.15251750174145223
MATS8Z,-0.13406844661027126
MATS8c,-0.00968359309886378
MATS8d,-0.13318607068607075
MATS8i,0.02758335178026759
MATS8m,-0.13034185860242825
MATS8p,0.01958220406444979
MATS8s,-0.20711576285473443
MATS8v,-0.031017692948650963
MAXaaO,5.8536574074074075
MAXssO,5.256373299319728
MINaaO,5.8536574074074075
MINssO,5.208195861678004
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.73813916824767
SpAD_D,175.434204257969
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,740
TMWC10,118.30098274817905
TSRW10,55.110684863010675
VE1_Dt,4.557670542822171
VE2_Dt,0.21703193061057957
VE3_Dt,2.258748991857134
VR1_Dt,109.48782368336667
VR2_Dt,5.213705889684127
VR3_Dt,5.437750688564178
Xc-3dv,0.4495769754728264
Xc-4dv,0.0
Xc-5dv,0.06383602885711886
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21317318372707686
Xch-7d,0.3678410057830494
Xp-0dv,11.751795315372462
Xp-1dv,6.479851717179221
Xp-2dv,4.543720476263189
Xp-3dv,3.2819296428308986
Xp-4dv,2.2518640546956616
Xp-5dv,1.5512938924841195
Xp-6dv,0.8325415683843128
Xp-7dv,0.5072084509581669
Xpc-4d,3.0918217594992665
Xpc-5d,5.50525203846088
Xpc-6d,8.882866983167231
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,37
nFRing,1
nHBAcc,4
nHBDon,0
nHRing,1
nSpiro,0
naRing,3
piPC10,8.086902341739245
AATS0dv,9.428571428571429
AATS0pe,6.446768571428572
AATS0se,7.875832342857143
AATS1dv,8.864864864864865
AATS1pe,6.594162162162163
AATS1se,7.852224108108106
AATS2dv,7.75
AATS2pe,6.58305
AATS2se,7.954168266666668
AATS3dv,7.72463768115942
AATS3pe,6.615927536231883
AATS3se,7.983418492753623
AATS4dv,7.47945205479452
AATS4pe,6.65930821917808
AATS4se,8.051367835616439
AATS5dv,4.48051948051948
AATS5pe,6.336233766233766
AATS5se,7.80655064935065
AATS6dv,4.073529411764706
AATS6pe,6.603898529411764
AATS6se,8.116537588235293
AATS7dv,3.4035087719298245
AATS7pe,6.096552631578947
AATS7se,7.567058877192982
AATS8dv,2.423076923076923
AATS8pe,6.128884615384615
AATS8se,7.6846612307692315
AATSC0Z,7.319183673469388
AATSC0c,0.028580885659849165
AATSC0d,0.6040816326530614
AATSC0i,1.3707410060653096
AATSC0m,34.677613444897965
AATSC0p,0.23819228084376
AATSC0s,1.2912471655328799
AATSC0v,49.46602517292882
AATSC1Z,0.4568781025923881
AATSC1c,-0.007740899685404976
AATSC1d,0.30943188086045237
AATSC1i,-0.15185330891467297
AATSC1m,2.1171870446773338
AATSC1p,-0.021683544459684352
AATSC1s,-0.08590611019182445
AATSC1v,-0.7687677753282962
AATSC2Z,0.563673469387755
AATSC2c,-0.002708414752097665
AATSC2d,0.10544217687074835
AATSC2i,0.19567602033098627
AATSC2m,2.8809642265306135
AATSC2p,0.03784229634829998
AATSC2s,-0.056061980347694634
AATSC2v,8.665612897435507
AATSC3Z,-0.18460810411120984
AATSC3c,-0.010114848906760385
AATSC3d,-0.05708370304643591
AATSC3i,-0.08579214032877908
AATSC3m,-0.8060811558710417
AATSC3p,-0.011588001383997694
AATSC3s,-0.17019816622301093
AATSC3v,-0.6894321586829941
AATSC4Z,0.40958344981828354
AATSC4c,0.014908664904323255
AATSC4d,-0.10819122169415708
AATSC4i,-0.19591631590676595
AATSC4m,1.5115136435560559
AATSC4p,-0.039598403581379185
AATSC4s,0.3796160656043239
AATSC4v,-8.267174859736764
AATSC5Z,0.19213358070500924
AATSC5c,-0.004550038004399658
AATSC5d,-0.12430426716140999
AATSC5i,-0.09346830430303445
AATSC5m,0.9447864471243045
AATSC5p,-0.011911869496604152
AATSC5s,-0.03146567717996291
AATSC5v,0.2603180881927044
AATSC6Z,-3.320024009603841
