DLiP-ID,C001PB
IC1,3.2033369223231967
IC2,3.930609649595924
IC3,4.657882376868653
IC4,4.718488437474713
IC5,4.839700558686836
MID,42.80430299356287
Mpe,0.9843137254901961
Mse,1.012635458738882
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,82.78370000000001
SdO,24.721753800285548
SdS,0
Spe,32.48235294117647
SsF,0
SsI,0
Sse,33.41697013838311
StN,0
fMF,0.5151515151515151
nBr,0
nCl,1
AMID,2.038300142550613
BIC0,0.2884004719551376
BIC1,0.5867528244859245
BIC2,0.7199668251503853
BIC3,0.8531808258148463
BIC4,0.8642819925368848
BIC5,0.8864843259809618
CIC0,3.469891463936656
CIC1,1.8410571970352567
CIC2,1.1137844697625292
CIC3,0.3865117424898008
CIC4,0.32590568188374025
CIC5,0.20469356067161737
GGI1,4.0
GGI2,2.88888888888889
GGI3,1.875
GGI4,1.8311111111111114
GGI5,0.75
GGI6,0.4644897959183675
GGI7,0.2638888888888889
GGI8,0.1186696900982615
GGI9,0.078125
JGI1,0.17391304347826086
JGI2,0.08754208754208757
JGI3,0.052083333333333336
JGI4,0.061037037037037035
JGI5,0.028846153846153848
JGI6,0.022118561710398443
JGI7,0.015522875816993463
JGI8,0.009128437699866269
JGI9,0.011160714285714284
MIC0,17.938014179296943
MIC1,32.7457582693856
MIC2,41.48103099665832
MIC3,43.78951584514317
MIC4,44.51745523908256
MIC5,45.30648554211286
MPC2,33
MPC3,45
MPC4,58
MPC5,76
MPC6,75
MPC7,78
MPC8,86
MPC9,89
Mare,0.9915151515151515
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.23268809948639935
RPCG,0.13996445896548976
SIC0,0.31212919097250136
SIC1,0.635029073170555
SIC2,0.7792035191127809
SIC3,0.9233779650550069
SIC4,0.9353925022168591
SIC5,0.9594215765405637
SaaN,0
SaaO,0
SaaS,0
Sare,32.72
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.083648134150779
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,51.95858762891932
TIC1,105.7101184366655
TIC2,129.7101184366655
TIC3,153.71011843666554
TIC4,155.71011843666554
TIC5,159.7101184366656
Vabc,263.77898291102167
WPol,36
apol,41.275515999999996
bpol,14.854483999999998
nRot,2
ABCGG,13.341353812524286
ATS0Z,1090.0
ATS0d,124.0
ATS0i,5124.817940052888
ATS0m,4429.517376000001
ATS0p,59.995462858188006
ATS0s,176.28307422648987
ATS0v,8752.858948473257
ATS1Z,1003.0
ATS1d,155.0
ATS1i,4944.3102782472
ATS1m,3890.6452839999993
ATS1p,73.17593971
ATS1s,118.40946502057614
ATS1v,10681.848860739332
ATS2Z,1521.0
ATS2d,237.0
ATS2i,8246.642074871646
ATS2m,5868.559986999999
ATS2p,108.84952922454698
ATS2s,187.59670781893004
ATS2v,15662.5602658584
ATS3Z,1926.0
ATS3d,256.0
ATS3i,11005.953279208346
ATS3m,7391.404447999998
ATS3p,123.357038424245
ATS3s,263.76954732510285
ATS3v,17599.583112454162
ATS4Z,1735.0
ATS4d,223.0
ATS4i,11912.48959399183
ATS4m,6546.000281999999
ATS4p,111.311692836188
ATS4s,278.66460905349794
ATS4v,15511.335649148668
ATS5Z,1489.0
ATS5d,186.0
ATS5i,9765.74927447958
ATS5m,5659.687453999999
ATS5p,93.46446450333899
ATS5s,264.8333333333333
ATS5v,13076.148510412437
ATS6Z,1228.0
ATS6d,152.0
ATS6i,7626.350869748309
ATS6m,4538.2504
ATS6p,82.026961648849
ATS6s,183.84567901234567
ATS6v,11324.562062604698
ATS7Z,905.0
ATS7d,133.0
ATS7i,7096.322011422815
ATS7m,3262.3370419999997
ATS7p,71.187463948245
ATS7s,156.00205761316874
ATS7v,9657.612760483715
ATS8Z,703.0
ATS8d,106.0
ATS8i,5861.344633254947
ATS8m,2542.3101619999998
ATS8p,59.99608519654699
ATS8s,121.13580246913581
ATS8v,7969.3713678288705
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.058823529411764705
GGI10,0.024793388429752067
JGI10,0.008264462809917356
JGT10,0.4696167075597625
Kier1,15.879017013232515
Kier2,6.629935720844812
Kier3,3.2
MAXdO,12.486967435122198
MID_C,35.38578802679263
MID_N,2.0620234815827545
MID_O,3.5765532671531406
MID_X,1.779938218034343
MID_h,7.418514966770238
MINdO,12.234786365163348
MPC10,77
MWC01,23.0
MWC02,4.727387818712341
MWC03,5.594711379601839
MWC04,6.484635235635252
MWC05,7.372118028337787
MWC06,8.267448958304849
MWC07,9.16272451803452
MWC08,10.061559107106623
MWC09,10.961017396103008
MWC10,11.862433789932195
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.9365200000000025
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.187385805840755
SRW05,0.0
SRW06,6.739336627357174
SRW07,0.0
SRW08,8.39185670010494
SRW09,0.0
SRW10,10.099342123612667
SaaCH,14.199313200461287
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.5507112599401567
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.5409740068867048
SdssS,0
SsCH3,1.9737694563422077
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.9562226001511718
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8783306166081517
VE1_D,4.515091642821548
VE2_A,0.1846824103146739
VE2_D,0.21500436394388323
VE3_A,2.097342152327478
VE3_D,2.249362828805747
VR1_A,187.12613542691844
VR1_D,113.52084333319564
VR2_A,8.910768353662784
VR2_D,5.405754444437887
VR3_A,5.9737202551964845
VR3_D,5.473923806492926
WPath,900
Xc-3d,1.4783978394802333
Xc-4d,0.0
Xc-5d,0.4809363471940211
Xc-6d,0.0
Xp-0d,14.982763184195939
Xp-1d,10.07538740046941
Xp-2d,9.214971069210264
Xp-3d,8.146515118910028
Xp-4d,6.449011040248072
Xp-5d,5.501515992470225
Xp-6d,3.4167691161010847
Xp-7d,2.224591538029856
ZMIC0,64.24130484870648
ZMIC1,48.01664804806107
ZMIC2,31.56463519641137
ZMIC3,26.60852824039088
ZMIC4,25.50147583335144
ZMIC5,24.20991469180543
nAcid,0
nAtom,33
nBase,0
nRing,3
piPC1,3.4965075614664802
piPC2,4.110873864173311
piPC3,4.709530201312334
piPC4,5.232444622397328
piPC5,5.773386270601908
piPC6,5.896123116815366
piPC7,6.194979206033229
piPC8,6.520621127558696
piPC9,6.8465777699767445
AATS0Z,33.03030303030303
AATS0d,3.757575757575758
AATS0i,155.29751333493599
AATS0m,134.22779927272728
AATS0p,1.8180443290360002
AATS0s,5.3419113401966625
AATS0v,265.23814995373505
AATS1Z,28.65714285714286
AATS1d,4.428571428571429
AATS1i,141.26600794991998
AATS1m,111.1612938285714
AATS1p,2.0907411345714286
AATS1s,3.383127572016461
AATS1v,305.1956817354095
AATS2Z,26.68421052631579
AATS2d,4.157894736842105
AATS2i,144.67793113809907
AATS2m,102.95719275438594
AATS2p,1.9096408635885436
AATS2s,3.291170312612808
AATS2v,274.78175905014734
AATS3Z,26.383561643835616
AATS3d,3.506849315068493
AATS3i,150.76648327682668
AATS3m,101.25211572602737
AATS3p,1.6898224441677399
AATS3s,3.6132814702068883
AATS3v,241.09017962265975
AATS4Z,22.82894736842105
AATS4d,2.9342105263157894
AATS4i,156.74328413147146
AATS4m,86.13158265789473
AATS4p,1.4646275373182631
AATS4s,3.6666395928091835
AATS4v,204.0965216993246
AATS5Z,24.016129032258064
AATS5d,3.0
AATS5i,157.5120850722513
AATS5m,91.28528151612902
AATS5p,1.5074913629570805
AATS5s,4.271505376344086
AATS5v,210.90562113568447
AATS6Z,25.06122448979592
AATS6d,3.1020408163265305
AATS6i,155.63981366833283
AATS6m,92.61735510204082
AATS6p,1.6740196254867141
AATS6s,3.7519526329050135
AATS6v,231.11351148172855
AATS7Z,19.67391304347826
AATS7d,2.891304347826087
AATS7i,154.26786981353945
AATS7m,70.92037047826086
AATS7p,1.5475535640922826
AATS7s,3.3913490785471465
AATS7v,209.9481034887764
AATS8Z,18.025641025641026
AATS8d,2.717948717948718
AATS8i,150.29088803217815
AATS8m,65.18744005128204
AATS8p,1.5383611588858204
AATS8s,3.1060462171573286
AATS8v,204.34285558535566
AMID_C,1.6850375250853635
AMID_N,0.09819159436108355
AMID_O,0.17031206034062574
AMID_X,0.08475896276354014
AMID_h,0.35326261746524945
ATS0dv,289.60493827160496
ATS0pe,211.5169
ATS0se,257.791033
ATS1dv,300.1111111111111
ATS1pe,226.549
ATS1se,269.453654
ATS2dv,432.2222222222222
ATS2pe,364.09950000000003
ATS2se,437.36066400000004
ATS3dv,475.0
ATS3pe,473.1189
ATS3se,571.868388
ATS4dv,405.22222222222223
ATS4pe,485.8915
ATS4se,596.5463400000001
ATS5dv,333.33333333333337
ATS5pe,401.41409999999996
ATS5se,492.691784
ATS6dv,241.0
ATS6pe,326.4465
ATS6se,397.233042
ATS7dv,193.11111111111111
ATS7pe,290.6825
ATS7se,358.33026199999995
ATS8dv,120.77777777777777
ATS8pe,238.09300000000002
ATS8se,293.58327799999995
ATSC0Z,371.3333333333333
ATSC0c,0.49935097891019165
ATSC0d,22.06060606060606
ATSC0i,47.16000874050868
ATSC0m,1743.2168716363642
ATSC0p,8.369153128907517
ATSC0s,62.862724178224866
ATSC0v,1647.6322332528584
ATSC1Z,1.222222222222206
ATSC1c,-0.17751828425872948
ATSC1d,8.269054178145089
ATSC1i,2.7814900006714653
ATSC1m,7.832542991735513
ATSC1p,0.44541165116851444
ATSC1s,-3.872267100204913
ATSC1v,85.66338764869184
ATSC2Z,41.66666666666664
ATSC2c,-0.14534112607149222
ATSC2d,-1.7107438016528929
ATSC2i,-10.89527519710898
ATSC2m,196.0892398099173
ATSC2p,-0.3021193252738589
ATSC2s,-0.9184194482548382
ATSC2v,36.76037134103582
ATSC3Z,90.44444444444441
ATSC3c,0.04046422039122018
ATSC3d,-3.588613406795225
ATSC3i,-16.17934511504011
ATSC3m,403.8052696528926
ATSC3p,-2.8645670638283507
ATSC3s,0.4266668360175461
ATSC3v,-359.94608357899267
ATSC4Z,90.77777777777779
ATSC4c,-0.019713224769330996
ATSC4d,-2.715335169880624
ATSC4i,-7.095616086347728
ATSC4m,421.3910056859505
ATSC4p,-0.3938994913752467
ATSC4s,-4.670739555284593
ATSC4v,79.40292656254864
ATSC5Z,76.55555555555554
ATSC5c,0.1196719274398324
ATSC5d,-2.11386593204775
ATSC5i,3.214456353210781
ATSC5m,373.74214692561986
ATSC5p,3.1144464585679112
ATSC5s,16.806186387576414
ATSC5v,517.1267339248168
ATSC6Z,-234.2222222222222
ATSC6c,-0.053733022959765786
ATSC6d,-2.4536271808999084
ATSC6i,10.594533853489674
ATSC6m,-1090.3347502479342
ATSC6p,-1.1308324513542807
ATSC6s,-13.740634896441938
ATSC6v,-398.3413045913485
ATSC7Z,-151.2222222222222
ATSC7c,-0.013091662951301283
ATSC7d,-4.357208448117538
ATSC7i,7.834701647383918
ATSC7m,-703.4363326446282
ATSC7p,-0.5936530300425669
ATSC7s,-11.349510575962334
ATSC7v,-167.8222916515154
ATSC8Z,-43.66666666666666
ATSC8c,0.016988271723300738
ATSC8d,-7.283746556473829
ATSC8i,-11.844794759687847
ATSC8m,-212.12559211570246
ATSC8p,-1.8231828492564268
ATSC8s,-6.864057816389778
ATSC8v,-485.586771497657
AXp-0d,0.7134649135331399
AXp-1d,0.4380603217595396
AXp-2d,0.2792415475518262
AXp-3d,0.18103366930911172
AXp-4d,0.11118984552151848
AXp-5d,0.07238836832197663
AXp-6d,0.04555692154801446
AXp-7d,0.028520404333716103
GATS1Z,0.5441395229546038
GATS1c,1.2713485135416043
GATS1d,0.6838304552590267
GATS1i,0.9352231135068495
GATS1m,0.5480477058585833
GATS1p,0.7469652685655037
GATS1s,0.5265611619702333
GATS1v,0.7488165186922158
GATS2Z,0.5949163753189077
GATS2c,1.0462855488126876
GATS2d,1.1706188548293812
GATS2i,1.1055583203147783
GATS2m,0.5991282433233313
GATS2p,0.8709814488312413
GATS2s,0.5888530594367407
GATS2v,0.8470130217035868
GATS3Z,0.7519736356705443
GATS3c,1.1517247634619499
GATS3d,1.0730091825982238
GATS3i,1.1689924905555809
GATS3m,0.7571798136244406
GATS3p,1.0491887481367685
GATS3s,0.8659738467824659
GATS3v,0.9811065909205724
GATS4Z,0.9360294812435037
GATS4c,1.2479917221330719
GATS4d,1.0306535569693465
GATS4i,1.054849397761994
GATS4m,0.9349911372376588
GATS4p,1.0041011115850174
GATS4s,1.2566230098812752
GATS4v,0.9488978896327932
GATS5Z,1.0382811142642034
GATS5c,1.1224853121814653
GATS5d,1.0996100673520028
GATS5i,0.9373051269748333
GATS5m,1.0284410349528106
GATS5p,0.8161067924021149
GATS5s,1.3262047164781876
GATS5v,0.8012101590079643
GATS6Z,1.8730077309200162
GATS6c,1.4472767169864924
GATS6d,1.0361067503924648
GATS6i,0.8599878589943962
GATS6m,1.8543209025628387
GATS6p,1.1072530037165114
GATS6s,1.3824812581921369
GATS6v,1.050348068786044
GATS7Z,1.4359534774802907
GATS7c,0.918253423909313
GATS7d,1.1194457716196848
GATS7i,0.8049067418037734
GATS7m,1.428803481557808
GATS7p,1.0703213272215308
GATS7s,1.3036018983558562
GATS7v,1.054970064719582
GATS8Z,0.8308244717580444
GATS8c,0.598832791753996
GATS8d,1.1344040574809806
GATS8i,1.1208008290517955
GATS8m,0.8408954421576191
GATS8p,1.1244427767841854
GATS8s,0.9280680792609329
GATS8v,1.2367618292943612
MATS1Z,0.003103359835855306
MATS1c,-0.33518384737399326
MATS1d,0.3534144427001571
MATS1i,0.05560956804204618
MATS1m,0.00423640295516483
MATS1p,0.05017945667232021
MATS1s,-0.05807884946455427
MATS1v,0.049020852648926125
MATS2Z,0.06496267598979492
MATS2c,-0.16850845600840672
MATS2d,-0.04489589358010412
MATS2i,-0.1337529629881356
MATS2m,0.06512405381727958
MATS2p,-0.02089950866262582
MATS2s,-0.00845837544625589
MATS2v,0.012916911808684687
MATS3Z,0.11010550650500477
MATS3c,0.03663163908141058
MATS3d,-0.0735360529881078
MATS3i,-0.1550879808292758
MATS3m,0.10471566169956803
MATS3p,-0.15472787455118436
MATS3s,0.003068221929705285
MATS3v,-0.0987570827802602
MATS4Z,0.10614901256732498
MATS4c,-0.01714162996366556
MATS4d,-0.05344491035280508
MATS4i,-0.06533058999926294
MATS4m,0.10496250543506933
MATS4p,-0.02043639336395964
MATS4s,-0.03226211251733521
MATS4v,0.020925535345755177
MATS5Z,0.10973243759772974
MATS5c,0.12755827297075475
MATS5d,-0.05100141793690182
MATS5i,0.03627905004101342
MATS5m,0.11411504499953547
MATS5p,0.19807132436742242
MATS5s,0.14229781409389333
MATS5v,0.1670548007943281
MATS6Z,-0.4247975671417579
MATS6c,-0.07246916017651912
MATS6d,-0.07490468714958512
MATS6i,0.15129543904710124
MATS6m,-0.421236788517479
MATS6p,-0.09099857858217764
MATS6s,-0.14720801702511352
MATS6v,-0.1628219387229803
MATS7Z,-0.29215127624697523
MATS7c,-0.01880810403378675
MATS7d,-0.1416925465838509
MATS7i,0.11918036031161656
MATS7m,-0.2894872786126
MATS7p,-0.05088705093485002
MATS7s,-0.1295209570096773
MATS7v,-0.07307107149077319
MATS8Z,-0.09950283110067669
MATS8c,0.02878674933120105
MATS8d,-0.279374471682164
MATS8i,-0.2125215603321936
MATS8m,-0.10296532150235262
MATS8p,-0.1843308583769971
MATS8s,-0.09239257441490965
MATS8v,-0.2493767152958547
MAXsCl,6.083648134150779
MINsCl,6.083648134150779
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.432009560063612
SpAD_D,177.36564190163912
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,661
TMWC10,118.49403623176842
TSRW10,55.26806885862559
VE1_Dt,4.552723899599887
VE2_Dt,0.2167963761714232
VE3_Dt,2.2576630578199945
VR1_Dt,109.62397140773656
VR2_Dt,5.220189114654122
VR3_Dt,5.438993412552041
Xc-3dv,0.7006363172918324
Xc-4dv,0.0
Xc-5dv,0.12741992242227582
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2037037037037037
Xch-7d,0.42816247454009965
Xp-0dv,12.069192153472416
Xp-1dv,6.873912474213247
Xp-2dv,5.261804185744854
Xp-3dv,3.743751271870913
Xp-4dv,2.4729675098748523
Xp-5dv,1.7658322837832026
Xp-6dv,0.9129118898776533
Xp-7dv,0.49234599333851015
Xpc-4d,3.889875629669106
Xpc-5d,6.089258696728027
Xpc-6d,10.19201624663741
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,35
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,0
nSpiro,0
naRing,2
piPC10,6.946645408652566
AATS0dv,8.775907220351666
AATS0pe,6.40960303030303
AATS0se,7.811849484848485
AATS1dv,8.574603174603174
AATS1pe,6.472828571428572
AATS1se,7.698675828571428
AATS2dv,7.582846003898634
AATS2pe,6.38771052631579
AATS2se,7.672994105263158
AATS3dv,6.506849315068493
AATS3pe,6.481080821917808
AATS3se,7.833813534246575
AATS4dv,5.331871345029239
AATS4pe,6.393309210526316
AATS4se,7.849293947368422
AATS5dv,5.376344086021506
AATS5pe,6.474420967741935
AATS5se,7.946641677419355
AATS6dv,4.918367346938775
AATS6pe,6.6621734693877555
AATS6se,8.106796775510205
AATS7dv,4.1980676328502415
AATS7pe,6.319184782608696
AATS7se,7.789788304347825
AATS8dv,3.096866096866097
AATS8pe,6.1049487179487185
AATS8se,7.527776358974358
AATSC0Z,11.252525252525253
AATSC0c,0.015131847845763383
AATSC0d,0.6685032139577594
AATSC0i,1.4290911739548084
AATSC0m,52.824753685950434
AATSC0p,0.25361070087598536
AATSC0s,1.9049310357037839
AATSC0v,49.928249492510865
AATSC1Z,0.03492063492063446
AATSC1c,-0.0050719509788208425
AATSC1d,0.23625869080414538
AATSC1i,0.07947114287632757
AATSC1m,0.22378694262101467
AATSC1p,0.012726047176243269
AATSC1s,-0.11063620286299752
AATSC1v,2.4475253613911954
AATSC2Z,0.7309941520467832
AATSC2c,-0.002549844317043723
AATSC2d,-0.030013049151805138
AATSC2i,-0.19114517889664875
AATSC2m,3.4401621019283737
AATSC2p,-0.005300339039892261
AATSC2s,-0.016112621899207688
AATSC2v,0.6449187954567688
AATSC3Z,1.2389649923896495
AATSC3c,0.0005543043889208244
AATSC3d,-0.049159087764318155
AATSC3i,-0.22163486458959056
AATSC3m,5.531579036340995
AATSC3p,-0.03924064470997741
AATSC3s,0.00584475117832255
AATSC3v,-4.930768268205379
AATSC4Z,1.1944444444444446
AATSC4c,-0.00025938453643856575
AATSC4d,-0.035728094340534526
AATSC4i,-0.09336336955720695
AATSC4m,5.54461849586777
AATSC4p,-0.005182888044411141
AATSC4s,-0.061457099411639377
AATSC4v,1.044775349507219
AATSC5Z,1.2347670250896055
AATSC5c,0.001930192378061813
AATSC5d,-0.03409461180722178
AATSC5i,0.05184607021307711
AATSC5m,6.028099143961611
AATSC5p,0.050233007396256635
