DLiP-ID,I001II
ATS2d,318.0
ATS2i,13332.044029184995
ATS2m,6655.048159999999
ATS2p,146.72336919939602
ATS2s,244.41666666666669
ATS2v,20511.708230538512
ATS3Z,1843.0
ATS3d,345.0
ATS3i,18254.69340202044
ATS3m,6591.50995
ATS3p,162.40664185243298
ATS3s,290.1944444444445
ATS3v,21734.966188987884
ATS4Z,1621.0
ATS4d,319.0
ATS4i,18621.920450004483
ATS4m,5605.6000349999995
ATS4p,155.47308124728198
ATS4s,274.72222222222223
ATS4v,20054.61455545938
ATS5Z,1436.0
ATS5d,291.0
ATS5i,18513.641291838823
ATS5m,4928.884715
ATS5p,143.646175260923
ATS5s,257.22222222222223
ATS5v,18100.353245657458
ATS6Z,1317.0
ATS6d,268.0
ATS6i,17042.76666236017
ATS6m,4584.4957380000005
ATS6p,129.37761024547
ATS6s,230.69444444444446
ATS6v,16496.05984239864
ATS7Z,1271.0
ATS7d,246.0
ATS7i,14463.534908687028
ATS7m,4522.438593999999
ATS7p,116.59338146152699
ATS7s,212.1388888888889
ATS7v,15238.878983593115
ATS8Z,1165.0
ATS8d,220.0
ATS8i,13027.125588524486
ATS8m,4078.9348469999995
ATS8p,107.569238197886
ATS8s,202.44444444444449
ATS8v,14098.945261463385
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,15
C2SP3,1
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.13636363636363635
GGI10,0.08999285787164575
JGI10,0.0056245536169778594
JGT10,0.32765119017420735
Kier1,20.28
Kier2,10.15625
Kier3,5.538461538461538
MID_C,46.10631314506749
MID_N,9.92796885638815
MID_O,0.0
MID_X,0.0
MID_h,9.92796885638815
MPC10,96
MWC01,30.0
MWC02,4.948759890378168
MWC03,5.783825182329737
MWC04,6.637258031284457
MWC05,7.483806687665835
MWC06,8.341171747170762
MWC07,9.191870855692521
MWC08,10.050829390434055
MWC09,10.903880433697777
MWC10,11.76383203230939
NaaCH,12
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.419800000000002
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.3981627015177525
SRW05,2.3978952727983707
SRW06,6.880384082186005
SRW07,4.727387818712341
SRW08,8.446985296372741
SRW09,6.823286122355687
SRW10,10.05539285624928
SaaCH,24.484619931420752
SaaNH,3.32725465425185
SaaSe,0
SaaaC,2.4906292855225347
SaasC,5.342556857065562
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,5.643664766004204
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.865725029117713
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.571672494717747
VE1_D,5.125238185581025
VE2_A,0.13228416647102767
VE2_D,0.1898236365030009
VE3_A,2.2662857450119023
VE3_D,2.627428772190137
VR1_A,1069.2017558658013
VR1_D,163.95497568875314
VR2_A,39.600065032066716
VR2_D,6.072406506990857
VR3_A,7.967919399497606
VR3_D,6.0928436246586815
WPath,2313
Xc-3d,1.2859126777490135
Xc-4d,0.0
Xc-5d,0.13608276348795434
Xc-6d,0.0
Xp-0d,18.476480726871785
Xp-1d,13.313994385738887
Xp-2d,11.406083525196099
Xp-3d,9.7706608087078
Xp-4d,8.099159199488467
Xp-5d,6.433136443908312
Xp-6d,4.103306648388853
Xp-7d,3.0157029504276673
ZMIC0,92.27084041650096
ZMIC1,55.041403359215316
ZMIC2,30.665903123415426
ZMIC3,22.713148499333045
ZMIC4,22.029670511507902
ZMIC5,22.029670511507902
nAcid,0
nAtom,50
nBase,1
nRing,4
piPC1,3.7376696182833684
piPC2,4.347046915777855
piPC3,4.946096772958684
piPC4,5.5276914676128825
piPC5,6.0058912302687055
piPC6,6.126015927180901
piPC7,6.4480855703759365
piPC8,6.7905057923693946
piPC9,6.825006112672122
AATS0Z,21.2
AATS0d,3.26
AATS0i,161.97564289175455
AATS0m,83.56320758000001
AATS0p,1.5526379362305398
AATS0s,2.818888888888889
AATS0v,224.9773765301013
AATS1Z,24.09433962264151
AATS1d,3.8867924528301887
AATS1i,148.67958348723963
AATS1m,91.17381316981132
AATS1p,1.864359605283019
AATS1s,3.0387840670859543
AATS1v,269.4912893603184
AATS2Z,20.431818181818183
AATS2d,3.6136363636363638
AATS2i,151.5005003316477
AATS2m,75.62554727272726
AATS2p,1.6673110136295002
AATS2s,2.7774621212121215
AATS2v,233.08759352884672
AATS3Z,16.026086956521738
AATS3d,3.0
AATS3i,158.7364643653951
AATS3m,57.31747782608695
AATS3p,1.412231668282026
AATS3s,2.523429951690822
AATS3v,188.999705991199
AATS4Z,13.854700854700855
AATS4d,2.7264957264957266
AATS4i,159.16171324790156
AATS4m,47.9111114102564
AATS4p,1.3288297542502734
AATS4s,2.348053181386515
AATS4v,171.40696201247331
AATS5Z,12.486956521739131
AATS5d,2.5304347826086957
AATS5i,160.98818514642454
AATS5m,42.85986708695652
AATS5p,1.2490971761819392
AATS5s,2.236714975845411
AATS5v,157.39437604919527
AATS6Z,12.542857142857143
AATS6d,2.552380952380952
AATS6i,162.31206345104923
AATS6m,43.661864171428576
AATS6p,1.2321677166235239
AATS6s,2.1970899470899474
AATS6v,157.10533183236802
AATS7Z,14.122222222222222
AATS7d,2.7333333333333334
AATS7i,160.70594342985586
AATS7m,50.249317711111104
AATS7p,1.2954820162391887
AATS7s,2.357098765432099
AATS7v,169.32087759547906
AATS8Z,14.382716049382717
AATS8d,2.7160493827160495
AATS8i,160.8287109694381
AATS8m,50.35722033333333
AATS8p,1.3280152863936543
AATS8s,2.4993141289437593
AATS8v,174.06105261065906
AMID_C,1.707641227595092
AMID_N,0.36770255023659815
AMID_O,0.0
AMID_X,0.0
AMID_h,0.36770255023659815
ATS0dv,314.0
ATS0pe,300.58299999999997
ATS0se,371.4242039999999
ATS1dv,351.0
ATS1pe,340.7405
ATS1se,406.79896799999995
ATS2dv,461.0
ATS2pe,550.261
ATS2se,665.860512
ATS3dv,408.0
ATS3pe,697.7221
ATS3se,860.33084
ATS4dv,319.0
ATS4pe,697.0981
ATS4se,866.3549079999999
ATS5dv,293.0
ATS5pe,670.2968
ATS5se,841.361932
ATS6dv,292.0
ATS6pe,608.8530000000001
ATS6se,766.663912
ATS7dv,288.0
ATS7pe,529.3580000000001
ATS7se,661.670376
ATS8dv,252.0
ATS8pe,486.01149999999996
ATS8se,603.2812120000001
ATSC0Z,337.9999999999999
ATSC0c,0.7842791153320198
ATSC0d,25.220000000000006
ATSC0i,80.91778682489652
ATSC0m,1622.5930485799995
ATSC0p,11.331430863824579
ATSC0s,20.30222222222222
ATSC0v,2563.942918018263
ATSC1Z,9.320000000000025
ATSC1c,-0.37254028509074755
ATSC1d,8.426800000000004
ATSC1i,2.841579232489778
ATSC1m,48.437790225199706
ATSC1p,1.0058117326621465
ATSC1s,-3.867022222222224
ATSC1v,206.2260959076351
ATSC2Z,-32.07999999999997
ATSC2c,0.008774138739725669
ATSC2d,-3.907199999999996
ATSC2i,-21.43351359386658
ATSC2m,-155.0746124608003
ATSC2p,-1.8452701398358191
ATSC2s,-1.7452444444444466
ATSC2v,-342.9928538327749
ATSC3Z,-56.99999999999998
ATSC3c,-0.036730182719427136
ATSC3d,-10.406
ATSC3i,-2.842589032199803
ATSC3m,-271.5961208340001
ATSC3p,-1.0905224245221936
ATSC3s,0.1871111111111091
ATSC3v,-311.2030227045669
ATSC4Z,-136.12
ATSC4c,-0.15073657132148416
ATSC4d,-10.9748
ATSC4i,-15.524704654782965
ATSC4m,-655.0524192172
ATSC4p,-4.137549220870497
ATSC4s,-5.799422222222222
ATSC4v,-1014.1737924818526
ATSC5Z,-30.799999999999997
ATSC5c,0.35643773313069277
ATSC5d,0.33399999999999813
ATSC5i,7.440030799808879
ATSC5m,-153.87254689399987
ATSC5p,-1.4987390180735345
ATSC5s,1.9060000000000012
ATSC5v,-383.9285895614552
ATSC6Z,51.599999999999994
ATSC6c,-0.3075685890591671
ATSC6d,4.557999999999998
ATSC6i,3.9344196273930256
ATSC6m,250.30327558200017
ATSC6p,1.8458549845162215
ATSC6s,-0.07911111111110836
ATSC6v,447.20389711837515
ATSC7Z,58.800000000000004
ATSC7c,0.16832568691899163
ATSC7d,-0.6760000000000002
ATSC7i,-10.062615571631223
ATSC7m,281.341129656
ATSC7p,0.7917189303343762
ATSC7s,5.234888888888889
ATSC7v,305.26044502381785
ATSC8Z,-63.15999999999999
ATSC8c,-0.16966619553264733
ATSC8d,-1.6764
ATSC8i,-3.2806525736635948
ATSC8m,-299.2702155196
ATSC8p,-0.9108317428349596
ATSC8s,-4.1696
ATSC8v,-285.1485396073427
AXp-0d,0.6843141009952513
AXp-1d,0.4437998128579629
AXp-2d,0.28515208812990245
AXp-3d,0.18789732324438077
AXp-4d,0.12271453332558283
AXp-5d,0.08247610825523477
AXp-6d,0.05471075531185137
AXp-7d,0.03677686524911789
GATS1Z,0.8739254214580778
GATS1c,1.5794722690328034
GATS1d,0.7148414705310248
GATS1i,1.1382200506749658
GATS1m,0.8717458096913713
GATS1p,0.8965926712441874
GATS1s,1.194747401942967
GATS1v,0.8614304113897604
GATS2Z,0.9719607315761165
GATS2c,1.0087075087269441
GATS2d,1.302627784586547
GATS2i,1.249104701885991
GATS2m,0.9728966498714483
GATS2p,1.079067116840112
GATS2s,0.9237385691967841
GATS2v,1.0321106144404537
GATS3Z,1.0431566760998203
GATS3c,1.1120801061861811
GATS3d,1.2417680929559007
GATS3i,1.0450763381709798
GATS3m,1.041794769589305
GATS3p,1.0084996133024642
GATS3s,0.8552287177339528
GATS3v,1.0124580413741056
GATS4Z,1.1405578313862341
GATS4c,1.0941813549013977
GATS4d,1.137511268359801
GATS4i,1.0690659991799931
GATS4m,1.141253324408903
GATS4p,1.1371660414884703
GATS4s,0.979278462586256
GATS4v,1.1463459142208439
GATS5Z,1.01920504244919
GATS5c,0.6825191029766652
GATS5d,0.8785298072613175
GATS5i,0.894167487424477
GATS5m,1.0220546063727338
GATS5p,1.055521268121561
GATS5s,0.8050926102185335
GATS5v,1.0664641152471244
GATS6Z,0.9195266272189352
GATS6c,1.0666514538442464
GATS6d,0.8604282315622519
GATS6i,0.9005371017294467
GATS6m,0.9196585986892497
GATS6p,0.9172607493571289
GATS6s,0.8798525977816698
GATS6v,0.9198642652035959
GATS7Z,0.8867357001972389
GATS7c,0.7952617588452394
GATS7d,1.0362146444620668
GATS7i,1.0219456399112536
GATS7m,0.8876694477668472
GATS7p,0.9513327984495842
GATS7s,0.7270383343062853
GATS7v,0.9269305083385637
GATS8Z,1.0998064139089785
GATS8c,1.2550166434352552
GATS8d,0.9594580041315433
GATS8i,1.03086126661924
GATS8m,1.0971710276041244
GATS8p,1.0110096286182284
GATS8s,1.198073757864695
GATS8v,1.0302120958884615
MATS1Z,0.02601317405381274
MATS1c,-0.4481224761332949
MATS1d,0.31521852976822834
MATS1i,0.033129120681357496
MATS1m,0.028162347024924022
MATS1p,0.08373867382510168
MATS1s,-0.17969137230281215
MATS1v,0.07588036352149183
MATS2Z,-0.05392684238838082
MATS2c,0.0063565457815440585
MATS2d,-0.08802537668517038
MATS2i,-0.15050007175975924
MATS2m,-0.05430232512023127
MATS2p,-0.09252573268886023
MATS2s,-0.04884274000955269
MATS2v,-0.07600883075224865
MATS3Z,-0.0733213275019295
MATS3c,-0.02036219548426945
MATS3d,-0.17939523497569212
MATS3i,-0.015273629239810342
MATS3m,-0.07277565377909612
MATS3p,-0.041842922599347285
MATS3s,0.004007081398004983
MATS3v,-0.052772493917315866
MATS4Z,-0.1721033732868053
MATS4c,-0.08213573065031031
MATS4d,-0.18596690999545873
MATS4i,-0.08199049219014715
MATS4m,-0.17252442412124624
MATS4p,-0.15604237884619965
MATS4s,-0.12207459547652193
MATS4v,-0.16903949014579278
MATS5Z,-0.03961924363262157
MATS5c,0.19759920214440552
MATS5d,0.005758025031893219
MATS5i,0.03997632815782392
MATS5m,-0.04123098358135169
MATS5p,-0.05750603501560218
MATS5s,0.04081797761364505
MATS5v,-0.06510498831674179
MATS6Z,0.0726965342349958
MATS6c,-0.18674631266104058
MATS6d,0.08606170461840561
MATS6i,0.023153539282478226
MATS6m,0.07345775091033373
MATS6p,0.07756995339939542
MATS6s,-0.001855558335418166
MATS6v,0.08305732363481538
MATS7Z,0.096646942800789
MATS7c,0.11923595653948048
MATS7d,-0.014891179839633447
MATS7i,-0.06908668913964353
MATS7m,0.09632768223890274
MATS7p,0.038816267378020144
MATS7s,0.14324892975287024
MATS7v,0.06614388133703969
MATS8Z,-0.11534808970706407
MATS8c,-0.13353947264075672
MATS8d,-0.04103151525831937
MATS8i,-0.02502656413052995
MATS8m,-0.11385152987047117
MATS8p,-0.04961790115666136
MATS8s,-0.1267756372835182
MATS8v,-0.06865114500194025
MAXaaN,4.210092793815438
MINaaN,4.210092793815438
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.25295103511142
SpAD_D,353.6412646083117
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.3021233494686193
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,722
TMWC10,132.1052342509627
TSRW10,75.8403680143655
VE1_Dt,5.120071375624564
VE2_Dt,0.18963227317128015
VE3_Dt,2.6264201525162036
VR1_Dt,165.11435499714682
VR2_Dt,6.115346481375808
VR3_Dt,6.0998900674440515
Xc-3dv,0.5876867328308999
Xc-4dv,0.0
Xc-5dv,0.050296115882772816
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.45412414523193145
Xch-7d,0.6314154825216765
Xp-0dv,15.07408743852474
Xp-1dv,9.126140630283766
Xp-2dv,6.478602585834745
Xp-3dv,4.597661159546545
Xp-4dv,3.1856053362494916
Xp-5dv,2.0928611595606457
Xp-6dv,1.125696409902459
Xp-7dv,0.6878029911773231
Xpc-4d,3.0665737323459186
Xpc-5d,4.859616367662376
Xpc-6d,6.543856922886361
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,53
nFRing,1
nHBAcc,4
nHBDon,4
nHRing,2
nSpiro,0
naRing,4
piPC10,7.1443609331980875
AATS0dv,6.28
AATS0pe,6.011659999999999
AATS0se,7.428484079999999
AATS1dv,6.622641509433962
AATS1pe,6.429066037735849
AATS1se,7.675452226415094
AATS2dv,5.238636363636363
AATS2pe,6.252965909090909
AATS2se,7.566596727272727
AATS3dv,3.5478260869565217
AATS3pe,6.067148695652174
AATS3se,7.481137739130435
AATS4dv,2.7264957264957266
AATS4pe,5.958103418803419
AATS4se,7.404742803418802
AATS5dv,2.5478260869565217
AATS5pe,5.828667826086956
AATS5se,7.316190713043478
AATS6dv,2.780952380952381
AATS6pe,5.7986
AATS6se,7.301561066666666
AATS7dv,3.2
AATS7pe,5.881755555555556
AATS7se,7.351893066666667
AATS8dv,3.111111111111111
AATS8pe,6.000141975308641
AATS8se,7.447916197530866
AATSC0Z,6.759999999999998
AATSC0c,0.015685582306640397
AATSC0d,0.5044000000000001
AATSC0i,1.6183557364979304
AATSC0m,32.45186097159999
AATSC0p,0.22662861727649158
AATSC0s,0.4060444444444444
AATSC0v,51.278858360365255
AATSC1Z,0.17584905660377406
AATSC1c,-0.0070290619828442934
AATSC1d,0.15899622641509442
AATSC1i,0.05361470249980713
AATSC1m,0.9139205702867869
AATSC1p,0.018977579861549933
AATSC1s,-0.07296268343815518
AATSC1v,3.891058413351606
AATSC2Z,-0.36454545454545423
AATSC2c,9.970612204233714e-05
AATSC2d,-0.04439999999999995
AATSC2i,-0.24356265447575656
AATSC2m,-1.762211505236367
AATSC2p,-0.02096897886177067
AATSC2s,-0.019832323232323257
AATSC2v,-3.897646066281533
AATSC3Z,-0.4956521739130433
AATSC3c,-0.0003193928932124099
AATSC3d,-0.09048695652173913
AATSC3i,-0.02471816549738959
AATSC3m,-2.3617053985565226
AATSC3p,-0.009482803691497337
AATSC3s,0.0016270531400966008
AATSC3v,-2.706113240909277
AATSC4Z,-1.1634188034188035
AATSC4c,-0.0012883467634314885
AATSC4d,-0.0938017094017094
AATSC4i,-0.1326897833742134
AATSC4m,-5.598738625788035
AATSC4p,-0.03536366855444869
AATSC4s,-0.049567711301044634
AATSC4v,-8.668152072494467
AATSC5Z,-0.2678260869565217
AATSC5c,0.003099458548962546
AATSC5d,0.0029043478260869404
AATSC5i,0.06469591999833808
AATSC5m,-1.3380221469043467
AATSC5p,-0.013032513200639431
AATSC5s,0.016573913043478272
AATSC5v,-3.3385094744474366
AATSC6Z,0.4914285714285714
AATSC6c,-0.0029292246577063536
