DLiP-ID,C000KW
VR1_D,106.73855762807838
VR2_A,6.603649349794729
VR2_D,5.336927881403919
VR3_A,5.576501882122942
VR3_D,5.363529638427829
WPath,770
Xc-3d,0.9388321936425753
Xc-4d,0.0
Xc-5d,0.2749716523768432
Xc-6d,0.0
Xp-0d,13.94938298937633
Xp-1d,9.830029800345061
Xp-2d,8.224843045056296
Xp-3d,7.418978649416122
Xp-4d,6.324325600334991
Xp-5d,5.359633903663047
Xp-6d,3.5854605082663564
Xp-7d,2.7010196302637004
ZMIC0,67.33040861463628
ZMIC1,44.8971550105187
ZMIC2,30.761458132406307
ZMIC3,25.517374075138875
ZMIC4,23.89062069383748
ZMIC5,22.542763373278607
nAcid,0
nAtom,39
nBase,1
nRing,3
piPC1,3.367295829986474
piPC2,3.9318256327243257
piPC3,4.5217885770490405
piPC4,5.075173815233827
piPC5,5.628519990155654
piPC6,5.786705645195092
piPC7,6.100178807671155
piPC8,6.368990894165609
piPC9,6.626013859192428
AATS0Z,20.71794871794872
AATS0d,3.1538461538461537
AATS0i,160.28415580527516
AATS0m,81.53659805128204
AATS0p,1.496291107490539
AATS0s,2.715811965811966
AATS0v,217.08908207888925
AATS1Z,23.585365853658537
AATS1d,3.8292682926829267
AATS1i,144.46943055606093
AATS1m,88.91230941463412
AATS1p,1.8153909726829274
AATS1s,2.910569105691057
AATS1v,262.96181629577154
AATS2Z,19.253521126760564
AATS2d,3.591549295774648
AATS2i,153.22436471999143
AATS2m,70.83468611267605
AATS2p,1.5592119928843942
AATS2s,2.6334115805946796
AATS2v,220.70657674265632
AATS3Z,17.829545454545453
AATS3d,3.375
AATS3i,152.51328801738796
AATS3m,64.95303964772727
AATS3p,1.502854078697034
AATS3s,2.533775252525253
AATS3v,206.19433416355605
AATS4Z,15.571428571428571
AATS4d,2.9591836734693877
AATS4i,154.42784901817797
AATS4m,55.146867816326534
AATS4p,1.3866242462758873
AATS4s,2.397108843537415
AATS4v,185.0673658576589
AATS5Z,13.676190476190476
AATS5d,2.6285714285714286
AATS5i,159.12257532856168
AATS5m,47.31589450476191
AATS5p,1.2585833688174188
AATS5s,2.3494708994708997
AATS5v,165.40630770047284
AATS6Z,12.53125
AATS6d,2.375
AATS6i,158.02359369176753
AATS6m,42.28623334375
AATS6p,1.2242957083675206
AATS6s,2.2899305555555562
AATS6v,156.14089609951137
AATS7Z,9.648351648351648
AATS7d,1.989010989010989
AATS7i,164.70472137628101
AATS7m,31.31681953846154
AATS7p,1.024905501761747
AATS7s,2.056776556776557
AATS7v,124.59488662029734
AATS8Z,8.26865671641791
AATS8d,1.7611940298507462
AATS8i,167.88809792799586
AATS8m,25.89236770149253
AATS8p,0.9275397764913881
AATS8s,2.0124378109452734
AATS8v,109.28959061307364
AMID_C,1.7664290394739612
AMID_N,0.10340361736904406
AMID_O,0.19050386591798607
AMID_X,0.0
AMID_h,0.29390748328703015
ATS0dv,250.0
ATS0pe,235.4113
ATS0se,292.74465599999996
ATS1dv,256.0
ATS1pe,262.3
ATS1se,314.7214639999999
ATS2dv,355.0
ATS2pe,446.73350000000005
ATS2se,546.114008
ATS3dv,390.0
ATS3pe,540.1415999999998
ATS3se,663.6509479999999
ATS4dv,313.0
ATS4pe,592.3100000000001
ATS4se,733.0970319999998
ATS5dv,276.0
ATS5pe,633.3656
ATS5se,791.6164200000001
ATS6dv,216.0
ATS6pe,570.5510999999998
ATS6se,715.6046839999999
ATS7dv,139.0
ATS7pe,522.4865
ATS7se,667.7056880000001
ATS8dv,78.0
ATS8pe,380.09450000000004
ATS8se,489.864776
ATSC0Z,276.3076923076923
ATSC0c,0.746934729387713
ATSC0d,21.23076923076922
ATSC0i,55.265303848703034
ATSC0m,1319.7685974358976
ATSC0p,9.24750618581077
ATSC0s,16.15527065527066
ATSC0v,2035.6565291092936
ATSC1Z,19.49704142011833
ATSC1c,-0.2379195480190112
ATSC1d,11.988165680473374
ATSC1i,-3.870022505037245
ATSC1m,91.24839751610843
ATSC1p,-0.4035231088553685
ATSC1s,0.0404704507268589
ATSC1v,26.57454598561398
ATSC2Z,-2.278106508875766
ATSC2c,-0.3335096545899101
ATSC2d,4.118343195266269
ATSC2i,15.955025785460123
ATSC2m,2.0136207192641358
ATSC2p,2.7420997616206537
ATSC2s,-4.110307546204985
ATSC2v,430.5205113037231
ATSC3Z,6.869822485207088
ATSC3c,0.35189152266581797
ATSC3d,-6.443786982248521
ATSC3i,-8.167979669189112
ATSC3m,26.02772863182171
ATSC3p,-0.8299767005190904
ATSC3s,5.022865074147124
ATSC3v,-151.6454325831114
ATSC4Z,-69.64497041420118
ATSC4c,-0.10917578364236928
ATSC4d,-11.579881656804734
ATSC4i,-28.611533856334276
ATSC4m,-341.4456517619983
ATSC4p,-4.553800316686801
ATSC4s,-1.9898823873182863
ATSC4v,-842.4578748128431
ATSC5Z,-82.67455621301777
ATSC5c,-0.12364812769066802
ATSC5d,-10.544378698224854
ATSC5i,2.9006900252678047
ATSC5m,-388.76608045562114
ATSC5p,-0.2453381070259943
ATSC5s,-7.982851194389658
ATSC5v,-300.51454082534815
ATSC6Z,-117.14201183431953
ATSC6c,0.10115167101953931
ATSC6d,-9.337278106508878
ATSC6i,-20.043714664188578
ATSC6m,-565.5612981242604
ATSC6p,-4.060798470857508
ATSC6s,-3.4712360289283377
ATSC6v,-979.9639162062515
ATSC7Z,-0.7692307692307523
ATSC7c,-0.026766530692113526
ATSC7d,-1.538461538461537
ATSC7i,-1.1247879576399566
ATSC7m,-3.0380491452996523
ATSC7p,-0.30556850396323443
ATSC7s,2.1654795821462507
ATSC7v,-9.909101550522422
ATSC8Z,23.727810650887605
ATSC8c,-0.010775042073778246
ATSC8d,2.065088757396451
ATSC8i,8.014830471434875
ATSC8m,115.95646676397052
ATSC8p,0.9492562872355457
ATSC8s,1.2966432902330363
ATSC8v,248.1049617398358
AXp-0d,0.6974691494688166
AXp-1d,0.446819536379321
AXp-2d,0.2741614348352099
AXp-3d,0.17664234879562196
AXp-4d,0.11293438572026769
AXp-5d,0.07242748518463578
AXp-6d,0.04596744241367123
AXp-7d,0.030693404889360232
GATS1Z,0.8452930631756206
GATS1c,1.295144697896834
GATS1d,0.6111700247437261
GATS1i,1.1986860745645982
GATS1m,0.8496535428925608
GATS1p,1.1008089148029925
GATS1s,0.8852523006316387
GATS1v,0.9880351975354714
GATS2Z,0.9888445371561215
GATS2c,1.517090343283747
GATS2d,1.1344151867728114
GATS2i,0.9114172763710694
GATS2m,0.9806739576851614
GATS2p,0.8338603145685706
GATS2s,1.2313021059076439
GATS2v,0.843621057250278
GATS3Z,0.9298757339542417
GATS3c,0.7504609371829157
GATS3d,1.4237483530961799
GATS3i,1.1155216582827696
GATS3m,0.9340688959926579
GATS3p,1.0502354196720216
GATS3s,0.7369104255677307
GATS3v,1.0192669031247876
GATS4Z,1.0412822144447977
GATS4c,0.956694820391232
GATS4d,1.3423913043478268
GATS4i,1.2355534275571252
GATS4m,1.0461004190498542
GATS4p,1.1895954828245636
GATS4s,0.9130673607949484
GATS4v,1.1458034792106735
GATS5Z,1.1087363453176369
GATS5c,1.2329792889188558
GATS5d,1.1676673567977922
GATS5i,0.9598511305900906
GATS5m,1.1041423377680364
GATS5p,0.973863169098956
GATS5s,1.2859170896998249
GATS5v,1.0108162392143691
GATS6Z,1.1446327487008165
GATS6c,0.9506972668036379
GATS6d,1.0813707729468605
GATS6i,1.1030709161770762
GATS6m,1.1460519839512104
GATS6p,1.1567008063561834
GATS6s,1.0967961930164887
GATS6v,1.1687331210102179
GATS7Z,0.9974546611517657
GATS7c,0.9409896538629322
GATS7d,0.8260869565217396
GATS7i,0.9192757315133171
GATS7m,0.9964696036425349
GATS7p,0.9536345170197865
GATS7s,0.9348381976897978
GATS7v,0.967830507775986
GATS8Z,0.9657738589901272
GATS8c,0.9751321861138996
GATS8d,0.6678563703223019
GATS8i,0.8003660728524963
GATS8m,0.9626732242708816
GATS8p,0.8603903289521633
GATS8s,1.005427408412483
GATS8v,0.8869310289162926
MATS1Z,0.06712070183062628
MATS1c,-0.30298995013104363
MATS1d,0.5371155885471902
MATS1i,-0.06661034434015989
MATS1m,0.06576702638818095
MATS1p,-0.041507304461587645
MATS1s,0.0023828930644476712
MATS1v,0.012417726815782187
MATS2Z,-0.004528843439254734
MATS2c,-0.2452629886692849
MATS2d,0.10655235762400488
MATS2i,0.1585810198808309
MATS2m,0.0008380812780241593
MATS2p,0.16287891918713507
MATS2s,-0.1397546729987544
MATS2v,0.1161704316896018
MATS3Z,0.011018804413848936
MATS3c,0.20878922706625866
MATS3d,-0.13451086956521746
MATS3i,-0.06550041035824881
MATS3m,0.008740180756387468
MATS3p,-0.0397761921748147
MATS3s,0.13779047863343777
MATS3v,-0.03301465525746527
MATS4Z,-0.10030794054815691
MATS4c,-0.05816774080225717
MATS4d,-0.2170585625554571
MATS4i,-0.20602840958377958
MATS4m,-0.10295852856936948
MATS4p,-0.19596922891723154
MATS4s,-0.04901756134955528
MATS4v,-0.16469568581223298
MATS5Z,-0.11113585746102451
MATS5c,-0.06148656049988442
MATS5d,-0.18447204968944114
MATS5i,0.019495037160962105
MATS5m,-0.10941223345066747
MATS5p,-0.00985407100883876
MATS5s,-0.18353508760880247
MATS5v,-0.05483227892139133
MATS6Z,-0.17223169543429842
MATS6c,0.0550153376659471
MATS6d,-0.1786684782608697
MATS6i,-0.14733944292821805
MATS6m,-0.17409057755228216
MATS6p,-0.17839397407672303
MATS6s,-0.08728975619433912
MATS6v,-0.19556852311081369
MATS7Z,-0.0011931275851097412
MATS7c,-0.01535792867205886
MATS7d,-0.031055900621118
MATS7i,-0.008722506677342886
MATS7m,-0.0009865525401959868
MATS7p,-0.014161432027036371
MATS7s,0.05744643329512393
MATS7v,-0.0020861858307820386
MATS8Z,0.04998670345377794
MATS8c,-0.00839703814712334
MATS8d,0.056619078520441346
MATS8i,0.08441732435163207
MATS8m,0.05114309277321018
MATS8p,0.059751478516947364
MATS8s,0.04671927374853103
MATS8v,0.07094482984836255
MAXssO,5.433730631141345
MINssO,5.397846277399848
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,26.95402116786199
SpAD_D,159.60345178541348
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.987167894935752
SssNH2,0
SsssAs,0
SsssCH,0.2219964096749807
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,670
TMWC10,115.67683503374354
TSRW10,53.80398731815841
VE1_Dt,4.44819747140177
VE2_Dt,0.22240987357008848
VE3_Dt,2.1856461320717324
VR1_Dt,102.0309924203118
VR2_Dt,5.10154962101559
VR3_Dt,5.318423794949946
Xc-3dv,0.4716403646606978
Xc-4dv,0.0
Xc-5dv,0.09279917431044521
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.22565900991549848
Xch-7d,0.34436046518247304
Xp-0dv,11.84951229681783
Xp-1dv,6.863261197264787
Xp-2dv,4.953825624015501
Xp-3dv,3.8320993570016726
Xp-4dv,2.8260702808850993
Xp-5dv,2.099236921475451
Xp-6dv,1.2196889464391025
Xp-7dv,0.7822857069712783
Xpc-4d,2.784396303887921
Xpc-5d,4.78432629096197
Xpc-6d,7.7466347765822885
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,41
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.783962030627252
AATS0dv,6.410256410256411
AATS0pe,6.03618717948718
AATS0se,7.50627323076923
AATS1dv,6.2439024390243905
AATS1pe,6.397560975609756
AATS1se,7.676133268292681
AATS2dv,5.0
AATS2pe,6.292021126760564
AATS2se,7.691746591549296
AATS3dv,4.431818181818182
AATS3pe,6.137972727272725
AATS3se,7.541488045454543
AATS4dv,3.193877551020408
AATS4pe,6.043979591836735
AATS4se,7.480581959183671
AATS5dv,2.6285714285714286
AATS5pe,6.032053333333333
AATS5se,7.539204000000001
AATS6dv,2.25
AATS6pe,5.943240624999998
AATS6se,7.454215458333333
AATS7dv,1.5274725274725274
AATS7pe,5.74160989010989
AATS7se,7.337425142857144
AATS8dv,1.164179104477612
AATS8pe,5.673052238805971
AATS8se,7.311414567164179
AATSC0Z,7.084812623274162
AATSC0c,0.019152172548402898
AATSC0d,0.5443786982248517
AATSC0i,1.4170590730436676
AATSC0m,33.840220447074294
AATSC0p,0.23711554322591719
AATSC0s,0.4142377091095041
AATSC0v,52.19632125921266
AATSC1Z,0.4755375956126422
AATSC1c,-0.0058029158053417365
AATSC1d,0.2923942848895945
AATSC1i,-0.09439079280578647
AATSC1m,2.2255706711245957
AATSC1p,-0.009842027045252891
AATSC1s,0.0009870841640697292
AATSC1v,0.6481596581857069
AATSC2Z,-0.03208600716726431
AATSC2c,-0.0046973190787311285
AATSC2d,0.05800483373614464
AATSC2i,0.22471867303464962
AATSC2m,0.02836085520090332
AATSC2p,0.0386211234031078
AATSC2s,-0.0578916555803519
AATSC2v,6.063669173291874
AATSC3Z,0.078066164604626
AATSC3c,0.003998767303020658
AATSC3d,-0.07322485207100592
AATSC3i,-0.0928179507862399
AATSC3m,0.2957696435434285
AATSC3p,-0.009431553414989665
AATSC3s,0.057078012206217325
AATSC3v,-1.7232435520808111
AATSC4Z,-0.7106629634102162
AATSC4c,-0.0011140386085956048
AATSC4d,-0.11816205772249729
AATSC4i,-0.2919544271054518
AATSC4m,-3.48413930369386
AATSC4p,-0.04646735017027348
AATSC4s,-0.02030492231957435
AATSC4v,-8.596508926661665
AATSC5Z,-0.7873767258382645
AATSC5c,-0.0011776012161016003
AATSC5d,-0.10042265426880813
AATSC5i,0.02762561928826481
AATSC5m,-3.702534099577344
AATSC5p,-0.0023365534002475646
AATSC5s,-0.07602715423228246
AATSC5v,-2.8620432459556966
AATSC6Z,-1.2202292899408285
AATSC6c,0.001053663239786868
